,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills
108,108,unity developer,Новосибирск,78000.0,175500.0,WakeApp,2019-10-03T12:24:59+0300,От 3 до 6 лет,Удаленная работа,Полная занятость,"В связи с открытием направления Разработки мобильных игр , приглашаем Unity разработчика для формирования и управления своей будущей командой. Обязанности: Разработка игр для мобильных устройств iOS и Android; Разработка внутриигрового инструментария. Организация процесса разработки игровых проектов с нуля; Участие в процессе найма и адаптации сотрудников game dev вместе с HR; Постановка задач команде. Требования: Опыт разработки на Unity3D (C#) от 3 лет; Наличие завершенных проектов; Опыт отладки и тестирование кода; Опыт проектирования архитектуры сложных приложений; Навыки по оптимизации скорости работы и занимаемой памяти приложений; Умение самостоятельно решать поставленные задачи; Опыт работы в команде; Опыт подключения сторонних плагинов и создания своих (in-app, социальные сети, реклама, сетевые взаимодействия, анимации, интерфейсы). Условия: Достойная оплата; Дружный и веселый коллектив; Вечеринки и корпоративные мероприятия; График работы 5/2 (Гибкое время начала рабочего дня); Атмосфера, где легко оставаться собой: минимум формализма, открытые коммуникации. Мы готовы предложить конкурентную заработную плату, большую свободу действий и перспективы роста. Отклики с сопроводительными письмами рассматриваются в первую очередь."," Опыт разработки на Unity3D (C#) от 3 лет; Наличие завершенных проектов; Опыт отладки и тестирование кода; Опыт проектирования архитектуры сложных приложений; Навыки по оптимизации скорости работы и занимаемой памяти приложений; Умение самостоятельно решать поставленные задачи; Опыт работы в команде; Опыт подключения сторонних плагинов и создания своих (in-app, социальные сети, реклама, сетевые взаимодействия, анимации, интерфейсы). ", Разработка игр для мобильных устройств iOS и Android; Разработка внутриигрового инструментария. Организация процесса разработки игровых проектов с нуля; Участие в процессе найма и адаптации сотрудников game dev вместе с HR; Постановка задач команде. ," Достойная оплата; Дружный и веселый коллектив; Вечеринки и корпоративные мероприятия; График работы 5/2 (Гибкое время начала рабочего дня); Атмосфера, где легко оставаться собой: минимум формализма, открытые коммуникации. Мы готовы предложить конкурентную заработную плату, большую свободу действий и перспективы роста. Отклики с сопроводительными письмами рассматриваются в первую очередь.",Unity|iOS|Android
514,514,консультант по проектированию и внедрению программных решений,Новосибирск,80000.0,210000.0,"Содружество, Группа компаний",2019-10-14T10:39:47+0300,Нет опыта,Полный день,Полная занятость,"ВАКАНСИЯ В КАЛИНИНГРАДЕ для кандидатов, готовых к перезду в Калининградскую область! Обязанности: Описание бизнес-процессов, выявление «узких мест» и разрывов; Разработка проектных решений и методик выполнения бизнес-процессов; Выбор типовых программных решений для реализации проекта; Моделирование бизнес-процессов на типовых решениях; Выявление функциональных разрывов и требований на доработку решения; Подготовка технических заданий на разработку новых программных решений; Выявление потребности в интеграции системы в существующую информационную систему; Требования: Высшее образование: математика, программирование, экономика, бухгалтерский учёт Знание и опыт реализации проектов в одной из областей: 1) Управление продажами 2) Управление производством 3) Управление закупками 4) Себестоимость и МСФО Знание конфигурации 1С ERP 2.4 Приветствуется знание технологии управления проектами PMBOK, знание нотаций моделирования бизнес-процессов BPMN, IDEF0.",," Описание бизнес-процессов, выявление «узких мест» и разрывов; Разработка проектных решений и методик выполнения бизнес-процессов; Выбор типовых программных решений для реализации проекта; Моделирование бизнес-процессов на типовых решениях; Выявление функциональных разрывов и требований на доработку решения; Подготовка технических заданий на разработку новых программных решений; Выявление потребности в интеграции системы в существующую информационную систему; ",,Управление проектами|BPMN|MS Project|Моделирование бизнес процессов|1С: Предприятие 8
961,961,php developer,Новосибирск,80000.0,200000.0,Геймгард,2019-10-12T19:54:43+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Legionfarm - это крупнейшая платформа для найма профессионалов в виртуальных мирах. Тысячи пользователей из 48 стран ежедневно пользуются нашим сервисом для обучения и совместной игры с экспертами в онлайн играх на ПК и консолях, а также в VR. У нас сильная команда, состоящая из 70+ человек. И сейчас мы объявляем конкурс на позицию PHP разработчика. Чем предстоит заниматься? Будем ходить в API игр, анализировать игровые профили наших клиентов, строить рекомендательные системы. Автоматическая отправка сообщений через API в мессенджеры: discord, telegram, fb, будем сводить общение наших клиентов через мессенджеры в единую систему intercom.com. Автоматизация процессов в нашей команде (полуавтоматизированные инструменты для работы с сайтом). Инфраструктурные задачи (переделать текущую структуру хранения данных, добавлять новые структуры, настраивать взаимодействие между моделями в ORM). Что ты должен знать/уметь? Знание PHP на хорошем уровне. Знание Linux. Понимание работы протоколов передачи данных, ООП. Умение работать в системах контроля версий. Знание mysql, redis. Опыт работы с различными API. Что будет твоим преимуществом перед другими кандидатами? Сильный математический бэкграунд. Базовое знание html, CSS, JavaScript. Опыт работы с фронтенд фреймворками. Что мы предлагаем? В зависимости от твоих текущих навыков по результатам собеседования ты можешь рассчитывать на зарплату от 80 000 до 200 000. Возможность работать как из офиса, так и удаленно. Работу в уютном и современном лофт-офисе недалеко от центра - м. Парк Культуры. Вся инфраструктура - рукой подать. Корпоративный английский язык, тренинги, мероприятия с коллегами и прокачку своих скиллов. Мы следим за модными тенденциями, поэтому чай, кофе, сахар и даже сахарозаменитель - ждут тебя на кухне за барной стойкой Почему мы? У нас крутая команда. Мы отлично работаем, но и толк в отдыхе знаем. Твои коллеги будут твоими друзьями! Мы создаём профессию будущего - геймер. Мы хотим, чтобы сотни миллионов игроков по всему миру получили возможность официально зарабатывать деньги в играх.",,,,PHP|Linux|Протоколирование|Базы данных|ABC-анализ|ABC analysis|MS SQL|Redis|API|HTML|CSS|JavaScript|MySQL|frontend|SQL|jQuery|Facebook API|Автоматизация процессов|Автоматизация продаж|Аналитические исследования|Маркетинговые исследования
266,266,devops engineer,Новосибирск,90000.0,180000.0,Plesk,2019-10-14T09:15:51+0300,От 3 до 6 лет,Полный день,Полная занятость,"Plesk – контрольная панель для автоматизации администрирования сервера. Plesk широко применяется для администрирования web хостинга, поскольку позволяет свести операции по настройки веб-сервера к простым операциям в контрольной панели. Plesk может быть установлен на Linux и Windows сервера. В настоящий момент усилия команды направлены на предоставление услуг в виде публичных сервисов. Обеспечение надёжной работы внешних и внутренних сервисов, гарантия их производительности, гибкое масштабирование разрабатываемых систем - основные фокусы современного продукта Plesk О процессах разработки : https://goo-gl.ru/5a7Y Обязанности: обеспечивать необходимый уровень надежности сервисов предоставление рекомендаций к архитектуре сервисов обеспечение масштабируемости и высокодоступности сервисов мониторинг и автоматизация всех процессов жизнедеятельности сервиса. прогнозирование и предотвращение сбоев в работе сервиса реакция на инциденты и проведение последующего анализа Мы ожидаем, что Вы: имеете опыт обслуживания сервиса с реальной нагрузкой - от 6 месяцев. имеете опыт работы с UNIX-системами более трех лет; уже занимались ранее построением и администрированием высоконагруженных отказоустойчивых систем; понимаете как обеспечить работу сервиса 24/7; способны настроить мониторинг для сервиса и понимаете полученные графики, можете делать выводы на их основе; умеете программировать (python, bash, go); умеете работать с Ansible; уровень английского языка - от Intermediate Будет плюсом: опыт работы с Docker опыт работы с Kubernetes опыт работы с Amazon Web Services опыт работы с Zabbix, Prometheus, Grafana, ELK. опыт работы с Jenkins или GitLab CI Важные для нас soft skills: Коммуникабельность. Работа предполагает активное взаимодействие с различными командами разработки. Обучаемость. Идеально, если вы считаете себя T-shape сотрудником - &quot;вы эксперт в одной области и имеете широкий кругозор и опыт в смежных областях&quot;. Аналитический склад ума. Также очень важно, если вы способны объяснять сложные вещи простыми словами. Ответственность. Работа предполагает запуск, эксплуатацию нагруженных сервисов с большим количеством посетителей. Пара слов о том, как мы работаем: Используем современный стек технологий Отправляем разработчиков прокачивать свои навыки на профессиональных конференциях в столицы и за рубеж Даем возможность разрабатывать и внедрять собственные фичи в узаконенный Research Day и делиться полученными знаниями с коллегами на регулярных Tech Talks Помогаем совершенствовать разговорный английский с лучшими преподавателями - бесплатно, на территории офиса. Поддерживаем в релокации: выплачиваем безвозмездный бонус за переезд в размере одного оклада в первые 2 недели работы",,,,Unix|Ansible|Английский язык|Python|Docker|Kubernetes|Amazon
351,351,руководитель проектов разработки на .net,Новосибирск,90000.0,180000.0,Шарп Девелоперс,2019-09-26T13:08:32+0300,От 3 до 6 лет,Удаленная работа,Полная занятость,"О компании: ООО «Шарп Девелоперс» занимается разработкой программного обеспечения «на заказ» для англоязычных (в основном американских) заказчиков. Разработка ведется на платформе Microsoft .NET. Мы разрабатываем веб-сайты и мобильные приложения. Наша компания имеет очень высокий рейтинг (Top Rated) на американской бирже upwork. Мы считаем, что такой результат достигнут благодаря безупречному качеству программирования, тестирования и коммуникации с клиентами, умению понять и реализовать в точности то, что нужно клиенту. Сейчас нашей целью является количественное развитие при условии сохранения качества предоставляемых услуг. Требования: Обязателен (!) хороший разговорный и письменный английский. Вы будете общаться с клиентами на английском языке: устно и письменно. Вы также будете составлять технические документы для клиентов и программистов. Аналитический склад ума. Б о льшая часть Вашего рабочего времени будет посвящена анализу и проектированию систем. Вам нужно будет понимать требования к будущей системе, предлагать варианты построения, согласовывать и затем регулярно отчитываться перед клиентами о том, что делают программисты на проекте и презентовать результаты. Вы будете составлять задачи для программистов. Обязателен опыт предыдущей работы аналитиком и/или руководителем в IT компании на средних или больших проектах. Обязателен опыт предыдущей работы программистом и/или тестировщиком ПО . Вы будете отвечать не только за получение задачи от клиента и формулировку задачи программисту, но и за то, какая система получилась на выходе. Для обеспечения качества систем все задачи после имплементации проходят стадию тестирования. А также: коммуникабельность и ответственность. Руководитель проектов будет отвечать за: Все общение с клиентами на порученных ему (ей) проектах (своевременные и удовлетворяющие клиента ответы на все его запросы), Разработку и согласование с клиентом постановочных документов на проекте: спецификаций (возможно, совместно с аналитиком), Постановку задач аналитику, программистам и тестировщикам. Оперативное отслеживание выполнения этих задач. Ведение общего состояния каждого проекта, в том числе финансового. Взаимодействие с руководителем разработки и/или директором компании по каждому из своих проектов. Условия работы: Полный день, возможна удаленная работа. Заработная плата : оклад + премия KPI в зависимости от успеха каждого проекта, который ведет руководитель. (На испытательный срок мы предлагаем фиксированный доход) Время наших клиентов отличается от екатеринбургского, в связи с чем может возникнуть необходимость вести переговоры в неурочное время. Однако это зависит от того, как построены отношения с каждым конкретным клиентом (это тоже будет зависеть и от Вас). Основным критерием остается удовлетворенность клиента! В ЕКБ: комфортный офис, где есть все необходимое для работы и отдыха. Горячее питание. Кофе, чай, плюшки, теннис без ограничений. Корпоративное обучение английскому языку в офисе и удаленно. Классный коллектив единомышленников. Вознаграждение зависит от уровня квалификации и устанавливается по итогам выполнения тестового задания и прохождения технического собеседования.",,,,
43,43,php программист,Новосибирск,90000.0,180000.0,"Egamings, филиал г. Псков",2019-10-04T18:14:31+0300,От 3 до 6 лет,Полный день,Полная занятость,"Компания eGamings (г. Рига, Латвия) возобновляет набор PHP-разработчиков для работы в офисе в г. Новосибирск. Компания eGamings является одним из самых инновационных разработчиков игровых платформ в мире и поставщиком надежных, готовых к эксплуатации игровых систем. Мы предлагаем решения White label, игры топовых игорных провайдеров через единую интеграцию, лицензирование, банковские и другие услуги, а также готовые решения под ключ. С 2008 года мы занимаем лидирующие позиции в сфере разработки онлайн казино. Мы гордимся тем, что предлагаем нашим клиентам продукт максимально высокого качества и устанавливаем долгосрочные взаимовыгодные партнерские отношения с лучшими и самыми солидными операторами в мире. Head-office нашей компании находится в Риге (Латвия). Открыты филиалы в нескольких городах России, в том числе в Новосибирске. Требования: Знания PHP 7+, JavaScript, HTML5, CSS3 технологий, MySQL, ООП; Основы Debian/Ubuntu Linux на уровне пользователя; Плюсом будет знание Node.js, CMS WordPress, Bootstrap 3, Angular js, Redis; Обязанности: Поддержка и написание новых модулей для внутренних web-приложений компании; Условия: Полный рабочий день, работа в современном офисе, официальное трудоустройство, соцпакет; Работа в дружной компании, карьерный рост; Испытательный срок 2-3 месяца; Заработная плата от 90`000 до 180&#39;000 рублей (в зависимости от уровня программиста); Собеседование: Письменный тест (вопросы php, sql -основные html, css, js - дополнительные) по скайпу; Общение с тимлидом по скайпу; Собеседование с руководителем филиала; Резюме обязательно. Сопроводительное письмо с перечислением проектов, умений, навыков будет преимуществом. В нашей компании вы найдете: Официальное трудоустройство и социальные гарантии Сплочённую и сильную команду, в которой можно быстро вырасти Поддержку в реализации идей и поощрение инициативности Адекватное руководство Компенсацию ДМС после 1 года работы Корпоративную библиотеку Обеды с коллегами по пятницам в лучших ресторанах города Свободный режим работы Нормированную 40-часовую рабочую неделю Отсутствие дресс-кода Комфортное рабочее место в современном уютном офисе Кофе, чай, молоко, печеньки в любое время суток и в неограниченном количестве"," Знания PHP 7+, JavaScript, HTML5, CSS3 технологий, MySQL, ООП; Основы Debian/Ubuntu Linux на уровне пользователя; Плюсом будет знание Node.js, CMS WordPress, Bootstrap 3, Angular js, Redis; Обязанности: Поддержка и написание новых модулей для внутренних web-приложений компании; ",," Полный рабочий день, работа в современном офисе, официальное трудоустройство, соцпакет; Работа в дружной компании, карьерный рост; Испытательный срок 2-3 месяца; Заработная плата от 90`000 до 180&#39;000 рублей (в зависимости от уровня программиста); Собеседование: Письменный тест (вопросы php, sql -основные html, css, js - дополнительные) по скайпу; Общение с тимлидом по скайпу; Собеседование с руководителем филиала; Резюме обязательно. Сопроводительное письмо с перечислением проектов, умений, навыков будет преимуществом. В нашей компании вы найдете: Официальное трудоустройство и социальные гарантии Сплочённую и сильную команду, в которой можно быстро вырасти Поддержку в реализации идей и поощрение инициативности Адекватное руководство Компенсацию ДМС после 1 года работы Корпоративную библиотеку Обеды с коллегами по пятницам в лучших ресторанах города Свободный режим работы Нормированную 40-часовую рабочую неделю Отсутствие дресс-кода Комфортное рабочее место в современном уютном офисе Кофе, чай, молоко, печеньки в любое время суток и в неограниченном количестве",PHP|MySQL|PHP5|HTML5|JavaScript|Git|ООП
638,638,senior data scientist (академгородок),Новосибирск,100000.0,200000.0,ЭЛСИ ГРУПП,2019-10-14T05:17:58+0300,От 3 до 6 лет,Полный день,Полная занятость,"Мы молодая высокотехнологичная компания, занимаемся разработкой решений для fintech отрасли, которые используются в России, Польше, ЮАР, Мексике. Ищем амбициозного и ответственного человека в команду R&amp;D. Разработчики R&amp;D команды выдвигают гипотезы, собирают данные, обучают модели, оценивают их в экспериментах, пишут продакшн-код, и разрабатывают собственную инфраструктуру для запуска моделей. Мы ждем от кандидатов хорошего знания машинного обучения, статистики, и опыта промышленной разработки. Мы готовы поручить вам: Распознавание образов в видеопотоке. Улучшение и разработка систем кредитного скоринга. Развитие текстовых и голосовых диалоговых систем. Моделирование поведения клиентов для решения задач маркетинга. Анализ изображений. Чтобы работать с нами, вам пригодится: Понимание статистики и теории вероятностей, умение проверять и ставить эксперименты, проверять гипотезы. Глубокое знание основ машинного обучения. Опыт применения машинного обучения в боевых задачах. Наличие готовых проектов, успешно запущенных в продакшн. Опыт работы с Python, готовность писать продакшн-код. Приветствуются: Опыт участия в конкурсах по анализу данных ШАД или CSC Опыт работы с веб-фреймворками на Python Опыт работы с PostgreSQL или аналогичной базой данных типа SQL. Мы предлагаем: ДМС (амбулаторное лечение + стоматология). Заключен договор с крупными и известными клиниками Новосибирска, возможность получать консультацию и наблюдаться у лучших врачей города. У Вас будет возможность заказать любые необходимые комплектующие к рабочему компьютеру. Постоянная динамика в профессиональном развитии. Развитая система наставничества и работа в условиях взаимопомощи между коллегами. Трудоустройство в полном соответствии с ТК РФ, официальная заработная плата на 100%. Работа в комфортном и современном офисе в центре Академгородка. Работа в динамичной и дружной молодой команде, участвующей в хакатонах, конкурсах Kaggle, конференциях DataFest, митапах ODS. Возможность инвестировать в нашу группу компаний на выгодных условиях (ставка в районе 20 процентов годовых; срок от 1 года). Гибкий график работы. Отсутствие дресс-кода и жестких условий труда. Насыщенная корпоративная жизнь - ежегодные корпоративы и тимбилдинги! Машины для вычислений: кластера на GTX 1080ti и RX Vega 64, сервера с Intel Core i9 и AMD Ryzen Threadripper.",,,,
875,875,программист сапр,Новосибирск,100000.0,200000.0,Softline,2019-09-23T19:20:39+0300,От 3 до 6 лет,Полный день,Полная занятость,"В ПРОЕКТНУЮ КОМАНДУ НА РЕАЛИЗАЦИЮ ПРОГРАММЫ ПО ЦИФРОВОЙ ТРАНСФОРМАЦИИ, РЕИНЖИНИРИНГУ БИЗНЕС-ПРОЦЕССОВ В ПРОЕКТИРОВАНИИ, СТРОИТЕЛЬСТВЕ И ЭКСПЛУАТАЦИИ В КРУПНЕЙШЕМ ПРОМЫШЛЕННОМ ПРЕДПРИЯТИИ РОССИИ ИЩЕМ ЭКСПЕРТА. Есть возможности проявить себя и развиться в ролях: архитектора решений, технического/бизнес консультанта, руководителя команды разработки Востребован опыт работы с инструментами программной разработки Bentley Systems: OpenPlant, OpenRoads, ProStructures, OpenBuildings, ProjectWise, Navigator, Raceway and Cable Management (BRCM) для комплексного проектирования промышленных строительных объектов. Задачи: Разработка приложений с использованием API САПР-платформы. Написание дополнительных модулей. Требования: Высшее техническое/математическое образование. Знание .NET, Visual Studio, Microsoft SQL Готовность к командировкам. Преимуществом будет: Знание программных продуктов Bentley Systems. Знание C++",,,,Bentley Systems
1076,1076,"senior middle developer (java, kotlin)",Новосибирск,100000.0,180000.0,Plesk,2019-10-09T08:30:51+0300,От 3 до 6 лет,Полный день,Полная занятость,"О компании Plesk – это контрольная панель для автоматизации администрирования сервера. Plesk широко применяется для администрирования web-хостинга, поскольку позволяет свести операции по настройке веб-сервисов к простым операциям в контрольной панели. Несколько фактов: Работаем с сервисами Amazon, Google, DigitalOcean и MS Azure 11 миллионов сайтов и приложений работают на Plesk 50% крупнейших хостинг-провайдеров используют Plesk 380,000 серверов по миру работают на Plesk 19 миллионов почтовых ящиков управляются панелью Plesk Поддерживается на Windows и Linux Переведён на 32 языка О процессах разработки : https://goo-gl.ru/5a7Y Наша команда Команда Licensing &amp; Partner Services развивает и сопровождает системы, отвечающие за критичные бизнес-процессы компании. Мы занимаемся разработкой и эксплуатацией систем лицензирования продуктов компании и интегрированных продуктов, систем бизнес-статистики и мониторинга, работающих в режиме 24/7. Мы предпочитаем full-stack подход к разработке и поддерживаем практики DevOps. Коллективное владение кодом и понимание важности работы команды формирует наше внимательное отношение к качеству и готовность к эксплуатации. Использование перспективных инструментов, анализ и оптимизация архитектур и решений, устранение технического долга - ежедневные приоритеты команды. Технологический стек Java(JAX RS, Spring Boot, Hibernate), Kotlin, PostgreSQL, JavaScript (React, Dojo), Python(Flask, SQLAlchemy), Bash, Docker, Linux(cron, iptables), Nginx(Lua); Git, Gradle, Ansible, Jenkins, Selenium, Graylog, MongoDB, Kafka, ZooKeeper Чем предстоит заниматься Обеспечивать бесперебойную работу системы 24/7 Проектировать и реализовывать распределённые высоконагруженные системы Анализировать производительность сервисов и оптимизировать их работу Использовать CI/CD системы и системы управления конфигурациями Обеспечивать качество разрабатываемых сервисов (писать автотесты Python/Kotlin на API/UI) Развивать инфраструктуру проекта (Docker, k8s, Clouds, Ansible) Работать над интеграцией с продуктами компании и внешними сервисами Исследовать и внедрять новые технологии Какие есть задачи сейчас Увеличение производительности наших систем в соответствии с увеличивающейся нагрузкой Сопровождение и поддержка микросервисной архитектуры Оптимизация и улучшение инфраструктуры проекта Создание customer-facing сервисов самообслуживания клиентов Что это даст вам Вы будете работать в слаженной, дружной команде с поставленными процессами над решением критичных для бизнеса задач Вы будете использовать современные методологии разработки: DevOps, microservices, continuous integration, continuous delivery, code review Вы сможете вывести себя и команду на новый уровень, помочь команде трансформировать систему под современные требования Вы получите возможность изучать новые технологии и применять их на практике Что нужно знать и уметь Обязательно: Опыт разработки серверного ПО с использованием Java Проектирование баз данных и знание SQL Опыт командной работы с элементами SCRUM (git, code review, iterations) Опыт разработки unit- и интеграционных тестов Знание основных алгоритмов и структур данных, ООП и паттернов проектирования Плюсами будут: Опыт проектирования и разработки высоконагруженных систем Linux на уровне системного администратора Опыт работы с Python, Kotlin, JavaScript Опыт исследования и сравнительного анализа новых технологий Уровень английского не ниже Intermediate (чтение документации, рабочая переписка) Какие качества мы ценим Самостоятельность, умение принимать решения и брать ответственность за них Нацеленность на результат Умение организовать себя Дисциплина Инициатива Стремление к саморазвитию, планирование обучения Любовь к программированию Что еще понравится вам: Возможность работы с продуктами, которые используются крупнейшими в мире сервис-провайдерами и телекоммуникационными компаниями Конкурентная заработная плата Сплоченный коллектив профессионалов своего дела Обучение, повышение квалификации и обмен опытом на конференциях, митапах, tech- и biz talks 2 раза в месяц Research Day, которые полностью оплачиваются Два благоустроенных офиса: в Центральном районе и Академгородке. Расширенная ДМС в регионе и корпоративный врач в офисе Бесплатные корпоративные курсы английского языка Корпоративные мероприятия несколько раз в год Теплая подземная парковка Настольный теннис, турник или настольный футбол в обеденный перерыв, возможность передвигаться по офису на самокате или скейте Бассейн и своя футбольная команда Бесплатный кофе, йогурты, чай, фрукты и печенье в ассортименте круглые сутки Парикмахер, приезжающий в офис, и возможность принять душ прямо в разгаре рабочего дня. Для кандидатов из других городов: при переезде мы готовы поддержать нового сотрудника суммой в размере одного месячного оклада.",,,,Java|Linux|SQL|JavaScript
774,774,frontend разработчик (техлид technical expert),Новосибирск,120000.0,200000.0,Movavi,2019-09-24T08:26:53+0300,От 3 до 6 лет,Гибкий график,Полная занятость,"Новосибирская IT-компания Movavi создает и продает на международном рынке программы для любительской обработки мультимедиа. Мы счастливы представлять Новосибирск на мировой IT-карте! Приглашаем тебя присоединиться к нашей команде! Мы запускаем новые онлайн продукты для обработки мультимедиа и формируем команду frontend-разработки под эти задачи. Поэтому мы ищем специалиста с опытом в разработке и желанием профессионально развиваться в роли техлида. У тебя будет возможность развиваться не только в рамках уже существующего стека технологий, но и предлагать новые возможности, обсуждать их с командой и совместно реализовывать. Чем предстоит заниматься: разработка онлайн программ для обработки мультимедиа; участие в организации обучения и развития сотрудников; проведение ревью кода; внедрение новых технологий и подходов в разработке; разработка интерактива на сайтах компании. В своей работе мы используем: React; JavaScript; JQuery; Gulp; HTML, CSS, SASS; Git, GitLab; Jenkins. Мы ценим: самостоятельность, умение принимать решения и брать ответственность за них; нацеленность на результат; инициативу; стремление к саморазвитию; абстрактное мышление и творческий подход. Для успешного выполнения задач тебе потребуется: опыт работы на позиции frontend-разработчика от 3-х лет; знание любого frontend-фреймворка (React, Vue.js, Angular); знание JavaScript. Будет круто, если у тебя есть: базовые знания других языков программирования; опыт наставничества и обучения команды; опыт работы по методологии Agile. Работа в Movavi - это: команда профессионалов, готовых делиться знаниями и опытом, наставничество; индивидуальный подход к профессиональному росту и развитию внутри компании; официальное трудоустройство с первого рабочего дня; белая заработная плата + компенсация питания и спорта; удобный график работы как для &quot;жаворонков&quot;, так и для &quot;сов&quot;; участие в конференциях различного уровня, онлайн и офлайн обучение, литература - за счет компании; внутренние митапы, обмен опытом и знаниями, мастер-классы; корпоративные занятия йогой и английским языком, не выходя из офиса; здоровье с ДМС; обучение детей в IT-школе Movavi; приятная рабочая атмосфера, общение на &quot;ты&quot;; бодрящие корпоративы: горы и ели, море и пальмы, и никакого алкоголя; офис в центре города. Можешь кого-то порекомендовать? Отлично! Расскажи о нашей вакансии своему другу или знакомому. Отправь его резюме на почту (см. контактную информацию) с пометкой &quot;Внешняя рекомендация на вакансию Frontend-разработчик&quot; . Получи денежный бонус: - за рекомендацию специалиста уровня Middle - 50 000 рублей; - за рекомендацию специалиста уровня Senior - 70 000 рублей. Бонус будет доступен после прохождения твоим другом испытательного срока. Если ты не получил ответ на отклик в течение 3-х рабочих дней : 1. Проверь папку &quot;Спам&quot; в электронной почте. Возможно, письмо с ответом оказалось там. 2. Позвони или напиши нам. ​Узнай о нас больше: https://vk.com/movavi_team https://www.instagram.com/movaviteam_nsk/",,,,JavaScript|HTML|CSS|Работа в команде|Управление командой|Sass|Less|React|Vue|Angular
