,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills
1093,1093,php программист на битрикс,Самара,20000.0,80000.0,Студия Варнофф,2019-10-17T14:02:49+0300,От 3 до 6 лет,Полный день,Полная занятость,"Студия Варнофф – интернет-агентство полного цикла – ищет в свою команду PHP программиста на Битрикс с опытом работы. Мы на самарском рынке с 2001 года. За это время мы приобрели большой опыт, постоянно развивались, модернизировали и совершенствовали действующие направления. В числе наших клиентов: - крупные промышленные предприятия; - успешные коммерческие компании; - строительные компании и др. Требуемый опыт работы : 3–6 лет (рассмотрим кандидатов с меньшим опытом, но огромным желанием учиться и работать) Требования: - Опыт работы с PHP (желательно ООП); - JS (знание jQuery); - Знания HTML\CSS; - Сертифицированный разработчик 1C-bitrix. Мы предлагаем: - работу в крупной стабильной компании; - сложные и интересные проекты, которыми можно гордиться; - реальную возможность карьерного роста; - работу в молодом дружном коллективе; - чай-кофе в нашем офисе – в неограниченном количестве. Итоговая зарплата определяется по результатам собеседования в зависимости от вашей квалификации. Условия: - Полный рабочий день, 5/2 - Полная занятость Ключевые навыки: PHP5 CSS3 HTML JavaScript 1С-Битрикс Если вы хотите расти и развиваться вместе с нами – ждем вас на собеседование в нашем офисе!"," - Опыт работы с PHP (желательно ООП); - JS (знание jQuery); - Знания HTML\CSS; - Сертифицированный разработчик 1C-bitrix. Мы предлагаем: - работу в крупной стабильной компании; - сложные и интересные проекты, которыми можно гордиться; - реальную возможность карьерного роста; - работу в молодом дружном коллективе; - чай-кофе в нашем офисе – в неограниченном количестве. Итоговая зарплата определяется по результатам собеседования в зависимости от вашей квалификации. ",," - Полный рабочий день, 5/2 - Полная занятость Ключевые навыки: PHP5 CSS3 HTML JavaScript 1С-Битрикс Если вы хотите расти и развиваться вместе с нами – ждем вас на собеседование в нашем офисе!",HTML|JavaScript|1С-Битрикс|PHP|CSS
503,503,специалист по внедрению crm (bitrix24),Челябинск,25000.0,70000.0,Xpage,2019-10-17T17:57:20+0300,От 1 года до 3 лет,Полный день,Полная занятость,"В связи с активным развитием компании агентство интернет-решений Xpage ищет специалиста по внедрению CRM (Bitrix24) Даже если вы уже работаете – приходите. Уверены, вам понравится наше предложение. Вам предстоит заниматься: работа с входящими заявками на внедрение CRM и корпоративных порталов; первоначальная настройка продукта Битрикс 24; настройка бизнес-процессов; внедрение продуктов и работа с командой разработчиков; развитие направления и изучение новых продуктов; Требования к кандидату: высшее образование или незаконченное высшее в сфере ИТ, прикладной информатики, информационных системах в экономике; аналитический склад ума; высокие навыки коммуникации; знание базовых принципов программирования; знание рынка и опыт работы в CRM. Мы предлагаем: существующую клиентскую базу и базу тёплых лидов; регулярное обучение и развитие (компания оплачивает курсы повышения квалификации, обучение в академии Bitrix); официальное трудоустройство и зарплату без задержек; новый офис в сердце Челябинска ( Gagarin Residence); возможность роста и развития; премию, которая зависит только от твоей работы; участие в корпоративных семинарах и мероприятиях; самые вкусные печеньки. Xpage — это, прежде всего, команда высококлассных профессионалов и молодых амбициозных энтузиастов. Это команда жизнерадостных, творческих и любознательных людей, для которых интернет — это жизнь. Мы стремимся создавать для своих сотрудников только самые комфортные условия работы и отдыха. Стабильная заработная плата, возможность дополнительного заработка, крутой офис в сердце челябинской веб-индустрии — IT-парке, кофе и печеньки — лишь некоторые приятные стороны работы в агентстве. Наши сотрудники имеют уникальную возможность повышать свою квалификацию и развивать полезные профессиональные навыки. Мы даем своим сотрудникам свободу идей, творчества и самовыражения. Xpage — это большая семья, которая всегда рада пополнениям.",,,,CRM|Ведение переговоров|Заключение договоров|1С: Предприятие 8|Работа в команде|1С-Битрикс
720,720,web разработчик,Челябинск,30000.0,80000.0,Weblab74,2019-10-03T14:54:45+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Ищем в команду умного и сообразительного программиста для разработки интересных проектов (и крупных!) Обязанности: Разработка сайтов с нуля на CMS системе Битрикс (корпоративный сайт, интернет-магазин и т.д) и WordPress (минимально); Вносить правки по текущим проектам/производить оценку новых правок; Оказывать техническую поддержку по существующим проектам. (своевременные ответы и консультации, внесение мелких правок). Требования: Знание CMS 1С-Битрикс и принципов работы с ней; Хорошее знание PHP; Понимание HTML, CSS, JS, JQuery; Иметь представление о работе Unix, веб-сервера Apache, nGinx, mySQL; Опыт веб-разработки Уметь работать в команде, быстро и продуктивно; Уметь самостоятельно находить решение задач, с которыми ранее не приходилось сталкиваться. ПРИВЕТСТВУЕТСЯ: опыт работы с PHP фреймворками Yii2, Symfony и др; Условия: 5-дневная рабочая неделя плавающий обед в любое удобное рабочее время своевременная зарплата (выплаты 3 раза в месяц) официальное трудоустройство."," Знание CMS 1С-Битрикс и принципов работы с ней; Хорошее знание PHP; Понимание HTML, CSS, JS, JQuery; Иметь представление о работе Unix, веб-сервера Apache, nGinx, mySQL; Опыт веб-разработки Уметь работать в команде, быстро и продуктивно; Уметь самостоятельно находить решение задач, с которыми ранее не приходилось сталкиваться. ПРИВЕТСТВУЕТСЯ: опыт работы с PHP фреймворками Yii2, Symfony и др; "," Разработка сайтов с нуля на CMS системе Битрикс (корпоративный сайт, интернет-магазин и т.д) и WordPress (минимально); Вносить правки по текущим проектам/производить оценку новых правок; Оказывать техническую поддержку по существующим проектам. (своевременные ответы и консультации, внесение мелких правок). ", 5-дневная рабочая неделя плавающий обед в любое удобное рабочее время своевременная зарплата (выплаты 3 раза в месяц) официальное трудоустройство.,Git|1С-Битрикс|HTML5|JavaScript|MySQL|Bootstrap|CMS Wordpress|SQL
1146,1146,front end developer,Самара,30000.0,80000.0,СМАСС,2019-10-09T07:56:09+0300,От 1 года до 3 лет,Полный день,Полная занятость,"SmaSS - это молодая независимая IT компания, которая работает в сфере компьютерного зрения и искусственного интеллекта. В связи с расширением штата мы открываем вакансию frontend разработчика. Если ты ответственный, амбициозный и хочешь работать над интересными проектами, то мы будем рады видеть тебя в нашей дружной команде! Основные задачи: Разработка нового функционала приложений Поддержка существующего кода Работа в команде Участие в обсуждении проектов Требования: Уверенное знание HTML, CSS, JS Webpack Git Будет плюсом: Работа с Vue / React / Angular (у нас Vue) Опыт работы с препроцессорами (SASS, LESS) Понимание принципов UX/UI Typescript Условия: Обучение технологиям Инновационные и амбициозные проекты Конкурентный уровень дохода в соответствии с навыками Занятия по английскому языку Уютный офис недалеко от станции метро Алабинская Заработная плата напрямую зависит от навыков и уровня подготовки. Все подробности на собеседовании."," Уверенное знание HTML, CSS, JS Webpack Git Будет плюсом: Работа с Vue / React / Angular (у нас Vue) Опыт работы с препроцессорами (SASS, LESS) Понимание принципов UX/UI Typescript ",, Обучение технологиям Инновационные и амбициозные проекты Конкурентный уровень дохода в соответствии с навыками Занятия по английскому языку Уютный офис недалеко от станции метро Алабинская Заработная плата напрямую зависит от навыков и уровня подготовки. Все подробности на собеседовании.,
41,41,php разработчик,Новосибирск,30000.0,70000.0,Ex-In,2019-10-09T15:07:46+0300,От 1 года до 3 лет,Полный день,Полная занятость,"В компанию Bullet требуется веб-разработчик. Охотно рассматриваем кандидатов с небольшим опытом, но большим желанием развиваться в веб-разработке. Bullet — набор сервисов для предпринимателей и маркетологов: конструктор сайтов, CRM-система, конструктор контекстной рекламы и модуль mail-рассылок. Ведем совместную разработку с «Яндекс», «Рамблер», «Сбербанк» и др. Наши клиенты — известные блогеры и крупные компании. Обязанности веб-разработчика: — Разработка нового функционала (новые продукты и модули, новые фичи, новые инструменты). — Рефакторинг существующего кода (мы развиваемся и растем, и нужно находить медленные и некачественные части кода и улучшать их). — Исправление возникающих ошибок (иногда возникают баги и ошибки, которые не смогли предусмотреть на этапе проектирования и конструирования, их нужно отлавливать и исправлять). — Решение внутренних задач (добавление отчетов и выгрузок, визуализация внутренней статистики, работа над внутренней CRM). — Помощь контент-отделу с версткой (иногда контент-отдел не справляется с версткой внутренних страниц и им нужна помощь знающих людей). Минимальные требования: — Внимательность и аккуратность в разработке. — Умение писать комментарии и документацию к своему коду. — Опыт работы с PHP 7 на уровне ООП. — Опыт работы с Yii2 Framework (либо с другим MVC-фреймворком). — Опыт работы с миграциями. — Знание SQL (индексы, сложные запросы). — Верстка и фронт на уровне HTML5, jQuery, AJAX, Bootstrap. — Git, Composer, Unix Bash. Условия: — ​​​Полный рабочий день. — Удаленка (при условии ежедневной отчетности). — Испытательный срок 3 месяца. — Оплачиваемое тестовое задание. — Заработная плата от 30 000 до 60 000 на руки по результатам тестового задания.",,, — ​​​Полный рабочий день. — Удаленка (при условии ежедневной отчетности). — Испытательный срок 3 месяца. — Оплачиваемое тестовое задание. — Заработная плата от 30 000 до 60 000 на руки по результатам тестового задания.,CSS|JavaScript|MySQL|PHP|HTML|Yii
1170,1170,специалист 1с,Самара,30000.0,70000.0,Авиант,2019-09-24T12:07:09+0300,От 1 года до 3 лет,Удаленная работа,Частичная занятость,"АВИАНТ - IT-компания, где ценят время и здравый смысл. Количество клиентов растет и для поддержки качества сервиса ищем удаленных программистов, консультантов и аналитиков 1С в свою команду. Вы нам подходите если: Вы работали программистом, аналитиком или консультантом по продуктам фирмы 1С; У вас есть опыт работы с конфигурациями УТ, БП, КА, ERP; Готовы встречаться на территории заказчика в Вашем регионе. Ваши шансы получить более высокую ставку возрастут, если у Вас есть: Подтвержденный опыт внедрений продуктов 1С любых конфигураций; Сертификаты фирмы 1С (1С:Специалист, 1С: Специалист-Консультант); Опыт работы с торговым оборудованием; Опыт работы в 1С: Франчайзи. Мы предлагаем: Свободный график и возможность работать из дома. Вы сами определяете свой режим, формат работы и загрузку; Решение интересных и нестандартных задач; Регулярное обучение и повышение квалификации от ведущих специалистов и экспертов компании; Уровень дохода обсуждается на интервью.",,,,1С программирование|1С: Комплексная автоматизация|1С: Предприятие 8|1С: Зарплата и управление персоналом|1С: Зарплата и кадры|Ведение переговоров|Обновление конфигурации 1С|MS SQL|1С: Управление Производственным Предприятием
171,171,php разработчик в новосибирске,Новосибирск,30000.0,75000.0,Тэглайн,2019-10-18T19:21:56+0300,От 1 года до 3 лет,Гибкий график,Полная занятость,"Ищем уверенного PHP-разработчика. О нас Привет. Пожалуйста, внимательно прочитайте всю вакансию и посмотрите наши проекты перед тем, как откликнуться. В первом сообщении просим написать краткий текст о том, как вы видите свою работу у нас. Наши основные проекты — система отображения рейтингов, анкета для сбора информации, каталог компаний digital-рынка, крупнейшее в России кадровое исследование, масштабные учебные курсы с лидерами рынка, Tagline Awards, Digital-календарь, Летопись, Библиотека,Энциклопедия и другие. Должностные обязанности: — Приглашаем уверенного инженера-разработчика, специалиста по разработке интернет-продуктов (не заказная разработка и не enterprise). Требуются отличные знания backend-стека (php / Yii / MySQL) и умение сверстать и заставить работать страницу при наличии адекватного макета. — Требуется оперативно влиться в процесс разработки наших текущих проектов, а также приступить к созданию новых; впитывать в себя компетенции коллег-девелоперов и менеджеров, и впоследствии забрать себе некоторые направления и проекты. Чем нужно будет заниматься: — Проектирование и разработка интернет-сервисов — Проектирование и разработка внутренних движков компании — Работа с подрядчиками: создание гайдов, написание ТЗ, контроль, прием работы, интеграция кода в инфраструктуру компании, деплой, тестирование — Ведение хорошей документации по собственным проектам и направлениям — Рефакторинг уже сверстанных страниц и административных интерфейсов — Поиск и разработка backend-решений — Оптимизация технологического стека и политик разработки. В перспективе — разработка продвинутых приложений, административных интерфейсов с применением современных технологий. Мы — компания, которая за 9 лет сформировала российский рынок заказной веб-разработки и digital-маркетинга с помощью своих информационных и сервисных продуктов. Чем мы лучше стартапа? — Результаты вашего труда будут доступны публично уже через несколько недель работы. — Мы точно не закроемся завтра, через месяц и через год из-за кризиса или нехватки инвестиций (мы их не брали и пока не собираемся), вы можете видеть многолетнюю историю проектов и учиться проектировать на много лет вперед. — У нас неизбежен быстрый профессиональный, личностный и карьерный рост. — Вы знаете, чего от ваших проектов ждут пользователи и все гипотезы апробируете на реальной аудитории. — Большой спектр задач и разнообразие проектов, в разработке которых можно принимать участие, позволяет попробовать разные направления и выбрать те, что приносят больше профита/удовольствия. — Мы ведем проекты, рассчитанные на ключевых специалистов лиц рынка веб-разработки и digital-маркетинга, а также крупнейших заказчиков этих услуг — проекты долгие, достаточно сложные и предполагают быстрое развитие скиллов по поддержке кода и развитию архитектуры. Чем мы лучше крупного предприятия? — Результаты вашего труда будут доступны публично уже через несколько недель работы. — Вы будете регулярно видеть реакцию пользователей наших сервисов на результаты своей работы, что очень мотивирует к быстрому и эффективному росту, а не разрабатывать 2 года маленькую процедуру в огромной системе, назначения которой вы даже не понимаете. — У вас будет регулярный доступ к учредителям и ключевым менеджерам компании, чей опыт вы сможете использовать в профессиональной деятельности и за ее пределами, в отличие от необъятного и неразговорчивого «Океана» из Соляриса в корпорациях Предлагаемые условия: Официально: — Работа в уютном офисе в центре Новосибирска — 8-часовой рабочий день, начало работы с 9–12 часов — Обучение и развитие внутри компании и за ее пределами — Вы будете окружены командой профессионалов, которым небезразлично ваше отношение к жизни, работе и профессии — Большой спектр задач и разнообразие проектов, в разработке которых можно принимать участие, позволяет попробовать разные направления и выбрать те, что приносят больше профита/удовольствия Неофициально: — Результаты вашего труда будут доступны публично уже через несколько недель работы — Вы будете регулярно видеть реакцию пользователей наших сервисов (это первые лица рынка веб-разработки и digital-маркетинга, а также крупнейшие заказчики этих услуг) на результаты своей работы, что очень мотивирует к быстрому и эффективному росту Требования: — Вы занимались разработкой интернет-проектов (официальное трудоустройство на прежних местах нас не интересует, но очень важно, чтобы до и во время работы у нас вы относились предельно цивилизованно к порядку в делах и отношениях), — До этого несколько лет вы учились веб-технологиям и программированию в вузе или самостоятельно, но очень упорно и системно. — Опыт работы с MVC-фреймворками — Yii или похожими (ASP.NET, CakePHP, CodeIgniter и различными CMS (1С-Битрикс, UMI, Drupal, Joomla!). — Знание JavaScript/Ajax/Json/jQuery — Вы готовы отдать работе 100% своего рабочего времени, энергии и изобретательности. — Вы умеете концентрироваться на одной задаче, но в состояний переключаться при необходимости. — С вами приятно иметь дело, вы готовы тратить свое время и силы на понятные и публичные проекты, которые гарантированно будут жить еще много лет, в том числе, благодаря вам. — Огромное внимание к деталям. — Стремление к качеству при умении укладываться в сроки. — Готовность нести ответственность за разработанный продукт; понимание того, что ближайшие не менее 3–7 лет с ним будут работать редакторы и менеджеры, в его развитии будут принимать участие программисты и дизайнеры, а аудитория должна ежедневно получать удовольствие от его использования. — Абсолютная бесконфликтность, спокойствие, рассудительность, умение находить компромиссы. — Понимание того, что код считается написанным только когда он соответствует ТЗ, внедрен, протестирован во всех основных сценариях, сдан заказчику и заказчик считает, что этот код задачу решает. — Готовность быстро расставаться со стереотипами. — Желание и умение учиться всегда и везде. — Сочетание усидчивости и инициативности. — Умение разбираться в чужом коде; понимание того, что с вашим кодом будут работать коллеги — Умение быстро задавать вопросы коллегам лично или на форумах, а также искать, адаптировать и внедрять готовые и надежные решения, а не писать собственные плохие и ненадежные. — Обязательны знания php, HTML5, CSS3, MySQL; — Уверенное владение чистым JS и фрейворками (jQuery) — Хорошее понимание работы AJAX, XML и JSON верстки — Умение разбираться в чужом коде — Умение быстро задавать вопросы коллегам лично или на форумах, а также искать, адаптировать и внедрять готовые и надежные решения, а не писать собственные Будет плюсом: — Владение и навыки работы с Git, Bitbucket, GitHub Flow, PhpStorm, Asana и другим инвентарем для организации работы — Использование в работе CSS-препроцессоров (SASS, LESS) — Методология БЭМ, как минимум на уровне именования классов — Знание последних тенденций в средствах и методологиях верстки — Отличная коллекция анимаций, эффектов, картинок и иконок в арсенале — Кроссбраузерная верстка (все экраны, все ОС, все устройства, девайсы) — Опыт работы с RESTful-приложениями — Написание Unit-тестов на Yii и Yii2 — Адаптивная, отзывчивая и резиновая верстка — Bootstrap/Booster — Опыт интеграции с Facebook, Twitter и Google Maps — Adobe Illustrator, и InDesign — Уверенное владение Adobe Photoshop в рамках задач по верстке — Чтение, как минимум, ста бизнес-линчей и «Ководства» Артемия Лебедева, «Мифического человеко-месяца» и «Психбольницы в руках пациентов» — Интерес к веб-технологиям и последним тенденциям в средствах и методологиях разработки, владение некоторыми из них. — Умение выполнять базовые функции продукт-менеджера: сбор требований, проектирование, согласование приоритетов, управления трудозатратами и сроками, разработка документации (да мы, считаем это правильным, как и все, кто делает удобные веб-сервисы) — Умение читать и задавать вопросы по-английски и грамотно писать по-русски. Примечания: — Мы готовы побеседовать с вами и без резюме, если у вас есть сложность с его подготовкой. — Наличие портфолио при рассмотрении вашей кандидатуры нас сильно порадует. — Мы готовы работать как с опытными, так и с начинающими, но перспективными и способными к быстрому росту, специалистами. Первым готовы сразу же отдать сложные федеральные веб-проекты, вторым — возможность стажировки и обучения с параллельным вливанием в рабочий процесс. Офис — Вокзальная магистраль, м. Площадь Ленина. 8-часовой рабочий день, начало работы с 9–12 часов (по согласованию с вами).",,,,
20,20,менеджер по работе с клиентами (разработка сайтов),Новосибирск,35000.0,85000.0,KONTUR - digital-агентство,2019-10-05T10:25:46+0300,От 1 года до 3 лет,Полный день,Полная занятость,"В компанию KONTUR, в связи с развитием, требуется менеджер по работе с клиентами (менеджер продаж) интернет-сайтов. Что у нас будет делать менеджер по работе с клиентами? Прием входящих звонков и обработка входящих заявок. Холодных звонков нет!!! Выявление потребностей клиента Консультирование по продуктам компании Выполнение плана продаж! Сопровождение клиента Подписание договоров Т. е. ничего нового для человека, имеющего опыт продаж хотя бы от полугода. Знание работы в IT-сфере не обязательно, проводим обучение. Главное быть активным и желание хорошо зарабатывать. Продавать нас легко и приятно! Lite-проект компании «Сайт за 5990» давно заслужил лидирующие позиции в сфере бюджетных интернет-решений для малого бизнеса! А правильная рекламная политика, позволила сделать проект ярким и узнаваемым. Компания успешно развивается и на текущий момент предлагает широкий спектр услуг в сфере интернет-решений для бизнеса. KONTUR - это узнаваемый бренд в Новосибирске и других городах России. Требования: Опыт работы с клиентами Высокая мотивация в развитии карьеры, клиентоориентированность, коммуникабельность, активность, эмоциональная устойчивость Желание и умение работать на результат Улыбчивость и доброжелательность Презентабельный внешний вид Грамотная речь Если у Вас не хватает опыта, но Вы очень хотите добиться успеха в продажах и карьере - смело присылайте резюме нам на почту! Условия: Работа в комфортном офисе в центре города, ул. Депутатская, м. «Площадь Ленина» Полный рабочий день, пятидневка с 9:00 до 18:00, с 10:00 до 19:00 или с 12:00 до 21:00 Оформление по ТК РФ Молодой и дружный коллектив Возможности для самореализации Достойная заработная плата (фикс. 15000 руб. + % с продаж). В среднем менеджеры нашей компании зарабатывают от 35 000 - 40 000 руб. Верхний предел – не ограничен!"," Опыт работы с клиентами Высокая мотивация в развитии карьеры, клиентоориентированность, коммуникабельность, активность, эмоциональная устойчивость Желание и умение работать на результат Улыбчивость и доброжелательность Презентабельный внешний вид Грамотная речь Если у Вас не хватает опыта, но Вы очень хотите добиться успеха в продажах и карьере - смело присылайте резюме нам на почту! ",," Работа в комфортном офисе в центре города, ул. Депутатская, м. «Площадь Ленина» Полный рабочий день, пятидневка с 9:00 до 18:00, с 10:00 до 19:00 или с 12:00 до 21:00 Оформление по ТК РФ Молодой и дружный коллектив Возможности для самореализации Достойная заработная плата (фикс. 15000 руб. + % с продаж). В среднем менеджеры нашей компании зарабатывают от 35 000 - 40 000 руб. Верхний предел – не ограничен!",
478,478,"программист php, drupal",Краснодар,35000.0,95000.0,Инкварта,2019-10-20T10:41:17+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: В интернет компанию полного цикла, которая занимается разработкой сайтов, онлайн сервисов, поддержкой, интернет маркетингом, требуется программист со знаниями Drupal/PHP, Wordpress, PHP и тд. Работа с крупными долгосрочными проектами, ниша недвижимости и другие Разработка проектов с использованием CMS Drupal 7/8 Разработка тем и модулей Drupal 7/8 Участие в разработке функциональности для новых проектов компании Интеграция с внешними системами, использование API третьих систем Поддержка и сопровождение Требования к квалификации: Опыт разработки на CMS Drupal 7/8 (8 будет преимуществом) Уверенное владение PHP и глубокое понимание принципов функционирования Web-приложений Уверенное владение CMS Drupal, Wordpress, Opencart, понимание принципов функционирования, опыт разработки расширений, модулей и настройки. Знание html, css Знание javascript, ajax, jquery (как дополнительное преимущество) Знание mysql, опыт написания sql-запросов различной сложности Опыт оценки задачи и сроков их выполнения Наличие портфолио готовых проектов Условия работы: Удобный график, офис в центре по ул. Красная Официальное трудоустройство Собственные авторские WEB разработки Столовая с вкусным обедом Дружный коллектив",,,,JavaScript|MySQL|jQuery|CSS|PHP5
543,543,android разработчик,Челябинск,35000.0,100000.0,Рэд,2019-09-30T14:04:32+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Мы - команда мобильной разработки &quot;The Red One&quot; . Нашей Компании более 10 лет. Мы начинали с разработки вебсайтов и после появления iOS/Android смартфонов переключились на разработку под эти платформы. Мы делаем приложения на заказ и реализовываем свои собственные проекты. Сейчас мы расширяемся и набираем Android-разработчиков. Если ваш уровень Junior - то ожидаем от вас базового понимания программирования, представления о SOLID, паттернах проектирования и технологиях разработки (контроль версий, управление зависимостями, методологии), основы интерфейса и верстки, готовности быстро обучаться и расти на реальных задачах под руководством старших коллег. Для этого уровня предлагается работа в офисе, т.к. вас будут курировать и обучать Senior разработчики. Если ваш уровень Middle - то хотим услышать от вас про опыт реализации коммерческих проектов и используемые технологии. Если ваш уровень Senior, то мы готовы обсуждать ваши рабочие и финансовые условия индивидуально. Обязанности: Разработка нативных мобильных приложений под Android Требования: Опыт разработки на Java для Android Знание Android SDK, понимание архитектуры Android Владение Android Studio, Gradle Опыт работы с AppCompat или AndroidX; Понимание принципов SOLID Знание работы клиент-серверных приложений (REST, JSON) Большим плюсом будет: Git, RxJava, Retrofit, Architecture Components, Data binding, MVVM, MVP, Clean Architecture, Firebase, Unit Testing, Kotlin, SQL Условия: Комфортное рабочее место в iT-коворкинге Нестрогий график работы Опытная команда"," Опыт разработки на Java для Android Знание Android SDK, понимание архитектуры Android Владение Android Studio, Gradle Опыт работы с AppCompat или AndroidX; Понимание принципов SOLID Знание работы клиент-серверных приложений (REST, JSON) Большим плюсом будет: Git, RxJava, Retrofit, Architecture Components, Data binding, MVVM, MVP, Clean Architecture, Firebase, Unit Testing, Kotlin, SQL ", Разработка нативных мобильных приложений под Android , Комфортное рабочее место в iT-коворкинге Нестрогий график работы Опытная команда,Android SDK|Android|Java|Kotlin|ООП
