,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills
254,254,программист стажер php (битрикс),Краснодар,15000.0,,Russian Robotics,2019-10-08T14:44:17+0300,Нет опыта,Гибкий график,Полная занятость,"Russian Robotics — это ТОП-1 веб-студия в Краснодаре (по данным CMS Magazine ) Мы разрабатываем и развиваем сайты крупных федеральных компаний. Много работаем с финансовым сектором. И вообще много работаем — с нами ты прокачаешь навыки и станешь сильнее как профессионал. Что предстоит делать: развивать существующие Интернет-проекты и разрабатывать новые, контролировать качество своей работы и отвечать за результат, развиваться как профессионал, осваивать и внедрять современные технологии в своем направлении деятельности Ты нам подходишь, если: Хочешь освоить PHP Имеешь представление о значении оббревиатуры ООП слышал что такое HTML и CSS готов учиться работать с CMS Bitrix хочешь попробовать себя в разработке веб-сайтов у тебя есть вопросы, на которые ты находишь ответы в гугле, но не с кем их обсудить хочешь научиться решать задачи творчески любишь учиться и делаешь это быстро Почему с нами хорошо: оформим все в соответствии с ТК РФ предложим индивидуальный график обсудим программу персонального развития и обучения",,,,HTML|PHP5
800,800,веб мастер(seo junior),Екатеринбург,15000.0,,"BPA Group, Маркетинговое Агентство",2019-10-18T19:35:20+0300,Нет опыта,Полный день,Полная занятость,"Мы занимаемся SEO-оптимизацией сайтов. В помощники руководителю отдела ищем веб-мастера, которому нравится улучшать сайты, и который хотел бы научиться продвигать сайты по конкурентным запросам в ТОП-3. Чтобы добиться такого высокого топа, мы проводим много экспериментов и находим закономерности конкретно для этой тематики и нужного запроса. Работа помощника будет заключаться в выполнении заданий руководителя: в области внутренней оптимизации, ссылочной, поведенческой, серых схем. Специалист на этой должности получает уникальную возможность узнать настоящие факторы ранжирования и ощутить власть над поисковыми алгоритмами. Да ещё и получая за это деньги. Работать нужно будет много, перебирая гипотезы и варианты, которые будет генерировать руководитель. Работа удалённая, но график полу-свободный. Обсуждается на собеседовании. Будет НЕОПЛАЧИВАЕМОЕ тестовое задание на знание и понимание основных вебмастерских навыков, а также скорость работы. Обязанности: внутренняя оптимизация сайтов; взаимодействие с копирайтерами (заказ и приёмка текстов); ссылочная оптимизация (анализ конкурентов, поиск и размещение ссылок, создание пбн-сетей); поведенческая оптимизация; визуальная вёрстка текстов; работа с хостингом, SSL. Требования: знание html; знание css; понимание основных принципов ранжирования поисковых систем (метатеги, тексты, ссылочное, поведенческие); знание основных админок цмс. Условия: удалённая работа; обучение SEO-продвижению на реальных проектах."," знание html; знание css; понимание основных принципов ранжирования поисковых систем (метатеги, тексты, ссылочное, поведенческие); знание основных админок цмс. "," внутренняя оптимизация сайтов; взаимодействие с копирайтерами (заказ и приёмка текстов); ссылочная оптимизация (анализ конкурентов, поиск и размещение ссылок, создание пбн-сетей); поведенческая оптимизация; визуальная вёрстка текстов; работа с хостингом, SSL. ", удалённая работа; обучение SEO-продвижению на реальных проектах.,SEO|Поисковая оптимизация сайтов|CSS|HTML|Adobe Photoshop|CMS Wordpress|Продвижение сайтов|SEO оптимизация|Поисковые системы|1С-Битрикс
253,253,front end разработчик верстальщик (стажер),Краснодар,15000.0,,Russian Robotics,2019-10-14T17:53:21+0300,Нет опыта,Гибкий график,Стажировка,"Мы Russian Robotics, возглавляем рейтинг лучших веб-студий в Краснодаре (по данным CMS Magazine) Мы разрабатываем и развиваем крутые сайты как для небольших компаний, так и для крупных федеральных. Много работаем с финансовым сектором. У нас вы точно найдете проект, который придется вам по душе! С чем работать? У нас есть проекты различного уровня, от классической верстки страниц на HTML+CSS+jQuery и до крупных проектов со взрослой сборкой на webpack с использованием современных фреймворков и серверным рендерингом. Какие задачи? Развивать существующие интернет-проекты и разрабатывать новые, контролировать качество своей работы и отвечать за результат, развиваться как профессионал, осваивать и внедрять современные технологии в своем направлении деятельности. А что с командой? Все front-end и back-end разработчики в штате и находятся в одном помещении, мы постоянно коммуницируем и помогаем друг-другу. Так же у нас своя команда дизайнеров и SEO-специалистов. Как попасть в нашу команду? - Кайфуешь от web-технологий? - Хочешь разрабатывать крутые проекты? - Постоянно развиваешься и готов учиться? - Много вопросов и идей в сфере web разработки, но не с кем поговорить и обсудить их? Если на все большенство вопросов ответ “да”, то ты подходишь нам! Не знаешь технологий и мало опыта? Не страшно, мы обучим тебя совершенно бесплатно! Почему у нас хорошо? оформим все в соответствии с ТК РФ предложим индивидуальный график обсудим программу персонального развития и обучения",,,,jQuery|CSS|HTML|JavaScript
680,680,программист консультант 1с (стажер),Челябинск,15000.0,,АйТиСи,2019-10-20T14:10:48+0300,Нет опыта,Полный день,Полная занятость,"Мы ждем активных и энергичных. У нас вы научитесь работать в команде, добиваться целей, общаться с клиентами, работать и зарабатывать. На текущий момент рынок 1С стабилен и растет, специалисты нашей области ценятся во всех уголках страны. Множество направлений (разработка, консалтинг, внедрение, обучение и др.) дает возможность выбрать и развивать сильные стороны каждого. Знания основ в области управленческого учета, бухгалтерии или расчета помогут быстро освоить программные продукты 1С. Обязанности: Сопровождение клиентов; Консультирование по типовым продуктам 1С; Разработка на платформе 1С; Разработка приложений для мобильных устройств на платформе 1С; Сдача сертифицированных экзаменов; Проведение анализа бизнес-процессов и особенностей учета клиента; Участие в написание руководств, инструкций и регламентов; Участие в проектах внедрения конфигураций 1С. Требования: Приветствуется опыт работы с 1С; Приветствуется опыт работы на производственных и торговых предприятиях; Также ждем Выпускников и студентов старших курсов экономических, технических и бухгалтерских специальностей; Желание работать, расти и зарабатывать; Условия: На время обучения в институте возможен гибкий график работы; Обучение на внутренних курсах; Получение опыта работы с 1С, программирование, консалтинг, выступления, участие в семинарах; Рост как специалистов в сфере 1С; Возможности для профессионального развития и карьерного роста; Компенсация сотовой связи и расходов на ГСМ; Повышение оклада по результатам достигнутых результатов и сертифицированных экзаменов; Работа в нашей команде - это возможность реализовать свои идеи, получить бесценный опыт и расти вместе с компанией"," Приветствуется опыт работы с 1С; Приветствуется опыт работы на производственных и торговых предприятиях; Также ждем Выпускников и студентов старших курсов экономических, технических и бухгалтерских специальностей; Желание работать, расти и зарабатывать; "," Сопровождение клиентов; Консультирование по типовым продуктам 1С; Разработка на платформе 1С; Разработка приложений для мобильных устройств на платформе 1С; Сдача сертифицированных экзаменов; Проведение анализа бизнес-процессов и особенностей учета клиента; Участие в написание руководств, инструкций и регламентов; Участие в проектах внедрения конфигураций 1С. "," На время обучения в институте возможен гибкий график работы; Обучение на внутренних курсах; Получение опыта работы с 1С, программирование, консалтинг, выступления, участие в семинарах; Рост как специалистов в сфере 1С; Возможности для профессионального развития и карьерного роста; Компенсация сотовой связи и расходов на ГСМ; Повышение оклада по результатам достигнутых результатов и сертифицированных экзаменов; Работа в нашей команде - это возможность реализовать свои идеи, получить бесценный опыт и расти вместе с компанией",
1046,1046,инженер программист 2 категории,Самара,19717.0,,Газпром межрегионгаз Самара,2019-10-11T16:31:16+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: Сопровождение нетиповой конфигурации 1С Предприятие; Взаимодействие с разработчиками конфигурации 1С Предприятие для исправления выявленных при работе ошибок релизов. Консультирование и поддержка пользователей по вопросам, возникающим при работе платформой 1С, MS Office. Техническая поддержка пользователей Требования: Высшее техническое образование (информационные технологии); Базовые знания программирования и конфигурирования в среде 1С Предприятие 8.3; Знание основ бухгалтерского учета, знание др. предметных областей (торговля, производство и т.д.); Коммуникабельность, обучаемость Условия: 5-ти дневная рабочая неделя, 8:00 — 17:00; •испытательный срок 3 месяца; •оформление в соответствии с ТК РФ; •заработная плата: оклад 19717 руб. и ежемесячная премия 55% от оклада при условии выполнения финансово-хозяйственных показателей"," Высшее техническое образование (информационные технологии); Базовые знания программирования и конфигурирования в среде 1С Предприятие 8.3; Знание основ бухгалтерского учета, знание др. предметных областей (торговля, производство и т.д.); Коммуникабельность, обучаемость "," Сопровождение нетиповой конфигурации 1С Предприятие; Взаимодействие с разработчиками конфигурации 1С Предприятие для исправления выявленных при работе ошибок релизов. Консультирование и поддержка пользователей по вопросам, возникающим при работе платформой 1С, MS Office. Техническая поддержка пользователей "," 5-ти дневная рабочая неделя, 8:00 — 17:00; •испытательный срок 3 месяца; •оформление в соответствии с ТК РФ; •заработная плата: оклад 19717 руб. и ежемесячная премия 55% от оклада при условии выполнения финансово-хозяйственных показателей",1С: Предприятие 8|1С программирование
859,859,начинающий программист 1с,Екатеринбург,20000.0,,"Айтекс, Центр Информационных Технологий",2019-10-21T06:46:02+0300,Нет опыта,Гибкий график,Полная занятость,"Требуется программист 1С. Рассмотрим кандидатов без опыта работы, желающих развиваться в программировании. Требования: Базовые знания языков программирования в рамках учебной программы; Профильное высшее или средне-специальное образование; Обучаемость, ответственность; Целеустремленность, коммуникабельность; Будет плюсом, наличие пройденных курсов по программированию и конфигурированию 1С. Обязанности: Дополнения, изменения в программе 1С; Адаптация (программирование) прикладных решений; Консультации, обучение на этапе внедрения; Внедрение прикладных решений. Условия работы: Работа в стабильно развивающейся компании; Перспективы профессионального роста и развития; Интересные задачи; Обучение в рамках рабочего процесса; Возможность проходить сертификацию.",,,,
966,966,программист 1с (без опыта),Екатеринбург,20000.0,,"Айтекс, Центр Информационных Технологий",2019-10-21T06:46:01+0300,Нет опыта,Гибкий график,Полная занятость,"Требуется программист 1С. Рассмотрим кандидатов без опыта работы, желающих развиваться в программировании. Требования: ОБЯЗАТЕЛЬНЫ Базовые знания языков программирования в рамках учебной программы; Профильное высшее или средне-специальное образование; Обучаемость, ответственность; Целеустремленность, коммуникабельность; Будет плюсом, наличие пройденных курсов по программированию и конфигурированию 1С. Обязанности: Дополнения, изменения в программе 1С; Адаптация (программирование) прикладных решений; Консультации, обучение на этапе внедрения; Внедрение прикладных решений. Условия работы: Работа в стабильно развивающейся компании; Перспективы профессионального роста и развития; Интересные задачи; Обучение в рамках рабочего процесса; Возможность проходить сертификацию.",,,,
575,575,веб программист (стажер),Челябинск,20000.0,,Tian Group,2019-09-24T07:09:42+0300,От 1 года до 3 лет,Гибкий график,Полная занятость,"Обязанности: Доработки веб-сайтов на системах: 1C-Битрикс, NetCat, собственный фреймворк. Взаимодействие с отделом разработки, отделом рекламы и отделом продаж. Требования: Знания PHP, CSS, JavaScript, mySQL. Начальный опыт веб-разработок. Ответственность и исполнительность. Условия: Постоянная и стабильная работа в офисе в Челябинске. Официальное оформление, рабочее место, оборудовано в соответствии с трудовым кодексом. Уникальный опыт работы в профессиональной команде. Возможность постоянного повышения собственной квалификации, уровня знаний. Режим работы: возможен гибкий график."," Знания PHP, CSS, JavaScript, mySQL. Начальный опыт веб-разработок. Ответственность и исполнительность. "," Доработки веб-сайтов на системах: 1C-Битрикс, NetCat, собственный фреймворк. Взаимодействие с отделом разработки, отделом рекламы и отделом продаж. "," Постоянная и стабильная работа в офисе в Челябинске. Официальное оформление, рабочее место, оборудовано в соответствии с трудовым кодексом. Уникальный опыт работы в профессиональной команде. Возможность постоянного повышения собственной квалификации, уровня знаний. Режим работы: возможен гибкий график.",PHP|CSS|MySQL|1С-Битрикс|HTML
408,408,специалист 1с,Краснодар,20000.0,,Автоматизация Бизнеса,2019-10-10T16:41:16+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Автоматизация бизнеса - успешно растет и развивается в сфере IT. Коротко об Автоматизации бизнеса: - Компании всего три года, а мы уже вышли на Федеральный уровень! - В компании успешно работает более 150 человек! Эта работа подойдет тебе, если: - Умеешь грамотно и доступно излагать свои мысли. - Хочешь дальше развиваться в сфере IT и стать еще более востребованным специалистом. Тебе предстоит: - Помогать нашим клиентам в решении их проблем, даже тогда, когда кажется, что это уже невозможно; - Внедрение и поддержка программных продуктов на платформе 1С; - Консультирование и обучение клиентов; - Анализ задач заказчика, составление технических заданий; Наши ожидания от тебя: - Приобретенная, а лучше врожденная способность помогать людям. - Знание типовых конфигураций 1С Управление Торговлей, 1С Розница - Основы работы с базами данных Приветствуется: - Знание типовых конфигураций 1С, а также отраслевых решений на платформе 1С от компаний Штрих-М, 1С-Рарус - Сертификаты 1С.Специалист или 1С.Специалист-консультант Что мы можем предложить: - Работа в новом офисе. - Адекватных руководителей. - Интересные задачи. - ЗП 20000 – 35000 руб - График работы на выбор - 5/2 или 2/2.",,,,1С: Розница|Консультирование|Разработка технических заданий|1С программирование|Работа в команде
32,32,junior php разработчик,Новосибирск,20000.0,,Метеор,2019-10-17T07:22:53+0300,Нет опыта,Полный день,Полная занятость,"Проекты «Метеора» — это высокотехнологичные решения для бизнеса: CRM и ERP системы, сайты со сложным функционалом и мобильные приложения для iOS и Android. На сегодня мы отметились в трех рейтингах лучших разработчиков по версии Tagline и не собираемся на этом останавливаться. Наши клиенты находятся в Москве и Европе. Мы активно растем, проектов становится больше каждый месяц, а вместе с тем растет и потребность в сотрудниках. И мы готовы взращивать начинающих специалистов, в связи с чем снова открываем вакансию стажера-разработчика на PHP. Задачи: Выполнение тестовых проектов для тренировки навыка программирования; Работа над реальными задачами в рамках действующих проектов; Сопровождение и доработка. Мы предлагаем: Оплачиваемую стажировку длительностью 1 месяц; Практическое получение знаний и опыта под присмотром наставника; Постоянное трудоустройство при успешном прохождении стажировки; Участие в интересных проектах; Гибкую систему заработной платы: пересмотр каждые три месяца по результатам работы; Компенсацию затрат на профильное обучение и курсы английского. От будущего коллеги мы ожидаем: Знание основ HTML, PHP+MySQL, ООП; Осознанное желание развиваться в сфере web-разработки; Способность и желание разбираться со сложными задачами, находить решения; Наличие реализованных проектов (в т.ч. учебных и совместных). Метеор — это современная и гибкая компания. У нас нет дресс-кода, натянуто-делового общения и скучных задач. Наши цели — это развитие и создание полезного продукта. Если это и твои цели тоже — присылай отклик, мы точно сработаемся :)",,,,HTML|PHP|MySQL|SQL|Web Application Development|Веб-программирование|Разработка CMS|ООП|Git
