,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills
492,492,android разработчик,Новосибирск,50000.0,100000.0,FullStack,2019-10-14T23:58:54+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Требуется Android разработчик для работы в команде над мульти-платформенным продуктом (Android, iOS) в сфере горнолыжного спорта. Продукт свой, никакого аутсорса, поэтому самые высокие требования к качеству кода и приложения в целом. Что из себя представляет продукт и остальные детали расскажем на собеседовании. Основные требования: Умение писать качественный ООП код; Знание Kotlin либо возможность быстро его освоить; Способность делать оценки и укладываться в них; Android Studio; RxJava; REST. Не технические требования: Английский на уровне чтения/понимания без словаря. Обязанности и задачи: Разработка; Поддержание стиля и архитектуры кода; Code review. Условия работы: 40 часовая рабочая неделя в офисе в Новосибирске (гибкий график). Оформление в соответствии с ТК РФ; Оплачиваемые занятия спортом; Оплачиваемое питание; Гибкий график работы.",,,,
603,603,android разработчик,Новосибирск,80000.0,130000.0,Центр финансовых технологий,2019-09-27T11:15:27+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Основная цель должности – разработка мобильных приложений для продуктов компании таких как «Золотая Корона - Денежные переводы» и других online – сервисов. Либо разрабатывать приложения мобильного банкинга для карточных продуктов подразделения, один из флагманских продуктов - мобильное приложение «Карта Билайн». Задачи: - разработка новых продуктов и развитие существующих; - участие в Agile-разработке, Code Review, использование TDD; - использование новых технологий, архитектурных подходов, совершенствование навыков программирования; - обмен опытом с командой. Требования к кандидатам: - опыт программирования Kotlin /Java; - уверенное знания Android SDK; - опыт использования RxJava, Dagger2, Retrofit; - уверенное знания Git, Gradle; - понимание ООП, принципов SOLID, Clean Architecture, знание основных паттернов проектирования. Условия работы: - официальное трудоустройство, полный социальный пакет, - современный офис, - возможность профессионального развития и личностного роста: внутренние и внешние конференции и тренинги, собственная библиотека и т.д., - развитая корпоративная культура: весёлые корпоративы, живое общение во внутренней социальной сети, - забота о здоровье: программы ДМС, - скидки, бонусы на различные услуги.",,,,Java|Kotlin|Android SDK|Git|Gradle|ООП|SOLID|RxJava|Dagger2|Retrofit
816,816,android разработчик,Новосибирск,87000.0,160000.0,Тензор,2019-10-08T10:00:51+0300,От 3 до 6 лет,Гибкий график,Полная занятость,"Тензор – крупная российская IT-компания. Наш основной продукт – СБИС – сеть деловых коммуникаций. СБИС объединяет людей и компании, системы управления и учета, бизнес-процессы и документы в одной системе. Мы ищем людей, способных реализовывать крупные проекты от идеи до “продакшна”. Проекты, в которых могут быть занято несколько десятков человек - программисты, проектировщики, тестировщики, релиз-инженеры и тд. В команду разработчиков проекта &quot;Коммуникатор&quot; требуется Android-разработчик. О проекте: Мобильное приложение &quot;Коммуникатор&quot; - это мессенджер для бизнес-сферы расширенного стандарта со своими видеозвонками, медиа-сообщениями (видео и звонками), а также диском для обмена данными между сотрудниками компании. Стек технологий: RxJava2, Dagger2, Retrofit; Архитектура на основе MVP + DI; Также в нашем приложении используется C++ ядро для работы с SQL с более эффективной отзывчивостью и скоростью обработки запросов, а также более расширенная версия чем андроидный SQLite. Мы ждём от Вас: опыт разработки под Android от 3-х лет; понимание паттернов архитектуры MVP и MVVM; отличное знание Java/Kotlin и Android SDK; опыт работы с Git, Dagger 2, RxJava. Будет плюсом: наличие своих проектов на github, или аналогичном сайте; опыт использования Kotlin и написания тестов JUnit; Мы предлагаем: оформление по ТК РФ; премии от 5 до 20% по итогам работы за месяц; проекты различной сложности по разработке программного обеспечения; опытную и постоянно развивающуюся команду профессиональных разработчиков; ДМС, компенсация занятий спортом; комфортный офис в центре города с зонами отдыха и корпоративной столовой; курсы английского языка; корпоративные праздники и различные совместные мероприятия.",,,,Android SDK|SQL|ООП|Git|PostgreSQL|Java|Android
833,833,android разработчик,Новосибирск,120000.0,150000.0,Сибериан.Про,2019-10-09T11:13:34+0300,От 3 до 6 лет,Удаленная работа,Полная занятость,"Полная занятость, удаленная работа Мы работаем над тем, чтобы каждый сотрудник Siberian.pro имел возможность расти как личность, как профессионал и идти к своим жизненным целям. Для нас важно, чтобы каждый в команде работал над тем, что ему нравится. Обязанности: Работа с основным банковским приложением. Также, возможно участие в интересном проекте с распознаванием лиц и аутентификации по лицу. Разработка нового и доработка существующего функционала. Участие в разработке архитектурных решений. Код ревью. Требования: Опыт коммерческой разработки Android от 3 лет Kotlin CI REST Multithreading MVI RxJava Unit-testing",," Работа с основным банковским приложением. Также, возможно участие в интересном проекте с распознаванием лиц и аутентификации по лицу. Разработка нового и доработка существующего функционала. Участие в разработке архитектурных решений. Код ревью. ",,
287,287,android разработчик,Новосибирск,120000.0,200000.0,Консалтинговый Центр «Вакансия Плюс»,2019-10-15T07:42:50+0300,От 1 года до 3 лет,Удаленная работа,Полная занятость,"В крупный стабильный холдинг по продаже лекарственных препаратов, медицинских приборов, товаров для красоты и здоровья, полезных подарков в связи с расширением штата требуется Android-программист (удаленная работа) . Мы захватываем новые регионы, растём и расширяемся. У Вас есть отличная возможность принять участие в реализации непростых и интересных проектов. Внутри компании есть своя дизайн-лаборатория - вы станете неотъемлемой частью дружной команды профессионалов своего дела. Для Вашей работы и профессионального роста у нас созданы благоприятные и комфортные условия: отсутствует жесткая иерархия, налажены дружеские отношения внутри отдела и за его пределами. Мы заботимся о профессиональном развитии и материальном стимулировании своих сотрудников. поддерживаем спортивные мероприятия: участвуем в различных событиях города; предоставляем компенсацию родителям, имеющих детей школьного возраста; гарантируем работу в команде профессионалов и интересные задачи. Нам по пути, если тебе нравится работать в команде профессионалов и создавать общественно полезный продукт, увеличивающий доступность аптечных товаров; разработка для тебя — это не просто передача задачи тестировщику, а доведение дела до конца, с пониманием, как ты улучшил приложение для людей своим трудом; для тебя профессионализм - это осознанно выбранная и следуемая тобой стратегия, ты готов развиваться и делаешь это, а также готов помогать обучаться коллегам там, где ты сильнее. Мы ожидаем от тебя, что ты уже разрабатывал коммерческие приложения под android как минимум год знаешь структуру Android-приложения и его жизненный цикл знаешь специфику различных версий Android знаешь Android SDK уверенное владеешь Java, знание Kotlin будет плюсом понимаешь и следуешь принципам разработки отзывчивых приложений знаешь и следуешь Android design guidelines. Мы гарантируем: Официальное трудоустройство; Работаем полностью в белую: 36 дней отпуска, официальная зарплата со всеми выплатами. Возможность удаленной работы (на полный рабочий день).",,,,Android|Java|kotlin|Android design guidelines|Android SDK
166,166,android разработчик,Новосибирск,,,Метеор,2019-10-09T08:55:39+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Проекты «Метеора» — это высокотехнологичные решения для бизнеса: CRM и ERP системы, сайты со сложным функционалом и мобильные приложения для iOS и Android. На сегодня мы отметились в трех рейтингах лучших разработчиков по версии Tagline и не собираемся на этом останавливаться. Наши клиенты находятся в Москве и Европе. Мы расширяем свою команду и ищем Android-разработчика. Задачи: Разработка мобильных приложений (основной пласт на Kotlin); Тестирование; Сопровождение и доработка проектов; Поддержка мобильных приложений на Java и Kotlin. От будущего коллеги мы ожидаем: Знание Kotlin; Знание Java и Android SDK; Понимание ООП; Опыт создания клиент-серверных приложений; Желание и умение развивать свои профессиональные компетенции. Мы предлагаем: Интересные проекты; Большую долю самостоятельности в работе; Возможность поработать на зарубежный рынок и получить опыт работы по европейским стандартам; Официальное трудоустройство и белую заработную плату; Пересмотр з/п по результатам работы каждые три месяца; Компенсацию затрат на уроки английского языка, профильное обучение и конференции. Метеор — это современная и гибкая компания. У нас нет дресс-кода, натянуто-делового общения и скучных задач. Наши цели — это развитие и создание полезного продукта. Если это и ваши цели тоже, то мы точно сработаемся :)",,,,ООП|Java|REST|Git|XML|Android|SQL|Kotlin
546,546,android разработчик,Новосибирск,,,Drom,2019-09-27T03:36:38+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Drom.ru — это автомобильный интернет-портал федерального уровня. Ежедневно сайт посещает более 3 миллионов пользователей. Нам 20 лет, и мы продолжаем активно расти. В связи с расширением штата ищем android-разработчика. Некоторые наши android-проекты в активной разработке: ДромАвто Дром ПДД Дром Штрафы Чем нужно будет заниматься: Создавать и развивать android-приложения. Разрабатывать и поддерживать внутренние модули и библиотеки. Мы пишем архитектурные библиотеки для создания единой удобной архитектуры в наших проектах. А ещё мы пишем CI ботов для автоматизации процессов. Участвовать в развитии продукта вместе с backend-разработчиками, аналитиками, дизайнерами и тестировщиками. Проектировать архитектуру приложений. Сотрудничать с нашими командами продуктовой разработки (Владивосток, Томск, Новосибирск). Осваивать новые технологи, решать интересные и сложные задачи в ведущей IT-компании Дальнего Востока по разработке highload web-проектов. Что тебе для этого потребуется: Уверенное знание Java, Kotlin, Android SDK. Знание и понимание принципов ООП и способность эффективно применять их в архитектуре приложения. Опыт многопоточного программирования. Понимание принципов клиент-серверного взаимодействия. Опыт командной разработки, умение пользоваться git. Желание осваивать новые области и технологии. Будет плюсом: Умение писать чистый, поддерживаемый код. Опыт написания сложных UI компонентов. Практические навыки работы с базами данных. Ccылки на профили в GitHub, StackOverflow, Хабр, а также на работы в Google Play. Кто мы? Мы работаем над интересными и уникальными проектами. Используем Scrum и Kanban. Постоянно учимся новому, обмениваемся опытом, помогаем друг другу в реализации задач. Мы работаем в БЦ Новая высота (10 минут до метро). У нас есть уютная офисная кухня, на которой всегда есть кофе и полный холодильник; турники, спортивная стенка, кресло-мешки и многое другое. Мы носим кроксы, шорты и прочий нерегламентированный &quot;дресс-код&quot;. Мы ездим на конференции, смотрим в офисе вебинары на большом мониторе, покупаем всю нужную литературу. Тебя ждет: Полностью официальная зарплата, оформление по ТК РФ с первого дня работы, гибкий график и плавающее начало дня (с 8 до 10 утра). Уровень дохода, достойный твоей квалификации, определится по результатам собеседования и будет периодически расти. Напиши нам о себе. Присылай резюме, даже если ты не уверен в своих силах, мы готовы рассмотреть вариант обучения разработчиков без опыта, но с сильной теоретической базой и желанием работать в данном направлении. Будем рады пообщаться!",,,,Java|Git|Android SDK|Android|ООП|MVC|Kotlin
680,680,android разработчик,Новосибирск,,,Improve group,2019-09-30T12:59:32+0300,Нет опыта,Полный день,Полная занятость,"Привет! Меня зовут Олег, я тимлид в Improve Digital и я ищу android-разработчика уровня middle. Хотелось бы, чтобы у тебя был опыт коммерческой разработки под Android на Java и Kotlin от 1 года, чтобы ты обладал знаниями Android SDK (API 14 и выше), а также знал основные библиотеки (retrofit, mosby/moxy, butterknife, room, glide/picasso, gson, dagger2/toothpick, livecycle, livedata и так далее) и имел опыт работы со стандартными сервисами (Google Play Services, FCM, Android Support Libv7, Support design, ConstraintLayout и так далее). В работе потребуется знание основных дизайн-паттернов (MVP, MVVM), понимание ООП и SOLID и умение этим всем пользоваться. Плюсом будет умение писать автотесты (junit, espresso). Чем ты будешь заниматься: Разрабатывать приложения под Android на Java и Kotlin. Проектировать архитектуру приложений и работать над UI/UX вместе c руководителем проектов и дизайнером. Участвовать в разработке ТЗ, архитектуры и прочего со смежными командами. Наши клиенты — Первый канал, Sokolov, НТС (Добрянка-Бахетле), Совкомбанк, СМСФинанс, 4finance (Швеция, Польша, Грузия, Финляндия, Испания), Литрес, MTC-Банк. Как мы работаем: Система грейдов: пересмотр уровня и зарплаты каждые полгода Опытные тимлиды и CTO, у которых есть чему поучиться Если хочешь, можешь стать ментором и развиваться в управление С первого дня работы оформляем тебя официально. Зарплата напрямую зависит от твоих навыков и умений, тут всё индивидуально, мы указали стартовую сумму Конечно, у нас гибкий график Есть ДМС со стоматологией Наш офис — в Технопарке на 3 и 7 этажах, в нём есть всё нужно для отличной рабочей жизни Будем рады тебе! Осталось только откликнуться) Будет круто, если в письме отправишь ссылку на своё портфолио на GP или git, чтобы мы могли посмотреть код. До связи!",,,,Java|Android SDK|Git|Android|JUnit|Kotlin
695,695,android разработчик,Новосибирск,,,ANCOR FinTech,2019-09-27T08:56:46+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Наш клиент, компания с рынка ФинТек, ищет в свою команду Android разработчика в связи с расширением команды и открытием офиса в Новосибирске. Обязанности: Разработка нового функционала приложений. Написание кода, построение и переработка архитектуры приложения. Требования: Опыт нативной разработки для Android от 1 года. Уверенное знание Java, Android SDK. Мы используем: Kotlin, Cicerone, Toothpick, RxJava, Moxy, Retrofit и кое-что еще. Инструменты: YouTrack, Slack, UpSource, Zeplin. Умение работать с системой контроля версий, CI. Знание классических алгоритмов и структур данных. Желателен опыт реализации собственных проектов под Android. Знание любой другой из мобильных платформ приветствуется. Стремление повышать собственный уровень профессиональной квалификации. Знание технического английского языка. Условия: Заработная плата, которая будет радовать (уровень дохода зависит от ваших навыков и технических знаний). Премии (не только по итогам года). Даем простор в развитии «профессиональной мускулатуры», предлагая работу вместе с профессионалами. Мы можем доверить вам участие в развитии наших продуктов, возможность предлагать идеи и технологии. Предлагаем возможность участия в мероприятиях для профессионального развития. Конференции, тренинги, учебные курсы. Обустроим для вас удобное рабочее место с современной техникой. Компенсируем занятия спортом. Минимум бюрократии. Буду рада ответить на ваши вопросы=)"," Опыт нативной разработки для Android от 1 года. Уверенное знание Java, Android SDK. Мы используем: Kotlin, Cicerone, Toothpick, RxJava, Moxy, Retrofit и кое-что еще. Инструменты: YouTrack, Slack, UpSource, Zeplin. Умение работать с системой контроля версий, CI. Знание классических алгоритмов и структур данных. Желателен опыт реализации собственных проектов под Android. Знание любой другой из мобильных платформ приветствуется. Стремление повышать собственный уровень профессиональной квалификации. Знание технического английского языка. "," Разработка нового функционала приложений. Написание кода, построение и переработка архитектуры приложения. "," Заработная плата, которая будет радовать (уровень дохода зависит от ваших навыков и технических знаний). Премии (не только по итогам года). Даем простор в развитии «профессиональной мускулатуры», предлагая работу вместе с профессионалами. Мы можем доверить вам участие в развитии наших продуктов, возможность предлагать идеи и технологии. Предлагаем возможность участия в мероприятиях для профессионального развития. Конференции, тренинги, учебные курсы. Обустроим для вас удобное рабочее место с современной техникой. Компенсируем занятия спортом. Минимум бюрократии. Буду рада ответить на ваши вопросы=)",Android SDK|Java|Kotlin
792,792,android разработчик,Новосибирск,,,ПКБ,2019-10-11T16:00:52+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: Разработка мобильных приложений Требования: Высшее; Опыт работы на аналогичной должности – от 2 лет; Английский язык на уровне чтения документации; Уверенные знания Android SDK, RXJava, Dagger, Retrofit, DataBindings, WebSocket. Желателен опыт работы с Realm, MVI, Kotlin, написание Unit Test Условия: Официальное трудоустройство согласно ТК РФ &quot;Белая зп&quot; ( оклад+ бонус ) Возможность профессионального развития"," Высшее; Опыт работы на аналогичной должности – от 2 лет; Английский язык на уровне чтения документации; Уверенные знания Android SDK, RXJava, Dagger, Retrofit, DataBindings, WebSocket. Желателен опыт работы с Realm, MVI, Kotlin, написание Unit Test ", Разработка мобильных приложений , Официальное трудоустройство согласно ТК РФ &quot;Белая зп&quot; ( оклад+ бонус ) Возможность профессионального развития,Android SDK|RXJava|Dagger|Retrofit|DataBindings|WebSocket|Разработка мобильных приложений
