,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills
786,786,frontend разработчик,Екатеринбург,20000.0,30000.0,Softplicity,2019-10-20T00:01:16+0300,От 3 до 6 лет,Удаленная работа,Частичная занятость,"Обязанности: Верстка страниц сайта HTML/CSS/JavaScript на основе готовых psd-макетов; Верстка страниц сайта HTML/CSS/JavaScript на основе макетов из Figma; Поддержка и доработка уже существующих сайтов (добавить страницу, передвинуть меню и т.п.); Установка/перенос сайтов на хостинг; Редактирование чужого кода, замена картинок, текста; Обновление существующих решений‚ исправление ошибок и т.п.; Разработка/ изменение функционала сайта. Требования: Уверенное знание/владение: CSS, HTML, HTML5, PHP, Adobe Photoshop, CSS3, JavaScript, jQuery, Ajax, Adobe Illustrator, Figma, MySQL, PHPUnit. Английский язык - Intermediate (желателен), Pre-Intermediate (обсуждаем) Условия: Удаленная работа с гибким графиком. Ставим задачу и срок исполнения, оплата по результату. Размер оплаты по договоренности. Работа постоянная, из месяца в месяц. На полный день у нас нет заданий, но на частичную ежемесячную занятость всегда найдется. Не настаиваем на дневном графике, если вы ночной работник. Обещаем адекватное отношение, освобождаем от скучных заседаний и утверждений в бесконечных инстанциях. Работаем быстро и креативно. Результат видим сразу (и гордимся)."," Уверенное знание/владение: CSS, HTML, HTML5, PHP, Adobe Photoshop, CSS3, JavaScript, jQuery, Ajax, Adobe Illustrator, Figma, MySQL, PHPUnit. Английский язык - Intermediate (желателен), Pre-Intermediate (обсуждаем) "," Верстка страниц сайта HTML/CSS/JavaScript на основе готовых psd-макетов; Верстка страниц сайта HTML/CSS/JavaScript на основе макетов из Figma; Поддержка и доработка уже существующих сайтов (добавить страницу, передвинуть меню и т.п.); Установка/перенос сайтов на хостинг; Редактирование чужого кода, замена картинок, текста; Обновление существующих решений‚ исправление ошибок и т.п.; Разработка/ изменение функционала сайта. "," Удаленная работа с гибким графиком. Ставим задачу и срок исполнения, оплата по результату. Размер оплаты по договоренности. Работа постоянная, из месяца в месяц. На полный день у нас нет заданий, но на частичную ежемесячную занятость всегда найдется. Не настаиваем на дневном графике, если вы ночной работник. Обещаем адекватное отношение, освобождаем от скучных заседаний и утверждений в бесконечных инстанциях. Работаем быстро и креативно. Результат видим сразу (и гордимся).",JavaScript|HTML|jQuery|Adobe Photoshop|CSS|HTML5|CSS3|PHP|Ajax|Adobe Illustrator|Английский язык|MySQL|PHPUnit
397,397,frontend разработчик,Краснодар,30000.0,,proTarget,2019-10-07T14:01:36+0300,От 1 года до 3 лет,Удаленная работа,Полная занятость,"Со знанием ReactJS Обязанности: верстка сайтов верстка визуальной части приложений для Битрикс24 Доработка/разработка функционала, дизайна, скриптов и форм на существующих проектах; Редактирование, корректировка, правка различных шаблонов CMS, css-стилей и пр; Требования: практический опыт с ReactJS Условия: удаленная работа четкая постановка и контроль задач", практический опыт с ReactJS ," верстка сайтов верстка визуальной части приложений для Битрикс24 Доработка/разработка функционала, дизайна, скриптов и форм на существующих проектах; Редактирование, корректировка, правка различных шаблонов CMS, css-стилей и пр; ", удаленная работа четкая постановка и контроль задач,ReactJS|HTML|CSS|Ajax|jQuery|MySQL
783,783,frontend разработчик,Екатеринбург,40000.0,,Ананас. ИТ Решения,2019-10-21T10:28:48+0300,Нет опыта,Гибкий график,Полная занятость,"Компании Ananas требуется Frontend-разработчик. Ananas - довольно молодая компания, открывшаяся в 2015 году. Мы занимаемся разработкой продуктов для ряда компаний-партнеров в США и России. В свою очередь мы предоставим вам очень удобные условия работы, описанные ниже. Требования: Уверенное знание HTML, CSS и Javascript Плюсом будет: Умение быстро находить и исправлять ошибки (опыт дебага) Умение разбираться в чужом коде Умение писать чистый, красивый, читаемый код Знание CSS пост\препроцессоров Умение упрощать себе жизнь - находить и использовать готовые решения для типовых задач Настрой к командной работе с менеджером проектов, дизайнером, SEOшником Обучаемость и\или умение обучать Обязанности: Верстка макетов Разработка одностраничных веб-приложений Настройка интеграции фронтенда и бекэнда Условия Гибкое начало рабочего дня до 12:00 Официальное трудоустройство согласно ТК РФ Предоставим все необходимое для комфортной и качественной работы Дружный и сплоченный коллектив Возможность поработать в сложных и нестандартных проектах Офис в центре города Плюшки: Работа над нетипичными проектами Профессиональный рост Доступ к различным обучающим материалам Компенсация обедов Возможность стать FullStack разработчиком Льготы от наших партнеров (Барбершоп Бойкат, Мозгобойня)",,,,
72,72,frontend разработчик,Новосибирск,50000.0,,ДжиДиЭс,2019-10-07T10:20:55+0300,От 1 года до 3 лет,Полный день,Полная занятость,"В дружную команду разработчиков требуется Frontend специалист Требования: Опыт работы от 1 года Отличное знание HTML+CSS+JS. Опыт верстки, в том числе адаптивной Опыт кроссбраузерной верстки Знание одного из фронтенд-фреймвоков (AngularJS, React, Angular, Vue) Отличное знание Bootstrap Будет плюсом: Опыт работы с MEAN - стеком Опыт разработки на node.js Опыт работы с gulp\grunt Задачи: Командная работа над проектами; Поддержка существующих проектов. О нас: Компания GDS занимается разработкой программного обеспечения с 2007 года. За всё это время наша компания хорошо зарекомендовала себя на рынках США, Европы и России. Нашими специалистами было выполнено множество проектов различной сложности и масштабов. Основным направлением деятельности является разработка систем автоматизации, информационно-управляющих и информационных систем и сервисов. Мы не веб студия, но беремся за интересные веб-сайты сервисной направленности. Среди наших клиентов: Клиника Мешалкина, S7, и многие другие. Наши программисты участвуют в развитии opensource образовательных проектов. Одними из важных направлений являются blockchain-разработка и разработка highload проектов Мы готовы предложить: Официальное трудоустройство Достойную зарплату Работу в команде профессионалов Возможность профессионального роста до Архитектора, тимлида или просто Senior-разработчика Возможность гибкого графика возможность удаленной работы (при условии сохранения продуктивности)",,,,JavaScript|jQuery|Bootstrap|CSS|HTML|AngularJS|reactjs|Ext JS|Node.js|MongoDB|express.js|MEAN|frontend|Vue
1112,1112,frontend разработчик,Самара,50000.0,80000.0,ВебТелеком,2019-10-20T13:49:46+0300,От 1 года до 3 лет,Гибкий график,Полная занятость,"Мы специализируемся на разработке браузерных видео-конференций для всех платформ и модулей видеосвязи для зарубежных стартапов. Требования: хорошие знания JavaScript, HTML5, CSS3, умение адаптивно и кроссбраузерно верстать; понимание протоколов и способов сетевой коммуникации, знание WebSocket, HTTP и REST; понимание принципов ООП; знание основ PHP, MYSQL, Node.js, Vue.js, React, WebRTC будет плюсом; Условия: Полный рабочий день, гибкий график Испытательный срок 3 месяца (без понижения зарплаты)"," хорошие знания JavaScript, HTML5, CSS3, умение адаптивно и кроссбраузерно верстать; понимание протоколов и способов сетевой коммуникации, знание WebSocket, HTTP и REST; понимание принципов ООП; знание основ PHP, MYSQL, Node.js, Vue.js, React, WebRTC будет плюсом; ",," Полный рабочий день, гибкий график Испытательный срок 3 месяца (без понижения зарплаты)",HTML5|JavaScript|ООП
164,164,frontend разработчик,Новосибирск,80000.0,,БАРС Груп,2019-10-16T10:57:18+0300,От 1 года до 3 лет,Полный день,Полная занятость,"В дружную команду БАРС Груп , крупного российского разработчика информационных систем для государственного сектора, требуется Frontend-разработчик на новый проект в сфере медицины - Национальный медицинский исследовательский центр. Обязанности: Проектирование и реализация интерфейса для крупной системы; Разработка спецификаций на технические решения; Использование инструментария коллективной разработки; Работа в команде; Жизненный цикл разработки ПО - требования, задачи, контроль качества, ввод в эксплуатацию, сопровождение, изменение. Требования: Хорошее знание нативного JS , готовность работать с самописными фреймворками, понимание принципов его работы, навыки глубокой оптимизации; Уверенное владение HTML,CSS; навыки верстки; Знания SQL; Умение читать и понимать код Node.js будет плюсом; Знание Polymer будет являться плюсом. Что предлагаем: Греющая тело и душу зарплата, регулярно повышающаяся по гибкой системе грейдов; Тренинги, мастер-классы, бесплатные курсы английского языка, поездки на конференции разработчиков в России и за рубежом – настоящая школа жизни; Оформление по ТК РФ, с полноценным отпуском, больничным – всё как у людей; Помощь при переезде, возможность удаленной работы.",," Проектирование и реализация интерфейса для крупной системы; Разработка спецификаций на технические решения; Использование инструментария коллективной разработки; Работа в команде; Жизненный цикл разработки ПО - требования, задачи, контроль качества, ввод в эксплуатацию, сопровождение, изменение. ",,
1202,1202,frontend разработчик,Самара,100000.0,220000.0,CASTLE,2019-10-15T13:21:41+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Ожидаем от кандидата: уверенное владение JavaScript / ES6, HTML5, CSS3 (несколько лет работы); понимание того, как работает браузер (event loop, HTTP, производительность); опыт разработки хотя бы на одном JS фреймворке - React/Angular/Vue; широкий кругозор в современных front-end технологиях (пост- и препроцессоры, автоматизация сборки); желание учиться и узнавать что-то новое; Плюсом будет: умение писать JS-тесты; опыт back-end разработки (даже PHP); опыт работы с Ruby on Rails/NodeJs; хороший английский; опыт работы с большими проектами; готовность выступать от лица компании на конференциях и митапах. Мы предлагаем: белая зарплата; клёвый офис; обучение английскому; Macbook Pro в собственность; возможность попробовать “в бою” самые современные технологии; ну и, конечно, интересные проекты.",,,,JavaScript|React.js|AngularJS|Vue.js
194,194,frontend разработчик,Новосибирск,,130000.0,РобоФинанс,2019-10-10T10:12:48+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Крупная международная IT компания ООО «РобоФинанс» - разработчик fintech-продуктов, решений и технологий международного сервиса онлайн-кредитования и частных инвестиций, приглашает в свою команду Frontend-разработчика. Наши проекты действуют в 8 странах мира (Россия, Казахстан, Испания, Латвия, Филиппины, Индонезия, Вьетнам и Индия). Мы постоянно расширяем географию нашего присутствия, выходим на новые рынки, ставим перед собой новые амбициозные задачи. Почему к нам? Высоконагруженный сервис - более 2 000 000 посещений сайтов ежемесячно. Используем современный стек технологий. Задачи: Писать эффективный, поддерживаемый и красивый код в соответствии со стандартами компании; Оценивать, проектировать, выбирать технологии и реализацию задач в области интерфейса проектов компании; Разработка и поддержка веб-сайтов, библиотек и SPA. Требования: Отличное знание HTML и CSS; Знание и опыт использования CSS препроцессоров; Уверенные навыки адаптивной, кроссбраузерной и кроссплатформенной верстки; Уверенные знания JavaScript (как ES5, так и ES6); Опыт работы с jQuery; Опыт работы с фреймворками JavaScript (Vue.js, React, Angular); Понимание типовых проблем и задач, возникающих при разработке ПО для Web; Знание инструментов менеджера пакетов (npm/yarn); Опыт работы с инструментами автоматизации сборки ( webpack/gulp). Будет плюсом, если Вы владеете: Опытом использования SASS; Опытом работы в Vue.js и Vuex; Пониманием специфики работы с SPA; Умением аргументированно выбирать программные и архитектурные решения; Умением производить декомпозицию и адекватную оценку поставленной задачи, соблюдать согласованные сроки; Опытом работы в команде. Условия: Официальное трудоустройство согласно ТК РФ; Профессионально сильная команда и адекватное руководство; Возможность обучаться и расти вместе с командой; Комфортный график работы (начало рабочего дня с 08:00 до 11:00); Удобный современный офис в центре с большой парковкой; Бесплатный чай, кофе, шоколадки, йогурты, фрукты; Льготный ДМС; Индивидуальные уроки по изучению английского языка; Корпоративные мероприятия и многое другое."," Отличное знание HTML и CSS; Знание и опыт использования CSS препроцессоров; Уверенные навыки адаптивной, кроссбраузерной и кроссплатформенной верстки; Уверенные знания JavaScript (как ES5, так и ES6); Опыт работы с jQuery; Опыт работы с фреймворками JavaScript (Vue.js, React, Angular); Понимание типовых проблем и задач, возникающих при разработке ПО для Web; Знание инструментов менеджера пакетов (npm/yarn); Опыт работы с инструментами автоматизации сборки ( webpack/gulp). Будет плюсом, если Вы владеете: Опытом использования SASS; Опытом работы в Vue.js и Vuex; Пониманием специфики работы с SPA; Умением аргументированно выбирать программные и архитектурные решения; Умением производить декомпозицию и адекватную оценку поставленной задачи, соблюдать согласованные сроки; Опытом работы в команде. ",," Официальное трудоустройство согласно ТК РФ; Профессионально сильная команда и адекватное руководство; Возможность обучаться и расти вместе с командой; Комфортный график работы (начало рабочего дня с 08:00 до 11:00); Удобный современный офис в центре с большой парковкой; Бесплатный чай, кофе, шоколадки, йогурты, фрукты; Льготный ДМС; Индивидуальные уроки по изучению английского языка; Корпоративные мероприятия и многое другое.",
233,233,frontend разработчик,Новосибирск,,,Тувэтрейд Технолоджи,2019-10-10T14:24:05+0300,От 1 года до 3 лет,Полный день,Полная занятость,"2WTRADE — компания-революционер в сфере е-Commerce. Мы берем на себя управление доставками по миру — предоставляем услуги по доставке и управлению всем процессом: от заказа в интернет-магазине до получения товара клиентом. Команда 2WTRADE, это более 1500 единомышленников в более чем 20 странах по всему миру. Благодаря нашим пользователям компания стала самой большой и самой успешной компанией е-Commerce в Латинской Америке, Африке и Юго-Восточной Азии. В связи с активным расширением бизнеса и ростом пула задач мы приглашаем Вас присоединиться к нашей команде в Новосибирске. Требования к кандидату: отличные знания html, css, js; опыт работы с Vue, nuxt; понимание работы Http; плюсом будет опыт back-end разработки, nodejs. Обязанности: продуктовая разработка проработка задач с первых этапов, декомпозиция, кодинг, отслеживание результатов; разработка и поддержка проектов на vue.js. Условия: возможность получить опыт/реализовать себя в международной digital компании с интернациональной командой в проектах от Америки до Китая; корпоративные занятия английским языком и возможность использовать язык в работе (наши коллеги в других странах говорят на английском); возможность посещать профильные внешние конференции по всему миру; комфортные условия работы в одном из наших офисов г. Новосибирска, по улице Коммунистическая улица, м. Площадь Ленина; гибкий график: возможность расстаться с утренними пробками; официальное трудоустройство с первого дня по ТК РФ.",,," возможность получить опыт/реализовать себя в международной digital компании с интернациональной командой в проектах от Америки до Китая; корпоративные занятия английским языком и возможность использовать язык в работе (наши коллеги в других странах говорят на английском); возможность посещать профильные внешние конференции по всему миру; комфортные условия работы в одном из наших офисов г. Новосибирска, по улице Коммунистическая улица, м. Площадь Ленина; гибкий график: возможность расстаться с утренними пробками; официальное трудоустройство с первого дня по ТК РФ.",JavaScript|CSS|HTML|HTTP
304,304,frontend разработчик,Краснодар,,,"МАГНИТ, Розничная сеть",2019-10-16T10:55:19+0300,От 1 года до 3 лет,Полный день,Полная занятость,"О нас : Информационные технологии Магнит - дочерняя компания крупнейшей федеральной retail-сети Магнит. Мы создаем передовые высоконагруженные, отказоустойчивые, масштабируемые IT решения в рознице, логистике и производстве. Наша команда - 1500 человек, разработано более 400 информационных решений Мы предлагаем: Трудоустройство по ТК РФ, конкурентоспособную, полностью &quot;белую&quot; заработную плату, а также гарантируем её своевременную выплату. Заработная плата складывается из: оклада и премии. График работы с 08:00 до 17:00, 5-дневная рабочая неделя. Мы вкладываем ресурсы в развитие, поэтому у нас организовано корпоративное обучение, и есть реальная возможность профессионального и карьерного роста в Компании. Карту лояльности Магнит - Дисконт, которая дает широкие возможности получения скидок в компаниях партнеров по различным направлениям. Ключевые обязанности : Разработка веб-приложений для корпоративного портала; Оптимизация существующего функционала; Взаимодействие с системными аналитиками; Консультирование специалистов, связанных с разработанным ПО (администраторов системы). Ожидания от кандидатов : Уверенные знания: HTML5, CSS3, JavaScript ; Будет плюсом опыт работы с back-end, Ajax, SQL; Высшее или среднее специальное образование (математика, информатика, программирование). Мы стремимся создавать лучшие условия для работы и отдыха, поэтому наше рабочее пространство включает: Оснащенные всем необходимым рабочие места. Комфортные переговорные комнаты и несколько модернизированных конференц-залов. 2 бесплатных спортзала на территории офиса (кардио- и силовые тренажеры, залы для групповых занятий – пилатес, йога, танцы, кросс-фит, степ-аэробика, единборства). Удобную бесплатную общую автостоянку. Большую закрытую велопарковку. Открытую площадку с зоной воркаута, футбольное поле и два многофункциональных (теннис/баскетбол/волейбол). Просторную современную столовую, где наши повара с заботой о Вас, готовят вкусные завтраки/обеды и ужины. Для тех, кто предпочитает питаться домашней едой, имеются оборудованные кофе-комнаты в каждом корпусе. На прилегающей к офису территории, на свежем воздухе находятся 2 стильные Кофе-Лавки. Здесь Вы сможете насладиться свежесваренным зерновым кофе и провести обеденный перерыв в чудесной парковой зоне Компании. Мы искренне заботимся о здоровье наших сотрудников, поэтому у нас есть корпоративные медицинские кабинеты. Любой работник ГК может бесплатно получить там специализированную доврачебную помощь или консультацию по состоянию здоровья, принять участие в профилактических мероприятиях.",,,,JavaScript|SQL|HTML|CSS|Ajax
