salaries	147667 - 190723	2.0
days	avg	18.0
days	max	26.0
days	min	10.0
experience	От 1 года до 3 лет	1.0
experience	От 3 до 6 лет	1.0
employment	Полная занятость	2.0
schedule	Удаленная работа	2.0
skills	C#	2.0
skills	jQuery	2.0
skills	Git	2.0
skills	ASP.NET	2.0
skills	JavaScript	2.0
skills	.NET Framework	2.0
skills	HTML	2.0
skills	WCF	2.0
skills	MS SQL Server	2.0
skills	CSS	2.0
skills	Bootstrap	2.0
skills	Ajax	2.0
skills	HTML5	2.0
skills	MVC	2.0
skills	AngularJS	1.0
skills	React	2.0
skills	Redux	2.0
skills	Angular 5	1.0
skills	Angular 2+	1.0
