,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills
752,752,ios разработчик,Новосибирск,50000.0,,RDS mobile,2019-10-14T13:04:19+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Чем будем заниматься: Разработкой приложений под IOS на objective-c/swift Развитием существующих мобильных приложений; Пожелания к будущему сотруднику: Опыт разработки под iOS Знание Objective-C/Swift, iOS SDK; Инструменты разработки Xcode Понимание iOS guidelines; Ответственность, пунктуальность и аккуратность в решении поставленных задач; Умение писать понятный и качественный код; Ссылки на приложения в AppStore приветствуются Мы предлагаем: Пространство для реализации своих профессиональных амбиций Гибкий график работы Развитие сотрудников: семинары, конференции офис в Академгородке Дружная и молодая команда Официальное трудоустройство",,,,Objective-C|iOS|C++|Xcode
98,98,ios разработчик,Новосибирск,60000.0,100000.0,Magora Systems,2019-09-18T05:31:05+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Magora Systems — международная IT-компания. Мы разрабатываем программное обеспечение, мобильные приложения и веб-сервисы. Мы работаем с 2010 года и выросли до компании с офисами в Новосибирске, Санкт-Петербурге и Лондоне. Наши основные заказчики — компании США, Канады, Австралии, Великобритании и России. А в нашем портфолио — комплексные решения для автоматизации бизнес-процессов, сложные системы слежения для железных дорог и высоконагруженные сервисы. Приглашаем в новосибирский офис iOS-разработчика, к оторому предоставляем условия для комфортной работы и профессионального роста: к омандный code-review; прозрачная система грейдов и регулярный пересмотр зарплаты; подготовка к участию в конференциях и митапах за счет компании; опытные коллеги, которые всегда помогут с советом; адекватный топ-менеджмент компании, открытый к предложениям; и конечно же, никакой бюрократии, но настроенные процессы. Не хочется даже об этом говорить, но на всякий случай обозначим, что вас ждёт: прокаченное рабочее место; отсутствие дресс-кода; гибкий график работы без всяких «обязательных с 9 до 18»; современный офис: с зонами отдыха, приставкой, настольными играми, турником и музыкальными инструментами; официальное трудоустройство с первого дня, отпуск, оплачиваемый больничный и прочие социальные гарантии. А тут не можем настаивать, но предлагаем: насыщенную корпоративную жизнь с тематическими митапами, покерными турнирами, квизами, спортивными мероприятиями и праздниками; обучение английскому языку в офисе; корпоративный бассейн, компанию для бега, компанию для ходьбы в бары и команду для игр в волейбол. Чем вы будете заниматься: разрабатывать новые приложения на Swift; поддерживать существующие приложения на Swift и Objective-C; участвовать в процессе первичной оценки проектов на этапе presale; декомпозировать и оценивать фичи; участвовать в code-review; взаимодействовать со смежными отделами по техническим вопросам. Поэтому для комфортной работы вам понадобится: опыт коммерческой разработки под iOS; хорошее знание Swift (предпочтительно), Objective-C; знание ООП, SOLID, основных паттернов проектирования; опыт применения архитектурных паттернов: MVC/MVP/MVVM; знание официальной документации: Programming Guides, HIG, AppStore Guidelines; понимание принципов functional reactive programming; опыт работы с системами контроля версий (git); английский на уровне чтения технической документации. Мы команда, которая знает, что такое &quot;hard-working&quot; и умеет «зажечь» в пятницу. Давайте с нами?",,,,
1055,1055,ios разработчик,Новосибирск,80000.0,,Brooma,2019-10-15T08:28:34+0300,От 1 года до 3 лет,Гибкий график,Полная занятость,"Привет, IOS разработчикам! Мы в Brooma создаем специализированные системы управления сервисными подразделениями и компаниями. Штаб-квартира компании расположена в Москве, а в Новосибирске у нас центр разработки. Занимаемся развитием своих продуктов, и не принимаем никакого участия в заказной разработке и поддержке legacy. В настоящий момент мы ищем IOS разработчика на проект Threads.im - cервис для помощи в организации общения и взаимодействия с клиентами в мессенджерах, приложениях и на сайтах. Клиенты продукта Threads: Банк &quot;Русский стандарт&quot;, Совкомбанк, Сбертелеком, Яндекс, ГК &quot;Пик&quot; и др. Уровень технических задач достаточно сложный и абсолютно не типовой: вам не придется работать под &quot;копирку&quot;, создавая повторяемые формы-экраны. Вы будете заниматься развитием мобильного SDK, которое используют в работе другие разработчики и видят миллионы клиентов. В своей работе мы используем: AFNetworking, Realm, MFMS Push-notifications, AutoLayout, InterfaceBuilder, MVC/MVP, CocoaPods, Git, Fabric Beta, Crahslytics, TestFlight. Задачи: Разработка новых бизнес-фич продуктов Проектирование и развитие мобильного SDK Интеграция приложений с backend (RESTful API, Websockets) Анализ кода других разработчиков (code review) Оценка проектных решений (в т.ч. эскизов UI) c точки зрения технических ограничений и трудоемкости разработки Основные требования: Опыт работ в качестве IOS разработчика в коммерческих проектах Знание Objective-C Знание iOS SDK Frameworks (UIKit, CoreData, CoreAnimation) Понимание ООП, шаблонов проектирования, архитектур MVC/MVP и их реализации в iOS Понимание принципов работы клиент-серверных приложений Технический английский Большим плюсом будет: Знание Swift Опыт разработки библиотек и фреймворков Опыт работы с пуш-нотификациями Понимание принципов работы REST сервисов, Websockets Наличие опубликованных приложений в AppStore Мы предлагаем: Официальное трудоустройство Комфортный офис в Академгородке Позитивная атмосфера и дружный молодой коллектив Широкие возможности профессионального и карьерного роста",,,,Objective-C|iOS|UI|MVC|Xcode|Git
916,916,ios разработчик,Новосибирск,80000.0,130000.0,Центр финансовых технологий,2019-10-10T06:04:29+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Мы разрабатываем мобильные приложения в области финансов. При помощи них пользователи могут бесплатно пользоваться картами Visa и MasterCard, оплачивать услуги, получать кредиты, совершать денежные переводы и многое другое. Наши крупные продукты: мобильный банк «Кукуруза» и «Карта Билайн», «Денежные переводы - «Золотая Корона», «Обмен валют», «Погашение кредитов», «Транспортная и Социальная Карта». Задачи: - участие в разработке и развитии iOS-приложений для продуктов группы компаний ЦФТ; - участие в планировании и составлении спринтов, оценке задач; - обсуждение постановок с аналитиками; - взаимодействие с backend-разработчиками, проектировщиками интерфейсов, менеджерами проектов; - участие в code review; - обмен опытом с командой, наставничество. Требования к кандидатам: - понимание принципов ООП и шаблонов проектирования; - знание Objective-C или Swift​, iOS SDK, понимание iOS Human Interface Guidelines, Design Patterns; - опыт проектирования пользовательского интерфейса;​ - знание протокола HTTP, опыт работы с JSON; - наличие своих или написанных в составе команды приложений в App Store. Условия работы: - официальное трудоустройство, полный социальный пакет, - современный офис, - возможность профессионального развития и личностного роста: внутренние и внешние конференции и тренинги, собственная библиотека и т.д., - развитая корпоративная культура: весёлые корпоративы, живое общение во внутренней социальной сети, - забота о здоровье: программы ДМС, - скидки, бонусы на различные услуги.",,,,ООП|Objective-C|Swift|iOS SDK|iOS Human Interface Guidelines|Design Patterns
456,456,ios разработчик,Новосибирск,80000.0,120000.0,Секвения,2019-10-14T00:01:38+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Компания Sequenia специализируется на разработке сложных бизнес-приложений, которые интегрируются с различными сервисами заказчика. Мы предоставляем клиентам свою экспертизу: в необходимой функциональности, специфике работы различных мобильных платформ и стильном дизайне. По результатам 2018 года мы вошли в ТОП-50 лучших мобильных разработчиков России. Мы хорошо освоили сегмент бизнес-приложений и готовы к более крупным проектам. Сейчас к нам пришли 2 клиента — российский luxury-бренд со 100-летней историей и немецкий стартап. Ждём в команду человека, которому интересно разбираться в бизнесе, чтобы делать осмысленные решения и который поможет команде в новом этапе развития компании. Требования: — Уверенное знание принципов объектно-ориентированной разработки, паттернов ООП. — Опыт коммерческой разработки на Objective-C и/или Swift от 1.5 лет. Условия: — Удобный офис в центре города. — Зарплата от 70-90К (Middle). Всё по ТК РФ. — Гибкий график по договоренности с командой. — MacBook Pro (или iMac - по желанию) для работы."," — Уверенное знание принципов объектно-ориентированной разработки, паттернов ООП. — Опыт коммерческой разработки на Objective-C и/или Swift от 1.5 лет. ",, — Удобный офис в центре города. — Зарплата от 70-90К (Middle). Всё по ТК РФ. — Гибкий график по договоренности с командой. — MacBook Pro (или iMac - по желанию) для работы.,iOS|Objective-C|Swift
674,674,ios разработчик,Новосибирск,87000.0,160000.0,Тензор,2019-10-08T10:00:46+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Тензор – крупная российская IT-компания. Наш основной продукт – СБИС – сеть деловых коммуникаций. СБИС объединяет людей и компании, системы управления и учета, бизнес-процессы и документы в одной системе. Систему СБИС придумали, создали и постоянно совершенствуют более 1000 разработчиков в 11 филиалах по стране. У нас есть фанаты дата-майнинга, эксперты в разработке кроссплатформенных приложений и высоконагруженных систем, разработчики мобильных, настольных и веб-приложений, специалисты по обработке, анализу и хранению больших массивов данных. В нашу команду мобильной разработки нужен талантливый iOS-программист. Вы наш идеальный кандидат, если у Вас есть: опыт программирования на Swift; знания базовых фреймворков iOS SDK (UIKit, Foundation, CoreLocation и др.); понимание принципов: SOLID, DI; знания архитектурных паттернов: MVP, VIPER; умение работать со AutoLayout из кода, StoryBoards, XIB; опыт работы с Git. Вашим преимуществом будет: наличие законченных приложений в App Store; участие в Open Source проектах и/или свои наработки на Github. Вам предстоит: разрабатывать мобильные приложения на базе iOS для продуктов компании; участвовать в создании новых проектов в команде опытных разработчиков. С нашей стороны мы предлагаем: интересную работу в крупной и стабильной IT-компании; оформление по ТК РФ; премии от 5 до 20% по итогам работы за месяц; комфортный офис в центре города или Академгородке; курсы английского языка; ДМС после 1 года работы.",,,,
70,70,ios разработчик,Новосибирск,,,Электронный город (ООО Новотелеком),2019-10-08T05:54:11+0300,От 1 года до 3 лет,Полный день,Полная занятость,"В &quot;Электронный город&quot; требуется Разработчик на проект мобильных приложений для управления умным домофоном и сопутствующими устройствами в проекте &quot;Мой дом&quot; О проекте: Мы ищем iOS-разработчика на проект &quot;Умный домофон&quot; Наш проект - это возможность изменить мир к лучшему. Привычные вещи сделать современными и удобными, понимающими тебя с полуслова. Или вовсе без слов. Уже в этом году мы несём домофон, не привязанный к архаичным технологиям, в десятки городов. Он уже управляется с мобильного, и вот-вот начнет узнавать своих и чужих по лицу и голосу. В перспективе это - полноценный умный двор, знающий привычки каждого жителя, и угадывающий его желания. Чтобы стать частью нашей команды, нужно знать: Знание iOS SDK, Human Interface Guidelines, Objective-C Опыт разработки клиент-серверных приложений (REST API, JSON, XML и т.д..) Знание ООП, паттернов проектирования, в том числе и архитектурных (MVC, MVP, MVVM, VIPER) Понимание модели управления памятью Cocoa Будет плюсом: Знание Swift, Dependency Injection, Socket, VoIP Push Dependency Injection Опыт написания Unit/UI тестов Условия работы: Рабочее место - офис по адресу ул. Семьи Шамшиных График работы - 5/2, 8-ми часовой рабочий день Официальное трудоустройство, белая заработная плата Плюшки и приятные бонусы: бесплатный интернет у Вас дома (при наличии технической возможности), возможность заниматься спортом",,,,Android|Objective-C|SWIFT Alliance|iOS|iOS SDK
280,280,ios разработчик,Новосибирск,,,Dankolab,2019-10-13T10:43:28+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Dankolab - компания разработчик мобильных игр и приложений из Новосибирска. В связи с увеличением команды ищем опытного IOS-разработчика. Вам предстоит: Заниматься проектированием и разработкой приложений, а также решать интересные задачи; Работать в команде с iOS и backend разработчиками, аналитиками и тестировщиками; Поддерживать и развивать существующие проекты; Мы ждем от Вас: Хорошее знание Swift/Objective-C; Понимание принципов ООП; Работа с Git; Знание Foundation, UIKit, Core Animation; Знание и понимание GCD(QOS); Желание обучаться; Будет плюсом: Понимание iOS guidelines; Опыт работы с Alamofire, RxSwift; Опыт разработки по git-flow; Умение писать понятный и качественный код; Умение применять паттерны программирования; Ссылки на завершенные приложения в AppStore; Работа в Dankolab - это: Работа в компании полного цикла; Рабочий день в рамках: 9:00 – 18:00; 10:00 – 19:00 или 11:00 – 20:00 на Ваш выбор; Интересные проекты‚ творческая атмосфера в коллективе; Уютный офис в центре города, где Вас ждут вкусный кофе/чай, снеки и другие плюшки; Стабильная заработная плата; Возможность карьерного и финансового роста.",,,,Objective-C|iOS|Swift|ООП|Git|Foundation|UIKit|Core Animation|GCD(QOS)|Alamofire|RxSwift
335,335,ios разработчик,Новосибирск,,,Дневник.ру,2019-09-19T14:35:36+0300,От 1 года до 3 лет,Гибкий график,Полная занятость,"Дневник.ру - российская IT-компания с головным офисом в Санкт-Петербурге. Ключевой продукт компании &quot;Дневник.ру&quot; – закрытая защищённая цифровая образовательная платформа, в которой зарегистрировано большинство школ страны. Сегодня с платформой успешно работают 7,7 млн учащихся, 4 млн родителей и свыше 800 тыс. преподавателей из всех регионов России. По сути, нашим облачным решением пользуется каждая вторая школа. На данный момент у нас есть 3 мобильных приложения написанных на Swift с нуля. Мы планируем расширять возможности этих приложений. Мобильная команда &quot;Дневник.ру&quot; ищет опытного iOS разработчика, который будет ключевым мобильным разработчиком на проектах. Работа предполагает релокацию в г. Санкт-Петербург. Что необходимо: Уметь работать с Interface Builder, СocoaPods, fastlane и CI, универсальными приложениями и accessibility; Разбираться в больших фреймворках; Желание влиять на развитие продуктов; Преимуществом будет: Знание XMPP или другой опыт реализации чатов. Мы предлагаем: Высокий уровень компенсации (обсуждается индивидуально с каждым успешным кандидатом); Релокационный пакет; Работу над сложными и интересными проектами; Возможность непосредственно влиять на развитие продукта, привнося свои идеи в проект; Объективную оценку компетенций и достижений, возможность расти; Гибкий график (плавающее начало рабочего дня); Оформление по ТК РФ, «белая» заработная плата; Профессиональный и дружный коллектив; Корпоративные мероприятия; Офис в бизнес-центре А класса, в пешеходной доступности от метро Горьковская/Выборгская/Петроградская.",,,,Interface Builder|iOS|CocoaPods|Swift|Fastlane|CI|Zeplin
380,380,ios разработчик,Новосибирск,,,Drom,2019-09-27T02:16:55+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Drom.ru — это автомобильный интернет-портал федерального уровня. Ежедневно сайт посещает более 3 миллионов пользователей. Нам 20 лет, и мы продолжаем активно расти. В связи с расширением штата ищем разработчика приложений под iOS. Некоторые наши iOS-проекты: Дром Авто Приложение позволяет легко и быстро купить или продать автомобиль со смартфона или планшета. В базе объявлений Drom.ru уже более 600 000 предложений со всей России. Приложение написано на Objective-C, но новый код пишем только на Swift. Дром ПДД Приложение для тех, кто ещё учится в автошколе или готовится к экзамену в ГИБДД. Приложение написано на Objective-C. Дром Штрафы Приложение для проверки и оплаты штрафов ГИБДД. Написано полностью на Swift. Чем будем заниматься: - разрабатывать и поддерживать iOS-приложения; - дорабатывать и писать фреймворки, используемые в приложениях; - участвовать в кодревью команды; - обсуждать новые фичи и требования; - взаимодействовать с нашими командами продуктовой разработки (Владивосток, Томск, Новосибирск); - осваивать новые технологи, решать интересные и сложные задачи в ведущей IT-компании Дальнего Востока по разработке highload web-проектов. Мы ищем iOS-разработчика, который: - имеет опыт создания приложений под iOS; - знает Swift для написания нового кода и Objective-C для поддержки старого; - понимает базовые алгоритмы, ООП, шаблоны проектирования, парадигмы MVC; - умеет работать в команде и с чужим кодом, а также с системами контроля версий (мы используем Git). Плюсом будут: - опубликованные приложения в AppStore или активная страница на GitHub; - понимание AppStore Review Guidelines и Human Interface Guidelines; - знание архитектур VIPER, MVVM и других подходов к разработке приложений; -любовь к Unit-тестам и не только; А ещё круче будет, если в добавок тебе интересно пользовательское взаимодействие и интерфейсы, и ты готов расти в этом направлении Кто мы? Мы работаем над интересными и уникальными проектами. Используем Scrum и Kanban. Постоянно учимся новому, обмениваемся опытом, помогаем друг другу в реализации задач. Мы работаем в БЦ Новая высота (10 минут до метро). У нас есть уютная офисная кухня, на которой всегда есть кофе и полный холодильник; турники, спортивная стенка, кресло-мешки и многое другое. Мы носим кроксы, шорты и прочий нерегламентированный &quot;дресс-код&quot;. Мы ездим на конференции, смотрим в офисе вебинары на большом мониторе, покупаем всю нужную литературу. Тебя ждет: - полностью официальная зарплата, оформление по ТК РФ с первого дня работы, гибкий график и плавающее начало дня (с 8 до 10 утра); - уровень дохода, достойный твоей квалификации, определится по результатам собеседования и будет периодически расти. Напиши нам о себе. Присылай резюме, даже если ты не уверен в своих силах, мы готовы рассмотреть вариант обучения разработчиков без опыта, но с сильной теоретической базой и желанием работать в данном направлении. Нет резюме? Не страшно! Можно просто откликнуться на нашу вакансию, направить ссылки на профили в GitHub, StackOverflow, Хабр, а также на твои работы в AppStore. Будем рады пообщаться!",,,,Objective-C|Git|ООП|MVC|iOS|Scrum
