,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills
837,837,java разработчик,Новосибирск,40000.0,,Предприятие Элтекс,2019-10-14T14:05:32+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Привет, %username% Зовут меня Егор, я руководитель группы веб-разработки в Элтекс. Делаем мы много всякого веба — как фуллстек для разных железок (встраиваемый веб aka embedded), так и чистый фронт для разных систем управления. Однако разговор в этот раз пойдёт о проекте под названием «Бендер-портал». Это портал для наших менеджеров по продажам. Им нужна система, которая бы помогла вести учёт переговоров — как письменных (по почте), так и устных (по телефону). Вела бы сделки, группировала всю нужную информацию и выдавала её в удобном виде. Наш портал умеет уже сейчас работать с 4 базами (двумя PostgreSQL и двумя MySQL), синхронизируя информацию между ними. Умеет вытаскивать письма (с приложениями), фиксировать факты телефонных переговоров и прочее, прочее, прочее. Сейчас в планах много интересных фишек. Например, мы хотим фиксировать не только переписку, но и телефонные переговоры (в аудио-формате). А ещё бы аналитику прикрутить и много другого интересного. Поэтому мы ищем человека, который: любит программировать любит тяжело программировать, улучшая код и внедряя что-то новое, прекрасное, вечное… любит своих пользователей (менеджеров продаж), т.к. они хорошие, весёлые и полезные ребята а ещё любит джунов, т.к. на проекте сейчас есть один джун; да, один джун и всё - так что (почти) полная свобода действий! :) А ещё есть много других проектов, на которые можно будет со временем перейти, если этот закончится/надоест. Немного технических подробностей. Бэкэнд: java spring PostgreSQL, MySQL Фронт: js (ES5, но кто ж вам запретит использовать новьё?) angularjs (сорри, что умели, то и вставили) jquery bootstrap (куда ж без него?) Скрама-канбана и прочих новомодных вещей нет, потому что на проекте, как указано выше, один джун. Но флаг вам в руки! Компания существует уже 100500 лет и успешно развивается (можно не опасаться, что закроется завтра). Коллектив клёвый — весёлые, умные ребята, в основном до 30-35 Ещё у нас есть свой спортзал, рядом парк-лес, в котором можно гулять, кормить белочек, слушать птичек. Мы предлагаем: Участие в профессиональных конференциях; Собственный тренажерный зал в офисе, настолки и кикеры; Молодой и дружный коллектив, команду профессионалов, у которых есть чему поучиться; Трудоустройство согласно ТК РФ, соц. пакет, белая ЗП; Большое и современное здание (у нас найдется парковочное место не только для твоего авто, но и для велосипеда); Служебный транспорт от пл.Калинина и 4,5,6 мкр.; Уровень оплаты обсуждаем с каждым кандидатом индивидуально, в зависимости от компетенций и опыта работы. Если, прочитав вакансию, сердце ёкнуло, тогда скорее откликайся, мы будем рады познакомиться. Крутой java-разработчик, мы ждем тебя в нашей команде!",,,,Java|Spring Framework|Git|Linux|Apache Maven|AngularJS|Swing|CSS|HTML|PostgreSQL|Spring MVC|Bootstrap
111,111,java разработчик,Новосибирск,67000.0,100000.0,Айкам,2019-10-13T13:10:52+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Приглашаем талантливых разработчиков Java присоединиться к команде разработки нового поколения систем электронного документооборота (Работать совместно в единой команде с ведущим Российским разработчиком ПО). Проект очень интересный, неординарный, с огромным потенциалом и перспективами развития. Что нужно будет делать: - Участие в проектировании и разработке новых высоконагруженных сервисов; - Участие в решении сложных интеграционных задач; - Взаимодействовать с командой внедрения и тестирования; - Поддержка и развитие существующих продуктов; Требования: - Понимание ООП и принципов проектирования. - Хорошее знание Java SE: Exceptions, Collections, IO, Multi-threading, JDBC - Уметь разбираться в чужом коде; - Опыт работы с СУБД и знание SQL (желательно Oracle, PostgreSQL) - Опыт работы с одним из серверов приложений: Tomcat, Glassfish, Weblogic, Websphere, Wildfly; Желательно: - Представление о разработке веб-сервисов (REST, Servlet API) - Базовые понимания фреймворка Spring(DI). - Опыт работы с maven, git. - Опыт работы ORM (Hibernate или другие)",,,,Spring Framework|PostgreSQL|Java|Apache Maven|SQL|Java Servlets|REST|Hibernate ORM|Git|Java SE|XML|Atlassian Jira|Atlassian Confluence|WildFly
740,740,java разработчик,Новосибирск,100000.0,,С7 Информационные технологии,2019-10-07T10:49:21+0300,От 1 года до 3 лет,Полный день,Полная занятость,"S7 IT — одно из ключевых подразделений холдинга S7. Мы занимаемся разработкой собственного ПО, развитием и поддержкой IT-инфраструктуры, обеспечиваем автоматизацию бизнес-процессов. Сейчас мы в поисках Java-разработчика для разработки систем управления полетов, аэропортов, систем бронирования и регистрации. Мы разрабатываем такие системы как: расчет загрузки бортового питания и интеграции с контрагентами по; модуль учета пассажиров в бизнес залах АК + распознавание лиц; модуль расчета стоимости рейса; etc. Мы придерживаемся принципов построения слабосвязанной микросервисной архитектуры и SOLID при проектировании каждого отдельного сервиса. В разработке используем: Java 8, Spring boot 2.0, Apache Kafka, postgresql, Oracle Db, Docker, Kubernetes. У нас полноценный CI/CD на GitLab. Логи и мониторинг: zabbix, grafana, graylog. Чем предстоит заниматься: ∙ участвовать в командной работе над проектами компании; ∙ разрабатывать back-end Java-сервисов/микросервисов; ∙ поддерживать работоспособность систем; ∙ участвовать в обсуждении и реализации новых функциональностей. Наши ожидания от кандидата: ∙ опыт работы Java-разработчиком не менее 1 года; ∙ знание Spring, Hibernate; ∙ хорошее понимание принципов ООП; ∙ понимание принципов работы протокола HTTP и клиент серверного взаимодействия; ∙ опыт работы с Oracle или PostgreSQL. Об условиях. Мы работаем в современном и комфортном офисе в минуте ходьбы от ст.м. Октябрьская. Ежегодно посещаем лучшие ИТ-конференции, организуем тренинги и ведём внутренний проект обмена знаниями «Talk about IT». У нас официальное трудоустройство, &quot;белая&quot; заработная плата, полный соцпакет. Всей семьей летаем по корпоративным тарифам самой пунктуальной российской авиакомпанией - S7 Airlines.",,,,
168,168,java разработчик,Новосибирск,,,ФОРТ СИСТЕМС,2019-10-07T09:05:48+0300,Нет опыта,Полный день,Полная занятость,"Что нужно делать: основная задача разрабатывать и расширять функциональность продукта проектировать и реализовывать решения для новых задач Что используем: Java, Spring, Netty, Postgres Javasript Git Что нам нужно от кандидата: Знание Java Желание работать и развиваться в выбранном направлении Что мы предлагаем: Работа над интересным сервисом, который полезен людям Финансовый и карьерный рост вместе с ростом продукта Возможность вносить вклад в развитие и влиять на конечный результат",,,,
174,174,java разработчик,Новосибирск,,,Сбербанк,2019-10-02T13:14:57+0300,Нет опыта,Полный день,Полная занятость,"В дружную команду разработки лучшего в России Fintech-API приглашается java-разработчик . Наш проект – это интеграция партнёрских небанковских сервисов в традиционные пользовательские сценарии интернет-банка для корпоративных клиентов, развитие и совершенствование экосистемы Сбербанк Бизнес Онлайн. Вам предстоит интересная и увлекательная работа в кругу единомышленников с полноценным применением agile software development . Первая версия нашего продукта уже внедрена в промышленную эксплуатацию. Задачи разработчика: Создание новых и поддержка существующих сервисов, Проектирование и разработка модулей системы, Сопровождение текущего функционала, refactoring, code-review, Участие в обсуждении и принятии архитектурных решений. Мы ждем от кандидата: Опыт разработки фронтальных систем высокой нагрузки; Знание основных методологий разработки программного обеспечения; Опыт командной разработки; Умение разбираться в чужом коде, писать чистый и понятный код для других разработчиков, опыт написания автотестов; Опыт работы с технологиями: Spring, Hibernate, Gradle, JMS, JAX-WS, Git, Jenkins, UML, Junit, знание основ РСУБД; Высшее техническое образование (хорошая методологическая база). Мы предлагаем: - масштабные и высоконагруженные проекты с использованием новых технологий; - команду профессионалов, готовых поддержать ваши инициативы; - использование Agile-методологии; - возможность обучения и сертификации за счёт компании; -возможность изучения английского языка, не выходя из офиса; - гибкий график ; - трудоустройство согласно трудовому кодексу; - оклад плюс премии по результатам работы; - корпоративное обучение; - медицинскую страховку; - материальная поддержка в особых случаях; - скидки на продукты Сбербанка. Про Сбербанк Сбербанк — это современная техническая платформа, создающая новые способы потребления финансовых (и не только) услуг. Мы собираем лучшие технологии и управленческие методы из мировой практики, чтобы превратить «главный» банк России в передовую сервисную экосистему. Если тебе нравится эта идея, присоединяйся к нашей команде. За что сотрудники любят Сбербанк: прогрессивность: да, мы — банк со столетней историей, но одновременно и финтех-стартап с идеями о том, как изменить мир масштаб: внутри одной компании можно развиваться в любом направлении и строить карьеру с любым уровнем амбиций эффект: ты стараешься — и это видят десятки миллионов людей.",,,,
296,296,java разработчик,Новосибирск,,,КОРУС Консалтинг СНГ,2019-10-01T17:07:10+0300,От 3 до 6 лет,Полный день,Полная занятость,"О нас: КОРУС Консалтинг СНГ – дочерняя компания Сбербанка. За 15 лет работы мы добились лидирующих позиций в сфере электронного документооборота. Сегодня КОРУС Консалтинг СНГ – это комплексная разработка для различных проектов Сбербанка. Мы разработали платформу онлайн кредитования и десяток других сервисов для Сбербанка, которыми пользуются сегодня 370 000 юридических лиц. Наша компания ищет Java-разработчика , на проект Сбербанка «Эквайринг» О проекте: Трайб &quot;Эйквайринг и программы Лояльности&quot; обеспечивает развитие и поддержку всем известных банковских услуг. Уже сейчас сервисами пользуется каждый: 86000 банкоматов по стране. 100 млн активных карт. 1,4 млн терминалов оплаты. Стэк технологий : Java; Git; Maven; IBM WebSphere AS; IBM MQ; Jenkins; Groovy; JIRA, Confluence. Чем предстоит заниматься: Участие в проектах в роли разработчика в команде SberGile. Разработка backend по ТЗ. Разработка UI по макетам. Исправление дефектов. Выявление спорных требований, уточнение у аналитиков. Контроль работ, code review. Написание unit-тестов. Техническая экспертиза. Написание технической документации. Что мы ждем от кандидата: Высшее техническое образование. Опыт коммерческой разработки на Java – 3+ лет. Знание Git, Maven, JDBC. Работа с серверами приложений. Базовые знания SQL. Умение писать UNIT-тесты (используем TestNG, Mockito). Умение писать чистый, расширяемый, поддерживаемый код. Будет плюсом знание: IBM WebSphere AS. JSF. MyBatis. JMS. Что мы предлагаем: Крупная компания (более 500 сотрудников), оформление по ТК, «белая» зарплата; Работа в проектной команде по гибким методологиям; Возможность создавать сервисы для миллионов клиентов; ДМС после прохождения испытательного срока; Скидки на индивидуальное изучение английского языка в школе SkyEng; Спортзал со свободным доступом для сотрудников в бизнес центре компании; Помощь кандидатам при переезде из других городов.",,,,Java|Apache Maven|IBM WebSphere AS|Jenkins|Groovy
385,385,java разработчик,Новосибирск,,,КБ Пойдём!,2019-10-02T09:59:27+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Требуется Java-разработчик. Задачи: автоматизация внутренних процессов банка в рамках разных проектов, а также поддержка и развитие уже внедренного функционала: Кассовые операции; Открытие и ведение счетов/клиентов/договоров; Реализация в ПО логики новых, уникальных продуктов; Работа с заявками на кредитование; Управление просроченной задолженностью; Интеграционные проекты с внешними организациями; Интеграция собственных приложений; Формирование отчетности. Обязанности: Разработка высоконагруженных приложений Банка; Доработка и рефакторинг имеющегося функционала систем; Поддержка существующего функционала приложений (поиск проблем и их устранение на основании заявок пользователей); Требования: уверенное знание Java; уверенное знание принципов ООП; уверенное знание принципов работы СУБД, понятия &quot;план запроса&quot;; базовые знания HTML, CSS; понимание базовых алгоритмов, структур данных и шаблонов проектирования; опыт работы с системами автоматизации процесса разработки. Будет большим плюсом: опыт работы с Oracle DB/ PLSQL; знание JavaScript; опыт работы со Spring; опыт работы с Maven; опыт работы с GIT; Условия: От нас: - Много интересных задач - Высоконагруженные системы, обслуживающие сотни тысяч клиентов и тысячи сотрудников - Динамичное развитие компании и подразделения - Профессиональные коллеги и распределенная команда разработки в 3х городах (Екатеринбург, Москва, Новосибирск) - Офис в Новосибирске: Дуси Ковальчук или Академгородок - Адекватное руководство - Своевременная белая з/п - Дополнительная финансовая и не только мотивация для тех, кто вкладывает в работу душу, и это приносит пользу компании. Удобный для работы офис (Екатеринбург, Московская 195, 12 этаж бизнес-центра) От Вас: - Профессионализм - Уверенные знания предмета своей работы - Понимание лучших практик и подходов к разработке, тестированию, рефакторингу приложений - Стремление постоянно развиваться самому и развивать коллег - Уважение и здоровые рабочие отношения со всеми сотрудниками компании - Готовность решать задачи, а не объяснять невозможность их решения"," уверенное знание Java; уверенное знание принципов ООП; уверенное знание принципов работы СУБД, понятия &quot;план запроса&quot;; базовые знания HTML, CSS; понимание базовых алгоритмов, структур данных и шаблонов проектирования; опыт работы с системами автоматизации процесса разработки. Будет большим плюсом: опыт работы с Oracle DB/ PLSQL; знание JavaScript; опыт работы со Spring; опыт работы с Maven; опыт работы с GIT; ", Разработка высоконагруженных приложений Банка; Доработка и рефакторинг имеющегося функционала систем; Поддержка существующего функционала приложений (поиск проблем и их устранение на основании заявок пользователей); ," От нас: - Много интересных задач - Высоконагруженные системы, обслуживающие сотни тысяч клиентов и тысячи сотрудников - Динамичное развитие компании и подразделения - Профессиональные коллеги и распределенная команда разработки в 3х городах (Екатеринбург, Москва, Новосибирск) - Офис в Новосибирске: Дуси Ковальчук или Академгородок - Адекватное руководство - Своевременная белая з/п - Дополнительная финансовая и не только мотивация для тех, кто вкладывает в работу душу, и это приносит пользу компании. Удобный для работы офис (Екатеринбург, Московская 195, 12 этаж бизнес-центра) От Вас: - Профессионализм - Уверенные знания предмета своей работы - Понимание лучших практик и подходов к разработке, тестированию, рефакторингу приложений - Стремление постоянно развиваться самому и развивать коллег - Уважение и здоровые рабочие отношения со всеми сотрудниками компании - Готовность решать задачи, а не объяснять невозможность их решения",Java|JavaScript|MySQL|Apache Maven|Hibernate ORM
460,460,java разработчик,Новосибирск,,,АЙФЭЛЛ,2019-09-25T11:44:46+0300,От 1 года до 3 лет,Полный день,Полная занятость,"iFellow – ИТ компания нового поколения, предлагающая сервисно-ориентированный подход к разработке ПО, тестированию и сопровождению информационных систем для бизнеса. Компания iFellow объединила в себе лучшие российские практики и передовой зарубежный опыт реализации проектов любой сложности для развития информационных технологий и бизнес-процессов. iFellow работает на ИТ рынке с 2015 года. Начиная с 2018 года, основной специализацией компании стало направление комплексной системной интеграции и разработка программного обеспечения. Сегодня компания предлагает целый ряд инновационных решений для финансовых, страховых и телекоммуникационных компаний, грузовой и пассажирской авиации, нефтегазовой отрасли, сельского хозяйства, а также ритейла и логистики. На текущий момент мы расширяем нашу команду и будем рады принять в наш дружный коллектив Java разработчика : Предстоит: разработка основы для дальнейшего масштабирования на все дистанционные банковские каналы (интернет-банк, мобильные приложения, платёжные сервисы и многое другое); взаимодействие с различными командами разработки, Data Science, поддержки и другими (поэтому необходимы хорошие навыки коммуникации или желание их развивать); вносить свой вклад в развитие архитектуры, оценивать старое и делать новое. Необходимы: отличные знания Java; знания Spring и Spring Boot, Docker и Groovy; умение использовать различные инструменты для тестирования кода и приложений различной сложности: JUnit, Spock, Testcontainers, Mockito, Hamcrest; уверенные знания о работе unix-систем; знание принципов и шаблонов проектирования, нужно уметь обосновать свою точку зрения; опыт работы с системами контроля версий (Git); желание работать с большими и сложными проектами; желание сделать процесс разработки эффективным с помощью правильных инструментов (Git, Binary Release Management, CI/CD, Scrum/Kanban); знание работы Spring/Spring boot; опыт работы с инструментами управления Ansible/Salt/Chef/etc. Мы гарантируем: конкурентоспособную заработную плату и оформление в соответствии с ТК РФ; полис ДМС после успешного прохождения испытательного срока; уютный офис в удобной транспортной доступности. iFellow Quality. Clarity. Performance. Reality.",,,,Java|Git|Spring Framework|Unix|Scrum|Ansible|CI/CD
675,675,java разработчик,Новосибирск,,,МТС,2019-09-16T08:50:53+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Что именно вам предстоит делать? Разработка и сопровождение интеграционных приложений на Java в среде Linux Разработка и сопровождение документации (пользовательской, технической) Опыт и знания, на которые мы рассчитываем: Техническое образование Опыт работы разработчиком от года Опыт разработки на Java Уверенное знание общей теории ООП Опыт работы с системами автоматической сборки (Maven) Опыт работы с системами контроля версий (Git) Уверенное знание Linux (пользовательский уровень) Желание развиваться, инициативность, умение аргументированно отстаивать свою позицию. На что мы обратим внимание: Знание спецификации OSGi Опыт работы с брокерами сообщений Понимание современных веб-технологий (html, css, js, http, REST, SOAP, websocket) Опыт построения асинхронной интеграции Опыт работы с Apache Camel Знания SQL Опыт работы в распределенной команде. Нужно ли знать иностранные языки? Технический английский приветствуется. Ждать ли овертайм? Овертаймы возможны, но не являются правилом. Мы за оптимизацию рабочего времени. Какие условия? Каждый месяц - аванс и зарплата, дважды в год - премия. Бонусом – корпоративная связь, отличная медицинская страховка, компенсация расходов на спорт, обучение в корпоративном университете и доступ к масштабной корпоративной библиотеке.",,,,Java|Git|SQL|Linux|ООП
827,827,java разработчик,Новосибирск,,,Brooma,2019-10-15T08:28:39+0300,От 1 года до 3 лет,Гибкий график,Полная занятость,"Мы в Brooma создаем специализированные системы управления сервисными подразделениями и компаниями. Штаб-квартира компании расположена в Москве, в Новосибирске у нас центр разработки. Занимаемся развитием своих продуктов, и не принимаем никакого участия в заказной разработке и поддержке legacy. Это позволяет нам ставить в приоритет качество кода и эффективность технических решений, а не скорость разработки. Все проекты успешно работают у наших клиентов: Unilever(Forbes 500), Банк &quot;Русский Cтандарт&quot;, комплекс &quot;Москва-Сити&quot; и др. Бэкенд на всех проектах реализован в виде монолитного REST API сервиса на Java 8 с использованием стека технологий Spring Framework, Hibernate, ActiveMQ, Quartz, Spring Boot и . Мы также занимаемся задачами, связанными с ботами, интеграциями с веб-сервисами, машинным обучением и нейросетями. Проекты достаточно высоконагруженны и реализованы на современном стеке технологий. Клаудизация, работа в режиме нескольких серверов, балансировщики нагрузки, сервисы мониторинга, репликации БД, devops и continuous integration - все это не пустой звук и про нас. Задачи: Командная работа над продуктами компании Разработка новых компонент и модулей Автоматизация тестирования (JUnit тестирование) Анализ, контроль и улучшение качества кода Основные требования: Опыт от 3х лет в качестве Java разработчика в коммерческих проектах Отличные знания Java Core Опыт работы со Spring Framework, Hibernate Опыт разработки REST сервисов Знания и умения применять принципы ООП и ООД Опыт работы с системами контроля версий (Git) Умение писать понятный, документированный код Большим плюсом будет: Знание PostgresSQL или Oracle, способов оптимизации запросов Опыт работы с многопользовательскими, многопоточными, высоконагруженными приложениями Опыт разработки в условиях микросервисной архитектуры Опыт работы с JMS (ActiveMQ) Мы предлагаем: Официальное трудоустройство Комфортный офис в Академгородке (либо оплачиваемый коворкинг в центре Новосибирска с возможностью работы из него). Потенциально готовы открывать офис в центре Новосибирска Позитивная атмосфера и дружный молодой коллектив Широкие возможности профессионального и карьерного роста",,,,Java|Spring Framework|Hibernate ORM|JUnit|Scrum|Agile Project Management
