salaries	165000 - 213334	1.0
days	avg	32.0
days	max	32.0
days	min	32.0
experience	Более 6 лет	1.0
employment	Полная занятость	1.0
schedule	Полный день	1.0
skills	C#	1.0
skills	C++	1.0
skills	Qt	1.0
skills	Unit Testing	1.0
skills	Google Protobuf	1.0
skills	Drivers	1.0
skills	OpenGL	1.0
skills	Windows	1.0
skills	Code Review	1.0
skills	CMake Toolchain	1.0
skills	Memory Profiling	1.0
skills	Git	1.0
skills	Performance Profiling	1.0
skills	Linux	1.0
skills	MacOS	1.0
skills	MSVC Toolchain	1.0
skills	Gnu C++	1.0
