,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills
50,50,php разработчик,Новосибирск,30000.0,70000.0,Ex-In,2019-10-09T15:07:46+0300,От 1 года до 3 лет,Полный день,Полная занятость,"В компанию Bullet требуется веб-разработчик. Охотно рассматриваем кандидатов с небольшим опытом, но большим желанием развиваться в веб-разработке. Bullet — набор сервисов для предпринимателей и маркетологов: конструктор сайтов, CRM-система, конструктор контекстной рекламы и модуль mail-рассылок. Ведем совместную разработку с «Яндекс», «Рамблер», «Сбербанк» и др. Наши клиенты — известные блогеры и крупные компании. Обязанности веб-разработчика: — Разработка нового функционала (новые продукты и модули, новые фичи, новые инструменты). — Рефакторинг существующего кода (мы развиваемся и растем, и нужно находить медленные и некачественные части кода и улучшать их). — Исправление возникающих ошибок (иногда возникают баги и ошибки, которые не смогли предусмотреть на этапе проектирования и конструирования, их нужно отлавливать и исправлять). — Решение внутренних задач (добавление отчетов и выгрузок, визуализация внутренней статистики, работа над внутренней CRM). — Помощь контент-отделу с версткой (иногда контент-отдел не справляется с версткой внутренних страниц и им нужна помощь знающих людей). Минимальные требования: — Внимательность и аккуратность в разработке. — Умение писать комментарии и документацию к своему коду. — Опыт работы с PHP 7 на уровне ООП. — Опыт работы с Yii2 Framework (либо с другим MVC-фреймворком). — Опыт работы с миграциями. — Знание SQL (индексы, сложные запросы). — Верстка и фронт на уровне HTML5, jQuery, AJAX, Bootstrap. — Git, Composer, Unix Bash. Условия: — ​​​Полный рабочий день. — Удаленка (при условии ежедневной отчетности). — Испытательный срок 3 месяца. — Оплачиваемое тестовое задание. — Заработная плата от 30 000 до 60 000 на руки по результатам тестового задания.",,, — ​​​Полный рабочий день. — Удаленка (при условии ежедневной отчетности). — Испытательный срок 3 месяца. — Оплачиваемое тестовое задание. — Заработная плата от 30 000 до 60 000 на руки по результатам тестового задания.,CSS|JavaScript|MySQL|PHP|HTML|Yii
794,794,php разработчик,Новосибирск,50000.0,,НПФ Гранч,2019-10-14T05:02:41+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Мы - стабильная, не перестающая развиваться компания - лидер рынка систем подземной связи, автоматизации и управления технологическими процессами. Мы более 25 лет на рынке. В числе реализованных проектов первый в мире подземный интернет, первая в мире подземная искробезопасная Wi-Fi инфраструктура, первая в мире система точного подземного позиционирования, комплекс &quot;Умная шахта&quot; и множество других разработок, задающих тенденцию развития отрасли. Обязанности: проектирование и разработка проекта управления производством - MES (backend и frontend) Требования: отличное знание Yii2, PHP7, MySQL; отличное знание Javascript и JQuery; знание CSS и HTML; опыт написания Unit тестов; опыт работы с системой контроля версий Git. Будет плюсом: опыт работы с ReactJS, Node.JS; опыт работы с системой управления проектами Jira; Условия: работа в стабильной развивающейся компании; официальное трудоустройство, соц. пакет согласно ТК РФ; пятидневная рабочая неделя; рабочий день с 8-00 до 17-00 (есть возможность корректировки графика работы); своевременная &quot;белая&quot; заработная плата. размер заработной платы готовы обсуждать с кандидатами в зависимости от их уровня знаний и опыта, дополнительное премирование по результатам проектов; отлично оборудованный комфортный офис в 15 мин от ст. метро &quot;Березовая роща&quot;; участие в профильных семинарах, конференциях, выставках;- конструктивная рабочая атмосфера; дружный коллектив, корпоративные праздники и мероприятия; бесплатный спортзал с душем, оборудованная кухня и вкусный кофе в офисе, несколько хороших столовых и кафе рядом с офисом. Мы ищем в команду человека, который: постоянно учится и развивается; всегда нацелен на результат; умеет работать в команде; не боится сложных задач; обладает самостоятельностью; любит свою работу. У нас дружный коллектив. Решаем интересные разноплановые задачи. Если Вы не обладаете перечисленными навыками на высоком уровне, но уверены в себе и хотите расти и развиваться, то мы Вас ждем."," отличное знание Yii2, PHP7, MySQL; отличное знание Javascript и JQuery; знание CSS и HTML; опыт написания Unit тестов; опыт работы с системой контроля версий Git. Будет плюсом: опыт работы с ReactJS, Node.JS; опыт работы с системой управления проектами Jira; ", проектирование и разработка проекта управления производством - MES (backend и frontend) ," работа в стабильной развивающейся компании; официальное трудоустройство, соц. пакет согласно ТК РФ; пятидневная рабочая неделя; рабочий день с 8-00 до 17-00 (есть возможность корректировки графика работы); своевременная &quot;белая&quot; заработная плата. размер заработной платы готовы обсуждать с кандидатами в зависимости от их уровня знаний и опыта, дополнительное премирование по результатам проектов; отлично оборудованный комфортный офис в 15 мин от ст. метро &quot;Березовая роща&quot;; участие в профильных семинарах, конференциях, выставках;- конструктивная рабочая атмосфера; дружный коллектив, корпоративные праздники и мероприятия; бесплатный спортзал с душем, оборудованная кухня и вкусный кофе в офисе, несколько хороших столовых и кафе рядом с офисом. Мы ищем в команду человека, который: постоянно учится и развивается; всегда нацелен на результат; умеет работать в команде; не боится сложных задач; обладает самостоятельностью; любит свою работу. У нас дружный коллектив. Решаем интересные разноплановые задачи. Если Вы не обладаете перечисленными навыками на высоком уровне, но уверены в себе и хотите расти и развиваться, то мы Вас ждем.",JavaScript|Git|HTML|Atlassian Jira|MySQL|PHP|Yii2
120,120,php разработчик,Новосибирск,60000.0,,ВебТим,2019-10-15T07:55:43+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Наша компания занимается интернет-маркетингом, генерацией продаж по всему миру. Обязанности: Поддержка существующих проектов Разработка новых проектов Мы ожидаем: Уверенное знание PHP, JavaScript Знание MySQL Вашим плюсом будет: Опыт использования одного из фреймворков: ZF/Yii/etc Понимание принципов построения современных веб-приложений Опыт использования систем контроля версий Git/SVN Наши условия: Своевременная заработная плата 2 раза в месяц; Современный офис по линии метро (5 мин. пешком от ст. м. пл.Ленина); Молодой коллектив; Чай/печеньки Много интересных задач. PlayStation",,,,PHP|SQL|JavaScript|HTML|CSS
23,23,php разработчик,Новосибирск,80000.0,100000.0,R-брокер,2019-09-22T15:36:10+0300,От 3 до 6 лет,Удаленная работа,Полная занятость,"Для работы над крупным проектом требуется PHP-разработчик. Удаленная работа. ФУЛТАЙМ! Обязанности: Думать Проектировать Программировать Тестировать свои творения Требования: PHP (ООП) Понимание шаблонов проектирования Написание технической документации jQuery (работа с элементами, атрибутами, стилями, ajax) MySQL (CRUD и объединение таблиц обязательно) fireBug (html, сеть, отладка js) Любая IDE: NetBeans,Eclipse phpStorm Умение работать с GIT Пользоваться отладчиком и использовать трассировку (Xdebug) Опыт работы с Yii 1/2 или другими PHP-фреймворками. Внимание! Требуется именно разработчик, а не кодер! Условия: , График работы с 10 до 19 Заработная плата от 80 т.р и выше Молодой коллектив, пока небольшой. По результатам работы возможна оплата участия в различных конференциях."," PHP (ООП) Понимание шаблонов проектирования Написание технической документации jQuery (работа с элементами, атрибутами, стилями, ajax) MySQL (CRUD и объединение таблиц обязательно) fireBug (html, сеть, отладка js) Любая IDE: NetBeans,Eclipse phpStorm Умение работать с GIT Пользоваться отладчиком и использовать трассировку (Xdebug) Опыт работы с Yii 1/2 или другими PHP-фреймворками. Внимание! Требуется именно разработчик, а не кодер! ", Думать Проектировать Программировать Тестировать свои творения ," , График работы с 10 до 19 Заработная плата от 80 т.р и выше Молодой коллектив, пока небольшой. По результатам работы возможна оплата участия в различных конференциях.",
326,326,php разработчик,Новосибирск,85000.0,,i20,2019-09-28T11:14:47+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Узнай более подробно о вакансии тут: http://jobs.i20.biz/php_developer О компании: Компания i20 занимается разработкой проектов для клиентов по всему миру. Среди наших заказчиков – Всемирный Банк, Органы Государственной власти РФ, издательский концерн Axel Springer, Adidas и многие другие. Мы являемся лидером в сегменте Drupal разработки и входим в top-15 в мировом рейтинге. Наш приоритет – это крупные проекты, продолжительностью от нескольких месяцев до нескольких лет. Это отличная среда для профессионального роста и развития. С такими проектами скучать не придется! В Новосибирске у нас 2 офиса: на пл. Ленина рядом с оперным театром и на вершине Академпарка. У нас нет дресс-кода и есть возможность адаптировать график работы под ваш жизненный ритм. Главное для нас – это качественный результат в срок. Перспективы: В нашей команде собралось множество опытных специалистов мирового уровня у которых многому можно научиться. Мы предлагаем отличные перспективы роста для разработчика. Если вам по душе только техническая сторона, то вы можете стать Senior Developer&#39;ом или Архитектором. Если же вы полны решимости и готовы брать ответственность не только за себя, то есть возможность стать Тим лидом, а если захотите, то и руководителем проектов. У нас принято помогать каждому реализоваться на полную и избегать ненужных рамок. А помимо должностного роста также предусмотрен пересмотр зарплаты в соответствии с ростом вашего опыта и навыков. Рост в компании ограничен только вашей зоной комфорта, все зависит от вас! Требования: Опыт разработки на PHP от 1 года. Знание стека технологий LAMP. MySQL - понимание механизмов JOIN, индексов, желателен опыт оптимизации запросов, таблиц. HTML, CSS - на уровне Backend разработчика. JavaScript - опыт работы с jQuery. VCS - опыт работы с системами контроля версий (git/svn). Знание английского языка, как минимум, на уровне чтения документации. Будет плюсом: Опыт работы с Drupal. Опыт оптимизации высоконагруженных проектов. Symfony - опыт работы с 2 и/или 3 версиями фреймворка, опыт создания приложений на базе Symfony/Doctrine, опыт использования отдельных компонентов. Тестирование - написание unit и функциональных тестов с помощью PHPUnit (или simpletest, который используется в Drupal), Selenium/Behat. Опыт оптимизации приложений - использования XHProf и т.п. Навыки документирования кода - комментарии на английском, составление базовой документации для потомков по архитектуре модулей, фич, проекта. Fluent English is very appreciated. Используемые технологии и подходы: Объектно-ориентированный подход на PHP5/7. Фреймворки Symfony и Drupal. Система управления зависимостями Composer. Отладка и профилирование с помощью Xdebug, XHprof. Реляционные БД (MySQL, MariaDB). Кеширование с помощью NoSQL, Varnish и т.д. Сервера поиска Apache Solr и Elasticsearch. Интеграция со сторонними сервисами и написание собственных REST API. Инфраструктура и процесс - git, мердж реквесты, кодревью, автотесты, Redmine и Jira. Чем нужно будет заниматься: Участвовать в разработке проектов для крупных компаний по всему миру. Перенимать опыт у специалистов мирового уровня. Изучать и внедрять новые, современные технологии. Искать и реализовывать простые и изящные решения для сложных задач. Делиться знаниями с коллегами и повышать свой профессионализм. Получать удовольствие от успешной сдачи проектов. В офисе вас ждут: Большая и дружная команда разработчиков, готовых помочь в трудную минуту. Просторная кухня со всем необходимым. Бесплатные кофе и вкусняшки. Гибкий график работы. Регулярные корпоративы и различные мероприятия по интересам внутри команды. Турник.",,,,PHP5|Symfony|Drupal|MySQL|ООП|NoSQL|Xdebug|Apache Solr|Git|REST
381,381,php разработчик,Новосибирск,100000.0,,ВебТим,2019-10-15T10:33:23+0300,От 3 до 6 лет,Полный день,Полная занятость,"Наша компания занимается интернет-маркетингом, генерацией продаж по всему миру. Обязанности: Поддержка существующих проектов Разработка новых проектов Мы ожидаем: Уверенное знание PHP, JavaScript Понимание принципов построения современных веб-приложений Опыт использования одного из фреймворков: ZF/Yii/etc Знание MySQL Опыт использования систем контроля версий Git/SVN Вашим плюсом будет: Опыт использования Golang Наши условия: Своевременная заработная плата 2 раза в месяц; Современный офис по линии метро (5 мин. пешком от ст. м. пл.Ленина); Молодой коллектив; Чай/печеньки Много интересных задач. PlayStation Уровень заработной платы определяется по результатам собеседования.",,,,PHP|SQL|JavaScript|HTML|CSS|Golang
219,219,php разработчик,Новосибирск,100000.0,130000.0,Восток Инновации,2019-10-13T13:43:07+0300,От 3 до 6 лет,Гибкий график,Полная занятость,"Мы делаем CRM систему по модели SAAS, которая помогает бизнесу в сфере образования. Она автоматизирует добрую часть рутинных процессов (это точно), снимает головную боль и нормализует сон (это не точно). У нас небольшая, дружная и эффективная команда, поэтому мы занимаем лидирующие позиции среди конкурирующих CRM для образования. Мы ищем разработчика PHP, имеющего навыки работы с фреймворком Yii2. Если у вас другой, но релевантный опыт — все равно пишите. От нас: Уютный офис в тихом центре, комфортное рабочее место; Качественно спроектированная сложная архитектура, highload; Отлично написанный код и продуманные стили кодирования; Дружественная атмосфера в коллективе; От вас: Знание PHP7, понимание ООП и MVC; Опыт работы с фреймворком Yii2; Ваша ОС — Linux;",,,,PHP|Git|JavaScript|MySQL|Yii|PHP7
104,104,php разработчик,Новосибирск,,,Электронный город (ООО Новотелеком),2019-10-01T09:18:39+0300,От 1 года до 3 лет,Полный день,Полная занятость,"«Мои счета» — это удобное мобильное приложение для оплаты счетов абонентами «Электронного города». Мы ищем к себе в команду разработчика веб-сервисов, который поможет нам поддерживать и развивать серверную часть, написанную на языке PHP с использованием Yii 2. Требования: • опыт работы от года на позиции php - разработчика; • желателен опыт работы с Yii2, Vue.js; • опыт работы с БД (PostgreSQL/MySQL); • навыки работы c git, linux. Условия: • рабочее место - офис по адресу ул. Семьи Шамшиных • официальное трудоустройство; • возможность профессионального и карьерного развития в Компании; • а кроме того: бесплатный интернет и КТВ дома, возможность заниматься спортом (йога, бассейн)."," • опыт работы от года на позиции php - разработчика; • желателен опыт работы с Yii2, Vue.js; • опыт работы с БД (PostgreSQL/MySQL); • навыки работы c git, linux. ",," • рабочее место - офис по адресу ул. Семьи Шамшиных • официальное трудоустройство; • возможность профессионального и карьерного развития в Компании; • а кроме того: бесплатный интернет и КТВ дома, возможность заниматься спортом (йога, бассейн).",
314,314,php разработчик,Новосибирск,,,Бинго-Софт,2019-10-06T16:46:49+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Наша компания занимается созданием и внедрением информационных систем, построенных на базе собственной платформы - конструктора информационных систем Акцент . Мы разрабатываем решения как для органов государственной власти, так и для коммерческих организаций, и являемся одним из ведущих поставщиков информационных систем для контрольных и надзорных органов. В связи с развитием направления приглашаем PHP разработчика в команду новосибирского офиса . От соискателя ожидаем: уверенного знания PHP и SQL знания принципов ООП и шаблонов проектирования понимание механизмов сетевого взаимодействия умения разбираться в чужом коде наличия навыков, достаточных для изучения новых фреймворков и библиотек Дополнительным плюсом будет: навыки разработки на JavaScript знание и умение использовать алгоритмы криптозащиты Со своей стороны кандидату предлагаем: оформление по ТК; график работы 9.00–18.00 с возможностью сдвига‚ пн-пт; конкурентную «белую» зп – фиксированный оклад + премии по итогам сдачи проектов дружескую обстановку и доброжелательное отношение современный офис в Академгородке Если вы еще не обладаете всеми необходимыми навыками, это не является препятствием, чтобы познакомиться с нами и стать полноправным участником нашей команды. Мы готовы рассмотреть кандидатов на начальном этапе карьеры, а опытные сотрудники всегда придут на помощь новичку. Более подробно о нас и чем мы занимаемся можно почитать на сайте.",,,,Ext JS|JavaScript|MySQL|PHP5|PHP|Redis|PostgreSQL|SOAP
644,644,php разработчик,Новосибирск,,,Vigrom Corp.,2019-09-16T11:35:10+0300,От 1 года до 3 лет,Удаленная работа,Полная занятость,"Vigrom сегодня – международная компания, разрабатывающая и поддерживающая онлайн-игры, приложения под мобильные устройства. Уже более 8 лет мы даем возможность почувствовать эмоции, ставить амбициозные цели, играть и побеждать.На сегодняшний день в офисах компании и удаленно работает более 120 сотрудников из России, Латвии и Великобритании. Мы ищем классного специалиста в сложный и масштабный проект. Стек наших технологий: PHP 7, PostgreSQL 10, Memcache, компоненты Symfony, PHPUnit, Docker, Webpack, Gitlab CI. Вам предстоит: Работа над новым функционалом, непрерывные улучшения и оптимизации текущего; Коммуникация с командами мобильной разработки и разработки игр. Поиски оптимальных вариантов реализации (архитектура, API, сервисы); Unit- и API-тестирование; Проведение Code review; Участие в технологическом развитии проекта (выбор новых технологий и подходов к разработке); Обеспечение качества кода на всех этапах разработки. Отлично, если у тебя есть: Опыт разработки веб-приложений и сервисов от 2х лет; Уверенное владение PHP, JS, SQL; Понимание ООП и принципов SOLID; Применение модульного тестирования. Большим плюсом будет: Опыт работы в долгосрочных проектах; Опыт работы с PostgreSQL; Знание дополнительных языков - Java, Perl, Python. Главные причины работать у нас: Высокая заработная плата + бонусы за результат; Профессиональное обучение за счет компании: внутреннее и внешнее; Свободный график начала работы; Корпоративные мероприятия, открытое общение с коллегами как в сети, так и в реальном мире :)",,,,
869,869,php разработчик,Новосибирск,,,Axmor,2019-09-23T07:19:31+0300,От 1 года до 3 лет,Гибкий график,Полная занятость,"В нашей команде мобильной разработки, где вместе над проектами для западных и российских заказчиков (IBM, Deloitte, Уральские авиалинии) работают менеджер проекта, Android, IOS, Back-end разработчики и QA инженер мы ищем PHP - разработчика . Стек существующих проектов - PHP, Angular, Laravel. Задачи: разработка Backend для мобильных приложений; контроль качества кода; разработка пользовательских интерфейсов; оценка задач и участие в планировании работ; взаимодействие с заказчиком по техническим вопросам. Требования: опыт от 2-х лет и хорошее знание - PHP (Symphony, Laravel/Yii2), JavaScript, HTML, CSS; опыт работы с реляционными базами данных - MySQL, MongoDB или другие; знание Docker; опыт интеграции со сторонними сервисами; опыт в написании SPA приложений на Angular 5+. Будет плюсом знание: английский на уровне, достаточном для переписки с заказчиком по техническим вопросам; опыт работы с Rabbit, Redis, Apache; опыт администрирования удаленного стенда с целью деплоя и подготовки проекта к релизу. От нас: интересные стабильные проекты. Разработанные нами приложения востребованы на рынке и социально значимы. возможность прокачивать свои навыки в команде с опытными коллегами, самому делиться знаниями. корпоративное обучение, участие в тренингах, семинарах, конференциях. открытая, дружественная и комфортная атмосфера в компании. гибкий график работы. официальное трудоустройство, частичную компенсация абонемента в фитнес/спортивный клуб, обучения английскому языку, бесплатные чай, кофе и фрукты. комфортный офис в Академгородке с парковкой и транспортной доступностью.",,,,
