salaries	165000 - 213334	1.0
salaries	261667 - 310000	1.0
salaries	NAN - NAN	3.0
days	avg	14.6
days	max	23.0
days	min	4.0
experience	От 3 до 6 лет	3.0
experience	От 1 года до 3 лет	2.0
employment	Полная занятость	5.0
schedule	Гибкий график	2.0
schedule	Полный день	2.0
schedule	Удаленная работа	1.0
skills	iOS	3.0
skills	iOS SDK	1.0
skills	Human Interface Guidelines	1.0
skills	Design Patterns	3.0
skills	ООП	2.0
skills	Swift	2.0
skills	Objective-C	2.0
skills	C++	1.0
skills	Mac Os	1.0
skills	Английский язык	1.0
skills	Разработка ПО	1.0
