salaries	104612 - 147667	1.0
salaries	NAN - NAN	2.0
days	avg	1.3333333333333333
days	max	4.0
days	min	0.0
experience	От 1 года до 3 лет	2.0
experience	От 3 до 6 лет	1.0
employment	Полная занятость	3.0
schedule	Полный день	3.0
skills	Axure RP	1.0
skills	UX	2.0
skills	UI	2.0
skills	Web-дизайн	2.0
skills	Проектирование пользовательских интерфейсов	2.0
skills	Дизайн интерфейсов	1.0
skills	Веб-дизайн	1.0
skills	Дизайн	1.0
skills	Web Design	3.0
skills	Прототипирование	1.0
skills	Sketch	1.0
skills	Zeplin	1.0
skills	Mobile Design	1.0
