,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills
1006,1006,web разработчик,Самара,15000.0,60000.0,АНВ,2019-10-10T16:58:30+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Мы ценим профессионалов и способствуем росту, потому что у нас — в супердемократичных условиях — как нигде раскрываются таланты. В AKTICOM не бывает монотонного и рутинного труда, мы амбициозны и любим только интересную и захватывающую работу. А теперь в нашу креативную и немного сумасшедшую команду нужен новый специалист - Web-разработчик, который настроен решать повседневные задачи в компании и расти в сильного специалиста. Вы столкнетесь с полным циклом создания наших проектов и отработаете свои навыки до совершенства под четким руководством профессионалов. Если вы новичок, ничего не умеете, но желаете неплохо развиться в этом направлении до html-верстальщика или web-программиста - сообщите о себе! У нас в команде есть все условия для развития. Что нужно будет делать: Нарезка макета дизайна из psd или Figma HTML-верстка макета дизайна Установка сверстанного шаблона на CMS Частичное наполнение сайта информацией заказчика Техническое обслуживание сайтов заказчиков компании (выполнение простых задач) - это старт для менее опытных специалистов Если вы более развитый специалист со знанием языков программирования, то и применение вашим навыкам будет разумеется соответствующее. Очень приветствуются знания Git, Python, Node, NPM, Webpack, Postgres, Vue, SCSS, Laravel, Bitrix, PHP, JS Условия: график работы: пн-пт 9:00 - 18:00 в уютном офисе в центре города оклад: 15 000 - 60 000 р в зависимости от вашего опыта также не забываем про обучение, официальное ТК и оплачиваемые отпуска Кратко об АКТИКОМ: ТОП 10 среди всех основных тематических рейтингов по созданию сайтов в Самаре 30 высококлассных специалистов в штате 10 лет с момента основания Ждем ваших откликов, рассмотрим каждого. Обязательно напишите почему бы вы хотели развиваться в данной отрасли! Вакансию предполагаем закрыть в течение 2-х недель. Стол, кресло и мощный компьютер уже ждут своего обладателя!",,," график работы: пн-пт 9:00 - 18:00 в уютном офисе в центре города оклад: 15 000 - 60 000 р в зависимости от вашего опыта также не забываем про обучение, официальное ТК и оплачиваемые отпуска Кратко об АКТИКОМ: ТОП 10 среди всех основных тематических рейтингов по созданию сайтов в Самаре 30 высококлассных специалистов в штате 10 лет с момента основания Ждем ваших откликов, рассмотрим каждого. Обязательно напишите почему бы вы хотели развиваться в данной отрасли! Вакансию предполагаем закрыть в течение 2-х недель. Стол, кресло и мощный компьютер уже ждут своего обладателя!",внутренний аудит сайта|Работа с доменами|Наполнение контентом|HTML|MySQL|CSS|PHP|Git|Ajax|JavaScript|Figma
720,720,web разработчик,Челябинск,30000.0,80000.0,Weblab74,2019-10-03T14:54:45+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Ищем в команду умного и сообразительного программиста для разработки интересных проектов (и крупных!) Обязанности: Разработка сайтов с нуля на CMS системе Битрикс (корпоративный сайт, интернет-магазин и т.д) и WordPress (минимально); Вносить правки по текущим проектам/производить оценку новых правок; Оказывать техническую поддержку по существующим проектам. (своевременные ответы и консультации, внесение мелких правок). Требования: Знание CMS 1С-Битрикс и принципов работы с ней; Хорошее знание PHP; Понимание HTML, CSS, JS, JQuery; Иметь представление о работе Unix, веб-сервера Apache, nGinx, mySQL; Опыт веб-разработки Уметь работать в команде, быстро и продуктивно; Уметь самостоятельно находить решение задач, с которыми ранее не приходилось сталкиваться. ПРИВЕТСТВУЕТСЯ: опыт работы с PHP фреймворками Yii2, Symfony и др; Условия: 5-дневная рабочая неделя плавающий обед в любое удобное рабочее время своевременная зарплата (выплаты 3 раза в месяц) официальное трудоустройство."," Знание CMS 1С-Битрикс и принципов работы с ней; Хорошее знание PHP; Понимание HTML, CSS, JS, JQuery; Иметь представление о работе Unix, веб-сервера Apache, nGinx, mySQL; Опыт веб-разработки Уметь работать в команде, быстро и продуктивно; Уметь самостоятельно находить решение задач, с которыми ранее не приходилось сталкиваться. ПРИВЕТСТВУЕТСЯ: опыт работы с PHP фреймворками Yii2, Symfony и др; "," Разработка сайтов с нуля на CMS системе Битрикс (корпоративный сайт, интернет-магазин и т.д) и WordPress (минимально); Вносить правки по текущим проектам/производить оценку новых правок; Оказывать техническую поддержку по существующим проектам. (своевременные ответы и консультации, внесение мелких правок). ", 5-дневная рабочая неделя плавающий обед в любое удобное рабочее время своевременная зарплата (выплаты 3 раза в месяц) официальное трудоустройство.,Git|1С-Битрикс|HTML5|JavaScript|MySQL|Bootstrap|CMS Wordpress|SQL
622,622,web разработчик,Челябинск,30000.0,50000.0,Инсайт АйТи,2019-10-03T12:24:49+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Привет! Интернет-компания &quot;Инсайт&quot; с удовольствием примет в команду веб-разработчика на фулл-тайм в офис. Мы занимаемся разработкой сайтов на заказ для крупных и небольших компаний из Челябинка и других городов России. Условия: гибкое начало и конец рабочего дня; современная техника; комфортный светлый офис, чай, кофе, фрукты и печеньки; поддержка более опытных коллег, лояльное и адекватное руководство; парковочное место на закрытом паркинге. Обязанности: работа с cms netcat или bitrix (опыт работы именно с этими cms необязателен, главное - желание разобраться); PHP + mySQL на хорошем уровне; уверенные знания html-верстки; чистый структурированный код; интеграция готовой верстки в cms, разработка новых программных модулей, парсеров XML; внесение изменений в код уже работающих сайтов, работа с чужим кодом; желание развиваться и улучшать свои навыки; Требования: опыт работы в аналогичной должности в офисе или на фрилансе, примеры выполненных работ просьба приложить к отклику. Оклад обсуждается индивидуально с каждым кандидатом. Спасибо за отклик!",," работа с cms netcat или bitrix (опыт работы именно с этими cms необязателен, главное - желание разобраться); PHP + mySQL на хорошем уровне; уверенные знания html-верстки; чистый структурированный код; интеграция готовой верстки в cms, разработка новых программных модулей, парсеров XML; внесение изменений в код уже работающих сайтов, работа с чужим кодом; желание развиваться и улучшать свои навыки; "," гибкое начало и конец рабочего дня; современная техника; комфортный светлый офис, чай, кофе, фрукты и печеньки; поддержка более опытных коллег, лояльное и адекватное руководство; парковочное место на закрытом паркинге. Обязанности: работа с cms netcat или bitrix (опыт работы именно с этими cms необязателен, главное - желание разобраться); PHP + mySQL на хорошем уровне; уверенные знания html-верстки; чистый структурированный код; интеграция готовой верстки в cms, разработка новых программных модулей, парсеров XML; внесение изменений в код уже работающих сайтов, работа с чужим кодом; желание развиваться и улучшать свои навыки; Требования: опыт работы в аналогичной должности в офисе или на фрилансе, примеры выполненных работ просьба приложить к отклику. Оклад обсуждается индивидуально с каждым кандидатом. Спасибо за отклик!",
801,801,web разработчик,Екатеринбург,35000.0,45000.0,МКСмедиа,2019-10-18T16:00:15+0300,От 1 года до 3 лет,Полный день,Полная занятость,"MKSmedia – это динамично развивающееся рекламное агентство, с очень амбициозными целями. Наш основной актив – это профессионалы, работающие в команде. В копилке MKSmedia более 100-и постоянных клиентов, более 2 000 успешно реализованных проектов в области SEO, сайтостроения, контекстной рекламы. И сегодня у вас есть отличная возможность влиться в наш коллектив, прокачать себя и неплохо заработать. Напишите в сопроводительном письме почему именно вы должны занять данную должность. В чем ваше преимущества перед другими. Основные направления нашей деятельности: Комплексный интернет-маркетинг: создание и продвижение web-проектов в поисковых системах, контекстная реклама (Яндекс.Директ и Google.Adwords), реклама в социальных сетях; В нашу команду требуется первоклассный Web-программист с желанием развиваться и стремлением зарабатывать. Наши требования к кандидатам: Знания HTML5, CSS3 (вёрстка кроссбраузерная и кроссплатформенная); Умение работать с js, ajax, js-фреймворками (jquery); Знание PHP на уровне правок; Опыт работы с системами управления; Умение писать чистый и короткий, семантичный код CSS/HTML; Знание основ СЕО-оптмизации и семантики; Свое письмо вы должны закончить фразой-только вперед ни шагу назад. Способность разобраться в любой CMS; Знание различия браузеров; Способность быстро входить в суть задач и оперативно их реализовывать; Внимательность к деталям, скрупулезность; Опыт работы от года; Ваши обязанности в рамках компании: Участие в разработке сайта компании в различной сложности; Управление и техническая поддержка сайта компании; Решите загадку, ответ напишите в сопроводительном письме. У отца Мэри есть 5 дочерей: Чача, Чече, Чичи, Чочо. Как зовут 5 дочь? Верстка макетов, инфографики; Корректировка и добавление информации на сайтах; Доработка и правки на базе программных модулей CMS Что мы можем предложить: Идеально для тех, кто хочет реализовать свои навыки и получать за это деньги; Работа удаленная, Вы можете находится в любой точке мира; Официальное трудоустройство, оформление по ТК РФ; График работы: 5/2; Открытость руководства к новым идеям;",,,,
1016,1016,web разработчик,Самара,40000.0,80000.0,Первый Бит,2019-10-21T12:10:52+0300,От 1 года до 3 лет,Удаленная работа,Полная занятость,"Большая часть наших проектов написана с использованием PHP, HTML, CSS, JavaScript на Bitrix, поэтому нам важны знания этих инструментов и достаточный уровень владения ими для выполнения практических задач. Рассматриваем кандидатов для работы в офисе и на удаленную занятость. Функционал: Разработка приложений и новых модулей к существующим проектам на Битрикс24; Интеграции с внешними системами; Анализ и оптимизация производительности; Интеграция верстки в проект; Разработка новых проектов с нуля на стандартных и самописных компонентах. Требования: Знание PHP, MySQL, JS, понимание принципов ООП; Знание архитектуры 1С-Битрикс; Умение писать собственные компоненты и модули. Условия: Работа над интересными проектами для известных брендов; Прозрачная система мотивации: фиксированный оклад + выработка; Возможности управленческого роста до технического директора; Удобный график 5/2 с 9:00 до 18:00; Официальное трудоустройство, полностью белая з/п; Постоянное развитие, внутреннее обучение, сертификация за счет Компании."," Знание PHP, MySQL, JS, понимание принципов ООП; Знание архитектуры 1С-Битрикс; Умение писать собственные компоненты и модули. ",," Работа над интересными проектами для известных брендов; Прозрачная система мотивации: фиксированный оклад + выработка; Возможности управленческого роста до технического директора; Удобный график 5/2 с 9:00 до 18:00; Официальное трудоустройство, полностью белая з/п; Постоянное развитие, внутреннее обучение, сертификация за счет Компании.",1С-Битрикс|Битрикс24|Bitrix24|PHP|CRM
497,497,web разработчик,Краснодар,50000.0,,ПРОФИТКЛИКС,2019-10-01T16:33:58+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Привет! Мы - ProfitClicks, развиваемся в сфере интернет-рекламы по модели CPA c 2016 года. Мы - продуктовая компания и уже реализовали множество успешных проектов: тизерная рекламная сеть для информационных сайтов, сеть по монетизации push-уведомлений, трекер для аналитики трафика, новостной портал и другие решения. Все эти продукты - highload-системы со средней нагрузкой 3000 хитов в секунду (есть проекты с нагрузкой в 6000 rps в пике). В нашей команде 85+ человек и только за последние полгода мы выросли в 1,5 раза. Нам нужен толковый web-разработчик. Заказчиком приложений будет отдел арбитража трафика. Проект новый, поэтому мы ищем инициативного разработчика, который умеет самостоятельно анализировать и находить узкие места, предлагать решения для автоматизации. Выбор технологии будет зависеть от того, что выберет наш новый коллега, поэтому априори ты будешь работать с тем, что по душе! От нашего идеального кандидата ждём: Опыт fullstack-разработки (наш основной стек на других проектах - PHP, VueJS, Go, однако здесь выбор за тобой) Опыт разработки продукта с нуля Опыт взаимодействия с заказчиком напрямую Будет огромным плюсом: опыт работы в компаниях из сферы CPA или digital, понимание принципа интернет-рекламы опыт разработки JS-приложений под мобильные устройства Нашему новому коллеге мы с радостью предложим: интересные и разнообразные задачи по проектам компании обмен опытом в команде увлеченных профессионалов возможность профессионального и финансового роста плавающее начало рабочего дня (возможность приезжать на работу с 7:30 до 10:30 утра), график 5/2 команда, которая продуктивно работает и также отдыхает :) крутые корпоративы несколько раз в год офис в центре города (5 минут пешком от кинотеатра Авроры) оформление с первого дня чай и сладости в офисе, все по канонам конкретные цифры по ЗП готовы обсуждать с кандидатом после отбора. Первоначально, конечно же, учитываем пожелания кандидата Формат работы — офис в г. Краснодаре. Удаленная работа невозможна. Но мы готовы взять на себя расходы по релокации иногородних кандидатов и членов их семьи: оплата перелета/ переезда, оплата 50% или 100% стоимости 1 месяца проживания в съемной квартире в Краснодаре. Если тебе стало интересно, но остались какие-то вопросы, или ты решил попробовать свои силы - откликайся или пиши нам на почту/телеграм, мы всегда рады знакомству и предоставим всю необходимую информацию!",,,,JavaScript|REST API|PHP|Git
373,373,web разработчик,Краснодар,50000.0,100000.0,Центр внедрения и сопровождения,2019-09-23T09:04:04+0300,От 1 года до 3 лет,Полный день,Полная занятость,"В г.Краснодар для удаленной работы мы ищем web-разработчика . Работаем с Заказчиками по всей России! Требуемый опыт работы: 1-3 года Полная занятость, полный день! Ты - специалист и хочешь работать в динамично развивающейся компании? Стабильно и хорошо зарабатывать? Ценишь теплые отношения и достойные условия работы? Мечтаешь добиться высоких результатов в одной из самых достойных профессий? Тогда приходи к нам! Сегодня у нас есть: активная и молодая команда, лояльное и адекватное руководство, наставники, амбициозные планы и масса возможностей для самореализации! Кратко о параметрах работы : Удаленная работа, полная занятость. Стабильный доход, возможность роста зарплаты. Карьерный и профессиональный рост. Работа по нормальному графику (8 часов/день). Командировок и разъездов нет. Требования к кандидату: Опыт программирования на 1С-Битрикс от 2-х лет Отличные знания: PHP 7.x, MySQL, JavaScript, HTML5, CSS . Опыт в оптимизации сайта (скорость загрузки, уменьшение количества запросов и т.д.). Адаптивная верстка. Опыт разработки интернет-магазинов и интеграция их с 1С Взаимодействие с API. Умение разбираться в чужом коде. Что будет делать сотрудник: Разработка сайтов и онлайн сервисов. Разработка новых модулей и сервисов интернет-магазина. Разработка/настройка интеграции сайтов с внешними системами и сервисами. Разработка мобильных приложений . Что предоставим мы: Зарплата формируется индивидуально в зависимости от стартового уровня соискателя и результатам собеседования. Оформление по ТК РФ. Работа официально, в штате. Интересные и нестандартные задачи. Дружный профессиональный коллектив. Есть возможность сдвинуть свой график на удобное для вас время (стандарт с 9 до 18 по мск, возможен сдвиг +/- 1 час). Хорошо работает взаимопомощь и обмен опытом. Отправляй нам резюме и стань частью нашей команды!",,,,PHP|1С-Битрикс|CMS|JavaScript|CSS|HTML
335,335,web разработчик,Краснодар,60000.0,100000.0,Southmedia,2019-10-18T11:05:30+0300,От 3 до 6 лет,Полный день,Полная занятость,"Перфоманс-агентство Southmedia придирчиво ищет своего Web-разработчикa. Рассматриваем кандидатов уровня мiddle и выше. Если ты хочешь сделать интернет лучше, а жизнь пользователей проще и удобнее, то мы наверняка поладим. Ты должен уметь: интегрировать проекты на популярные CMS (1С-Битрикс, Drupal, Joomla и др.); работать c API сторонних сервисов; работать в любом из графических редакторов (Photoshop, Figma, Sketch); и знать PHP, MySQL, HTML, CSS, JS; Мы ждем, что ты: готов эффективно решать поставленные задачи точно в срок; спокойно относишься к рутинным действиям; стремишься к профессиональному росту; привык работать с большим объемом разнообразных задач; умеешь работать в команде. готов учиться новому. А предложим: хорошую зарплату (оклад + проценты); оформление согласно ТК РФ; пятидневную рабочую неделю; профессиональный рост; интересную работу. Но это предлагают все, а у нас есть еще: гибкий график работы; дополнительные оплачиваемые выходные; корпоративный английский язык; компенсация спорта и фитнеса; профессиональная библиотека, которая постоянно пополняется; оплата до 100% стоимости курсов и тренингов, семинаров, конференций по специальности; оплата до 50% стоимости непрофильного обучения.",,,,1С-Битрикс|PHP|MySQL|HTML|CSS|Ajax|Joomla|Drupal|API|ModX|JavaScript|Adobe Photoshop|PHP5|HTML5
409,409,web разработчик,Краснодар,60000.0,90000.0,"НЕВА, Холдинг безопасности",2019-10-14T07:53:56+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Холдинг Безопасности «НЕВА» - это стабильная‚ динамично развивающаяся компания в охранной сфере. Во многом это заслуга наших сотрудников! Мы преданы своему делу и ориентированны на предоставление сервиса высокого уровня. На данный момент в нашей компании работает более 6500 высококвалифицированных специалистов. Присоединяйтесь к команде профессионалов! Обязанности: разработка новых модулей и поддержка уже существующего функционала; участие в полном цикле разработки программного обеспечения совместно с командой; работа с Laravel PHP Framework; документирование деятельности по запросу (техническая документация). Требования: высшее образование (в IT или смежной сфере); желателен опыт работы от 1 года в аналогичной должности или же портфолио с работами; знание HTML, CSS, JS, PHP, MySQL, Node.JS, RestApi; работа с любым препроцессором CSS (желательно SCSS) Будет преимуществом (желательные навыки): умение настраивать сервер Nginx, Apache; работа с PostgreSQL, MSSQL; Условия: работа в крупной стабильной компании с новыми интересными проектами; официальное трудоустройство; стабильные выплаты заработной платы (З/П обсуждается с успешным кандидатом) график 5/2 (возможен более гибкий график); большая платформа для саморазвития и совершенствования; активная команда специалистов; перспектива карьерного роста."," высшее образование (в IT или смежной сфере); желателен опыт работы от 1 года в аналогичной должности или же портфолио с работами; знание HTML, CSS, JS, PHP, MySQL, Node.JS, RestApi; работа с любым препроцессором CSS (желательно SCSS) Будет преимуществом (желательные навыки): умение настраивать сервер Nginx, Apache; работа с PostgreSQL, MSSQL; ", разработка новых модулей и поддержка уже существующего функционала; участие в полном цикле разработки программного обеспечения совместно с командой; работа с Laravel PHP Framework; документирование деятельности по запросу (техническая документация). , работа в крупной стабильной компании с новыми интересными проектами; официальное трудоустройство; стабильные выплаты заработной платы (З/П обсуждается с успешным кандидатом) график 5/2 (возможен более гибкий график); большая платформа для саморазвития и совершенствования; активная команда специалистов; перспектива карьерного роста.,
1095,1095,web разработчик,Самара,90000.0,,Сити Трэвел,2019-10-20T13:29:50+0300,От 1 года до 3 лет,Полный день,Полная занятость,"CITY TRAVEL Business Travel Solutions - профессиональное агентство бизнес-поездок с офисами в Москве, Казани, Самаре. Специалистами CITY TRAVEL разработана уникальная он-лайн платформа, которая представляет собой систему бронирования и учета заказов. Разработка новых сервисов личного кабинета клиентов (в основном XML API) Разработка сервисов по онлайн бронированию авиа, железнодорожных билетов и отелей Развитие существующих сервисов Техническая поддержка проекта Кого мы ждём: Обязательно знание PHP, MySQL, JS(JQuery), AJAX, XML Приветствуется опыт работы с API каких-либо сервисов Желателен опыт оптимизации кода и запросов к БД Знание систем контроля версий (как минимум одной) Мы можем Вам предложить: Оформление по ТК РФ График работы:постоянный (с 9.00 до 18.00) Современный удобный офис Полный соцпакет Молодой дружный коллектив Возможность воплощать свои идеи и проекты, не противоречащие компании Стабильная зарплата два раза в месяц, уровень заработной платы обсуждается с каждым кандидатов индивидуально",,,,
