salaries	61556 - 104612	1.0
salaries	NAN - NAN	9.0
days	avg	7.3
days	max	19.0
days	min	0.0
experience	От 3 до 6 лет	6.0
experience	От 1 года до 3 лет	4.0
employment	Полная занятость	10.0
schedule	Полный день	9.0
schedule	Удаленная работа	1.0
skills	Системная интеграция	1.0
skills	1С: Управление Производственным Предприятием	3.0
skills	1С: Зарплата и управление персоналом	2.0
skills	1С: Предприятие 8	2.0
skills	1С: Документооборот	2.0
skills	1С программирование	3.0
skills	Обновление конфигурации 1С	1.0
skills	ERP-системы на базе 1С	1.0
skills	1С: Бухгалтерия	1.0
skills	ERP	2.0
