,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills
653,653,ведущий программист 1с,Челябинск,60000.0,,Кондитерская Фабрика ФАНТЭЛЬ,2019-10-17T06:04:22+0300,От 3 до 6 лет,Полный день,Полная занятость,"Обязанности: Программирование новых и поддержка действующих систем на платформе 1С 8.3 УПП; Самостоятельная разработка проектов на основании задач на разработку; Выявление и исправление ошибок в действующих системах,оптимизация программного кода; Знание ЗиК, бухгалтерского и налогового учета на производственном предприятии. Требования: Высшее профильное образование Опыт программирования для 1С:УПП Опыт работы на производственном или торговом предприятии Условия: Официальное трудоустройство Белая заработная плата 2 раза в месяц на банковскую карту Корпоративная сотовая связь Место работы в Металлургическом районе г. Челябинска График работы с 9.00 до 18.00, выходные суббота и воскресенье", Высшее профильное образование Опыт программирования для 1С:УПП Опыт работы на производственном или торговом предприятии ," Программирование новых и поддержка действующих систем на платформе 1С 8.3 УПП; Самостоятельная разработка проектов на основании задач на разработку; Выявление и исправление ошибок в действующих системах,оптимизация программного кода; Знание ЗиК, бухгалтерского и налогового учета на производственном предприятии. "," Официальное трудоустройство Белая заработная плата 2 раза в месяц на банковскую карту Корпоративная сотовая связь Место работы в Металлургическом районе г. Челябинска График работы с 9.00 до 18.00, выходные суббота и воскресенье",
877,877,ведущий программист 1с,Екатеринбург,80000.0,,ЭКСПРЕСС,2019-10-17T14:40:37+0300,От 1 года до 3 лет,Удаленная работа,Полная занятость,"Вакансия компании ИП Абрамов Сергей Сергеевич Компания занимается программированием, сопровождением и внедрением ПП 1С / Bitrix / PHP и т.д. Так же мы осуществляет создание, доработку, разработку и продвижение сайта согласно заявленным конечным требованиям заказчика. Обязанности: -Разработка на 1C/Консультирование и сопровождение. -Выполнение поставленных задач в срок. -Быть на связи в рабочее время. -Внедрение программных продуктов на платформах: 1С: ERP, Бухгалтерия предприятия 3.0, управление торговлей 11, управление холдингом, комплексная автоматизация, УПП и прочее. -Работать по техническим заданиям для разных заказчиков. Требования: -Решение задач как высокого так и среднего уровня бизнеса, ощущение нужности и полезности не только в компании но и перед клиентами. -Реальный карьерный рост от младшего программиста до системного архитектора, с возможностью формирования собственной команды и охвата других языков программирования. -Работа удаленно. -Загрузка задачами на full time, % от результата -Возможность обмена опытом и совместного развития с коллегами - программистами в общем чате. -Выполнение разноплановых задач которая не заставит скучать, работа с разными конфигурациями. -Участие в профильных конференциях. -Работа без фанатизма, но ответственность за работу и сроки никто не отменял. -Нужны надежные программисты - лидеры, которые могут не только программировать но и управлять, предлагать и двигаться к поставленной цели. Уверен в себе? Пиши. Звони. Условия работы: -Разработка на 1C/Консультирование и сопровождение. -Выполнение поставленных задач в срок. -Исполнительность и адекватность. -Вовлеченность во все процессы и мероприятия компании. -Знания платформ 1С 8.2 и 8.3.",," -Разработка на 1C/Консультирование и сопровождение. -Выполнение поставленных задач в срок. -Быть на связи в рабочее время. -Внедрение программных продуктов на платформах: 1С: ERP, Бухгалтерия предприятия 3.0, управление торговлей 11, управление холдингом, комплексная автоматизация, УПП и прочее. -Работать по техническим заданиям для разных заказчиков. ",,
108,108,ведущий программист 1с,Новосибирск,80000.0,,Зернопродукт,2019-10-02T10:44:15+0300,От 3 до 6 лет,Полный день,Полная занятость,"Обязанности: •развитие отраслевых продуктов (Бухгалтерия элеватора и ККЗ, Бухгалтерия птицефабрики, Управление складом, 1с7.7ПУБ); •развитие системы расчета заработной платы (ЗУП); •поддержка типовых конфигураций (БП3, УПП); •развитие интеграций с Меркурием, EDI, ЭДО и с промышленным и торговым оборудованием (ТСД, сканеры, весы, видеокамеры, распознавание номеров); •пояснение пользователям работы существующих механизмов. Требования: •опыт работы в промышленном холдинге от четырех лет; •опыт внедрения проектов на УПП или ERP; •знание и понимание многопередельного расчета себестоимости; •опыт настройки современной зарплаты в 1С ЗУП3.1; •знание бухгалтерского, налогового учета; •умение разбираться в чужом коде, работать с хранилищем. Условия: •официальное трудоустройство; •пятидневная рабочая неделя с 8:00 до 17:00, при наличии собственного транспорта график работы можно согласовать; •домашнее питание в офисе; •место работы - Новосибирск, Северный проезд. Корпоративный автобус от пл.К.Маркса. Или Искитим, Элеваторная."," •опыт работы в промышленном холдинге от четырех лет; •опыт внедрения проектов на УПП или ERP; •знание и понимание многопередельного расчета себестоимости; •опыт настройки современной зарплаты в 1С ЗУП3.1; •знание бухгалтерского, налогового учета; •умение разбираться в чужом коде, работать с хранилищем. "," •развитие отраслевых продуктов (Бухгалтерия элеватора и ККЗ, Бухгалтерия птицефабрики, Управление складом, 1с7.7ПУБ); •развитие системы расчета заработной платы (ЗУП); •поддержка типовых конфигураций (БП3, УПП); •развитие интеграций с Меркурием, EDI, ЭДО и с промышленным и торговым оборудованием (ТСД, сканеры, весы, видеокамеры, распознавание номеров); •пояснение пользователям работы существующих механизмов. "," •официальное трудоустройство; •пятидневная рабочая неделя с 8:00 до 17:00, при наличии собственного транспорта график работы можно согласовать; •домашнее питание в офисе; •место работы - Новосибирск, Северный проезд. Корпоративный автобус от пл.К.Маркса. Или Искитим, Элеваторная.",Системная интеграция|1С: Управление Производственным Предприятием|1С: Зарплата и управление персоналом
796,796,ведущий программист 1с,Екатеринбург,90000.0,,НАГ,2019-10-09T07:54:53+0300,От 3 до 6 лет,Полный день,Полная занятость,"НАГ — ведущий российский разработчик и поставщик оборудования и решений для отрасли телекоммуникаций, промышленности и бизнеса. С 2003 года мы создаем сети передачи данных и системы безопасности, строим дата-центры. Мы предлагаем собственные продукты и решения “под ключ”: - Сети передачи данных и корпоративные сети - Решения для мобильных операторов - Оптические транспортные сети (DWDM) - Решения для ЦОД и построение модульных дата-центров - Облачные решения и сетевая безопасность - Решения для голосовой связи и унифицированные коммуникации Штат компании насчитывает более 400 сотрудников. Офисы НАГ работают в Екатеринбурге, Москве, Новосибирске, Ростове-на-Дону, Санкт-Петербурге. Логистические центры располагаются в Екатеринбурге, Москве, Вашингтоне (США) и Шанхае (Китай). Мы вошли в рейтинги: ТОП-50 самых прибыльных IT компаний России, ТОП-100 крупнейших ИТ-компании России, ТОП-20 быстрорастущих IT компаний, ТОП-30 крупнейших поставщиков IT для операторов связи, а также в ТОП-100 лучших работодателей России. Компания НАГ активно растет, и сейчас нашей дружной команде нужен опытный ведущий программист 1С Что нам нужно: Умение работать в команде Способность к самообучению Умение разбираться в чужом коде Ответственный подход к работе Опыт внедрения и работы с конфигурациями &quot;Управление торговлей 11.х&quot;, или “Комплексная автоматизация 2.х”, или &quot;ERP 2.х&quot; приветствуется. Четкое представление о функционале типовой конфигурации и способность переложить бизнес-процессы компании на эту функциональность Способность к самоорганизации и умение договариваться с коллегами Что необходимо делать: Составлять ТЗ на доработку 1С ERP и 1С:ДО Реализовывать ТЗ Документировать разработанные алгоритмы и принципы работы Писать инструкции для пользователей Планировать и вести проекты по автоматизации деятельности компании Мы предлагаем: Работу в лидирующей и стабильной компании с развитой корпоративной культурой Профессиональный рост и развитие Официальное трудоустройство по ТК. РФ, 100% белая заработная плата Техническое и маркетинговое обучение Современно оборудованные рабочие места, передовое ПО, комфортные условия для отдыха Работу в дружной профессиональной команде Гибкое начало рабочего дня с 8:00 до 9:00 пн.-пт. 8-ми часовой рабочий день Стартовые условия по заработной плате обсуждаются и зависят от квалификации и опыта работы кандидата Если Вы видите себя в роли нашего коллеги, присылайте резюме",,,,
146,146,ведущий программист 1с,Новосибирск,90000.0,100000.0,Электромагистраль,2019-10-19T04:50:57+0300,От 3 до 6 лет,Полный день,Полная занятость,"Обязанности: Проектирование и разработка новых функциональных блоков учетных систем. Написание технической документации. Сопровождение разработанных блоков учета. Требования: Глубокие знания механизмов работы платформы 1С:Предприятие 8.3. Навык работы с СКД, web-сервисами, настройка кластера серверов 1С. Опыт работы с конфигурациями УПП 1.3, ERP, Документооборот 2, Конвертация данных 2. Ответственность, внимательность, умение работать в команде, способность доводить задачи до логического конца. Стрессоустойчивость, коммуникабельность. Условия: Оформление в соответствии с ТК РФ; корпоративный фитнес, бассейн. Компенсация затрат на электроэнергию. График работы: с 8-00 до 17-00 (пятница до 16-00). Обязательные социальные гарантии."," Глубокие знания механизмов работы платформы 1С:Предприятие 8.3. Навык работы с СКД, web-сервисами, настройка кластера серверов 1С. Опыт работы с конфигурациями УПП 1.3, ERP, Документооборот 2, Конвертация данных 2. Ответственность, внимательность, умение работать в команде, способность доводить задачи до логического конца. Стрессоустойчивость, коммуникабельность. ", Проектирование и разработка новых функциональных блоков учетных систем. Написание технической документации. Сопровождение разработанных блоков учета. ," Оформление в соответствии с ТК РФ; корпоративный фитнес, бассейн. Компенсация затрат на электроэнергию. График работы: с 8-00 до 17-00 (пятница до 16-00). Обязательные социальные гарантии.",1С: Предприятие 8|1С: Документооборот|1С программирование|Обновление конфигурации 1С|ERP-системы на базе 1С|1С: Управление Производственным Предприятием
821,821,ведущий программист 1с,Екатеринбург,100000.0,,UDevelopment ,2019-10-21T08:23:08+0300,От 3 до 6 лет,Полный день,Полная занятость,"Компания Udevelopment ищет в свою команду профессионалов Ведущего программиста 1С. Обязанности: Непосредственное участие в проекте внедрения 1С ERP + Документооборот: - разработка и изменение стандартного функционала программ - настройка обменов - оптимизация производительности - работа в команде разработчиков 2. Операционная деятельность: - поддержка, сопровождение и консультация пользователей по конфигурациям баз 1С: БП 3.0, ЗУП 3.1, Хеликс Фитнес - доработка конфигураций 1С под нужды заказчика (использование «расширений») - разработка отчетов и обработок - исправление и доработка обменов между БД - оперативный поиск и исправление ошибок пользователей Требования: Высшее образование Опыт программирования на платформе 1С 8 от 3 лет: - Управляемые формы - СКД - Конвертация данных 2-3 - Опыт разработки своих механизмов, подсистем или конфигураций Понимание структуры объектов конфигуратора Знание синтаксиса языка 1С Общее понимание управленческого и бухгалтерского учета Умение формировать рабочее ТЗ по поставленным задачам Работа на результат, коммуникабельность, стрессоустойчивость, любознательность Условия: Официальное трудоустройство, соц. пакет согласно ТК РФ График работы 5/2 с 9:00 до 18:00 Комфортабельный офис в центре города, в шаговой доступности от метро Площадь 1905 года Стабильная заработная плата, в компании не бывает задержек. Готовы обсудить ожидания достойных кандидатов Возможность развиваться вместе с компанией"," Высшее образование Опыт программирования на платформе 1С 8 от 3 лет: - Управляемые формы - СКД - Конвертация данных 2-3 - Опыт разработки своих механизмов, подсистем или конфигураций Понимание структуры объектов конфигуратора Знание синтаксиса языка 1С Общее понимание управленческого и бухгалтерского учета Умение формировать рабочее ТЗ по поставленным задачам Работа на результат, коммуникабельность, стрессоустойчивость, любознательность "," Непосредственное участие в проекте внедрения 1С ERP + Документооборот: - разработка и изменение стандартного функционала программ - настройка обменов - оптимизация производительности - работа в команде разработчиков 2. Операционная деятельность: - поддержка, сопровождение и консультация пользователей по конфигурациям баз 1С: БП 3.0, ЗУП 3.1, Хеликс Фитнес - доработка конфигураций 1С под нужды заказчика (использование «расширений») - разработка отчетов и обработок - исправление и доработка обменов между БД - оперативный поиск и исправление ошибок пользователей "," Официальное трудоустройство, соц. пакет согласно ТК РФ График работы 5/2 с 9:00 до 18:00 Комфортабельный офис в центре города, в шаговой доступности от метро Площадь 1905 года Стабильная заработная плата, в компании не бывает задержек. Готовы обсудить ожидания достойных кандидатов Возможность развиваться вместе с компанией",1С программирование|1С: Зарплата и управление персоналом|1С: Бухгалтерия|1С: Документооборот|1С: Предприятие 8|ERP
758,758,ведущий программист 1с,Екатеринбург,100000.0,,Финансы и Право,2019-10-21T11:49:09+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Приглашаем на постоянную работу Ведущего программиста 1С. Организация: крупное холдинговое предприятие. Направление деятельности: эксплуатация жилой недвижимости, коммунальные услуги. Обязанности: разработка базы с нуля; доработка типовых конфигураций 1С (ЗУП , БП 2.0 БП 3.0); поиск и исправление ошибок в существующем программном коде; администрирование 1С; написание отчетов и обработок, СКД; конвертация данных; работа с торговым оборудованием; поддержка пользователей; решение проблемных вопросов, обучение, тех. документация. Требования: опыт работы от 1 года; знание основ кадрового, торгового и бухгалтерского учета; знание типовых конфигураций; понимание логики работы бизнес-процессов типовых конфигураций, в том числе УПП; владение языком запросов; внимательность, ответственность, обучаемость; дополнительным преимуществом будет: участие в проектах по разработке ERP – систем, наличие сертификатов 1С, умение работать с базами данных MSSQL (построение таблиц, написание запросов, хранимых процедур); понимание принципов ООП, шаблонов проектирования MVC, опыт в написании внешних компонент для 1С, знание других языков. Условия: трудоустройство в соответствии с ТК РФ; место работы – проезд Решетникова (Юго-Запад); график работы: 5/2 с 8:30 до 17:30, сб-вс выходные дни; комфортное рабочее место, частичная компенсация питания (на территории предприятия есть кафе); заработная плата обсуждается на собеседовании (рассматриваются ожидания кандидатов). Благодарим Вас за интерес, проявленный к нашей вакансии. Мы рассмотрим Ваше резюме в течение 5 дней с момента его получения. Если Ваш опыт работы и пожелания соответствуют требованиям и возможностям компании - мы свяжемся с Вами по указанным в резюме контактам. Отсутствие ответа в течение двух недель означает, что, к сожалению, на сегодня у нас нет подходящих вакансий. При этом Ваше резюме будет сохранено в нашей базе данных и если подходящая вакансия появится в последующем, мы предложим ее Вам для рассмотрения."," опыт работы от 1 года; знание основ кадрового, торгового и бухгалтерского учета; знание типовых конфигураций; понимание логики работы бизнес-процессов типовых конфигураций, в том числе УПП; владение языком запросов; внимательность, ответственность, обучаемость; дополнительным преимуществом будет: участие в проектах по разработке ERP – систем, наличие сертификатов 1С, умение работать с базами данных MSSQL (построение таблиц, написание запросов, хранимых процедур); понимание принципов ООП, шаблонов проектирования MVC, опыт в написании внешних компонент для 1С, знание других языков. "," разработка базы с нуля; доработка типовых конфигураций 1С (ЗУП , БП 2.0 БП 3.0); поиск и исправление ошибок в существующем программном коде; администрирование 1С; написание отчетов и обработок, СКД; конвертация данных; работа с торговым оборудованием; поддержка пользователей; решение проблемных вопросов, обучение, тех. документация. "," трудоустройство в соответствии с ТК РФ; место работы – проезд Решетникова (Юго-Запад); график работы: 5/2 с 8:30 до 17:30, сб-вс выходные дни; комфортное рабочее место, частичная компенсация питания (на территории предприятия есть кафе); заработная плата обсуждается на собеседовании (рассматриваются ожидания кандидатов). Благодарим Вас за интерес, проявленный к нашей вакансии. Мы рассмотрим Ваше резюме в течение 5 дней с момента его получения. Если Ваш опыт работы и пожелания соответствуют требованиям и возможностям компании - мы свяжемся с Вами по указанным в резюме контактам. Отсутствие ответа в течение двух недель означает, что, к сожалению, на сегодня у нас нет подходящих вакансий. При этом Ваше резюме будет сохранено в нашей базе данных и если подходящая вакансия появится в последующем, мы предложим ее Вам для рассмотрения.",
582,582,ведущий программист 1с,Челябинск,120000.0,,"Содружество, Группа компаний",2019-10-14T10:39:47+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Группа компаний &quot;Содружество&quot; в связи с активным развитием приглашает на работу Программистов 1С ! Мы ищем профессионалов в своей сфере. Если Вы любите и умеете решать сложные задачи, хотите развиваться в сфере программирования и разработки 1С - отправляйте резюме! Вакансия доступна для кандидатов из других регионов. Группа компаний &quot;Содружество&quot; оказывает активную поддержку при переезде в Калининградскую область. Так же мы являемся участниками программы Повышения Трудовой Мобильности! ОБЯЗАННОСТИ: Разработка нового функционала или доработка имеющегося в корпоративных информационных системах на базе &quot;1С:Предприятие 8.3&quot;:; Выполнение предпроектного исследования объекта автоматизации. ; Анализ и уточнение требований. Их формальное описание и регистрация. ; Оценка трудоемкости реализации требований. Календарное планирование разработки. ; Разработка, тестирование и отладка и рефакторинг программного кода на &quot;1С:Предприятие 8.3&quot;. ; Внедрение программного кода в рабочую среду. Подготовка сборки для внедрения.; Разработка системы прав и полномочий пользователей. ; Интеграция 1С с другими информационными системами.; Документирование изменений в функционале системы.; Консультирование пользователей, по разрабатываемому функционалу. ТРЕБОВАНИЯ: Знания и навыки конфигурирования и программирования в среде &quot;1С:Предприятие 8&quot;; Знание БСП, Конвертации данных 2.0 или 3.0; Навыки разработки сложных отчетов на СКД; Опыт работы в качестве программиста 1С с платформой &quot;1С:Предприятие 8&quot; от 2-х лет; Опыт участия в проектах разработки ПО от 1-го года; Умение коммуницировать с бизнес-заказчиком, нацеленность на удовлетворение требований бизнеса. МЫ ГАРАНТИРУЕМ: Стабильную и разноплановую загрузку в крупной международной компании. Возможности для профессионального и карьерного развития. Своевременную выплату КОНКУРЕНТНОЙ ЗАРАБОТНОЙ ПЛАТЫ. Оформление и ведение отношений в соответствии с ТК РФ. График работы пятидневная рабочая неделя с 9:00 до 18:00. Полный социальный пакет согласно ТК РФ. Обучение. Доставка служебным транспортом. РАБОТА В Г. КАЛИНИНГРАД!!!",,,,
137,137,ведущий программист 1с,Новосибирск,,,Новосибирский электровозоремонтный завод,2019-10-15T04:44:00+0300,От 3 до 6 лет,Полный день,Полная занятость,"Обязанности: Доработка/разработка нового функционала в 1С Сопровождение существующих систем Консультация пользователей. Участие в проектах отдела Требования: Обязателен опыт разработки решений на платформе 1С 8.2/8.3; Желательно знание конфигураций УПП 1.3, ЗУП 3.1, Документооборот 2.1; Знание прикладных областей (зарплата и кадры, производство); Опыт самостоятельного ведения проектов, успешных внедрений продуктов на базе платформы 1С; Опыт написания правил обмена между информационными базами 1С (&quot;Конвертация данных&quot;). Условия: официальное трудоустройство согласно ТК РФ, достойная и своевременная заработная плата, работа в стабильной и надежной компании, хорошие возможности профессионального развития, работа в команде профессионалов, возможность профессионального развития в структуре холдинга &quot;Синара Транспортные Машины&quot;."," Обязателен опыт разработки решений на платформе 1С 8.2/8.3; Желательно знание конфигураций УПП 1.3, ЗУП 3.1, Документооборот 2.1; Знание прикладных областей (зарплата и кадры, производство); Опыт самостоятельного ведения проектов, успешных внедрений продуктов на базе платформы 1С; Опыт написания правил обмена между информационными базами 1С (&quot;Конвертация данных&quot;). ", Доработка/разработка нового функционала в 1С Сопровождение существующих систем Консультация пользователей. Участие в проектах отдела ," официальное трудоустройство согласно ТК РФ, достойная и своевременная заработная плата, работа в стабильной и надежной компании, хорошие возможности профессионального развития, работа в команде профессионалов, возможность профессионального развития в структуре холдинга &quot;Синара Транспортные Машины&quot;.",
451,451,ведущий программист 1с,Краснодар,,,Базэл Аэро,2019-10-02T13:11:41+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Дирекция по информационным и производственным технологиям приглашает в свои ряды человека, который: Обладает технической экспертизой по платформе 1С – способен самостоятельно вести разработку по требованиям, проектировать архитектурные решения, проводить анализ решений на платформе 1С на предмет выявления возможностей оптимизации, способен проводить анализ кода других разработчиков на предмет корректности решения и его оптимальности. Обладает лидерскими качествами. Способен организовать работу команды разработки, быть лидером и ментором для разработчиков. Имеет достаточные навыки взаимодействия для успешного управления ожиданиями и потребностями заказчиков. Обязанности: Взаимодействие с заказчиками и аналитиками, управление ожиданиями и потребностями. Краткосрочное планирование собственных работ и команды разработки. Управление архитектурой по закреплённым функциональным направлениям. Оценка качества кода разработчиков на предмет оптимальности и соответствия функциональным требованиям. Разработка планов развития разработчиков, организация их обучения техническим компетенциям. Требования: Высшее образование: инженерное/техническое. Опыт работы – от 2-ух лет. Опыт работы с хранилищами конфигураций. Желательно наличие сертификата специалиста по платформе 1С. Желателен опыт управления персоналом от 2-х сотрудников. Условия: Работа в компании АО &quot;Международный аэропорт &quot;Краснодар&quot;. Полный рабочий день 08:00-17:00, 5/2. Оформление по ТК РФ. Возможность профессионального роста и развития. Возможна удаленная работа. Стандартный срок рассмотрения резюме - 10 дней. Если Вы не получили положительного ответа на Ваше резюме, значит, пока мы не готовы сделать Вам предложение по работе. Но Ваше резюме будет сохранено в нашей базе данных и, в случае появления подходящей вакансии, мы обязательно свяжемся с Вами по указанным телефонам. Благодарим Вас за желание построить свою карьеру в нашей компании!", Высшее образование: инженерное/техническое. Опыт работы – от 2-ух лет. Опыт работы с хранилищами конфигураций. Желательно наличие сертификата специалиста по платформе 1С. Желателен опыт управления персоналом от 2-х сотрудников. ," Взаимодействие с заказчиками и аналитиками, управление ожиданиями и потребностями. Краткосрочное планирование собственных работ и команды разработки. Управление архитектурой по закреплённым функциональным направлениям. Оценка качества кода разработчиков на предмет оптимальности и соответствия функциональным требованиям. Разработка планов развития разработчиков, организация их обучения техническим компетенциям. "," Работа в компании АО &quot;Международный аэропорт &quot;Краснодар&quot;. Полный рабочий день 08:00-17:00, 5/2. Оформление по ТК РФ. Возможность профессионального роста и развития. Возможна удаленная работа. Стандартный срок рассмотрения резюме - 10 дней. Если Вы не получили положительного ответа на Ваше резюме, значит, пока мы не готовы сделать Вам предложение по работе. Но Ваше резюме будет сохранено в нашей базе данных и, в случае появления подходящей вакансии, мы обязательно свяжемся с Вами по указанным телефонам. Благодарим Вас за желание построить свою карьеру в нашей компании!",1С программирование|1С: Управление Производственным Предприятием|ERP
