,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills
513,513,инженер программист,Челябинск,18500.0,18500.0,Филиал МАУ МФЦ города Челябинска,2019-10-18T11:14:23+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: -конфигурация, настройка и администрирование ПК на базе Windows, настройка периферийных устройств, оргтехники; - техническая поддержка пользователей; - администрирование средств защиты информации и средств криптографической защиты информации совместно с ведущим специалистом по защите информации; - помощь ведущему специалисту по защите информации в ведении документации. Требования: - среднее или высшее профессиональное образование (информационные технологии, информационная безопасность) - знание принципов, основ построения и обслуживания ЛВС; - знание и нормативно-методических документов в области защиты информации; - знание программных средств, используемых в целях обеспечения защиты информации (КриптоПро, Secret Net/Secret Net Studio, VipNet, антивирус Касперского); - знание порядка оформления технической документации по защите информации; Желательно: - опыт работы от 1 года; - практический опыт работы с СЗИ и СКЗИ; - опыт ведения/разработки нормативно-методической документации по защите информации. Условия: официальное трудоустройство по ТК РФ полный соц.пакет работа в центре города дружный молодой коллектив возможность карьерного роста"," - среднее или высшее профессиональное образование (информационные технологии, информационная безопасность) - знание принципов, основ построения и обслуживания ЛВС; - знание и нормативно-методических документов в области защиты информации; - знание программных средств, используемых в целях обеспечения защиты информации (КриптоПро, Secret Net/Secret Net Studio, VipNet, антивирус Касперского); - знание порядка оформления технической документации по защите информации; Желательно: - опыт работы от 1 года; - практический опыт работы с СЗИ и СКЗИ; - опыт ведения/разработки нормативно-методической документации по защите информации. "," -конфигурация, настройка и администрирование ПК на базе Windows, настройка периферийных устройств, оргтехники; - техническая поддержка пользователей; - администрирование средств защиты информации и средств криптографической защиты информации совместно с ведущим специалистом по защите информации; - помощь ведущему специалисту по защите информации в ведении документации. ", официальное трудоустройство по ТК РФ полный соц.пакет работа в центре города дружный молодой коллектив возможность карьерного роста,
1226,1226,инженер программист,Самара,30000.0,55000.0,БАСС,2019-10-21T08:17:27+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Компания 13 лет разрабатывает web-сайты и приводит на них покупателей. Мы делаем не просто сайты, а билетные системы, интеграционные сервисы, различные стартапы. Отдельное направление деятельности - оказание электронных услуг населению в области медицины. Мы создали такие системы, как Электронная регистратура, Электронная очередь, Онлайн регистратура и др. В связи с расширением штата, компания ведет набор трудолюбивых, талантливых, желающих достигать целей разработчиков. Если ты готов делать мир лучше, в тебе кипит генератор необычных, нестандартных идей, то тебе к нам. Обязанности: Участие в проектировании и разработке web-проектов различной степени сложности. Развитие существующих проектов компании, создание новых модулей, интеграция со сторонними сервисами. Требования: Опыт разработки Web-приложений не менее 1 года ; ЗнаниеPHP, MySQL, JavaScript, HTML, CSS Знание ООП и понимание в его применении. Приветствуются навыки: Ajax, WebSocket, REST, SOAP; проектирование БД, знание SQL; опыт работы с какой-либо СУБД (MSSQL, Oracle, PostgreSQL) Способность генерировать. Условия: Заработная плата на руки, по результатам собеседования - от 30 000 до 55 000 рублей. График работы 5/2. Испытательный срок 3 месяца. Официальное оформление, отпуск, больничный, согласно Трудового Кодекса РФ. Оформление полиса ДМС (добровольное медицинское страхование), корпоративные мероприятия с выездами на природу за счёт работодателя. Команда профессионалов, готовых поддержать твои инициативы. Возможность работы с новыми технологиями. Гарантированный рост заработной платы при условии повышения профессионального уровня. Обучение. Если тебе хочется большего, всегда есть возможности самореализации. Стильный чистый офис в тихом районе города, с хорошей транспортной развязкой (утром и вечером добираться против пробок). Современная техника, дополнительные мониторы и всё что нужно для продуктивной работы. Изолированное помещение с кондиционером и видом на сквер. Уголок релакса с мягким диваном и шезлонг качалкой, массажное кресло, кофемашина."," Опыт разработки Web-приложений не менее 1 года ; ЗнаниеPHP, MySQL, JavaScript, HTML, CSS Знание ООП и понимание в его применении. Приветствуются навыки: Ajax, WebSocket, REST, SOAP; проектирование БД, знание SQL; опыт работы с какой-либо СУБД (MSSQL, Oracle, PostgreSQL) Способность генерировать. "," Участие в проектировании и разработке web-проектов различной степени сложности. Развитие существующих проектов компании, создание новых модулей, интеграция со сторонними сервисами. "," Заработная плата на руки, по результатам собеседования - от 30 000 до 55 000 рублей. График работы 5/2. Испытательный срок 3 месяца. Официальное оформление, отпуск, больничный, согласно Трудового Кодекса РФ. Оформление полиса ДМС (добровольное медицинское страхование), корпоративные мероприятия с выездами на природу за счёт работодателя. Команда профессионалов, готовых поддержать твои инициативы. Возможность работы с новыми технологиями. Гарантированный рост заработной платы при условии повышения профессионального уровня. Обучение. Если тебе хочется большего, всегда есть возможности самореализации. Стильный чистый офис в тихом районе города, с хорошей транспортной развязкой (утром и вечером добираться против пробок). Современная техника, дополнительные мониторы и всё что нужно для продуктивной работы. Изолированное помещение с кондиционером и видом на сквер. Уголок релакса с мягким диваном и шезлонг качалкой, массажное кресло, кофемашина.",
669,669,инженер программист,Челябинск,40000.0,70000.0,УРТЦ Альфа-Интех,2019-09-23T08:29:00+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Требования к кандидатам: Знание одного из языка программирования C#, Java, C++ Понимание принципов ООП, MVC, паттернов проектирования. Опыт работы с реляционными БД Знание английского языка на уровне, достаточном для ведения рабочей переписки. Готовность к участию в пуско-наладочных работах на территории заказчиков Желание изучать и использовать новые технологии в процессе разработки ПО. Будет плюсом: Программирование промышленных логических контроллеров Siemens, Omron на языках LAD, FBD, SCL Знание основных интерфейсов связи и промышленных протоколов Опыт работы с Git, Redmine Обучение: Наша компания предлагает уникальную бесплатную возможность повысить свой уровень путем обучения как внутри компании, так и на различных сертифицированных курсах повышения квалификации. Обязанности: Программирование промышленных роботов, программирование десктопных приложений, проектирование баз данных, Участие в полном цикле создания роботизированного комплекса. Проектирование, 3Д симуляция ,разработка ПО, отладка на &quot;железе&quot; и пуско-наладка РТК. Оклад обсуждается индивидуально.",,,,
240,240,инженер программист,Новосибирск,40000.0,70000.0,"ЛЕВОБЕРЕЖНЫЙ, Новосибирский социальный коммерческий банк",2019-10-21T06:20:11+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности : разработка новых программных продуктов; сопровождение существующих продуктов и разработок; разрешение запросов пользователей. Требования : высшее техническое образование в области информационных технологий; наличие практического опыта программирования и написания SQL-запросов, опыт работы с базами данных Oracle; желателен опыт работы с системой IBSO ЦФТ в части разработки и администрирования; желателен опыт работы в банке по сопровождению информационных систем. Условия : трудоустройство в соответствии с ТК РФ, полный социальный пакет; фиксированный доход + премирование по результатам выполненных задач; развитая система корпоративной мотивации и ряд дополнительных преференций в зависимости от стажа работы в Банке. Уровень дохода согласовывается индивидуально по результатам собеседования.",,,,MS SQL|SQL|Oracle Pl/SQL|IBSO
666,666,инженер программист,Челябинск,50000.0,,Банк Снежинский,2019-10-07T08:17:10+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: Подготовка технических заданий и документации по документации по проектам. Сопровождение действующего программного обеспечения, разработка и внедрение нового программного обеспечения автоматизации бизнес-процессов в банке, подготовка отчетности. Требования: Опыт работы с реляционными базами данных, знание SQL. Опыт работы по разработке программного обеспечения. Аналитические способности, системность мышления. Коммуникабельность, ответственность, целеустремленность, не конфликтность. Желателен опыт работы с СУБД Oracle. Навыки проектирования структуры баз данных, программирования запросов SQL, хранимых процедур PL/SQL. Знание Java, С#, XМL. Знание основ банковского бухгалтерского учета и отчетности. Условия: Работа в стабильном региональном банке. Возможность профессионального и карьерного роста. Пятидневная рабочая неделя. Трудоустройство в соответствии с ТК."," Опыт работы с реляционными базами данных, знание SQL. Опыт работы по разработке программного обеспечения. Аналитические способности, системность мышления. Коммуникабельность, ответственность, целеустремленность, не конфликтность. Желателен опыт работы с СУБД Oracle. Навыки проектирования структуры баз данных, программирования запросов SQL, хранимых процедур PL/SQL. Знание Java, С#, XМL. Знание основ банковского бухгалтерского учета и отчетности. "," Подготовка технических заданий и документации по документации по проектам. Сопровождение действующего программного обеспечения, разработка и внедрение нового программного обеспечения автоматизации бизнес-процессов в банке, подготовка отчетности. ", Работа в стабильном региональном банке. Возможность профессионального и карьерного роста. Пятидневная рабочая неделя. Трудоустройство в соответствии с ТК.,Oracle Pl/SQL|Java|SQL
317,317,инженер программист,Краснодар,60000.0,70000.0,ЭлектроТехСервис,2019-09-23T20:35:34+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: Сопровождение ПО на стадии эксплуатации (внесение исправлений, улучшений в текущие программы для ПЛК); Разработка программного обеспечения для систем автоматизации. нижний уровень: ПЛК Beckhoff, SE Modicon. верхний уровень: TwinCAT (разработка программ для этих ПЛК, изменение конфигурации модулей и т.д.), Citect SCADA (добавление сигналов, вывод аварий оборудования в визуальной форме, формирование графического интерфейса). Выбор технических средств реализации системных решений (определение протоколов коммуникации, согласование интерфейсов и т.д.) для обеспечения корректного взаимодействия между оборудованием и ПО диспетчеризации, составление спецификации. Участие в пусконаладочных работах, взаимодействие с представителями других организаций для успешного выполнения своих непосредственных обязанностей. Требования: Знание принципа работы и настройки систем SCADA (желательно Citect SCADA (версии 7.40 и 2016)). Знание языков программирования ПЛК по стандарту IEC 61131-3 (ST, FBD, CFC). Понимание взаимодействия оборудования и программного обеспечения по протоколу Modbus (TCP, RTU). Опыт программирования ПЛК Bekchoff, Modicon. Понимание принципа работы сетей KNX и программирования устройств (работа с программным обеспечением ETS) Условия: Оформление по ТК РФ; Командировки по краю. Зарплатный проект; Предоставление жилья;"," Знание принципа работы и настройки систем SCADA (желательно Citect SCADA (версии 7.40 и 2016)). Знание языков программирования ПЛК по стандарту IEC 61131-3 (ST, FBD, CFC). Понимание взаимодействия оборудования и программного обеспечения по протоколу Modbus (TCP, RTU). Опыт программирования ПЛК Bekchoff, Modicon. Понимание принципа работы сетей KNX и программирования устройств (работа с программным обеспечением ETS) "," Сопровождение ПО на стадии эксплуатации (внесение исправлений, улучшений в текущие программы для ПЛК); Разработка программного обеспечения для систем автоматизации. нижний уровень: ПЛК Beckhoff, SE Modicon. верхний уровень: TwinCAT (разработка программ для этих ПЛК, изменение конфигурации модулей и т.д.), Citect SCADA (добавление сигналов, вывод аварий оборудования в визуальной форме, формирование графического интерфейса). Выбор технических средств реализации системных решений (определение протоколов коммуникации, согласование интерфейсов и т.д.) для обеспечения корректного взаимодействия между оборудованием и ПО диспетчеризации, составление спецификации. Участие в пусконаладочных работах, взаимодействие с представителями других организаций для успешного выполнения своих непосредственных обязанностей. ", Оформление по ТК РФ; Командировки по краю. Зарплатный проект; Предоставление жилья;,Bekchoff|Modicon|Citect SCADA|ПЛК Beckhoff|SE Modicon
731,731,инженер программист,Челябинск,60000.0,80000.0,ЧЕЛЯБИНВЕСТБАНК,2019-10-21T07:57:04+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Уважаемые соискатели! Просьба к письму прилагать образцы исходных текстов. Обязанности: Интересные задачи по разработке новых масштабных проектов; Сопровождении существующих модулей корпоративной информационной системы. Требования: Высшее образование (профильное); Знания методологий разработки программного обеспечения; Владение одним или несколькими языками программирования (Java, C#, Python, C++ и т.п.); Уверенное владение объектно-ориентированным подходом к разработке ПО; Знакомство с шаблонами проектирования; Понимание, чем хороший код отличается от плохого; Code-review; Знание технического английского языка; Навыки написания программ для современных реляционных СУБД, серверов приложений, web-серверов, многопоточных приложений. Условия: Сильная команда профессионалов; Программа наставничества; Социальный пакет: - Премирование сотрудников Банка (ежемесячное и дополнительное); - ДМС; - Бесплатное медицинское обслуживание сотрудников в медицинской службе Банка; - Организация питания сотрудников по льготным ценам в столовой Банка; - Дополнительные оплачиваемые дни отпуска; - Материальная поддержка сотрудников Банка за счет Банка и профсоюзной организации Банка; - Организация корпоративных мероприятий ко дню Банка и другим праздникам; - Подарки к праздникам сотрудникам Банка и их детям; - Посещение бассейна, спортзала, покупка билетов в театр, кино на льготных условиях; - Частичная компенсация стоимости путевок в детские оздоровительные и спортивные лагеря; - Присвоение почетных званий и памятных знаков с выделением материального поощрения в связи с награждением сотрудников Банка. 5-дневная рабочая неделя; Официальное трудоустройство."," Высшее образование (профильное); Знания методологий разработки программного обеспечения; Владение одним или несколькими языками программирования (Java, C#, Python, C++ и т.п.); Уверенное владение объектно-ориентированным подходом к разработке ПО; Знакомство с шаблонами проектирования; Понимание, чем хороший код отличается от плохого; Code-review; Знание технического английского языка; Навыки написания программ для современных реляционных СУБД, серверов приложений, web-серверов, многопоточных приложений. ", Интересные задачи по разработке новых масштабных проектов; Сопровождении существующих модулей корпоративной информационной системы. ," Сильная команда профессионалов; Программа наставничества; Социальный пакет: - Премирование сотрудников Банка (ежемесячное и дополнительное); - ДМС; - Бесплатное медицинское обслуживание сотрудников в медицинской службе Банка; - Организация питания сотрудников по льготным ценам в столовой Банка; - Дополнительные оплачиваемые дни отпуска; - Материальная поддержка сотрудников Банка за счет Банка и профсоюзной организации Банка; - Организация корпоративных мероприятий ко дню Банка и другим праздникам; - Подарки к праздникам сотрудникам Банка и их детям; - Посещение бассейна, спортзала, покупка билетов в театр, кино на льготных условиях; - Частичная компенсация стоимости путевок в детские оздоровительные и спортивные лагеря; - Присвоение почетных званий и памятных знаков с выделением материального поощрения в связи с награждением сотрудников Банка. 5-дневная рабочая неделя; Официальное трудоустройство.",
715,715,инженер программист,Челябинск,60000.0,80000.0,ЧЭМК,2019-10-09T07:25:14+0300,От 3 до 6 лет,Полный день,Полная занятость,"Обязанности: – разработка, тестирование, наладка и сопровождение программного обеспечения для автоматизированных систем на металлургическом предприятии - Приложения для эмуляции промышленных объектов, используемые в процессе тестирования программного обеспеченияавтоматизированных систем - Сервисы сбора и сохранения в базы данных - WEB-приложения для ввода информации по промышленным объектам – разработка эксплуатационной документации на программное обеспечение Требования: – наличие высшего образования; – знание C++, C#, ASP.NET MVC, Transact-SQL; – опыт разработки web-приложений, сервисов Условия: – должность: Ведущий инженер-программист – пятидневная рабочая неделя: пн.-чт. с 08.00 до 17.00; пт. с 08.00 до 15.30. – официальное трудоустройство согласно ТК РФ."," – наличие высшего образования; – знание C++, C#, ASP.NET MVC, Transact-SQL; – опыт разработки web-приложений, сервисов "," – разработка, тестирование, наладка и сопровождение программного обеспечения для автоматизированных систем на металлургическом предприятии - Приложения для эмуляции промышленных объектов, используемые в процессе тестирования программного обеспеченияавтоматизированных систем - Сервисы сбора и сохранения в базы данных - WEB-приложения для ввода информации по промышленным объектам – разработка эксплуатационной документации на программное обеспечение ", – должность: Ведущий инженер-программист – пятидневная рабочая неделя: пн.-чт. с 08.00 до 17.00; пт. с 08.00 до 15.30. – официальное трудоустройство согласно ТК РФ.,
709,709,инженер программист,Челябинск,,,Уральская энергосбытовая компания,2019-10-15T12:20:33+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: Разработка нового функционала или доработка имеющегося в корпоративных информационных системах на базе &quot;1С:Предприятие 8.3&quot; (УХ, ДО, ITIL, ЗУП, БП) Анализ и уточнение требований, их формальное описание и регистрация Оценка трудоемкости реализации требований. Календарное планирование разработки Разработка, тестирование и отладка и рефакторинг программного кода на &quot;1С:Предприятие 8.3&quot; Внедрение программного кода в рабочую среду. Подготовка сборки для внедрения Документирование изменений в функционале системы Написание отчетов и печатных форм, доработка существующих Требования: Образование высшее, по направлению «информационные технологии» Приветствуется наличие сертификатов «1С:Специалист» и «1С:Профессионал» Знания и навыки конфигурирования (УХ, ДО, ITIL, ЗУП, БП) и программирования в среде &quot;1С:Предприятие 8&quot; Опыт работы в качестве программиста 1С с платформой &quot;1С:Предприятие 8&quot; от 1 года Знание БСП, Конвертации данных 2.0 или 3.0 Навыки разработки отчетов и печатных форм Умение выстраивать диалог с бизнес-заказчиком, нацеленность на удовлетворение требований бизнеса Условия: официальное трудоустройство бессрочный трудовой разговор"," Образование высшее, по направлению «информационные технологии» Приветствуется наличие сертификатов «1С:Специалист» и «1С:Профессионал» Знания и навыки конфигурирования (УХ, ДО, ITIL, ЗУП, БП) и программирования в среде &quot;1С:Предприятие 8&quot; Опыт работы в качестве программиста 1С с платформой &quot;1С:Предприятие 8&quot; от 1 года Знание БСП, Конвертации данных 2.0 или 3.0 Навыки разработки отчетов и печатных форм Умение выстраивать диалог с бизнес-заказчиком, нацеленность на удовлетворение требований бизнеса "," Разработка нового функционала или доработка имеющегося в корпоративных информационных системах на базе &quot;1С:Предприятие 8.3&quot; (УХ, ДО, ITIL, ЗУП, БП) Анализ и уточнение требований, их формальное описание и регистрация Оценка трудоемкости реализации требований. Календарное планирование разработки Разработка, тестирование и отладка и рефакторинг программного кода на &quot;1С:Предприятие 8.3&quot; Внедрение программного кода в рабочую среду. Подготовка сборки для внедрения Документирование изменений в функционале системы Написание отчетов и печатных форм, доработка существующих ", официальное трудоустройство бессрочный трудовой разговор,1С: Предприятие 8|1С программирование|1С: Документооборот
721,721,инженер программист,Челябинск,,,Челябинский радиозавод Полет,2019-10-18T10:59:08+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: Программирование РЭА. Требования: Высшее техническое образование (ЮУрГУ, Приборостроительный факультет); Опыт работы на предприятиях и НИИ, разрабатывающих радиоэлектронную аппаратуру; Знание языка программирования C/C ++; Опыт кроссплатформенного программирования (желателен опыт работы в MS Visual Studio и Qt); Желателен опыт web разработки; Умение разбираться в коде; Знать методы проектирования РЭА, правила проведения технических расчетов; Знание английского языка в объеме краткого перевода технической документации. Условия: Работа в крупной стабильной Компании; Удобный рабочий график с 8-00 до 16.40, пятидневная рабочая неделя; Трудоустройство согласно ТК РФ, все социальные гарантии, стабильные выплаты заработной платы; Предоставление дополнительных гарантий, льгот и компенсаций (единовременные выплаты при рождении ребенка,частичная оплата стоимости путевок в детские оздоровительные учреждения, льготные путевки на базу отдыха «Жемчужина» (оз. Увильды),премии к юбилейным датам,материальная помощь в случае форс-мажорных обстоятельств); Возможность развития в рамках предприятия (дополнительное обучение, повышение квалификации, принятие участия в проектах, посещение семинаров); Предоставление медицинских услуг в здравпункте предприятия; Корпоративная столовая; Развитая корпоративная культура, организация праздников и спортивных мероприятий."," Высшее техническое образование (ЮУрГУ, Приборостроительный факультет); Опыт работы на предприятиях и НИИ, разрабатывающих радиоэлектронную аппаратуру; Знание языка программирования C/C ++; Опыт кроссплатформенного программирования (желателен опыт работы в MS Visual Studio и Qt); Желателен опыт web разработки; Умение разбираться в коде; Знать методы проектирования РЭА, правила проведения технических расчетов; Знание английского языка в объеме краткого перевода технической документации. ", Программирование РЭА. ," Работа в крупной стабильной Компании; Удобный рабочий график с 8-00 до 16.40, пятидневная рабочая неделя; Трудоустройство согласно ТК РФ, все социальные гарантии, стабильные выплаты заработной платы; Предоставление дополнительных гарантий, льгот и компенсаций (единовременные выплаты при рождении ребенка,частичная оплата стоимости путевок в детские оздоровительные учреждения, льготные путевки на базу отдыха «Жемчужина» (оз. Увильды),премии к юбилейным датам,материальная помощь в случае форс-мажорных обстоятельств); Возможность развития в рамках предприятия (дополнительное обучение, повышение квалификации, принятие участия в проектах, посещение семинаров); Предоставление медицинских услуг в здравпункте предприятия; Корпоративная столовая; Развитая корпоративная культура, организация праздников и спортивных мероприятий.",
