salaries	61556 - 104612	2.0
salaries	104612 - 147667	2.0
salaries	NAN - NAN	18.0
days	avg	7.5
days	max	24.0
days	min	0.0
experience	От 1 года до 3 лет	11.0
experience	От 3 до 6 лет	10.0
experience	Более 6 лет	1.0
employment	Полная занятость	18.0
employment	Проектная работа	2.0
employment	Частичная занятость	2.0
schedule	Полный день	15.0
schedule	Гибкий график	4.0
schedule	Удаленная работа	3.0
skills	1С программирование	7.0
skills	1С: Управление Торговлей	6.0
skills	1С: Бухгалтерия	4.0
skills	1С: Предприятие 8	6.0
skills	C++	1.0
skills	1С: Розница	4.0
skills	1С: Зарплата и управление персоналом	4.0
skills	1C: Бухгалтерия	6.0
skills	1С: Управление нашей фирмой	1.0
skills	1С: Предприятие	1.0
skills	MS SQL Server	1.0
skills	1С: Торговля и склад	1.0
skills	Обновление конфигурации 1С	1.0
skills	Администрирование сетевого оборудования	1.0
skills	1С: Комплексная автоматизация	1.0
skills	Пользователь ПК	1.0
skills	1С: Склад	1.0
skills	1С: Торговля	1.0
