,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills
681,681,программист 1c,Новосибирск,30000.0,,Днл Упаковка,2019-10-14T05:21:39+0300,Нет опыта,Полный день,Полная занятость,"Группа компаний &quot;ДНЛ&quot; - это динамично развивающаяся компания, существующая на рынке с 2009 года. На сегодняшний день &quot;ДНЛ&quot; является крупнейшим дистрибьютером в области гигиены, упаковки и хоз.товаров. Работаем с такими брендами, как: &quot; Комус упаковка&quot;, &quot;GRASS&quot;, &quot; Формация&quot;, &quot; GDC&quot;, &quot; ARCHDALE&quot; и многие другие. Сегодня компания &quot;ДНЛ&quot; работает на территории Новосибирской области и Алтайского края. Мы не останавливается на достигнутом, постоянно расширяя границы своего бизнеса. Группа компаний &quot;ДНЛ&quot; с каждым годом становится все более привлекательней, как работодатель, ведь мы обеспечиваем своим сотрудникам стабильную заработную плату, интересную работу и создаем условия для карьерного роста. Компании &quot;ДНЛ&quot; отдают предпочтения более 800 постоянных крупных клиентов и с каждым днем их число увеличивается. В связи с развитием компании мы приглашаем кандидатов на вакансию Программиста: Обязанности: Кастомизация 1С Скрипты для bpm - программ ( С#) Администрирование локальной сети Взаимодействие со смежными отделами для выполнения работ Требования: Высшее образование (либо последний курс института) Знание 1С!!!!!!!! Знание &quot;железа&quot; и технологий связи не ниже продвинутого пользователя Возможно без опыта работы Условия: Пятидневная рабочая неделя с 9:00 до 18:00 Дружный, молодой коллектив Официальное трудоустройство Уютный офис в центре Новосибирска Чай, кофе Заработная плата 30 000 на испытательный срок, далее по результату.", Высшее образование (либо последний курс института) Знание 1С!!!!!!!! Знание &quot;железа&quot; и технологий связи не ниже продвинутого пользователя Возможно без опыта работы , Кастомизация 1С Скрипты для bpm - программ ( С#) Администрирование локальной сети Взаимодействие со смежными отделами для выполнения работ ," Пятидневная рабочая неделя с 9:00 до 18:00 Дружный, молодой коллектив Официальное трудоустройство Уютный офис в центре Новосибирска Чай, кофе Заработная плата 30 000 на испытательный срок, далее по результату.",Планирование карьеры|Pinnacle Studio|Пользователь ПК|Способность обучать других|1С программирование|Грамотная речь|Английский язык|Работа в команде|1С: Предприятие 8|Работа с оргтехникой|Работа с большим объемом информации
259,259,программист 1c,Новосибирск,50000.0,80000.0,СовПлим-Сибирь,2019-10-13T12:19:05+0300,От 3 до 6 лет,Полный день,Полная занятость,"Обязанности: Сопровождение информационных систем 1С 8.3 (конфигурации 1С: Бухгалтерия, 1С Зарплата и Управление Персоналом, 1С УПП). Создание, доработка и поддержка внешних отчетов и обработок, участков кода в соответствии с ТЗ, своевременное обновление информационных баз; Поддержка обменов как между системами на базе 1С, так между сторонними системами; Текущая поддержка и консультирование пользователей по общим вопросам работы 1С; Поддержка БП 2.0; Поддержка самописной CRM; Поддержка модифицированной УПП. Требования: Высшее профильное образование; Опыт работы с ПО 1С 8 от 1 года. Твердые знания типовых конфигураций &quot;1С: Бухгалтерия предприятия&quot;, &quot;1С Зарплата и управления персоналом&quot;, &quot;1С: УПП&quot;; Знание клиент-серверной архитектуры 1С, управляемых форм, СКД; Умение разбираться в &quot;чужом&quot; коде; Готовность к высокоинтенсивной работе и самообучению; Отличное знание Excel; Желательно наличие сертификатов 1С:Профессионал и 1С:Специалист; Ответственность, стрессоустойчивость, умение общаться с людьми, желание разбираться в бизнес-процессах . Условия: Официальное трудоустройство; Удобный офис с хорошей транспортной развязкой; Дружный коллектив с богатой корпоративной культурой; Повышение квалификации и обучение за счет компании; Возможность профессионального роста и развития."," Высшее профильное образование; Опыт работы с ПО 1С 8 от 1 года. Твердые знания типовых конфигураций &quot;1С: Бухгалтерия предприятия&quot;, &quot;1С Зарплата и управления персоналом&quot;, &quot;1С: УПП&quot;; Знание клиент-серверной архитектуры 1С, управляемых форм, СКД; Умение разбираться в &quot;чужом&quot; коде; Готовность к высокоинтенсивной работе и самообучению; Отличное знание Excel; Желательно наличие сертификатов 1С:Профессионал и 1С:Специалист; Ответственность, стрессоустойчивость, умение общаться с людьми, желание разбираться в бизнес-процессах . "," Сопровождение информационных систем 1С 8.3 (конфигурации 1С: Бухгалтерия, 1С Зарплата и Управление Персоналом, 1С УПП). Создание, доработка и поддержка внешних отчетов и обработок, участков кода в соответствии с ТЗ, своевременное обновление информационных баз; Поддержка обменов как между системами на базе 1С, так между сторонними системами; Текущая поддержка и консультирование пользователей по общим вопросам работы 1С; Поддержка БП 2.0; Поддержка самописной CRM; Поддержка модифицированной УПП. ", Официальное трудоустройство; Удобный офис с хорошей транспортной развязкой; Дружный коллектив с богатой корпоративной культурой; Повышение квалификации и обучение за счет компании; Возможность профессионального роста и развития.,
286,286,программист 1c,Новосибирск,60000.0,120000.0,ИТ Интеграция,2019-10-14T09:42:39+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: Поиск/устранение ошибок в документах, обменах, разработка и доработка отчетов/форм, настройка обменов и прочие сопутствующие мелочи (в основном по УТv8). Получить задачу от конечного пользователя, выполнить или делегировать коллегам, проинформировать пользователя, убедиться что нужный результат достигнут, закрыть задачу. Командная работа в проекте Требования: Знание конфигурации УТ, положительный, предпочтительно длительный опыт решения вышеизложенных задач. Условия: Наши клиенты, это компании средних объемов (приятные люди) с которыми сотрудничаем много лет. Офис, планируется, в пешей доступности от метро, предположительно центр. Компания региональная открываем филиал в Новосибирске октябрь 2019 года (сейчас идут организационные мероприятия). Компания Интегратор, существует 12 лет, с хорошей репутацией, доброжелательный, веселый коллектив, справедливое руководство. Пятидневная рабочая неделя с 9 до 18 часов. Возможен график 4+1 (один день удалено) - рассматривается индивидуально. Оплата - ставка + закрытые часы, верхний предел не ограничивается. При удержании хороших показателей премия."," Знание конфигурации УТ, положительный, предпочтительно длительный опыт решения вышеизложенных задач. "," Поиск/устранение ошибок в документах, обменах, разработка и доработка отчетов/форм, настройка обменов и прочие сопутствующие мелочи (в основном по УТv8). Получить задачу от конечного пользователя, выполнить или делегировать коллегам, проинформировать пользователя, убедиться что нужный результат достигнут, закрыть задачу. Командная работа в проекте "," Наши клиенты, это компании средних объемов (приятные люди) с которыми сотрудничаем много лет. Офис, планируется, в пешей доступности от метро, предположительно центр. Компания региональная открываем филиал в Новосибирске октябрь 2019 года (сейчас идут организационные мероприятия). Компания Интегратор, существует 12 лет, с хорошей репутацией, доброжелательный, веселый коллектив, справедливое руководство. Пятидневная рабочая неделя с 9 до 18 часов. Возможен график 4+1 (один день удалено) - рассматривается индивидуально. Оплата - ставка + закрытые часы, верхний предел не ограничивается. При удержании хороших показателей премия.",1С: Управление Торговлей|1С: Розница
855,855,программист 1c,Новосибирск,70000.0,100000.0,Эковита,2019-10-14T13:53:48+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: Разработка функционала нетиповых решений &quot;1С Предприятие 8.3&quot;; Разработка, внедрение и поддержка механизмов интеграции и обмена данными между 1С и сторонними системами (JSON, XML, конвертация данных, внешние источники данных и т.д.); Автоматизация бизнес-процессов компании на решении 1С:КА и 1С:Розница. Требования: Знание языка запросов 1С:Предприятие 8; Уверенное знание языка программирования, типовых механизмов платформы 1С:Предприятие 8; Опыт поиска оптимальных решений с максимальным использованием функционала системы; Опыт разработки управляемых форм; Написание отчетов в СКД; Желательно участие в проектах внедрения, развития ИС в составе команды; Базовый уровень администрирования баз данных (файловая, MS SQL); Будет плюсом знание типовых решений 1С:КА, 1С:ERP,1С:УТ и 1С:Розница; Умение работать в команде; Обучаемость, ответственность; Условия: Уровень заработной платы, который опирается на уровень Ваших компетенция (не завязан на &quot;часах&quot; и kpi; Оформление согласно ТК РФ; Возможность &quot;гибкого&quot; графика работы (после испытательного срока) Реальные возможности для профессионального и карьерного роста на интересных и крупных проектах."," Знание языка запросов 1С:Предприятие 8; Уверенное знание языка программирования, типовых механизмов платформы 1С:Предприятие 8; Опыт поиска оптимальных решений с максимальным использованием функционала системы; Опыт разработки управляемых форм; Написание отчетов в СКД; Желательно участие в проектах внедрения, развития ИС в составе команды; Базовый уровень администрирования баз данных (файловая, MS SQL); Будет плюсом знание типовых решений 1С:КА, 1С:ERP,1С:УТ и 1С:Розница; Умение работать в команде; Обучаемость, ответственность; "," Разработка функционала нетиповых решений &quot;1С Предприятие 8.3&quot;; Разработка, внедрение и поддержка механизмов интеграции и обмена данными между 1С и сторонними системами (JSON, XML, конвертация данных, внешние источники данных и т.д.); Автоматизация бизнес-процессов компании на решении 1С:КА и 1С:Розница. "," Уровень заработной платы, который опирается на уровень Ваших компетенция (не завязан на &quot;часах&quot; и kpi; Оформление согласно ТК РФ; Возможность &quot;гибкого&quot; графика работы (после испытательного срока) Реальные возможности для профессионального и карьерного роста на интересных и крупных проектах.",1С: Предприятие 8|XML|SQL|MS SQL|1С: Розница|1С: Комплексная автоматизация
710,710,программист 1c,Новосибирск,90000.0,,Восток-Сервис,2019-10-01T05:29:50+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Работа в региональном IT-отделе, занимающемся разработкой и поддержкой информационных систем на платформе 1С:Предприятие 8. Обязанности: Доработка системы учета на базе УТ 10.3 (в том числе интеграция системы учета с EPR) Доработка WMS (на базе УТ 10.3) Доработка, совместно с московским отделом, решений разработанных с нуля (базе БСП) Участие во внедрениях разрабатываемого ПО Требования: Знание механизмов работы управляемых форм: создание, настройка, понимание режима &quot;клиент-сервер&quot; Опыт написания отчетов с использованием системы компоновки данных Хорошее знание языка запросов Знание конфигурации 1С:Управление торговлей (10.3 или 11.Х) либо УПП будет плюсом Опыт работы с конфигурацией «Конвертация данных», с распределенными базами данных будет плюсом Опыт работы с веб-сервисами и мобильной платформой 1с приветствуется. Умение работать в команде, обучаемость, ответственность, самостоятельность Образование желательно высшее техническое, но не принципиально. Условия: График работы 5/2; Оформление согласно ТК РФ; Зарплата от 90 тр и выше (в зависимости от квалификации, определяется по результатам собеседования)."," Знание механизмов работы управляемых форм: создание, настройка, понимание режима &quot;клиент-сервер&quot; Опыт написания отчетов с использованием системы компоновки данных Хорошее знание языка запросов Знание конфигурации 1С:Управление торговлей (10.3 или 11.Х) либо УПП будет плюсом Опыт работы с конфигурацией «Конвертация данных», с распределенными базами данных будет плюсом Опыт работы с веб-сервисами и мобильной платформой 1с приветствуется. Умение работать в команде, обучаемость, ответственность, самостоятельность Образование желательно высшее техническое, но не принципиально. "," Доработка системы учета на базе УТ 10.3 (в том числе интеграция системы учета с EPR) Доработка WMS (на базе УТ 10.3) Доработка, совместно с московским отделом, решений разработанных с нуля (базе БСП) Участие во внедрениях разрабатываемого ПО "," График работы 5/2; Оформление согласно ТК РФ; Зарплата от 90 тр и выше (в зависимости от квалификации, определяется по результатам собеседования).",1С программирование
564,564,программист 1c,Новосибирск,90000.0,100000.0,НЕВАТОМ,2019-10-08T13:56:17+0300,От 3 до 6 лет,Полный день,Полная занятость,"НЕВАТОМ – крупнейший в Сибири производитель вентиляционного оборудования и один из крупнейших в России. Наше неустанное стремление к профессионализму, надежности и инновациям во всех своих услугах и бизнес-процессах – это то, что выделяет нас на фоне крупных игроков рынка вентиляции. Сегодня НЕВАТОМ насчитывает 18 торгово-складских представительств по всей России, от Владивостока до Москвы и Санкт-Петербурга, с производственными центрами в Новосибирске и Екатеринбурге. Мы всегда стремительно растем и развиваемся, и сегодня приглашаем в свою команду Программиста 1С. (Страница вакансии на нашем Карьерном портале: https://rabota.nevatom.ru/vacancy_nsk_programmer_1c/) Ты будешь: дорабатывать функционал типовых конфигураций 1С на базе платформы 8.3; разрабатывать дополнительные отчеты и обработки; заниматься администрированием кластера 1С; осуществлять поддержку пользователей. Тебе понадобится в первую очередь: высшее образование; опыт работы программистом от 3-х лет; знание технологий СКД, управляемых форм; навыки работы с технологическим журналом; знание основных конфигураций 1С (ERP 2, Управление торговлей 11.х, ЗУП 3.х); владение программами: MS Office, OpenOffice, Конфигуратор 1С:Предприятие; ответственность, внимание к деталям; английский язык на уровне уверенного чтения технической литературы (свободное владение приветствуется). Со своей стороны, мы обещаем тебе: официальное трудоустройство согласно ТК РФ; пятидневную рабочую неделю с 8-30 до 17-30; достойную заработную плату; профессиональный и дружный коллектив; возможность профессионального и карьерного роста в стабильной и постоянно развивающейся компании; Место работы: ул. Выборная. Окончательный уровень зарплаты определяется по результатам собеседования. Узнал себя? Тогда откликайся или шли нам своё резюме!",,,,1С: Управление Торговлей|1С программирование|1С: Предприятие|ERP-системы на базе 1С
33,33,программист 1c,Новосибирск,,,ГК СибирьТранс,2019-10-14T06:48:30+0300,От 3 до 6 лет,Гибкий график,Проектная работа,"Обязанности: доработка серьёзно измененной под нужды предприятия конфигурации 1С: УПП; автоматизация бизнес-процессов, для сдачи налоговой отчётности; доработка правил обмена между базами данных 1С: УПП с различными конфигурациями; обновление незначительно измененных конфигураций 1С: УПП (в части регламентированного и кадрового учёта и расчёта заработной платы); консультирование пользователей по вопросам работы в 1С: УПП, как в «почти типовой конфигурации», так и в серьёзно доработанной под нужды предприятия Требования: опыт программирования 1С 8.1/8.2; базовые знания бухгалтерского учёта; знание конфигураций УПП 1.2 и 1.3; умение читать и понимать чужой код в измененной конфигурации. Условия: уровень заработной платы обсуждается индивидуально исходя из имеющегося опыта.", опыт программирования 1С 8.1/8.2; базовые знания бухгалтерского учёта; знание конфигураций УПП 1.2 и 1.3; умение читать и понимать чужой код в измененной конфигурации. ," доработка серьёзно измененной под нужды предприятия конфигурации 1С: УПП; автоматизация бизнес-процессов, для сдачи налоговой отчётности; доработка правил обмена между базами данных 1С: УПП с различными конфигурациями; обновление незначительно измененных конфигураций 1С: УПП (в части регламентированного и кадрового учёта и расчёта заработной платы); консультирование пользователей по вопросам работы в 1С: УПП, как в «почти типовой конфигурации», так и в серьёзно доработанной под нужды предприятия ", уровень заработной платы обсуждается индивидуально исходя из имеющегося опыта.,
249,249,программист 1c,Новосибирск,,,e2e4 Магазин компьютерной и цифровой техники,2019-10-14T07:36:24+0300,От 3 до 6 лет,Полный день,Полная занятость,"С чего бы начать? Начнем с главного - у всех уже есть 1С:ERP, а у нас еще нет. Но будет. Потому что лицензии все есть, команда тоже, осталось внедрить. А чтобы внедрить быстро нужно что? Точно! Разработать все процессы так, чтобы было почти не больно. Вот за этим нам и нужен программист 1С в нашу шикарную команду Отдела 1С (в составе IT-Департамента). Что, собственно говоря, нужно делать: Участие в проекте внедрения 1С:ERP; Доработки типовых конфигураций, тестирование и отладка; Работа с торговым оборудованием; Обеспечение взаимодействия 1С и других информационных систем Методическая поддержка пользователей Что вам сильно поможет делать вышеперечисленное хорошо: опыт разработки на платформе 1С 8.3, в т.ч. на управляемых формах от 1-го года; практические знания одной или нескольких конфигураций &quot;1С: Управление Торговлей 11&quot;, &quot;1С: Бухгалтерия предприятия 2, 3&quot;, &quot;1С: Зарплата и Управление Персоналом 3&quot;, &quot;1С: ЕРП 2&quot;; коммуникабельность; терпение; знание основ бухгалтерского учета, налогового учета; выносливость; чувство юмора. Что у нас есть для вас: вагон (не побоюсь этого слова) интереснейших задач; шикарнейший руководитель отдела; не менее шикарный IT-Директор; большое поле для реализации вашего потенциала и профессионализма; совершенно вменяемый Финансовый департамент (а это важно, вы знаете); парочка подводных камней в виде отсутствия парковки и open space; график работы гибкий (согласовываем время начала работы с8-9-10, хотя может вы захотите, работать с 6:00) Ну и уже ставшие нормой – зарплата, чай, кофе, молоко за вредность. Приходите, скучно не будет)",,,,1С программирование|1С: Бухгалтерия|1С: Предприятие 8|1С: Зарплата и управление персоналом|1С: Управление Торговлей|1С: Управление Производственным Предприятием|1С: Документооборот|1С: Комплексная автоматизация|Бухгалтерский учет|1С: Зарплата и кадры|1С: Торговля и склад|Коммуникабельность|Работа в команде|Консультирование
615,615,программист 1c,Новосибирск,,,ПРО ДЕВЕЛОПМЕНТ,2019-10-15T12:17:39+0300,Более 6 лет,Полный день,Полная занятость,"Компания ПРО ДЕВЕЛОПМЕНТ является признанным лидером в сфере разработки специализированных ИТ решений для автобизнеса. Основные направления деятельности компании связаны с разработкой платформы системной интеграции участников рынка, распределенных e-commerce систем и специализированных высоконагруженных экспертных сервисов. Компания представлена на рынках РФ, СНГ и ЕС, где ее клиентами являются бренды с мировым именем, лидеры рынка и крупные региональные операторы. Мы используем современные технологии при разработке решений enterprise уровня, которые охватывают весь информационный контур продуктов компании от решений для мобильных устройств и веб-интерфейсов вплоть до высоконагруженных серверных компонентов, обрабатывающих большие объемы данных. У нас работает квалифицированная команда, способная к адекватной и продуктивной внутренней коммуникации, разделяющая ценности и дух совместной работы над сложными проектами. Наши сотрудники всегда готовы поделиться опытом и прийти на помощь коллегам. Ключевые члены команды – высококлассные специалисты, имеющие за плечами большой опыт работы в крупных международных проектах. Мы приглашаем Вас присоединиться к команде экспертов в области разработки высоконагруженных распределенных систем. Обязанности: Анализ бизнес требований, поиск оптимального решения; Разработка ключевых разделов и модулей; Сопровождение, обновление, доработка конфигураций 1С под нужды клиента: Управление торговлей 10.3, Управление торговлей 11 ; Интеграция 1С со сторонними системами. Требования: Опыт работы с 1С 8 - от 5 лет; Клиент-серверный вариант работы 1С (установка, настройка); Опыт интеграции баз 1С с web-сервисами; Знание конфигураций 1С УТ10.3, УТ11; Опыт работы с торговым оборудованием. Условия: Возможность работать как из офиса, так и удаленно (но после погружения в проекты); Дружный коллектив; Комфортные рабочие места; Корпоративное обучение, профессиональный рост."," Опыт работы с 1С 8 - от 5 лет; Клиент-серверный вариант работы 1С (установка, настройка); Опыт интеграции баз 1С с web-сервисами; Знание конфигураций 1С УТ10.3, УТ11; Опыт работы с торговым оборудованием. "," Анализ бизнес требований, поиск оптимального решения; Разработка ключевых разделов и модулей; Сопровождение, обновление, доработка конфигураций 1С под нужды клиента: Управление торговлей 10.3, Управление торговлей 11 ; Интеграция 1С со сторонними системами. "," Возможность работать как из офиса, так и удаленно (но после погружения в проекты); Дружный коллектив; Комфортные рабочие места; Корпоративное обучение, профессиональный рост.",
777,777,программист 1c,Новосибирск,,,"ТАЙПИТ, Торгово-промышленная группа",2019-10-11T11:54:54+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Наша команда - это Бизнес-аналитики (общаются с заказчиком, ставят задачи, принимают задачи, документируют и внедряют), Разработчики (придумывают, как решить задачу и реализовывают решения), Тим-лиды анализа и разработки (распределяют задачи, контролируют их выполнение и помогают) и руководитель; С какими технологиями мы работаем: 1С 8.3 (1С ERP, 1C УПП, 1С WMS, 1С Документооборот, 1С Розница, 1С Управление торговлей), обмены на Конвертации данных, web-сервисы (B2B кабинет дилера-ERP, ERP-WMS, ERP-УПП, ERP-Документооборот, внешний клиентский API). Ближайшие вызовы, на которые предстоит ответить: Разработка производственного модуля в 1С ERP для наших мебельных производств (офисные кресла, корпусная мебель, кухни); Реализация электронного документооборота c клиентами (ЮЗЭДО); Организация процессов e-commerce и интеграции с собственным интернет-магазином; Разработка нового b2b-кабинета и интеграция с ним; Реализация процессов внутреннего документооборота Холдинга на базе 1С Документооборот с использованием бесшовной интеграции с 1С ERP; И другое. Наш идеальный кандидат обладает: Опытом от 1 года в разработке на платформе 1С (управляемые формы); Уровнем специалиста по платформе (сертификат не обязателен); Знанием принципов оптимизации запросов на 1С 8 (у нас высоконагруженные системы, и эти знания нужны, либо острое желание их получить); Знанием основных принципов построения реляционных баз данных и работы различных СУБД; Знанием особенностей взаимодействия СУБД с платформой 1С: Предприятие 8; Знанием типовых конфигураций: 1С:ERP, 1C:Документооборот, 1С:WMS, 1С:Конвертация данных; Знанием принципов работы web-сервисов; Опытом интеграции решений на платформе 1С с системами на других платформах; Опытом работы в Agile-команде и пониманием принципов гибкого подхода к разработке. Если ты не обладаешь всеми требованиями, но хочешь развиваться вместе с нами, возможно, мы ждем именно тебя. Откликайся! Мы предлагаем: Работу в компании с многолетней историей Оформление в соответствии с ТК РФ Расширенный социальный пакет Комфортный офис Мероприятия, направленные на профессиональное развитие сотрудников (профессиональные слеты, конкурсы профессионального мастерства) График работы: с 9.00 до 18.00 или с 10.00 до 19.00 (будни)",,,,
