,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills
492,492,программист 1с,Краснодар,35000.0,,Автоматизация Бизнеса,2019-10-14T10:24:44+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Автоматизация бизнеса - успешно растет и развивается в сфере IT. Коротко об Автоматизации бизнеса: - Компании всего три года, а мы уже вышли на Федеральный уровень! - В компании успешно работает более 150 человек! - Наши кадры - наша сила! Мы заинтересованы в развитии своих сотрудников, все руководители наших отделов и филиалов выросли внутри компании. Эта работа подойдет тебе, если: - Ты считаешь, что помогать людям - это нормально. - Умеешь грамотно и доступно излагать свои мысли. - Хочешь дальше развиваться в сфере IT и стать еще более востребованным специалистом. Тебе предстоит: - Помогать нашим клиентам в решении их проблем, даже тогда, когда кажется, что это уже невозможно; - Внедрение и поддержка программных продуктов на платформе 1С; - Программирование‚ разработка в среде 1С:Предприятие (8.х); - Консультирование и обучение клиентов; - Анализ задач заказчика, составление технических заданий; Наши ожидания от тебя: - Приобретенная, а лучше врожденная способность помогать людям. - Знание типовых конфигураций 1С Управление Торговлей, 1С Розница - Основы работы с базами данных Приветствуется: - Знание типовых конфигураций 1С.УНФ, 1С.Бухгалтерия предприятия, 1С.ЗУП, 1С.КА, а также отраслевых решений на платформе 1С от компаний Штрих-М, 1С-Рарус - Сертификаты 1С.Специалист или 1С.Специалист-консультант Что мы можем предложить: - Работа в новом офисе. - Адекватных руководителей. - Интересные задачи. - ЗП 35000 – 45000 руб - График работы на выбор - 5/2 или 2/2.",,,,1С программирование|1С: Бухгалтерия|Разработка технических заданий|1С: Зарплата и управление персоналом|Консультирование
477,477,программист 1с,Краснодар,35000.0,100000.0,Портал-Юг,2019-10-07T08:52:51+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Компания &quot;Портал-Юг&quot; – системный интегратор юга России, специализирующийся на оказании профессиональных ИТ-услуг: подборе и поставке лицензионного ПО, технической поддержке, ИТ-аутсорсинге, внедрении инфраструктурных решений, объединенных коммуникаций, систем электронного документооборота, программно-аппаратных средств информационной безопасности, предоставлении комплексных решений автоматизации бизнеса, обучении и сертификации. Мы ищем тех, кому интересно решать сложные и масштабные задачи по автоматизации экономической деятельности предприятий. Мы ищем тех, кто готов (и, более того, стремится) постоянно совершенствовать свои профессиональные навыки. Разнообразие решаемых нашей командой задач позволяет выбрать наиболее интересное для вас направление автоматизации, способствует профессиональному и карьерному росту, в том числе становлению руководителя крупных проектов. Как программист - консультант 1С, вы будете заниматься: Адаптацией, внедрением, сопровождением программных продуктов 1С; Консультированием, обучением клиентов; Руководством проектами, наставничеством. Каким мы видим кандидата на эту должность? он способен решать любые задачи, связанные с применением типовых конфигураций 1С 8; владеет знаниями в области бухгалтерского и налогового учета; может подтвердить свою квалификацию наличием сертификатов «1С:Специалист»; любит учиться, настойчив в достижении поставленной цели, обладает организованностью, ответственностью, владеет коммуникативными навыками, стрессоустойчив. Особенно мы будем рады Вам, если: у Вас есть опыт автоматизации деятельности компании с &quot;нуля&quot; с помощью прикладных решений 1С; у Вас есть опыт перевода конфигураций с платформы 1С 7.7 на 1С 8; Ваши внедренные решения опубликованы на сайте 1С. Условия работы: График работы: пятидневка, с 9.00 до 18.00 Командировки по ЮФО, СКО Оплата труда: высокая, сдельно-премиальная Соблюдение трудового законодательства; возможность бесплатного повышения квалификации, в том числе сдачи сертификационных экзаменов; компенсация транспортных расходов и расходов на занятия спортом; организованный отдых, страховка ДМС",,,,Навыки программирования в системе 1С:Предприятие 8|ERP-системы на базе 1С|Управление проектами|1С: Предприятие 8
651,651,программист 1с,Челябинск,35000.0,50000.0,"Эмис, ГК",2019-10-21T07:56:53+0300,Нет опыта,Полный день,Полная занятость,"Обязанности: Поддержание работы существующей базы 1С, доработка конфигурации, создание внешних печатных форм, обработок, отчетов. Написание инструкций, консультирование и обучение пользователей работе с программой. Требования: Законченное высшее профильное образование. Разработка в среде 1С:Предприятие 8.2-8.3 – хороший уровень. Знание основ бухгалтерского и налогового учета. Знание различных методик обмена данными. Знание предметных областей: RLS, управляемые блокировки. Опыт разработки управляемого приложения (управляемые формы). Хорошие знания языка запросов и СКД. Приветствуется наличие сертификатов 1С. Коммуникабельность. Ответственность. Стрессоустойчивость. Самостоятельность. Умение работать в команде. Условия: Отечественное производственное предприятие Стабильная заработная плата. Отдельные виды поощрения за инициативность. Корпоративный отдых. Дружный, молодой коллектив. Пятидневная рабочая неделя, рабочий день с 8-30ч до 17-00ч Предприятие находится в д. Казанцево, доставка служебным транспортом. Обязательно резюме по электронной почте, с указанием вакансии."," Законченное высшее профильное образование. Разработка в среде 1С:Предприятие 8.2-8.3 – хороший уровень. Знание основ бухгалтерского и налогового учета. Знание различных методик обмена данными. Знание предметных областей: RLS, управляемые блокировки. Опыт разработки управляемого приложения (управляемые формы). Хорошие знания языка запросов и СКД. Приветствуется наличие сертификатов 1С. Коммуникабельность. Ответственность. Стрессоустойчивость. Самостоятельность. Умение работать в команде. "," Поддержание работы существующей базы 1С, доработка конфигурации, создание внешних печатных форм, обработок, отчетов. Написание инструкций, консультирование и обучение пользователей работе с программой. "," Отечественное производственное предприятие Стабильная заработная плата. Отдельные виды поощрения за инициативность. Корпоративный отдых. Дружный, молодой коллектив. Пятидневная рабочая неделя, рабочий день с 8-30ч до 17-00ч Предприятие находится в д. Казанцево, доставка служебным транспортом. Обязательно резюме по электронной почте, с указанием вакансии.",1С программирование
572,572,программист 1с,Челябинск,40000.0,100000.0,Кадры Роста,2019-10-02T06:28:04+0300,От 1 года до 3 лет,Удаленная работа,Полная занятость,"Вакансия без воды! Компания Линк-Сервис- IT компания, на рынке с 1998 года. Смотри сайт компании www.link-service.ru В связи с расширением отдела открыта вакансия: Программист 1С 1. Нужно заниматься доработкой типовых и специализированных конфигураций 1С 2. Необходимо знать встроенный язык 1С, типовые конфигурации 1С. 3. Мотивация: оклад от 40.000 до 80.000 (определяется индивидуально по собеседованию с руководителем) + премии за выполненный проект. 4. Средняя заработная плата составит от 60 000 руб и до 100 000 руб. 5. Можно работать удаленно (только для жителей Челябинской, Московской, Свердловской и Курганской областей) или в комфортном офисе в центре Челябинска. 6. Оставляйте отклик даже, если сомневаетесь (только для жителей Челябинской, Московской, Свердловской и Курганской областей) - мы изучаем все резюме. В отклике напишите из какой Вы области, т.к. мы рассматриваем кандидатов только из Челябинской, Московской, Свердловской и Курганской областей. Так мы поймем, что вы внимательный и ответственный человек.",,,,1С программирование|1С: Предприятие 8|JavaScript|Пользователь ПК
866,866,программист 1с,Екатеринбург,40000.0,,Техно-линк,2019-10-21T14:02:13+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Требования: Техническое образование (желательно) Опыт программирования Опыт аналогичной работы от 1 года Приветствуется наличие сертификатов 1С Личные качества: Настойчивость в достижении поставленных задач Ответственность Активность Быстрая обучаемость Желание стать профессионалом в 1С Обязанности: Программирование прикладных продуктов в среде &quot;1С:Предприятие&quot; (постановка задач, оценка трудоемкости, внедрение типовых и настроенных конфигураций &quot;1С&quot;) Поддержка, доработка и сопровождение конфигураций 1С Оптимизация программного кода: поиск и исправление ошибок в существующем программном коде Организация обменов между базами Разноплановые интересные задачи Участие в проектах компании Условия работы: Официальное трудоустройство Полностью белая зарплата Комфортные условия труда (современный офис в районе парк хауса, оборудованное рабочее место, наличие парковки) Полный рабочий день Заработная плата обсуждается на собеседование, рассмотрим ожидания кандидатов Молодой позитивный коллектив Корпоративные мероприятия (спортивные, праздничные, выездные) Обучение за счет компании, помощь с сертификацией 1С, поддержка методическими материалами Всегда в наличии приятные вкусности (чай, кофе, печенье, фрукты) Благодарим Вас за интерес, проявленный к нашей вакансии. Ваше резюме будет рассмотрено в течение 3 рабочих дней с момента получения. Отсутствие ответа в течение указанного времени означает, что на сегодня у нас нет вакансий, соответствующих Вашему опыту работы и пожеланиям. При этом Ваше резюме будет сохранено в нашей базе данных и при появлении вакансии мы предложим ее Вам на рассмотрение.",,,,
719,719,программист 1с,Челябинск,45000.0,50000.0,ГК Уралкран,2019-10-21T07:54:09+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: 1. Выполнение проекта по автоматизации предприятия на базе продуктов 1С: CRM, 1C: ERP, 1С: Документооборот. 2. Разработка правил обмена между различными конфигурациями 1С. 3. Подготовка пакета документации на программные разработки. 4. Поддержка пользователей предприятия. Требования: Знание типовых конфигураций 1С: Бухгалтерия предприятия, 1С: ЗУП, 1С: Документооборот. Знание продукта 1C: ERP будет являться преимуществом. Результативность (способность достигать поставленной цели), готовность к изменениям под требования руководителя, способность решить задачу так, чтобы потом не переделывать, способность разобраться в вопросе, даже при отсутствии явных знаний. Условия: Официальное трудоустройство, &quot;белая&quot; заработная плата, стабильные выплаты на карту 2 раза в месяц; График работы: пятидневная рабочая неделя, с 8:30 до 17:30; Работа в крупной стабильной Компании; Работа в команде профессионалов, готовых поделиться своими знаниями и научиться чему- то новому у вас; Возможность профессионального и карьерного роста!"," Знание типовых конфигураций 1С: Бухгалтерия предприятия, 1С: ЗУП, 1С: Документооборот. Знание продукта 1C: ERP будет являться преимуществом. Результативность (способность достигать поставленной цели), готовность к изменениям под требования руководителя, способность решить задачу так, чтобы потом не переделывать, способность разобраться в вопросе, даже при отсутствии явных знаний. "," 1. Выполнение проекта по автоматизации предприятия на базе продуктов 1С: CRM, 1C: ERP, 1С: Документооборот. 2. Разработка правил обмена между различными конфигурациями 1С. 3. Подготовка пакета документации на программные разработки. 4. Поддержка пользователей предприятия. "," Официальное трудоустройство, &quot;белая&quot; заработная плата, стабильные выплаты на карту 2 раза в месяц; График работы: пятидневная рабочая неделя, с 8:30 до 17:30; Работа в крупной стабильной Компании; Работа в команде профессионалов, готовых поделиться своими знаниями и научиться чему- то новому у вас; Возможность профессионального и карьерного роста!",
272,272,программист 1с,Краснодар,45000.0,,АнтАлекс.РФ,2019-10-14T14:29:18+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Должностные обязанности: Разработка и внедрение обработок в 1С 8 сопровождение 1С 8 обучение персонала работе с БД Требования: 1С 8 SQL Мы предлагаем: Полная занятость, инженерная должность работа в офисе (КМР , ул.Уральская) график с 9 до 18 понедельник-пятница официальное трудоустройство зарплатный рост",,,,1С: Предприятие 8|1С: Торговля и склад
757,757,программист 1с,Екатеринбург,50000.0,,СТЕЛЛА,2019-10-08T13:59:17+0300,От 1 года до 3 лет,Полный день,Полная занятость,"В производственно-торговую компанию требуется Программист 1С Обязанности: -поддержка пользователей 1С: Бухгалтерия, Управление торговлей, ERP -доработка системных глюков и несовершенств -создание новых форм и обработок -обучение пользователей нюансам систем -внедрение систем в филиалы -разработка метод. Указаний для эффективного использования систем -повышение отказоустойчивости систем и оптимизация -настройка прав пользователей -обновление систем Требования: -обязателен опыт работы от 2-х лет -умение быстро и качественно писать коды -знание функционала систем -любовь к делу -стремление к развитию -умение работать с расширениями -умение работать с хранилищем -доскональное знание особенностей систем Условия: -место работы-село Балтым ГО Верхняя Пышма -официальное трудоустройство согласно ТК РФ -доставка -стабильная и всегда своевременная заработная плата -заработная плата 50 000 руб. на исп. Срок; от 58 000 руб. после испытательного срока -возможность карьерного роста -регулярные спортивные мероприятия -дружный коллектив --обучение за счет работодателя", -обязателен опыт работы от 2-х лет -умение быстро и качественно писать коды -знание функционала систем -любовь к делу -стремление к развитию -умение работать с расширениями -умение работать с хранилищем -доскональное знание особенностей систем ," -поддержка пользователей 1С: Бухгалтерия, Управление торговлей, ERP -доработка системных глюков и несовершенств -создание новых форм и обработок -обучение пользователей нюансам систем -внедрение систем в филиалы -разработка метод. Указаний для эффективного использования систем -повышение отказоустойчивости систем и оптимизация -настройка прав пользователей -обновление систем ", -место работы-село Балтым ГО Верхняя Пышма -официальное трудоустройство согласно ТК РФ -доставка -стабильная и всегда своевременная заработная плата -заработная плата 50 000 руб. на исп. Срок; от 58 000 руб. после испытательного срока -возможность карьерного роста -регулярные спортивные мероприятия -дружный коллектив --обучение за счет работодателя,1С: Управление Торговлей|1С: Предприятие 8|1C: Бухгалтерия
587,587,программист 1с,Челябинск,50000.0,,Бабков Денис Сергеевич,2019-10-09T07:27:22+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Группа компаний ищет специалиста 1С для сопровождения, консультирования, разработки функционала 1C: ERP, Бухгалтерия, ЗУП. Умение разобраться в типовых инструментах, понять и формализовать задачу, опыт написания технических заданий, инструкций важнее опыта разработки. У нас есть технические писатели, нужен архитектор с потенциалом роста до руководителя внутренних проектов. Знание ERP не обязательно, хоть и приветствуется, обязательно аналитическое мышление, умение изучать продукт и превращать эти знания в рабочий бизнес-процесс. Минимальные требования: опыт работы с продуктами 1С в качестве разработчика и консультанта; умение программировать мы считаем обязательным для эффективной постановки задач на разработку и тестирования результата; высшее техническое образование; умение диагностировать необъяснимые ошибки и проектировать функционал с учётом невысказанных пожеланий пользователя. У нас: самые разноплановые задачи для быстрого профессионального роста - от CRM и производства до финотчетности и бюджетирования. Флагман 1С - ERP в большинстве организаций. Мы - не франчайзи, все проекты внутреннего заказчика; перспектива возглавить команду 1С; адекватный персонал и руководство; полностью официальные трудовые отношения; стабильная окладно-премиальная оплата труда 2 раза в месяц, без привязки к эффективным часам и ежедневной отчетности.",,,,Финансовая отчетность|Разработка технических заданий|Складской Учет|1С программирование|Автоматизация производства|CRM
598,598,программист 1с,Челябинск,50000.0,50000.0,Форпост,2019-10-21T07:46:04+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Крупный дистрибьютор Уральского региона приглашает на постоянную работу программиста 1С. ( новая штатная единица в связи с увеличением объема работ) Условия: график работы: 5-ти дневная рабочая неделя, с 9:00 до 18:00; трудоустройство в соответствии с ТК РФ; заработная плата индивидуально обсуждается с кандидатом на собеседовании; рабочее место – ул. Радонежская, 15 (доставка служебным транспортом). Обязанности: поддержка конфигураций на базе 1С: Управление торговлей ред. 11.2 и других. глубокая модернизация существующих систем на базе 1С. разработка новых отчетов, доработка старых. поддержка многочисленных обменов, различных форматов выполнение задач по программированию на основе ТЗ. Требования: высшее образование; опыт работы от 1 года; профессиональное программирование на платформе 1С Предприятие; нацеленность на результат; внимательность; ответственность.",," поддержка конфигураций на базе 1С: Управление торговлей ред. 11.2 и других. глубокая модернизация существующих систем на базе 1С. разработка новых отчетов, доработка старых. поддержка многочисленных обменов, различных форматов выполнение задач по программированию на основе ТЗ. "," график работы: 5-ти дневная рабочая неделя, с 9:00 до 18:00; трудоустройство в соответствии с ТК РФ; заработная плата индивидуально обсуждается с кандидатом на собеседовании; рабочее место – ул. Радонежская, 15 (доставка служебным транспортом). Обязанности: поддержка конфигураций на базе 1С: Управление торговлей ред. 11.2 и других. глубокая модернизация существующих систем на базе 1С. разработка новых отчетов, доработка старых. поддержка многочисленных обменов, различных форматов выполнение задач по программированию на основе ТЗ. Требования: высшее образование; опыт работы от 1 года; профессиональное программирование на платформе 1С Предприятие; нацеленность на результат; внимательность; ответственность.",
