salaries	147667 - 190723	1.0
days	avg	28.0
days	max	28.0
days	min	28.0
experience	От 1 года до 3 лет	1.0
employment	Полная занятость	1.0
schedule	Полный день	1.0
skills	1С программирование	1.0
skills	Обновление конфигурации 1С	1.0
skills	1С: Предприятие 8	1.0
skills	1С: Бухгалтерия	1.0
skills	1С: Зарплата и управление персоналом	1.0
skills	1С: Торговля	1.0
skills	1С: Управление Производственным Предприятием	1.0
skills	1С: Документооборот	1.0
skills	1С: Розница	1.0
skills	1С: Склад	1.0
skills	ERP-системы на базе 1С	1.0
