salaries	NAN - NAN	4.0
days	avg	11.5
days	max	29.0
days	min	3.0
experience	От 1 года до 3 лет	3.0
experience	От 3 до 6 лет	1.0
employment	Полная занятость	4.0
schedule	Полный день	2.0
schedule	Гибкий график	1.0
schedule	Удаленная работа	1.0
skills	MySQL	1.0
skills	PostgreSQL	1.0
skills	ООП	1.0
skills	Cистемы управления базами данных	1.0
skills	AngularJS	1.0
skills	Git	1.0
skills	C#	1.0
skills	MS SQL	1.0
skills	REST	1.0
skills	.NET Framework	1.0
skills	Delphi	1.0
skills	СУБД Oracle	1.0
skills	SQL-запрос	1.0
