salaries	61556 - 104612	1.0
salaries	104612 - 147667	1.0
salaries	NAN - NAN	1.0
days	avg	16.333333333333332
days	max	26.0
days	min	3.0
experience	От 1 года до 3 лет	2.0
experience	Нет опыта	1.0
employment	Полная занятость	3.0
schedule	Полный день	3.0
skills	1С: Предприятие 8	2.0
skills	1С программирование	1.0
skills	1С: Зарплата и управление персоналом	2.0
skills	Обновление конфигурации 1С	1.0
skills	MS SQL Server	1.0
skills	1С: Бухгалтерия	2.0
skills	1С: Зарплата и кадры	1.0
skills	1С: Управление Торговлей	1.0
skills	1С: Управление Производственным Предприятием	1.0
skills	1С: Торговля и склад	1.0
skills	1С: Торговля	1.0
skills	1С: Склад	1.0
skills	1С: Документооборот	1.0
skills	1С: Управление персоналом	1.0
