salaries	147667 - 190723	1.0
days	avg	1.0
days	max	1.0
days	min	1.0
experience	Более 6 лет	1.0
employment	Полная занятость	1.0
schedule	Полный день	1.0
skills	Управление проектами	1.0
skills	1С: Управление Производственным Предприятием	1.0
skills	1С: Предприятие 8	1.0
skills	1С: Производство	1.0
skills	1С: Зарплата и управление персоналом	1.0
skills	ERP-системы на базе 1С	1.0
skills	руководство командой разработчиков	1.0
skills	1С программирование	1.0
skills	Ведение переговоров	1.0
skills	1С: Управление предприятием	1.0
skills	Оптимизация бизнес-процессов	1.0
