,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills
458,458,системный аналитик,Новосибирск,25000.0,,БИЗНЕС ПРИЛОЖЕНИЯ ИДСИ,2019-09-17T12:44:56+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: Работа с аналитическими и информационными базами данных Расчет показателей эффективности рекламных кампаний Расчет показателей эффективности привлечения трафика Составление сводных таблиц Требования: Аналитический подход Высшее образование Отличное знание ПК, google docs Умение работать с большим количеством источников информации Внимательность, ответственность Обучаемость, инициативность Условия: Офис рядом с Академгородом; Дружный коллектив, уютная атмосфера; Возможность профессионального роста; Заработная плата по результатам собеседования Чай, кофе, плюшки за счет компании"," Аналитический подход Высшее образование Отличное знание ПК, google docs Умение работать с большим количеством источников информации Внимательность, ответственность Обучаемость, инициативность ", Работа с аналитическими и информационными базами данных Расчет показателей эффективности рекламных кампаний Расчет показателей эффективности привлечения трафика Составление сводных таблиц ," Офис рядом с Академгородом; Дружный коллектив, уютная атмосфера; Возможность профессионального роста; Заработная плата по результатам собеседования Чай, кофе, плюшки за счет компании",Работа с базами данных|Работа с большим объемом информации
392,392,системный аналитик,Новосибирск,50000.0,,Корпорация  Сибирское здоровье,2019-10-09T14:35:29+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Мы ищем специалиста по сопровождению и документированию процедур бизнес-процессов организации. Основные функции: Оформление бизнес-требований: Описание текущих бизнес-процессов. Оформление требований к процессу. Оформление сопроводительной документации: Создание разделов сопроводительной документации в соответствие с видами процессов. Передача требований ИТ специалистам на разработку. Аудит текущих процессов: Аудит соответствий ПО и бизнес-требований компании. Аудит сопроводительной документации: Контроль заполнения разделов. Контроль обновления разделов. Регламентирование процессов разработки ПО: Регламентирование пользовательских требований: Ведение нумерации процессов. Ведение регламентированной документации по процессам. Ведение документации по изменениям. Регламентирование форм исполнения задания: Формы требований. Формы приемки задания. Реестр внесенных изменений. Регламентирование процессов сопроводительной документации: Ведение разделов технической документации Контроль заполнения документации по формам Требования: Опыт работы в должности менеджера СМК (система менеджмента качества). Опыт работы от двух лет. Знание разделов ISO 90001/ГОСТ 9001. Владение навыками написания нотаций: IDEF, BPMN, UML. Условия: График работы: понедельник-пятница рабочие дни, ненормированный рабочий день. Постоянный профессиональный рост. Размер заработной платы определяется по итогам собеседования. Периодический пересмотр заработной платы по итогам работы."," Опыт работы в должности менеджера СМК (система менеджмента качества). Опыт работы от двух лет. Знание разделов ISO 90001/ГОСТ 9001. Владение навыками написания нотаций: IDEF, BPMN, UML. ",," График работы: понедельник-пятница рабочие дни, ненормированный рабочий день. Постоянный профессиональный рост. Размер заработной платы определяется по итогам собеседования. Периодический пересмотр заработной платы по итогам работы.",Системный анализ|UML|Информационные технологии|СМК
845,845,системный аналитик,Новосибирск,50000.0,,НПФ Гранч,2019-10-14T05:02:41+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Мы 25 лет на рынке. Наши инновационные продукты (электронные приборы и ПО) позволяют не только уверенно занимать лидирующие позиции на рынке, но и задавать вектор направления развития отрасли. Мы формируем отдельную команду аналитиков с тем, чтобы усовершенствовать выпускаемый нами продукт &quot;Умная шахта&quot; и не только! Приглашаем к сотрудничеству профессиональных аналитиков, желающих получить опыт работы в большом высоконагруженном проекте c возможностью роста до руководителя группы. Обязанности: анализ и оптимизация процессов внутри разрабатываемых и уже готовых продуктов; проектирование логической модели системы, интерфейса ПО; постановка задач для разработчиков проекта, выработка рекомендаций, составление технических заданий на разработку/доработку ПО; взаимодействие с заказчиком и техническими экспертами, сбор и анализ требований; предварительное тестирование функционала; подготовка программы функционального тестирования, участие в приёмо-сдаточных испытаниях. Требования: высшее техническое образование; опыт работы в области бизнес/системного анализа желательно в IT-сфере; понимание основ проектирования, разработки, документирования программного обеспечения; аналитический склад ума, инициативность; умение работать с готовыми техническими заданиями и готовить технические задания на доработку системы; умение формализовывать и структурировать информацию; знание методов системного анализа; знание MS Office на уровне грамотного пользователя. Вашим преимуществом будут: профильное образование по направлению Системный анализ; опыт работы с SQL, Excel; опыт работы с пакетами математического моделирования; понимание или хотя бы представление о работе стека протоколов TCP/IP и принципах работы сетевого оборудования; понимание принципов передачи данных по каналу связи, способность анализировать функционирование сетей и аппаратных интерфейсов. Мы предлагаем: работу в компании, продукты которой не имеют аналогов на рынке; участие в формировании стратегии по развитию продуктов; постоянное развитие, участие в интересных проектах и расширение профессиональной экспертизы; участие в профильных семинарах, конференциях, выставках; отлично оборудованный комфортный офис в 15 мин от ст. метро &quot;Березовая роща&quot;; дружный коллектив, корпоративные праздники и мероприятия; бесплатный спортзал с душем, оборудованная кухня и вкусный кофе в офисе, несколько хороших столовых и кафе рядом с офисом. Условия: график работы пн-пт с 8:00 до 17:00, сб, вс - выходной (в индивидуальном порядке возможна корректировка); оформление по ТК РФ; размер заработной платы готовы обсуждать с кандидатами в зависимости от их уровня знаний и опыта. Мы ищем в команду человека, который: постоянно учиться и развивается; всегда нацелен на результат; умеет работать в команде; не боится сложных задач; обладает самостоятельностью; любит свою работу. Решаем интересные разноплановые задачи. Ключевые навыки: MS Visio UML Data Analysis SQL Анализ данных"," высшее техническое образование; опыт работы в области бизнес/системного анализа желательно в IT-сфере; понимание основ проектирования, разработки, документирования программного обеспечения; аналитический склад ума, инициативность; умение работать с готовыми техническими заданиями и готовить технические задания на доработку системы; умение формализовывать и структурировать информацию; знание методов системного анализа; знание MS Office на уровне грамотного пользователя. Вашим преимуществом будут: профильное образование по направлению Системный анализ; опыт работы с SQL, Excel; опыт работы с пакетами математического моделирования; понимание или хотя бы представление о работе стека протоколов TCP/IP и принципах работы сетевого оборудования; понимание принципов передачи данных по каналу связи, способность анализировать функционирование сетей и аппаратных интерфейсов. Мы предлагаем: работу в компании, продукты которой не имеют аналогов на рынке; участие в формировании стратегии по развитию продуктов; постоянное развитие, участие в интересных проектах и расширение профессиональной экспертизы; участие в профильных семинарах, конференциях, выставках; отлично оборудованный комфортный офис в 15 мин от ст. метро &quot;Березовая роща&quot;; дружный коллектив, корпоративные праздники и мероприятия; бесплатный спортзал с душем, оборудованная кухня и вкусный кофе в офисе, несколько хороших столовых и кафе рядом с офисом. "," анализ и оптимизация процессов внутри разрабатываемых и уже готовых продуктов; проектирование логической модели системы, интерфейса ПО; постановка задач для разработчиков проекта, выработка рекомендаций, составление технических заданий на разработку/доработку ПО; взаимодействие с заказчиком и техническими экспертами, сбор и анализ требований; предварительное тестирование функционала; подготовка программы функционального тестирования, участие в приёмо-сдаточных испытаниях. "," график работы пн-пт с 8:00 до 17:00, сб, вс - выходной (в индивидуальном порядке возможна корректировка); оформление по ТК РФ; размер заработной платы готовы обсуждать с кандидатами в зависимости от их уровня знаний и опыта. Мы ищем в команду человека, который: постоянно учиться и развивается; всегда нацелен на результат; умеет работать в команде; не боится сложных задач; обладает самостоятельностью; любит свою работу. Решаем интересные разноплановые задачи. Ключевые навыки: MS Visio UML Data Analysis SQL Анализ данных",
448,448,системный аналитик,Новосибирск,60000.0,85000.0,Improve group,2019-10-14T09:36:19+0300,От 1 года до 3 лет,Гибкий график,Полная занятость,"Ахтунг! Improve Digital в поисках опытного системного аналитика в кроссфункциональную команду. Мы стартуем инвестиционный проект для крупного федерального банка. Ребята в банке и наша команда хотим намеренно взорвать рынок и нам не терпится стартовать. Поэтому срочно ищем матерого аналитика, способного делать все, чтобы в процессе разработки возникало как можно меньше вопросов, а система получалась максимально эффективной, а именно: Выяснять и описывать бизнес-процессы для заказчиков. Писать подробное ТЗ, которое будет понятно разработчикам, тестировщикам и заказчикам; переводить с языка клиента на наш родной технический в соответствии с внутренними стандартами. Вместе с командой искать решения по оптимизации бизнес-процессов обслуживания клиентов. Разбираться в работе и всех хитросплетениях банковских систем. Как сказал наш менеджер “Будет сложно, но очень интересно” :) Что пригодится в этом деле: Опыт составления ТЗ и технической документации, понятных и разработчикам, и заказчикам. Навыки сбора и анализа требований от разных пользователей, от топ-менеджеров до операторов. Уверенное знание любой из методологий описания процессов. Способность настойчиво расспрашивать не слишком общительных разработчиков :) Уверенный английский от intermediate Умение работать с Confluence, Jira, Wiki и прочими инструментами Навыки UX проектирования интерфейсов будут не лишними Опыт работы с банковскими и или финансовыми продуктами А также внимательность, аккуратность, желание учиться и обучать остальных, чувство юмора (это супер обязательное требование, готовьте анекдот к собеседованию, будем проверять). С первого дня работы оформляем тебя официально. Зарплата напрямую зависит от твоих навыков и умений. Конечно, у нас гибкий график, есть ДМС со стоматологией, наш офис — в Технопарке на 3 и 7 этажах, в нём есть всё нужно для отличной рабочей жизни. Будем рады тебе! Осталось только откликнуться) До связи!",,,,
468,468,системный аналитик,Новосибирск,,80000.0,Студия Разработки,2019-10-11T14:24:13+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: Сбор и формирование ТЗ для внутреннего ПО компании Анализ, формализация ТЗ, документирование как новых так и старых частей системы; разработка проектной документации и ведение базы знаний; работа над продуктами в тесном взаимодействии с разработчиками. Задачи: Составление технических заданий на разработку/доработку ПО; Постановка задач для разработчиков проекта; Проектирование интерфейса ПО; Сопровождение существующих продуктов; Взаимодействие с заказчиком для уточнения требований к продукту. Требования: Опыт работы в коммерческой разработке; Опыт сбора и описания бизнес-требований (Vision, SRS, User Stories) ; Опыт работы с Jira и Confluence; Опыт проектирования web-прототипов пользовательских интерфейсов; Аналитический склад ума; Инициативность, способность принимать самостоятельные решения; Умение расставлять приоритеты; Умение формализовать бизнес-процессы; Умение работать с готовыми техническими заданиями; Умение готовить технические задания на доработку системы. Условия: Возможность профессионального и карьерного развития в компании. Официальное трудоустройство согласно ТК РФ с первого дня. Заработная плата по договоренности Место работы: г. Новосибирск, 5 минут от ст.м. Октябрьская. График работы: пятидневная рабочая неделя с 9-00 до 18-00."," Опыт работы в коммерческой разработке; Опыт сбора и описания бизнес-требований (Vision, SRS, User Stories) ; Опыт работы с Jira и Confluence; Опыт проектирования web-прототипов пользовательских интерфейсов; Аналитический склад ума; Инициативность, способность принимать самостоятельные решения; Умение расставлять приоритеты; Умение формализовать бизнес-процессы; Умение работать с готовыми техническими заданиями; Умение готовить технические задания на доработку системы. "," Сбор и формирование ТЗ для внутреннего ПО компании Анализ, формализация ТЗ, документирование как новых так и старых частей системы; разработка проектной документации и ведение базы знаний; работа над продуктами в тесном взаимодействии с разработчиками. Задачи: Составление технических заданий на разработку/доработку ПО; Постановка задач для разработчиков проекта; Проектирование интерфейса ПО; Сопровождение существующих продуктов; Взаимодействие с заказчиком для уточнения требований к продукту. "," Возможность профессионального и карьерного развития в компании. Официальное трудоустройство согласно ТК РФ с первого дня. Заработная плата по договоренности Место работы: г. Новосибирск, 5 минут от ст.м. Октябрьская. График работы: пятидневная рабочая неделя с 9-00 до 18-00.",
268,268,системный аналитик,Новосибирск,,120000.0,Брокеркредитсервис,2019-09-26T10:33:31+0300,От 1 года до 3 лет,Гибкий график,Полная занятость,"В нашу команду разыскивается опытный системный аналитик. Чем предстоит заниматься: Создание системных моделей на основании бизнес и функциональных требований со стороны заказчика в сфере финансовых и банковских технологий; Контроль и документирование системных моделей в рамках действующей ИТ Инфраструктуры; Разработка и документирование необходимых системных спецификаций в рамках проектной деятельности. Что мы ждем от тебя: Наличие навыков чтения/написания проектной документации, системных спецификаций, создания бизнес модели и модели прецедентов (use cases) для фиксирования требований к прикладному ПО; Знание методологий и стандартов системного анализа, моделирования и разработки программного обеспечения (ООП, RUP, SCRUM и т.п.); Знание нотаций визуализации и документирования (UML2, BPMN, ARIS) и владение инструментами Enterprise Architect, MS Visio, MS Office, Attlassian JIRA и Confluence на уровне продвинутого пользователя; Наличие навыков понятного визуального представления слабо структурированной информации для создания презентационных материалов; Наличие навыков чтения кода XML, XSD, RAML, JSON, HTML, CSS, Javascript, Java, C#, SQL и т.п.; Что от нас: Оформление согласно ТК РФ; Конкурентная заработная плата; Расположение офиса - м. Площадь Ленина; Гибкое начало дня, есть возможность сдвинуть рабочие часы, чтобы трудиться эффективнее; ДМС (по льготным условиям); Льготное приобретение фитнеса в компаниях World Class, фитнес-клуб Европа, X-FIT; Отсутствие дресс-кода; Вечерние занятия в танцевальной студии БКС; Спортивные команды по футболу, волейболу, баскетболу, настольному теннису;",,,,
397,397,системный аналитик,Новосибирск,,,Электронный город (ООО Новотелеком),2019-09-30T06:39:27+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: Общение с заказчиком, написание и согласование требований; Общение с разработчиками по ТЗ; Тестирование и приёмка отчета; Написание инструкций, обучение пользователей; Ведение документации по отчетности. Аналитика отчетности - системные требования для разработки Требования: Опыт работы с БД Знание SQL Умение выделять главное из любого объема устной или письменной информации Умение слушать и слышать собеседника Опыт написания технических требований для разработчиков Условия: График работы: 5/2, с 09-00 до 18-00; Место работы: ул. Семьи Шамшиных; Заработная плата будет зависеть от умений и знаний кандидата Мы предлагаем дружный коллектив, профессиональный и личностный рост; официальное трудоустройство А также бонусы для сотрудников: бесплатный интернет и КТВ дома, возможность заниматься спортом (футбол, баскетбол, йога, бассейн) и много другое.", Опыт работы с БД Знание SQL Умение выделять главное из любого объема устной или письменной информации Умение слушать и слышать собеседника Опыт написания технических требований для разработчиков ," Общение с заказчиком, написание и согласование требований; Общение с разработчиками по ТЗ; Тестирование и приёмка отчета; Написание инструкций, обучение пользователей; Ведение документации по отчетности. Аналитика отчетности - системные требования для разработки "," График работы: 5/2, с 09-00 до 18-00; Место работы: ул. Семьи Шамшиных; Заработная плата будет зависеть от умений и знаний кандидата Мы предлагаем дружный коллектив, профессиональный и личностный рост; официальное трудоустройство А также бонусы для сотрудников: бесплатный интернет и КТВ дома, возможность заниматься спортом (футбол, баскетбол, йога, бассейн) и много другое.",
734,734,системный аналитик,Новосибирск,,,Azoft,2019-10-09T07:07:02+0300,От 3 до 6 лет,Полный день,Полная занятость,"17 лет компания Azoft работает на рынке международного IT-аутсорсинга, предоставляя услуги разработки компьютерного и мобильного ПО для компаний по всему миру. Команда Azoft - увлеченные люди, разбирающиеся в современных технологиях, готовые осваивать новое и помогать другим. На проект для разработки платформы для повышения привлекательности программы лояльности одного из ведущих российских банков требуется опытный, вдумчивый и решительный системный аналитик. Мы предлагаем: Интересный, масштабный проект с десятками миллионов пользователей Опытную команду разработчиков, которая всегда готова помогать По-настоящему гибкий график работы Стабильную работу и гарантированную загрузку Развитие сотрудников: семинары, конференции, English Забота о здоровье: 2 крутые команды - ИТ-футбол и ИТ-баскетбол, частичная компенсация абонементов в бассейн и фитнес-клубы Хороший отдых: совместные праздники и еженедельные Печенька-Party и сканворды Закрытая парковка: для автомобилей, велосипедов, самокатов, гироскутеров :) Чем предстоит заниматься: Совместно с архитектором и разработчиками проектировать многомодульную систему с множеством интеграций со сторонними сервисами Разрабатывать функциональные и нефункциональные требования, проектировать сценарии взаимодействия Проводить анализ полноты и непротиворечивости функциональных и нефункциональных требований с точки зрения возможности технической реализации Совместно с командой разработки оценивать и определять возможность реализации и способы реализации функционала Проверять варианты технических решений на соответствие бизнес-требований заказчика Поддерживать документацию по проекту в актуальности Мы ожидаем от вас: Технический бэкграунд: профильное образование по направлению разработки ПО или опыт работы разработчиком / тестировщиком / системным аналитиком Понимание принципов работы API, обмена данными между системами и модулями Опыт составления документации, в том числе технических заданий для разработчиков Опыт практического применения инструментов моделирования Опыт проектирования API Опыт моделирования и проведения end-to-end сценариев без графического интерфейса Опыт проектной деятельности (опыт работы над несколькими проектами одновременно) Умение четко излагать мысли, систематизировать информацию, декомпозировать объекты и процессы Аккуратность в ведении документации Хорошие коммуникативные качества.",,,,Разработка технических заданий|Бизнес-анализ|UML|SQL|Системный анализ
745,745,системный аналитик,Новосибирск,,,ПРО ДЕВЕЛОПМЕНТ,2019-10-15T12:17:39+0300,От 1 года до 3 лет,Гибкий график,Полная занятость,"Компания ПРО ДЕВЕЛОПМЕНТ является признанным лидером в сфере разработки специализированных ИТ решений для сегмента «автозапчасти». Основные направления деятельности компании связаны с разработкой платформы системной интеграции участников рынка, распределенных e-commerce систем и специализированных высоконагруженных экспертных сервисов. Компания представлена на рынках РФ, СНГ и ЕС, где ее клиентами являются бренды с мировым именем, лидеры рынка и крупные региональные операторы. Мы используем современные технологии при разработке решений enterprise уровня, которые охватывают весь информационный контур продуктов компании от решений для мобильных устройств и веб-интерфейсов вплоть до высоконагруженных серверных компонент, обрабатывающих большие объемы данных. У нас работает квалифицированная команда, способная к адекватной и продуктивной внутренней коммуникации, разделяющая ценности и дух совместной работы над сложными проектами. Наши сотрудники всегда готовы поделиться опытом и прийти на помощь коллегам. Ключевые члены команды – высококлассные специалисты, имеющие за плечами большой опыт работы в крупных международных проектах. Мы приглашаем Вас присоединиться к команде экспертов в области разработки высоконагруженных распределенных систем. Основная задача: Аналитика и декомпозиция задач разработчикам для проектов по автоматизации автобизнеса. Задачи: Анализ, формализация и согласование требований (пользовательских историй — User stories). Формирование согласованных сценариев тестирования. Участие в командной разработке: взаимодействие с дизайнерами, разработчиками, тестировщиками. Анализ выявленных несоответствий и формирование предложений по улучшению продукта. Участие в подготовке документации по продукту. Требования: Базовые знания принципов разработки ПО, проектирования пользовательских интерфейсов, интеграции приложений. Знание технологии Scrum/ Kanban/Waterfall. Умение формализовывать и структурировать информацию, представлять её на обсуждение. Опыт написания функциональных требований/бизнес-требований/технических спецификаций на разработку. Опыт работы в области разработки WEB-проектов. Личные и профессиональные качества: Умение достигать качественного результата в установленные сроки; Способность налаживать эффективные коммуникации в команде; Внимательность к деталям; Умение коротко, связно и грамотно говорить и писать; Умение презентовать идеи. Условия: Официальное трудоустройство; Внутреннее обучение, профессиональный рост; Дружный коллектив; Комфортные рабочие места; Гибкий график."," Базовые знания принципов разработки ПО, проектирования пользовательских интерфейсов, интеграции приложений. Знание технологии Scrum/ Kanban/Waterfall. Умение формализовывать и структурировать информацию, представлять её на обсуждение. Опыт написания функциональных требований/бизнес-требований/технических спецификаций на разработку. Опыт работы в области разработки WEB-проектов. Личные и профессиональные качества: Умение достигать качественного результата в установленные сроки; Способность налаживать эффективные коммуникации в команде; Внимательность к деталям; Умение коротко, связно и грамотно говорить и писать; Умение презентовать идеи. ",," Официальное трудоустройство; Внутреннее обучение, профессиональный рост; Дружный коллектив; Комфортные рабочие места; Гибкий график.",
747,747,системный аналитик,Новосибирск,,,Positive Technologies,2019-10-14T17:39:21+0300,От 3 до 6 лет,Полный день,Полная занятость,"Positive Technologies — это международная компания с несколькими представительствами и R&amp;D центрами в России и по всему миру, в том числе в Великобритании, Италии, Чехии и других странах. В течение 17 лет мы разрабатываем продукты и сервисы в области противодействия современным киберугрозам. В нашей команде более 900 экспертов, среди которых высококвалифицированные разработчики, хакеры, реверс-инженеры, консультанты по защите ERP, SCADA, банков и телекомов, веб- и мобильных приложений. О задачах: систематизация, детализация и документирование бизнес-требований; перевод требований в описание задач для команд разработки; взаимодействие с руководителями команд разработки, архитекторами и проектировщиками интерфейсов в процессе разработки описания; проверка функциональности требований, реализуемых разработчиками. ​ Что необходимо кандидату: аналитический склад ума; умение систематизировать информацию; умение быстро писать понятную документацию; умение разбираться в сложных вопросах ИТ и/или ИБ; опыт работы на аналогичной должности в сложных проектах. Приветствуется: знание методологии UML; ​ знакомство с различными концепциями ООП и опыт их применения при разработке ПО; владение методами ведения Agile-проектов; понимание практических аспектов информационной безопасности будет плюсом. ​ Что еще, кроме работы: В Новосибирске у нас 2 офиса (Город + Академ) - на выбор. У каждого из нас полис ДМС со стоматологией. Шесть недель оплачиваемого отпуска в год. Удобный график работы (начало в 9:00-11:00). Дресс-кода нет — мы за свободу в выборе стиля. Конкурентоспособная белая заработная плата.",,,,
