salaries	104612 - 147667	1.0
days	avg	16.0
days	max	16.0
days	min	16.0
experience	Более 6 лет	1.0
employment	Полная занятость	1.0
schedule	Полный день	1.0
skills	1С: Бухгалтерия	1.0
skills	1С: Документооборот	1.0
skills	1С: Управление Торговлей	1.0
skills	1С: Торговля и склад	1.0
skills	1С: Зарплата и кадры	1.0
skills	1С: Предприятие 8	1.0
skills	1С: Зарплата и управление персоналом	1.0
skills	Бухгалтерский учет	1.0
skills	1С: Управление Производственным Предприятием	1.0
skills	1С: Бухгалтерия и склад	1.0
skills	1С: Торговля	1.0
skills	1С: Склад	1.0
