salaries	18500 - 61556	1.0
days	avg	17.0
days	max	17.0
days	min	17.0
experience	От 1 года до 3 лет	1.0
employment	Полная занятость	1.0
schedule	Полный день	1.0
skills	1С: Бухгалтерия	1.0
skills	1С: Зарплата и управление персоналом	1.0
skills	1С: Предприятие 8	1.0
skills	1С: Зарплата и кадры	1.0
skills	1С: Управление Торговлей	1.0
skills	1С: Документооборот	1.0
skills	1С: Управление Производственным Предприятием	1.0
skills	1С: Торговля	1.0
skills	1С: Склад	1.0
skills	1С: Управление персоналом	1.0
