,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills,days
987,987,.net,Новосибирск,25000.0,40000.0,Форвард,2019-10-15T14:28:17+0300,Нет опыта,Полный день,Полная занятость,"Группа компаний Форвард – лидер в области разработки программных и аппаратных симуляторов автомобилей и различной спецтехники, а также программного обеспечения для теоретического обучения вождению, безопасности дорожного движения и т.д. Мы – увлеченная команда профессионалов, разрабатываем и применяем игровые технологии для создания высококачественных и реалистичных продуктов, которые помогают обучать специалистов и пользователей по всему миру. Наша продукция поставляется как по всей России, так и за рубеж – в США, различные страны Европы и т.д. Вас ждет широкий спектр задач – разработка редактора уровней и учебных заданий, графики, искусственного интеллекта, сетевого взаимодействия, работа с такими технологиями, как Oculus Rift, HTC Vive, Steam, Havok Physics и т.д. Опытная команда поможет изучить новое и прокачать Ваши навыки. Приглашаем стать частью нашей команды! Нам интересно Ваше: Знание основ C++ и C#; Принципы и методы ООП; Основы линейной алгебры и аналитической геометрии; Понимание базовых структур данных и алгоритмов. Будет плюсом: Работа с различными .NET-технологиями - WPF и т.д. Опыт работы в Microsoft Visual Studio, с системами контроля версий (SVN, Git и т.д.); Интерес к разработке компьютерных игр и симуляторов; Наличие собственных проектов игр/мультимедийных программ; Опыт программирования 3D графики (DirectX, OpenGL), работы с графическими «движками»; Опыт работы с игровыми движками – Unreal Engine, Unity и т.д.; Интерес к автомобильной тематике; Технический английский (чтение документации). Мы предлагаем: Молодой, профессиональный, дружелюбный коллектив; Комфортный офис в центре города, 5 минут от метро «Гагаринская»; Опытные коллеги и наставники; Удобное и современное рабочее место; Официальное трудоустройство, белая зарплата; Возможность совмещения работы с учебой; Профессиональный и карьерный рост; Доступ к современному VR-оборудованию, игровым рулям и т.д.; Возможность участия в семинарах и тренингах; Кухня с кофемашинами, разными «вкусняшками» для всегда позитивного настроения; Компенсация занятий спортом. Уровень заработной платы определяется по результатам собеседования.",Без требований,Без обязанностей,Без условий,C++|ООП|C#,3
588,588,.net,Новосибирск,30000.0,112976.0,Кадвайс-Н,2019-10-13T00:01:09+0300,Нет опыта,Гибкий график,Полная занятость,"Привет. Меня зовут Рудниченко Константин, я технический директор в компании Cadwise. Мы хотим активно расти и ищем людей в команду. Дальше я немного расскажу о том, что и как мы делаем, кого мы ищем. О компании Cadwise — компания, занимающаяся разработкой программных продуктов для решения задач проектирования в области промышленного и гражданского строительства. Нами разрабатываются программные комплексы, автоматизирующие проектирование сетей электроснабжения, охранных и пожарных систем, систем оповещения, водоснабжения и канализации, структурированных кабельных систем. Сложно? Да! Интересно? Очень! Наши продукты, занимают лидирующие позиции в своей области, позволяют проектным организациям автоматизировать выполнение множества повседневных задач и не тратить время на рутину. Пишем на C#, но есть код и на C++. Мы считаем, что разработчик должен тестировать свой код через unit-тесты. Используем Slack для чатов, собираем продукты с помощью TeamCity, а задачи ведем в YouTrack. Не любим бюрократию, неважно, сколько человек сидит за компьютером, важно сколько работы выполняет. О проекте Сейчас мы находимся практически на старте разработки нового поколения наших продуктов. Новый продукт должен объединить в себе возможность проектирования всех инженерных систем, дать возможность одновременной(параллельной) работы над одним и тем же объектом проектирования. Задачи разные: от разработки GUI до алгоритмов и архитектурных челленджей. Пара слов о стеке технологий: C# .net framework, но мы работаем и думаем над тем, чтобы всё завелось под dotnet core C++ для интеграции с CAD платформой WPF nUnit CI на Teamcity Mercurial(HG) для версионирования исходников О команде Непосредственно над этим проектом сейчас работает 6 разработчиков и 1 тестировщик, все находятся в Новосибирске. Кроме того, мы в постоянном контакте с менеджерами продуктов, которые всегда на связи с нашими пользователями. Что ждем от кандидата Понимание принципов OOP Профильное высшее образование Умение быстро включаться в работу команды, обучаться Способность самостоятельно искать решения возникающих задач Английский (свободное чтение технической документации) Будет плюсом: Знание языков C#/C++ Опыт разработки Windows(WinForms, WPF) приложений Опыт работы с системами отслеживания ошибок Опыт работы с системами контроля версий Понимание принципов OOD, SOLID Есть возможность совмещать с учебой.",Без требований,Без обязанностей,Без условий,Без ключевых навыков,5
482,482,.net,Новосибирск,40000.0,120000.0,DataWorks,2019-10-15T07:06:15+0300,От 1 года до 3 лет,Гибкий график,Полная занятость,"Привет, дорогой кандидат! Мы рады, что тебя заинтересовала наша вакансия C# разработчика, и сейчас всё про неё расскажем :) Кто такие мы? Классные ребята, объединённые в компанию DataWorks. Специализируемся на создании программного обеспечения для анализа данных и генерации печатных и интерактивных отчётов. Делаем это с 1999 года и можем уверенно сказать, что являемся профессионалами в своей области. Наша визитная карточка – флагманский продукт ActiveReports – используется по всему миру, именно поэтому качество разрабатываемого продукта для нас стоит во главе угла. Это большой, интересный и сложный (очень!) проект, который на рынке уже 15 лет. Мы хотим, чтобы наши решения не просто работали, но также были красивыми и удобными. В продуктовую линейку входят Active Reports и Active Reports Server, их выпуском занимается наш генеральный партнёр компания Grapecity (на их сайте можно посмотреть, что такое AR, как оно работает и из чего состоит). Большинство наших клиентов - зарубежные компании. Кого мы ищем? Джедаев C# разработки, от юных падаванов до опытных рыцарей. Почему вакансия висит так долго? У нас идет постепенное плановое расширение команды, и мы всегда готовы пообщаться с классными кандидатами. Когда находим подходящего разработчика, вакансия на hh.ru остается открытой, чтобы у новых ребят была возможность с нами познакомиться. Чего мы ждем от тебя: Хорошие знания .NET, C# Знание ООП (умение проектировать простые системы классов) Знакомство c CSS, JavaScript, html Понимание основ Test-Driven Development, Continuous Integration Знание английского на уровне Intermediate Высшее образование (очень желательно техническое) Что предлагаем: Официальное трудоустройство согласно ТК РФ и белую заработную плату Офис в самом сердце Академгородка, с уютными соснами за окном Изучение английского в офисе за счёт компании Ещё со своей стороны гарантируем тактичных коллег (интеллигентное ревью и вдумчивое тестирование), грамотный подход к разработке (никакого хардкодинга), Scrum без переработок, развитие без насилия, а также корпоративы, печеньки, пиццу и уважение к личности. Какие этапы общения: Выдаем тестовое задание. Технический скрининг по телефону на 15-20 минут (обсудить тестовое и несколько вопросов по технологиям). Приглашаем в гости к нам в офис, чтобы познакомиться поближе, рассказать о нас подробнее и ответить на все вопросы. Интересно? Откликайся, обсудим! :)",Без требований,Без обязанностей,Без условий,C#|.NET|ООП,3
221,221,.net,Новосибирск,40000.0,80000.0,Восток-Сервис-Кузбасс,2019-10-13T07:28:56+0300,Нет опыта,Полный день,Полная занятость,"В Новосибирский филиал ООО &quot;Восток-Сервис-Кузбасс&quot; требуется разработчик .NET/С# для работы с веб-проектами. В связи с расширением штата и объема работы, готовы рассмотреть разработчиков, не имеющих опыт. Требования: первоначальные знания C#, ASP.NET MVC, SQL и большое желание учиться и развиваться как .NET разработчик первоначальные знания и практический опыт работы с JavaScript, AJAX, jQuery желание обучаться и развиваться умение работать в команде Мы предлагаем: официальное трудоустройство и соц. пакет; возможность развития и карьерного роста; внеочередной оплачиваемый отпуск на время сессии (если Вы учитесь); комфортный офис в центре города и дружный коллектив удаленная работа исключена. Резюме отправлять на электронный адрес, в теме письма указывать &quot;Разработчик .NET/С#&quot;.",Без требований,Без обязанностей,Без условий,C#|JavaScript|ASP.NET|MVC|jQuery|SQL,5
470,470,.net,Новосибирск,40000.0,60000.0,Stegobubbles,2019-10-14T14:39:07+0300,От 1 года до 3 лет,Полный день,Полная занятость,"О нас: В нашей компании занимаются творческой работой не только художники и гейм-дизайнеры. Программисты так же вносят свои идеи и придумывают классные игры вместе с командой. Мы считаем, что команда - это залог успеха любой игры. Мы ищем талантливых людей, которые любят игровую индустрию так же, как мы, и, с которыми мы сможем построить целые игровые миры. Одним из наиболее важных аспектов команды является общение. Мы не верим в ненужную бюрократию, в нашей компании нет никаких сольных исполнителей. Мы стараемся сделать мир Game Dev(а) чуточку веселее. Поэтому, иногда в наших вакансиях можно найти смайлик :-) Мы вас ждем, если: Вы программист с горящими глазами. Вам нравится работать в творческом коллективе и разрабатывать веселые игры (а иногда и грустные). У Вас есть желание работать в игровой индустрии и написать свой лучший код для будущего проекта. Если это те ценности, которые у вас есть, тогда Вы тот человек, которого мы ищем! Обязанности: Участие во всех областях разработки игр, в том числе программирование игровой логики, искусственного интеллекта и пользовательского интерфейса Поддержка и внесение новых фич в игру Работа в команде У Вас есть: Страсть к играм Понимание различных игровых технологий (геймплей, интерфейс и т.д.) Любовь к Unity3d и языку программирования C# Уметь переключаться между быстрым и качественным программированием Понимания особенностей мобильных платформ ​​​ Почему вы будете любить у нас работать: Возможность окунуться в игровую индустрию с командой, которая действительно любит игры Отсутствие бюрократии, которая создает ламповую атмосферу в команде Работа с веселыми и дружными людьми Заработная плата 2 раза в месяц, 1 и 15 числа равными долями Отпуск и больничный в лучших традициях ТК РФ :-) Очень много кофе и доширака Раз в месяц вас будут заставлять весь рабочий день играть в игры и кушать вкусняшки за счет компании! Мы ждем тебя друг, в нашу команду игропилов! :-)",Без требований,Без обязанностей,Без условий,Без ключевых навыков,4
796,796,.net,Новосибирск,41400.0,59400.0,"ЖИЛФОНД, агентство недвижимости",2019-09-24T05:18:39+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Агентство недвижимости «Жилфонд» — это одно из крупнейших агентств недвижимости России, созданное в 1997 году. ОБЛАДАТЕЛЬ ПРЕСТИЖНЫХ ПРОФЕССИОНАЛЬНЫХ НАГРАД &quot;Самое надёжное агентство недвижимости&quot; - Ключевая премия 2018 от N1.RU В нашу команду требуется web-программист , который готов участвовать в создании лучших систем поиска услуг и недвижимости. В должностные обязанности программиста входит: разработка проектов на языке программирования С#/Delphi; создание и оптимизация запросов SQL/T-SQL (хранимых процедур, триггеров, функций, представлений); участие в разработке архитектуры данных и структур баз данных; администрирование баз данных; анализ производительности баз данных‚ оптимизация и ускорение обработки запросов; техническая поддержка пользователей. Требования: ответственность; организованность; умение планировать время выполнения задачи; способность доводить исполнение задачи до конца; обучаемость и умения быстро адаптироваться на новом месте; высшее образование. Предлагаем Вам: Официальное трудоустройство с полным соцпакетом и «белой» оплатой труда. Ваш предельный размер заработной платы будет зависеть объема выполненной работы. Огромный спектр разноплановых и интересных задач (у нас вам точно не будет скучно!). Оборудованное рабочее место в центре города недалеко от Метро. Возможность получения уникального опыта и повышения квалификации. Отличный коллектив и грамотное руководство. Совместные корпоративные мероприятия. Гибкий график.",Без требований,Без обязанностей,Без условий,Без ключевых навыков,24
480,480,.net,Новосибирск,50000.0,90000.0,Скайтек,2019-10-13T07:23:07+0300,От 1 года до 3 лет,Гибкий график,Полная занятость,"Предлагаем вам поучаствовать в создании масштабных игр, которые собирают миллионы игроков и получают высокие оценки. Наши проекты быстро растут и развиваются, в связи с чем мы активно расширяем нашу команду перспективными сотрудниками. Мы ищем: талантливого Unity 3D/ C# разработчика, для работы над мобильными играми. Если вы всегда мечтали работать в геймдеве или привлекают сложные высоконагруженные проекты с десятками тысяч игроков онлайн, тогда это вакансия для вас. Необходимые навыки: Хорошее знание C# Высшее образование или последние курсы университета Умение быстро и лихо делать сложные задачки Самостоятельность. Высокая скорость работы. Ответственность. Желание делать классные игры. Желание учиться и развиваться как профессионал Будет плюсом: Опыт работы с Unity 3D (большой плюс!) Опыт работы над игровыми проектами Задачи: Разработка внутреннего серверного движка для многопользовательских игр (C#) Разработка клиентской и серверной части нашего нового проекта Мы предлагаем: Белую зарплату и официальное трудоустройство Гибкий график работы Оплачиваемый отпуск и больничный Компенсация посещения спортзалов Офис компании представляет собой отдельно стоящее 2-этажное здание на огороженной территории, с деревьями, лавочками, площадкой для мангала и удобной парковкой Своя кухня, сладости, фрукты, чай и кофе. Теннис, настольный футбол и игровая комната с PS4 Интересная и творческая работа, возможность учиться у профессиональных коллег Мы ждем от Вас: Резюме Готовность выполнить тестовое задание Напишите нам прямо сейчас и кто знает, может быть мы вместе с вами создадим новый шедевр в игровой индустрии?",Без требований,Без обязанностей,Без условий,Без ключевых навыков,5
720,720,.net,Новосибирск,50000.0,112976.0,Гейм Маверикс,2019-09-23T11:25:37+0300,От 3 до 6 лет,Гибкий график,Полная занятость,"Мы любим играть в игры и любим их создавать. Наши игры, это игры для настоящих мужчин. Среди наших хитов, такие как: Farm Simulator, Construction Company Simulator, Toy Commander, Offroad Driving Simulator, Rally Racer 4x4. Каждый день в них играют миллионы пользователей из разных стран мира. Дружный коллектив и атмосфера стартапа. Опытные товарищи всегда придут на помощь, а твои идеи всегда будут услышаны. У нас нет бюрократии, в принятии важных решений участвуют все члены команды. Каждый может повлиять на то, какой будет игра или предложить идею своей игры. Нам нравится делать хорошие игры, когда игроки говорят нам - «Спасибо за игру!», «Thanks for the game!» или даже «演奏に感謝». С каждым разом мы стараемся делать наши игры лучше и интереснее. Мы растем вместе с каждым членом команды и готовы вознаграждать этот рост регулярным повышением зарплаты. Мы готовы создавать хиты мирового уровня. Ищем в команду опытного Unity разработчика, умеющего решать сложные технические проблемы и создавать отличные игры. Что мы ждем от тебя : хорошее знание C# опыт работы на Unity 3D от 3-х лет опыт работы с Jira (постановка и отслеживание задач), Git, Confluence умение писать понятный, поддерживаемый код ответственность и самоорганизованность творческий подход желание расти профессионально Будет большим плюсом: опыт работы в команде опыт разработки hyper casual и social casino игр Что мы предлагаем : комфортный офис рядом с метро охраняемая наземная и подземная стоянка бесплатный чай, кофе, печеньки, фрукты бесплатная пятничная пицца своевременная зарплата официальное трудоустройство полный соц. пакет: оплачиваемый отпуск, больничные гибкий график",Без требований,Без обязанностей,Без условий,С#|Unity|3D|Разработка компьютерных Игр|Game Programming|ООП|Java|C++|JavaScript,25
727,727,.net,Новосибирск,50000.0,110000.0,Ледас,2019-10-03T11:25:14+0300,От 1 года до 3 лет,Гибкий график,Полная занятость,"Компания ЛЕДАС хорошо известна на международном рынке как ведущий разработчик САПР и инженерного ПО. Мы занимаемся наукоёмким программированием, разрабатываем продвинутые алгоритмы и уникальные приложения. География наших партнёров обширна, как обширна и область наших интересов. Нам нужен Программист на языке C# в команду, разрабатывающую приложение, помогающее выполнять обработку деталей на лазерных станках. В приложении реализуются алгоритмы для самых разных направлений лазерной обработки: лазерная сварка, резка, 3D печать из металлического порошка, гравировка - по обычной фотографии выжигается текстура на металлической поверхности и многое другое. Пользователю достаточно загрузить 3D модель обрабатываемой детали и задать способ обработки, расчёт необходимых действий станка, создание управляющей программы и общение с контроллером станка выполняется автоматически. Мы готовы рассмотреть кандидатов любого уровня: от студентов до самых опытных разработчиков, неизменным и необходимым условием будет хорошая математическая подготовка. GUI, бизнес-логика: C#, WPF, MVVM, WCF. Вычислительные алгоритмы: C#/C++. Взаимодействие с контроллерами станков: индивидуально для каждого типа контроллеров. Требования Высшее техническое образование или обучение на последних курсах Знание C#. Понимание и применение принципов ООП. Хорошее знание и понимание математики: аналитической геометрии, алгоритмов на графах, численных методов, мат. анализа. Плюсом будет Знание следующих вспомогательных и/или используемых в других наших проектах технологий: MS Visual Studio / GCC / CMake Svn / Git / JIRA / Phabricator / Jenkins / TeamCity / Nunit / TestComplete / TestLink C / C++ / Python / JavaScript / TypeScript OpenGL / DirectX / WebGL / three.js Qt Опыт программирования микроконтроллеров / станков с ЧПУ / CNC. Будет не лишним Знание английского языка. Опыт работы с CAD-приложениями. Условия Офис в Академгородке. Официальное трудоустройство согласно ТК РФ, белая зарплата, оплачиваемые больничные и отпуск. Полная (предпочтительно) или частичная занятость, гибкий график, возможность удаленной работы. Частичная компенсация затрат на спорт и изучение английского языка. Бонусы, кофе-чай-конфеты-бутерброды-фрукты. Молодой дружный коллектив, играем в настольный теннис, знаем про Scrum/Agile и всё остальное, каждый пятый сотрудник - кандидат наук.",Без требований,Без обязанностей,Без условий,C#,15
773,773,.net,Новосибирск,55000.0,70000.0,ЭМА,2019-10-14T06:53:41+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: разработка ПО в составе рабочей группы; создание прикладных и системных приложений работающих с СУБД Oracle и MySQL; поддержка ранее написанного программного обеспечения. Требования: опыт разработки промышленных приложений на платформе .NET/C#; знание паттернов проектирования; уверенное знание и пользование ООП; использование системы контроля версий; владение языком SQL; технический английский. Условия: официальное трудоустройство по ТК РФ; современный офис, по линии метро; работа над интересными проектами; профессиональный и личностный рост в дружной команде; конкретная категория и заработная плата определяются по результатам собеседования.", опыт разработки промышленных приложений на платформе .NET/C#; знание паттернов проектирования; уверенное знание и пользование ООП; использование системы контроля версий; владение языком SQL; технический английский. , разработка ПО в составе рабочей группы; создание прикладных и системных приложений работающих с СУБД Oracle и MySQL; поддержка ранее написанного программного обеспечения. ," официальное трудоустройство по ТК РФ; современный офис, по линии метро; работа над интересными проектами; профессиональный и личностный рост в дружной команде; конкретная категория и заработная плата определяются по результатам собеседования.",Без ключевых навыков,4
