,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills,days
680,680,1с,Челябинск,15000.0,96470.58823529413,АйТиСи,2019-10-20T14:10:48+0300,Нет опыта,Полный день,Полная занятость,"Мы ждем активных и энергичных. У нас вы научитесь работать в команде, добиваться целей, общаться с клиентами, работать и зарабатывать. На текущий момент рынок 1С стабилен и растет, специалисты нашей области ценятся во всех уголках страны. Множество направлений (разработка, консалтинг, внедрение, обучение и др.) дает возможность выбрать и развивать сильные стороны каждого. Знания основ в области управленческого учета, бухгалтерии или расчета помогут быстро освоить программные продукты 1С. Обязанности: Сопровождение клиентов; Консультирование по типовым продуктам 1С; Разработка на платформе 1С; Разработка приложений для мобильных устройств на платформе 1С; Сдача сертифицированных экзаменов; Проведение анализа бизнес-процессов и особенностей учета клиента; Участие в написание руководств, инструкций и регламентов; Участие в проектах внедрения конфигураций 1С. Требования: Приветствуется опыт работы с 1С; Приветствуется опыт работы на производственных и торговых предприятиях; Также ждем Выпускников и студентов старших курсов экономических, технических и бухгалтерских специальностей; Желание работать, расти и зарабатывать; Условия: На время обучения в институте возможен гибкий график работы; Обучение на внутренних курсах; Получение опыта работы с 1С, программирование, консалтинг, выступления, участие в семинарах; Рост как специалистов в сфере 1С; Возможности для профессионального развития и карьерного роста; Компенсация сотовой связи и расходов на ГСМ; Повышение оклада по результатам достигнутых результатов и сертифицированных экзаменов; Работа в нашей команде - это возможность реализовать свои идеи, получить бесценный опыт и расти вместе с компанией"," Приветствуется опыт работы с 1С; Приветствуется опыт работы на производственных и торговых предприятиях; Также ждем Выпускников и студентов старших курсов экономических, технических и бухгалтерских специальностей; Желание работать, расти и зарабатывать; "," Сопровождение клиентов; Консультирование по типовым продуктам 1С; Разработка на платформе 1С; Разработка приложений для мобильных устройств на платформе 1С; Сдача сертифицированных экзаменов; Проведение анализа бизнес-процессов и особенностей учета клиента; Участие в написание руководств, инструкций и регламентов; Участие в проектах внедрения конфигураций 1С. "," На время обучения в институте возможен гибкий график работы; Обучение на внутренних курсах; Получение опыта работы с 1С, программирование, консалтинг, выступления, участие в семинарах; Рост как специалистов в сфере 1С; Возможности для профессионального развития и карьерного роста; Компенсация сотовой связи и расходов на ГСМ; Повышение оклада по результатам достигнутых результатов и сертифицированных экзаменов; Работа в нашей команде - это возможность реализовать свои идеи, получить бесценный опыт и расти вместе с компанией",Без ключевых навыков,1
1004,1004,1с,Самара,15000.0,30000.0,1С Сервис Самара,2019-10-09T00:41:40+0300,Нет опыта,Гибкий график,Стажировка,"Обязанности: Интенсивное обучение программированию на платформе 1С Предприятие 8.x Программирование на платформе 1С Предприятие 8.x Создание отчётов и обработок, изменение существующего функционала, реализация обменов данными Требования: Опыт программирования на любом языке Готовность воспринимать техническую информацию в большом объеме Условия: Обучение за счёт работодателя, по завершению обучения трудоустройство Офис в центре города Гибкий график работы", Опыт программирования на любом языке Готовность воспринимать техническую информацию в большом объеме ," Интенсивное обучение программированию на платформе 1С Предприятие 8.x Программирование на платформе 1С Предприятие 8.x Создание отчётов и обработок, изменение существующего функционала, реализация обменов данными "," Обучение за счёт работодателя, по завершению обучения трудоустройство Офис в центре города Гибкий график работы",1С: Предприятие 8|1С программирование,12
408,408,1с,Краснодар,20000.0,111111.11111111114,Автоматизация Бизнеса,2019-10-10T16:41:16+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Автоматизация бизнеса - успешно растет и развивается в сфере IT. Коротко об Автоматизации бизнеса: - Компании всего три года, а мы уже вышли на Федеральный уровень! - В компании успешно работает более 150 человек! Эта работа подойдет тебе, если: - Умеешь грамотно и доступно излагать свои мысли. - Хочешь дальше развиваться в сфере IT и стать еще более востребованным специалистом. Тебе предстоит: - Помогать нашим клиентам в решении их проблем, даже тогда, когда кажется, что это уже невозможно; - Внедрение и поддержка программных продуктов на платформе 1С; - Консультирование и обучение клиентов; - Анализ задач заказчика, составление технических заданий; Наши ожидания от тебя: - Приобретенная, а лучше врожденная способность помогать людям. - Знание типовых конфигураций 1С Управление Торговлей, 1С Розница - Основы работы с базами данных Приветствуется: - Знание типовых конфигураций 1С, а также отраслевых решений на платформе 1С от компаний Штрих-М, 1С-Рарус - Сертификаты 1С.Специалист или 1С.Специалист-консультант Что мы можем предложить: - Работа в новом офисе. - Адекватных руководителей. - Интересные задачи. - ЗП 20000 – 35000 руб - График работы на выбор - 5/2 или 2/2.",Без требований,Без обязанностей,Без условий,1С: Розница|Консультирование|Разработка технических заданий|1С программирование|Работа в команде,11
966,966,1с,Екатеринбург,20000.0,88217.0,"Айтекс, Центр Информационных Технологий",2019-10-21T06:46:01+0300,Нет опыта,Гибкий график,Полная занятость,"Требуется программист 1С. Рассмотрим кандидатов без опыта работы, желающих развиваться в программировании. Требования: ОБЯЗАТЕЛЬНЫ Базовые знания языков программирования в рамках учебной программы; Профильное высшее или средне-специальное образование; Обучаемость, ответственность; Целеустремленность, коммуникабельность; Будет плюсом, наличие пройденных курсов по программированию и конфигурированию 1С. Обязанности: Дополнения, изменения в программе 1С; Адаптация (программирование) прикладных решений; Консультации, обучение на этапе внедрения; Внедрение прикладных решений. Условия работы: Работа в стабильно развивающейся компании; Перспективы профессионального роста и развития; Интересные задачи; Обучение в рамках рабочего процесса; Возможность проходить сертификацию.",Без требований,Без обязанностей,Без условий,Без ключевых навыков,0
859,859,1с,Екатеринбург,20000.0,88217.0,"Айтекс, Центр Информационных Технологий",2019-10-21T06:46:02+0300,Нет опыта,Гибкий график,Полная занятость,"Требуется программист 1С. Рассмотрим кандидатов без опыта работы, желающих развиваться в программировании. Требования: Базовые знания языков программирования в рамках учебной программы; Профильное высшее или средне-специальное образование; Обучаемость, ответственность; Целеустремленность, коммуникабельность; Будет плюсом, наличие пройденных курсов по программированию и конфигурированию 1С. Обязанности: Дополнения, изменения в программе 1С; Адаптация (программирование) прикладных решений; Консультации, обучение на этапе внедрения; Внедрение прикладных решений. Условия работы: Работа в стабильно развивающейся компании; Перспективы профессионального роста и развития; Интересные задачи; Обучение в рамках рабочего процесса; Возможность проходить сертификацию.",Без требований,Без обязанностей,Без условий,Без ключевых навыков,0
259,259,1с,Краснодар,25000.0,111111.11111111114,Автоматизация Бизнеса,2019-10-11T15:04:53+0300,Нет опыта,Гибкий график,Полная занятость,"Автоматизация бизнеса - успешно растет и развивается в сфере IT. Коротко об Автоматизации бизнеса: - Компании всего три года, а мы уже вышли на Федеральный уровень! - В компании успешно работает более 150 человек! - Наши кадры - наша сила! Мы заинтересованы в развитии своих сотрудников, все руководители наших отделов и филиалов выросли внутри компании. Эта работа подойдет тебе, если: - Ты считаешь, что помогать людям - это нормально. - Умеешь грамотно и доступно излагать свои мысли. - Хочешь начать карьеру в сфере IT и стать востребованным специалистом. Тебе предстоит: - Научиться помогать нашим клиентам в решении их проблем, даже тогда, когда кажется, что это уже невозможно; - Изучить огромный объем информации и научиться пользоваться этой информацией для эффективной работы. - Пройти развитие до программиста, консультанта или аналитика. Наши ожидания от тебя: - Приобретенная, а лучше врожденная способность помогать людям. - Грамотная речь. - Способность запоминать много информации за короткий промежуток времени. - Образование не ниже среднего, желание постоянно развиваться в этой сфере. Что мы можем предложить: - Работа в новом офисе. - Адекватных руководителей. - Интересные задачи. - ЗП от 25000 руб. - ЗП на испытательном 10000 руб. - График работы на выбор - 5/2 или 2/2. - Корпоративное обучение.",Без требований,Без обязанностей,Без условий,Обучение и развитие|Грамотность|Аналитическое мышление|Планирование карьеры|Пользователь ПК,10
591,591,1с,Челябинск,25000.0,96470.58823529413,Аспро,2019-10-20T14:03:36+0300,Нет опыта,Полный день,Полная занятость,"Компания Аспро приглашает программиста-стажера на должность сотрудника технической поддержки 1С-Битрикс в Челябинске. Мы специализируемся на разработке и поддержке тиражных решений для 1С-Битрикс и являемся лучшим автором решений 1С-Битрикс: Маркетплейс в 2014-2018 гг., лидером продаж 1С-Битрикс в России за 2015-2018 гг. Ищем человека, который будет понимать проблемы пользователей и сумеет разговаривать с ними на одном языке. То есть, объяснять сложное просто и по-человечески, быть на их стороне в сложных ситуациях и не превращать работу поддержки в конвейер из ответов-отписок. Мы не ждем от вас супер-навыков именно в программировании. Однако важно, чтобы вы обладали базовыми знаниями и были готовы много и интенсивно учиться. Эта вакансия - отличный старт для тех, кто хочет вырасти до веб-разработчика топовых решений на 1С-Битрикс. Эта работа даст вам возможность: карьерного роста от программиста-стажера до веб-разработчика под 1С-Битрикс; получить бесценный опыт работы в команде профессионалов; познакомиться с передовыми технологиями разработки под 1С-Битрикс. Обязательные требования: знание PHP, HTML, CSS, jQuery; понимание принципов работы CMS (Content Management System); желание постоянно обучаться и углублять свои знания; стрессоустойчивость, позитивный настрой и умение работать в команде. Приветствуются знания и опыт: знание CMS 1С-Битрикс и опыт разработки сайтов на 1С-Битрикс; умение разбираться в &quot;чужом&quot; коде, структурировать и комментировать собственный код. Обязанности: консультирование клиентов по электронной почте; администрирование сайтов на 1С-Битрикс; диагностика ошибок в программном коде сайта; технически несложные модификации кода под нужды клиента; работа с обращениями в тикетной системе; ведение внутренней базы знаний. Условия: официальное трудоустройство, соц. пакет по ТК РФ (оплачиваемый отпуск, больничный и т.п.); график работы пн-пт 09:30-18:00; комфортный офис на Северо-Западе; кофе, чай за счет компании; профессиональный и личностный рост; уровень заработной платы обсуждается по результатам собеседования и зависит от ваших знаний и опыта работы.",Без требований,Без обязанностей," официальное трудоустройство, соц. пакет по ТК РФ (оплачиваемый отпуск, больничный и т.п.); график работы пн-пт 09:30-18:00; комфортный офис на Северо-Западе; кофе, чай за счет компании; профессиональный и личностный рост; уровень заработной платы обсуждается по результатам собеседования и зависит от ваших знаний и опыта работы.",1С-Битрикс|PHP|HTML|CSS|CSS3|HTML5|jQuery|JavaScript,1
942,942,1с,Екатеринбург,28700.0,32387.0,Почта России,2019-10-02T06:39:35+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: Администрирование 1С ЗУП; Поддержка в рамках сопровождения 1С ЗУП и прочих ИС на базе 1С; Участие в разработке инструкций. технический регламентов по работе с ИС; Поддержка в рамках сопровождения прочих ИС на базе 1С. Требования: Опыт работы с 1С Зарплата и управление персоналом. Редакция КОРП. Опыт работы с 1С Управление закупками; Опыт настройки обменов между различными информационными системами; Понимание кадрового делопроизводства; Опыт работы с системами регистрации инцидентов; Понимание принципов ITIL; Умение работать самостоятельно и в команде; Умение делегировать и контролировать; Ответственность. Условия: Работа в крупнейшей российской компании; Оформление трудовых отношений и выплата заработной платы в соответствии с ТК РФ; ДМС; Социальный пакет; Профессиональный и карьерный рост; Молодой коллектив; Удобное месторасположение - центр города, доступны все виды общественного транспорта.", Опыт работы с 1С Зарплата и управление персоналом. Редакция КОРП. Опыт работы с 1С Управление закупками; Опыт настройки обменов между различными информационными системами; Понимание кадрового делопроизводства; Опыт работы с системами регистрации инцидентов; Понимание принципов ITIL; Умение работать самостоятельно и в команде; Умение делегировать и контролировать; Ответственность. , Администрирование 1С ЗУП; Поддержка в рамках сопровождения 1С ЗУП и прочих ИС на базе 1С; Участие в разработке инструкций. технический регламентов по работе с ИС; Поддержка в рамках сопровождения прочих ИС на базе 1С. ," Работа в крупнейшей российской компании; Оформление трудовых отношений и выплата заработной платы в соответствии с ТК РФ; ДМС; Социальный пакет; Профессиональный и карьерный рост; Молодой коллектив; Удобное месторасположение - центр города, доступны все виды общественного транспорта.",Без ключевых навыков,19
1170,1170,1с,Самара,30000.0,70000.0,Авиант,2019-09-24T12:07:09+0300,От 1 года до 3 лет,Удаленная работа,Частичная занятость,"АВИАНТ - IT-компания, где ценят время и здравый смысл. Количество клиентов растет и для поддержки качества сервиса ищем удаленных программистов, консультантов и аналитиков 1С в свою команду. Вы нам подходите если: Вы работали программистом, аналитиком или консультантом по продуктам фирмы 1С; У вас есть опыт работы с конфигурациями УТ, БП, КА, ERP; Готовы встречаться на территории заказчика в Вашем регионе. Ваши шансы получить более высокую ставку возрастут, если у Вас есть: Подтвержденный опыт внедрений продуктов 1С любых конфигураций; Сертификаты фирмы 1С (1С:Специалист, 1С: Специалист-Консультант); Опыт работы с торговым оборудованием; Опыт работы в 1С: Франчайзи. Мы предлагаем: Свободный график и возможность работать из дома. Вы сами определяете свой режим, формат работы и загрузку; Решение интересных и нестандартных задач; Регулярное обучение и повышение квалификации от ведущих специалистов и экспертов компании; Уровень дохода обсуждается на интервью.",Без требований,Без обязанностей,Без условий,1С программирование|1С: Комплексная автоматизация|1С: Предприятие 8|1С: Зарплата и управление персоналом|1С: Зарплата и кадры|Ведение переговоров|Обновление конфигурации 1С|MS SQL|1С: Управление Производственным Предприятием,27
500,500,1с,Челябинск,30000.0,40000.0,Союз-Игрушка,2019-10-04T13:32:45+0300,Нет опыта,Полный день,Стажировка,"Мы приглашаем на работу в стабильную и быстро развивающую Компанию! Нашей компании больше 20 лет!!! Свою главную задачу мы видим в том, чтобы представлять для наших любимых покупателей широкий ассортимент продукции. В нашем дружном коллективе каждый сотрудник представляет собой особую ценность, поэтому мы тщательно подходим к выбору каждого нового участника. Мы ищем человека с аналитическим складом ума и активной жизненной позицией, желающего учиться, расти и развиваться, нести ответственность за проделанную работу. Если Вы считаете себя профессионалом в своем деле, и Вас не испугать интенсивным рабочим днем, тогда отправляйте свой отклик! Обязанности: Техподдержка пользователей компании в работе с системами на баз 1С; Анализ возникающих ситуаций; Решение вопросов пользователей, передача неустранимых проблем разработчикам; Участие в проекте смены учётной системы. Требования: Плюсом будет являться знакомство с типовыми конфигурациями (Розница, УТ, КА, ERP, Бухгалтерия, ЗУП и т.д.); Навыки работы с конфигурацией, понять происходящее по коду, посмотреть в отладке. Компания предоставляет: Своевременная заработная плата 2 раза в месяц; Дружный коллектив; Приобретение товара по ценам оптовиков; Подарки Вашим детям на Новый год и 1 сентября первоклассникам; Бесплатная доставка служебным транспортом с различных районов города . График работы 5/2 с 09.00 до 18.00.",Без требований," Техподдержка пользователей компании в работе с системами на баз 1С; Анализ возникающих ситуаций; Решение вопросов пользователей, передача неустранимых проблем разработчикам; Участие в проекте смены учётной системы. ",Без условий,1С: Розница|1С: Зарплата и управление персоналом|1С: Бухгалтерия|1С: Управление Торговлей|1С: Торговля,17
