,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills,days
214,214,android,Новосибирск,21000.0,149523.80952380953,Метеор,2019-10-10T07:29:22+0300,Нет опыта,Полный день,Полная занятость,"Проекты «Метеора» — это высокотехнологичные решения для бизнеса: CRM и ERP системы, сайты со сложным функционалом и мобильные приложения для iOS и Android. На сегодня мы отметились в трех рейтингах лучших разработчиков по версии Tagline и не собираемся на этом останавливаться. Наши клиенты находятся в Москве и Европе. Для нас важнее всего способности человека, а опыт работы мы ставим на второе место, поэтому мы открываем стажировку для Android-разработчика! О стажировке: Во время стажировки вы выполняете тестовые проекты, приближенные к реальности. Вам помогает и направляет наставник. Длительность стажировки в среднем 1 месяц. Стажировка оплачиваемая. При успешном прохождении стажировки мы приглашаем вас в штат и производим первый пересмотр вашей заработной платы. Задачи после стажировки: Разработка мобильных приложений (основной пласт на Kotlin); Тестирование; Сопровождение и доработка проектов; Поддержка мобильных приложений на Java и Kotlin. От будущего коллеги мы ожидаем: Знание основ Kotlin и/или Java Понимание ООП; Наличие тестовых/учебных/пробных проектов; Желание и умение развивать свои профессиональные компетенции. Мы предлагаем: Интересные проекты; Большую долю самостоятельности в работе; Возможность поработать на зарубежный рынок и получить опыт работы по европейским стандартам; Официальное трудоустройство и белую заработную плату; Пересмотр з/п по результатам работы каждые три месяца; Компенсацию затрат на уроки английского языка, профильное обучение и конференции. Метеор — это современная и гибкая компания. У нас нет дресс-кода, натянуто-делового общения и скучных задач. Наши цели — это развитие и создание полезного продукта. Если это и ваши цели тоже, то мы точно сработаемся",Без требований,Без обязанностей,Без условий,ООП|Java|REST|Git|XML|Android|SQL|Kotlin,8
492,492,android,Новосибирск,50000.0,100000.0,FullStack,2019-10-14T23:58:54+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Требуется Android разработчик для работы в команде над мульти-платформенным продуктом (Android, iOS) в сфере горнолыжного спорта. Продукт свой, никакого аутсорса, поэтому самые высокие требования к качеству кода и приложения в целом. Что из себя представляет продукт и остальные детали расскажем на собеседовании. Основные требования: Умение писать качественный ООП код; Знание Kotlin либо возможность быстро его освоить; Способность делать оценки и укладываться в них; Android Studio; RxJava; REST. Не технические требования: Английский на уровне чтения/понимания без словаря. Обязанности и задачи: Разработка; Поддержание стиля и архитектуры кода; Code review. Условия работы: 40 часовая рабочая неделя в офисе в Новосибирске (гибкий график). Оформление в соответствии с ТК РФ; Оплачиваемые занятия спортом; Оплачиваемое питание; Гибкий график работы.",Без требований,Без обязанностей,Без условий,Без ключевых навыков,3
275,275,android,Новосибирск,55000.0,70000.0,ЭМА,2019-10-14T06:53:59+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: участие в проектах в роли разработчика мобильных приложений для Android для электроэнергетики. Требования: Уверенное знание Java, Kotlin, Android SDK, JSON, REST Api Знание и умение применять паттерны проектирования Иметь базовые знания о дизайне пользовательского интерфейса Несомненным плюсом будет знание платформы iOS, для портирования приложений Требуемый опыт работы: Middle Android Developer Приветствуется: опыт работы с системами контроля версий Mercurial, Git; технический английский язык. Условия: официальное трудоустройство по ТК РФ; офис по линии метро; работа над интересными проектами; профессиональный и личностный рост в дружной команде; конкретная категория и заработная плата определяются по результатам собеседования."," Уверенное знание Java, Kotlin, Android SDK, JSON, REST Api Знание и умение применять паттерны проектирования Иметь базовые знания о дизайне пользовательского интерфейса Несомненным плюсом будет знание платформы iOS, для портирования приложений Требуемый опыт работы: Middle Android Developer Приветствуется: опыт работы с системами контроля версий Mercurial, Git; технический английский язык. ", участие в проектах в роли разработчика мобильных приложений для Android для электроэнергетики. , официальное трудоустройство по ТК РФ; офис по линии метро; работа над интересными проектами; профессиональный и личностный рост в дружной команде; конкретная категория и заработная плата определяются по результатам собеседования.,Без ключевых навыков,4
316,316,android,Новосибирск,55000.0,149523.80952380953,Лифт-Комплекс ДС,2019-10-09T06:33:19+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Компания «Лифт-Комплекс ДС» основана в 1998 году в Новосибирске и является лидером на рынке диспетчеризации постсоветского пространства. Основное направление деятельности — разработка и производство Диспетчерского комплекса «Обь» для всех типов лифтов. Универсальная система мониторинга и диагностики позволяет осуществлять из одной диспетчерской контроль над более чем 10 000 000 объектов ЖКХ, в том числе, непосредственно лифтов. Благодаря техническим разработкам и нововведениям, компании удалось создать комплекс оборудования и программную часть, отвечающие всем требованиям отрасли, а в некоторых проектах шагнуть далеко вперед. Так, в состав комплекса вошли: система видеонаблюдения в лифте и Инженерный комплекс «Исток», призванный осуществлять контроль за инженерными системами зданий. Сейчас мы активно развиваемся и приглашаем в нашу команду Программиста Android для разработки мобильных решений Задачи: разработка, сопровождение мобильных приложений для продуктов компании документирование кодов разработки разработка пользовательских инструкций консультирование по обращениям пользователей Что важно для нас: Высшее техническое образование Опыт разработки мобильных приложений ( Java/ Kotlin) от 1 года, наличие выполненных проектов (портфолио приветствуется) Опыт работы с пакетами: Android Studio Опыт создания клиент-серверных приложений Английский язык на уровне чтения технической документации Желание развиваться в проектной деятельности, активность, инициативность, ответственность Предлагаем: Сложные интересные задачи Участие в международных проектах компании Постоянное профессиональное обучение и развитие Трудоустройство по ТК РФ, белую заработную плату Современный офис в Краснообске",Без требований,Без обязанностей,Без условий,Без ключевых навыков,9
584,584,android,Новосибирск,60000.0,100000.0,Magora Systems,2019-09-16T06:39:13+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Magora Systems — международная IT-компания. Мы разрабатываем программное обеспечение, мобильные приложения и веб-сервисы. Мы работаем с 2010 года и выросли до компании с офисами в Новосибирске, Санкт-Петербурге и Лондоне. Наши основные заказчики — компании США, Канады, Австралии, Великобритании и России. А в нашем портфолио — комплексные решения для автоматизации бизнес-процессов, сложные системы слежения для железных дорог и высоконагруженные сервисы. Приглашаем в новосибирский офис Android-разработчика и Flutter-разработчика. Предоставляем условия для комфортной работы и профессионального роста: прозрачная система грейдов и регулярный пересмотр зарплаты; подготовка к участию в конференциях и митапах за счет компании; опытные коллеги, которые всегда помогут с советом; адекватный топ-менеджмент компании, открытый к предложениям; и конечно же, никакой бюрократии, но настроенные процессы. Не хочется даже об этом говорить, но на всякий случай обозначим, что вас ждёт: отсутствие дресс-кода; гибкий график работы без всяких «обязательных с 9 до 18»; современный офис: с зонами отдыха, приставкой, настольными играми, турником и музыкальными инструментами; официальное трудоустройство с первого дня, отпуск, оплачиваемый больничный и прочие социальные гарантии. А тут не можем настаивать, но предлагаем: насыщенную корпоративную жизнь с тематическими митапами, покерными турнирами, квизами, спортивными мероприятиями и праздниками; обучение английскому языку в офисе; корпоративный бассейн, компанию для бега, компанию для ходьбы в бары и команду для игр в волейбол. Чем вы будете заниматься: разрабатывать новые приложения на Kotlin / Flutter; поддерживать существующие приложения на Kotlin и Java; участвовать в процессе первичной оценки проектов на этапе presale; декомпозировать и оценивать фичи; участвовать в code review; взаимодействовать со смежными отделами по техническим вопросам. Поэтому для комфортной работы вам понадобится: опыт разработки Android или iOS приложений от 2 лет; опыт разработки кроссплатформенных приложений; знание ООП, SOLID, основных паттернов проектирования; опыт применения MVC/MVP/MVVM паттернов; знание основных элементов Material Design; базовые знания и опыт использования DI фреймворков (Dagger/Toothpick/Koin); опыт работы с Rx, Streams; базовые знания SQL; умение писать Unit Tests; умение работать с системами контроля версий. Мы команда, которая знает, что такое &quot;hard-working&quot; и умеет «зажечь» в пятницу. Давайте с нами?",Без требований,Без обязанностей,Без условий,Без ключевых навыков,32
241,241,android,Новосибирск,60000.0,150000.0,Сибирские Технологии,2019-10-08T16:01:53+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Компания Xdesign – разработчик мобильных приложений и создатель мобильной социальной сети и сервиса знакомств SkyLove (который входит в TOP 20 данной категории). Пул наших задач постоянно растет, поэтому мы развиваем и масштабируем команду мобильной разработки и приглашаем в команду Android разработчика. Внимание! Сотрудник требуется в офис (Красноярск), удаленные варианты пока не рассматриваем. Кандидатам из других городов, предлагаем обдумать переезд в Красноярск. Описание вакансии: Разработка нового функционала, поддержка и отладка имеющегося. Наш проект стремительно растёт — мы постоянно добавляем новый функцонал и оптимизируем старый; У нас свобода в выборе фреймворков, библиотек и технологий — обсуждаем и выбираем подходящие для работы инструменты; Управление релизами. Мы регулярно выгружаем и тестируем билды приложений внутри команды, собираем обратную связь. После релиза необходимо собирать и анализировать информацию о сбоях приложения и работать над их устранением. Что входит в задачи: Разработка мобильных приложений под Android; Проектирование архитектуры приложений и сервисов; Участие в code review, взаимодействие с дизайн директором и с командой бэкенда, улучшение и развитие UX приложения; Участие в совместных планированиях, ведение статуса своих задач в трекере вместе с остальной командой. Что мы ждем: Опыт работы на Java под Android от 2х лет; Опыт коммерческой разработки Android приложений; Опыт создания клиент-серверных приложений; Глубокое знание ОС Android и его различных версий, в частности; Знание основных технологий и протоколов передачи данных; Владение Android SDK; Опыт работы с Git, знание git flow; Знание паттернов проектирования; Умение анализировать и понимать чужой код; Умение создавать гибкие пользовательские интерфейсы и виджеты; Умение оценивать сроки выполнения задач; Знание английского языка. Что мы ждем: Работа в сложных и интересных проектах компании; Достойный уровень заработной платы, с успешным кандидатом оговаривается индивидуально; График работы 5/2, с 10:00 до 19:00; Комфортные условия работы и отдыха - офис в центре города, современная техника; Просторный, чистый офис с самым лучшим видом на центр города, Кофе-машина (без ограничений); Вменяемое руководство и адекватное отношение к сотрудникам и рабочему процессу; Возможность стать частью крупного проекта, не имеющего аналогов и задающего тренд на российском рынке;",Без требований,Без обязанностей,Без условий,Git|Java|Android|Android SDK|Java SE|Atlassian Jira|Работа в команде,10
768,768,android,Новосибирск,70000.0,120000.0,Навигационные системы,2019-10-15T08:35:24+0300,От 1 года до 3 лет,Полный день,Полная занятость,"NAVITEL - производитель портативных автонавигаторов и видеорегистраторов, разработчик навигационного программного обеспечения, картографических онлайн-сервисов. Наш основной продукт - Навител Навигатор - это навигационное ПО для мобильных платформ (Android, iOS), автомобильных навигаторов (Linux, Android, QNX) и других устройств. Сервис покрывает страны СНГ, Европы, Азии и Латинской Америки. На протяжении 13 лет мы помогаем в путешествиях более 40 миллионам пользователей. Мы являемся компанией полного цикла: самостоятельно создаем продукт, начиная с производства картографического материала и заканчивая релизами текущих версий для собственной линейки устройств. Помимо Навител Навигатор мы развиваем множество смежных проектов. Например, пишем софт для передачи видеоданных с видеорегистратора на смартфон в реальном времени, с возможностью внесения изменений. Сейчас мы готовы предложить кандидатам задачи в двух командах: Создание нативного GUI Навител Навигатор под Android; Создание мобильных приложений для видеорегистраторов, мультимедийных систем автомобилей и других устройств. Основные технические требования: Уверенные знания Java, Android SDK; Понимание принципов ООП; Понимание принципов многопоточной и асинхронной работы; Технический английский; Опыт коммерческой разработки под Android от года; Широкий кругозор, желание работать в команде и развиваться. Будет плюсом : Знание Kotlin; Знание git, gradle, cmake, bash. Мы предлагаем: Возможность для развития в команде профессионалов; Официальное трудоустройство, полный соц. пакет (оплачиваемый больничный, отпуск); Комфортное рабочее место в новом офисе Наукограда Кольцово, большая парковка, прямой общ. транспорт из Академгородка и от м. Речной вокзал; Гибкий график работы, пятидневная рабочая неделя; Полностью оборудованная кухня в офисе, чай и кофе, комфортная комната отдыха; Насыщенная корпоративная жизнь. А еще мы всегда рады принять в команду разработчиков С++. Порекомендуй те своего друга или знакомого и получите бонус за успешную рекомендацию: 30 000р за рекомендацию Middle- и 50 000р за Senior-разработчика, после прохождения им испытательного срока.",Без требований,Без обязанностей,Без условий,Java|Android|Kotlin|ООП|Android SDK,3
515,515,android,Новосибирск,80000.0,149523.80952380953,Сайтсофт,2019-10-13T09:39:13+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Компания «Сайтсофт» — один из признанных лидеров рынка в области разработки IT-решений для государственных организаций. Компания основана в 2005 году в Екатеринбурге. Наши основные направления деятельности: создание и поддержка интернет-проектов государственных организаций и крупного бизнеса, разработка мобильных приложений, продвижение в социальных сетях. Коллектив компании состоит из более 150 высококвалифицированных специалистов , работающих в офисах Москвы, Екатеринбурга и Новосибирска. Приглашаем в нашу команду программиста Android. От вас потребуется: глубокое знание компьютерных технологий, включая алгоритмы, сети, архитектурные шаблоны и шаблоны проектирования; опыт разработки на Java; знание Android SDK; умение искать информацию и находить решения; желание решать нетривиальные задачи. Дополнительными преимуществами будут опыт разработки под другие мобильные платформы и знания любых других языков программирования. Наш стек: MVP/MVVM/Clean Architecture, Android architecture components, RxJava 2, Moxy, Retrofit 2, Realm. Если вы чего-то не знаете, но есть желание узнать, то давайте встречаться! В сферу ваших задач будет входить: разработка приложений для Android; разработка архитектуры приложений; участие в планировании и организации процесса разработки; участие в анализе требований; изучение новых технологий и повышение уровня собственных знаний. Со своей стороны предлагаем: современный офис в БЦ Мост гибкий рабочий график с началом работы с 8:00 до 12:00; полностью белая заработная плата. Уровень оклада обсуждается индивидуально в зависимости от профессиональных компетенций; ежегодный пересмотр заработной платы по результатам работы; возможности для профессионального и карьерного развития; качественное планирование вашей работы. Вы будете знать, чем вы будете заниматься через день, неделю, месяц; работа над востребованными продуктами, которыми пользуются миллионы граждан нашей страны. Среди наших проектов: Интернет-портал МВД России Интернет-портал МЧС России ФССП России и множество других Мы НЕ занимаемся разработкой простых коммерческих сайтов, визиток и т.д. Для нас разработка - это множество интеграционных решений, использование современных технологий, высоконагруженные проекты и сложные задачи. Мы понимаем ценность качественного кода и используемых решений и применяем весь спектр технологий для достижения поставленных целей. Мы поощряем инициативность, ответственность, желание развиваться и совершенствоваться. Мы также высоко ценим позитивное мышление и доброжелательность. Наш основной потенциал - это наши сотрудники. Работа в нашей жизни занимает значительное количество времени и мы делаем все для того, чтобы каждый сотрудник чувствовал себя комфортно. Минимум бюрократии - максимум человеческого отношения. Присоединяйтесь!",Без требований,Без обязанностей,Без условий,Java|Android SDK|SQLite|ООП|Android|JavaScript,5
178,178,android,Новосибирск,80000.0,130000.0,Центр Цифровых Коммуникаций,2019-10-14T07:43:35+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Cool – team: делаем мобильные приложения для рынка США. Актуальный продукт для тех, кто стремится установить необходимые контакты и высоко ценит достоверность в общении! Наша команда активно растет и прямо сейчас в ней есть место для Middle Android Developer, который может, умеет, практикует … Java/Kotlin под Android с практическим опытом и навыками разработки архитектуры приложений и проектирования,Android SDK, API 21+, Material Design, Design Patterns; понимает принципы ООП и SOLID, параллельного и многопоточного программирования; разбирается в разработке клиент-серверных приложений; имеет опыт работает с Retrofit2, RXjava2, а также git и git flow; на практике использует в приложениях облачные сервисы. Плюсом будет: опыт писать unit-тесты; опыт работы с записью/воспроизведением/оптимизацией видео/аудио; желание делать качественный коммерческий продукт; внимание к деталям; готовность работать на результат и ответственность; знание технического английского. Работа в нашей команде - это: уникальный опыт создания, запуска и развития продукта на зарубежных рынках; увлекательные задачи, возможность использовать самые современные технологии разработки и исследований; честная зарплата и социальный пакет (отпускные, больничные, все необходимые налоговые отчисления, программа ДМС); широки возможности профессионального развития и обучения.",Без требований,Без обязанностей,Без условий,Android SDK|websockets|Java|HTTP|kotlin,4
179,179,android,Новосибирск,80000.0,130000.0,Центр финансовых технологий,2019-09-27T11:15:27+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Основная цель должности – разработка мобильных приложений для продуктов компании таких как «Золотая Корона - Денежные переводы» и других online – сервисов. Либо разрабатывать приложения мобильного банкинга для карточных продуктов подразделения, один из флагманских продуктов - мобильное приложение «Карта Билайн». Задачи: - разработка новых продуктов и развитие существующих; - участие в Agile-разработке, Code Review, использование TDD; - использование новых технологий, архитектурных подходов, совершенствование навыков программирования; - обмен опытом с командой. Требования к кандидатам: - опыт программирования Kotlin /Java; - уверенное знания Android SDK; - опыт использования RxJava, Dagger2, Retrofit; - уверенное знания Git, Gradle; - понимание ООП, принципов SOLID, Clean Architecture, знание основных паттернов проектирования. Условия работы: - официальное трудоустройство, полный социальный пакет, - современный офис, - возможность профессионального развития и личностного роста: внутренние и внешние конференции и тренинги, собственная библиотека и т.д., - развитая корпоративная культура: весёлые корпоративы, живое общение во внутренней социальной сети, - забота о здоровье: программы ДМС, - скидки, бонусы на различные услуги.",Без требований,Без обязанностей,Без условий,Java|Kotlin|Android SDK|Git|Gradle|ООП|SOLID|RxJava|Dagger2|Retrofit,21
