,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills,days
34,34,backend,Новосибирск,25000.0,50000.0,Zimalab,2019-10-14T06:33:51+0300,Нет опыта,Полный день,Полная занятость,"Ищем начинающего PHP программиста (с опытом до полугода или без опыта) для разработки проектов на PHP с использованием Symfony framework. Мы разрабатываем веб-приложения на Symfony и Laravel (PHP MVC framework) для клиентов из США, Германии, Великобритании и Австралии. Разнообразные проекты продолжительностью от 2-3 месяцев. Компания молодая и при отличных результатах работы, есть возможность быстрого роста вместе с компанией. Предлагаемые условия: Разработка интересных проектов на одном из самых популярных PHP фреймворков Обучение от опытного PHP Senior Developer Гибкий график работы, 40 часов в неделю Молодая и дружная команда Уютная кухня и самый вкусный кофе Корпоративные мероприятия Требования: Опыт работы до полугода или без опыта Образование среднее специальное, неполное высшее, высшее Обязательные знания: Понимание принципов работы web–приложений Знание основ PHP, HTML, CSS, JavaScript, SQL Знакомство с паттернами проектирования (концепция MVC, наиболее распространённые паттерны) Понимание и практическое применение ООП. Знание особенностей реализации ООП в PHP Знание английского языка на уровне чтения технической документации Желание развиваться в области веб-разработки, нацеленность на результат Аккуратность при написании кода и адекватное восприятие критики Вашим преимуществом будет: Опыт работы с каким-либо фреймворком (Symfony, Zend, Laravel, Yii) Опыт работы на уровне пользователя в среде *nix Опыт работ с .js фреймворками (например, Angular.js) Опыт работ с Wordpress или другими CMS Ждем Ваше резюме!",Без требований,Без обязанностей,Без условий,PHP|HTML|CSS|ООП|MySQL|JavaScript,4
368,368,backend,Новосибирск,30000.0,75000.0,Тэглайн,2019-09-19T12:27:57+0300,От 1 года до 3 лет,Гибкий график,Полная занятость,"Ищем уверенного PHP-разработчика. О нас Привет. Пожалуйста, внимательно прочитайте всю вакансию и посмотрите наши проекты перед тем, как откликнуться. В первом сообщении просим написать краткий текст о том, как вы видите свою работу у нас. Наши основные проекты — система отображения рейтингов, анкета для сбора информации, каталог компаний digital-рынка, крупнейшее в России кадровое исследование, масштабные учебные курсы с лидерами рынка, Tagline Awards, Digital-календарь, Летопись, Библиотека,Энциклопедия и другие. Должностные обязанности: — Приглашаем уверенного инженера-разработчика, специалиста по разработке интернет-продуктов (не заказная разработка и не enterprise). Требуются отличные знания backend-стека (php / Yii / MySQL) и умение сверстать и заставить работать страницу при наличии адекватного макета. — Требуется оперативно влиться в процесс разработки наших текущих проектов, а также приступить к созданию новых; впитывать в себя компетенции коллег-девелоперов и менеджеров, и впоследствии забрать себе некоторые направления и проекты. Чем нужно будет заниматься: — Проектирование и разработка интернет-сервисов — Проектирование и разработка внутренних движков компании — Работа с подрядчиками: создание гайдов, написание ТЗ, контроль, прием работы, интеграция кода в инфраструктуру компании, деплой, тестирование — Ведение хорошей документации по собственным проектам и направлениям — Рефакторинг уже сверстанных страниц и административных интерфейсов — Поиск и разработка backend-решений — Оптимизация технологического стека и политик разработки. В перспективе — разработка продвинутых приложений, административных интерфейсов с применением современных технологий. Мы — компания, которая за 9 лет сформировала российский рынок заказной веб-разработки и digital-маркетинга с помощью своих информационных и сервисных продуктов. Чем мы лучше стартапа? — Результаты вашего труда будут доступны публично уже через несколько недель работы. — Мы точно не закроемся завтра, через месяц и через год из-за кризиса или нехватки инвестиций (мы их не брали и пока не собираемся), вы можете видеть многолетнюю историю проектов и учиться проектировать на много лет вперед. — У нас неизбежен быстрый профессиональный, личностный и карьерный рост. — Вы знаете, чего от ваших проектов ждут пользователи и все гипотезы апробируете на реальной аудитории. — Большой спектр задач и разнообразие проектов, в разработке которых можно принимать участие, позволяет попробовать разные направления и выбрать те, что приносят больше профита/удовольствия. — Мы ведем проекты, рассчитанные на ключевых специалистов лиц рынка веб-разработки и digital-маркетинга, а также крупнейших заказчиков этих услуг — проекты долгие, достаточно сложные и предполагают быстрое развитие скиллов по поддержке кода и развитию архитектуры. Чем мы лучше крупного предприятия? — Результаты вашего труда будут доступны публично уже через несколько недель работы. — Вы будете регулярно видеть реакцию пользователей наших сервисов на результаты своей работы, что очень мотивирует к быстрому и эффективному росту, а не разрабатывать 2 года маленькую процедуру в огромной системе, назначения которой вы даже не понимаете. — У вас будет регулярный доступ к учредителям и ключевым менеджерам компании, чей опыт вы сможете использовать в профессиональной деятельности и за ее пределами, в отличие от необъятного и неразговорчивого «Океана» из Соляриса в корпорациях Предлагаемые условия: Официально: — Работа в уютном офисе в центре Новосибирска — 8-часовой рабочий день, начало работы с 9–12 часов — Обучение и развитие внутри компании и за ее пределами — Вы будете окружены командой профессионалов, которым небезразлично ваше отношение к жизни, работе и профессии — Большой спектр задач и разнообразие проектов, в разработке которых можно принимать участие, позволяет попробовать разные направления и выбрать те, что приносят больше профита/удовольствия Неофициально: — Результаты вашего труда будут доступны публично уже через несколько недель работы — Вы будете регулярно видеть реакцию пользователей наших сервисов (это первые лица рынка веб-разработки и digital-маркетинга, а также крупнейшие заказчики этих услуг) на результаты своей работы, что очень мотивирует к быстрому и эффективному росту Требования: — Вы занимались разработкой интернет-проектов (официальное трудоустройство на прежних местах нас не интересует, но очень важно, чтобы до и во время работы у нас вы относились предельно цивилизованно к порядку в делах и отношениях), — До этого несколько лет вы учились веб-технологиям и программированию в вузе или самостоятельно, но очень упорно и системно. — Опыт работы с MVC-фреймворками — Yii или похожими (ASP.NET, CakePHP, CodeIgniter и различными CMS (1С-Битрикс, UMI, Drupal, Joomla!). — Знание JavaScript/Ajax/Json/jQuery — Вы готовы отдать работе 100% своего рабочего времени, энергии и изобретательности. — Вы умеете концентрироваться на одной задаче, но в состояний переключаться при необходимости. — С вами приятно иметь дело, вы готовы тратить свое время и силы на понятные и публичные проекты, которые гарантированно будут жить еще много лет, в том числе, благодаря вам. — Огромное внимание к деталям. — Стремление к качеству при умении укладываться в сроки. — Готовность нести ответственность за разработанный продукт; понимание того, что ближайшие не менее 3–7 лет с ним будут работать редакторы и менеджеры, в его развитии будут принимать участие программисты и дизайнеры, а аудитория должна ежедневно получать удовольствие от его использования. — Абсолютная бесконфликтность, спокойствие, рассудительность, умение находить компромиссы. — Понимание того, что код считается написанным только когда он соответствует ТЗ, внедрен, протестирован во всех основных сценариях, сдан заказчику и заказчик считает, что этот код задачу решает. — Готовность быстро расставаться со стереотипами. — Желание и умение учиться всегда и везде. — Сочетание усидчивости и инициативности. — Умение разбираться в чужом коде; понимание того, что с вашим кодом будут работать коллеги — Умение быстро задавать вопросы коллегам лично или на форумах, а также искать, адаптировать и внедрять готовые и надежные решения, а не писать собственные плохие и ненадежные. — Обязательны знания php, HTML5, CSS3, MySQL; — Уверенное владение чистым JS и фрейворками (jQuery) — Хорошее понимание работы AJAX, XML и JSON верстки — Умение разбираться в чужом коде — Умение быстро задавать вопросы коллегам лично или на форумах, а также искать, адаптировать и внедрять готовые и надежные решения, а не писать собственные Будет плюсом: — Владение и навыки работы с Git, Bitbucket, GitHub Flow, PhpStorm, Asana и другим инвентарем для организации работы — Использование в работе CSS-препроцессоров (SASS, LESS) — Методология БЭМ, как минимум на уровне именования классов — Знание последних тенденций в средствах и методологиях верстки — Отличная коллекция анимаций, эффектов, картинок и иконок в арсенале — Кроссбраузерная верстка (все экраны, все ОС, все устройства, девайсы) — Опыт работы с RESTful-приложениями — Написание Unit-тестов на Yii и Yii2 — Адаптивная, отзывчивая и резиновая верстка — Bootstrap/Booster — Опыт интеграции с Facebook, Twitter и Google Maps — Adobe Illustrator, и InDesign — Уверенное владение Adobe Photoshop в рамках задач по верстке — Чтение, как минимум, ста бизнес-линчей и «Ководства» Артемия Лебедева, «Мифического человеко-месяца» и «Психбольницы в руках пациентов» — Интерес к веб-технологиям и последним тенденциям в средствах и методологиях разработки, владение некоторыми из них. — Умение выполнять базовые функции продукт-менеджера: сбор требований, проектирование, согласование приоритетов, управления трудозатратами и сроками, разработка документации (да мы, считаем это правильным, как и все, кто делает удобные веб-сервисы) — Умение читать и задавать вопросы по-английски и грамотно писать по-русски. Примечания: — Мы готовы побеседовать с вами и без резюме, если у вас есть сложность с его подготовкой. — Наличие портфолио при рассмотрении вашей кандидатуры нас сильно порадует. — Мы готовы работать как с опытными, так и с начинающими, но перспективными и способными к быстрому росту, специалистами. Первым готовы сразу же отдать сложные федеральные веб-проекты, вторым — возможность стажировки и обучения с параллельным вливанием в рабочий процесс. Офис — Вокзальная магистраль, м. Площадь Ленина. 8-часовой рабочий день, начало работы с 9–12 часов (по согласованию с вами).",Без требований,Без обязанностей,Без условий,Без ключевых навыков,29
188,188,backend,Новосибирск,30000.0,60000.0,ИОМ Анкетолог,2019-10-14T06:39:32+0300,Нет опыта,Полный день,Полная занятость,"Anketolog - сервис для создания онлайн-опросов и проведения исследований. Наша компания является Новосибирским инновационным интернет-проектом существующим с 2010 года. Мы ищем целеустремленного, ответственного разработчика на PHP, который способен быстро подключиться к работе над проектом. Необходимые навыки и знания: Хорошие знания PHP 5+ Понимание ООП (классы, наследование, интерфейсы, трейты, паттерны и пр.) Понимание принципов MVC Знание HTML, CSS и Javascript Знание SQL (индексы, джоины и пр.) Будет плюсом: Знание фреймворков Yii, Symfony Опыт работы с mongodb, sphinx, elasticsearch Опыт работы с Javascript библиотеками: backbonejs, marionettejs, react Опыт работы с системами правления версиями (git) Мы можем предложить: Собственный крупный интернет-проект Молодой, дружный коллектив Много интересных задач Работа в офисе в центре города Своевременная и в полном объеме выплата заработной платы Стабильная компания с хорошим опытом работы Заработная плата по договоренности в зависимости от вашей квалификации (внимательно выслушаем ваши пожелания на счет оплаты и рабочего графика). Качества: Пунктуальность, ответственность. Готовность выполнить небольшое тестовое задание.",Без требований,Без обязанностей,Без условий,Yii|PHP|CSS3|JavaScript|jQuery|Backbone,4
50,50,backend,Новосибирск,30000.0,70000.0,Ex-In,2019-10-09T15:07:46+0300,От 1 года до 3 лет,Полный день,Полная занятость,"В компанию Bullet требуется веб-разработчик. Охотно рассматриваем кандидатов с небольшим опытом, но большим желанием развиваться в веб-разработке. Bullet — набор сервисов для предпринимателей и маркетологов: конструктор сайтов, CRM-система, конструктор контекстной рекламы и модуль mail-рассылок. Ведем совместную разработку с «Яндекс», «Рамблер», «Сбербанк» и др. Наши клиенты — известные блогеры и крупные компании. Обязанности веб-разработчика: — Разработка нового функционала (новые продукты и модули, новые фичи, новые инструменты). — Рефакторинг существующего кода (мы развиваемся и растем, и нужно находить медленные и некачественные части кода и улучшать их). — Исправление возникающих ошибок (иногда возникают баги и ошибки, которые не смогли предусмотреть на этапе проектирования и конструирования, их нужно отлавливать и исправлять). — Решение внутренних задач (добавление отчетов и выгрузок, визуализация внутренней статистики, работа над внутренней CRM). — Помощь контент-отделу с версткой (иногда контент-отдел не справляется с версткой внутренних страниц и им нужна помощь знающих людей). Минимальные требования: — Внимательность и аккуратность в разработке. — Умение писать комментарии и документацию к своему коду. — Опыт работы с PHP 7 на уровне ООП. — Опыт работы с Yii2 Framework (либо с другим MVC-фреймворком). — Опыт работы с миграциями. — Знание SQL (индексы, сложные запросы). — Верстка и фронт на уровне HTML5, jQuery, AJAX, Bootstrap. — Git, Composer, Unix Bash. Условия: — ​​​Полный рабочий день. — Удаленка (при условии ежедневной отчетности). — Испытательный срок 3 месяца. — Оплачиваемое тестовое задание. — Заработная плата от 30 000 до 60 000 на руки по результатам тестового задания.",Без требований,Без обязанностей, — ​​​Полный рабочий день. — Удаленка (при условии ежедневной отчетности). — Испытательный срок 3 месяца. — Оплачиваемое тестовое задание. — Заработная плата от 30 000 до 60 000 на руки по результатам тестового задания.,CSS|JavaScript|MySQL|PHP|HTML|Yii,9
60,60,backend,Новосибирск,30000.0,60000.0,Информационные Решения Сибири,2019-09-25T11:33:08+0300,Нет опыта,Полный день,Полная занятость,"Привет! Мы ИРС, существуем на рынке с 2010 года, и все это время стабильно растем. За это время сделали много проектов различной сложности и стоимости. На данном этапе нашего развития мы помогаем среднему и крупному бизнесу по всей России, ориентируемся на индивидуальные проекты. Вам предстоит работать в молодой и активной команде, которая любит разработку :) Обязанности Разработка и поддержка клиентских и внутренних проектов компании. Требования Нам в команду требуется толковый веб-разработчик на кастомную разработку на php. Проекты, как правило, это веб-приложения, порталы. Ожидаем от вас уверенных знаний: PHP (опыт работы с различными фреймворками будет плюсом) Также: Способность быстро изучить новую технологию и применить ее. Способность настроить окружение (например, минимально сконфигурировать VDS) Внимательность к деталям, аккуратность в работе Условия Отличный комфортабельный офис в центре города. ТК РФ, отпуска - само собой. Участие в профильных конференциях, корпоративное обучение. Возможность развития - мы растем, и есть много путей для проф. роста. Внутренние проекты - мы периодически организуем стартапы внутри компании и есть возможность реализоваться в них (мобильные игры/приложения, сервисы, образовательные онлайн-порталы). Интересный и веселый коллектив - у нас неформальная обстановка, но без разгильдяйства. Печенек в офисе нет - есть зарплата, на которую можно купить довольно много печенек. Размер зарплаты по результатам интервью.",Без требований,Без обязанностей,Без условий,Без ключевых навыков,23
436,436,backend,Новосибирск,30000.0,50000.0,СитиВеб,2019-09-27T12:33:23+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Требования : Высшее или неполное высшее образование Стаж работы от 1 года PHP5+MySQL HTML5+CSS3 jQuery Знание 1С-Битрикс и его API, будет плюсом, если не знаете, то научим Умение разбираться в чужом коде Представление о модели MVC Желание развиваться Обязанности : Установка систем управления и внедрение верстки на CMS Доработка и разработка модулей/компонентов CMS Выполнение технической поддержки и доработки сайтов Реализация нестандартных решений на сайте Условия : 5ти дневная рабочая неделя Время работы с 09:00 - 18:00, 1 час на обед Официальное трудоустройство Няшка от Алёнки* Зарплата : Уровень ЗП зависит от Ваших знаний и опыта",Без требований,Без обязанностей,Без условий,1С-Битрикс|HTML5|PHP5|CSS|Bootstrap|MySQL|jQuery,21
739,739,backend,Новосибирск,32500.0,146288.46153846153,Openprovider,2019-10-11T13:29:39+0300,Нет опыта,Гибкий график,Полная занятость,"Наши проекты: - платформа для продажи услуг для хостинга (Openprovider API и панель управления услугами). Кого мы ищем: технического специалиста без опыта, но со знанием английского, желающего приобрести опыт и расти как программист. Что предстоит делать заниматься консолидацией нашего портфолио доменных имен автоматизировать процессы переноса путем написания скриптов на PHP взаимодействовать с API Openprovider и других доменных регистраторов взаимодействовать с клиентами Openprovider планировать и осуществлять массовые переносы доменов от других регистраторов в Openprovider генерировать отчетность, описывать процессы переноса, рисовать диаграммы работать с командой разработчиков и по методологии Scrum работать с Linux системами Требования минимальное знакомство со средой Linux минимальный опыт программирования английский, достаточный для переписки с англоговорящими коллегами базовые знания SQL Дополнительным преимуществом будет опыт работы с git разговорный английский техническое образование Условия мультиязычная международная компания дружественная обстановка внутри команды перспектива роста до junior developer в пределах одного года офис в центре города гибкий график и оценка по результатам работы оплата отпусков, больничных частичная оплата конференций для разработчиков возможность практиковать английский с носителем языка настольный футбол своя полноценная кухня со всей кухонной утварью (холодильник, микроволновка, вафельница, кофемашина) совместные обеды с командой по пятницам за счет компании дополнительный монитор (если необходим) Процедура откликаетесь на вакансию; все отклики идут напрямую руководителю команды, так что если есть вопросы - спрашивайте, любопытство приветствуется общение с руководителем команды по скайпу если мы друг другу интересны - собеседование в офисе (менеджеры и ключевые технические специалисты) последний этап отбора - выполнение тестового задания для определения навыков разработки Что нужно продемонстрировать Активную жизненную позицию Способность внятно артикулировать свои цели на ближайший год и мотивацию Понимание куда хотите расти и чем заниматься Энтузиазм",Без требований,Без обязанностей,Без условий,MySQL|Linux|PHP,7
1011,1011,backend,Новосибирск,39000.0,71500.0,Openprovider,2019-10-11T13:25:48+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Наш проект - платформа для продажи услуг для хостинга (Openprovider API и панель управления услугами). Кого мы ищем: разработчика готового расти и развиваться в команде профессионалов. Мы рассматриваем в качестве кандидатов как специалистов с опытом работы, так и начинающих специалистов технических специальностей, желающих приобрести опыт работы в качестве программиста. Что предстоит делать: программировать на PHP покрывать написанный код тестами внедрять новый и поддерживать существующий функционал торговой платформы работать над переносом логики на отдельные микросервисы на основе современных подходов и технологий работать по Scrum работать с Linux системами знакомиться с перспективными технологиями и языком Go Требования: минимальное знакомство со средой Linux опыт работы с PHP от полугода английский, достаточный для чтения профессиональной литературы знание паттернов программирования базовые знания SQL опыт написания тестов Дополнительным преимуществом будет: опыт работы с git RabbitMQ или другие брокеры сообщений Redis / Memcache MySQL / PostgreSQL примеры проектов на github разговорный английский Условия: мультиязычная международная компания неформальная обстановка внутри команды офис в центре города гибкий график оплата отпусков, больничных частичная оплата конференций для разработчиков возможность практиковать английский с носителем языка настольный футбол своя полноценная кухня со всей кухонной утварью (холодильник, микроволновка, вафельница, миксер, кофемашина) совместные обеды с командой по пятницам за счет компании дополнительный монитор Процедура: откликаетесь на вакансию; все отклики идут напрямую руководителю команды, так что если есть вопросы - спрашивайте, любопытство приветствуется общение с руководителем команды по скайпу если мы друг другу интересны - собеседование в офисе (менеджеры и ключевые технические специалисты) последний этап отбора - выполнение тестового задания для определения навыков разработки Что вас ждет: Кроме работы с PHP и сопутствующими технологиями (Linux, MySQL, Nginx) вы познакомитесь c PHPUnit для тестирования своего кода, а также освоите работу с различными XML и RESTFull интерфейсами. Вы познакомитесь с нашими open source проектами и поучаствуете в Dev митапах, которые организуют и на которых выступают в качестве спикеров наши ребята. О нас: Openprovider - это быстрорастущая компания штаб-квартира которой располагается в Нидерландах (Роттердам). Компания ориентирована на предоставление интернет сервисов для компаний предоставляющих хостинговые услуги. Компания трижды попадала в список Deloitte Fast50 (50 самых быстрорастущих компаний), а так же однажды в список EMEA Fast 500 самых быстрорастущих компаний на рынках Европы и Средней Азии, предоставляющих инновационные сервисы. Проект Openprovider развивается с 2004 года, разработка платформы ведется силами новосибирской команды."," минимальное знакомство со средой Linux опыт работы с PHP от полугода английский, достаточный для чтения профессиональной литературы знание паттернов программирования базовые знания SQL опыт написания тестов Дополнительным преимуществом будет: опыт работы с git RabbitMQ или другие брокеры сообщений Redis / Memcache MySQL / PostgreSQL примеры проектов на github разговорный английский ",Без обязанностей," мультиязычная международная компания неформальная обстановка внутри команды офис в центре города гибкий график оплата отпусков, больничных частичная оплата конференций для разработчиков возможность практиковать английский с носителем языка настольный футбол своя полноценная кухня со всей кухонной утварью (холодильник, микроволновка, вафельница, миксер, кофемашина) совместные обеды с командой по пятницам за счет компании дополнительный монитор Процедура: откликаетесь на вакансию; все отклики идут напрямую руководителю команды, так что если есть вопросы - спрашивайте, любопытство приветствуется общение с руководителем команды по скайпу если мы друг другу интересны - собеседование в офисе (менеджеры и ключевые технические специалисты) последний этап отбора - выполнение тестового задания для определения навыков разработки Что вас ждет: Кроме работы с PHP и сопутствующими технологиями (Linux, MySQL, Nginx) вы познакомитесь c PHPUnit для тестирования своего кода, а также освоите работу с различными XML и RESTFull интерфейсами. Вы познакомитесь с нашими open source проектами и поучаствуете в Dev митапах, которые организуют и на которых выступают в качестве спикеров наши ребята. О нас: Openprovider - это быстрорастущая компания штаб-квартира которой располагается в Нидерландах (Роттердам). Компания ориентирована на предоставление интернет сервисов для компаний предоставляющих хостинговые услуги. Компания трижды попадала в список Deloitte Fast50 (50 самых быстрорастущих компаний), а так же однажды в список EMEA Fast 500 самых быстрорастущих компаний на рынках Европы и Средней Азии, предоставляющих инновационные сервисы. Проект Openprovider развивается с 2004 года, разработка платформы ведется силами новосибирской команды.",PHP|Git|Linux|MS SQL|PostgreSQL|RabbitMQ|Scrum,7
26,26,backend,Новосибирск,40000.0,146288.46153846153,i20,2019-09-28T11:14:44+0300,Нет опыта,Полный день,Полная занятость,"Узнай более подробно о вакансии тут: http://jobs.i20.biz/php_developer О компании: Компания i20 занимается разработкой проектов для клиентов по всему миру. Среди наших заказчиков – Всемирный Банк, Органы Государственной власти РФ, издательский концерн Axel Springer, Adidas и многие другие. Мы являемся лидером в сегменте Drupal разработки и входим в top-15 в мировом рейтинге. Наш приоритет – это крупные проекты, продолжительностью от нескольких месяцев до нескольких лет. Это отличная среда для профессионального роста и развития. С такими проектами скучать не придется! В Новосибирске у нас 2 офиса: на пл. Ленина рядом с оперным театром и на вершине Академпарка. У нас нет дресс-кода и есть возможность адаптировать график работы под ваш жизненный ритм. Главное для нас – это качественный результат в срок. Перспективы: В нашей команде собралось множество опытных специалистов мирового уровня у которых многому можно научиться. Мы предлагаем отличные перспективы роста для разработчика. Если вам по душе только техническая сторона, то вы можете стать Senior Developer&#39;ом или Архитектором. Если же вы полны решимости и готовы брать ответственность не только за себя, то есть возможность стать Тим лидом, а если захотите, то и руководителем проектов. У нас принято помогать каждому реализоваться на полную и избегать ненужных рамок. А помимо должностного роста также предусмотрен пересмотр зарплаты в соответствии с ростом вашего опыта и навыков. Рост в компании ограничен только вашей зоной комфорта, все зависит от вас! Требования: Уверенное знание основ PHP. Владение JS, HTML, CSS на уровне Backend разработчика. Опыт работы со стеком LAMP. Опыт работы с Git. Опыт написания SQL запросов. Аналитический склад ума. Желание и готовность целенаправленно и упорно развиваться в веб-разработке. Будет плюсом: Знание фреймворков Symfony, Drupal и других. Владение английским языком на уровне чтения документации и выше. Участие в opensource проектах. Используемые технологии и подходы: Объектно-ориентированный подход на PHP5/7. Фреймворки Symfony и Drupal. Система управления зависимостями Composer. Отладка и профилирование с помощью Xdebug, XHprof. Реляционные БД (MySQL, MariaDB). Кеширование с помощью NoSQL, Varnish и т.д. Сервера поиска Apache Solr и Elasticsearch. Интеграция со сторонними сервисами и написание собственных REST API. Инфраструктура и процесс - git, мердж реквесты, кодревью, автотесты, Redmine и Jira. Чем нужно будет заниматься: Участвовать в разработке проектов для крупных компаний по всему миру. Перенимать опыт у специалистов мирового уровня. Изучать и внедрять новые, современные технологии. Искать и реализовывать простые и изящные решения для сложных задач. Делиться знаниями с коллегами и повышать свой профессионализм. Получать удовольствие от успешной сдачи проектов. В офисе вас ждут: Большая и дружная команда разработчиков, готовых помочь в трудную минуту. Просторная кухня со всем необходимым. Бесплатные кофе и вкусняшки. Гибкий график работы. Регулярные корпоративы и различные мероприятия по интересам внутри команды. Турник.",Без требований,Без обязанностей,Без условий,PHP|Drupal|Linux|MySQL|Symfony,20
