,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills,days
305,305,big data,Новосибирск,100000.0,160000.0,Weatherford,2019-09-25T11:21:15+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Weatherford Company (International Oil &amp; Gas service corporation, headquartered in Geneva, Switzerland (head office in Houston, USA, WFT U.S.: NYSE), global headcount 30 000. Russia &amp; Central Asia Geozone has 2500 headcount and includes 5 countries: Russia, China, Kazakhstan, Turkmenistan and Uzbekistan. Now we are looking for a candidate for the role of a Junior Data Scientist, based in Novosibirsk. The project aims to develop artificial intelligence software and delivers a highly secure cloud infrastructure for analytics development and implementation in the field. The company currently is focused on the oil and gas sector, with goals to expand in the broader energy sector in the near future. The company offers working in the growing and innovative segment of the energy sector on biggest data sets using cutting edge technologies for gaining insights from vast amounts and various types of data, incl. traditional data sets, machine logs, sensor data and many more. Weatherford is recruiting for a Chief Data Scientist among the world’s top 1% of Data Scientists who have a proven record of advanced degrees coupled with experience across various sectors in implementation of artificial intelligence to support and develop products, and sales. JOB DESCRIPTION: Track, report, and follow-up on work performed and progress on activities. Create solution plans including technical design and architecture, timelines, and deliverables. Contribute to the ongoing development and operations of AI, and advanced analytics solutions that enable transformation experiences, predictive insights, and increased efficiency. Interpret and document the analysis and results, and communicate the information effectively to the customers and team members. Proactively research new technologies and trends that can enhance company’s offering and create new revenue opportunities. Excellent written and verbal communication skills in English for coordinating across teams. Smart, motivated, can do attitude, and seeks to make a difference. QUALIFICATIONS: Masters in Computer Science, Electrical Engineering, Statistics, or equivalent fields. Strong mathematical background (linear algebra, calculus, probability and statistics). Expertise (2+ years) in statistical modeling techniques such as linear regression, logistic regression, survival analysis, GLM, tree models (Random Forests and GBM), cluster analysis, principal components, feature creation, and validation. Expertise (2+ years) in regularization techniques (Ridge, Lasso, elastic nets), variable selection techniques, feature creation (transformation, binning, high level categorical reduction, etc.) and validation (hold-outs, CV, bootstrap). Experience with Java and/or C++ is a plus. Applied Machine Learning (2+ years) experience including (linear/non-linear) regression analysis, time series, probabilistic models, regression, simulation, scenario analysis, clustering, decision trees, neural networks, deep learning, etc., including unsupervised learning. Experience with scalable Machine Learning (2+ years) (MapReduce, streaming, etc.). Experience with JavaScript and prototyping languages (2+ years) such as Python and R. Experience with Java and Scala is a plus. Kaggle competition winners or participation a plus. WE OFFER: • Competitive salary and benefits. • Multinational and friendly environment.",Без требований,Без обязанностей,Без условий,AI|Artificial intelligence|Machine learning|Big Data|Predictive analytics|Lenear algebra|Mathematical Statistics|Statistics|R|Phyton|C++|Java|JavaScript|SCALA|SCADA|Ridge|Lasso|MapReduce|GLM|Random Forests|Computer Science|linear/non-linear regression|elastic nets|Data Science|Data Analytics|Data Analysis|Data Mining|Electrical Engineering,23
585,585,big data,Новосибирск,100000.0,160000.0,Auriga,2019-10-02T13:10:25+0300,От 1 года до 3 лет,Полный день,Полная занятость,"АУРИГА — российско-американская компания, ведущий разработчик программного обеспечения на заказ для зарубежных и российских клиентов – открывает вакансию Специалиста по анализу данных. Описание проекта: Проект предполагает создание хранилища данных и разработку методов статистического анализа и алгоритмов машинного обучения. Разнообразные задачи на сбор и анализ информации (например, рекомендательные системы, анализ поведенческих паттернов пользователей, анализ воздушного движения) выполняются в интересах различных департаментов крупной международной компании – производителя строительного оборудования. Команда проекта включает в себя специалистов по анализу данных, архитекторов DWH и ETL процессов. Обязанности: Создание (в команде) новых сценариев использования на основе новых данных и создание новых подходов в извлечении знаний для поддержки новых бизнес-целей. Масштабирование существующей архитектуры для поддержки большего количества вариантов использования (особенно для задач в реальном времени). Внедрение решений по анализу данных, которые легко масштабируются и оптимизируются, для уменьшения зависимостей и ручной работы. Работа в тесном контакте с архитектором данных. Требования: Уверенное знание инструментов статистического анализа и языков разработки (Python). От 2 лет опыта работы с аналитическими методами (описательная статистика, машинное обучение, распознавание паттернов, кластерный анализ, анализ сегментации и т. д.). Знание фреймворков и библиотек машинного обучения. Разговорный и письменный английский язык (от Intermediate). Условия: Стабильная заработная плата, выплачиваемая день-в-день. Хорошая корпоративная программа ДМС со стоматологией, скорой помощью, вызовом врача на дом и льготным подключением родственников в лучших клиниках региона. Мы фанаты гибкого графика, баланса работы и отдыха, во многих проектах есть возможность иногда работать из дома (все это не исключает 8-часовой рабочий день!). Неравнодушные к вашим проблемам hr, к которым всегда можно обратиться. Мы очень ценим наш коллектив, микроклимат и домашнюю атмосферу. Обучение английскому в офисе, в случае необходимости возможны интенсивные курсы, упор на разговорную практику. Помогаем сотрудникам «не стоять на месте», отправляем на тренинги, подключаем к онлайн-ресурсам, проводим внутренние тренинги на регулярной основе, закупаем необходимую литературу по запросам инженеров. Из другого региона? Поможем с переездом в случае необходимости."," Уверенное знание инструментов статистического анализа и языков разработки (Python). От 2 лет опыта работы с аналитическими методами (описательная статистика, машинное обучение, распознавание паттернов, кластерный анализ, анализ сегментации и т. д.). Знание фреймворков и библиотек машинного обучения. Разговорный и письменный английский язык (от Intermediate). "," Создание (в команде) новых сценариев использования на основе новых данных и создание новых подходов в извлечении знаний для поддержки новых бизнес-целей. Масштабирование существующей архитектуры для поддержки большего количества вариантов использования (особенно для задач в реальном времени). Внедрение решений по анализу данных, которые легко масштабируются и оптимизируются, для уменьшения зависимостей и ручной работы. Работа в тесном контакте с архитектором данных. "," Стабильная заработная плата, выплачиваемая день-в-день. Хорошая корпоративная программа ДМС со стоматологией, скорой помощью, вызовом врача на дом и льготным подключением родственников в лучших клиниках региона. Мы фанаты гибкого графика, баланса работы и отдыха, во многих проектах есть возможность иногда работать из дома (все это не исключает 8-часовой рабочий день!). Неравнодушные к вашим проблемам hr, к которым всегда можно обратиться. Мы очень ценим наш коллектив, микроклимат и домашнюю атмосферу. Обучение английскому в офисе, в случае необходимости возможны интенсивные курсы, упор на разговорную практику. Помогаем сотрудникам «не стоять на месте», отправляем на тренинги, подключаем к онлайн-ресурсам, проводим внутренние тренинги на регулярной основе, закупаем необходимую литературу по запросам инженеров. Из другого региона? Поможем с переездом в случае необходимости.",Без ключевых навыков,16
494,494,big data,Новосибирск,100000.0,160000.0,Tele2,2019-10-09T15:23:20+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Data Engineer Кого мы ищем: Самостоятельного, убедительного, амбициозного человека, с лидерскими качествами, стремящегося к построению качественных процессов и, как следствие, качественному сбору, хранению и поставке данных. Что мы предлагаем: У нас ты сможешь развиваться в области Big Data, работать с современными технологиями работы с большими данными (Teradata, Hadoop, Spark, Kafka, Hive, Impala и многие другие), реализовывать уникальные технические решения и планомерно повышать качество сбора, хранения и поставки данных Заниматься упорядочиванием и структурированием потоков данных Развиваться технологически постоянно расширяя свои компетенции и профиль используемых продуктов и фреймворков Работать с командой амбициозных людей, увлеченных своим делом и проектом Разрабатывать востребованный продукт и получать четкий фидбэк от пользователей Работать в компании, где тебя слышат и ценят твой вклад Получить профессиональный рост (у нас есть тренинги, конференции, сильная команда, которая готова делиться знаниями и в которой можно быстро расти) Приходи к нам если ты хочешь работать к компании где действительно есть Big Data, и ты готов этим заниматься Что планируем сделать: Структурируем потоки данных Построим хранилище для данных Сделаем централизованную и прозрачную обработку данных Подготовим витрины данных для конечных пользователей Решим множество амбициозных бизнес-кейсов На практике это значит, что мы будем решать следующие задачи: Загружать данные из различных источников в Hadoop и Teradata Обрабатывать полученные данные современными программными продуктами и фреймворками Реализовывать витрины данных для ключевых бизнес-доменов компании Передавать все это в эксплуатацию, ставить на мониторинг, реализовывать автоматические тесты Готовить техническую документацию Участвовать в тестировании и сдаче разработанных модулей бизнес-заказчикам Участвовать в разработке MVP Участвовать в RnD-проектах Что для нас важно в тебе: Широкий технический кругозор Знание Open Source фреймворков Big Data: (Hadoop, MapReduce, Spark &amp; Spark Streaming, Hive) Знание SQL, Python Опыт работы с системами контроля версий(Git) Умение организовать процесс загрузки, обработки и доставки обработанных данных конечным потребителям Умение компетентно общаться по тематикам теорий алгоритмов, баз данных, систем и основ информационной безопасности. Ответственность за конечный результат Активность и самомотивация Не обязательно, но будет очень здорово, если ты: Знаешь Apache Airflow, Kubernetes, GitLab Работал с MPP-СУБД Teradata, GreenPlum или аналогами Знаешь или делал руками качественный мониторинг кластера на любых фреймворках Делал собственные фреймворки Что есть у нас и чем готовы делиться: Реальная Big Data, которая очень востребована в бизнесе Современное “железо” Работа в шикарном бизнес центре класса А, витаминный заряд из фруктов каждую неделю Полное соответствие ТК РФ. Конкурентная заработная плата - оклад и годовой бонус Гибкий график работы, возможность начала рабочего дня с 8:00 до 10:00, короткая пятница Возможность профессионального и карьерного роста (у нас есть внутреннее обучение, возможность посещать конференции, митапы, хакатоны) Расширенная медицинская страховка в России и за пределами страны - даже для любителей черных горнолыжных трасс Компенсация затрат на мобильную связь Дополнительные материальные выплаты (пособия при рождении ребенка, вступлении в брак и т.п.) Компенсация занятий спортом через год работы Зеленый свет для новых идей и предложений: мы часто делаем то, на что другие не отваживаются",Без требований,Без обязанностей,Без условий,SQL|Python|Git,9
245,245,big data,Новосибирск,100000.0,160000.0,i20,2019-10-10T20:06:41+0300,От 1 года до 3 лет,Удаленная работа,Проектная работа,"Обязанности: Разработка алгоритмов поведенческого анализа на базе результатов обработки видео изображения. Требования: Хорошая математическая подготовка (знание методов статистического анализа данных, построения математических моделей) Знание и опыт в Machine Learning, Deep Learning Знания и опыт программирования на Python, C++ Высокий уровень английского языка, позволяющий свободно читать и понимать научные статьи на английском Знания основных статистических пакетов python или R Опыт применения Data Mining для решения реальных бизнес-задач Знание методов машинного обучения Условия: Мы готовы рассмотреть варианты сотрудничества как в офисе так и удаленно позадачно"," Хорошая математическая подготовка (знание методов статистического анализа данных, построения математических моделей) Знание и опыт в Machine Learning, Deep Learning Знания и опыт программирования на Python, C++ Высокий уровень английского языка, позволяющий свободно читать и понимать научные статьи на английском Знания основных статистических пакетов python или R Опыт применения Data Mining для решения реальных бизнес-задач Знание методов машинного обучения ", Разработка алгоритмов поведенческого анализа на базе результатов обработки видео изображения. , Мы готовы рассмотреть варианты сотрудничества как в офисе так и удаленно позадачно,Геометрия|Математический анализ|Математическое моделирование|Математическая статистика|MATLAB|Статистический анализ|Аналитические исследования|SQL|Mathcad|C++|Python|Machine Learning|Deep Learning|Нейросети,7
659,659,big data,Новосибирск,100000.0,160000.0,Weatherford,2019-09-25T11:21:15+0300,От 3 до 6 лет,Полный день,Полная занятость,"Weatherford Company (International Oil &amp; Gas service corporation, headquartered in Geneva, Switzerland (head office in Houston, USA, WFT U.S.: NYSE), global headcount 30 000. Russia &amp; Central Asia Geozone has 2500 headcount and includes 5 countries: Russia, China, Kazakhstan, Turkmenistan and Uzbekistan. Now we are looking for a candidate for the role of a Lead Data Scientist, based in Novosibirsk. The project aims to develop artificial intelligence software and delivers a highly secure cloud infrastructure for analytics development and implementation in the field. The company currently is focused on the oil and gas sector, with goals to expand in the broader energy sector in the near future. The company offers working in the growing and innovative segment of the energy sector on biggest data sets using cutting edge technologies for gaining insights from vast amounts and various types of data, incl. traditional data sets, machine logs, sensor data and many more. Weatherford is recruiting for a Lead Data Scientist among the world’s top 1% of Data Scientists who have a proven record of advanced degrees coupled with experience across various sectors in implementation of artificial intelligence to support and develop products, and sales. JOB DESCRIPTION: Participate in some aspects of sales activities, including client facing sales, live demonstrations, and delivery of proof of concepts. Track, report, and follow-up on work performed and progress on activities. Support development of well-defined AI offerings. Serve as Pre-Sales AI Architect, AI SME, establishing credibility with our clients, helping them understand our capabilities in the areas of AI, IoT, and Intelligent Industry Solutions, as well as our capabilities as long-term strategic partner. Create solution plans including technical design and architecture, timelines, and deliverables. Contribute to the ongoing development and operations of AI, and advanced analytics solutions that enable transformation experiences, predictive insights, and increased efficiency. Clarify and translate business problems into Statement of Works or Work Orders while explain the technical requirements and solution design. Interpret and document the analysis and results, and communicate the information effectively to the customers and team members. Proactively research new technologies and trends that can enhance company’s offering and create new revenue opportunities. Excellent written and verbal communication skills in English for coordinating across teams. Ability to drive a project and work both independently and in a team. Smart, motivated, can do attitude, and seeks to make a difference. QUALIFICATIONS: PhD in Computer Science, Electrical Engineering, Statistics, or equivalent fields. Strong mathematical background (linear algebra, calculus, probability and statistics). Expertise (4+ years) in statistical modeling techniques such as linear regression, logistic regression, survival analysis, GLM, tree models (Random Forests and GBM), cluster analysis, principal components, feature creation, and validation. Expertise (4+ years) in regularization techniques (Ridge, Lasso, elastic nets), variable selection techniques, feature creation (transformation, binning, high level categorical reduction, etc.) and validation (hold-outs, CV, bootstrap). Experience with Java and/or C++ is a plus. Applied Machine Learning (4+ years) experience including (linear/non-linear) regression analysis, time series, probabilistic models, regression, simulation, scenario analysis, clustering, decision trees, neural networks, deep learning, etc., including unsupervised learning. Experience with scalable Machine Learning (4+ years) (MapReduce, streaming, etc.). Experience with JavaScript and prototyping languages (4+ years) such as Python and R. Experience with Java and Scala is a plus. Knowledge in electrical engineering and/or SCADA systems is a plus. A portfolio of projects (GitHub, papers, etc.) is a plus. Kaggle competition winners or participation a plus. WE OFFER: • Competitive salary and benefits. • Multinational and friendly environment.",Без требований,Без обязанностей,Без условий,AI|Artificial intelligence|Machine learning|Big Data|Predictive analytics|Lenear algebra|Mathematical Statistics|Statistics|R|Phyton|C++|Java|JavaScript|SCALA|SCADA|Ridge|Lasso|MapReduce|GLM|Random Forests|Computer Science|linear/non-linear regression|elastic nets|Data Science|Data Analytics|Data Analysis|Data Mining|Electrical Engineering,23
1059,1059,big data,Новосибирск,100000.0,160000.0,Центр финансовых технологий,2019-10-11T13:29:35+0300,От 1 года до 3 лет,Полный день,Полная занятость,"В новый проект &quot;Большие данные - машинное обучение&quot; требуется Java-разработчик. Нам предстоит построить конвейер производства признаков, хранения их, поставки, до-обучения моделей и сервировки моделей, в том числе онлайн обучение. Чем именно нужно заниматься: предобработка данных; подготовка признаков для моделей; создание конвейеров поставки данных; создание сервисов дообучения и применения моделей машинного обучения. Необходимо знать: Java; хорошее знание SQL; понимание и практика написания unit-тестов; опыт анализа данных; опыт работы с реляционными и noSQL базами данных (напр., Cassandra); опыт работы с Apache Spark и Yarn будет большим плюсом; знание Scala, Python будет плюсом. Условия и компенсации: вдохновляющая корпоративная культура (праздники, спортивные команды по футболу, волейболу, хоккею и черлидингу, творческая атмосфера и живое общение во внутренней социальной сети); программа ДМС, скидки и специальные акции для сотрудников компании; обучающие программы и курсы, деловые игры и тренинги. А также библиотека профессиональной литературы; профильные мероприятия. Mobifest, TestTrend, DataBase MeetUp, «Продуктон», клуб профессионалов «Будь в Фокусе» — полезное и интересное общение с единомышленниками. Место работы: ул. Мусы Джалиля (доставка корпоративным транспортом) либо ул. Нижегородская (м. Октябрьская).",Без требований,Без обязанностей,Без условий,Без ключевых навыков,7
1066,1066,big data,Новосибирск,100000.0,160000.0,Azoft,2019-10-14T06:48:21+0300,От 1 года до 3 лет,Гибкий график,Полная занятость,"В Отдел R&amp;D (Research&amp;Development) компании Azoft требуется увлеченный программист-исследователь, готовый к нестандартным и очень интересным задачам! Какими интересными вещами мы занимаемся: Пишем программы распознавания объектов в видеопотоке на смартфоне Тренируем нейронные сети на видеокарте Сервер распознавания текста на изображении Рекомендательная система для покупателей В общем делаем уже сейчас то что будет широко распространено в будущем Мы предлагаем: Возможность заниматься своим любимым делом, не отвлекаясь на сторонние задачи; Пространство для реализации своих профессиональных амбиций; Большую и дружную команду профессионалов; По-настоящему гибкий график работы; Достойный уровень заработной платы; Развитие сотрудников: семинары, конференции, English Забота о здоровье: 2 крутые команды - ИТ-футбол и ИТ-баскетбол, частичная компенсация абонементов в бассейн и фитнес-клубы Хороший отдых: совместные праздники и еженедельные Печенька-Party и сканворды Закрытую парковка: для автомобилей, велосипедов, самокатов, гироскутеров :) Нам нужен разработчик с: Знанием принципов машинного обучения, опытом работы с различными архитектурами нейронных сетей и пониманием принципов их работы Опытом в Python, в частности NumPy, OpenCV, Scikit-learn, Pandas Знанием SVM, PCA, kNN, Decision Trees, Ensembles (Bagging, Boosting, Random Forest) Опытом работы с фреймворками Tensorflow, Keras, Caffe, PyTorch Опытом применения разработанных алгоритмов на мобильных платформах (Android, iOS) Опытом работы с Git English уровня upper-intermediate Опытом разработки на С/С++ Будет плюсом наличие опыта в одном или нескольких пунктах: Опыт решения задач с использованием RL (Reinforcement Learning) Опыт работы с Flask, базовые знания HTML, CSS, JavaScript Опыт решения задач NLP Занятые места в соревнованиях по ML",Без требований,Без обязанностей,Без условий,Без ключевых навыков,4
580,580,big data,Новосибирск,100000.0,160000.0,Integral,2019-10-02T07:11:18+0300,От 1 года до 3 лет,Удаленная работа,Полная занятость,"Наша компания является одной из первых в России, основным направлением которой является разработка решений на основе блокчейн-технологий: - разработка программной архитектуры децентрализованных приложений/платформ/сервисов; - создание новых и уникальных блокчейн-платформ (в том числе участие в open-source проектах); - разработка полного цикла децентрализованных решений, включая сопутствующие программные продукты, которые входят в экосистему децентрализованного решения (Frontend - мобильные и веб-приложения, Backend - middleware, многоуровневые сервисы, модули интеграции, cross-chain сервисы, etc). Обязанности: Сбор данных Анализ и визуализация данных Создание и тестирование алгоритмов ML / DL Написание RESTful сервисов. Требования: Опыт разработки и работы с алгоритмами машинного обучения на Python; Опыт работы с такими технологиями/фреймворками для ML / DL: Sklearn, Tensorflow, Pytorch, и т.п.; Умение работать с git, git-flow; Английский язык на уровне чтения статей и технической документации; Будет плюсом: Знакомство с современными методами ИИ Опыт реализации алгоритмов ИИ в одной или более областях, таких как NLP, Computer Vision, Audio analysis Опыт работы с Docker; Опыт взаимодействия и разработки API; Желание изучать другие языки (GO, Java); Что мы предлагаем: Официальное трудоустройство, соблюдение ТК РФ; 100% Белая заработная плата; Работа в команде профессионалов; Просторный, новый, современный офис в самом центре Новосибирска (БЦ Айсберг); Чай‚ кофе для поддержания хорошего настроения",Без требований, Сбор данных Анализ и визуализация данных Создание и тестирование алгоритмов ML / DL Написание RESTful сервисов. ,Без условий,Без ключевых навыков,16
1040,1040,big data,Новосибирск,100000.0,160000.0,Тинькофф,2019-10-08T12:48:21+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Мы в Tinkoff.ru занимаемся сервисами распознавания и синтеза речи. Наши модели лежат в основе голосового ассистента “Олега” и голосовых роботов, которые оптимизируют работу нашего колл-центра. Помимо этого мы планируем предоставлять наши сервисы внешним клиентам. Уже сегодня через нас распознаётся около миллиона звонков в сутки. Для расширения функционала и улучшения качества мы ищем опытных Data Scientist&#39;ов, способных самостоятельно выполнять полный цикл работ, начиная со сбора и подготовки данных и заканчивая выводом моделей в продакшн. Наш стек: DL Frameworks: TensorFlow, PyTorch, Horovod; Автоматизация процессов: TeamCity, K8S, Slurm; Hardware: кластер из Nvidia Tesla V100 для распределённого обучения. Тебе предстоит: Развивать архитектуру и алгоритмы обработки для акустической и языковой моделей распознавания речи; Ресерчить алгоритмы, которые помогут улучшить качество распознавания в шумной среде; Экспериментировать с параметрическими моделями для синтеза речи; Улучшать качество Keyword Spotting; Генерировать гипотезы, ставить эксперименты и доносить результаты; Изучать и реализовывать SOTA алгоритмы. Мы ждём от тебя: Практический опыт работы Data Scientist&#39;ом не менее 2-х лет; Уверенные знания Python; Понимание базовых структур данных и алгоритмов работы с ними; Знание принципов работы современных ML и DL алгоритмов; Хорошая математическая подготовка и знание прикладной статистики; Опыт использования DL фреймворков: Tensorflow, Pytorch, Keras; Желание самостоятельно изучать научные статьи и ставить эксперименты на их основе. Будет плюсом: Знание современного C++ (14, 17 стандарт); Опыт работы с библиотеками по распознаванию речи (Kaldi, Sphinx); Знание базовых принципов цифровой обработки сигналов (bit depth, sample rate, спектральный анализ, A-law, mu-law, dithering). Условия: Профессиональное развитие: проводим митапы, тренинги и мастер-классы; огромная tech-библиотека в твоем распоряжении; Бесплатные и вкусные перекусы: чай, кофе, печеньки и фрукты; Заботу о здоровье: полис ДМС и страховку от несчастных случаев для тебя и льготные условия страхования для близких; Компенсации в формате cash baсk: обедов и такси; Работу в комфортном офисе с современной техникой в 10 минутах пешком от м. площадь Ленина или в Технопарке Академгородка на выбор; Достойную твоего профессионального уровня зарплату, размер обсудим на собеседовании.",Без требований,Без обязанностей," Профессиональное развитие: проводим митапы, тренинги и мастер-классы; огромная tech-библиотека в твоем распоряжении; Бесплатные и вкусные перекусы: чай, кофе, печеньки и фрукты; Заботу о здоровье: полис ДМС и страховку от несчастных случаев для тебя и льготные условия страхования для близких; Компенсации в формате cash baсk: обедов и такси; Работу в комфортном офисе с современной техникой в 10 минутах пешком от м. площадь Ленина или в Технопарке Академгородка на выбор; Достойную твоего профессионального уровня зарплату, размер обсудим на собеседовании.",Python|MATLAB|Английский язык|Обучение и развитие|Виды страхования|ML|Data Scientist,10
658,658,big data,Новосибирск,100000.0,160000.0,Центр финансовых технологий,2019-10-10T06:06:22+0300,От 1 года до 3 лет,Полный день,Полная занятость,"В нашей компании активно развивается направление Machine Learning, и в Новосибирске уже работает сильная команда. Ребята делают следующие проекты для различных продуктовых линий компании: прогнозирование спроса; идентификация пользователей; выявление аномалий; распознавание голоса, изображений; рекомендации; чат-бот. Работа команды – это весомый и ценный результат для компании, а для будущего коллеги - отличная возможность для развития в BigData и Machine Learning. Интересных проектов становится все больше, Машинное отделение активно растет! Приглашаем в команду специалистов в области Data scienсе, программистов python и java (Big Data). Обязанности: подготовка данных с использованием Python; оценка качества данных, создание признаков, поиск дополнительных источников; подготовка pipeline (конвейера) для скоринга транзакций за период; работа с текстом, аудио и изображениями; разработка интеллектуальной диалоговой системы; разработка, применение, поиск, машинное обучение алгоритмов для очистки данных (поиск аномалий, корректор, подсказка, автоматизация/снижение ручной работы, поиск дубликатов и т.д.); разработка алгоритмов для повышения производительности труда валидаторов; переобучение существующих моделей; создание шаблонов решения задачи и организация кода. Требования: опыт работы с данными в проектах, желательно по статистической обработке; опыт использования Python для обработки данных; опыт работы с библиотеками pandas, numpy, sklearn, xgboost; работа в Linux, Jupyter notebook, git. Дополнительным преимуществом будет: работа с задачами машинного обучения; опыт работы с базами данных SQL. Мы предлагаем: официальное трудоустройство, полный социальный пакет; современный офис с отличной столовой, уютной кофейней, с велопарковкой и даже магазинчиком интересных корпоративных вещей; доставку корпоративным транспортом (правый/левый берег г. Новосибирска, г. Бердск, р.п. Кольцово) в наш офис в Академгородке; возможность профессионального развития: внутренние и внешние конференции и тренинги, собственная библиотека и т.д.; вдохновляющую корпоративную культуру: весёлые праздники, творческую атмосферу, живое общение во внутренней социальной сети; заботу о здоровье: программы ДМС и собственный медицинский кабинет; скидки, бонусы на различные услуги и многое другое.",Без требований," подготовка данных с использованием Python; оценка качества данных, создание признаков, поиск дополнительных источников; подготовка pipeline (конвейера) для скоринга транзакций за период; работа с текстом, аудио и изображениями; разработка интеллектуальной диалоговой системы; разработка, применение, поиск, машинное обучение алгоритмов для очистки данных (поиск аномалий, корректор, подсказка, автоматизация/снижение ручной работы, поиск дубликатов и т.д.); разработка алгоритмов для повышения производительности труда валидаторов; переобучение существующих моделей; создание шаблонов решения задачи и организация кода. ",Без условий,Python|Linux|Jupyter notebook|Git|Анализ данных,8
