,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills,days
591,591,c++,Новосибирск,25000.0,40000.0,Форвард,2019-10-15T14:28:30+0300,Нет опыта,Полный день,Полная занятость,"Группа компаний Форвард – лидер в области разработки программных и аппаратных симуляторов автомобилей и различной спецтехники, а также программного обеспечения для теоретического обучения вождению, безопасности дорожного движения и т.д. Мы – увлеченная команда профессионалов, разрабатываем и применяем игровые технологии для создания высококачественных и реалистичных продуктов, которые помогают обучать специалистов и пользователей по всему миру. Наша продукция поставляется как по всей России, так и за рубеж – в США, различные страны Европы и т.д. Вас ждет широкий спектр задач – разработка графики, искусственного интеллекта, сетевого взаимодействия, работа с такими технологиями, как Oculus Rift, HTC Vive, Steam, Havok Physics и т.д. Опытная команда поможет изучить новое и прокачать Ваши навыки. Приглашаем стать частью нашей команды! Нам интересно Ваше: Знание C++, STL; Принципы и методы ООП; Основы линейной алгебры и аналитической геометрии; Понимание базовых структур данных и алгоритмов. Будет плюсом: Интерес к разработке компьютерных игр и симуляторов; Наличие собственных проектов игр/мультимедийных программ; Опыт программирования 3D графики (DirectX, OpenGL), работы с графическими «движками»; Опыт работы с игровыми «движками» – Unreal Engine, Unity и т.д.; Опыт работы в Microsoft Visual Studio, с системами контроля версий (SVN, Git и т.д.); Опыт разработки на С#, работы с .NET технологиями – WPF и т.д., с SQL и БД; Опыт разработки и оптимизации алгоритмов; Интерес к автомобильной тематике; Технический английский (чтение документации). Мы предлагаем: Молодой, профессиональный, дружелюбный коллектив; Комфортный офис в центре города, 5 минут от метро «Гагаринская»; Опытные коллеги и наставники; Удобное и современное рабочее место; Официальное трудоустройство, белая зарплата; Возможность совмещения работы с учебой; Профессиональный и карьерный рост; Доступ к современному VR-оборудованию, игровым рулям и т.д.; Возможность участия в семинарах и тренингах; Кухня с кофемашинами, разными «вкусняшками» для всегда позитивного настроения; Компенсация занятий спортом. Уровень заработной платы определяется по результатам собеседования.",Без требований,Без обязанностей,Без условий,C++|STL|ООП,3
267,267,c++,Новосибирск,35000.0,65000.0,Ледас,2019-09-30T08:29:46+0300,Нет опыта,Гибкий график,Полная занятость,"Компания ЛЕДАС хорошо известна на международном рынке как ведущий разработчик САПР и инженерного ПО. Мы занимаемся наукоёмким программированием, разрабатываем продвинутые алгоритмы и уникальные приложения. География наших партнёров обширна, как обширна и область наших интересов. Нам нужен Программист на языке C++ для разработки и реализации алгоритмов вычислительной геометрии моделирования 3D тел в машиностроении и архитектуре и обработки сеточного представления поверхностей в области цифровой медицины. В качестве кандидатов мы готовы рассмотреть студентов без опыта работы в промышленной разработке ПО, имеющих хорошую математическую подготовку и уверенное владение C++. Для начинающих проект будет отличной школой: даст возможность узнать изнутри как устроена математика CAD приложений. Для более опытных разработчиков проект станет серьёзным вызовом: в разрабатываемом функционале будет необходимо сочетать высокое качество, отличную производительность, разумное потребление памяти, кроссплатформенность, при этом следить за чистотой кода и поддерживать работоспособность на тестовой базе размером до нескольких тысяч сценариев. Требования Высшее техническое образование или обучение на последних курсах Знание C++ Понимание и применение принципов ООП Хорошее знание и понимание математики: аналитической геометрии, алгоритмов на графах, численных методов, мат. анализа Плюсом будет Знание следующих технологий: MS Visual Studio / GCC / CMake Svn / Git / JIRA / Phabricator / Jenkins / TeamCity / Nunit / TestComplete / TestLink C# / Python / JavaScript / TypeScript OpenGL / DirectX / WebGL / three.js Qt / WPF / WCF Опыт программирования микроконтроллеров / станков с ЧПУ / CNC Будет не лишним Знание английского языка Опыт работы с CAD-приложениями Условия Уютный и современный офис в Технопарке Новосибирского Академгородка Официальное трудоустройство согласно ТК РФ, белая зарплата, оплачиваемые больничные и отпуск Полная (предпочтительно) или частичная занятость, гибкий график, возможность частично удаленной работы Частичная компенсация затрат на спорт и изучение английского языка. Кофе, чай, конфеты, бутерброды и фрукты на кухне Частичная компенсация затрат на спорт и изучение английского языка Молодой дружный коллектив, играем в настольный теннис, знаем про Scrum/Agile и всё остальное, каждый пятый сотрудник - кандидат наук",Без требований,Без обязанностей,Без условий,C++,18
1039,1039,c++,Новосибирск,35000.0,147000.0,Предприятие Элтекс,2019-10-14T07:34:07+0300,Нет опыта,Полный день,Стажировка,"Eltex - это 26 лет опыта на рынке телекоммуникаций, 8 отделов разработки, собственное производство, более 50 партнеров и 2500 компаний-клиентов из более чем 20 стран мира. Мы приглашаем тебя присоединиться к нашей большой и профессиональной команде! Сейчас мы ищем стажеров на embedded проекты. Разработка в Eltex ведется по следующим направлениям: Wi-Fi (разработка ПО для беспроводных точек доступа и устройств беспроводного широкополосного доступа) VoIP (разработка ПО для голосовых шлюзов, IP-телефонов) Ethernet technology (разработка устройств и ПО для Ethernet-коммутаторов и маршрутизаторов) PON (разработка устройств и ПО операторских и абонентских устройств для пассивных оптических сетей) Media (разработка ПО для IPTV-медиацентров) IoT (разработка ПО для домашнего маршрутизатора, включающее в себя функциональность как обработки пользовательского трафика, так и обеспечение работы контроллера в части работы с датчиками и исполнительными устройствами) Hardware (разработка принципиальных схем для устройств, ПО для сопроцессоров и микросхем ПЛИС, написание ПО для проверки оборудования) Разработка ведется на языке C под Linux. Вместе с командой разработчиков тебе предстоит: разработка управляющего ПО для сетевого оборудования; исправление ошибок, доведение ПО до идеального состояния или близкого к нему; работа с аппаратной частью устройств; изучение сетевых протоколов модели OSI и их реализация. Необходимые навыки: владение языком программирования C/C++; общение с ОС Linux на ты; понимание протоколов семейства tcp/ip; опыт коммерческой разработки (пусть небольшой) станет вашим преимуществом; горящие глаза и желание развиваться в embedded-разработке! Предлагаем: развитие в профессиональной и дружной команде единомышленников; опыт работы над проектами федерального уровня (например, наше оборудование было задействовано в проведении ЧМ по футболу 2018); хорошую стартовую з/п; гибкий график для студентов (от 35 тыс. при работе полный рабочий день). Приятные бонусы: Корпоративные скидки у компаний-партнеров (фитнес, развлечения); Собственный комплекс зданий в парковой зоне города; Уличная зона с турниками и настольным теннисом; Своя столовая и тренажерный зал, большая парковка; Яркие корпоративные мероприятия; Митапы по обмену опытом между командами; Компенсация затрат на участие в IT конференциях; Бесплатный служебный транспорт от пл.Калинина и 4, 5, 6 мкр.",Без требований,Без обязанностей,Без условий,C/C++|Git|Linux|TCP/IP,4
36,36,c++,Новосибирск,52000.0,75000.0,Тензор,2019-10-03T16:48:02+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Тензор – крупная российская IT-компания. Наш основной продукт – СБИС – сеть деловых коммуникаций. СБИС объединяет людей и компании, системы управления и учета, бизнес-процессы и документы в одной системе. Систему СБИС придумали, создали и постоянно совершенствуют более 1000 разработчиков в 10 филиалах по стране. У нас есть фанаты дата-майнинга, эксперты в разработке кроссплатформенных приложений и высоконагруженных систем, разработчики мобильных, настольных и веб-приложений, специалисты по обработке, анализу и хранению больших массивов данных. Мы ищем людей, способных реализовывать крупные проекты от идеи до “продакшена”. Присоединившись к нашей команде, у вас будет возможность усовершенствовать систему СБИС. Результатом вашей работы будут пользоваться более миллиона людей – на компьютерах, планшетах и смартфонах. Мы ждем от Вас: высшее техническое образование; базовые знания С++ и алгоритмов. Мы предлагаем: заработную плату в зависимости от квалификации и уровня ответственности; премии от 5 до 20% по итогам работы за месяц; корпоративное обучение; ДМС после года работы в компании; корпоративные праздники и различные совместные мероприятия, спортивные программы.",Без требований,Без обязанностей,Без условий,C++,15
1030,1030,c++,Новосибирск,55000.0,70000.0,ЭМА,2019-10-14T06:53:45+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: • Участие в проектах в роли разработчика клиент-серверных приложений; • Доработка,оптимизация и развитие существующих приложений; • Тестирование; • Разработка требований и пользовательской документации. Требования: • Высшее техническое образование по специальности программное обеспечение и вычислительная техника; • Уверенное знание C/C++; • Опыт разработки под Nix* системы в стандарте POSIX (сетевое программирование, взаимодействие процессов, синхронизация); • Знание инструментария программиста под Nix* системы: make, gcc,gdb; • Готовность изучать новые технологии, работать в команде. Условия: • Динамично развивающаяся компания; • Оформление согласно ТК РФ; • Cовременный офис, по линии метро; • Работа над интересными проектами; • Профессиональный и личностный рост в дружной команде."," • Высшее техническое образование по специальности программное обеспечение и вычислительная техника; • Уверенное знание C/C++; • Опыт разработки под Nix* системы в стандарте POSIX (сетевое программирование, взаимодействие процессов, синхронизация); • Знание инструментария программиста под Nix* системы: make, gcc,gdb; • Готовность изучать новые технологии, работать в команде. "," • Участие в проектах в роли разработчика клиент-серверных приложений; • Доработка,оптимизация и развитие существующих приложений; • Тестирование; • Разработка требований и пользовательской документации. "," • Динамично развивающаяся компания; • Оформление согласно ТК РФ; • Cовременный офис, по линии метро; • Работа над интересными проектами; • Профессиональный и личностный рост в дружной команде.",Без ключевых навыков,4
97,97,c++,Новосибирск,60000.0,100000.0,Springs Tech,2019-09-16T09:15:40+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Требования: - Опыт создания кросс-платформенных надежных решений - Опыт работы с Qt - Опыт написания тестируемого кода и собственно тестов - Опыт работы с cmake toolchain, GNU toolchain, msvc toolchain - Желание создавать красивый и удобный для пользователя UI Желательно: - Опыт разработки на OpenGL - Знание Java или C# или скриптовых языков программирования (Javascript и др.) Условия - Полностью &quot;белая&quot; заработная плата. Указанная зарплатная вилка - после вычета налогов. - Офис в Технопарке Академгородка Мы ведем разработку своего продукта. Продукт находится на рынке уже несколько лет. Решаем интересные сложные задачи широкого спектра направленностей, от уровня системного программирования до UI. В разработке используем передовые практики программирования: код ревью, тесты, Git, JIRA, CI. У нас мало легаси-кода. Офис расположен в месте с отличной инфраструктурой - Академпарке. Офис классического типа, состоит из небольших кабинетов по 3-4 человека в каждом. Не опен спейс. Тихие условия работы, удобные рабочие места. У нас нет ненужной бюрократии, мы готовы обсуждать идеи сотрудников и поощрять их. У каждого есть возможность влиять на судьбу проекта, и воплощать в жизнь свои идеи.",Без требований,Без обязанностей,Без условий,C++|Qt|Unit Testing|Cmake Toolchain|GNU Toolchain|MSVC Toolchain,32
865,865,c++,Новосибирск,60000.0,110000.0,СибСенсор,2019-09-25T23:57:09+0300,От 1 года до 3 лет,Полный день,Полная занятость,"В приборостроительную компанию требуется программист С++, для участия в проекте по разработке распределённой системы термометрии на основе волоконной оптики. Обязанности : Разработка графических интерфейсов для визуализации данных и настройки приборов; Разработка и реализация алгоритмов обработки данных; Разработка приложений для проведения испытаний приборов; Участие в исследованиях и экспериментах. Требования : С/С++; STL, multithreading; Git; Опыт работы c библиотекой Qt; Владение английским языком на уровне чтения технической документации; Умение работать в команде, предлагать, обсуждать, аргументировать. Будет плюсом: Знание скриптового языка, на пример Python, bash; Опыт работы с промышленными протоколами. Условия: Официальное трудоустройство, (официальная заработная плата); Испытательный срок - 2 месяца; Уровень компенсации обсуждается с успешным кандидатом на собеседовании; Возможны командировки; Полный рабочий день; Полная занятость; Корпоративный английский.",Без требований,Без обязанностей," Официальное трудоустройство, (официальная заработная плата); Испытательный срок - 2 месяца; Уровень компенсации обсуждается с успешным кандидатом на собеседовании; Возможны командировки; Полный рабочий день; Полная занятость; Корпоративный английский.",C/C++|Git|Qt|STL,22
687,687,c++,Новосибирск,65000.0,110000.0,Ледас,2019-10-15T11:29:08+0300,От 1 года до 3 лет,Гибкий график,Полная занятость,"Компания ЛЕДАС хорошо известна на международном рынке как ведущий разработчик САПР и инженерного ПО. Мы занимаемся наукоёмким программированием, разрабатываем продвинутые алгоритмы и уникальные приложения. География наших партнёров обширна, как обширна и область наших интересов. Нам нужен Программист на языке C++ для разработки и реализации алгоритмов вычислительной геометрии моделирования 3D тел в машиностроении и архитектуре, а также в обработке сеточного представления поверхностей в области цифровой медицины. Неизменным и необходимым условием является хорошая математическая подготовка. Для тех, кто не знаком со спецификой разработки инженерного ПО, проект даст возможность узнать изнутри устройство математики CAD приложений. В разрабатываемом функционале будет необходимо сочетать высокое качество, отличную производительность, разумное потребление памяти и кроссплатформенность, при этом следить за чистотой кода и поддерживать работоспособность на тестовой базе размером до нескольких тысяч сценариев. Требования Высшее математическое или инженерное образование Знание C/C++ Понимание и применение принципов ООП, паттернов проектирования Хорошее знание и понимание математики: аналитической геометрии, алгоритмов на графах, численных методов, мат. анализа Умение объяснить, почему выбранное решение или алгоритм является лучшим Плюсом будет Знание следующих технологий: MS Visual Studio / GCC / CMake Svn / Git / JIRA / Phabricator / Jenkins / TeamCity / Nunit / TestComplete / TestLink C# / Python / JavaScript / TypeScript OpenGL / DirectX / WebGL / three.js Qt / WPF / WCF Опыт программирования микроконтроллеров / станков с ЧПУ / CNC Будет не лишним Знание английского языка Опыт работы с CAD-приложениями Условия Уютный и современный офис в Технопарке Новосибирского Академгородка Официальное трудоустройство согласно ТК РФ, белая зарплата, оплачиваемые больничные и отпуск Полная (предпочтительно) или частичная занятость, гибкий график, возможность частично удаленной работы Частичная компенсация затрат на спорт и изучение английского языка Кофе, чай, конфеты, бутерброды и фрукты на кухне Молодой дружный коллектив, играем в настольный теннис, знаем про Scrum/Agile и всё остальное, каждый пятый сотрудник - кандидат наук",Без требований,Без обязанностей,Без условий,C++,3
489,489,c++,Новосибирск,70000.0,120000.0,Кадровое агентство Алексея Сухорукова,2019-10-14T09:09:42+0300,Нет опыта,Полный день,Полная занятость,"Российская дочка бельгийской компании, а также часть глобальной Шведской корпорации, с представительствами в 70 странах мира и командой разработчиков более 200 человек приглашает в свою команду программиста C++. Компания занимается разработкой популярной системы автоматизации проектирования, объединяющей 2D черчение и прямое 3D моделирование в рамках собственной платформы. Продукт обладает широкими возможностями параметризации и специализированных инструментов в области машиностроительного (MCAD) и архитектурно-строительного проектирования (BIM) и занимает уверенные лидирующие позиции на рынке. Компания предлагает гибкий график и белую заработную плату с ежегодной индексацией. Для работы необходимы: Уверенные базовые знания C++ Хорошая математическая подготовка: аналитическая геометрия, дискретная математика Понимание ООП Компания готова к сотрудничеству, как с опытными программистами, так и со вчерашними студентами, имеющими собственные некоммерческие проекты на C++ и хорошую теоретическую подготовку Вам предстоит: Участие в коллективной разработке САПР Разработка конечно-пользовательских инструментов параметрического и прямого моделирования трехмерных тел и поверхностей, генерации чертежных видов по трехмерным моделям Реализация эффективных алгоритмов Создание и тестирование нового кода Сопровождение существующего кода Компания предлагает: Гибкий, возможно частично удаленный график работы Отпуск общей продолжительностью пять недель Белую заработную плату, а также доплаты по больничным листам до уровня реальной з/п Еженедельные обеды с командой по пятницам вне офиса Корпоративные мероприятия, такие как выезды с семьей на Алтай Корпоративное изучение английского языка для разных уровней в группах по 2-3 человека Оплачиваемую парковку Заработную плату для кандидатов без опыта – 70.000 руб. и от 110.000 для кандидатов, имеющих опыт разработки аналогичных продуктов Комфортный офис в Академгородке с уютной кухней, где всегда есть свежие фрукты и различные закуски Ждем ваших резюме!",Без требований,Без обязанностей,Без условий,Без ключевых навыков,4
370,370,c++,Новосибирск,75000.0,120000.0,Тензор,2019-09-30T12:56:08+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Тензор – крупная российская IT-компания. Наш основной продукт – СБИС – сеть деловых коммуникаций. СБИС объединяет людей и компании, системы управления и учета, бизнес-процессы и документы в одной системе. Систему СБИС придумали, создали и постоянно совершенствуют более 1000 разработчиков в 11 филиалах по стране. У нас есть фанаты дата-майнинга, эксперты в разработке кроссплатформенных приложений и высоконагруженных систем, разработчики мобильных, настольных и веб-приложений, специалисты по обработке, анализу и хранению больших массивов данных. Мы ищем людей, способных реализовывать крупные проекты от идеи до “продакшена”. Присоединившись к нашей команде, у вас будет возможность усовершенствовать систему СБИС. Результатом вашей работы будут пользоваться более миллиона людей – на компьютерах, планшетах и смартфонах. Мы ждем от Вас: Опыт коммерческой разработки на С++; Знание С++11, STL, Boost; Понимание принципов ООП; Знание основных и архитектурных паттернов программирования; Умение писать защищенный код; Опыт написания многопоточных приложений; Опыт работы с системами контроля версий. Будет плюсом: Знакомство с iOS и Android; Опыт работы с торговым оборудованием. Мы предлагаем: трудоустройство по ТК РФ; премии от 5 до 20% по итогам работы за месяц; кроссплатформенную разработку - Android, iOS, Windows, Linux, Mac OS; опытную и постоянно развивающуюся команду профессиональных разработчиков; пространство для реализации себя, своих профессиональных и финансовых амбиций; комфортный офис в центре города с зонами отдыха и корпоративной столовой; курсы английского языка и компенсация занятий спортом; ДМС после 1 года работы.",Без требований,Без обязанностей,Без условий,C++,18
