,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills,days
666,666,devops,Новосибирск,40000.0,80000.0,Диалоговые системы,2019-10-03T13:36:07+0300,От 1 года до 3 лет,Гибкий график,Полная занятость,"От Вас требуется: Знание основных сетевых протоколов, статическая/динамическая маршрутизация Опыт администрирование Linux (Ubuntu, Debian) от 1 года Bash, Python Английский язык на уровне чтения технической документации Желание постоянно развиваться, изучать новые технологии и применять их на практике Самоорганизацию и хорошие коммуникативные навыки Будет плюсом опыт работы: Docker, Swarm, Kubernetes KVM Git, Helm Ansible, Saltstack S3 Облачными провайдерами Системами мониторинга (Zabbix, Prometheus) RabbitMQ, Redis, Nginx, PostgreSQL, ELK DevOps-практики Знание принципов CI/CD Знание принципов работы микросервисов и клиент-серверных архитектур Условия: официальное трудоустройство; стать частью веселого и дружного коллектива; работу в новом офисе Технопарка Академгородка или в городе, на ваш выбор. проникнуться духом стартапа, который получает инвестиции возможность развиваться, посещать конференции и митапы. обсуждаемый график работы интересные и сложные проекты",Без требований,Без обязанностей," официальное трудоустройство; стать частью веселого и дружного коллектива; работу в новом офисе Технопарка Академгородка или в городе, на ваш выбор. проникнуться духом стартапа, который получает инвестиции возможность развиваться, посещать конференции и митапы. обсуждаемый график работы интересные и сложные проекты",Linux|Bash|Nginx|администрирование Linux|Docker|KVM|Системы мониторинга|RabbitMQ,15
1047,1047,devops,Новосибирск,55000.0,70000.0,ЭМА,2019-10-14T06:53:22+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: Взаимодействие с командой разработчиков. Автоматизация процессов развертывания инфраструктуры, разработки, тестирования (сборка пакетов, скрипты установки). Исследование новых инфраструктурных компонент (СУБД и пр.) для улучшения существующего ПО. Требования: Высшее техническое образование в области информационных технологий. Знание жизненного цикла разработки ПО. Опыт работы с ОС Linux и ОС Windows. Понимание работы сети. Работа с виртуальными средами. Английский, достаточный для чтения профессиональной литературы. Вашим профессиональным преимуществом будет: Владение языком программирования высокого уровня. Владение языком SQL. Знание инструментария программиста под *nix системы. Условия: Официальное трудоустройство по ТК РФ. Современный офис по линии метро. Работа над интересными проектами. Профессиональный и личностный рост в дружной компании."," Высшее техническое образование в области информационных технологий. Знание жизненного цикла разработки ПО. Опыт работы с ОС Linux и ОС Windows. Понимание работы сети. Работа с виртуальными средами. Английский, достаточный для чтения профессиональной литературы. Вашим профессиональным преимуществом будет: Владение языком программирования высокого уровня. Владение языком SQL. Знание инструментария программиста под *nix системы. "," Взаимодействие с командой разработчиков. Автоматизация процессов развертывания инфраструктуры, разработки, тестирования (сборка пакетов, скрипты установки). Исследование новых инфраструктурных компонент (СУБД и пр.) для улучшения существующего ПО. ", Официальное трудоустройство по ТК РФ. Современный офис по линии метро. Работа над интересными проектами. Профессиональный и личностный рост в дружной компании.,Без ключевых навыков,4
266,266,devops,Новосибирск,90000.0,180000.0,Plesk,2019-10-14T09:15:51+0300,От 3 до 6 лет,Полный день,Полная занятость,"Plesk – контрольная панель для автоматизации администрирования сервера. Plesk широко применяется для администрирования web хостинга, поскольку позволяет свести операции по настройки веб-сервера к простым операциям в контрольной панели. Plesk может быть установлен на Linux и Windows сервера. В настоящий момент усилия команды направлены на предоставление услуг в виде публичных сервисов. Обеспечение надёжной работы внешних и внутренних сервисов, гарантия их производительности, гибкое масштабирование разрабатываемых систем - основные фокусы современного продукта Plesk О процессах разработки : https://goo-gl.ru/5a7Y Обязанности: обеспечивать необходимый уровень надежности сервисов предоставление рекомендаций к архитектуре сервисов обеспечение масштабируемости и высокодоступности сервисов мониторинг и автоматизация всех процессов жизнедеятельности сервиса. прогнозирование и предотвращение сбоев в работе сервиса реакция на инциденты и проведение последующего анализа Мы ожидаем, что Вы: имеете опыт обслуживания сервиса с реальной нагрузкой - от 6 месяцев. имеете опыт работы с UNIX-системами более трех лет; уже занимались ранее построением и администрированием высоконагруженных отказоустойчивых систем; понимаете как обеспечить работу сервиса 24/7; способны настроить мониторинг для сервиса и понимаете полученные графики, можете делать выводы на их основе; умеете программировать (python, bash, go); умеете работать с Ansible; уровень английского языка - от Intermediate Будет плюсом: опыт работы с Docker опыт работы с Kubernetes опыт работы с Amazon Web Services опыт работы с Zabbix, Prometheus, Grafana, ELK. опыт работы с Jenkins или GitLab CI Важные для нас soft skills: Коммуникабельность. Работа предполагает активное взаимодействие с различными командами разработки. Обучаемость. Идеально, если вы считаете себя T-shape сотрудником - &quot;вы эксперт в одной области и имеете широкий кругозор и опыт в смежных областях&quot;. Аналитический склад ума. Также очень важно, если вы способны объяснять сложные вещи простыми словами. Ответственность. Работа предполагает запуск, эксплуатацию нагруженных сервисов с большим количеством посетителей. Пара слов о том, как мы работаем: Используем современный стек технологий Отправляем разработчиков прокачивать свои навыки на профессиональных конференциях в столицы и за рубеж Даем возможность разрабатывать и внедрять собственные фичи в узаконенный Research Day и делиться полученными знаниями с коллегами на регулярных Tech Talks Помогаем совершенствовать разговорный английский с лучшими преподавателями - бесплатно, на территории офиса. Поддерживаем в релокации: выплачиваем безвозмездный бонус за переезд в размере одного оклада в первые 2 недели работы",Без требований,Без обязанностей,Без условий,Unix|Ansible|Английский язык|Python|Docker|Kubernetes|Amazon,4
366,366,devops,Новосибирск,165428.57142857142,210333.3333333333,Студия Разработки,2019-10-11T14:24:13+0300,От 3 до 6 лет,Полный день,Полная занятость,"Федеральная компания (направление FinTech). У нас более 30 разных проектов, по которым постоянно разрабатывается новый функционал и производится интеграция с разными сервисами. Один из проектов – это система управления бизнес-процессами на базе микросервисной архитектуры. Интересные задачи: · Установка среды публикации на существующих и новых проектах компании. · Разработка процесса публикации проектов для разработчиков. · Контроль публикации изменений проектов. · Разработка среды тестирования проектов. · Консультирование разработчиков и администраторов системы. Что ждём от кандидата: · Общий опыт разработки - 3+ лет · Настройка репозитория GIT, знания GIT-flow · Разворачивание и настройка любой среды CI/CD (плюсом знание TeamCity) · Умение работать как на новых так и на уже существующих проектах · Docker · OS Windows. Unix · Bash &amp; shell script · Желательно (будут дополнительным плюсом): · MS Build &amp; Deploy, знание архитектуры C# проектов и .NET архитектуры · Опыт работы с MS SQL 2016 · Виртуализация HyperV / VMWare · Опыт администрирования Unix Windows систем, Exchange, Zabbix, HAproxy, RabbitMQ Предлагаем: · Возможность профессионального и карьерного развития в компании. · Официальное трудоустройство согласно ТК РФ с первого дня. · Заработная плата по договоренности · Место работы: г. Новосибирск, 5 минут от ст.м. Октябрьская. · График работы: пятидневная рабочая неделя с 9-00 до 18-00.",Без требований,Без обязанностей,Без условий,Без ключевых навыков,7
197,197,devops,Новосибирск,165428.57142857142,210333.3333333333,Skyeng,2019-09-30T12:18:27+0300,От 1 года до 3 лет,Удаленная работа,Полная занятость,"Мы в Skyeng меняем традиционное образование с помощью технологий. Сейчас в нашей IT-команде более 250 сотрудников, включая 70+ разработчиков. Наша разработка — это 14 независимых и быстрых продуктовых команд с опытными тимлидами и продактами. Наши продукты — это онлайн-платформа Vimbox, Android и IOS-приложения, словари, браузерные расширения, внутренние CRM и финансовые системы. В 2018 году Skyeng войдет в топ 10 IT-компаний России. Важнейшая составляющая нашей разработки — это инфраструктура . Благодаря ей мы умеем деплоить каждый день десятки раз, максимально быстро предотвращать и реагировать на инциденты. Наша инфраструктура — это более 100 железных серверов и виртуальные машины в AWS. Мониторинг у нас построен на основе Zabbix, New Relic, Sentry, Kibana. А деплой с помощью Jenkins &amp; Capistrano. Инфраструктура разработки - классический LNPP стек (для полнотекстового поиска: linux, nginx, postgresql, php) Для общения и документации у нас современные инструменты: slack, hangouts, JIRA, confluence, github. Мы не любим бюрократии : мы не боимся ошибаться, а если так происходит, то проводим post mortem, разбираем ошибки и работаем дальше. Наш идеальный кандидат: Имеет лидерские навыки, опыт и желание вертикального роста Готов работать удаленно; Имеет желание развиваться в сфере DevOps (знание linux); Имеет понимание и стремление следовать принципу Infrastructure as Code; Опыт работы с Docker в продакшн Опыт работы с Jenkins будет плюсом (речь именно о написании groovy кода); Имеет стремление автоматизировать рутинные задачи; Имеет желание обучаться новому и обучать окружающих. Чем придётся заниматься: Улучшать существующий процесс разработки; Внедрять докер в процесс разработки и эксплуатации; Автоматизировать процессы управления серверами (ansible); Построением отказоустойчивой архитектуры PHP приложений; Быть готовым решать критические проблемы безотлагательно; Ежедневно повышать уровень DevOps компетенций в своей команде. Что мы даем взамен: Возможность удаленно работать Интереснейшая работа в компании в условиях роста 3х в год - прямо школа по масштабированию приложений; Участие в переходе компании из old-style infrastructure в container-based infrastructure; Влияние на процессы разработки во всей компании (самой крупной онлайн-школе английского в Восточной Европе); Мы предлагаем вам расти вместе со школой. Skyeng растет в 3 раза каждый год, сотрудники растут быстрее. Возможности для развития и роста безграничны; Оплачиваемые отпуск и больничные; Скидка 50% на уроки английского вам и вашему другу; Зарплата 2 раза в месяц (к сожалению, каждый раз только по половинке зарплаты).",Без требований,Без обязанностей,Без условий,Linux,18
161,161,devops,Новосибирск,165428.57142857142,210333.3333333333,ARTOX,2019-10-04T16:44:17+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Команда разработки Минского офиса в поисках DevOps engineer (с возможностью релокации из других стран). У нас есть классные бенефиты, ведь мы: постоянно развиваем своих сотрудников и организовываем бесплатные курсы по английскому языку планируем профессиональное и карьерное развитие (“карьерный лифт”) при релокации сотрудника из другой страны первое время оплачиваем ему жилье предоставляем возможность приобретения техники в личное пользование с полной или частичной компенсацией расходов организовываем тимбилдинги и яркие корпоративные праздники обустроили зоны отдыха, где можно сжечь на тренажерах калории или покататься на качелях — в общем, устроить самый настоящий chill out! открыли собственное корпоративное кафе в офисе дарим подарки на Дни Рождения и годовщины работы в компании а еще у нас есть программа лояльности для сотрудников (ты можешь ходить по скидкам в разные заведения наших клиентов). Обязанности: работа в тесном контакте с командой разработки для поддержки и оптимизации разрабатываемых систем и серверов; проектирование и настройка логики работы системы; управление, производительность, настройка баз данных и серверов приложений, настройка на их основе кластеров и HA-систем, периодическое обновление ПО; сохранение и укрепление стабильности и безопасности развития инфраструктуры проектов ,и, главное - решение возникающих при этом всем проблем; оптимизация веб-приложений и баз данных; предоставление отчетов 24/7 о статусе работы продукта. Требования: опыт администрирования Windows/Linux систем; опыт работы с ESXi и AWS; опыт администрирования Web и Application серверов (nginx, apache, etc); опыт администрирования и оптимизации Баз Данных (MySQL, Postgre, etc); использование при этом инструментов для автоматизации провижининга и доставки изменений (опыт работы и настройки Ansible/Chef/Puppet); знание скриптовых языков программирования (bash, perl, python или ruby); знакомство с ITIL методологией. Что предлагаем мы: работу в команде, создающей проекты международного уровня - каждый день вы будете ощущать пользу от своей работы для ваших друзей и знакомых; современный стильный офис (2 мин. от ст. м. «Парк Челюскинцев») с собственным кафе, спорт. зоной и релакс-зоной; тимбилдинги и запоминающиеся корпоративные мероприятия; высокую оплату труда и полный соц. пакет. ARTOX Lab - резидент ПВТ; мы научим передвигаться по офису на скейте и самокате! ДАВАЙТЕ СКОРЕЕ К НАМ!",Без требований," работа в тесном контакте с командой разработки для поддержки и оптимизации разрабатываемых систем и серверов; проектирование и настройка логики работы системы; управление, производительность, настройка баз данных и серверов приложений, настройка на их основе кластеров и HA-систем, периодическое обновление ПО; сохранение и укрепление стабильности и безопасности развития инфраструктуры проектов ,и, главное - решение возникающих при этом всем проблем; оптимизация веб-приложений и баз данных; предоставление отчетов 24/7 о статусе работы продукта. ",Без условий,Oracle Application Server|Настройка серверов Apache|Администрирование серверов Linux|MySQL|Linux|PostgreSQL|ITIL|Bash|Perl|Python,14
764,764,devops,Новосибирск,165428.57142857142,210333.3333333333,С7 Информационные технологии,2019-10-09T23:58:14+0300,От 1 года до 3 лет,Полный день,Полная занятость,"S7 IT — одно из ключевых подразделений холдинга S7. Мы занимаемся разработкой собственного ПО, развитием и поддержкой IT-инфраструктуры, обеспечиваем автоматизацию бизнес-процессов. Сейчас мы в поисках DevOps-инженера с опытом работы системного администрирования и желанием развиваться в области построения распределенных и отказоустойчивых решений. Чем предстоит заниматься: Развивать и сопровождать внутреннюю платформу на базе таких продуктов, как: Kubernetes/OpenShift Consul Vault HAProxy Nginx Prometheus Elastic stack Kafka Gitlab CI Terraform Обеспечивать поддержку DevOps инженерам и Тимлидам команд разработки, использующих платформу для своих продуктов. Наши ожидания от кандидатов: опыт работы с ОС Linux: RHEL, CentOS опыт работы с системами управления конфигурациями (Ansible будет плюсом); навыки написания скриптов: bash/python; опыт работы с git, docker, Gitlab CI; опыт работы с системами мониторинга Prometheus/Zabbix, Grafana. Плюсом будет опыт работы с GrayLog/Elastic stack, Kubernetes/Openshift, LB - Nginx/HAProxy; с системами хранилищ конфигураций Consul/etcd/ZooKeeper, брокеров сообщений Kafka/Rabbitmq и знакомство с системами виртуализации (VMWare/KVM). Об условиях. Мы работаем в современном и комфортном офисе в минуте ходьбы от ст.м. Октябрьская. Ежегодно посещаем лучшие ИТ-конференции, организуем тренинги и ведём внутренний проект обмена знаниями «Talk about IT». У нас официальное трудоустройство, &quot;белая&quot; заработная плата, полный соцпакет. Всей семьей летаем по корпоративным тарифам самой пунктуальной российской авиакомпанией - S7 Airlines.",Без требований,Без обязанностей,Без условий,Без ключевых навыков,8
735,735,devops,Новосибирск,165428.57142857142,210333.3333333333,Bacup IT,2019-10-09T12:44:12+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Компания «БЭКАП ИТ» ищет DevOps инженера в свой молодой и перспективный проект по разработке и поддержанию корпоративных приложений для западного рынка. Нашей команде требуется специалист с опытом работы от 2 лет, который сможет организовать процесс автоматизации разработки, релизов, DevOps, оптимизировать текущую инфраструктуру. Нашему идеальном кандидату нравится заниматься автоматизацией, быть самостоятельным, делать продукт лучше, оптимизировать свою работу и помогать в этом коллегам. Наш продукт - это платформа для создания линейки решений: управление бизнес-процессами (BPMN), распределенные хранилище данных, управление и планирование работы компании. Стэк технологий и инструментов с которым мы работаем: Java, Java EE, JS, Typescript, Angular 7, CSS, SQL, Git, Docker, Kubernetes, Jira, Confluence. Мы предлагаем: стабильную &quot;белую&quot; заработную плату и регулярный ее пересмотр, премии, уроки английского и немецкого за счет компании, гибкий график работы. Став частью нашей команды, Вы сможете делать интересные продукты и решать сложные задачи! Ждем Ваше резюме! Обязанности: Обеспечение бесперебойной работы сервисов Автоматизация задач администрирования Взаимодействие с разработчиками, системными администраторами, менеджерами, координация команд по смежным областям Внедрение и разработка сценариев CI Внедрение проектов, решение проблем интеграции, написание инструкций Требования: Профильное или техническое образование Опыт работы (от 2 лет) Понимание принципов, специфики и настройки Continuous Integration Опыт системного администрирование Linux-like OS (Debian, Ubuntu) Знание сетевых протоколов, понимание того, как устроен стек TCP/IP Знание одного из скриптовых языков (Bash, Python и т.п.) Знание языка SQL Опыт настройки CI и CD систем Gitlab Практический опыт работы со средствами организации командной работы (TFS, JIRA и другие) Плюсом будет: Опыт участия в долгосрочных проектах Знания системы контроля версий Git, сборки проектов Maven Опыт работы с npm Знания Git Flow Опыт практического использования систем контейнеризации/Понимание принципов контейнеризации Docker Опыт работы/администрирования PostgreSQL и\или MySQL Опыт работы с серверами приложений Wildfly Опыт работы/администрирования Nginx Условия: Заработная плата по итогам собеседования Трудоустройство по ТК РФ Стабильная &quot;белая&quot; заработная плата Перспектива профессионального развития и самореализации Гибкий рабочий график Современный офис в центральном районе‚ недалеко от станции метро Молодой и дружный коллектив Курсы английского и немецкого языка и занятия спортом"," Профильное или техническое образование Опыт работы (от 2 лет) Понимание принципов, специфики и настройки Continuous Integration Опыт системного администрирование Linux-like OS (Debian, Ubuntu) Знание сетевых протоколов, понимание того, как устроен стек TCP/IP Знание одного из скриптовых языков (Bash, Python и т.п.) Знание языка SQL Опыт настройки CI и CD систем Gitlab Практический опыт работы со средствами организации командной работы (TFS, JIRA и другие) Плюсом будет: Опыт участия в долгосрочных проектах Знания системы контроля версий Git, сборки проектов Maven Опыт работы с npm Знания Git Flow Опыт практического использования систем контейнеризации/Понимание принципов контейнеризации Docker Опыт работы/администрирования PostgreSQL и\или MySQL Опыт работы с серверами приложений Wildfly Опыт работы/администрирования Nginx "," Обеспечение бесперебойной работы сервисов Автоматизация задач администрирования Взаимодействие с разработчиками, системными администраторами, менеджерами, координация команд по смежным областям Внедрение и разработка сценариев CI Внедрение проектов, решение проблем интеграции, написание инструкций ", Заработная плата по итогам собеседования Трудоустройство по ТК РФ Стабильная &quot;белая&quot; заработная плата Перспектива профессионального развития и самореализации Гибкий рабочий график Современный офис в центральном районе‚ недалеко от станции метро Молодой и дружный коллектив Курсы английского и немецкого языка и занятия спортом,Linux|Администрирование серверов Linux|Docker|CI/CD|Ubuntu Server|Настройка VPS/VDS серверов|Nginx|Техническая поддержка|MySQL|PostgreSQL,9
1062,1062,devops,Новосибирск,165428.57142857142,210333.3333333333,Petrosoft Inc.,2019-10-13T17:00:05+0300,От 3 до 6 лет,Удаленная работа,Полная занятость,"DevOps (remote work. full-time) USA продуктовая компания Petrosoft LLC существует с 2002 года. Компания более 15 лет на рынке, является партнером SAP. IBM . MIcrosoft Технический лидер в области разработки back office систем управления заправочными станциями и топливной дистрибуцией,а так же software для retail и ресторанного бизнеса. Проекты (продукты) petrosoftinc.com/join-the-ecosystem Стек технологий : PHP 7.1 / 7.2, Symfony 3.4 / 4.1+, сервера очередей, Informix / MySQL/ Mongo Сейчас необходим Devops specialist который примет участие в отладке автоматизации жизненного цикла наших приложений и формировании команды DevOps в компании Задачи : Автоматизация процессов выката и управления жизненным циклом комплекса микро-сервисных приложений в облачной экосистеме Организация и настройка деплоя наших продуктов с помощью VSTS Участие в развитии и повышении высокой доступности собственной IaaS/PaaS экосистемы Контроль версий компонентов, выкатываемых на окружение Разработка и улучшения инструментов конфигурирования и выката. Поддержка процессов сборки, развертывание и тестирования кода (Continous Integration) на языках PHP/Java/C++, создание облачной инфраструктуры на база Docker внедрение лучших практик DevOps в командах Petrosoft, экспертное участие в разработке концепции DevOps, сопровождение текущей инфраструктуры high-load проектов, решение задач по развертыванию собственных приложений компании (от тестов до production), развертывание облачной инфраструктуры на docker и создание внутренних утилит, постоянное взаимодействие с командами проектов для обеспечения работоспособности высоконагруженных сервисов 24х7, разработка новых сценариев развертывания сервисов, мониторинг работы инфраструктуры, анализ производительности, доступности и емкости, конфигурирование и оптимизация работы инфраструктуры, планирование развития инфраструктуры, исходя из задач бизнеса. Требования: Умение разбираться с новыми продуктами и технологиями, опыт настройки деплоя наших продуктов с помощью VSTS будет плюсом знания основ работы Docker, TeamCity/Jenkins, понимание концепций Continuous Integration и Continuous Delivery, умение писать скрипты на Bash, Golang, PHP, опыт с Docker swarm, Ansible опыт работы в аналогичной сфере от 5-х лет, понимание принципов отказоустойчивости и масштабирования приложений, знание систем контроля версий (Git), умение писать на скриптовых языках (PHP, Shell), опыт работы с веб-серверами (Nginx, HAProxy). Размер и структура команды Команда R&amp;D более 150 человек, проектные команды 15-20 чел География нашей компании США, Европа,СНГ Условия: График работы: гибкий, 8-ми часовой рабочий день, 5 дней в неделю, основное время с 10:00 до 19:00. Митинги 11:00- 15.00 Полностью удаленная работа Конкурентная заработная плата, выплата в $"," Умение разбираться с новыми продуктами и технологиями, опыт настройки деплоя наших продуктов с помощью VSTS будет плюсом знания основ работы Docker, TeamCity/Jenkins, понимание концепций Continuous Integration и Continuous Delivery, умение писать скрипты на Bash, Golang, PHP, опыт с Docker swarm, Ansible опыт работы в аналогичной сфере от 5-х лет, понимание принципов отказоустойчивости и масштабирования приложений, знание систем контроля версий (Git), умение писать на скриптовых языках (PHP, Shell), опыт работы с веб-серверами (Nginx, HAProxy). Размер и структура команды Команда R&amp;D более 150 человек, проектные команды 15-20 чел География нашей компании США, Европа,СНГ ",Без обязанностей," График работы: гибкий, 8-ми часовой рабочий день, 5 дней в неделю, основное время с 10:00 до 19:00. Митинги 11:00- 15.00 Полностью удаленная работа Конкурентная заработная плата, выплата в $",docker|Jenkins|BigFix|SCCM|Linux|Администрирование серверов Linux,5
756,756,devops,Новосибирск,165428.57142857142,210333.3333333333,Tele2,2019-10-09T17:26:13+0300,От 1 года до 3 лет,Полный день,Полная занятость,"DevOps engineer ( Big Data ) Кого мы ищем: Самостоятельного, убедительного, амбициозного человека, с лидерскими качествами, стремящегося к построению качественных автоматизированных процессов разработки программного обеспечения. Что мы предлагаем: У нас ты сможешь развиваться в области Big Data, работать с современными технологиями работы с большими данными (Teradata, Hadoop, Spark, Kafka, Hive, Impala и многие другие), реализовывать уникальные технические решения и планомерно снижать Time To Market разработки Развиваться технологически постоянно расширяя свои компетенции и профиль используемых продуктов и фреймворков. Работать с командой амбициозных людей, увлеченных своим делом и проектом Разрабатывать востребованный продукт и получать четкий фидбэк от пользователей Работать в компании, где тебя слышат и ценят твой вклад Получить профессиональный рост (у нас есть тренинги, конференции, сильная команда, которая готова делиться знаниями и в которой можно быстро расти) Приходи к нам если ты хочешь работать к компании где действительно есть Big Data, и ты готов этим заниматься Что планируем сделать: Автоматизируем процесс разработки Структурируем потоки данных. Построим хранилище для данных. Сделаем централизованную и прозрачную обработку данных. Подготовим витрины данных для конечных пользователей. Решим множество амбициозных бизнес-кейсов. На практике это значит, что мы будем решать следующие задачи: Создавать различные среды (DEV/TEST/PROD) для экосистемы Hadoop. Разрабатывать пайплайны доставки, сборки и тестирования Автоматизировать различные системные операции Исследовать новые продукты, которые помогут сделать нашу жизнь проще. Что для нас важно в тебе: Широкий технический кругозор Знание ОС Linux на уровне системного администратора Уверенно владеешь инструментами организации процессов CI/CD (Gitlab, Artifactory, Jenkins, TeamCity и пр.) Владеешь скриптовыми языками (bash, python) Имеешь опыт работы с системой контроля версий git Не обязательно, но будет очень здорово, если ты: Имеешь опыт работы с системами управления конфигурациями (предпочтительно Ansible) Профильный опыт автоматизации CI/CD в экосистеме Hadoop Опыт работы с Docker / Kubernetes Что есть у нас и чем готовы делиться: Реальная Big Data, которая очень востребована в бизнесе Современное “железо” Работа в шикарном бизнес центре класса А ст.м. Румянцево, витаминный заряд из фруктов каждую неделю Полное соответствие ТК РФ. Конкурентная заработная плата - оклад и годовой бонус Гибкий график работы, возможность начала рабочего дня с 8:00 до 10:00, короткая пятница Возможность профессионального и карьерного роста (у нас есть внутреннее обучение, возможность посещать конференции, митапы, хакатоны) Расширенная медицинская страховка в России и за пределами страны - даже для любителей черных горнолыжных трасс Компенсация затрат на мобильную связь Дополнительные материальные выплаты (пособия при рождении ребенка, вступлении в брак и т.п.) Компенсация занятий спортом через год работы Зеленый свет для новых идей и предложений: мы часто делаем то, на что другие не отваживаются",Без требований,Без обязанностей,Без условий,Python|Git|Linux|Bash|Управленческие навыки,9
