,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills,days
1048,1048,frontend,Новосибирск,25000.0,70000.0,Тэглайн,2019-09-19T12:28:03+0300,От 1 года до 3 лет,Гибкий график,Полная занятость,"О нас Привет. Пожалуйста, внимательно прочитайте всю вакансию и посмотрите наши проекты перед тем, как откликнуться. В первом сообщении просим написать краткий текст о том, как вы видите свою работу у нас. Наши основные проекты — система отображения рейтингов, анкета для сбора информации, каталог компаний digital-рынка, крупнейшее в России кадровое исследование, масштабные учебные курсы с лидерами рынка, Tagline Awards, Digital-календарь, Летопись, Библиотека, Энциклопедия и другие. Frontend-разработчик с php-скиллами в Новосибирске Должностные обязанности Требуются знания backend-стека (php / Yii / MySQL) и умение сверстать и заставить работать страницу при наличии адекватного макета. Требуется оперативно влиться в процесс разработки наших текущих проектов, а также приступить к созданию новых; впитывать в себя компетенции коллег-девелоперов и менеджеров, и впоследствии забрать себе некоторые направления и проекты. Чем нужно будет заниматься: — Проектирование и разработка интернет-сервисов — Работа с подрядчиками: создание гайдов, написание ТЗ, контроль, прием работы, интеграция кода в инфраструктуру компании, деплой, тестирование — Ведение хорошей документации по собственным проектам и направлениям — Верстка новых страниц: рейтинговых проектов, сервисов — Рефакторинг уже сверстанных страниц и административных интерфейсов — Поиск и разработка frontend-решений — Реализация анимации и эффектов — Оптимизация технологического стека и политик разработки. В перспективе — разработка продвинутых frontend-приложений, административных интерфейсов с применением современных технологий. Ваша сфера ответственности также может включать (а может и нет) все, что связано с поиском / созданием / обработкой / ресайзом различных визуалов: логотипов, иконок, фотографий, картинок, баннеров, графиков и макетов. Мы — компания, которая за 9 лет сформировала российский рынок заказной веб-разработки и digital-маркетинга с помощью своих информационных и сервисных продуктов. Чем мы лучше стартапа? — Результаты вашего труда будут доступны публично уже через несколько недель работы. — Мы точно не закроемся завтра, через месяц и через год из-за кризиса или нехватки инвестиций (мы их не брали и пока не собираемся), вы можете видеть многолетнюю историю проектов и учиться проектировать на много лет вперед. — Вы знаете, чего от ваших проектов ждут пользователи и все гипотезы апробируете на реальной аудитории. — Большой спектр задач и разнообразие проектов, в разработке которых можно принимать участие, позволяет попробовать разные направления и выбрать те, что приносят больше профита/удовольствия. — Мы ведем проекты, рассчитанные на ключевых специалистов рынка веб-разработки и digital-маркетинга, а также крупнейших заказчиков этих услуг — проекты долгие, достаточно сложные и предполагают быстрое развитие скиллов по поддержке кода и развитию архитектуры. Чем мы лучше крупного предприятия? — Результаты вашего труда будут доступны публично уже через несколько недель работы. — Вы будете регулярно видеть реакцию пользователей наших сервисов на результаты своей работы, что очень мотивирует к быстрому и эффективному росту, а не разрабатывать 2 года маленькую процедуру в огромной системе, назначения которой вы даже не понимаете. — У вас будет регулярный доступ к учредителям и ключевым менеджерам компании, чей опыт вы сможете использовать в профессиональной деятельности и за ее пределами, в отличие от необъятного и неразговорчивого «Океана» из Соляриса в корпорациях. Предлагаемые условия Официально: — Работа в уютном офисе в центре Новосибирска — 8-часовой рабочий день, начало работы с 9–12 часов — Отпуск 2–3 раза в год до полутора месяцев в сумме, половина — оплачиваемая — Обучение и развитие внутри компании и за её пределами — Команда профессионалов, которым небезразлично ваше отношение к жизни, работе и профессии — Большой спектр задач и разнообразие проектов, в разработке которых можно принимать участие, позволяет попробовать разные направления и выбрать те, что приносят больше профита/удовольствия Неофициально: — Результаты вашего труда будут доступны публично уже через несколько недель работы — Вы будете регулярно видеть реакцию пользователей наших сервисов (это первые лица рынка веб-разработки и digital-маркетинга, а также крупнейшие заказчики этих услуг) на результаты своей работы, что очень мотивирует к быстрому и эффективному росту Требования: — Вы занимались разработкой интернет-проектов (официальное трудоустройство на прежних местах нас не интересует, но очень важно, чтобы до и во время работы у нас вы относились предельно цивилизованно к порядку в делах и отношениях), до этого несколько лет вы учились веб-технологиям и программированию в вузе или самостоятельно, но очень упорно и системно — Вы готовы отдать работе 100% своего рабочего времени, энергии и изобретательности — Вы умеете концентрироваться на одной задаче, но в состояний переключаться при необходимости — С вами приятно иметь дело, вы готовы тратить свое время и силы на понятные и публичные проекты, которые гарантированно будут жить еще много лет, в том числе, благодаря вам — Огромное внимание к деталям — Стремление к качеству при умении укладываться в сроки — Готовность нести ответственность за разработанный продукт; понимание того, что ближайшие не менее 3–7 лет с ним будут работать редакторы и менеджеры, в его развитии будут принимать участие программисты и дизайнеры, а аудитория должна ежедневно получать удовольствие от его использования — Абсолютная бесконфликтность, спокойствие, рассудительность, умение находить компромиссы — Понимание того, что код считается написанным только когда он соответствует ТЗ, внедрен, протестирован во всех основных сценариях, сдан заказчику и заказчик считает, что этот код задачу решает — Готовность быстро расставаться со стереотипами — Желание и умение учиться всегда и везде — Сочетание усидчивости и инициативности — Умение разбираться в чужом коде; понимание того, что с вашим кодом будут работать коллеги — Умение быстро задавать вопросы коллегам лично или на форумах, а также искать, адаптировать и внедрять готовые и надежные решения, а не писать собственные плохие и ненадежные — Отличное знание HTML5 + CSS3 и CSS-фреймворка Bootstrap — Уверенное владение чистым JS и фрейворками (JQuery) — Понимание работы AJAX, XML, JSON — Кроссбраузерная верстка (все экраны, все ОС, все девайсы) — Адаптивная и отзывчивая верстка — Умение тестировать верстку и пользоваться сервисами по автоматизации тестирования верстки — Умение разбираться в чужом коде — Уверенное владение Adobe Photoshop — Умение быстро задавать вопросы коллегам лично или на форумах, а также искать, адаптировать и внедрять готовые и надежные решения, а не писать собственные Будет плюсом: — Git, Bitbucket и GitHub Flow — Использование в работе CSS-предпроцессоров (SASS, LESS) — Методология БЭМ, как минимум на уровне именования классов — Знание последних тенденций в средствах и методологиях верстки — Отличная коллекция анимаций, эффектов, картинок и иконок в арсенале — Опыт интеграции с Facebook, Twitter и Google Maps — Adobe Illustrator, Adobe Flash и InDesign — Чтение, как минимум, ста бизнес-линчей и «Ководства» Артемия Лебедева — Базовые бекэнд-скиллы, если вы хотите получать более комплексные задачи Желательны — JavaScript/Ajax/Json/jQuery, Bootstrap/Booster, методологии БЭМ и опыт работы с RESTful-приложениями. Приветствуется опыт работы с MVC-фреймворками — Yii или похожими (ASP.NET, CakePHP, CodeIgniter и различными CMS (1С-Битрикс, UMI, Drupal, Joomla!). Примечания Мы готовы побеседовать с вами и без резюме, если у вас есть сложность с его подготовкой. Наличие портфолио при рассмотрении вашей кандидатуры нас сильно порадует. Мы готовы работать как с опытными, так и с начинающими, но перспективными и способными к быстрому росту, специалистами. Первым готовы сразу же отдать сложные федеральные веб-проекты, вторым — возможность стажировки и обучения с параллельным вливанием в рабочий процесс. Офис — Вокзальная магистраль, м. Площадь Ленина. 8-часовой рабочий день, начало работы с 9–12 часов (по согласованию с вами). 0 Links",Без требований,Без обязанностей,Без условий,Без ключевых навыков,29
78,78,frontend,Новосибирск,25000.0,139208.33333333337,Zimalab,2019-10-01T06:12:36+0300,Нет опыта,Полный день,Полная занятость,"Ищем начинающего frontend разработчика (с опытом до полугода или без опыта) для создания клиентской части web проектов на JavaScript. Мы разрабатываем веб-приложения для клиентов из США, Европы и Австралии. Разнообразные проекты продолжительностью от 2-3 месяцев. Компания молодая и при отличных результатах работы, есть возможность быстрого роста вместе с компанией. С примерами проектов можно ознакомиться на нашем сайте http://zimalab.com/. Предлагаемые условия: Разработка интересных проектов на популярных JS фрэймворках Гибкий график работы, 40 часов в неделю Молодая и дружная команда Уютная кухня и самый вкусный кофе Корпоративные мероприятия Заработная плата от 25 т.р. Требования: Опыт работы до полугода или без опыта Образование среднее специальное, неполное высшее, высшее Обязательные знания: Понимание принципов работы web–приложений Знание JavaScript, jQuery Знание основ HTML, CSS Знание английского языка на уровне чтения технической документации Желание развиваться в области веб-разработки, нацеленность на результат Аккуратность при написании кода и адекватное восприятие критики Вашим преимуществом будет: Знание Gulp/Grunt/Webpack Опыт работ с js фреймворками (Angular, React, Vue.js) Опыт работы с JS-библиотеками соц.сетей: Facebook, Twitter, Google (Maps, Analytics) Опыт работы с системами контроля версий Git/Mercurial Опыт работы на уровне пользователя в среде *nix Ждем Ваше резюме!",Без требований,Без обязанностей,Без условий,JavaScript|jQuery|HTML5|CSS3|vue.js,17
115,115,frontend,Новосибирск,30000.0,80000.0,Вакио,2019-10-13T04:36:58+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Один очень крутой и востребованный продукт - система вентиляции и очистки воздуха Vakio, хочет усилить отдел маркетинга Front-end разработчиком. Вместе мы спасем не только нашу страну, но и весь мир. Будь нашим собратом по оружию. У нас очень круто: Внутри компании только демократичный стиль общения. Какие еще барьеры, бюрократия и офисная политика? Нет таких. У нас все открыты для диалога; Инициативность каждого поощряется особенно искренне и положительно; Твой карьерный и профессиональный рост – наш приоритет; Час в день на развитие профессиональных навыков – выделяешь, читаешь, смотришь, слушаешь, учишься; Интересные и веселые корпоративные мероприятия; Рабочие места отличает комфорт, а на мини-кухнях всегда есть чай и кофе. Адрес, время, про официальность: Офис рядом с метро Заельцовская (12 минут пешком) График работы с 9:00 или с 10:00; Оформление по нормам ТК и классная зарплата (оклад + бонусы) – всегда вовремя; Уровень заработной платы обсуждается индивидуально при личной встрече. Умеешь, знаешь, обладаешь? Обстрелян в бою и вообще твой опыт реален – хотя бы годика два, как минимум; Кроссбраузерная аккуратная верстка дизайн-макетов; Уверенно знаешь HTML5, CSS3 (Flexbox / Grid) и прочие jQuery. Создаешь мобильные версии сайтов; Умеешь верстать HTML + CSS, пользуешься препроцессором SASS. Знаешь CSS-фреймворк Bootstrap; Знаешь WordPress на уровне правки темы; Развернешь локальную копию сайта; Знаешь основные принципы юзабилити. А еще ты и у тебя: Горящие глаза, ответственность, и понимание важности поставленных задач (мотивация, интерес, креатив, безграничная мудрость и т.д. и т.п.); Хочешь учиться новым боевым приемам и техникам, а также умеешь GoogleИТЬ в поиске ответов на возникающие вопросы. Будут плюсом: Знания и опыт работы с React Native, RoR, Node.js; Опыт использования паттернов любого из JavaScript фреймворков; Знание и понимание css-препроцессоров; Работа со сборщиком проекта; Умение просто и доходчиво объяснять сложные вещи; Реалистичное прогнозирование сроков и сил для решения поставленных задач; Чувство юмора Заинтересован? Присылай свое резюме и ссылку на свой самый удачный проект! Ты нужен нам, боевой товарищ! Vakio нуждается в тебе!",Без требований,Без обязанностей,Без условий,HTML|Sass|JavaScript|jQuery|CSS3|Bootstrap|HTML5|CSS|Node.js|Кроссбраузерная верстка|CMS Wordpress|Креативность|Adobe Photoshop|Less|CorelDRAW|Грамотная речь|Грамотность|Управление временем|IBM Lotus Notes|Mac Os,5
167,167,frontend,Новосибирск,30000.0,139208.33333333337,Bacup IT,2019-10-09T12:45:04+0300,Нет опыта,Полный день,Полная занятость,"Компания «БЭКАП ИТ» ищет разработчиков в свой молодой и перспективный проект по разработке и поддержанию корпоративных приложений для западного рынка. Мы разрабатываем платформу для создания линейки продуктов: управление бизнес-процессами (BPMN), распределенные хранилище данных, управление и планирование работы компании. Стэк технологий и инструментов с которым мы работаем: Java, Java EE, JS, Typescript, Angular 7, CSS, SQL, Git, Docker, Kubernetes, Jira, Confluence Нашей команде требуются в первую очередь frontend-разработчики с опытом работы от 6 месяцев, которым нравится заниматься версткой и желающих развиваться в этом направлении, но также рассматриваем кандидатов с профильным образованием без опыта. Мы предлагаем: стабильную &quot;белую&quot; заработную плату и регулярный ее пересмотр, премии, уроки английского и немецкого за счет компании, гибкий график работы и возможность удалённой работы несколько дней в неделю. Если Вы захотите быть не просто сотрудником, но и участвовать в бизнесе, то после успешного прохождения испытательного периода Вам, возможно, будет предложен опцион. Став частью нашей команды, Вы сможете делать интересные продукты, решать сложные задачи и развиваться как специалист! Обязанности: · Участие в разработке проектов компании · Разработка сложных Web-приложений, расширений с использованием JavaScript/TypeScript и Angular 7 · Верстка HTML5/CSS3 Требования: · Знание и\или опыт работы JavaScript/TypeScript · Знание и\или опыт работы HTML5/CSS3 · Опыт работы с CSS-препроцессорами · Опыт работы с инструментами автоматизации и сборки (Gulp/Webpack) · Опыт работы с системами контроля версий, предпочтительно Git · Linux на уровне пользователя · Желание учиться новым технологиям и использованию новых языков программирования. Ключевые навыки: · HTML5 CSS3 JavaScript Ajax Angular AngularJS Git REST SPA ООП CSS TypeScript Плюсом будет: · Опыт работы с одним или несколькими популярными JS-фреймворками и библиотеками (Vue, React, Angular, D3), предпочтительно Angular 2+ · Владение Unix shell и скриптовыми языками · Базовые знания Java /JavaEE · Опыт работы с Material Design UI · Наличие проектов, примеры работ на GitHub (https://github.com/) Условия: · Заработная плата по итогам собеседования · Трудоустройство по ТК РФ · Стабильная &quot;белая&quot; заработная плата · Перспектива профессионального развития и самореализации · Гибкий рабочий график · Современный офис в центральном районе‚ недалеко от станции метро Маршала Покрышкина · Молодой и дружный коллектив · Курсы английского и немецкого языка · Компенсация спортивных занятий Офис компании находится по адресу: ул. Писарева, г. Новосибирск Ждем Ваше резюме! Просим обратить внимание: данная вакансия подразумевает нахождение в офисе компании полный рабочий день, после прохождения испытательного срока есть возможность при необходимости удаленной работы несколько дней в неделю. Также просим внимательно ознакомиться с требованиями к вакансии. Мы используем Angular. Если кандидату будет предложено выполнить тестовое задание, то его необходимо будет выполнить на Angular."," · Знание и\или опыт работы JavaScript/TypeScript · Знание и\или опыт работы HTML5/CSS3 · Опыт работы с CSS-препроцессорами · Опыт работы с инструментами автоматизации и сборки (Gulp/Webpack) · Опыт работы с системами контроля версий, предпочтительно Git · Linux на уровне пользователя · Желание учиться новым технологиям и использованию новых языков программирования. Ключевые навыки: · HTML5 CSS3 JavaScript Ajax Angular AngularJS Git REST SPA ООП CSS TypeScript Плюсом будет: · Опыт работы с одним или несколькими популярными JS-фреймворками и библиотеками (Vue, React, Angular, D3), предпочтительно Angular 2+ · Владение Unix shell и скриптовыми языками · Базовые знания Java /JavaEE · Опыт работы с Material Design UI · Наличие проектов, примеры работ на GitHub (https://github.com/) "," · Участие в разработке проектов компании · Разработка сложных Web-приложений, расширений с использованием JavaScript/TypeScript и Angular 7 · Верстка HTML5/CSS3 "," · Заработная плата по итогам собеседования · Трудоустройство по ТК РФ · Стабильная &quot;белая&quot; заработная плата · Перспектива профессионального развития и самореализации · Гибкий рабочий график · Современный офис в центральном районе‚ недалеко от станции метро Маршала Покрышкина · Молодой и дружный коллектив · Курсы английского и немецкого языка · Компенсация спортивных занятий Офис компании находится по адресу: ул. Писарева, г. Новосибирск Ждем Ваше резюме! Просим обратить внимание: данная вакансия подразумевает нахождение в офисе компании полный рабочий день, после прохождения испытательного срока есть возможность при необходимости удаленной работы несколько дней в неделю. Также просим внимательно ознакомиться с требованиями к вакансии. Мы используем Angular. Если кандидату будет предложено выполнить тестовое задание, то его необходимо будет выполнить на Angular.",HTML5|CSS3|JavaScript|Ajax|Git|Linux|XML|ООП|HTML|TypeScript|Angular|SPA|REST,9
49,49,frontend,Новосибирск,40000.0,60000.0,ерегистратор.ру,2019-10-09T09:39:31+0300,От 3 до 6 лет,Удаленная работа,Частичная занятость,"О сервисе: eRegistrator.ru 10 лет! Мы развиваем онлайн-сервис по подготовке документов для регистрации бизнеса, внесения изменений в Устав и ЕГРЮЛ, реорганизации и ликвидации компаний. В данном продукте нуждается огромный целевой рынок. В связи с развитием функционала сервиса, требуется Front-end Developer/ WEB разработчик. Необходим специалист, который не только может &quot;натянуть&quot; дизайн на CMS, а который, имеет практические знания в разработке интерфейсов для сложных сервисов на уровне взаимодействия фронта и сервера. Внимание! Для участия в конкурсе необходимо выполнить тестовое задание https://docs.google.com/document/d/1pT4H0FADEmfBkl3w2SDsFVVRXvmq-9x5c3cLYPl058Q/edit?usp=sharing и выслать ссылку на результат. Преимущества вакансии: 1. Удаленная работа. В компании все сотрудники работают удаленно, поэтому ваше текущее место жительства не имеет значения. 2. Гибкий график и гибкая загрузка. Вы сами можете определить свой график и количество времени для работы. Главное не то, когда вы работаете, а то, какой результат вы показываете. 3. Развитие экспертных навыков разработчика интерфейсов и практический опыт под контролем наставника. 4. Мы предлагаем разносторонние задачи, которые не позволяют &quot;заржаветь&quot; мозгу. Скучно точно не будет. 5. Участие в развитии федерального web-проекта действующего с 2009 года. Наш будущий специалист: имеет подтвержденный опыт работы Front-end Developer/ Верстальщик не менее 3 лет.; понимает принципы построения фронтенда и разбирается в HTML, CSS, уверенно применяет Ajax и, при необходимости, jQuery, умеет разобраться в существующей верстке и владеет нативным JavaScript, использует в работе наработки БЭМ; легко общается с back-end разработчиками на уровне составления спецификации; умеет работать с контролем версий Git, использовать графические редакторы; умеет планировать свое рабочее время с целью обеспечения оптимальной скорости работы в проекте; постоянно изучает современные технологии с целью саморазвития и поиска нестандартных решений. Обязанности: изучение поставленной задачи и согласование варианта решения; разработка браузерной части сервиса и обеспечение эффективного взаимодействия с сервером; активное взаимодействие со специалистом по back-end для реализации функционала сервиса; оптимизация существующей верстки и рефакторинг; ежедневное протоколирование результатов - задача/трудозатраты. Условия: Удаленная работа. В компании все сотрудники работают удаленно, поэтому ваше текущее место жительства не имеет значения. Гибкий график 3-4 часа ежедневно в рабочие дни. Главное не то, когда вы работаете, а то, какой результат вы показываете. Наставничество. Поддержка специалистов и консультации по всем вопросам работы сервиса и текущей архитектуры на стадии обучения и в дальнейшем. Стабильный доход, своевременные выплаты по понедельникам за предыдущую неделю в соответствии с утвержденными трудозатратами. Стоимость часа работы обсуждается индивидуально по результатам собеседования и выполненного тестового задания. Наша цель - предоставить лучший в отрасли функционал для предпринимателей и профессиональных участников рынка. Вы нам нужны, чтобы реализовать данную цель!",Без требований,Без обязанностей," Удаленная работа. В компании все сотрудники работают удаленно, поэтому ваше текущее место жительства не имеет значения. Гибкий график 3-4 часа ежедневно в рабочие дни. Главное не то, когда вы работаете, а то, какой результат вы показываете. Наставничество. Поддержка специалистов и консультации по всем вопросам работы сервиса и текущей архитектуры на стадии обучения и в дальнейшем. Стабильный доход, своевременные выплаты по понедельникам за предыдущую неделю в соответствии с утвержденными трудозатратами. Стоимость часа работы обсуждается индивидуально по результатам собеседования и выполненного тестового задания. Наша цель - предоставить лучший в отрасли функционал для предпринимателей и профессиональных участников рынка. Вы нам нужны, чтобы реализовать данную цель!",CSS3|HTML5|jQuery|json|Git|Кроссбраузерная верстка|JavaScript|Ajax,9
583,583,frontend,Новосибирск,50000.0,70000.0,ЭМА,2019-10-14T06:53:55+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: участие в проектах в роли разработчика frontend. Требования: javascript + npm Bootstrap 4 + jQuery ES6 + Webpack leaflet.js socket.io git Требуемый опыт работы: Middle Software Developer опыт работы с системами контроля версий Mercurial, Git технический английский язык. Условия: официальное трудоустройство по ТК РФ; офис по линии метро; работа над интересными проектами; профессиональный и личностный рост в дружной команде; конкретная категория и заработная плата определяются по результатам собеседования."," javascript + npm Bootstrap 4 + jQuery ES6 + Webpack leaflet.js socket.io git Требуемый опыт работы: Middle Software Developer опыт работы с системами контроля версий Mercurial, Git технический английский язык. ", участие в проектах в роли разработчика frontend. , официальное трудоустройство по ТК РФ; офис по линии метро; работа над интересными проектами; профессиональный и личностный рост в дружной команде; конкретная категория и заработная плата определяются по результатам собеседования.,Без ключевых навыков,4
829,829,frontend,Новосибирск,50000.0,139208.33333333337,Ворк,2019-10-15T05:30:19+0300,От 3 до 6 лет,Полный день,Полная занятость,"Кто мы Компания, которая начала свое развитие с открытия студенческого сервиса, ставшего теперь крупной сетью с филиалами в 16 городах РФ. Мы растем так быстро и успеваем так много благодаря отлично подобранной команде крутых специалистов. Сейчас у нас открывается новый проект, а в связи с этим — и новые вакансии. Кого ищем Человека, для которого словосочетание «работа в команде» — не пустой звук. Вы точно будете получать удовольствие от работы, если любите быть в кругу людей, создающих что-то интересное и приносящее пользу. Мы однозначно за поиск новых идей и решений, и нам нравится, когда новые сотрудники продолжают держать всю команду в тонусе своим желанием учиться и постоянной жаждой новой информации. Для чего Вы нужны нам, чтобы помогать: разработка и поддержка front-end части проектов компании. Именно с этого начнется Ваш рабочий процесс в нашей компании. Откликайтесь, если у Вас есть: высшее образование; опыт работы в аналогичной должности; хорошее знание JavaScript (jQuery и др. фреймворки), опыт работы с Ajax; уверенное знание HTML5 и CSS3, опыт кроссплатформенной и адаптивной верстки; знание основ PHP желательно; опыт работы с системой контроля версий Git; умение писать понятный и документированный код, который можно поддерживать; желание развиваться и изучать новые технологии. Мы вышлем тестовое задание, если Ваше резюме понравится руководителю отдела, а затем пригласим на собеседование. При взаимном желании сотрудничать, успешное собеседование закончится официальным трудоустройством по ТК РФ. График и рабочее место работа над большим, интересным и долгосрочным проектом; современное рабочее место; пятидневная рабочая неделя; рабочий день 8 часов + обед; офис в центре с оборудованной кухней; неограниченный доступ к провизии и свежесваренному кофе; открытое к общению руководство. Ждём Вашего отклика, хорошего дня!",Без требований,Без обязанностей,Без условий,Без ключевых навыков,3
749,749,frontend,Новосибирск,50000.0,139208.33333333337,Сибирский Медведь,2019-10-14T08:43:33+0300,От 1 года до 3 лет,Полный день,Полная занятость,"О компании: Компания &quot;Сибирский Медведь&quot; является оператором связи и предоставляет населению города Новосибирска, Кемеровской области, Алтайского края и Республике Алтай, Ижевск, Саратов услуги по доступу в интернет и просмотру телевизионных программ для частного сектора, а также домов малоэтажного строительства. Мы на рынке уже более 10 лет. В настоящий момент мы ищем в команду талантливого разработчика для участия в проекте программно-аппаратного комплекса облачного видеонаблюдения, системы Умного Дома, IoT. Нам нужен специалист для разработки кроссплатформенного мобильного приложения на React Native и пользовательского веб-приложения на ReactJS. Чем предстоит заниматься: - Работа над функционалом мобильного приложения - Разработка веб-интерфейса клиентского приложения - Создание удобных и современных пользовательских интерфейсов - Работа с потоковым видео и видео-архивом - Организация коммуникации клиентских устройств с оборудованием в связке с бэкендом (передача сигналов, двустороннее аудио) Что мы ожидаем от кандидата: - Уверенное владение React Native, React.js, Redux, Node.js, Webpack - Опыт разработки на TypeScript - Опыт сборки и отладки приложения под Android и iOS - Навыки кросс-браузерной адаптивной верстки - Опыт работы со сторонними сервисами авторизации и PUSH-нотификаций Будет плюсом: - Опыт работы с видеонаблюдением - Наличие портфолио с предыдущих мест работы - Образование - высшее техническое - Технический английский Что мы предлагаем: - Возможность участия в создании интересного продукта - Работа в перспективной и развивающейся сфере IoT - Офис в центре города - Перспективы для профессионального роста и развития - Возможность повышения до ведущего разработчика - Премии по результатам работы над проектом - в ключевые промежуточные этапы работы, при релизе и крупных апдейтах",Без требований,Без обязанностей,Без условий,React Native|React.js|Redux|Node.js|Webpack|TypeScript|Android|iOS|IoT,4
