,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills,days
255,255,fullstack,Новосибирск,40000.0,135062.5,Агентство бизнес решений Концепция,2019-10-01T12:21:04+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Мы - одна из ТОПовых веб-студий Новосибирска! Наша главная специализация: разработка и развитие интернет-магазинов под ключ. Работая в сегменте больше 12 лет мы постоянно развиваемся и растем, и вот сейчас в нашу команду требуется веб-разработчик. Хочешь стать ценным специалистом и найти свое место в перспективном сегменте рынка? Читай условия - отправляй отклик и приходи работать к нам! Требования: Образование: неполное высшее или высшее; График работы: полный рабочий день (возможен гибкий график и удаленная работа); Опыт работы: от 1 года. Навыки: Знание PHP, опыт работы с PHP 5+, PHP 7; Знание SQL, опыт работы с MySQL 5+; Практическое применение ООП; Владение jQuery; Пользовательский опыт в среде *nix; Знание английского языка на уровне чтения технической документации. Будет плюсом: Знакомство с какими‐либо распространенными CMS — системами управления контентом (Drupal, WordPress, 1С Битрикс); Опыт вёрстки: HTML (XHTML), CSS; Опыт работы с Bootstrap; Опыт работы в команде. Условия: Официальное трудоустройство ТК РФ; Полная занятость (но с гибким графиком). Возможна удаленная работа из дома. Молодое адекватное руководство."," Образование: неполное высшее или высшее; График работы: полный рабочий день (возможен гибкий график и удаленная работа); Опыт работы: от 1 года. Навыки: Знание PHP, опыт работы с PHP 5+, PHP 7; Знание SQL, опыт работы с MySQL 5+; Практическое применение ООП; Владение jQuery; Пользовательский опыт в среде *nix; Знание английского языка на уровне чтения технической документации. Будет плюсом: Знакомство с какими‐либо распространенными CMS — системами управления контентом (Drupal, WordPress, 1С Битрикс); Опыт вёрстки: HTML (XHTML), CSS; Опыт работы с Bootstrap; Опыт работы в команде. ",Без обязанностей, Официальное трудоустройство ТК РФ; Полная занятость (но с гибким графиком). Возможна удаленная работа из дома. Молодое адекватное руководство.,CSS|MySQL|JavaScript|PHP|HTML|jQuery,17
10,10,fullstack,Новосибирск,50000.0,70000.0,Scrile,2019-10-02T04:39:36+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Мы ищем fullstack-разработчика для доработки сайтов наших клиентов на базе флагманского продукта компании. Scrile современная IT компания. У нас принято с заботой относиться к клиентам и сотрудникам. Наша компания занимается разработкой B2B продуктов необходимых для создания собственного бизнеса видео вещания, полностью управляемого через Интернет. Мы работаем с клиентами из США, Англии, Германии, Бразилии и многих других стран. Важно! Чтобы попасть на собеседование, необходимо откликнуться на вакансию и написать краткий рассказ о себе. Обязанности: доработка клиентской части web-приложений верстка макетов с использованием HTML, CSS, Javascript интеграция макетов дизайна с нашей системой Мы ожидаем: уверенное владение HTML, CSS, Javascript умение разбираться с чужим кодом Будет бонусом: владение одним из языков серверного программирования Java, JSP, PHP знание SCSS, jQuery опыт работы с Git Условия работы: персональный ментор на этапе адаптации удобный офис в Технопарке Академгородка дружный коллектив чай, кофе, печенье и прочее питание за счёт компании бесплатные завтраки и обеды компенсация оплаты тренажерного зала и занятий фитнесом возможность совмещения с учебой возможность смещения графика работы при необходимости бонусы по результатам работы полный соц пакет согласно ТК Мы работаем на рынке IT уже 17 лет. Для успешного развития нам нужен надёжный человек с которым мы будем достигать общих целей в течении многих лет.",Без требований,Без обязанностей,Без условий,JSP|Java|JavaScript|HTML|CSS|Git|jQuery,16
525,525,fullstack,Новосибирск,60000.0,135062.5,Д2 Страхование,2019-10-07T06:02:13+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Акционерное общество «D2 Страхование» – компания с 27-летним опытом работы на российском финансовом рынке. Профильным направлением деятельности АО «D2 Страхование» является страхование в B2B-сегменте. Требуется Full-Stack разработчик с опытом разработки на PHP и JS, в штат для работы в офисе - разработка и администрирование фронтовых систем продаж (B2B, B2C). Мы предлагаем тебе интересную работу в команде квалифицированных специалистов, масштабные проекты, стабильный доход, отличные перспективы профессионального развития. Тебя ждут следующие задачи: - Участие в создании и развитии фронтовых систем продаж; - Работа в тесном сотрудничестве с Product and Sales-менеджерами для разработки и администрирования систем продаж. От тебя ожидают: - Наличие опыта разработки интернет-магазинов, личных кабинетов, интеграций с внешними сервисами (платежные и учетные системы, системы аутентификации). Обязательно: - Высшее образование; - Владение английским языком. У нас работают, потому что: - Мы ценим доверие своих коллег, поэтому предлагаем официальную белую заработную плату (уровень обсуждается с успешным кандидатом на собеседовании) и трудоустройство по ТК РФ; - Мы помогаем друг другу во всех начинаниях и идеях, а наших новых сотрудников у нас поддерживают наставники; - Нам важно наше развитие, поэтому мы даем возможность пробовать себя в новых задачах, если у тебя к ним есть интерес; - Мы заинтересованы повышении квалификации наших сотрудников, поэтому предлагаем обучение за счет компании , в т.ч. МВА с возмещением расходов до 80% за счёт средств работодателя; - Для комфортной работы наш офис находится в центре Новосибирска (3 мин.от метро пл.Ленина); - В Нашем офисе есть своя кофейня с бесплатным чаем/кофе. Хочешь работать с нами? Отправляй отклик! С вакансией мы работаем так: отклик - встреча - тестовое задание. До встречи!",Без требований,Без обязанностей,Без условий,PHP|JavaScript|MySQL|HTML|Linux|AngularJS,11
44,44,fullstack,Новосибирск,70000.0,120000.0,Шпак Виктория Сергеевна,2019-10-07T12:41:11+0300,От 1 года до 3 лет,Удаленная работа,Полная занятость,"К команде разработки компании ООО Туласофт приглашает присоединиться full-stack разработчика (JS/ASP.NET) Проект: High-load тизерная сеть, целевые параметры - десятки миллионов запросов в сутки, порядка сотни миллионов тизеров в сутки. Стек технологий компании: ASP.NET Core, SQL Server, PostgreSQL, Entity Framework 6, HTML, CSS, JavaScript, SASS/LESS, jQuery. Используем микросервисную архитектуру, различные фронт-энд фреймворки и инструменты (e.g. Angular 2+, npm), Yandex ClickHouse. Чем нужно будет заниматься: - проектированием и разработкой веб-сервиса; - писать понятный, оптимальный код; - разрабатывать новые фичи и многое другое. От кандидата ожидаем: - опыт коммерческой разработки от 2-х лет; - опыт в проектировании и разработке высоконагруженных веб-сервисов с использованием: ASP.NET MVC 4, 5, или ASP.NET Core; - опыт работы с HTML, CSS, JavaScript, angular 4+; - опыт работы с SQL (преимущественно SQL Server или PostgreSQL); - опыт работы с Entity Framework 6; - желание изучать современные технологии; - самостоятельность и ответственность; - опыт работы с git; - опыт работы в команде/удаленно; - английский на уровне чтения технической литературы. Будет большим плюсом: - опыт разработки с использованием vanilla.JS; - опыт работы с clickhouse; - английский (устное общение, чтение документации и требований); От нас: - заработная плата от 70 т.р. до 120 т.р. на руки; - график работы 40 часов в неделю (сб,вс - выходные); - гибкое начало дня с 8-12; - полностью удаленная работа в распределенной команде; - минимум бюрократии (больничные листы не обязательны к предъявлению и не влияют на заработную плату); - оплачиваемый отпуск 28 дней; - возможность профессионального развития (используем современные технологии в проектах).",Без требований,Без обязанностей,Без условий,JavaScript|jQuery|AngularJS|ASP.NET|Entity Framework|SQL|SQL Server|PostgreSQL|Less|Sass|CSS|Linux|MVC|angular 4+|Git|remote,11
624,624,fullstack,Новосибирск,70000.0,90000.0,Директ Лайн,2019-09-28T19:28:20+0300,От 3 до 6 лет,Полный день,Полная занятость,"Наша команда в поиске Fullstack Wordpress Developer с хорошей экспертизой в WordPress, который будет отвечать как за back-, так и за front-end разработку, включая прототипирование, создание плагинов и тем для WordPress. Важно иметь большой опыт со следующим стэком: PHP, HTML5, CSS3 &amp; JavaScript. Требования: Опыт работы с Wordpress, в том числе создание тем и плагинов; Отличное знание PHP, MySQL, JavaScript; Уверенное владение HTML5, CSS3, SASS/LESS Основы администрирования Linux: Shell, Apache, Nginx, MySQL, Cron Опыт работы с системами контроля версий (GIT) Умение работать в команде, коммуникабельность, ответственность, аккуратность Наличие портфолио с завершенными публичными проектами на Wordpress будут БОЛЬШИМ ПЛЮСОМ Обязанности: Вёрстка шаблона HTML/CSS Адаптирование готовых тем под дизайн сайта Разработка с 0 шаблонов и плагинов для Wordpress Разработка и внедрение new features в проекты на WordPress Оптимизация производительности, безопасности и отказоустойчивости сайта Интеграция различных api на сайт Поддержка текущих сайтов в работоспособном состоянии исправление багов и мелкие доработки по сайту Работа по администрированию хостинга/выделенного сервера Условия: Официальное оформление по ТК РФ (рабочее место в офисе компании); График работы: 5\2 Офис в шаговой доступности от м. Берёзовая роща. Чай, кофе, печеньки в свободном доступе; PS4 Pro, Х-box, настольный теннис, полноценная чилаут зона диваном и креслами Кухня с холодильником, микроволновкой и кофемашиной; Отличные перспективы карьерного и профессионального роста. Молодой дружный коллектив, лояльное руководство, которое дает возможность расти и развиваться в одном командном духе; Корпоративные праздники, выезды на природу, премиальные вознаграждения за результативность в работе;"," Опыт работы с Wordpress, в том числе создание тем и плагинов; Отличное знание PHP, MySQL, JavaScript; Уверенное владение HTML5, CSS3, SASS/LESS Основы администрирования Linux: Shell, Apache, Nginx, MySQL, Cron Опыт работы с системами контроля версий (GIT) Умение работать в команде, коммуникабельность, ответственность, аккуратность Наличие портфолио с завершенными публичными проектами на Wordpress будут БОЛЬШИМ ПЛЮСОМ Обязанности: Вёрстка шаблона HTML/CSS Адаптирование готовых тем под дизайн сайта Разработка с 0 шаблонов и плагинов для Wordpress Разработка и внедрение new features в проекты на WordPress Оптимизация производительности, безопасности и отказоустойчивости сайта Интеграция различных api на сайт Поддержка текущих сайтов в работоспособном состоянии исправление багов и мелкие доработки по сайту Работа по администрированию хостинга/выделенного сервера ",Без обязанностей," Официальное оформление по ТК РФ (рабочее место в офисе компании); График работы: 5\2 Офис в шаговой доступности от м. Берёзовая роща. Чай, кофе, печеньки в свободном доступе; PS4 Pro, Х-box, настольный теннис, полноценная чилаут зона диваном и креслами Кухня с холодильником, микроволновкой и кофемашиной; Отличные перспективы карьерного и профессионального роста. Молодой дружный коллектив, лояльное руководство, которое дает возможность расти и развиваться в одном командном духе; Корпоративные праздники, выезды на природу, премиальные вознаграждения за результативность в работе;",JavaScript|CSS3|MySQL|Less|Git|CMS Wordpress|HTML5|PHP|CSS|JSON API|jQuery|Bootstrap|Кроссбраузерная верстка|Создание сайтов,19
520,520,fullstack,Новосибирск,70000.0,150000.0,Кадровое агентство Алексея Сухорукова,2019-10-01T06:06:13+0300,От 3 до 6 лет,Полный день,Полная занятость,"Успешная международная компания с головным офисом в Швейцарии и подразделениями в Новосибирске, ищет в свои команды в Академгородке и центре Новосибирска высококвалифицированных Full Stack-разработчиков. Уже более 18 лет компания создает веб-проекты со сложной логикой и выстроенными бизнес-процессами. В ее портфолио более 200 проектов, десятки долгосрочных контрактов с крупнейшими компаниями Европы. Компания отстаивает принципы европейского качества и стабильной работы, предлагая сотрудникам выступать не только в роли программистов, но и инженеров-экспертов в создаваемом продукте. Если ты хочешь работать с проектами европейского уровня в команде талантливых и опытных IT-профессионалов, то эта вакансия для тебя. От тебя ожидают: Опыт разработки на стеке PHP + JavaScript или JavaScript + Node.js от 2-х лет Опыт работы с базами данных: PostgreSQL и MySQL Знание английского на уровне чтения документации Что тебе предложит компания: Соразмерную опыту заработную плату Офис на выбор: Академгородок или Центральный район Новосибирска А что еще тебя ждет: Ежегодный пересмотр уровня заработной платы Солидная 13 зарплата :) Оплата курсов иностранного языка Участие в профессиональных конференциях и обучение на курсах за счет компании Веселая корпоративная жизнь и бодрая команда Если ты заинтересован в профессиональном развитии, работе с новейшими технологиями и сложными проектами для бизнеса, отправляй отклик прямо сейчас! Почему стоит обратиться именно к нам? ✓Прежде всего наши услуги бесплатны для кандидатов! ✓Мы более 10 лет занимаемся подбором IT-специалистов для крупнейших российских и международных компаний. А наш опыт по подбору сотрудников позволяет решать вопросы любого уровня сложности. ✓Мы умеем находить для компаний самых подходящих и по духу, и по техническим навыкам кандидатов. ✓ Мы можем предложить вам выбор вакансий и работодателей не только в Новосибирске, но и в разных странах. ✓И сможем помочь успешно трудоустроиться в той из них, которая больше всего нравится именно вам и на которую вы лучше всего подходите. ✓Нет, мы не занимаемся тем, что даем шпаргалки и решаем за кандидатов тестовые задания. Но скажем, как лучше подготовиться к прохождению собеседований и решению технических задач.",Без требований,Без обязанностей,Без условий,PHP|JavaScript|MySQL|PostgreSQL|Node.js,17
809,809,fullstack,Новосибирск,80000.0,130000.0,Conjoint.ly,2019-10-14T21:12:46+0300,От 3 до 6 лет,Полный день,Полная занятость,"Наша небольшая команда занимаемся разработкой сервиса для маркетинговых исследований. Нам требуется надёжный full-stack веб-разработчик для внедрения новых функций и рефакторинга. Работа на постоянной удаленной основе. ﻿Обратите внимание! ﻿ ﻿ Мы рассматриваем заявки от соискателей, которые живут только ﻿по часовому поясу от Новосибирска до Чукотки и НЕ являются агенством или студией по подбору персонала﻿. Обязательные технические умения: Умение развернуть и настроить окружение Apache, PHP, MySQL PHP 7.x (ООП) с одним из бек-енд фреймворков (например, Laravel, Yii2, Slim) Vue.js, JavaScript (JQuery), HTML5, CSS Опыт разработки UI с использованием Bootstrap Git (GitHub) Желательный технический опыт работы с: MySQL (проектирование, оптимизация БД) Twig (шаблонизатор) API (например, Amazon, Google) Понимание, как работает протокол HTTP(S) Требуемые навыки по работе: Написание понятного объектно-ориентированного кода Использовать рефакторинг, и производить его, когда это необходимо Привычка учитывать уязвимости и методы безопасности, от HTTP-запроса и до БД Умение оценить объем и время выполнения задачи Умение работать с чужим кодом Административные моменты: Работа на постоянной удаленной основе в расчете на полный рабочий день Быть на связи в течение вашего рабочего дня, используем Slack и Skype. Работать по часовому поясу от Благовещенска до Чукотки Готовность выполнить небольшое тестовое задание (один или два дня за оплату при выполненной задаче) Готовность подписать договор о неразглашении Бонусы Интересная и разнообразная работа, на передовой маркетинговых исследований Стабильная занятость в маленькой, приятной команде Хорошая зарплата и бонусы за качественный, безбаговый код",Без требований,Без обязанностей,Без условий,Vue.js|CSS|Git|JavaScript|MySQL|HTML5|PHP|Bootstrap|HTML|Apache HTTP Server,3
1090,1090,fullstack,Новосибирск,80000.0,135062.5,Синтезис,2019-10-14T22:46:53+0300,От 3 до 6 лет,Полный день,Полная занятость,"Компания «Синтезис», в связи с расширением штата, приглашает в свою команду опытного full-stack разработчика со знанием Python/Django. Работа в офисе в центре города или удаленная по желанию. Обязанности: Разработка и поддержка интернет-проектов Написание тестов на уже имеющийся код Требования: Опыт программирования на Python не менее 2 лет Опыт разработки на Django от одного года Крайне желателен опыт работы с Wagtail CMS Уверенное знание HTML, css, scss, javascript, jQuery Опыт кроссбраузерной и адаптивной вёрстки Опыт работы с bootstrap Опыт работы с MySQL и Posgtres Опыт работы Git Опыт написания автоматизированных тестов Linux на уровне продвинутого пользователя, умение устанавливать и настраивать основные сервисы: nginx, mysql и т.п Умение разбираться в чужом коде Условия: возможна удаленная работа обязательно требуется ИП тестовое задание"," Опыт программирования на Python не менее 2 лет Опыт разработки на Django от одного года Крайне желателен опыт работы с Wagtail CMS Уверенное знание HTML, css, scss, javascript, jQuery Опыт кроссбраузерной и адаптивной вёрстки Опыт работы с bootstrap Опыт работы с MySQL и Posgtres Опыт работы Git Опыт написания автоматизированных тестов Linux на уровне продвинутого пользователя, умение устанавливать и настраивать основные сервисы: nginx, mysql и т.п Умение разбираться в чужом коде ", Разработка и поддержка интернет-проектов Написание тестов на уже имеющийся код , возможна удаленная работа обязательно требуется ИП тестовое задание,HTML|CSS|JavaScript|HTML5|MS SQL|Git|Linux|Python|Django Framework|jQuery|PostgreSQL|Sass|Bootstrap,3
433,433,fullstack,Новосибирск,89083.33333333331,135062.5,Noveo,2019-09-20T06:58:12+0300,От 1 года до 3 лет,Гибкий график,Полная занятость,"Мы — международная IT компания Noveo . Наши главные офисы разработки ПО находятся в Новосибирске и Санкт-Петербурге, представительства — в Париже и на Кипре. Мы рады пригласить в команду Senior Full-stack-разработчика (Angular + Node.js) со знанием английского языка. Ты будешь заниматься разработкой сложной облачной платформы для “умного города”, которая позволяет оптимизировать процессы в компаниях взаимодействующих с потоками пассажиров, транспортных средств, пешеходов и т.п. Особенности проекта: большое количество данных, их анализ и обработка в режиме реального времени. Технологии: Angular 7, Angular Material, SCSS, Leaflet.js, D3.js, Node.js, TypeScript, NestJS, Cassandra, PostgreSQL, WebSockets. Требования: - отлично знаешь JavaScript (включая объектную модель, ES6) и TypeScript; - имеешь опыт коммерческой разработки на Angular 2+ и Node.js; - знаешь основы HTML5/CSS3; - умеешь проектировать базы данных и строить сложные запросы к ним (как для SQL, так и для NoSQL СУБД); - знаком с WebSockets; - владеешь английским языком на уровне чтения документации и поддержания беседы на технические темы. В Noveo тебя ждет: достойный уровень зарплаты и регулярный ее пересмотр на performance review; официальное трудоустройство, оплачиваемый отпуск и больничные; гибкий график работы, с возможностью работы из дома; место работы на выбор в одном из офисов компании в Новосибирске (Академгородок или ст.м. &quot;М.Покрышкина&quot;) или Санкт-Петербурге (ст.м. &quot;Площадь Ленина&quot;); работа в профессиональной команде над интересными проектами; четко выстроенные процессы и методология разработки; внутреннее обучение, митапы, code-review и прокачка технических навыков; бесплатное изучение английского и французского языков в офисе компании в рабочее время; помощь сотрудникам в вопросах кредитования.",Без требований,Без обязанностей,Без условий,JavaScript|Node.js|HTML5|CSS3|SQL|Angular 7|Angular Material|SCSS|Leaflet.js|D3.js|TypeScript|NestJS|Cassandra|PostgreSQL|WebSockets,28
857,857,fullstack,Новосибирск,89083.33333333331,135062.5,ПРО ДЕВЕЛОПМЕНТ,2019-10-15T12:17:39+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Компания ПРО ДЕВЕЛОПМЕНТ является признанным лидером в сфере разработки специализированных ИТ решений для автобизнеса. Основные направления деятельности компании связаны с разработкой платформы системной интеграции участников рынка, распределенных e-commerce систем и специализированных высоконагруженных экспертных сервисов. Компания представлена на рынках РФ, СНГ и ЕС, где ее клиентами являются бренды с мировым именем, лидеры рынка и крупные региональные операторы. Мы используем современные технологии при разработке решений enterprise уровня, которые охватывают весь информационный контур продуктов компании от решений для мобильных устройств и веб-интерфейсов вплоть до высоконагруженных серверных компонентов, обрабатывающих большие объемы данных. У нас работает квалифицированная команда, способная к адекватной и продуктивной внутренней коммуникации, разделяющая ценности и дух совместной работы над сложными проектами. Наши сотрудники всегда готовы поделиться опытом и прийти на помощь коллегам. Ключевые члены команды – высококлассные специалисты, имеющие за плечами большой опыт работы в крупных международных проектах. Мы приглашаем Вас присоединиться к команде экспертов в области разработки высоконагруженных распределенных систем. Мы будем рады предоставить вам возможность поработать в следующих направлениях: Разработка административных web интерфейсов; Поддержка работоспособности существующего кода, рефакторинг, разработка новых версий и новых продуктов; Разработка UI функциональности; Участие в обсуждении новой функциональности и технологий. Нам необходимо, чтобы вы: Знали основы алгоритмов, структур данных; Знали принципы объектно-ориентированного дизайна и паттернов проектирования; Имели суммарный опыт коммерческой разработки на backend Java и UI на каком-либо Javascript framework от 2-x лет; Имели опыт работы и уверенное знание JQuery, AngularJS, Bootstrap; Имели опыт работы и хорошее знание HTML/HTML5/CSS/LESS; Имели опыт работы с технологиями REST, Ajax, WebSockets; Имели опыт работы с реляционными СУБД (Postgres); Имели опыт работы с системами контроля версий (Git); Имели опыт работы в *nix операционных системах. Мы будем в восторге, если вы еще и будете: Иметь опыт работы с инфраструктурой Docker; Обладать навыками настройки и конфигурации nginx; Обладать знаниями Java EE/ Spring.io; Иметь опыт работы с сервисами безопасности (e.g. OAuth, OpenId, SSO/SAML, WS-Security, PKI). Помимо интересных задач, мы также с радостью предоставим вам: Официальное трудоустройство; Внутреннее обучение, профессиональный рост; Дружный коллектив; Комфортные рабочие места (+ 2 монитора); Печеньки, чай, кофе; Удобный график. Мы выслушиваем других, делимся информацией, даем возможность всем проявить себя и развиваемся вместе с вами!",Без требований,Без обязанностей,Без условий,Без ключевых навыков,3
