,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills,days
1021,1021,game designer,Новосибирск,30000.0,30000.0,Matryoshka Games,2019-10-15T13:39:49+0300,Нет опыта,Гибкий график,Полная занятость,"Matryoshka Games - разработчик мобильных кэжуал игр с офисами в Новосибирске и Санкт-Петербурге. Мы создаём качественные игры с простыми и увлекательными механиками. Наш флагманский проект - Cooking Craze (в русском сторе &quot;Безумный Кулинар&quot;) был выпущен в 2017 году в партнёрстве с американским издателем Big Fish. К настоящему моменту Cooking Craze стал международным хитом с ежедневной аудиторией более миллиона игроков. Помимо поддержки Cooking Craze (ежемесячно мы запускаем новые ивенты, добавляем новые уровни и открываем новые города), наша команда занимается разработкой ещё двух новых проектов. Мы приглашаем к сотрудничеству увлеченных казуальными играми кандидатов без опыта работы. Рассмотрение кандидатов происходит по результатам выполнения тестового задания . Задачи: Разработка баланса игр; Автоматизация баланса; Работа с игровой аналитикой. Мы ожидаем от кандидата: Большой игровой опыт в казуальных и мидкорных мобильных играх; Знание английского языка (необходимо будет вести переписку на английском); Техническое/математическое образование; Минимальные навыки программирования; Организованность, аккуратность. Мы предлагаем: Официальное оформление: полностью белая зарплата, отпуск, больничные; Офис на выбор: в Академгородке или на площади Ленина; С первого дня работы оформляем максимально полный пакет ДМС, включая стоматологию. Компенсация затрат на любые занятия спортом; Компенсация затрат на занятия английским языком; Профессиональный коллектив; Комфортные рабочие условия, гибкий график, на кухне всегда найдется, чем перекусить.",Без требований,Без обязанностей,Без условий,GameDev,3
1019,1019,game designer,Новосибирск,40000.0,80000.0,Matryoshka Games,2019-10-15T13:40:40+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Matryoshka Games - разработчик мобильных кэжуал игр с офисами в Новосибирске и Санкт-Петербурге. Мы создаём качественные игры с простыми и увлекательными механиками. Наш флагманский проект - Cooking Craze (в русском сторе &quot;Безумный Кулинар&quot;) был выпущен в 2017 году в партнёрстве с американским издателем Big Fish. К настоящему моменту Cooking Craze стал международным хитом с ежедневной аудиторией более миллиона игроков. Помимо поддержки Cooking Craze (ежемесячно мы запускаем новые ивенты, добавляем новые уровни и открываем новые города), наша команда занимается разработкой ещё двух новых проектов. Мы приглашаем к сотрудничеству талантливых гейм-дизайнеров для работы над проектами компании. Результаты вашего труда увидят миллионы игроков по всему миру! Рассмотрение кандидатов происходит по результатам выполнения тестового задания, в нём требуется рассчитать ряд параметров для баланса уровня в Excel с использованием Visual Basic . Задачи: Работа над балансом игры. Мы ожидаем от кандидата: Большой игровой опыт в казуальных и мидкорных мобильных играх; Желание создавать игры и работать в игровой индустрии; Понимание различных схем монетизации, знание основных метрик (ARPU, DAU и тд); Хорошее знание математики; Отличное знание Excel (надо знать VBA, но можно компенсировать знанием любого языка программирования); Хорошее знание SQL; Технический английский. Мы предлагаем: Официальное оформление: полностью белая зарплата, отпуск, больничные; Офис на выбор: в Академгородке или на площади Ленина; С первого дня работы оформляем максимально полный пакет ДМС, включая стоматологию. Компенсация затрат на любые занятия спортом; Компенсация затрат на занятия английским языком; Профессиональный коллектив; Комфортные рабочие условия, гибкий график, на кухне всегда найдется, что перекусить; Помощь в переезде для иногородних кандидатов.",Без требований,Без обязанностей,Без условий,GameDev,3
405,405,game designer,Новосибирск,40000.0,70000.0,Гейм Маверикс,2019-09-17T14:20:37+0300,От 3 до 6 лет,Удаленная работа,Полная занятость,"Мы любим играть в игры и любим их создавать. Наши игры, это игры для настоящих мужчин. Среди наших хитов, такие как: Farm Simulator, Construction Company Simulator, Toy Commander, Offroad Driving Simulator, Rally Racer 4x4. Каждый день в них играют миллионы пользователей из разных стран мира. Мы готовы создавать хиты мирового уровня. Ищем в команду опытного Unity разработчика, умеющего решать сложные технические проблемы и создавать отличные игры. Работа предстоит по поддержке больших проектов, в данный момент ищем разработчика на 2D казуальный проект. Что мы ждем от тебя : хорошее знание C# опыт работы на Unity от 3-х лет опыт работы с Jira (постановка и отслеживание задач), Git умение писать понятный, поддерживаемый код ответственность и самоорганизованность творческий подход Будет большим плюсом: опыт работы в команде опыт разработки под консоли (Nintendo Switch, MS Xbox, Sony PS) опыт разработки мультиплеерных игр",Без требований,Без обязанностей,Без условий,Unity|3D|C#|Разработка компьютерных Игр|Game Programming|Разработка ПО|Git|Android|iOS,31
997,997,game designer,Новосибирск,40000.0,60000.0,Dankolab,2019-10-14T00:09:27+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Dankolab - компания разработчик мобильных игр и приложений из Новосибирска. В связи с увеличением команды ищем опытного Unity разработчика для работы в офисе. Вам предстоит: Разрабатывать казуальные и гиперказуальные игры на Unity для мобильных платформ iOS и Android; Работать над интересными проектами совместно с командой художников и гейм-дизайнеров; Заниматься построением архитектуры; Вести техническую документацию по проектам; Мы ждем, что Вы: Имеете отличное знание языка C#; Имеете опыт разработки на Unity не менее 3 лет; Понимаете особенности разработки игр под мобильные платформы; Ответственно подходите к работе; Можете самостоятельно принимать взвешенные решения; Умеете выполнять работу качественно и в срок; Творчески мыслите и генерируете идеи; Работа в Dankolab - это: Работа в компании полного цикла; Рабочий день в рамках: 9:00 – 18:00; 10:00 – 19:00 или 11:00 – 20:00 на Ваш выбор; Интересные проекты‚ творческая атмосфера в коллективе; Уютный офис в центре города, где Вас ждут вкусный кофе/чай, снеки и другие плюшки; Стабильная заработная плата; Возможность карьерного и финансового роста.",Без требований,Без обязанностей,Без условий,Unity|C#|Android|iOS|ООП|Unity3d,4
486,486,game designer,Новосибирск,45000.0,151050.0,RDS mobile,2019-10-14T14:27:27+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: разработка приложений для IOS\ Android Требования: знание среды Unity, владение Unity API знание C# понимание принципов ООП, паттернов проектирования желание развиваться в этом направлении умение работать самостоятельно и в команде Условия: работа в Академгородке дружная команда официальное трудоустройство"," знание среды Unity, владение Unity API знание C# понимание принципов ООП, паттернов проектирования желание развиваться в этом направлении умение работать самостоятельно и в команде ", разработка приложений для IOS\ Android , работа в Академгородке дружная команда официальное трудоустройство,Unity|C#|iOS|Android,4
891,891,game designer,Новосибирск,50000.0,100000.0,Скайтек,2019-10-13T07:26:49+0300,От 3 до 6 лет,Гибкий график,Полная занятость,"Работа в офисе в Академгородке, удаленных сотрудников не рассматриваем. Задачи Разрабатывать концепции новых игр и создавать игровые механики Прорабатывать игровой баланс и экономику Участвовать в левел-дизайне и концептах игровых уровней (карт) Проектировать интерфейсы и продумывать эргономику Писать тексты, описания, лор Проводить анализ внутригровой статистики и экономики Требования: Опыт работы в должности Game Designer не менее 2 лет над мидкорными или хардкорными играми Хорошее понимание F2P монетизации в мобильных играх Высшее образование, отличная математическая база Богатый игровой опыт от мобильных игр до PC и консолей, от свежих релизов до «классики» Будет плюсом: Опыт работы в должности Game Designer в крупных игровых студиях, таких как : Game Insight, Plarium, Nival, Games Mail.ru, Wargaming, Kefir и других Мы предлагаем: Белую зарплату и официальное трудоустройство Гибкий график работы Оплачиваемый отпуск и больничный Компенсация посещения спортзалов Офис компании представляет собой отдельно стоящее 2-этажное здание на огороженной территории, с деревьями, лавочками, площадкой для мангала и удобной парковкой Своя кухня, сладости, фрукты, чай и кофе. Теннис, настольный футбол и игровая комната с PS4 Интересная и творческая работа, возможность учиться у профессиональных коллег Мы ждем от Вас: Резюме Готовность выполнить тестовое задание",Без требований,Без обязанностей,Без условий,Без ключевых навыков,5
108,108,game designer,Новосибирск,78000.0,175500.0,WakeApp,2019-10-03T12:24:59+0300,От 3 до 6 лет,Удаленная работа,Полная занятость,"В связи с открытием направления Разработки мобильных игр , приглашаем Unity разработчика для формирования и управления своей будущей командой. Обязанности: Разработка игр для мобильных устройств iOS и Android; Разработка внутриигрового инструментария. Организация процесса разработки игровых проектов с нуля; Участие в процессе найма и адаптации сотрудников game dev вместе с HR; Постановка задач команде. Требования: Опыт разработки на Unity3D (C#) от 3 лет; Наличие завершенных проектов; Опыт отладки и тестирование кода; Опыт проектирования архитектуры сложных приложений; Навыки по оптимизации скорости работы и занимаемой памяти приложений; Умение самостоятельно решать поставленные задачи; Опыт работы в команде; Опыт подключения сторонних плагинов и создания своих (in-app, социальные сети, реклама, сетевые взаимодействия, анимации, интерфейсы). Условия: Достойная оплата; Дружный и веселый коллектив; Вечеринки и корпоративные мероприятия; График работы 5/2 (Гибкое время начала рабочего дня); Атмосфера, где легко оставаться собой: минимум формализма, открытые коммуникации. Мы готовы предложить конкурентную заработную плату, большую свободу действий и перспективы роста. Отклики с сопроводительными письмами рассматриваются в первую очередь."," Опыт разработки на Unity3D (C#) от 3 лет; Наличие завершенных проектов; Опыт отладки и тестирование кода; Опыт проектирования архитектуры сложных приложений; Навыки по оптимизации скорости работы и занимаемой памяти приложений; Умение самостоятельно решать поставленные задачи; Опыт работы в команде; Опыт подключения сторонних плагинов и создания своих (in-app, социальные сети, реклама, сетевые взаимодействия, анимации, интерфейсы). ", Разработка игр для мобильных устройств iOS и Android; Разработка внутриигрового инструментария. Организация процесса разработки игровых проектов с нуля; Участие в процессе найма и адаптации сотрудников game dev вместе с HR; Постановка задач команде. ," Достойная оплата; Дружный и веселый коллектив; Вечеринки и корпоративные мероприятия; График работы 5/2 (Гибкое время начала рабочего дня); Атмосфера, где легко оставаться собой: минимум формализма, открытые коммуникации. Мы готовы предложить конкурентную заработную плату, большую свободу действий и перспективы роста. Отклики с сопроводительными письмами рассматриваются в первую очередь.",Unity|iOS|Android,15
801,801,game designer,Новосибирск,79300.0,151050.0,Плейджендари Ру,2019-09-16T13:43:25+0300,От 3 до 6 лет,Полный день,Полная занятость,"Мы ищем опытного Lead Unity Developer , который вольется в команду Playgendary и поможет нам создавать новые казуальные игры со своей уникальной стилистикой, а также поможет нам стать сильнее в создании ультра-казуальных игр. Playgendary сегодня – это команда из 300 человек, работающих удаленно и в офисах компании в Санкт-Петербурге, Минске и Мюнхене. У нас более 500 миллионов игроков по всему миру, а в 2018-м году Playgendary вошла в ТОП-10 игровых разработчиков по количеству скачиваний. Среди наших хитов: Kick the Buddy, Polysphere, Bowmasters, Tank Stars. Процессы в Playgendary просты и понятны: у нас нет долгих согласований, а сотрудники сами могут принимать решения. Так что у вас всегда будет возможность реализовать свои идеи и пробовать что-то новое. А еще мы очень ценим простоту общения. Задачи: Разработка игры на Unity для мобильных платформ iOS и Android; Построение архитектуры и принятие технических решений на проекте; Контроль за стабильностью и качеством программной части игры, качеством архитектуры и кода; Участие в формировании команды проекта, развитии специалистов; Постановка и контроль исполнения задач; Оптимизация продукта (RAM, build size, framerate); Помощь менеджеру проекта при планировании и оценке сроков; Ведение технической документации по проекту. Мы рассчитываем, что у вас есть: Опыт работы на Unity от 3 лет; Знание ООП, SOLID, структур данных и базовых алгоритмов; Уверенное знание C#, .NET/Mono; Знание и понимание Unity rendering pipeline; Опыт интеграции плагинов, библиотек; Желание и умение работать в команде, умение принимать решения в команде путем компромисса; Умение приоритезировать, фокусироваться на достижении результата; Проактивность и самостоятельность; Умение четко и структурировано формулировать и выражать свои мысли; Хорошие коммуникативные навыки, доброжелательность. Будет плюсом: Опыт разработки под iOS и/или Android; Опыт интеграции автотестов; Знание линейной алгебры; Опыт написания плагинов, библиотек. Мы будем рады предложить: Зарплату, защищенную от валютных колебаний; Работу в дружной команде единомышленников; Помощь в реализации ваших идей в рамках работы с командой; Постоянное повышение квалификации (компания оплачивает образовательные программы и поездки на конференции); График для тех, кто любит поспать; Реферальную программу; Денежные бонусы по случаю важных жизненных событий; Оплату занятий спортом.",Без требований,Без обязанностей,Без условий,Без ключевых навыков,32
751,751,game designer,Новосибирск,79300.0,175000.0,Кадровое агентство Алексея Сухорукова,2019-09-24T14:48:25+0300,От 3 до 6 лет,Полный день,Полная занятость,"Юная, но уже известная компания, недавно выпустившая на рынок новую игру, получившую более 4 млн скачиваний, ищет опытного Unity-разработчика. Присоединяйся к активной молодой команде в теплой приветливой стране и создавай уникальный качественный продукт. Твоими задачами будут: - интеграция, настройка и оптимизация игрового графического контента и улучшение качества визуальной составляющей игры непосредственно в Unity - разработка, внедрение в работу и поддержка новых технических решений для оптимизации работы с контентом - разработка необходимых технических пайплайнов и контроль качества От тебя ждут: - Опыт работы в Unity (включая работу с шейдерами, оптимизацию, импорт и настройку ассетов) - Отличное знание пайплайна создания 3D-графики для мобильных устройств (от моделирования до интеграции и настройки в Unity) - Понимание особенностей оптимизации игровой графики для различных мобильных устройств Будет плюсом: - выпущенные проекты в портфолио - опыт работы с 3D, VFX, UI - опыт разработки шейдеров - опыт программирования C# - наличие художественного вкуса Тебя ждет: Соразмерная опыту заработная плата — до 2500 евро Рабочий день с 11:00 до 20:00 Один из лучших офисов в новом здании с зоной отдыха, верандой с видом на горы и море А еще ты получишь: Рабочую визу, которую оформляет работодатель Оплату билета на Кипр Компенсацию на первичные расходы в 500 евро Бесплатное проживание в течение 2-х недель в Лимассоле на период поиска квартиры",Без требований,Без обязанностей,Без условий,Unity|3D|C#,24
899,899,game designer,Новосибирск,79300.0,151050.0,WakeApp,2019-09-30T13:00:32+0300,Более 6 лет,Полный день,Полная занятость,"Приглашаем к сотрудничеству Гейм-дизайнера для участия в разработке мобильных игр. Обязанности: Разработка концепции игры и игровых механик; Расчет баланса и экономики игры; Планирование развития проекта с точки зрения гейм-дизайна; Требования: Опыт игрока (мобильные игры), понимание специфики мобильного рынка; Опыт работы над продуктом для мобильных устройств; Опыт создания и ведения дизайн-документов; Умение провести новый функционал от идеи до релиза; Опыт в расчете игровой экономики; Экспертиза в механиках вовлечения и монетизации; Опыт работы с аналитическими инструментами, умение делать выводы из полученной информации; Умение четко и структурировано доносить и обосновывать свою точку зрения; Условия: Достойная оплата; Дружный и супер веселый коллектив; Вечеринки и корпоративные мероприятия; Комфортный офис в пешей доступности от м. Бауманская; График работы 5/2 (Гибкое время прихода); Атмосфера, где легко оставаться собой: минимум формализма, открытые коммуникации и! отсутствие дресс-кода. Мы готовы предложить конкурентную заработную плату, большую свободу действий и перспективы роста. Отклики с сопроводительными письмами рассматриваются в первую очередь."," Опыт игрока (мобильные игры), понимание специфики мобильного рынка; Опыт работы над продуктом для мобильных устройств; Опыт создания и ведения дизайн-документов; Умение провести новый функционал от идеи до релиза; Опыт в расчете игровой экономики; Экспертиза в механиках вовлечения и монетизации; Опыт работы с аналитическими инструментами, умение делать выводы из полученной информации; Умение четко и структурировано доносить и обосновывать свою точку зрения; ", Разработка концепции игры и игровых механик; Расчет баланса и экономики игры; Планирование развития проекта с точки зрения гейм-дизайна; ," Достойная оплата; Дружный и супер веселый коллектив; Вечеринки и корпоративные мероприятия; Комфортный офис в пешей доступности от м. Бауманская; График работы 5/2 (Гибкое время прихода); Атмосфера, где легко оставаться собой: минимум формализма, открытые коммуникации и! отсутствие дресс-кода. Мы готовы предложить конкурентную заработную плату, большую свободу действий и перспективы роста. Отклики с сопроводительными письмами рассматриваются в первую очередь.",Adobe Photoshop|CorelDRAW|Разработка концепции|Мобильность|Пользователь ПК,18
