,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills,days
518,518,ios,Челябинск,35000.0,100000.0,UNIT6,2019-10-16T15:35:28+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Рассматриваем кандидатов с разным уровнем опыта. Младшим специалистам предлагаем возможность быстро получить востребованный опыт, Старшим предлагаем интересные задачи в проектах Федерального и Мирового уровня. Ищем людей, которые любят разработку и хотят работать над проектом, в котором будут новые вызовы, нетривиальные задачи и возможности для развития. Мы почти никогда не делаем разовые проекты, все наши проекты живут и развиваются, учитывают опыт своих пользователей, следят за новыми тенденциями в дизайне и проектировании. Наш центральный офис в Челябинске. Работаем как с удаленными сотрудниками, так и с сотрудниками в офисе. Удаленным сотрудникам оплачиваем коворкинг. Сотрудники в офисе могут выбрать, на какой технике они хотят работать. Зарплату платим вовремя, оформляем все официально. От кандидатов на должность iOS разработчика мы ожидаем: Опыт разработки iOS приложений на Objective-C и Swift Знание iOS SDK (Foundation, CoreData, UIKit) Знание AutoLayout и Storyboard Понимание принципов MVP и MVVM Опыт с Git, понимание методологии Git Flow Понимание принципов работы сетевых запросов и HTTP-протокола Оконченное техническое высшее образование Коммуникабельность, внимательность и ответственность за результат Готовность учиться и развиваться Плюсом будет знание библиотек: Alamofire PromiseKit BlocksKit Firebase Crashlytics Masonry EasyMapping SDWebImage GoogleMaps От старших разработчиков мы ожидаем: Опыт работы над ответственными частями проекта и решения нестандартных задач Опыт проектирования крупных систем или их модулей Умение разобраться с уже существующей архитектурой и планировать её развитие Навык объяснить, зачем и почему внедряется или выбирается то или иное решение Что предстоит делать : Развивать большое мобильное приложение, которым пользуются миллионы человек по всей России Работать в большой команде, бок-о-бок со всеми участниками проекта (другие разработчики, тестировщики, аналитики, дизайнеры, продакт-оунеры и саппорт) А еще у нас хороший и дружный коллектив, уютный офис с кофемашиной, печенками, фруктами и гироскутером. Мы проводим митапы разработчиков в Челябинске и организуем крупнейшую Челябинскую конференцию разработчиков UWDC. Уровень зарплаты готовы обсуждать с успешными кандидатами.",Без требований,Без обязанностей,Без условий,iOS|Swift|Git|Objective-C,5
514,514,ios,Челябинск,35000.0,100000.0,Рэд,2019-09-30T14:04:29+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Мы - команда мобильной разработки &quot;The Red One&quot; . Нашей Компании более 10 лет. Мы начинали с разработки вебсайтов и после появления iOS/Android смартфонов переключились на разработку под эти платформы. Мы делаем приложения на заказ и реализовываем свои собственные проекты. Сейчас мы расширяемся и набираем iOS-разработчиков. Если ваш уровень Junior - то ожидаем от вас базового понимания программирования, представления о SOLID, паттернах проектирования и технологиях разработки (контроль версий, управление зависимостями, методологии), знание Swift/Objective-C, UIKit, готовности быстро обучаться и расти на реальных задачах под руководством старших коллег. Для этого уровня предлагается работа в офисе, т.к. вас будут курировать и обучать Senior разработчики. Если ваш уровень Middle - то хотим услышать от вас про опыт реализации коммерческих проектов и используемые технологии. Для вашего уровня доступен удаленный формат работы. Если ваш уровень Senior, то мы готовы обсуждать ваши рабочие и финансовые условия индивидуально. Обязанности: Разработка нативных мобильных приложений под iOS Требования: Знание, понимание, опыт работы со Swift/Objective-C Знание, понимание, опыт разработки под iOS на Cocoa Touch, UIKit Умение работы и отладки в macOS &amp; Xcode Условия: Комфортное место работы в it-коворкинге Нестрогий график работы Опытная команда"," Знание, понимание, опыт работы со Swift/Objective-C Знание, понимание, опыт разработки под iOS на Cocoa Touch, UIKit Умение работы и отладки в macOS &amp; Xcode ", Разработка нативных мобильных приложений под iOS , Комфортное место работы в it-коворкинге Нестрогий график работы Опытная команда,Swift|Objective-C|iOS|Cocoa Touch|UIKit|Xcode,21
573,573,ios,Челябинск,35000.0,100000.0,Napoleon IT,2019-10-08T08:56:45+0300,От 1 года до 3 лет,Удаленная работа,Полная занятость,"Компания Napoleon IT ― разработчик программного обеспечения. Мы предлагаем готовые решения, а также осуществляем разработку по гибкой методологии. Наши решения в области бизнес-аналитики, предиктивной аналитики, компьютерного зрения, высоконагруженных систем и мобильной разработки дают конкурентное преимущество и гарантируют устойчивое развитие бизнеса клиентов. У нас много интересных задач, дружеская атмосфера и отличные условия! Мы ждем от тебя: Опыт коммерческой разработки iOS приложений; Отличное знание Swift/Objective-C; Понимание принципов работы RESTful API и HTTP; Понимание архитектурных паттернов MVC, MVVM, VIPER, Clean Swift (VIP); Знание и опыт работы с Core Data/Realm; Понимание iOS Human Interface Guidelines; Уверенную работу с UI, Autolayout и анимациями; Уверенную работу с многопоточностью. Мы предлагаем: Работу в отличной команде — наши менеджеры, дизайнеры и разработчики по-настоящему влюблены в свое дело; Бесплатные профессиональные курсы, доступные всем сотрудникам офиса; 100% компенсацию приобретения профессиональной литературы; Официальное трудоустройство, гибкий режим рабочего времени. Рассматриваем вариант удаленного сотрудничества в формате full time.",Без требований,Без обязанностей,Без условий,iOS|Objective-C|SWIFT Alliance,13
351,351,ios,Краснодар,50000.0,110000.0,Spider Group,2019-10-07T17:15:25+0300,От 3 до 6 лет,Удаленная работа,Полная занятость,"Spider Group на рынке разработки заказного программного обеспечения более 19 лет. За это время мы выполнили более сотни AR, VR &amp; mobile apps проектов для наших клиентов в России и Европе. Мы нацелены на развитие европейского направления и в связи с этим открыли ряд вакансий удаленного формата . Наша цель- долгосрочное развитие и сотрудничество. Что мы ждем от кандидатов: Опыт работы с iOS от 2 лет Уверенное знание Swift (Objective-C - будет большим плюсом); Английский язык на уровне чтения технической документации; Работа с GIT; Наличие опубликованных проектов в App Store Опыт работы в Agile проектах и командах (Scrum, Kanban) Будет плюсом: Опыт использования Reactive и MVVM. Чем предстоит заниматься: Участвовать в командной разработке мобильных приложений для IOS Поддержка существующих проектов Мы предлагаем: Ко нкурентную оплату труда по результатам собеседования Официальное оформление с первого дня, ДМС Возможность иногда работать удаленно Корпоративное обучение и поездки на IT-конференции Отбор на вакансию предполагает прохождение тестирования",Без требований,Без обязанностей,Без условий,Objective-C|Agile Project Management|Git|iOS|Английский язык,14
829,829,ios,Екатеринбург,58000.0,104000.0,Тензор,2019-10-02T09:46:49+0300,Нет опыта,Гибкий график,Полная занятость,"Тензор – крупная российская IT-компания. Наш основной продукт – СБИС – сеть деловых коммуникаций. СБИС объединяет людей и компании, системы управления и учета, бизнес-процессы и документы в одной системе. Систему СБИС придумали, создали и постоянно совершенствуют более 1500 разработчиков в 11 филиалах по стране. У нас есть фанаты дата-майнинга, эксперты в разработке кроссплатформенных приложений и высоконагруженных систем, разработчики мобильных, настольных и веб-приложений, специалисты по обработке, анализу и хранению больших массивов данных. Сейчас мы ищем iOS разработчиков для работы над уже имеющимися и новыми мобильными приложениями. Мы разрабатываем и поддерживаем собственные мобильные приложения для B2B и B2C, которыми пользуемся мы сами, а также большое число наших клиентов и обычных пользователей: через приложения СБИС можно совершать видео-звонки, обмениваться сообщениями и файлами, вести календарь, работать с задачами, заказывать еду в ресторанах и бронировать столики, записываться к мастерам салонов красоты и многое другое. Примеры приложений в App Store доступны в поиске по запросу СБИС. У нас четко выстроены процессы разработки, настроены CI/CD, пишутся UI и unit-тесты, применяется многомодульная архитектура, современный и проверенный стек технологий, вся разработка ведется на Swift 5. Вы наш идеальный кандидат, если вы: уверенно знакомы с языком Swift; хорошо владеете базовыми iOS фреймворками (UIKit, Foundation, CoreLocation); умеете верстать UI как из кода, так и с помощью XIB, StoryBoards; понимаете архитектурные паттерны MVP, MVVM и VIPER; имеете базовый опыт работы с Git; можете читать техническую документацию на английском языке; хотите профессионально развиваться. С нашей стороны мы предлагаем: возможность получить опыт профессиональной разработки; интересную работу в квалифицированном коллективе и стабильной IT-компании; мощный iMac или Mac Mini последних поколений; официальное оформление; ежемесячные премии до 20%; ДМС, компенсация спорта/курсов английского языка; желающие смогут повысить и/или получить навыки работы с С++.",Без требований,Без обязанностей,Без условий,iOS|Git|Objective-C|Mac Os,19
955,955,ios,Екатеринбург,60000.0,120000.0,Семенец Вячеслав Олегович,2019-09-26T09:40:16+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Требования: Знание языков программирования Swift плюсом будет знание Objective-C. Понимание принципов ООП, SOLID. Опыт Unit-тестирования. Умение работать с ORM/SQL Умение верстать с AutoLayout и без использования InterfaceBuilder. Обязанности: Разработка мобильных приложений для iOS Условия: Оклад по результатам собеседования (ограничен только вашим опытом и знаниями). Выдача зарплаты без задержек 2 раза в месяц. Официальное трудоустройство с первого рабочего дня согласно ТК РФ. Практически свободный график работы. Работа в дружной команде молодых профессионалов, по-настоящему влюблённых в своё дело."," Знание языков программирования Swift плюсом будет знание Objective-C. Понимание принципов ООП, SOLID. Опыт Unit-тестирования. Умение работать с ORM/SQL Умение верстать с AutoLayout и без использования InterfaceBuilder. Обязанности: Разработка мобильных приложений для iOS ",Без обязанностей," Оклад по результатам собеседования (ограничен только вашим опытом и знаниями). Выдача зарплаты без задержек 2 раза в месяц. Официальное трудоустройство с первого рабочего дня согласно ТК РФ. Практически свободный график работы. Работа в дружной команде молодых профессионалов, по-настоящему влюблённых в своё дело.",Objective-C|ООП|iOS|SQL|MS SQL|SWIFT Alliance|Swift,25
1179,1179,ios,Самара,75416.09183673469,111159.85714285713,Город Иннополис,2019-10-08T13:51:31+0300,От 1 года до 3 лет,Полный день,Полная занятость,"В зарубежную компанию требуется iOS разработчик. Main responsibilities: Design, develop and maintain an exceptional iOS app of a virtual smartphone Optimize the application for performance, security and user experience Create clear, documented code using our backend APIs Work closely with a team of professionals Requirements – Must have 3+ years proven experience developing iOS apps Understanding of Apple’s design and interface guidelines (HIG) Proficient with Objective-C or Swift and Cocoa Touch Experience with iOS frameworks such as Core Data, Core Animation and with offline storage, threading, memory and performance tuning Familiarity with RESTful APIs, cloud message APIs and push notifications Highly creative, eager to find workarounds to challenges English level – intermediate at least (≥B1) References from former employers and co-workers or community OS projects Bonus skills - Good to have BS degree in Computer Science or a related field SIP, VOIP and S-VOIP communications Software-security knowledge Web Assembly OpenGL or similar Scrum / Agile basics, Git Experience with Apple Store Мы предлагаем: Работа в городе в Иннополис Оплата аренды комфортабельных апартаментом с мебелью и подземной парковкой в 5 минутах от офиса Современный офис с плюшками и гибким началом рабочего дня А также ДМС, бесплатные занятия спортом и другие бонусы",Без требований,Без обязанностей,Без условий,Objective-C|Git|iOS|Mac Os,13
470,470,ios,Краснодар,80000.0,150000.0,Группа компаний «Деньги сразу»,2019-10-16T15:26:59+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Мы предлагаем: Финансовую стабильность - нам важно, чтобы каждый член нашей команды чувствовал себя уверенно. Официальное оформление по ТК РФ с первого дня и достойная оплата труда - размер готовы обсуждать с финальным кандидатом; График работы 5/2 на территории работодателя, выходные-выходные; Месторасположение офиса -г.Ростов-на-Дону, ул. Ленинградская (район ТЦ &quot;Сокол&quot;), удобная транспортная развязка (можно уехать в любой район города) + поиск и оплата жилья; Профессиональный рост: в компании существует программа мероприятий, направленная на развитие Вашего потенциала. Обязанности: Разработка приложений под IOS. Тестирование приложений (функциональное, модульное, регрессионное). Размещение приложений в AppStore Поддержка приложений Участие в анализе и уточнении требований по задачам бэклога. Оценка задач бэклога и их реализация. При необходимости и по согласованию сторон участие во внедрениях. Работа под непосредственным руководством владельца проекта в соответствии с задачами из бэклога, закрепленными за ним. Взаимодействие с другими членами команды для решения возникающих проблем при разработке ПО. Ответственность за достижение командой поставленных целей. Требования: Уверенное знание ObjectiveC и Swift; Умение работать с системой контроля версий git; Опыт разработки приложений, использующих сетевое взаимодействие (HTTP, REST API, JSON); Знание ООП, паттернов проектирования ПО(Viper); Знание Xcode, git; Навыки работы в команде. Дополнительно: Code-review (контроль качества кода); Опыт работы с БД ; WebSocket.",Без требований," Разработка приложений под IOS. Тестирование приложений (функциональное, модульное, регрессионное). Размещение приложений в AppStore Поддержка приложений Участие в анализе и уточнении требований по задачам бэклога. Оценка задач бэклога и их реализация. При необходимости и по согласованию сторон участие во внедрениях. Работа под непосредственным руководством владельца проекта в соответствии с задачами из бэклога, закрепленными за ним. Взаимодействие с другими членами команды для решения возникающих проблем при разработке ПО. Ответственность за достижение командой поставленных целей. ",Без условий,Без ключевых навыков,5
114,114,ios,Новосибирск,80000.0,130000.0,Центр Цифровых Коммуникаций,2019-10-21T07:50:46+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Cool – team: делаем мобильные приложения для рынка США. Актуальный продукт для тех, кто стремятся установить необходимые контакты и высоко ценит достоверность в общении! Наша команда активно растет и прямо сейчас в ней есть место для Middle iOS Developer, который может, умеет, практикует … мастерски разрабатывать на на Swift / Objective-C, желательно с практическим опытом от 2х лет и знанием iOS SDK, Human Interface Guidelines; хорошо понимать принципы ООП, SOLID, паттернов проектирования; разрабатывать клиент-серверных приложений (REST + WebSockets); комфортно работает в команде : постановка и декомпозиция задач, Git flow, code review; знает технический английский. Плюсом будет: опыт написания unit- и UI- тестов; опыт работы с записью/воспроизведением/оптимизацией видео/аудио, VoIP; опыт использования в приложениях облачных сервисов; понимание лучших практик в проектировании клиент-серверного API; знание современных тенденций в UX и UI. Работа в нашей команде - это: уникальный опыт создания, запуска и развития продукта на зарубежных рынках; увлекательные задачи, возможность использовать самые современные технологии разработки и исследований; честная зарплата и социальный пакет (отпускные, больничные, все необходимые налоговые отчисления, программа ДМС); широки возможности профессионального развития и обучения; современное рабочее место (27″ iMac 2017).",Без требований,Без обязанностей,Без условий,Java|kotlin|iOS|HTTP|iOS SDK,0
472,472,ios,Краснодар,100000.0,130000.0,MERA,2019-10-18T17:00:16+0300,От 1 года до 3 лет,Гибкий график,Полная занятость,"Разработка POS-решений на платформе iPad Долгосрочный, стабильный проект по развитию и поддержке передовой POS-системы от одного из мировых лидеров в этой области. Заказчик находится в Северной Америке, с несколькими R&amp;D центрами по всему миру. Команда MERA полностью отвечает за все области решения, включая мобильный/веб-интерфейс, серверную часть в облаке, тестирование продукта и DevOps услуги. С помощью нашего POS-решения ежедневно тысячи магазинов обслуживают своих покупателей по всему миру. Приложение успешно используется в крупных розничных и ресторанных сетях, а также адаптируется под нужды других видов бизнеса. POS-решение работает на устройствах iOS/Android и доступно в качестве веб-клиента. В процессе разработки привлекаются новейшие технологии, позволяющие принимать бесконтактные платежи, работать в режиме оффлайн и интегрироваться с многочисленными сторонними программными и аппаратными системами. В связи с расширением проекта мы ищем опытного iOS специалиста для работы с мобильным front-end POS системы. Вы станете частью команды MERA, ведущей разработку и поддержку iOS приложений в сотрудничестве с лидером по предоставлению POS (Point-Of-Sale) решений на рынках Северной Америки, Европы и Азии. Мы предлагаем работу в долгосрочном и стабильном проекте, интересные задачи, возможность профессионального и карьерного роста. Рассмотрим кандидатов для переезда в г.Нижний Новгород. Готовы частично помочь с переездом. Ваши задачи : Разработка, развитие и поддержка мобильных приложений на платформе iOS Активное участие в проектировании архитектуры приложения Оптимизация производительности системы, анализ узких мест и возможных ограничений, рефакторинг приложения Применение инженерных best practices и современных подходов к разработке ПО Работа в интернациональной Agile команде, регулярное общение на английском языке с представителями заказчика и разработчиками из США и Европы Необходимые навыки : Опыт разработки под iOS от 3х лет; Знание Objective-C (архитектура, принципы разработки), iOS SDK, Apple HIG, UIKit, XML, JSON, SQLite Навык эффективной работы с системой контроля версий (Git) Опыт использования практик: unit testing, code review, continuous integration Разговорный и письменный английский, достаточный для общения с заказчиком и участия в митингах Будет плюсом : Опыт работы в Point of Sale или Payment processing Опыт интеграции стороннего оборудования и сторонних API (REST, SOAP) с iOS приложением Портфолио работ или ссылки в AppStore на реализованные приложения Мы предлагаем: Работу в крупнейшей частной российской компании, специализирующейся на разработке заказного ПО в различных сферах: Telecommunications, Internet of Things &amp; Industrial Automation, Automotive &amp; Transport, Fintech Cоциальный пакет с ДМС для сотрудников компании Гибкий график, демократичный стиль управления и дружную команду Офисы в верхней или нижней части города, корпоративный автобус, столовую, медицинский кабинет, зоны отдыха Поддержку здорового образа жизни: корпоративный тренажерный зал, льготное членство в фитнес-клубах Физкульт и World Class, участие в различных спортивных мероприятиях (городских и корпоративных) Возможность профессионального обучения и развития: корпоративные программы обучения, технические митапы и многое другое",Без требований,Без обязанностей,Без условий,iOS|Git|Objective-C,3
