,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills,days
837,837,java,Новосибирск,40000.0,136307.6923076923,Предприятие Элтекс,2019-10-14T14:05:32+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Привет, %username% Зовут меня Егор, я руководитель группы веб-разработки в Элтекс. Делаем мы много всякого веба — как фуллстек для разных железок (встраиваемый веб aka embedded), так и чистый фронт для разных систем управления. Однако разговор в этот раз пойдёт о проекте под названием «Бендер-портал». Это портал для наших менеджеров по продажам. Им нужна система, которая бы помогла вести учёт переговоров — как письменных (по почте), так и устных (по телефону). Вела бы сделки, группировала всю нужную информацию и выдавала её в удобном виде. Наш портал умеет уже сейчас работать с 4 базами (двумя PostgreSQL и двумя MySQL), синхронизируя информацию между ними. Умеет вытаскивать письма (с приложениями), фиксировать факты телефонных переговоров и прочее, прочее, прочее. Сейчас в планах много интересных фишек. Например, мы хотим фиксировать не только переписку, но и телефонные переговоры (в аудио-формате). А ещё бы аналитику прикрутить и много другого интересного. Поэтому мы ищем человека, который: любит программировать любит тяжело программировать, улучшая код и внедряя что-то новое, прекрасное, вечное… любит своих пользователей (менеджеров продаж), т.к. они хорошие, весёлые и полезные ребята а ещё любит джунов, т.к. на проекте сейчас есть один джун; да, один джун и всё - так что (почти) полная свобода действий! :) А ещё есть много других проектов, на которые можно будет со временем перейти, если этот закончится/надоест. Немного технических подробностей. Бэкэнд: java spring PostgreSQL, MySQL Фронт: js (ES5, но кто ж вам запретит использовать новьё?) angularjs (сорри, что умели, то и вставили) jquery bootstrap (куда ж без него?) Скрама-канбана и прочих новомодных вещей нет, потому что на проекте, как указано выше, один джун. Но флаг вам в руки! Компания существует уже 100500 лет и успешно развивается (можно не опасаться, что закроется завтра). Коллектив клёвый — весёлые, умные ребята, в основном до 30-35 Ещё у нас есть свой спортзал, рядом парк-лес, в котором можно гулять, кормить белочек, слушать птичек. Мы предлагаем: Участие в профессиональных конференциях; Собственный тренажерный зал в офисе, настолки и кикеры; Молодой и дружный коллектив, команду профессионалов, у которых есть чему поучиться; Трудоустройство согласно ТК РФ, соц. пакет, белая ЗП; Большое и современное здание (у нас найдется парковочное место не только для твоего авто, но и для велосипеда); Служебный транспорт от пл.Калинина и 4,5,6 мкр.; Уровень оплаты обсуждаем с каждым кандидатом индивидуально, в зависимости от компетенций и опыта работы. Если, прочитав вакансию, сердце ёкнуло, тогда скорее откликайся, мы будем рады познакомиться. Крутой java-разработчик, мы ждем тебя в нашей команде!",Без требований,Без обязанностей,Без условий,Java|Spring Framework|Git|Linux|Apache Maven|AngularJS|Swing|CSS|HTML|PostgreSQL|Spring MVC|Bootstrap,4
220,220,java,Новосибирск,40000.0,136307.6923076923,Центр разработки игр,2019-10-14T08:27:01+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: • Участие в разработке новых Android и WEB проектов; • Развитие и поддержание функционала существующих проектов; • Устранение ошибок. Требования: • Опыт разработки на Java - не менее полгода; • Опыт разработки на HTML - не менее полгода; • Опыт работы с реляционной СУБД - не менее полгода; • Увлечение компьютерными/настольными играми приветствуется. Условия: • Гибкий рабочий график; • Официальное трудоустройство; • Комфортное рабочее место (г. Новосибирск, Шлюз); • Творческая атмосфера; • Возможности для профессионального роста.", • Опыт разработки на Java - не менее полгода; • Опыт разработки на HTML - не менее полгода; • Опыт работы с реляционной СУБД - не менее полгода; • Увлечение компьютерными/настольными играми приветствуется. , • Участие в разработке новых Android и WEB проектов; • Развитие и поддержание функционала существующих проектов; • Устранение ошибок. ," • Гибкий рабочий график; • Официальное трудоустройство; • Комфортное рабочее место (г. Новосибирск, Шлюз); • Творческая атмосфера; • Возможности для профессионального роста.","Опыт разработки на Java, HTML и работы с реляционной СУБД",4
111,111,java,Новосибирск,67000.0,100000.0,Айкам,2019-10-13T13:10:52+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Приглашаем талантливых разработчиков Java присоединиться к команде разработки нового поколения систем электронного документооборота (Работать совместно в единой команде с ведущим Российским разработчиком ПО). Проект очень интересный, неординарный, с огромным потенциалом и перспективами развития. Что нужно будет делать: - Участие в проектировании и разработке новых высоконагруженных сервисов; - Участие в решении сложных интеграционных задач; - Взаимодействовать с командой внедрения и тестирования; - Поддержка и развитие существующих продуктов; Требования: - Понимание ООП и принципов проектирования. - Хорошее знание Java SE: Exceptions, Collections, IO, Multi-threading, JDBC - Уметь разбираться в чужом коде; - Опыт работы с СУБД и знание SQL (желательно Oracle, PostgreSQL) - Опыт работы с одним из серверов приложений: Tomcat, Glassfish, Weblogic, Websphere, Wildfly; Желательно: - Представление о разработке веб-сервисов (REST, Servlet API) - Базовые понимания фреймворка Spring(DI). - Опыт работы с maven, git. - Опыт работы ORM (Hibernate или другие)",Без требований,Без обязанностей,Без условий,Spring Framework|PostgreSQL|Java|Apache Maven|SQL|Java Servlets|REST|Hibernate ORM|Git|Java SE|XML|Atlassian Jira|Atlassian Confluence|WildFly,5
325,325,java,Новосибирск,100000.0,100000.0,Отраслевой центр разработок и внедрения информационных систем / ОЦРВ,2019-09-26T12:22:04+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: Реализация различных видов разработок программного обеспечения (ПО) в соответствии с функциональными спецификациями (техническим заданием); Написание рабочей документации к разработкам; Анализ функциональных требований; Анализ производительности ПО; Оптимизация ПО; Отладка ПО средствами среды программирования. Требования: Высшее образование, английский язык (достаточный для чтения технической литературы); Уверенное владение Java (JDK 1.7, 1.8); Collection Framework, Threads, JDBC; Знание J2EE (EJB, JMS, Web-services, Concurrency); Знание SQL, XML, XSLT, XSD, WSDL, SOAP; Опыт работы с системами контроля версий ПО, сборки проектов и системами управления проектами (Git, Maven, Jira); Преимуществом будет: Опыт разработки высоконагруженных масштабируемых систем; Опыт работы с Linux (CentOS); Опыт front-end разработки: HTML, CSS, JavaScript (библиотека jQuery или другие), Vaadin и др.; Знание Apache Camel; Опыт работы с Karaf; Знание концепций промышленной интеграции, ESB, SOA; Условия: Оформление по ТК РФ, белая стабильная заработная плата 100 000 gross + премии; Оплачиваемый отпуск; Медицинская страховка; Дружный коллектив профессионалов."," Высшее образование, английский язык (достаточный для чтения технической литературы); Уверенное владение Java (JDK 1.7, 1.8); Collection Framework, Threads, JDBC; Знание J2EE (EJB, JMS, Web-services, Concurrency); Знание SQL, XML, XSLT, XSD, WSDL, SOAP; Опыт работы с системами контроля версий ПО, сборки проектов и системами управления проектами (Git, Maven, Jira); Преимуществом будет: Опыт разработки высоконагруженных масштабируемых систем; Опыт работы с Linux (CentOS); Опыт front-end разработки: HTML, CSS, JavaScript (библиотека jQuery или другие), Vaadin и др.; Знание Apache Camel; Опыт работы с Karaf; Знание концепций промышленной интеграции, ESB, SOA; ", Реализация различных видов разработок программного обеспечения (ПО) в соответствии с функциональными спецификациями (техническим заданием); Написание рабочей документации к разработкам; Анализ функциональных требований; Анализ производительности ПО; Оптимизация ПО; Отладка ПО средствами среды программирования. ," Оформление по ТК РФ, белая стабильная заработная плата 100 000 gross + премии; Оплачиваемый отпуск; Медицинская страховка; Дружный коллектив профессионалов.",Без ключевых навыков,22
811,811,java,Новосибирск,100000.0,136307.6923076923,МФК СМСФИНАНС,2019-10-15T06:59:52+0300,От 1 года до 3 лет,Полный день,Полная занятость,"ООО МФК «СМСФИНАНС» Делаем финансовые услуги более живыми и доступными. Делаем сервис для пользователей нужным и удобным. Задачи: Разработка новой IT платформы. Осуществление поддержки платформы. Требования: Знание Java 8, SQL. Опыт разработки с использованием Spring, Hibernate. Опыт использования СУБД MySQL, PostgreSQL. Опыт работы с Git. Будет плюсом: Опыт разработки REST, SOAP сервисов. Опыт работы с docker. Опыт работы с системами автоматизации процессов (BPMN). Участвовал в разработке финансовых информационных систем. Условия: Официальное трудоустройство Белая заработная плата – от 100 000 Повышение квалификации за счет компании (обучение, конференции) Уроки английского языка в офисе ДМС по истечении испытательного срока"," Знание Java 8, SQL. Опыт разработки с использованием Spring, Hibernate. Опыт использования СУБД MySQL, PostgreSQL. Опыт работы с Git. Будет плюсом: Опыт разработки REST, SOAP сервисов. Опыт работы с docker. Опыт работы с системами автоматизации процессов (BPMN). Участвовал в разработке финансовых информационных систем. ",Без обязанностей," Официальное трудоустройство Белая заработная плата – от 100 000 Повышение квалификации за счет компании (обучение, конференции) Уроки английского языка в офисе ДМС по истечении испытательного срока",Java EE|Spring Framework|SQL|Hibernate ORM|Code Review|Java SE|REST|SOAP,3
360,360,java,Новосибирск,100000.0,136307.6923076923,Acryl platform,2019-10-14T11:08:31+0300,От 1 года до 3 лет,Гибкий график,Полная занятость,"ACRYL Platform - платформенное решение, основанное на технологии блокчейн, основной вектор развития которого, направлен на достижение максимальной распределенности сети и обеспечение децентрализации всех ее компонентов. Команда ACRYL - крипто-энтузиасты, аккумулировавшие самые эффективные технологии и подходы индустрии на данный момент. Ищет амбициозного разработчика Java (с дальнейшим переходом на Scala). Обязанности: Разработка серверных приложений на Scala (blockchain node, order matcher и другие сервисы) Написание модульных и интеграционных тестов Улучшение и рефакторинг кода Ревью кода Исследование и оптимизация производительности приложений Разработка новой функциональности, возможна исследовательская работа. Требования: Опыт разработки не менее 2 лет (желательно с Java/Scala) Желание писать код в функциональном стиле (наш функциональный стек cats/monix) Хорошее понимание структур данных и алгоритмов Плюсом будет опыт работы над распределенными системами, компиляторами, виртуальными машинами Отличное знание структур данных Желательны знания распределенных систем и криптографии Мы предлагаем: официальное трудоустройство, график гибкий, с возможностью периодически работать из дома, заработная плата по результатам собеседования, в зависимости от опыта и знаний возможность участвовать в специализированных конференциях как в качестве слушателя, так и докладчика; возможность представить мировому ИТ-сообществу свои наработки (Open Source), возможности для карьерного и профессионального развития, бесплатные обеды, чай, кофе и другие плюшки.",Без требований," Разработка серверных приложений на Scala (blockchain node, order matcher и другие сервисы) Написание модульных и интеграционных тестов Улучшение и рефакторинг кода Ревью кода Исследование и оптимизация производительности приложений Разработка новой функциональности, возможна исследовательская работа. ",Без условий,Без ключевых навыков,4
696,696,java,Новосибирск,100000.0,140000.0,СДЭК,2019-10-01T06:26:55+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Команда разработки стремительно растет, в связи с этим открыты вакансии middle java-разработчика в нашем офисе, расположенном в центре города Новосибирска! Мы разрабатываем высоконагруженную живую систему с микросервисной архитектурой, которая обрабатывает 360 тыс. транзакций в минуту! И все это для того, чтобы ежедневно 300 000 наших клиентов радовались, получая вовремя и в нужном качестве свои важные и ценные посылки - от важных договоров до виз и лекарств! Задачи: ты будешь разрабатывать backend часть приложения, взаимодействовать с аналитиками, QA, DevOps и другими смежными командами разработки; поддерживать и рефакторить текущий функционал, писать новый; также мы проводим кросс-ревью кода внутри команды; мы не спрашиваем знание ООП, Design Patterns, SOLID, DRY и другие аббревиатуры, здравый смысл должен быть у вас в крови, а эти принципы в настольных книгах (шутим, конечно спросим:)) мы не используем ORM, а используем MyBatis и оптимизируем запросы. Если EXPLAIN и ANALYZE для тебя не пустые слова, тогда тебе к нам! Стек технологий: Java 8 (Stream), Jetty (Embedded Servlet Container), Git, Maven, PostgreSQL; Все проекты мы пишем на Spring Framework 4 (Core, MVC, AMQP, Security); Мы внедряем метрики (Prometheus) и денормализуем данные для быстрого поиска (Elastic Search). Если что-то из перечисленного ниже тебе знакомо, это будет плюсом: Java Concurrent; Spring AOP; Highload; Шардирование и партиционирование БД. О проектах и команде: наш продукт - это многомодульная распределенная система. группы модулей объединены для решения задач определенных сфер деятельности (Логистика, Финансы, Клиенты, Заказы, интеграция и т.д.). каждым модулем занимается отдельная микрокоманда из 2-4 человек и вам предстоит присоединиться к одной из них или даже стать техлидом своего модуля и полюбить его всей душой. также тесно взаимодействуют команды backend, frontend, тестирования, системного анализа и тех.поддержки - каждый занимается своей работой! у нас открытые, дружелюбные и крайне веселые ребята, которые помимо работы, всегда рады встречам и вне стен офиса - в баре или в гостях друг у друга, на корпоративах и конференциях :) Мы предлагаем: демократичный и открытый стиль общения, минимум бюрократии, максимум идей! потрясающие, позитивные, отзывчивые и влюбленные в свое дело коллеги; возможность профессионального роста по системе грейдов, обязательно с учетом ваших профессиональных пожеланий; заработную плату - оклад (вилка зависит от грейда) и возможность ежемесячного бонуса корпоративный университет: внутренние тренинги, внешние конференции и семинары, изучение иностранных языков; зажигательные корпоративы, мероприятия, еженедельные фрукты, чай, кофе, сладости и многое другое!",Без требований,Без обязанностей,Без условий,Без ключевых навыков,17
726,726,java,Новосибирск,100000.0,136307.6923076923,Азиатско-Тихоокеанский Банк,2019-10-03T02:13:30+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: Разработка ПО на Java (SE, EE). Требования: JavaSE, Swing, jdbc. JavaEE, EJB, JSF, JPA. Готовность исследовать чужой код, способность работать самостоятельно. Условия: Перспективы роста и развития в крупном многофилиальном Банке: 25 лет успешной работы, 4000 сотрудников, 19 регионов присутствия, более 200 подразделений по всей стране. Трудоустройство в соответствии с ТК РФ с 1 дня. Полный социальный пакет. Достойная и своевременная заработная плата. Программа ДМС Программы обучения и возможности для развития внутри Банка. Работа в дружной команде профессионалов."," JavaSE, Swing, jdbc. JavaEE, EJB, JSF, JPA. Готовность исследовать чужой код, способность работать самостоятельно. "," Разработка ПО на Java (SE, EE). "," Перспективы роста и развития в крупном многофилиальном Банке: 25 лет успешной работы, 4000 сотрудников, 19 регионов присутствия, более 200 подразделений по всей стране. Трудоустройство в соответствии с ТК РФ с 1 дня. Полный социальный пакет. Достойная и своевременная заработная плата. Программа ДМС Программы обучения и возможности для развития внутри Банка. Работа в дружной команде профессионалов.",Без ключевых навыков,15
240,240,java,Новосибирск,100000.0,130000.0,"Нужные люди, Кадровое агентство",2019-10-03T10:26:54+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Компания - IT интегратор крупнейшего в РФ логистического холдинга приглашает на конкурсной основе Java разработчика Обязанности: - Участие в разработке единой геоинформационной платформы - Развитие бэкэндовой части разработки Геопортала - Редизайн, рефакторинг, написание нового функционала - Взаимодействие с командой фронтэнда - Участие в принятии технических решений Требования: - Знание Java Core (коллекции, рефлексия, исключения) - Знание принципов ООП и умение применять их на практике - Знание SQL - Знание XML, JSON - Понимание REST/SOAP - Будет плюсом знание JavaScript - Опыт работы с системой контроля версий Git - Опыт работы с системой отслеживания задач Jira - Умение самостоятельно разбираться в новых технологиях Условия: -Трудоустройство в соответствии ТК РФ -Конкурентная заработная плата -ДМС -Оплата мобильной связи"," - Знание Java Core (коллекции, рефлексия, исключения) - Знание принципов ООП и умение применять их на практике - Знание SQL - Знание XML, JSON - Понимание REST/SOAP - Будет плюсом знание JavaScript - Опыт работы с системой контроля версий Git - Опыт работы с системой отслеживания задач Jira - Умение самостоятельно разбираться в новых технологиях "," - Участие в разработке единой геоинформационной платформы - Развитие бэкэндовой части разработки Геопортала - Редизайн, рефакторинг, написание нового функционала - Взаимодействие с командой фронтэнда - Участие в принятии технических решений ", -Трудоустройство в соответствии ТК РФ -Конкурентная заработная плата -ДМС -Оплата мобильной связи,Без ключевых навыков,15
507,507,java,Новосибирск,100000.0,120000.0,Spectrum,2019-10-14T07:35:30+0300,От 3 до 6 лет,Полный день,Полная занятость,"Spectrum – это компания, которая специализируется на автоматической обработке данных. Мы объединяем 4 федеральных сервиса по проверке: автомобилей (avtocod.ru), физических лиц (checkperson.ru), контрагентов (xfirm.ru) и объектов недвижимости (egrnreestr.ru). Нашими клиентами являются Яндекс, Mail group, АльфаСтрахование, Газпромнефть, ВСК, Кардиф, Согласие и многие другие. Мы обрабатываем более 3 млн запросов ежемесячно. Наша компания активно растет, и мы будем рады единомышленникам, которым интересно изучить kotlin и перейти на него, а также поучаствовать в реализации highload решения. Что мы любим и используем: Kotlin; Ktor; Spring Boot 2.+; Cassandra 3.5; Elasticsearch 6.+; BigData; работу в формате agile, по TDD; code review; положительно относимся к освоению других новых технологий. Мы будем рады видеть тебя в нашей команде, если ты: Владеешь любым из данных языков программирования Java/ С++/С#/kotlin и тебе интересно перейти на kotlin; Понимаешь концепцию ООП и REST; Знаешь и используешь Git, Maven или Gradle; Знаком с инструментами тестирования ПО (junit, mocks); Знаешь SQL, умеешь писать запросы, реализовывать простые схемы хранения; Владеешь какими-либо из перечисленных инструментов для работы с большими данными: Cassandra, ElasticSearch, MongoDB, Solr, Spark, Flink, Hadoop; Умеешь ставить и декомпозировать задачи по SMART, обсуждать задачи с заказчиками. Твоим преимуществом будет : Готовность предоставить примеры кода. Со своей стороны предлагаем : Официальное трудоустройство, белую заработную плату; Работу в составе слаженной и грамотной команды над крупным проектом; Возможность стать тимлидом; Гибкое начало рабочего дня (с 8:00 до 11:00); Офис в центре города; Пересмотр заработной платы по мере твоего развития в компании; Оплату посещения конференций и профильных курсов; Современное &quot;железо&quot; и любые необходимые сервисы; Unlimited coffee with cookies.",Без требований,Без обязанностей,Без условий,Java|Kotlin|C#|C++|TDD|Cassandra|Elasticsearch,4
