,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills,days
647,647,javascript,Челябинск,25000.0,50000.0,СофтПлюс,2019-10-21T00:08:13+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Требования – Умеете верстать (html+css) и писать простые скрипты на js; – Можете прочесть (с помощью goolge) php код, внести минимальные правки и сформировать SQL запрос к базе. У нас вы научитесь – Пользоваться webpack; – Освоите и React, и Vue, и Angular, и разработку на чистом JS; – Вносить правки и доработки на backend (node.js и php); – Работать со сверхбыстрой БД ClickHouse от Яндекс; – Обеспечивать безопасность продукта с HashiCorp(Consul, Vault); – Строить сервисную архитектуру и пользоваться очередями RabbitMQ; – Настраивать мониторинг на Prometheus и Graphite. Условия – Офис открыт с 08.00 до 22.00, выберите своё время работы самостоятельно; – С вас - качество работ, с нас - информация и оборудование по запросу; – Оплачиваем образование: курсы и профильные конференции; – Работаем без KPI. Zaycev.FM – одна из первых интернет станций в Рунете, существует с 2010 г. Работает без стационарной студии. Занимаемся различными музыкальными проектами стриминга (интернет вещания): от интернет-радио, до интеллектуального музыкального помощника - рекомендательной сети на исскуственном интелекте. Стек основных технологий: php, node.js, MySQL. В разных проектах использованы React, Vue.js и Angular 6. Стремимся внедрить CI/CD на 100% проектов. Команда разработки трудится в офисе в Челябинске.",Без требований,Без обязанностей,Без условий,JavaScript|HTML|CSS3,0
523,523,javascript,Челябинск,30000.0,156666.66666666663,Оранж Аппс,2019-10-19T08:31:55+0300,Нет опыта,Гибкий график,Полная занятость,"Обязанности : Разработка и поддержка HTML5 игр для социальных сетей Разработка и поддержка игровых приложений под мобильные платформы (Android, iOS) Интеграция различных социальных платформ (Facebook, VK, Odnoklassniki и др.) Требования : Уверенное владение JavaScript (ES5/ES6) Базовые знания HTML, CSS Умение разбираться в чужом коде, поддерживать его, проводить рефакторинг Будет большим плюсом: Опыт работы в игровой индустрии Если мы сможем провести интересную беседу о структурах данных, алгоритмах, ООП, паттернах проектирования Наличие опыта работы с HTML Canvas Опыт использования Cocos2d / Cocos Creator / PixiJS / Phaser Владение инструментами отладки и профилирования JavaScript Базовые знания Node.js Уверенное владение Git Нежная любовь к компьютерным играм :) Условия: Насыщенный рабочий день с удобным гибким графиком. Важен результат, а не отработанные часы Рабочее место в просторном комфортабельном офисе в самом центре г. Челябинска Чай, кофе, фрукты, сладости в неограниченном количестве :) Обучение, посещение конференций Оформление по ТК РФ ДМС Компенсация стоимости занятий иностранными языками и спортом Заработная плата обсуждается исходя из опыта и профессиональных навыков соискателя Если вы всегда мечтали попасть в игровую индустрию, мы ждем вас :)",Без требований,Без обязанностей," Насыщенный рабочий день с удобным гибким графиком. Важен результат, а не отработанные часы Рабочее место в просторном комфортабельном офисе в самом центре г. Челябинска Чай, кофе, фрукты, сладости в неограниченном количестве :) Обучение, посещение конференций Оформление по ТК РФ ДМС Компенсация стоимости занятий иностранными языками и спортом Заработная плата обсуждается исходя из опыта и профессиональных навыков соискателя Если вы всегда мечтали попасть в игровую индустрию, мы ждем вас :)",JavaScript|HTML|HTML5|ООП|Node.js|Cocos Creator|Cocos2d|Phaser|PixiJS|CSS|Game Programming,2
553,553,javascript,Челябинск,38333.333333333336,300000.0,DriverPack Solution,2019-09-27T18:57:43+0300,Более 6 лет,Полный день,Полная занятость,"Привет! Меня зовут Артур Кузяков. Я фаундер компании DriverPack — это самое знаменитое приложение для настройки компьютеров в один клик. 60млн+ юзеров, используют DriverPack. Но… драйверы это скучно... Поэтому сегодня я собираю команду под новый, уникальный продукт для европейского рынка. Расскажу подробнее, когда придешь на собеседование! :-) Кого ищу? Fullstack разработчиков на NodeJS, React, Vue. Почему работать в DriverPack — круто: У нас много классных задач, выполняя которые ты будешь расти, они тебя будут челенджить постоянно. У нас не получится «кодить ради кода», придётся постоянно думать головой, что реально ты делаешь и зачем. Мы всё время думаем, как &quot;хакнуть систему&quot;, чтобы достичь того же результата, но сильно быстрее? У нас принято, чтобы разработчики влияли на то, в какую сторону будет развиваться продукт. А для этого поэтому, например, у нас все разработчики шарят в продуктовых метриках, маркетинге, аналитике и всяких таких штуках. Мы и тебя научим. 1. Наши разработчики влияют на наш продукт. Каждой задаче мы задаем вопросы: Понимаю ли я зачем мы делаем задачу? Согласен ли я что нужно ее делать? Есть ли другие решения задачи? Не делаем, если сомневаемся. Делаем только самое важное. Выкидываем «улучшательства», если их сложно делать. 2. Задачи описаны четко и понятно. Устал от однострочных описаний “сделай по макету”? В DriverPack такого нет. Каждая задача описывает проблему. После этого: Обсуждаем командой программистов и вырабатываем решение и оценку. Задача не попадает в разработку, пока не понятно как ее делать. 3. Мы на острие технологий: Наш стек: Node.JS, React, Babel, Vue, Redux, Gulp, Koa.js, NW.js, ElectronJS, Webpack, ES6 Базы данных: MongoDB, SQLite, PostgreSQL, MySQL, Redis, Memcached Серверные технологии: Docker, Ansible, Kuberhetes, HAProxy, Zabbix, Sentry, Jenkins, nagios, CDN, Nginx, Apache WebTorrent для уменьшения нагрузки на CDN и повышения отказаустоичивости Продуктовые методологии и подходы: AARRR, ARPU, ARPPU, Retention, LTV, CPA, StoryMapping, DesignThinking, HADI, JTBD, User Stories, CJM (Customer Journey Map) Можно перечислить ещё много разных штук, которые показывают, что мы крутые… но думаю, что этого пока хватит :-) 4. Мы за простые решения: Упрощать здорово. Усложняй, только если это оправданно. Используй сторонние решения. Не пиши велосипеды. Не делай лишнего. Сделай простой работающий скелет. Сделай его хорошо. Почему, работа в DriverPack, тебе может не подойти: Если ты часто употребляешь фразы «Это нереализуемо» или «Это невозможно». Не бросаемся использовать новые хайповые технологии. Потому что для нас программирование это всего лишь один из инструментов, при помощи которого мы создаём самые лучшие продукты. Ты не переносишь Legacy код. Проекту, всё таки, 10 лет ;) Есть legacy части, которые нет смысла и желания переписывать. Ты перфекционист и делаешь идеальные решения долго и упорно. Что дальше: Откликайся на вакансию в HH Заполни тестовое задание Если ок, то пообщаемся лично.",Без требований,Без обязанностей,Без условий,Без ключевых навыков,23
722,722,javascript,Челябинск,38333.333333333336,156666.66666666663,СИГМА,2019-10-15T17:50:02+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: Разработка программного обеспечения (системы технологического управления, геоинформационные системы) Требования: Знание и умение применять принципы объектно-ориентированного программирования и основные паттерны проектирования Опытом разработки коммерческих продуктов на C# от 2-3 лет Навык веб-разработки (HTML5/CSS/JavaScript) Опыт работы с ReactJS/React, Node.js Опыт работы с ASP.NET Core (MVC / WEB API/ REST API) Умение проводить ревью кода Умение пользоваться git для повседневной разработки; Умение оптимизировать производительность web-приложений; Проводить технический анализ. Опытом работы с PostgreSQL Будет вашим преимуществом: Высоконагруженными и отказоустойчивыми системами (понимание отличий между отказоустойчивостью и высокой доступностью) Наличие собственных проектов, участие в проектах, связанных с электроэнергетикой Понимание принципов IoT Навык владения: Docker и Kubernetes; Компонентами Telerik Kendo, Material UI; ГИС системами (Leaflet, OpenLayers, Geoserver, OGC, OSM, API Яндекс.Карты); Библиотеками Machine Learning (PyTorch, и др.) Знание промышленных протоколов передачи данных (Modbus, OPC DA, OPC HDA, МЭК 104) Условия: Оформление в соответствии с ТК РФ Конкурентная заработная плата (обсуждается индивидуально с успешным кандидатом) ДМС после испытательного срока Доступ к корпоративной электронной библиотеке"," Знание и умение применять принципы объектно-ориентированного программирования и основные паттерны проектирования Опытом разработки коммерческих продуктов на C# от 2-3 лет Навык веб-разработки (HTML5/CSS/JavaScript) Опыт работы с ReactJS/React, Node.js Опыт работы с ASP.NET Core (MVC / WEB API/ REST API) Умение проводить ревью кода Умение пользоваться git для повседневной разработки; Умение оптимизировать производительность web-приложений; Проводить технический анализ. Опытом работы с PostgreSQL Будет вашим преимуществом: Высоконагруженными и отказоустойчивыми системами (понимание отличий между отказоустойчивостью и высокой доступностью) Наличие собственных проектов, участие в проектах, связанных с электроэнергетикой Понимание принципов IoT Навык владения: Docker и Kubernetes; Компонентами Telerik Kendo, Material UI; ГИС системами (Leaflet, OpenLayers, Geoserver, OGC, OSM, API Яндекс.Карты); Библиотеками Machine Learning (PyTorch, и др.) Знание промышленных протоколов передачи данных (Modbus, OPC DA, OPC HDA, МЭК 104) "," Разработка программного обеспечения (системы технологического управления, геоинформационные системы) ", Оформление в соответствии с ТК РФ Конкурентная заработная плата (обсуждается индивидуально с успешным кандидатом) ДМС после испытательного срока Доступ к корпоративной электронной библиотеке,Без ключевых навыков,6
982,982,javascript,Екатеринбург,60000.0,120000.0,Byndyusoft,2019-10-10T14:41:36+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Welcome to Byndyusoft! Мы за открытое и прозрачное общение без иерархии и формализма Мы развиваем сотрудников и адаптируем новичков в компании, будьте проще Мы работаем на бизнес-результат, делая процесс максимально душевным и комфортным Приходите к нам писать код У нас вы будете разрабатывать IT-продукты на Node.js в команде с использованием методологии Agile Мы будем рады, если вы: знаете внутреннее устройство Node.js создавали Web-приложения и API грамотно применяете шаблоны и принципы проектирования используете модульное тестирование и Refactoring в повседневной работе работали по Scrum или Kanban готовы выполнить небольшое тестовое задание Мы готовы вам предложить: официальное трудоустройство согласно ТК РФ большой офис в центре города помощь при переезде в Челябинск офис в Санкт-Петербурге в 2020 году в офисе вода, чай, кофе, печеньки за счет компании свободный график прихода и ухода из офиса иногда можно работать из дома внутрикорпоративные тренинги по технологиям и практикам разработки покупку книг для профессионального и саморазвития посещение профильных конференций за счёт компании корпоративы по вашей инициативе за счет компании подарки на Новый Год вашим детям материальную помощь в сложных жизненных ситуациях и при рождении детей Good luck!",Без требований,Без обязанностей,Без условий,Agile Project Management|Transact-SQL|Git|JavaScript|Node.js,11
584,584,javascript,Челябинск,60000.0,120000.0,Byndyusoft,2019-10-02T14:07:35+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Welcome to Byndyusoft! Мы за открытое и прозрачное общение без иерархии и формализма Мы развиваем сотрудников и адаптируем новичков в компании, будьте проще Мы работаем на бизнес-результат, делая процесс максимально душевным и комфортным У нас вы будете разрабатывать IT-продукты на Node.js в команде с использованием методологии Agile Мы будем рады, если вы: знаете внутреннее устройство Node.js создавали Web-приложения и API грамотно применяете шаблоны и принципы проектирования используете модульное тестирование и Refactoring в повседневной работе работали по Scrum или Kanban готовы выполнить небольшое тестовое задание Мы готовы вам предложить: официальное трудоустройство согласно ТК РФ большой офис в центре города со всем необходимым свободное время прихода и ухода из офиса возможно работать удалённо офис в Санкт-Петербурге в 2020 году внутрикорпоративные тренинги по технологиям и практикам разработки покупку книг для профессионального и саморазвития посещение профильных конференций за счёт компании корпоративы по вашей инициативе за счет компании подарки на Новый Год вашим детям материальную помощь в сложных жизненных ситуациях и при рождении детей Good luck!",Без требований,Без обязанностей,Без условий,Agile Project Management|Transact-SQL|Git|JavaScript|Node.js,19
265,265,javascript,Краснодар,63552.27272727273,93415.5844155844,"EPAM Systems, Inc.",2019-10-01T18:46:42+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Позиция подразумевает возможность работать УДАЛЕННО или офис в г. Краснодар. Стремление к совершенству у нас в ДНК. С 1993 года EPAM помогает клиентам по всему миру придумывать, разрабатывать, проектировать и внедрять программное обеспечение, которое меняет мир. Сегодня мы уже больше, чем просто специалисты. Мы эксперты, которые придумывают инновационные решения для достижения реальных результатов. В настоящее время мы ищем инженеров по автоматизированному тестированию (JS) - Junior - Pre-Middle Обязанности: Определение инструментов автоматизации тестирования, подготовка плана автоматизации тестирования или программы и методики испытаний; Разработка автоматизированных тестов в соответствии с тестовыми сценариями и планом автоматизации тестирования; Поддержание тестовых сценариев в актуальном состоянии в течение жизненного цикла проекта разработки; Проведение тестирования в соответствии с тестовыми сценариями, планом и стратегией тестирования; проведение анализа результатов тестирования и предоставление отчётов о результатах тестирования; Методическое обеспечение тестирования в проекте; Следование процессам тестирования, определенным в описаниях процессов и рабочих инструкциях системы менеджмента качества компании. Требования: Опыт работы Automated Testing не менее 1,5 лет; Знание принципов ООП; Знание основ автоматизации тестирования; Знание и опыт применения BDD, Gherkin; Знания JavaScript и опыт написания тестов; Опыт работы с фреймворками: Angular; Mocha, Protractor - (UI automation). Будет плюсом: Опыт работы с SauceLabs. ​​Мы предлагаем Возможность материального, профессионального и карьерного роста; Проекты: интересные и разные; Профессиональная команда и очень дружная приятная атмосфера; Оформление согласно законодательству; Финансовая поддержка со стороны компании при значимых событиях в жизни сотрудников; Курсы английского языка, ДМС со стоматологией, оплата больничных и отпусков в соответствии с ТК c дополнительной компенсаций до среднего заработка в зависимости от стажа.",Без требований," Определение инструментов автоматизации тестирования, подготовка плана автоматизации тестирования или программы и методики испытаний; Разработка автоматизированных тестов в соответствии с тестовыми сценариями и планом автоматизации тестирования; Поддержание тестовых сценариев в актуальном состоянии в течение жизненного цикла проекта разработки; Проведение тестирования в соответствии с тестовыми сценариями, планом и стратегией тестирования; проведение анализа результатов тестирования и предоставление отчётов о результатах тестирования; Методическое обеспечение тестирования в проекте; Следование процессам тестирования, определенным в описаниях процессов и рабочих инструкциях системы менеджмента качества компании. ",Без условий,JavaScript|Английский язык|Проведение тестирований|Angular|QA,19
281,281,javascript,Краснодар,63552.27272727273,93415.5844155844,ДжетРуби Эйдженси,2019-10-16T11:44:15+0300,От 3 до 6 лет,Удаленная работа,Полная занятость,"Jet Ruby Agency - компания, не знающая географических и технологических границ. Мы развиваем стартапы и обслуживаем крупные международные корпорации. Мы наращиваем свою экспертизу и приглашаем присоединится в команду Vue.JS разработчика. Проект создается с целью упростить и сделать рынок перевозок прозрачным и простым. Highload приложение, от грамотной и бесперебойной работы которых зависит, насколько быстро и качественно будет доставлен груз из точки А в точку Б. Проект объединяет в себе с одной стороны сложную логистическую составляющую коммерческих перевозок, а с другой - простые интерфейсы для различных категорий сотрудников: от грузчиков и водителей, и до менеджеров перевозок и крупных корпоративных заказчиков. Задачи: Разработка с нуля веб-приложения по требованиям заказчика; Решение задач, связанных с проектом; Отслеживать новые технологии и внедрять их в проекты; Code Review Наставничество; Общение с клиентами Ожидания: JavaScript от 3 лет, обязателен опыт работы с ES6+; Опыт коммерческой разработки на Vue.js от 2 лет; Умение писать чистый и понятный JS код; Умение делать верстку Git; Настройка webpack и сборка приложений; Знание английского языка Pre-Intermediate+ Будет плюсом: TypeScript; Опыт написания и использования автоматических тестов (например на jest), понимание процессов тестирования ПО; Навыки отладки кода и профилирования; Понимание подходов Agile, опыт работы по одной из Agile практик (Scrum, Kanban, XP); Предлагаем: Высокий уровень зп и регулярный ее пересмотр; Дружный коллектив и адекватное руководство; Помощь в релокации, если захотите переехать в Краснодар или ближе к морю",Без требований,Без обязанностей,Без условий,JavaScript|Git|Scrum|Vue,5
436,436,javascript,Краснодар,63552.27272727273,93415.5844155844,ДжетРуби Эйдженси,2019-10-16T11:37:02+0300,От 1 года до 3 лет,Полный день,Полная занятость,"JetRuby Agency - компания, не знающая географических и технологических границ. Мы развиваем стартапы и обслуживаем крупные международные корпорации. Мы наращиваем свою экспертизу и приглашаем присоединится в команду Vue.JS разработчика. Проект создается с целью упростить и сделать рынок перевозок прозрачным и простым. Highload приложение, от грамотной и бесперебойной работы которых зависит, насколько быстро и качественно будет доставлен груз из точки А в точку Б. Проект объединяет в себе с одной стороны сложную логистическую составляющую коммерческих перевозок, а с другой - простые интерфейсы для различных категорий сотрудников: от грузчиков и водителей, и до менеджеров перевозок и крупных корпоративных заказчиков. Задачи: Разработка с нуля веб-приложения по требованиям заказчика. Решение задач, связанных с проектом; Отслеживать новые технологии и внедрять их в проекты; Code Review Наставничество; Общение с клиентами под руководством руководителя проекта Ожидания: JavaScript от 3 лет, обязателен опыт работы с ES6+ ; Опыт коммерческой разработки на Vue.js от 2 лет; Умение писать чистый и понятный JS код; Умение делать верстку Git; Настройка webpack и сборка приложений; Знание английского языка Pre-Intermediate+ Будет плюсом: TypeScript; Опыт написания и использования автоматических тестов (например на jest), понимание процессов тестирования ПО; Навыки отладки кода и профилирования; Понимание подходов Agile, опыт работы по одной из Agile практик (Scrum, Kanban, XP); Предлагаем: Высокий уровень зп и регулярный ее пересмотр; С каждым сотрудником прорабатываем индивидуальный план профессионального развития (PDP) и карьеры в компании; Комфортабельный современный офис в самом центре с шикарным видом; Уроки английского; По желанию до 5 дней (1 неделя) в месяц можно работать удаленно; Дружный коллектив и адекватное руководство; Помощь в релокации",Без требований,Без обязанностей,Без условий,JavaScript|Git|Scrum|Vue,5
379,379,javascript,Краснодар,63552.27272727273,93415.5844155844,Noveo,2019-10-10T05:53:03+0300,От 1 года до 3 лет,Удаленная работа,Полная занятость,"В связи с ростом компании мы в постоянном поиске классных разработчиков React Native для удаленной работы Чем ты будешь заниматься: - разработкой кроссплатформенных iOS- / Android-приложений. Где можно работать: В одном из офисов Noveo в России (Новосибирск, Санкт-Петербург) или на Кипре; или же удаленно из любой точки мира в своем часовом поясе. Требования к кандидатам: опыт разработки на React Native; отличное знание JavaScript (ES6+) или TypeScript, опыт разработки от 2 лет; знание одного или нескольких современных JS-фреймворков (в идеале React.js + Redux); знание английского языка на уровне чтения технической документации. Будет плюсом: наличие законченных проектов на React Native; опыт разработки нативных iOS / Android приложений. Удаленное сотрудничество В Noveo разработана модель успешного компромисса между между стабильностью работы в офисе компании и свободой фриланса – удаленная работа. Что ты получаешь: стабильную долгосрочную загрузку (8 часов в день, 40 часов в неделю), гибкий график работы; возможность работать из любой точки планеты в любом часовом поясе и по свободному графику; конкурентную и официальную оплату труда ежемесячно, ее регулярный пересмотр; возможность изучения новых технологий и их применение в проектах, внутренее обучение; самые разнообразные проекты от инновационных высокотехнологичных стартапов до мощных высоконагруженных гигантов от крутых европейских заказчиков; участие во внутренних митапах, постоянный обмен опытом с коллегами; отсутствие тотального контроля со стороны компании: мы не делаем скриншоты монитора во время работы, не следим за перемещением мыши по рабочему столу, не выключаем рабочий таймер каждый раз, когда вскипел чайник и вы отправились за кружкой горячего чая. Нам важны качественно и вовремя сделанные задачи, а не то, что происходит в фоне. четко выстроенные процессы и методология разработки; бесплатное изучение английского языка. О компании Noveo 16 лет на рынке; 300+ сотрудников; Клиенты: крупные западно-европейские компании с высокими стандартами качества к производству ПО. Присоединяйся к команде удаленных разработчиков Noveo для решения интересных задач!",Без требований,Без обязанностей,Без условий,react native,11
