,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills,days
309,309,python,Новосибирск,60000.0,100000.0,АйТи Мегастар,2019-10-14T16:19:19+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Megastar — команда из более чем 50 специалистов, которая знает как делать IT/digital - продукты, предназначенные как широкой, так и узкоспециализированной аудитории. Лидеры внутренних команд компании — профессионалы со значительным опытом, контролирующие выполнение задач и отвечающие за здравый смысл происходящего. К каждой задаче мы относимся как к продукту, думая не только о её прямом выполнении, но и привнося собственную экспертизу, в том числе и в её постановку. Мы сделаем всё от нас зависящее, чтобы определить реальные цели наших партнеров и достичь их оптимальным способом. В связи с расширением, приглашаем в нашу активно развивающуюся IT компанию Python developer. Мы предлагаем: оформление по ТК РФ; гибкий график; команды профессионалов, искренне заинтересованных в развитии проектов, с продуктовым подходом; интересные проекты различной сложности; возможность профессионального и карьерного роста до Team/Tech Lead; достойный уровень заработной платы (обсуждается на собеседовании); безлимит чай, кофе, печеньки,корпоративы; удобная парковка с большим количеством парковочных мест; комфортные, стильные офисы в Новосибирске и Академгородке. Необходимые навыки: опыт разработки backend от 3 лет; уверенное знание Python; опыт использования REST API; опыт работы с любой из реляционных баз данных (Postgresql, MySql) и key-value хранилищами (Redis, MemCached); опыт интеграции с внешними сервисами; знание основных паттернов и алгоритмов; умение работать с GIT; уверенное использование командной строки linux; английский на уровне чтения технической документации (pre-intermediate); умение работы в команде. Будет плюсом: базовые знания систем виртуализации и контейнеризации; интерес к другим языкам программирования (Go, Php). Чем предстоит заниматься: разработка backend части приложений с нуля и доработка существующих; архитектура баз данных; деплой приложений на тестовый и боевой сервер; настройка систем логирования. Даже если Вы не нашли какой -то пункт у себя в резюме, мы все равно будем рады познакомиться и рассмотреть Вашу кандидатуру, поэтому смело откликайтесь, даем обратную связь! В случае, если мы не ответили Вам в течение 14 календарных дней, значит мы пока не можем предложить Вам дальнейшее взаимодействие и сотрудничество. Но! Мы сохраняем отклик на перспективу, на будущие проекты. «Отправляя резюме на данную вакансию, Вы тем самым подтверждаете свое согласие на сбор, систематизацию, накопление, хранение, уточнение, использование, передачу, обезличивание, блокирование, уничтожение своих персональных данных в соответствии с п.3 ч.1 ст.3 Федерального закона от 27.07.2006г № 152-ФЗ «О персональных данных».",Без требований,Без обязанностей,Без условий,Python,4
342,342,python,Новосибирск,75000.0,120000.0,Тензор,2019-09-27T11:56:00+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Тензор – крупная российская IT-компания. Наш основной продукт – СБИС – сеть деловых коммуникаций. СБИС объединяет людей и компании, системы управления и учета, бизнес-процессы и документы в одной системе. Систему СБИС придумали, создали и постоянно совершенствуют окола 1500 разработчиков в 11 филиалах по стране. У нас есть фанаты дата-майнинга, эксперты в разработке кроссплатформенных приложений и высоконагруженных систем, разработчики мобильных, настольных и веб-приложений, специалисты по обработке, анализу и хранению больших массивов данных. Мы ищем людей, способных реализовывать крупные проекты от идеи до “продакшена”. Присоединившись к нашей команде, у вас будет возможность усовершенствовать систему СБИС. Результатом вашей работы будут пользоваться более миллиона людей – на компьютерах, планшетах и смартфонах. Мы не работаем под заказ, мы создаем тиражные продукты. Используемый стек технологий: C++, Python, PostgreSQL, Javascript, NodeJS, Redis, ElasticSearch, Clickhouse. Вам не нужно знать буквально все наши технологии. Нужна светлая голова и страстное желание работать. Делать лучший продукт в России. Мы будем рады узнать о наличии у вас: опыта разработки на указанных выше ЯП или любом диалекте SQL; способности чувствовать «красоту кода»; опыта командной разработки; профильного (ИТ/инженерного) образования; желания развиваться – как вместе с нами, так и самостоятельно. Мы предлагаем: оформление по ТК РФ; заработная плата в зависимости от квалификации и уровня ответственности; премии от 5 до 20% по итогам работы за месяц; комфортный офис в центре города или в Академгородке; ДМС после года работы в компании; курсы английского языка и компенсацию занятий спортом; корпоративные праздники и различные совместные мероприятия.",Без требований,Без обязанностей,Без условий,Без ключевых навыков,21
813,813,python,Новосибирск,80000.0,100000.0,Группа Компаний СТАРТЕКС,2019-10-12T21:09:20+0300,От 3 до 6 лет,Удаленная работа,Полная занятость,"Команда разработки крупного федерального интернет-магазина ищет опытного back-end (SQL + Django) разработчика: более 100 Гб медиа-данных, 10+ тыс. уникальных посетителей в сутки, 10+ млн. записей в основной БД проекта. Развитая клиентская и администраторская часть, автоматизация работы в ERP-системе, интеграции с внешними сервисами, а так же ряд других интернет-проектов внутри холдинга - все это гарантирует разносторонние и сложные задачи. Внимание! Удаленная работа допустима, но только для жителей Новосибирска, потому что требуется посещение офиса раз в неделю на планерку и обмен информацией с коллегами! Фронт работ: участие во всем процессе разработки, начиная с проектирования web-приложений и сервисов, заканчивая итоговой реализацией в команде более 10 человек, включающей как опытных, так и молодых и перспективных; реализация и поддержка REST-сервера и WEB-API на его основе; решения прикладных задач проекта как на стороне back-end, как на SQL, так и на Django; интеграция сторонних, но проверенных решений и технологий: Redis, RabbitMQ, Docker и др. постоянная оптимизация существующего и внедрение нового функционала для крупного интернет-магазина и ряда других интернет-проектов компании, в том числе с использованием нейронных сетей, технологий CDN, анализа big data и т.д. Требования: опыт программирования в любой среде — от 5 лет; опыт программирования на Python — от 3 лет; умение работать с Git; отличные знания SQL вообще, и PostgreSQL, в частности; знание less/grunt, nodejs, react, openfire — будет дополнительным плюсом; умение соблюдать сроки, сигнализировать о проблемах и конструктивно обсуждать пути их решения. Условия работы: заработная плата выше рынка; работа в компании, которая растет каждый год уже более 10 лет; возможности для серьезного профессионального и личного роста; корпоративные мероприятия за счет компании.",Без требований,Без обязанностей,Без условий,Python|SQL|Git|Django Framework|Nginx|Redis|REST,5
205,205,python,Новосибирск,100000.0,120000.0,Группа Компаний СТАРТЕКС,2019-10-12T20:52:06+0300,От 3 до 6 лет,Полный день,Полная занятость,"Команда разработки крупного федерального интернет-магазина ищет опытного back-end (SQL + Django) разработчика: более 100 Гб медиа-данных, 10+ тыс. уникальных посетителей в сутки, 10+ млн. записей в основной БД проекта. Развитая клиентская и администраторская часть, автоматизация работы в ERP-системе, интеграции с внешними сервисами, а так же ряд других интернет-проектов внутри холдинга - все это гарантирует разносторонние и сложные задачи. Фронт работ: участие во всем процессе разработки, начиная с проектирования web-приложений и сервисов, заканчивая итоговой реализацией в команде более 10 человек, включающей как опытных, так и молодых и перспективных; реализация и поддержка REST-сервера и WEB-API на его основе; решения прикладных задач проекта как на стороне back-end, как на SQL, так и на Django; интеграция сторонних, но проверенных решений и технологий: Redis, RabbitMQ, Docker и др. постоянная оптимизация существующего и внедрение нового функционала для крупного интернет-магазина и ряда других интернет-проектов компании, в том числе с использованием нейронных сетей, технологий CDN, анализа big data и т.д. Требования: опыт программирования в любой среде — от 5 лет; опыт программирования на Python — от 3 лет; умение работать с Git; отличные знания SQL вообще, и PostgreSQL, в частности; знание less/grunt, nodejs, react, openfire — будет дополнительным плюсом; умение соблюдать сроки, сигнализировать о проблемах и конструктивно обсуждать пути их решения. Условия работы: заработная плата выше рынка; работа в компании, которая растет каждый год уже более 10 лет; возможности для серьезного профессионального и личного роста; современная техника на рабочем месте; корпоративные мероприятия за счет компании; комфортное рабочее место, новый офис; иногородним поможем с переездом.",Без требований,Без обязанностей,Без условий,Python|SQL|Git|Django Framework|Nginx|Redis|REST,5
587,587,python,Новосибирск,100714.28571428572,154000.0,Тинькофф,2019-10-11T14:56:27+0300,От 3 до 6 лет,Полный день,Полная занятость,"Мы - из команды, которая принесла Digital в Digital Banking. И теперь мы хотим начать всё с чистого листа. У нас сильная команда инженеров, весь стэк AWS, свобода в принятии решений и выборе технологий, отсутствие легаси и самый амбициозный проект Тинькофф за последние несколько лет. Не хватает только тебя. Приходи, расскажем подробнее. Обязанности: Развитие технических решений от MVP до промышленной инфраструктуры, обеспечивающей надежность работы и масштабирования нагрузки; Писать работающий и стабильный код, который будет приятно поддерживать; Участие в проектировании приложений и ревью кода других разработчиков; Взаимодействовать с другими разработчиками, аналитиками и тестировщиками; Требования: Отличное знание Python (2.7 и 3.). Опыт промышленной разработки на Python от 2 лет; Опыт многопоточного, асинхронного программирования; Опыт работы и знание фреймворков Tornado, AIOHTTP, Flask, Django; Опыт работы с реляционными СУБД (PostgreSQL, Mysql); Знание и применение паттернов проектирования. Желательно: Опыт построения распределённых высоконагруженных сервисов; Наличие собственных разработок в open source; Опыт работы с PyPy; Знание JS, CSS; Опыт разработки на одном из языков: Java, C#, С++, Go. От нас: Комфортные условия труда, хорошо оборудованное рабочее место с возможностью выбора любого ПК или ноутбука; Добровольное медицинское страхование (ДМС); Офис в центре города в 10 мин. от м. пл. Ленина в БЦ “Кронос” или Академгородок, ул.Николаева; Компенсация на выбор: обедов, такси, парковочного места; Компенсация 50% на спорт; Скидка 30% на КАСКО в СК Тинькофф; Софинансирование обучения (оплата конференций, курсов).",Без требований," Развитие технических решений от MVP до промышленной инфраструктуры, обеспечивающей надежность работы и масштабирования нагрузки; Писать работающий и стабильный код, который будет приятно поддерживать; Участие в проектировании приложений и ревью кода других разработчиков; Взаимодействовать с другими разработчиками, аналитиками и тестировщиками; ",Без условий,Python|Django Framework|PostgreSQL|MySQL|Java,7
348,348,python,Новосибирск,100714.28571428572,154000.0,ЦИАН ГРУПП,2019-10-14T09:34:20+0300,От 3 до 6 лет,Удаленная работа,Полная занятость,"ЦИАН – лидирующий на рынке маркетплейс по недвижимости России (по данным LiveInternet за январь 2018 года). Мы помогаем найти жилье более чем 11 миллионам посетителей ежемесячно. ЦИАН пятый год подряд входит в двадцатку самых дорогих компаний Рунета по версии журнала Forbes. Мы каждый день работаем над тем, чтобы наш сервис был полезен, удобен и надежен для любого сегмента наших пользователей. Поэтому мы ищем амбициозных людей, кто сможет предложить свои идеи и захочет воплотить в жизнь уже существующие. Пару слов о проекте: Мы сейчас движемся от монолитной архитектуры (Python 2.7 &amp; Django) в сторону микросервисов (Python 3 + Tornado). Есть возможность получить опыт работы с асинхронностью, поучаствовать в построении архитектуры микросервисов, решать задачи по повышению производительности. С чем предстоит работать: В микросервисах (б0льшая часть задач): Python 3.6 и Tornado 4 В старой части - монолите - Python 2.7 и Django (его последовательно переводим на SOA архитектуру, где критично - оптимизируем производительность) На серверах Debian. Используем RabbitMQ, Cassandra, ElasticSearch Постоянно совершенствуемый Continuous Delivery . Уважение к unit-тестам. Неизменно: утренние короткие стенд-апы, недельные итерации и еженедельное планирование, код-ревью, еженедельная ретроспектива. Требования : Опыт коммерческой разработки на Python (Django\Tornado и т.д.) от 3 лет; Знание паттернов проектирования; Хорошее знание SQL; Умение писать юнитесты (pytest); Умение оптимизировать производительность приложения и базы данных; Знание Unix/Linux; Общее представление о верстке и js (самому верстать/писать не нужно); Понимать суть задачи и вносить минимальные необходимые изменения (без “переписать всё”). Личные качества: Self-management; Нацеленность на результат; Умение четко и ясно излагать свои мысли; Ответственность; Важна скорость реакции и умение быстро переключать контекст; Умение добиваться поставленных целей в сжатые сроки Работа в ЦИАН - это: Удаленная работа, оформление по ТК 5 day off в год Профессиональный рост (ЛПР, оплачиваемое обучение, посещение конференций, корпоративная библиотека) Мы любим веселиться (2 больших корпоратива в год + квартальные вечеринки в офисе)",Без требований,Без обязанностей,Без условий,Без ключевых навыков,4
227,227,python,Новосибирск,100714.28571428572,245000.0,Кадровое агентство Алексея Сухорукова,2019-09-24T14:54:44+0300,От 3 до 6 лет,Полный день,Полная занятость,"Крупная финтех компания, работающая на международном валютном рынке более 10 лет, ищет в свой отдел разработки на Кипре (Лимассол) опытного программиста на Python. Компания является одним из лидеров не только валютного рынка, но и одним из крупнейших форекс-брокеров, производя свои собственные финансовые продукты и сервисы. Клиентами этих сервисов являются представители Европы, Азии, Ближнего Востока, стран СНГ и России, совершая ежемесячно сделки объемом в 250 млрд долларов. Отличительной особенностью компании является абсолютная забота о своих сотрудниках: начиная от обеспечения виз и релокации и заканчивая корпоративным баром с соками, кофе и коктейлями. Вашей задачей будет: Работа в команде разработчиков финансовых инструментов, создание высоконагруженных и отказоустойчивых систем, внутренних продуктов с использованием современных технологий. От вас ожидают: Уверенное знание Python Знание PostgreSQL: сложные join, наследование таблиц, триггеры, оптимизация запросов Знание Linux на уровне разворачивания приложений и сервисов, сетевых протоколов Создание архитектуры баз данных, работа с большими объемами данных Участие в разработке HighLoad приложений, многопоточных приложений Организация и проведение unit-тестирования Проведение декомпозиции работ на задачи, оценка времени и сроков, определение критических точек. Плюсом будет следующий опыт: Опыт разработки с использованием Django Проектная работа в Jira, продвинутое использование Git WEB технологии: HTML, CSS, JavaScript, AJAX, DOM, jQuery, REST Опыт использования NoSQL Применение MapReduce Опыт разработки биллинговых систем, шлюзов для платёжных систем Участие в разработке мобильных клиент/сервер приложений Проведение нагрузочного тестирования Обязательно вам предоставят: Соразмерную опыту заработную плату Рабочую визу для сотрудника и визы для членов семьи Что вас ждет: Команда IT-профессионалов Сразу несколько интересных и сложных проектов Свобода в выстраивании собственного графика задач, главное - результат Понятные карьерные возможности: показатели и критерии профессионального роста Посещение профильных международных конференций И еще сверху много солидных плюшек: Корпоративный фитнес Оплачиваемая парковка 50% скидка на изучение английского и греческого языков Медицинская страховка на сотрудника и членов его семьи Частичное возмещение расходов на стоматологические услуги и услуги офтальмолога Полное покрытие расходов на прививки детям до 2 лет Занятия йогой на крыше офиса с шикарным видом на море Развлечения - корпоративные аквабайки, спортивные и семейные мероприятия, веселые корпоративные праздники и многое другое. Почему стоит обратиться к нам? ✓Прежде всего наши услуги бесплатны для кандидатов! ✓Мы более 10 лет занимаемся подбором IT-специалистов для крупнейших российских и международных компаний. А наш опыт по релокации новоиспеченных сотрудников за границу позволяет решать вопросы любого уровня сложности. ✓Мы сотрудничаем с десятками компаний по всему миру. Мы знаем все о них. Мы знаем все о странах, в которые они ищут своих будущих сотрудников. Мы знаем все тонкости процессов рекрутинга в каждой из них. ✓Мы умеем находить для них самых подходящих и по духу, и по техническим навыкам кандидатов. ✓ Мы можем предложить вам выбор вакансий и работодателей в разных странах. ✓И сможем помочь успешно трудоустроиться в той из них, которая больше всего нравится именно вам и на которую вы лучше всего подходите. ✓Нет, мы не занимаемся тем, что даем шпаргалки и решаем за кандидатов тестовые задания. Но скажем, как лучше подготовиться к прохождению собеседований и решению технических задач. Отправляйте отклик прямо сейчас!",Без требований,Без обязанностей,Без условий,Python|Linux|PostgreSQL|Unit Testing,24
478,478,python,Новосибирск,100714.28571428572,154000.0,БАРС Груп,2019-10-09T08:15:36+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Мы хотим от кандидата: Опыт работы на Python и в Django; Опыт работы с реляционными СУБД: PostgreSQL, Oracle, MySQL; Знание JavaScript (приветствуется опыт в ExtJS) - хотя бы базовые; Базовые знания верстки(HTML/CSS) Желание работать над большими и интересными проектами с тысячами пользователей; Самостоятельность, ответственность, быстрая обучаемость. Мы используем в разработке: Django и ExtJS для реализации Rich Internet Application; Python для широкого круга задач: от скриптинга до реализации паттернов проектирования, DI, IoC и слабосвязных архитектур; Continuous Integration: Jenkins; Source control: git; Task tracking: Jira; Итерационный подход к выпуску релизов; Тестирование: unittest, behave, selenium, etc; ОС и IDE на выбор разработчика. Мы предлагаем: Комфортный офис ; Позитивная атмосфера, молодой коллектив; Широкие возможности профессионального и карьерного роста; Достойная оплата (готовы обсудить ваши пожелания); Надежный соц.пакет; Обучение: тренинги, мастер-классы внутри компании, возможность участия в крупных ИТ-конференциях, корпоративная библиотека. Компенсационный пакет для иногородних.",Без требований,Без обязанностей,Без условий,Python,9
1091,1091,python,Новосибирск,100714.28571428572,154000.0,БАРС Груп,2019-10-09T09:05:31+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Мы хотим от кандидата: Опыт работы на Python и в Django; Опыт работы с реляционными СУБД: PostgreSQL, Oracle, MySQL; Знание JavaScript (приветствуется опыт в ExtJS) - хотя бы базовые; Базовые знания верстки(HTML/CSS) Желание работать над большими и интересными проектами с тысячами пользователей; Самостоятельность, ответственность, быстрая обучаемость. Мы используем в разработке: Django и ExtJS для реализации Rich Internet Application; Python для широкого круга задач: от скриптинга до реализации паттернов проектирования, DI, IoC и слабосвязных архитектур; Continuous Integration: Jenkins; Source control: git; Task tracking: Jira; Итерационный подход к выпуску релизов; Тестирование: unittest, behave, selenium, etc; ОС и IDE на выбор разработчика. Мы предлагаем: Комфортный офис ; Позитивная атмосфера, молодой коллектив; Широкие возможности профессионального и карьерного роста; Достойная оплата (готовы обсудить ваши пожелания); Надежный соц.пакет; Обучение: тренинги, мастер-классы внутри компании, возможность участия в крупных ИТ-конференциях, корпоративная библиотека. Компенсационный пакет для иногородних.",Без требований,Без обязанностей,Без условий,Python,9
893,893,python,Новосибирск,100714.28571428572,154000.0,Azoft,2019-10-14T06:48:21+0300,От 1 года до 3 лет,Гибкий график,Полная занятость,"В Отдел R&amp;D (Research&amp;Development) компании Azoft требуется увлеченный программист-исследователь, готовый к нестандартным и очень интересным задачам! Какими интересными вещами мы занимаемся: Пишем программы распознавания объектов в видеопотоке на смартфоне Тренируем нейронные сети на видеокарте Сервер распознавания текста на изображении Рекомендательная система для покупателей В общем делаем уже сейчас то что будет широко распространено в будущем Мы предлагаем: Возможность заниматься своим любимым делом, не отвлекаясь на сторонние задачи; Пространство для реализации своих профессиональных амбиций; Большую и дружную команду профессионалов; По-настоящему гибкий график работы; Достойный уровень заработной платы; Развитие сотрудников: семинары, конференции, English Забота о здоровье: 2 крутые команды - ИТ-футбол и ИТ-баскетбол, частичная компенсация абонементов в бассейн и фитнес-клубы Хороший отдых: совместные праздники и еженедельные Печенька-Party и сканворды Закрытую парковка: для автомобилей, велосипедов, самокатов, гироскутеров :) Нам нужен разработчик с: Знанием принципов машинного обучения, опытом работы с различными архитектурами нейронных сетей и пониманием принципов их работы Опытом в Python, в частности NumPy, OpenCV, Scikit-learn, Pandas Знанием SVM, PCA, kNN, Decision Trees, Ensembles (Bagging, Boosting, Random Forest) Опытом работы с фреймворками Tensorflow, Keras, Caffe, PyTorch Опытом применения разработанных алгоритмов на мобильных платформах (Android, iOS) Опытом работы с Git English уровня upper-intermediate Опытом разработки на С/С++ Будет плюсом наличие опыта в одном или нескольких пунктах: Опыт решения задач с использованием RL (Reinforcement Learning) Опыт работы с Flask, базовые знания HTML, CSS, JavaScript Опыт решения задач NLP Занятые места в соревнованиях по ML",Без требований,Без обязанностей,Без условий,Без ключевых навыков,4
