,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills,days
308,308,веб разработчик,Новосибирск,40000.0,70000.0,АйТи Мегастар,2019-10-14T16:19:14+0300,От 1 года до 3 лет,Гибкий график,Полная занятость,"Megastar — команда из более чем 50 специалистов, которая знает как делать IT/digital - продукты, предназначенные как для широкой, так и узкоспециализированной аудитории. Лидеры внутренних команд компании — истинные профессионалы, контролирующие выполнение задач и отвечающие за здравый смысл в разработке. К каждой задаче мы относимся как к продукту, думая не только о её прямом выполнении, но и стараемся заложить собственную экспертизу, в том числе и в её постановку. Мы делаем всё от нас зависящее, чтобы определить реальные цели наших партнеров и достичь их оптимальным способом.Наши ключевые ценности- компетентность, ответственность, гибкость и клиенториентированность. В связи с расширением, приглашаем в нашу команду Web developer /Web программиста. Мы предлагаем: оформление по ТК РФ; гибкий график; команды профессионалов, искренне заинтересованных в развитии проектов, с продуктовым подходом; интересные проекты различной сложности; возможность профессионального и карьерного роста до Team/Tech Lead; достойный уровень заработной платы (обсуждается на собеседовании); безлимит чай, кофе, печеньки,корпоративы; удобная парковка с большим количеством парковочных мест; комфортные, стильные офисы в Новосибирске и Академгородке. Необходимые навыки: опыт web разработки backend от 1 года; уверенное знание JS; желательно опыт использования REST API; опыт работы с любой из реляционных баз данных (Postgresql, MySql); опыт верстки; умение работать с GIT; английский на уровне чтения технической документации (pre-intermediate). Будет плюсом: желание развивать свои hard skills в web разработке в сторону Full Stack Чем предстоит заниматься: доработка функционала для веб-сервисов; оптимизация и доработка интерфейсов. Даже если Вы не нашли какой -то пункт у себя в резюме, мы все равно будем рады познакомиться и рассмотреть Вашу кандидатуру, поэтому смело откликайтесь, даем обратную связь! В случае, если мы не ответили Вам в течение 14 календарных дней, значит мы пока не можем предложить Вам дальнейшее взаимодействие и сотрудничество. Но! Мы сохраняем отклик на перспективу, на будущие проекты. «Отправляя резюме на данную вакансию, Вы тем самым подтверждаете свое согласие на сбор, систематизацию, накопление, хранение, уточнение, использование, передачу, обезличивание, блокирование, уничтожение своих персональных данных в соответствии с п.3 ч.1 ст.3 Федерального закона от 27.07.2006г № 152-ФЗ «О персональных данных».",Без требований,Без обязанностей,Без условий,Без ключевых навыков,4
1085,1085,веб разработчик,Новосибирск,40000.0,71428.57142857142,.wrk,2019-10-09T11:41:01+0300,Нет опыта,Гибкий график,Стажировка,"Привет, мы - компания .wrk! Мы уже более 8 лет занимаемся аутстаффингом, а именно, предоставлением веб-девелоперов и мобильных девелоперов удаленно для работы на проектах иностранных клиентов. Наша специализация - это сайты для крупных иностранных медиа, образовательных и медицинских организаций, а также стартапы. Основные технологии для web - это Drupal CMF, AEM, PHP Frameworks (Laravel), Angular, ReactJS , а для мобильных приложений - React Native . Приглашаем начинающих программистов на стажировку и работу. Наши требования: Высшее или неоконченное высшее техническое образование (факультеты ФИТ, ММФ и ФФ НГУ и аналогичные в других ВУЗах) Английский язык на уровне Upper-Intermediate и выше Базовые знания ООП, реляционных баз данных, работа с операционными системами на базе Unix (хотя бы на уровне пользователя), знание основных алгоритмов и структур данных Желание работать в контакте с клиентом без прикрытия менеджеров и способность самостоятельно принимать технические решения Высокий уровень самоорганизации и тайм-менеджмента Что мы предоставляем кандидату, успешно прошедшему собеседование: Технического наставника, который при необходимости проводит обучение с минимума знаний до самостоятельных проектов или оказывает техническую поддержку для кандидатов с опытом работы Поддержку аккаунт-менеджеров, ведущих все не технические беседы с заказчиками и контролирующих загрузку Гибкий график и почасовую оплату - то есть возможность самостоятельно регулировать свою загрузку, совмещать работу с учебой Официальное трудоустройство после прохождения стажировки и белую заработную плату Офис в Академгородке У нас в .wrk у сотрудников есть возможность поработать на разных типах проектов - как в маленьком стартапе, который вы выполняете лично или в распределенной команде, так и в большой команде международной компании. Так что, если вы хотите свободы в работе, в принятии решений, в технологиях, в проектах, в графике, в конце концов, то лучше компании вам не найти ;) Ждем ваших откликов и резюме на почту!",Без требований,Без обязанностей,Без условий,Английский язык|PHP|JavaScript|ООП|MySQL|HTML|CSS|Linux,9
109,109,веб разработчик,Новосибирск,45000.0,50000.0,НАЦИОНАЛЬНАЯ СИСТЕМА УЧЕТА И РЕГИСТРАЦИИ ЖИВОТНЫХ,2019-10-14T16:58:23+0300,От 3 до 6 лет,Удаленная работа,Полная занятость,"Обязанности: - Разработка web-приложений и сервисов - Участие в формировании технического задания Требования: - Опыт в области web-разработки от 1 года (бэкэнд) - Уверенные знания PHP 5+ , MySQL, PostgreSQL - Знание JavaScript/jQuery/AJAX/HTML5/CSS3 - Понимание принципов работы веб-серверов - Опыт работы с системами контроля версий (Git, SVN) - Навыки работы в командной строке Linux - Практическое знание одного или нескольких современных фреймворков (Laravel, Symphony и т.п.) - Знание ООП - Знание шаблонов проектирования - Готовность и умение разбираться в чужом коде при необходимости Преимущества: - Опыт работы в SCRUM-команде",Без требований, - Разработка web-приложений и сервисов - Участие в формировании технического задания ,Без условий,MySQL|JavaScript|jQuery|PHP5|PostgreSQL|PHP|Разработка ПО|Java|HTML5|Пользователь ПК|Управление проектами|Linux|MVC|Ajax|HTML|Git|SVN|CSS3|CSS|SQL,4
823,823,веб разработчик,Новосибирск,60000.0,60000.0,River Park Hotel,2019-10-07T11:22:35+0300,От 3 до 6 лет,Полный день,Полная занятость,"У нас профессиональная команда IТ-специалистов, увлеченных интересными проектами, готовых поделиться своими знаниями и опытом с человеком, у которого есть потенциал. Мы ищем кандидата, который имеет уже минимальный опыт в программировании (1 год) и, получая от этого удовольствие, хочет развиваться дальше. Работа с разноплановыми продуктами даст объемное понимание бизнеса и процессов, что сделает Вас ценным специалистом. Задачи Все задачи вокруг нашего корпоративного портала, который связывает пользовательские программы разных подразделений 1C (бухгалтерия, персонал, управление продажами), Fidelio (управление номерным фондом отеля), R-Keeper 7 (управление ресторанным комплексом). Цель портала: создание глубокой аналитики для принятия решений по управлению бизнесом. Необходимые знания и опыт: Обязательные требования: • Опыт работы от 1 года; • Знание PHP, MySQL, HTML, CSS, JavaScript (Ajax, jQuery); • Хорошее знание SQL; • Знание ООП, MVC; • Умение разбираться в чужом коде; • Английский язык на уровне чтения технической литературы. Желательные требования: • Администрирование CMS Битрикс; • Навыки работы в Linux. Умение настраивать apache. Наши условия: • Мы ищем человека в штат и на полный день. • Оформление по ТК. Все в «белую» и пушистую. • Отсутствие ежедневных отчетов о проделанной работе. • График работы гибкий, возможен частичный хоум-офис. • Вкусная и бюджетная столовая, где еда как дома.",Без требований,Без обязанностей,Без условий,jQuery|MySQL|PHP|1С-Битрикс|Бизнес-анализ,11
964,964,веб разработчик,Новосибирск,80000.0,71428.57142857142,ЗИП Сервис,2019-10-01T17:51:59+0300,От 3 до 6 лет,Полный день,Полная занятость,"Компания ZiP Service ищем в команду Web-программиста front-end Требуемый опыт работы: 3–6 лет Проект : 1.1) Web Разработка онлайн-ERP с магазином и системой обработки заказов Front: AngularJS, внутренний API на NodeJS + Express. В качестве хранилища используются фабрики AngularJS (динамические) и local storage (постоянное) 1.2) Мобильное приложение Обмен между back и front через REST API Проект в частично рабочем состоянии, необходима реализация новых функций и корректировка существующего функционала. 2) Портал по продаже готовой продукции (множество интеграций ) Обязанности: - первоочередная задача: написание новых и развитие уже созданных модулей в проекте - создание архитектуры под высокие нагрузки - оптимизация и рефакторинг кода Требования: - уверенные знания PHP, MySQL,Firebird, JavaScript, HTML, CSS, Angular, NodeJS - ориентированность на качество и результат - опыт программирования не менее 3 лет - опыт работы в команде - опыт работы с системой контроля версий Git - желание саморазвиваться в проф и личных областях/качествах Приветствуется: - знание английского языка или чтение технической литературы Условия: - фулл-тайм(тест удаленно, далее офис)"," - уверенные знания PHP, MySQL,Firebird, JavaScript, HTML, CSS, Angular, NodeJS - ориентированность на качество и результат - опыт программирования не менее 3 лет - опыт работы в команде - опыт работы с системой контроля версий Git - желание саморазвиваться в проф и личных областях/качествах Приветствуется: - знание английского языка или чтение технической литературы ", - первоочередная задача: написание новых и развитие уже созданных модулей в проекте - создание архитектуры под высокие нагрузки - оптимизация и рефакторинг кода ," - фулл-тайм(тест удаленно, далее офис)",PHP|MySQL|JavaScript|HTML|HTML5|FirebirdSQL|AngularJS,17
265,265,веб разработчик,Новосибирск,81875.0,60000.0,АЛНИКО,2019-10-11T21:29:27+0300,От 1 года до 3 лет,Удаленная работа,Частичная занятость,"Alniko основана в 2004г. Работаем на рынке систем самообслуживания: инфоматы, системы управления очередью, электронные кассиры. На проекты по системам электронной очереди требуется веб-программист для их сопровождения и доработок. Написание дополнительных скриптов и модулей интеграции. Пара слов о нас: Команда опытных интернет-предпринимателей, разработчиков и менеджеров Никакой бюрократии и иерархии, дружеская IT атмосфера Пара слов о проекте: Очень интересные задачи Отлаженные внутренние процессы Сначала думаем, потом делаем Все программисты умные Заказчики тоже умные PHP 7 XAMPP MySQL Нет проблем в коммуникациях От вас будет зависеть правильное распределение потоков людей в очередях и возможность предварительно записаться в очередь Идеальный кандидат имеет: Опыт в проектах веб-программирования Хорошее знание PHP, MySQL Желание проявлять самостоятельность и нести ответственность за качество и результат 90% ключевых навыков перечисленных ниже Место и график работы: Место: где есть розетка и хороший Интернет Гибкий график От Вас: Краткий рассказ о себе в сопроводительном письме к отклику. Также обязательно укажите уровень владения перечисленными ключевыми навыками.",Без требований,Без обязанностей,Без условий,PHP|HTML|JavaScript|MySQL|CSS|jQuery|HTML5|Linux|Git|CSS3|Ajax|PHP5|XML|ООП|PHP7|JSON API,6
509,509,веб разработчик,Новосибирск,81875.0,71428.57142857142,Предприятие Элтекс,2019-10-09T11:38:22+0300,Нет опыта,Полный день,Полная занятость,"Добрый день, %username%. Зовут меня Егор, я руководитель группы веб-разработки в Элтексе. Наша компания выпускает разные сетевые устройства (Wi-Fi точки доступа, роутеры, маршрутизаторы и т.д.). Во многих из этих устройств имеется встроенный веб. И, т.к. создание веб-интерфейсов является довольно специфичной работой, сильно отличающейся от системного программирования, то веб-разработкой занимается наша группа. Вообще, проектов у нас много - есть и фуллстек, есть только фронт для всяких систем управления, но сейчас мы ищем разработчика, который знает си, программировал под линукс, знает, что такое мейкфайлы и в то же время в курсе про html, css, js, хотя бы основы. Есть веб для сишников, которые знают си, системные вызовы в линукс, умеют править мейкфайлы, разбираются в gcc, ld и кросскомпиляции. Которые любят компиляцию по 30-40 минут (впрочем, есть проекты, где компиляция идёт минут 5 или даже ещё меньше). Здесь их ждёт много си, чуть-чуть html, немного js, приправленного jquery (иногда с плагинами). Кое-где есть си++. Есть веб для тех, кто знает си, но не очень его хочет. Здесь на си написана маленькая прослойка, которая была написана много лет назад и больше не правилась (отлажена, нового функционала не требуется), а основная бизнес-логика выполняется луа-скриптами. Здесь не появляется фраза “segmentation fault”, компиляция выполняется на удалённом сервере, лишь для тестеров одной ссылкой “собрать” в дженкинсе. Зато здесь много js-кода, интересных нестандартных задач и очень удобно разбитый на компоненты веб. Но изредка, раз в два-три года, знание си и мейкфайлов очень даже пригодится. В любом случае у нас всегда находятся интересные задачи - реализовать нестандартный компонент, страницу, внедрить какую-нибудь новую фичу и т.д. Не везде ещё внедрён webpack, не везде используется ES6+, так что будем рады новому коллеге, который поможет нам. Ещё у нас есть тестовый отдел, который досконально всё проверяет и перепроверяет, так что тестированием разработчики не занимаются. Технические подробности по проектам: Бэкэнд: разный: есть просто си и системные вызовы линукс, есть с++, есть луа Фронтэнд: тоже разный: есть проекты, где html, css, js (ES5), есть проекты, где крутится knockout+webpack Немного о компании. Элтекс существует с 1992 года, сейчас в ней работает порядка 800 человек. Коллектив дружный, всегда готовы помочь. Развито наставничество - за новичками закрепляется куратор, помогающий, рассказывающий, обучающий. От нас: Официально устраиваем своих сотрудников в первый рабочий день. Никаких зарплат в конверте. Мы предоставляем комфортное рабочее место в нашем просторном комплексе зданий в парковой зоне города в 10 минутах езды от метро «Заельцовская». Мы поддерживаем желание сотрудников учиться и профессионально расти, поэтому постоянно участвуем в профильных конференциях, тренингах и семинарах, а также проводим внутренние проекты по обмену знаниями. Количество проектов с каждым годом увеличивается, появляются новые группы разработки, от джуна до руководителя группы или направления вырасти реально, от вас - желание и компетенции. В зданиях есть благоустроенные комнаты для приема пищи, а также столовая. В свободное время ты можешь играть в настолки, рубиться в кикер или настольный теннис. Любишь спорт? У нас есть собственный тренажерный зал и корпоративные скидки на фитнес. Наши бенефиты: - комфортная программа ввода в должность (наставник прилагаетсяJ) - корпоративные скидки у компаний-партнеров (фитнес, развлечения); - собственный комплекс зданий в парковой зоне города; - уличная зона с турниками и настольным теннисом; - своя столовая и тренажерный зал; - большая парковка; - яркие корпоративные мероприятия; - митапы по обмену опытом между командами; - компенсация затрат на участие в IT конференциях; - развивающаяся электронная библиотека; - бесплатный служебный транспорт от пл.Калинина и 4, 5, 6 мкр. - релокационный пакет для иногородних кандидатов",Без требований,Без обязанностей,Без условий,JavaScript|HTML|HTML5|GCC|C/C++|make|Linux|web,9
39,39,веб разработчик,Новосибирск,81875.0,50000.0,ГБУЗ НСО МИАЦ,2019-09-26T07:31:27+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: сопровождение и развитие информационных систем в сфере здравоохранения работа по поддержке существующего функционала разработка нового функционала оптимизация запросов организация процесса информационного обмена между системами Требования: Знание SQL, PL/SQL Знание PHP Знание Html, Css, JavaScript Знание SOAP-протокола обмена Умение разбираться в чужом коде Аналитический склад ума, желание учиться и развиваться Высшее образование Условия: Интересные задачи : проекты федерального масштаба с уникальной структурой; Достойная оплата : полностью «белая» заработная плата; Дружный коллектив : смежные отделы готовы дать инфраструктуру и забрать рутину; Развитие и обучение: оплата внешних тренингов, семинаров и конференций; Комфортные условия : локация в центре Новосибирска, свободный дресскод."," Знание SQL, PL/SQL Знание PHP Знание Html, Css, JavaScript Знание SOAP-протокола обмена Умение разбираться в чужом коде Аналитический склад ума, желание учиться и развиваться Высшее образование ", сопровождение и развитие информационных систем в сфере здравоохранения работа по поддержке существующего функционала разработка нового функционала оптимизация запросов организация процесса информационного обмена между системами ," Интересные задачи : проекты федерального масштаба с уникальной структурой; Достойная оплата : полностью «белая» заработная плата; Дружный коллектив : смежные отделы готовы дать инфраструктуру и забрать рутину; Развитие и обучение: оплата внешних тренингов, семинаров и конференций; Комфортные условия : локация в центре Новосибирска, свободный дресскод.",JavaScript|Oracle Pl/SQL|PHP|LDAP|SOAP|Active Directory,22
679,679,веб разработчик,Новосибирск,81875.0,71428.57142857142,БИЗНЕС ПРИЛОЖЕНИЯ ИДСИ,2019-09-25T10:39:24+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: разработка и поддержка для наших проектов и сервисов; взаимодействие с командой разработчиков. интеграция проектов с различными сторонними API; Требования: Знание PHP, опыт работы с PHP 5+, PHP 7; Опыт работы с MySQL 5+; Практическое применение ООП; Опыт работы с фреймворками, например, Laravel, Yii, Symfony2+; Владение jQuery; Пользовательский опыт в среде *nix; Знание английского языка на уровне чтения технической документации и написания комментариев к коду. Желательные: Опыт вёрстки: HTML (XHTML), CSS, адаптивная верстка; Опыт использования систем контроля версий (GIT); Опыт работы в команде. Условия: Офис рядом с Академгородом; Дружный коллектив, уютная атмосфера; Возможность профессионального роста; Заработная плата по результатам собеседования Чай, кофе, плюшки за счет компании"," Знание PHP, опыт работы с PHP 5+, PHP 7; Опыт работы с MySQL 5+; Практическое применение ООП; Опыт работы с фреймворками, например, Laravel, Yii, Symfony2+; Владение jQuery; Пользовательский опыт в среде *nix; Знание английского языка на уровне чтения технической документации и написания комментариев к коду. Желательные: Опыт вёрстки: HTML (XHTML), CSS, адаптивная верстка; Опыт использования систем контроля версий (GIT); Опыт работы в команде. ", разработка и поддержка для наших проектов и сервисов; взаимодействие с командой разработчиков. интеграция проектов с различными сторонними API; ," Офис рядом с Академгородом; Дружный коллектив, уютная атмосфера; Возможность профессионального роста; Заработная плата по результатам собеседования Чай, кофе, плюшки за счет компании",MySQL|jQuery|Git|PHP5|CSS,23
995,995,веб разработчик,Новосибирск,81875.0,71428.57142857142,Helen Doron,2019-09-18T11:44:27+0300,Нет опыта,Гибкий график,Частичная занятость,"Международная Школа английского языка для детей “Helen Doron” приглашает на работу начинающего web-разработчика для поддержки и развития своих интернет проектов. Работу можно совмещать с учебой. Главное - горящие глаза и желание набираться опыта работы в команде. Задачи: Поддержка и разработка нового функционала на сайте helendoron.ru Верстка и публикация контентных материалов Помощь в управлении сайтом региональным отделениям: Краснодар, Москва, Санкт-Петербург, Новосибирск, Чита и др. Требования: Навыки программирования на php, js Умение верстать на html/css Знание SQL, системы контроля версий git Знание linux на уровне поднять nginx + php + mysql Плюсом будет опыт работы с CMS WordPress Условия работы Работа в распределенной команде, code review, периодическая очная работа вместе для планирования спринтов, декомпозиции и оценки задач. Будет возможность перенимать опыт коллег в разработке интернет-проектов и построению процессов распределенной работы",Без требований,Без обязанностей,Без условий,MySQL|CSS|Git|JavaScript|PHP5|HTML,30
