salaries	68334 - 116667	12.0
salaries	165000 - 213334	1.0
days	avg	17.46153846153846
days	max	31.0
days	min	3.0
experience	От 1 года до 3 лет	7.0
experience	От 3 до 6 лет	4.0
experience	Нет опыта	2.0
employment	Полная занятость	13.0
schedule	Полный день	10.0
schedule	Гибкий график	3.0
skills	Без ключевых навыков	7.0
skills	Подбор персонала	1.0
skills	Управление командой	1.0
skills	Scrum	3.0
skills	Мотивация персонала	1.0
skills	Рекрутмент	1.0
skills	Собеседование	1.0
skills	Оценка кандидатов	1.0
skills	Прямой поиск	1.0
skills	Навыки межличностного общения	1.0
skills	Обучение персонала	1.0
skills	Урегулирование конфликтов	1.0
skills	Работа с людьми	1.0
skills	Project management	4.0
skills	Управление проектами	4.0
skills	Управление продуктом	1.0
skills	Agile Project Management	3.0
skills	Team management	2.0
skills	Организаторские навыки	1.0
skills	Разработка ПО	1.0
skills	Постановка задач разработчикам	2.0
skills	руководство командой разработчиков	1.0
skills	Оценка потребностей клиентов	1.0
skills	Английский язык	2.0
skills	Ведение переговоров	2.0
skills	Проведение презентаций	1.0
skills	Информационные технологии	1.0
skills	Управление разработкой	1.0
skills	Web Application Development	1.0
skills	Presentation skills	1.0
skills	Product Management	1.0
skills	Работа в команде	1.0
skills	Redmine	1.0
skills	Разработка технических заданий	1.0
skills	Проектирование пользовательских интерфейсов	1.0
skills	Бухгалтерский учет	1.0
