,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills,days
5,5,менеджер,Новосибирск,35000.0,85000.0,KONTUR - digital-агентство,2019-10-05T10:25:46+0300,От 1 года до 3 лет,Полный день,Полная занятость,"В компанию KONTUR, в связи с развитием, требуется менеджер по работе с клиентами (менеджер продаж) интернет-сайтов. Что у нас будет делать менеджер по работе с клиентами? Прием входящих звонков и обработка входящих заявок. Холодных звонков нет!!! Выявление потребностей клиента Консультирование по продуктам компании Выполнение плана продаж! Сопровождение клиента Подписание договоров Т. е. ничего нового для человека, имеющего опыт продаж хотя бы от полугода. Знание работы в IT-сфере не обязательно, проводим обучение. Главное быть активным и желание хорошо зарабатывать. Продавать нас легко и приятно! Lite-проект компании «Сайт за 5990» давно заслужил лидирующие позиции в сфере бюджетных интернет-решений для малого бизнеса! А правильная рекламная политика, позволила сделать проект ярким и узнаваемым. Компания успешно развивается и на текущий момент предлагает широкий спектр услуг в сфере интернет-решений для бизнеса. KONTUR - это узнаваемый бренд в Новосибирске и других городах России. Требования: Опыт работы с клиентами Высокая мотивация в развитии карьеры, клиентоориентированность, коммуникабельность, активность, эмоциональная устойчивость Желание и умение работать на результат Улыбчивость и доброжелательность Презентабельный внешний вид Грамотная речь Если у Вас не хватает опыта, но Вы очень хотите добиться успеха в продажах и карьере - смело присылайте резюме нам на почту! Условия: Работа в комфортном офисе в центре города, ул. Депутатская, м. «Площадь Ленина» Полный рабочий день, пятидневка с 9:00 до 18:00, с 10:00 до 19:00 или с 12:00 до 21:00 Оформление по ТК РФ Молодой и дружный коллектив Возможности для самореализации Достойная заработная плата (фикс. 15000 руб. + % с продаж). В среднем менеджеры нашей компании зарабатывают от 35 000 - 40 000 руб. Верхний предел – не ограничен!"," Опыт работы с клиентами Высокая мотивация в развитии карьеры, клиентоориентированность, коммуникабельность, активность, эмоциональная устойчивость Желание и умение работать на результат Улыбчивость и доброжелательность Презентабельный внешний вид Грамотная речь Если у Вас не хватает опыта, но Вы очень хотите добиться успеха в продажах и карьере - смело присылайте резюме нам на почту! ",Без обязанностей," Работа в комфортном офисе в центре города, ул. Депутатская, м. «Площадь Ленина» Полный рабочий день, пятидневка с 9:00 до 18:00, с 10:00 до 19:00 или с 12:00 до 21:00 Оформление по ТК РФ Молодой и дружный коллектив Возможности для самореализации Достойная заработная плата (фикс. 15000 руб. + % с продаж). В среднем менеджеры нашей компании зарабатывают от 35 000 - 40 000 руб. Верхний предел – не ограничен!",Без ключевых навыков,13
213,213,менеджер,Новосибирск,60000.0,80000.0,Drom,2019-09-20T02:14:36+0300,От 3 до 6 лет,Полный день,Полная занятость,"Вакансия для тех, кто искренне интересуется сферой HR в IT и понимает, что: - успех бизнеса зависит от того, каких людей приведет рекрутер; - в IT-сфере люди важнее отчетов, так что сконцентрироваться нужно именно на сотрудниках; - мотивация IT-специалистов отличается от остальных профессий, как и сами специалисты; - в IT мало найти хорошего сотрудника, нужно создать интересную среду, из которой не выманят никакие предложения рынка. Чем предстоит заниматься у нас? - Находить людей в команды продуктовой разработки: разработчик (PHP, Java, IOS, Android), тестировщик, аналитик требований, продакт менеджер, скрам мастер и т.д. в Томске и Новосибирске. - Понимать, какого сотрудника ждет руководитель, и где такого найти. Хантить, генерить идеи, использовать все возможные каналы поиска подходящих кандидатов (hh, LinkedIn, FB, github и т.д.). - Помогать сотрудникам на всех этапах от эффективного встраивания в компанию и испытательного срока до развития и перехода на новый проект или должность. - Постоянно держать руку на пульсе общего настроения в командах Новосибирска и Томска, поддерживать комфортную атмосферу, предвосхищать зарождение проблем. - Стать своим в «тусовках» нужных специалистов, участвовать в тематических конференциях и встречах, работать с ВУЗами по привлечению молодых специалистов в drom team. - Формировать программы обучения и индивидуальные планы развития. - Вести базу кандидатов и еженедельную отчетность о проделанной работе. Вы наш человек, если: - у вас есть опыт подбора персонала в IT-сфере: искренний интерес к этой области, понимание ее специфики, знакомство со словами Scrum, фича, backend, machine learning и т.д.; - вы умеете слушать и слышать собеседника, доверительно разговаривать и договариваться с самыми разными людьми; - у вас активная жизненная позиция – вы готовы «свернуть горы», найти и вовлечь в это единомышленников; - за каждой вакансией вы видите реальные потребности бизнеса и желаемый профиль должности, а в кандидате – мотивацию и перспективы; - вы учитесь, впитываете знания и каждый день бросаете новые вызовы самому себе; - обладаете чувством юмора и цените его в других. ​​​​​ Что мы можем вам дать: - ведущую роль в большом и интересном проекте; - много свободы и возможностей в сочетании с повышенной ответственностью; - работу в сильной, амбициозной команде; - оклад от 60 до 80 тыс. руб. до вычета подоходного налога, обсуждается с финальными кандидатами по итогам собеседования. Если вы тот самый идеальный специалист для этой работы, мы готовы предложить вам индивидуальные условия; - официальное оформление и выплату зарплаты без задержек 2 раза в месяц; - неформальное общение без жёстких регламентов и дресс-кода. Присоединяйтесь, будет интересно!",Без требований,Без обязанностей,Без условий,Подбор персонала|Управление командой|Scrum|Мотивация персонала|Рекрутмент|Собеседование|Оценка кандидатов|Прямой поиск|Навыки межличностного общения|Обучение персонала|Урегулирование конфликтов|Работа с людьми,28
1086,1086,менеджер,Новосибирск,60000.0,116250.0,Форвард,2019-10-15T14:28:24+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Требования: Опыт работы на должности с аналогичным функционалом или опыт руководства командой разработки и желание развиваться как менеджер. Опыт работы в ИТ-сфере. Аналитический склад ума, умение структурировать получаемую информацию, быстро разбираться в технической документации. Способность ясно выражать свои мысли, последовательно и аргументированно обосновывать свою точку зрения. Умение организовать эффективную работу команды, чётко ставить задачи и добиваться их выполнения. Способность грамотно фокусировать команду проекта на достижении результата, работать с мотивацией/вдохновением команды. Желание и умение работать в команде. Умение выстраивать и поддерживать качественную коммуникацию как в команде проекта, так и в масштабах Компании. Высокая ответственность, внимательность и стрессоустойчивость, нацеленность на результат. Знания теоретических основ управления проектами и методологий разработки программного обеспечения (Kanban/Scrum). Будет плюсом: Знание и применение методик повышения личной эффективности. Осознанный опыт практического применения методологий разработки программного обеспечения. Владение английским языком на разговорном уровне. Наличие сертификатов. Непрерывное стремление улучшить качество процессов. Обязанности: Управление проектами в сфере разработки симуляторов вождения автомобильной и строительной техники для тренажеров, производимых компанией. Коммуникация с руководством, отделом продаж и производством по вопросам требований, сроков и бюджета. Урегулирование кризисных моментов. Согласование функциональных требований с аналитиком. Согласование архитектурных и технических решений с архитекторами и командой. Планирование работ с учетом рисков, приоритетов и имеющихся ресурсов. Управление оперативным планом проекта, рисками, составление отчетности. Постановка задач, контроль выполнения и качества работ, организация и координация членов команды. Ведение документооборота на проекте.",Без требований,Без обязанностей,Без условий,Без ключевых навыков,3
263,263,менеджер,Новосибирск,70000.0,100000.0,Скайтек,2019-10-13T07:27:35+0300,От 1 года до 3 лет,Гибкий график,Полная занятость,"Мы растём, игровых проектов становиться всё больше, и в связи с этим открываем вакансию Менеджера по разработке игр. Ваша задача будет управлять разработкой 1-2 действующих крупных мобильных онлайн игр (одна - RPG-кликер, вторая - CCG батлер). Проекты сложные, комплексные, много лет на рынке, устоявшаяся многонациональная аудитория, высокие требования к качеству релизов. В бой вас сразу кидать никто не будет, Вы будете включаться в работу постепенно, под руководством опытных продюсеров. С ростом ваших навыков и умений сможете оперировать и развивать такие проекты самостоятельно. Вакансия очень интересная. Штучная. В Новосибирске такие появляются редко. Работа в офисе в Академгородке, удаленных сотрудников не рассматриваем. Задачи: Управлять командой разработчиков (frontend на Unity3D, backend на Java/PHP). Взаимодействовать с гейм-дизайнерами и маркетологами, получать от них задачи, корректировать и запускать в работу Ставить задачи в арт-отдел. Формировать состав обновлений и выпускать их в сторы Разрешать возникающие в играх ситуации (от технических до политических, внутри online-сообществ игроков) Работать с локализациями Работать со службой поддержки Мы ищем менеджера, который не просто получит задачу сделать &quot;кнопку А здесь, кнопку Б здесь&quot;, запишет в Trello, передаст художникам, те как-то нарисуют, программисты запрограммируют, тестировщики проверят, что все работает и вуаля - технически все готово, можно в релиз. Нам нужен человек, который обеспечит высокое качество на всех этапах разработки – вдумчиво посмотрит, что сделано, протестирует, поиграет сам, примерит себя в роли игрока и скажет, где сделано неудобно, где не очень красиво, предложит, как доработать, чтобы игроки были в восторге. Требования: Чувство прекрасного. Вы должны отличать красивый арт от плохого, удобный интерфейс от неудобного, хороший геймплей от посредственного, классный текст от обычного. Понимать/знать/чувствовать, как надо изменить, чтобы стало хорошо. Любовь к играм, желание играть в игры и делать крутые продукты. Дипломатичность, умение договориться со всеми членами команды, умение выдать отличный результат. Полная ответственность за работу своей команды. Опыт работы на позиции Project Manager/Producer в ИТ от 2 лет Английский язык на уровне Intermediate и выше Законченное высшее техническое /математическое образование. Будет плюсом: Опыт работы в компании-разработчике игр на любой позиции Опыт работы менеджером проектов в компании-разработчике игр (большой плюс) Мы предлагаем: Высокую обсуждаемую зарплату (в зависимости от ваших навыков, умений и опыта) Официальное трудоустройство Гибкий график работы Оплачиваемый отпуск и больничный Компенсация посещения спортзалов Офис компании представляет собой отдельно стоящее 2-этажное здание на огороженной территории, с деревьями, лавочками, площадкой для мангала и удобной парковкой Своя кухня, сладости, фрукты, чай и кофе. Теннис, настольный футбол и игровая комната с PS4 Крутые корпоративы и тематические вечеринки Интересная и творческая работа, возможность учиться у профессиональных коллег Мы ждем от Вас: Резюме Готовность выполнить тестовое задание",Без требований,Без обязанностей,Без условий,Без ключевых навыков,5
209,209,менеджер,Новосибирск,70000.0,116250.0,Финансовые Информационные Системы,2019-10-02T07:01:43+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Привет! Мы компания “ФИС” и мы начали автоматизировать бизнес-процессы, когда это еще не было популярно. На текущий момент нашими клиентами являются банки ТОП-30 и мы является поставщиками уникального решения, не имеющего полноценных аналогов на рынке. Стремимся облегчить бизнес клиентам при помощи наших решений. Стартовали в 2003 году с 7 людьми, а теперь нас 150 и продолжаем расти! Средний возраст сотрудников 28 лет, поэтому общаемся на “ты” с руководителями и коллегами. Ценим индивидуальность каждого члена нашей команды. Даем возможность не стоять на месте, расти и учиться. Вместе ходим на семинары, тренинги, отправляем в командировки и принимаем на стажировку. Приветствуем инициативу и прислушиваемся к мнению коллег. Сегодня наши решения используют: Совкомбанк, Газпромбанк, Райффайзенбанк, БИНБАНК, АК БАРС Банк, МТС Банк, S7 Airlines, BrandMaker, Jaguar Landrover, ООО РусАтом Сервис и другие. В команду разработки и внедрения банковских систем требуется менеджер проектов. Нам нужен человек с опытом работы в IT и/или банковской сфере, умеющий находить контакт с людьми, управлять сроками, рисками и с желанием постоянно &quot;держать руку на пульсе проектов&quot;. Обязательна готовность к командировкам. Что мы ожидаем от Вас: Обязательный опыт внедрения программных решений Опыт в подготовке технической документации Техническое или экономическое образование Опыт работы с внешними заказчиками приветствуется Опыт проектной работы Опыт аналитической работы Навыки ведения переговоров Навыки проектного управления Вашими задачами будут: Управление проектом, в том числе распределение задач, уточнение постановок задач, планирование Составление и отслеживание графика работ и рисков по проекту Контроль качества и сроков проекта Предоставление отчетности Взаимодействие с заказчиками Участие в разработке, тестировании, анализе ПО - помощь команде, вовлечение в ход работы Предлагаем: Трудоустройство согласно ТК РФ Достойный уровень заработной платы Рост заработной платы вместе с ростом квалификации Офис в Академгородке (Николаева) Корпоративный транспорт от м. &quot;Речной Вокзал&quot; А также: Хорошие возможности профессионального роста и обмен опытом Возможность участия в жизни компании Сезонные корпоративы и уютные посиделки с коллегами Столовая с кофемашиной и сладостями к чаю Интересна наша вакансия? Оставляйте отклик, и мы с Вами свяжемся!",Без требований,Без обязанностей,Без условий,Project management|Управление проектами|Управление продуктом|Agile Project Management|Scrum,16
1082,1082,менеджер,Новосибирск,72142.85714285714,116250.0,Сбербанк - Технологии,2019-09-18T11:04:42+0300,Нет опыта,Полный день,Полная занятость,"Мы занимаемся развитием технологического ядра новой платформы Сбербанка в области хранения и обработки данных. Наша задача: предоставить сотням банковских сервисов надежную и удобную систему для работы с данными. Для этого мы используем последние технологии распределённого хранения и обработки данных в оперативной памяти. Объём данных, которые необходимо обрабатывать, измеряется в петабайтах. Поэтому каждый день перед тобой будут стоять сложные инженерные задачи по созданию высоконагруженной системы, к которой предъявляются самые высокие требования по надежности, производительности и отказоустойчивости. Нашими решениями уже активно пользуются десятки команд, которые создают приложения и сервисы новой технологической платформы Сбербанка - обратная связь и ощущение того, что ты делаешь что-то действительно стоящее, гарантированы! Задачи: Управление процессами тестирования Технологических сервисов (порядка 20 отдельных модулей). Участие в планировании релизов (выпусков ПО), оценка трудоёмкости тестирования, необходимых видов тестирования (ручное, автоматизированое). Решение организационных вопросов: готовность стендов, тестовых моделей, ресурсов тестирования. Предоставление промежуточной отчетности. Координация тестирования межмодульных доработок. Контроль качества тестирования, подготовка и согласование отчетов ИФТ. Участие в приёмо-сдаточных испытаниях. Анализ пропуска дефектов, выполнение компенсационных мероприятий. Поиск, найм и обучение тестировщиков. Внедрение новых инструментов и технологий. Требования: Высшее, техническое образование Опыт в тестировании 3-5 лет Знание Java Опыт работы с инструментами jira confluence Знание английского языка на уровне базы Будет плюсом: Опыт руководства командой тестирования Руководство проектами Мы предлагаем: - масштабные и высоконагруженные проекты с использованием новых технологий; - команду профессионалов, готовых поддержать ваши инициативы; - использование Agile-методологии; - возможность обучения и сертификации за счёт компании; -возможность изучения английского языка, не выходя из офиса; - гибкий график ; - трудоустройство согласно трудовому кодексу - оклад плюс премии по результатам работы - корпоративное обучение - медицинскую страховку - материальная поддержка в особых случаях - скидки на продукты Сбербанка. Новосибирск, ул. Семьи Шамшиных, 64, БЦ &quot;Аврора&quot;. Про Сбербанк Сбербанк — это современная техническая платформа, создающая новые способы потребления финансовых (и не только) услуг. Мы собираем лучшие технологии и управленческие методы из мировой практики, чтобы превратить «главный» банк России в передовую сервисную экосистему. Если тебе нравится эта идея, присоединяйся к нашей команде. За что сотрудники любят Сбербанк: прогрессивность: да, мы — банк со столетней историей, но одновременно и финтех-стартап с идеями о том, как изменить мир масштаб: внутри одной компании можно развиваться в любом направлении и строить карьеру с любым уровнем амбиций эффект: ты стараешься — и это видят десятки миллионов людей.",Без требований,Без обязанностей,Без условий,Без ключевых навыков,30
310,310,менеджер,Новосибирск,72142.85714285714,116250.0,Группа компаний «SWEB GROUP»,2019-10-13T15:30:52+0300,От 3 до 6 лет,Полный день,Полная занятость,"О команде. Мы EdTech проект, меняем традиционное образование в сфере охраны труда с помощью технологий. Наша IT-команд растет и развивается, у нас есть продуктовая команда, большая команда по разработке, а также сильная экспертиза в данной области. Наша разработка — обучающая платформа с более 200 различных обучающих курсов. Это уникальный продукт для нашего рынка. Под капотом. Распределённая команда с четкими ролями, применяем смесь kanban и scrum: работаем на результат, в production выкатываем изменения по нескольку раз в день, регулярные стендапы, ретроспективы. Наши менеджеры не боятся слова «рефакторинг», для работы с техническим долгом выделяем время в спринте. Не боимся ошибаться, а если так происходит, то проводим post mortem, разбираем ошибки и работаем дальше. Используем современные инструменты коммуникации. О вакансии. Мы в поиске сильного Project manager, способного взять на себя техническое лидерство над одной из наших команд разработки продуктов. Что нужно будет делать: Постановка задач команде разработки (2 бэкенд разработчика, фронтенд разработчик, тестировщик); Коммуникация с другими участниками команды (продуктовый менеджер, системный аналитик, маркетологи, эксперт, продажи); Участие в развитии проектной команды; Участие в разработке архитектуры информационных систем. У нас: Сильная команда разработки с четким распределением ролей (Agile); Разработка сложного web-сервиса и системы автоматизации в крупной компании; Конкурентоспособная заработная плата; Официальное трудоустройство Гибкий рабочий график; Офис в центре города. Необходимые навыки: Опыт работы менеджером проекта в крупных веб проектах (agile); Опыт разработки технических заданий и мокапов; Опыт работы с системами баг-трекинга; Наличие портфолио; Кого мы хотим найти: Активного, энергичного и дружелюбного - мы сами такие и хотим поддерживать комфортную нам атмосферу в коллективе; С хорошими организаторскими способностями и умением доводить задачи до реализации; С умением ясно и грамотно излагать свои мысли. Наши достижения: - Слаженная многоплановая команда, способная решать любые задачи; - Уникальная обучающая платформа для нашего рынка; - NPS (удовлетворенность пользователей) продуктом 93%; - Конверсия заявки в пользователя - более 90%. Наши планы: - Развитие команды разработки; - Запуск различных сервисов для специалистов охраны труда; - Масштабирование проекта по России и СНГ; Что нужно сделать сейчас: В нескольких предложениях напишите, чем мы Вам интересны (Или почему Вы нам подходите. Или просто, покажите что Вы интересный собеседник). Отсутствие сопроводительного письма - признак верной рассылки резюме = &quot;устройства обычного сотрудника на первую попавшуюся работу&quot;. Нам кажется, что удачное сотрудничество начинается иначе, поэтому такие обращения мы игнорируем. А если человек стесняется/не умеет написать несколько строк о себе - как же ему развивать отношения с клиентами?",Без требований,Без обязанностей,Без условий,Project management|Agile Project Management|Scrum|Team management|Управление проектами|Организаторские навыки,5
247,247,менеджер,Новосибирск,72142.85714285714,116250.0,ВЕЛВЕТЕК Системз,2019-09-30T10:47:53+0300,От 3 до 6 лет,Полный день,Полная занятость,"Velvetech – это международная компания с 15-летней историей разработки передовых программных и аппаратных продуктов для компаний по всему миру. Компания Velvetech Systems является официальным партнером Microsoft уровня Gold по компетенции Application Development. Локации: офисы в Чикаго, Новосибирске и Омске. Специализация: консультирование, разработка, внедрение и обслуживание ПО, а также аппаратного обеспечения: IoT, Blockchain, Machine Learning и др. Инструменты: мы работаем с самыми современными технологиями, включая последние версии SQL Server, Visual Studio, ASP.NET MVC, EntityFramework, React, Angular, ASP.NET Core, JIRA, Confluence, TeamCity, ReSharper, а также со многими другими языками и фреймворками. Клиенты: крупные американские медицинские ассоциации; ведущие фармацевтические и энергетические компании; производители оборудования; трейдинговые и финансовые организации; страховые компании. Коллектив: дружная команда профессионалов, в которой каждый добивается высоких результатов и профессионально растет не только благодаря своим собственным знаниям и навыкам, но и благодаря помощи и поддержке коллег. Мы внимательно следим за трендами в мире технологий и активно сотрудничаем со стартапами на таких прорывных направлениях как Blockchain, Machine Learning, Internet of Things, FPGA и AI. Project Manager – это специалист, чьей главной задачей является управление проектом в целом: проектирование и расстановка приоритетов, планирование выполнения задач, контроль, коммуникации, а также оперативное решение проблем. Основная обязанность и ответственность Project Manager в нашей компании – довести идею заказчика до реализации в установленный срок, используя имеющиеся ресурсы. В рамках этой задачи PM’у необходимо построить план разработки, организовать команду, настроить процесс работы над проектом, обеспечить обратную связь между командами и заказчиком, устранять помехи для команд, контролировать качество и поставку продукта в срок. Сейчас наша команда находится в поиске человека, который сможет вести отношения с клиентом и управлять распределенной командой проекта с удаленными программистами, и управлять несколькими командами одновременно. Требования: опыт в роли разработчика, архитектора информационных систем. английский - не ниже upper-intermediate. успешный опыт на аналогичной должности от 3-х лет. знание и опыт применения Agile методологий, в том числе Scrum, Kanban. желательно: опыт разработки систем с высокой нагрузкой. понимание принципов автоматизации и оптимизации бизнес процессов. Должностные обязанности : составление проектной документации на разработку информационных систем, согласование сроков, анализ рисков; постановка рабочего процесса в команде (разработка, тестирование, работа с требованиями); мотивация команды и создание прозрачной среды общения между всеми участниками процесса, отслеживание удовлетворенности проектом со стороны команды; общение с заказчиком, управление его ожиданиями, презентация готовых решений, демо-версий, прототипов; участие в подборе и утверждении проектной команды; участие в разработке архитектуры информационных систем. Условия: В нашей компании вы найдете массу возможностей для своего профессионального и карьерного роста, будете частью дружного коллектива, а также поучаствуете в создании востребованных продуктов, которыми реально пользуется огромное количество людей! А также, работа в Velvetech - это официальное трудоустройство, соблюдение ТК; возможность адаптировать рабочий график под себя; проектные премии; корпоративное обучение, курсы английского языка, сертификация от Microsoft за счет компании, бесплатный доступ на online learning platform (software/devops/project management/design/business); ДМС для сотрудников; комфортный офис в двухэтажном здании (1 минута пешком от станции &quot;Сеятель&quot;). Сотрудники занимают кабинеты на 5-6 человек, есть несколько переговорных комнат и оборудованных кухонь (вкусный натуральный кофе, чай, молоко и печеньки включены). Рядом с офисом есть продуктовые магазины, на расстоянии 5 минут - две столовые. Для отдыха есть библиотека, настольный теннис и хоккей, турник и боксерская груша."," опыт в роли разработчика, архитектора информационных систем. английский - не ниже upper-intermediate. успешный опыт на аналогичной должности от 3-х лет. знание и опыт применения Agile методологий, в том числе Scrum, Kanban. желательно: опыт разработки систем с высокой нагрузкой. понимание принципов автоматизации и оптимизации бизнес процессов. Должностные обязанности : составление проектной документации на разработку информационных систем, согласование сроков, анализ рисков; постановка рабочего процесса в команде (разработка, тестирование, работа с требованиями); мотивация команды и создание прозрачной среды общения между всеми участниками процесса, отслеживание удовлетворенности проектом со стороны команды; общение с заказчиком, управление его ожиданиями, презентация готовых решений, демо-версий, прототипов; участие в подборе и утверждении проектной команды; участие в разработке архитектуры информационных систем. ",Без обязанностей," В нашей компании вы найдете массу возможностей для своего профессионального и карьерного роста, будете частью дружного коллектива, а также поучаствуете в создании востребованных продуктов, которыми реально пользуется огромное количество людей! А также, работа в Velvetech - это официальное трудоустройство, соблюдение ТК; возможность адаптировать рабочий график под себя; проектные премии; корпоративное обучение, курсы английского языка, сертификация от Microsoft за счет компании, бесплатный доступ на online learning platform (software/devops/project management/design/business); ДМС для сотрудников; комфортный офис в двухэтажном здании (1 минута пешком от станции &quot;Сеятель&quot;). Сотрудники занимают кабинеты на 5-6 человек, есть несколько переговорных комнат и оборудованных кухонь (вкусный натуральный кофе, чай, молоко и печеньки включены). Рядом с офисом есть продуктовые магазины, на расстоянии 5 минут - две столовые. Для отдыха есть библиотека, настольный теннис и хоккей, турник и боксерская груша.",Без ключевых навыков,18
1071,1071,менеджер,Новосибирск,72142.85714285714,116250.0,True Engineering,2019-10-10T10:43:40+0300,От 1 года до 3 лет,Гибкий график,Полная занятость,"True Engineering – лаборатория технологических инноваций. Стратегические партнеры по цифровой трансформации бизнеса S7 Airlines, Leroy Merlin, «ВСК», «Ингосстрах», «АльфаСтрахование», ГК «ЭФКО», Imperial Tobacco и других. Проектируем и строим цифровые высокодоступные Business Critical платформы . Автоматизируем Core бизнес, создаем клиентские сервисы и сервисы для партнерских сетей. Наши герои - это люди. Именно они творят настоящую история о настоящих профессионалах, настоящих инженерах, настоящих нас. Мы собрали отличную команду в 150 инженеров и продолжаем расти. Ценим профессионализм, простоту, душевность и юмор. С азартом беремся за работу, играем в долгую, принимаем решения и делаем осознанный выбор. Выбор быть настоящими. Мы ищем DevRel (TechnoPR/Employer branding) менеджера, организатора мероприятий для профессионального сообщества, соавтора контента в наши технические блоги. Фронт работ: Поиск интересных технических тем в ежедневной работе наших инженеров (общение с командами разработки, системными инженерами, менеджерами, погружение в смысл их работы, освещение результатов, находок и граблей). Проведение собственных ресечей, понимание трендов в ИТ-индустрии, отслеживание интересных событий, презентаций новых разработок, с тем, чтобы задать правильное направление нашим техническим блогам и мероприятиям. Выбор и реализация разных форматов взаимодействия с профессиональным сообществом: конференции, митапы, блоги, подкасты, каналы и т.п. Работа со спикерами: помощь в подготовке презентаций (вычитка и формулировка слайдов), репетиции выступления и отработка речи спикера. Редактирование и выпуск статей для Хабра, блога True Engineering; Организация собственных мероприятий True Engineering. Организация выступлений на внешних конференциях и митапах. Организация внутренних митапов компании. Что мы ждем от настоящего DevRel менеджера: Высшее, желательно техническое образование. Знакомство с ИТ-индустрией, технологиями, циклом разработки, участниками процесса и их ролями. Способность говорить с инженерами на технические темы на одном языке. Опыт ведения блогов на тему разработки (личных или корпоративных). Опыт организации мероприятий для ИТ-сообщества, или участие в них в роли соорганизатора. Хороший русский обязателен. Хороший английский будет плюсом. True Employer: От нас сильная команда дизайна и разработки, поддержка PM, профессиональное окружение, современный технологический стек. Умные, честные, открытые коллеги. Простор для инженерной мысли и уютная рабочая среда. C&amp;B Трудоустройство по ТК РФ Белая заработная плата Бесплатный спорт, бассейн Гибкий рабочий график Красивый офис Легендарные корпоративы Спортивные команды, турник в офисе Корпоративная библиотека Плюшки Закрытая парковка True Engineering - кто мы? Проектируем возможности, работаем на результат, делаем на перспективу . К нам приходят с бизнес-задачей, а мы переводим ее в плоскость информационных технологий и решаем. Инженерный подход позволяет закладывать в решение возможность его развития и глубокой модернизации. Создавать новые конкурентные преимущества для бизнеса. Мы инженеры ИТ-отрасли. Смотрим в будущее, мысленно мы всегда на шаг впереди. Делаем сегодня то, что приведет нас в завтра. Осознанно и рачительно относимся к ресурсам. Ловим технологические тренды , исследуем, применяем инструменты на практике. Умеем и любим учиться, создаем технологические компетенции внутри себя, растим отраслевую бизнес-экспертизу. Создание ценности - наша главная цель. Придумать работающее решение, создать его и добиться бизнес-результата. Знать, что в нем есть кусочек тебя лично, и ты можешь увидеть его в реальных цифрах, графиках, бизнес-показателях использования информационных систем. Наши технологические компетенции – Engineering, Data Mining &amp; Machine Learning, DevOps, Design &amp; Digital. Cтек технологий – Java, .Net, Angular, Vue, iOS, Android. Наш офис находится в новосибирском Академгородке. Мы помогаем с переездом из других городов. Если ты хочешь присоединиться к настоящим инженерам , напиши нам",Без требований,Без обязанностей,Без условий,Без ключевых навыков,8
763,763,менеджер,Новосибирск,72142.85714285714,116250.0,Profit Center,2019-09-17T14:40:00+0300,Нет опыта,Полный день,Полная занятость,"Привет! Ты активный и у тебя хватает энергии, чтобы заряжать ею всех вокруг? Умеешь аргументировать свою точку зрения и виртуозно решаешь спорные ситуации? Тебя раздражают разгильдяи и все страдают от чрезмерного контроля с твоей стороны? Тогда тебе точно стоит прочитать наше объявление. Мы - продуктовая IT-компания Profit Center, ищем в свою команду Junior Project manager Требования: Разговорный английский (Upper-Intermediate и выше) Аналитический склад ума, желание и способность работать с таблицами, графиками, отчетами, выборками данных Базовые знания Project Management (идеально, если прошли курсы РМ) Разбираться в IT-сфере (наш джун понимает разницу между С# и Java, С# и C++, знает принципы ООП и цель его использования) Мы предлагаем: Вилка на период обучения 500 - 800 USD Интенсивное 3х месячное обучение с переходом с позиции trainee на позицию Рroject manager Пересмотр заработной платы в соответствии с профессиональным развитием Удаленную занятость 8-часовой гибкий рабочий день Пн-Пт Работу в большой команде разработчиков 50% оплату обучения, повышения квалификации и посещения лекций Совместные мероприятия и корпоративы",Без требований,Без обязанностей,Без условий,Без ключевых навыков,31
