,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills,days
170,170,остальное,Новосибирск,20000.0,40000.0,ВЕЛВЕТЕК Системз,2019-10-10T05:22:14+0300,От 1 года до 3 лет,Гибкий график,Полная занятость,"About Us Velvetech Systems is an international company with 15 years of history. Our offices are located in Chicago, Novosibirsk and Omsk. Our customers are major American healthcare associations, leading pharmaceutical, energy companies, equipment manufacturers, financial organizations. We utilize the best and the most contemporary development tools and technologies including latest version of SQL Server, Visual Studio, ASP.NET MVC, EntityFramework, NHibernate, AngularJS, KnockoutJS, JIRA, Confluence, TeamCity, ReSharper, etc. We are looking for graduates (or students in their final years) with excellent English skills and analytical thinking who are ready to grow in IT industry. If you can do the following: Help developers understand and produce texts in English (emails, technical documentation, technical design specification, scope of work) Check and edit English texts in business emails, documentation, user interface of the developed software, You can grow fast to become: Business Analyst Quality Control Manager Client Account Executive Customer Service Executive We want you to become an important part of the software development team and work with us on challenging and exciting projects for leading American companies. Work Conditions: Challenging and exciting projects; Official employment; Compliance with the labor code; Vast opportunities for career development; Flexible schedule; Young and friendly team; Bonuses per project results; Voluntary health insurance coverage; Convenient location (one-minute walk to “Syeyatel” train station).",Без требований,Без обязанностей,Без условий,Без ключевых навыков,8
836,836,остальное,Новосибирск,25000.0,30000.0,Неолаб-Нск,2019-10-07T11:52:18+0300,Нет опыта,Сменный график,Полная занятость,"Компания Неолаб-Нск решает важные задачи для игровой индустрии в областях искусственного интеллекта, машинного обучения и больших данных. Мы разрабатываем приложения и сервисы для обработки данных, помощи в принятии решений и игровой аналитики. Чем предстоит заниматься: Запуск и контроль работы ПО в соответствии с регламентами; Отслеживание и фиксация ошибок в работе ПО и своевременное оповещение о проблемах; Заполнение отчетов по завершению смены; Требования: Уверенный пользователь ПК; Обучаемость (способность быстро освоить и использовать новое ПО); Внимательность, ответственность и исполнительность; Оперативность в решении задач; Образование не ниже среднего профессионального или неполного высшего; Знание английского языка (будет плюсом). Условия: Обучение за счет компании; Молодой и профессиональный коллектив; Сменный график работы (продолжительность смены - 12 часов, будут как дневные, так и ночные смены); Офис в Академгородке (5 минут ходьбы от остановки); Комфортный офис с кухней и различными плюшками; Понравилось всё, что только что прочитал? Откликайся!"," Уверенный пользователь ПК; Обучаемость (способность быстро освоить и использовать новое ПО); Внимательность, ответственность и исполнительность; Оперативность в решении задач; Образование не ниже среднего профессионального или неполного высшего; Знание английского языка (будет плюсом). ",Без обязанностей," Обучение за счет компании; Молодой и профессиональный коллектив; Сменный график работы (продолжительность смены - 12 часов, будут как дневные, так и ночные смены); Офис в Академгородке (5 минут ходьбы от остановки); Комфортный офис с кухней и различными плюшками; Понравилось всё, что только что прочитал? Откликайся!",Без ключевых навыков,11
71,71,остальное,Новосибирск,30000.0,55000.0,Глубоков Дмитрий Николаевич,2019-10-08T12:45:37+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Компания « SpaceLevel » — это агентство интернет-маркетинга, предлагающее целый спектр услуг по разработке и продвижению сайтов, автоматизации бизнес-процессов. Наш офис расположен в центре Новосибирска, 7 минут ходьбы от пл.Ленина, 5 мин. от Оперного театра. Мы стремимся к проектной, не конвейерной работе, в рамках которой вы сможете заниматься полноценной оптимизацией и продвижением сайта. Для Вашей работы и профессионального роста у нас созданы благоприятные и комфортные условия: Официальное трудоустройство по ТК РФ, оплачиваемый отпуск Молодой и дружный коллектив, адекватное руководство возможность предлагать и внедрять улучшения, быть услышанным и понятым отсутствует жесткая иерархия, налажены дружеские отношения внутри отдела и за его пределами. гарантируем работу в команде профессионалов и интересные задачи. На испытательный период (от 1 до 3 мес.) фиксированный оклад от 30 до 40 т.р. в зависимости от вашего уровня знаний и навыков. С 4 месяца - ЗП на руки от 35 до 55 т.р. (зависит от вашего опыта, а также объема работ, соблюдения сроков и качества). Восьмичасовой рабочий день, пятидневная рабочая неделя. Начало рабочего дня по вашему выбору, в промежутке с 9 до 11 часов. Оборудованная обеденная зона с микроволновкой, чаем и печенюшками стабильность :) Мы давно на рынке, у нас не бывает задержек зарплат и внезапных смен курса В нашей компании SEO - это всегда хорошее системное развитие: разные тематики, география и разный уровень сложности проектов. Чем вы будете заниматься: продвижение клиентских проектов в поисковых системах, полная личная ответственность за данный участок работ (вы решаете сами как и что делать, когда и зачем); оставление стратегии продвижения новых проектов, корректировки стратегий текущих проектов аудиты и рекомендации; подготовка ТЗ на доработки сайтов; подготовка ТЗ на написание текстов; контроль выполнения задач копирайтерами, программистами, дизайнерами и контент-менеджерами; анализ конкурентов и поисковой выдачи; Сбор семантического ядра для оптимизации всех продвигаемых страниц сайтов работа с системами аналитики - Яндекс Метрика / Google Analytics; построение ссылочного профиля; работа по юзабилити и увеличению конверсии сайта (потребуется навык проектирования посадочных страниц и составления ТЗ, но без “перегиба” в сторону дизайна и разработки); планировать свою работу на месяц, неделю, день во внутренней системе. Вы нам подходите, если: работали от 2-х лет в качестве SEO-специалиста; продвигали интернет-магазины на несколько регионов, а также сайты услуг; знаете современные методы продвижения (поведенческие факторы, юзабилити сайта, работа с контентом, ссылочное продвижение); знаете как пользоваться SEO-софтом: у вас есть опыт проектирования сайтов или посадочных страниц; вам комфортно длительно работать над монотонными задачами, требующими внимательности, кропотливости, настойчивости и усидчивости; вы можете собирать, структурировать и анализировать большие объёмы информации, как текстовой, так и числовой; вам нравится погружаться в клиентский бизнес и разбираться что и как устроено в нём; вы умеете планировать своё время и соблюдать сроки; вы хотите развиваться профессионально: самостоятельно планировать работу по проектам, изучать и применять новые инструменты, отвечать за результат и в перспективе стать руководителем; вы можете показать нам несколько проектов и рассказать как было вначале, что делали вы и зачем, какие результаты получены; Знание систем аналитики Яндекс.Метрика и Google Analytics Умение составлять технические задания для копирайтеров на основании проведенного анализа текстов и контента конкурентов Знание минимум на базовом уровне PHP, HTML и CSS Высокий уровень внимательности, ответственности и самодисциплины, грамотность письменной речи Перспективы развития: Рост до должности SEO Team Lead через 1 год (ЗП от 60 т.р.). Если все понравилось, отправляйте отклики или присылайте резюме на почту.",Без требований,Без обязанностей,Без условий,Составление семантического ядра|SEO оптимизация|Внешняя оптимизация сайта|Внутренняя оптимизация сайта,10
945,945,остальное,Новосибирск,30000.0,50000.0,AD.RU,2019-10-01T11:35:00+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Мы - AD.RU - крупный международный холдинг. Наша команда развивает проекты в сфере ADtech, HRtech, EDtech, B2C и Mobile и помогает значительно повысить капитализацию стартапов, используя уникальный маркетинговый опыт. В холдинге работает более 700 профессионалов, наши российские офисы расположены в Москве, Новосибирске, Воронеже, Калининграде, Туле, Ростове-на-Дону, Волгодонске. Представительские офисы в Лондоне и Сингапуре. Задачи: диагностика и решение инцидентов, связанных с работоспособностью международных ERP и CRM систем; оперативная техническая поддержка пользователей ERP и CRM систем; аналитика данных/построение статистики. Для успешного выполнения задач, вам понадобится: опыт работы(или сопровождения) с высоконагруженными системами(ERP/CRM/биллинговые/финансовые/прочими); опыт решения инцидентов с доступом к сетевым ресурсам; опыт ведения рабочего процесса в системах ServiceDesk/Help Desk; опыт анализа данных и построения статистики (MS Excel); построение запросов SQL; технический английский (письменная обработка обращений англоязычных пользователей). Нам важно, чтобы наш сотрудник работал в максимально комфортных условиях, для этого мы предлагаем: возможность получить опыт/реализовать себя в международной IT/digital компании с интернациональной командой в проектах от Америки до Китая; корпоративные занятия английским языком и возможность использовать язык в работе (наши коллеги в других странах говорят на английском); возможность посещать профильные внешние конференции по всему миру; комфортные условия работы в одном из наших офисов г. Новосибирска, по улице Коммунистическая улица, м. Площадь Ленина; гибкий график: возможность расстаться с утренними пробками; официальное трудоустройство с первого дня по ТК РФ.",Без требований,Без обязанностей,Без условий,Без ключевых навыков,17
840,840,остальное,Новосибирск,35000.0,70000.0,А2 Систем,2019-10-13T10:58:46+0300,От 3 до 6 лет,Полный день,Полная занятость,"ООО &quot;А2 Систем&quot; - инжиниринговая компания, сферой профессиональных интересов которой является реализация комплексных решений по созданию современных систем управления технологическими процессами: Автоматизированные системы управления технологическими процессами (АСУ ТП); Системы технического учета и диспетчерского управления энергоресурсами (АСТУЭ / АСДУЭ); Диспетчерские центры; Системы передачи данных; Производство НКУ. Ищем Инженера-проектировщика АСУ ТП и телемеханики в наш дружный коллектив! Если Вы соответствуете указанным ниже требованиям, являетесь коммуникабельным человеком, имеете активную жизненную позицию и не боитесь &quot;резких стартов&quot;, то мы с удовольствием встретимся с Вами на собеседовании. Обязанности: Разработка проектной и рабочей документации для Автоматизированных Систем Управления Технологическими Процессами (АСУ ТП, телемеханика, АСДУЭ/АСТУЭ и т.п.) в электроэнергетической отрасли (предпочтительно) и других отраслях промышленности; Выпуск проектной документации; Проведение предпроектных обследований, разработка основных технических решений, согласование с Заказчиком; Согласование разрабатываемых проектов с другими подразделениями компании, с представителями Заказчиков и с органами государственного надзора; Выполнение требований рабочих регламентов компании; Соблюдение правил техники безопасности; Соблюдение правил корпоративной информационной безопасности. Требования: Образование: высшее техническое, предпочтительно в области АСУ, электроэнергетика, электротехника; Опыт в области проектирования АСУ ТП, не менее 3 лет; Понимание основных целей, назначения и принципов построения систем автоматизации; Внимательность, исполнительность, взаимодействие с коллективом в рабочем процессе, способность к самоорганизации. Ключевые навыки: Знание основных нормативных документов в области проектирования, свободное ориентирование в видах и источниках получения отраслевых нормативных документов - постановлений, распоряжений, приказов, методических указаний, регламентов и др.; Высокий уровень владения инструментальными средствами проектирования – Eplan и AutoCad, всеми приложениями Microsoft Office (или аналогичными); Знание технических характеристик отечественного и зарубежного оборудования, применяемого в системах автоматизации технологических процессов, вычислительных сетях и коммуникациях; Умение выполнять подбор типов и марок оборудования для реализации технических решений для систем автоматизации; Чтение схем (электрических, структурных, однолинейных и пр.) в целях определения основных свойств и характеристик объектов автоматизации; Умение выделять необходимые для выполнения задачи исходные данные. Условия: Официальное трудоустройство согласно ТК РФ; Обучение, повышение квалификации; Возможность карьерного роста; График работы: Пн - Пт с 9.00 до 18.00; Должностная позиция, заработная плата определяются результатами собеседования; Испытательный срок 3 месяц."," Образование: высшее техническое, предпочтительно в области АСУ, электроэнергетика, электротехника; Опыт в области проектирования АСУ ТП, не менее 3 лет; Понимание основных целей, назначения и принципов построения систем автоматизации; Внимательность, исполнительность, взаимодействие с коллективом в рабочем процессе, способность к самоорганизации. Ключевые навыки: Знание основных нормативных документов в области проектирования, свободное ориентирование в видах и источниках получения отраслевых нормативных документов - постановлений, распоряжений, приказов, методических указаний, регламентов и др.; Высокий уровень владения инструментальными средствами проектирования – Eplan и AutoCad, всеми приложениями Microsoft Office (или аналогичными); Знание технических характеристик отечественного и зарубежного оборудования, применяемого в системах автоматизации технологических процессов, вычислительных сетях и коммуникациях; Умение выполнять подбор типов и марок оборудования для реализации технических решений для систем автоматизации; Чтение схем (электрических, структурных, однолинейных и пр.) в целях определения основных свойств и характеристик объектов автоматизации; Умение выделять необходимые для выполнения задачи исходные данные. "," Разработка проектной и рабочей документации для Автоматизированных Систем Управления Технологическими Процессами (АСУ ТП, телемеханика, АСДУЭ/АСТУЭ и т.п.) в электроэнергетической отрасли (предпочтительно) и других отраслях промышленности; Выпуск проектной документации; Проведение предпроектных обследований, разработка основных технических решений, согласование с Заказчиком; Согласование разрабатываемых проектов с другими подразделениями компании, с представителями Заказчиков и с органами государственного надзора; Выполнение требований рабочих регламентов компании; Соблюдение правил техники безопасности; Соблюдение правил корпоративной информационной безопасности. "," Официальное трудоустройство согласно ТК РФ; Обучение, повышение квалификации; Возможность карьерного роста; График работы: Пн - Пт с 9.00 до 18.00; Должностная позиция, заработная плата определяются результатами собеседования; Испытательный срок 3 месяц.",Без ключевых навыков,5
581,581,остальное,Новосибирск,39000.0,39000.0,Сибирская генерирующая Компания УК,2019-10-09T05:58:28+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Сибирская генерирующая компания - крупнейший холдинг в Сибирском федеральном округе в сфере производства электрической и тепловой энергии. Под единым брендом СГК объединены более 20 компаний, ведущих свою деятельности в сфере производства электрической и тепловой энергии, транспортировки и реализации теплоносителя, сервисные и инжиниринговые компании. В Сибирской генерирующей компании трудятся более 32 тысяч человек. Обязанности: сопровождение программного обеспечения оборудования программно-технических комплексов АСУТП; диагностика неисправностей и оперативное устранение сбоев в работе АСУТП; внесение изменений в программное обеспечение по техническим решениям; взаимодействие с разработчиками программного обеспечения с целью оперативного решения возникающих проблем; участие в реализации новых проектов АСУТП. Требования: высшее профильное образование; базовые знания электротехники; знание компьютерного оборудования, языков программирования, принципов организации сетей передачи данных; установка и администрирование операционных систем Windows, SQL серверов; приветствуется знание SCADA систем, среды визуализации InTouch Wonderware, среды разработки приложений ISaGRAF Workbench, навыки настройки и программирования контроллеров Omron, Siemens, ПТК Торнадо. Условия: работа в крупной стабильной компании (отношения с работодателем по ТК РФ); постоянное профессиональное развитие (у нас есть свой корпоративный учебный центр); выплаты по коллективному договору: дополнительный бонус к отпуску, мат. помощь и доп. отпуск при рождении детей, в связи со свадьбой (своей или близких родственников); ДМС + ежегодные прививки от гриппа и клещевого энцефалита; корпоративная столовая; корпоративная скидка на перелеты авиакомпанией S7; корпоративная культура, ориентированная на человека и насыщенная корпоративная жизнь (КВН, День &quot;Донора&quot;, Спартакиада, экологические проекты, благотворительные акции); корпоративный транспорт. А для начинающих специалистов дополнительно: возможность полной или частичной компенсации аренды жилья; участие в проектах Молодёжного совета (ТИМ &quot;Бирюса&quot;, молодёжные слёты, помощь в организации благотворительных мероприятий); возможность участия в отраслевых всероссийских конкурсах/соревнованиях/форумах."," высшее профильное образование; базовые знания электротехники; знание компьютерного оборудования, языков программирования, принципов организации сетей передачи данных; установка и администрирование операционных систем Windows, SQL серверов; приветствуется знание SCADA систем, среды визуализации InTouch Wonderware, среды разработки приложений ISaGRAF Workbench, навыки настройки и программирования контроллеров Omron, Siemens, ПТК Торнадо. ", сопровождение программного обеспечения оборудования программно-технических комплексов АСУТП; диагностика неисправностей и оперативное устранение сбоев в работе АСУТП; внесение изменений в программное обеспечение по техническим решениям; взаимодействие с разработчиками программного обеспечения с целью оперативного решения возникающих проблем; участие в реализации новых проектов АСУТП. ," работа в крупной стабильной компании (отношения с работодателем по ТК РФ); постоянное профессиональное развитие (у нас есть свой корпоративный учебный центр); выплаты по коллективному договору: дополнительный бонус к отпуску, мат. помощь и доп. отпуск при рождении детей, в связи со свадьбой (своей или близких родственников); ДМС + ежегодные прививки от гриппа и клещевого энцефалита; корпоративная столовая; корпоративная скидка на перелеты авиакомпанией S7; корпоративная культура, ориентированная на человека и насыщенная корпоративная жизнь (КВН, День &quot;Донора&quot;, Спартакиада, экологические проекты, благотворительные акции); корпоративный транспорт. А для начинающих специалистов дополнительно: возможность полной или частичной компенсации аренды жилья; участие в проектах Молодёжного совета (ТИМ &quot;Бирюса&quot;, молодёжные слёты, помощь в организации благотворительных мероприятий); возможность участия в отраслевых всероссийских конкурсах/соревнованиях/форумах.","знание компьютерного оборудования|знание электротехники|настройка и программирование контроллеров Omron, Siemens, ПТК Торнадо",9
244,244,остальное,Новосибирск,40000.0,120266.66666666669,Профи Hard Services Soft,2019-10-14T08:14:06+0300,От 1 года до 3 лет,Полный день,Полная занятость,"В IT-компанию требуется Специалист технической поддержки. Обязанности: Решении вопросов, связанных с установкой, настройкой и работой с ПО 1С, установка, настройка и поддержка работоспособности торгового оборудования Требования: Общее понимание принципов учета и автоматизации. Личностные качества: Организованность, порядочность, ответственность, коммуникабельность, системность мышления. Условия: - работа в стабильной компании (на рынке более 15 лет); - комфортный офис в центре, по линии метро; - трудоустройство согласно ТК РФ; - своевременная оплата труда."," Общее понимание принципов учета и автоматизации. Личностные качества: Организованность, порядочность, ответственность, коммуникабельность, системность мышления. "," Решении вопросов, связанных с установкой, настройкой и работой с ПО 1С, установка, настройка и поддержка работоспособности торгового оборудования "," - работа в стабильной компании (на рынке более 15 лет); - комфортный офис в центре, по линии метро; - трудоустройство согласно ТК РФ; - своевременная оплата труда.",Без ключевых навыков,4
223,223,остальное,Новосибирск,40000.0,90000.0,Секвения,2019-10-14T07:01:37+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: Разработка и совершенствование интерфейсов мобильных приложений для платформ iOS и Android. Наша студия входит в ТОП-45 лучших мобильных разработчиков России по версии &quot;Рейтинг Рунета&quot;. Мы делаем лучшие в мире мобильные приложения и хотим, чтобы вы помогли нам в этом. Самое главное - понимать, что за &quot;мобайлом&quot; будущее и желание создавать это будущее своими руками. Мы не рисуем красивые картинки, а создаем удобные, понятные и популярные приложения, которые помогают людям и делают их жизнь лучше. Требования: Наличие портфолио обязательно; Понимание специфики и особенностей проектирования интерфейсов для Web, iOS, Android; (Или желание разобраться и освоить гайдлайны : iOS Human Interface Guidelines и Google Material Design guide) + прототипирование; Уверенное владение Zeplin, Figma, другими графическими пакетами; Художественный вкус, умение разрабатывать и выдерживать единую визуальную стилистику, знание принципов композиции и колористики, сочетания цветов и шрифтов; Ответственность и дисциплинированность, аккуратность, внимание к деталям; Умение и желание работать в команде, самосовершенствоваться. Условия: Работа fulltime в офисе в центре города (рядом с &quot;Аурой&quot;); После испытательного срока - свободный график при условии четкого соблюдения согласованных дедлайнов."," Наличие портфолио обязательно; Понимание специфики и особенностей проектирования интерфейсов для Web, iOS, Android; (Или желание разобраться и освоить гайдлайны : iOS Human Interface Guidelines и Google Material Design guide) + прототипирование; Уверенное владение Zeplin, Figma, другими графическими пакетами; Художественный вкус, умение разрабатывать и выдерживать единую визуальную стилистику, знание принципов композиции и колористики, сочетания цветов и шрифтов; Ответственность и дисциплинированность, аккуратность, внимание к деталям; Умение и желание работать в команде, самосовершенствоваться. "," Разработка и совершенствование интерфейсов мобильных приложений для платформ iOS и Android. Наша студия входит в ТОП-45 лучших мобильных разработчиков России по версии &quot;Рейтинг Рунета&quot;. Мы делаем лучшие в мире мобильные приложения и хотим, чтобы вы помогли нам в этом. Самое главное - понимать, что за &quot;мобайлом&quot; будущее и желание создавать это будущее своими руками. Мы не рисуем красивые картинки, а создаем удобные, понятные и популярные приложения, которые помогают людям и делают их жизнь лучше. ", Работа fulltime в офисе в центре города (рядом с &quot;Аурой&quot;); После испытательного срока - свободный график при условии четкого соблюдения согласованных дедлайнов.,Без ключевых навыков,4
762,762,остальное,Новосибирск,40000.0,120266.66666666669,Ростелеком,2019-10-14T07:59:13+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: Контроль исполнения бизнес-процессов и системы мотивации инсталляций и технической поддержки; Ведение отчетности и составление презентаций по исполнению бизнес-процессов и системы мотивации инсталляций и технической поддержки; Оказание методической и консультационной помощи структурным подразделениям, в том числе с подрядными организациями, по вопросам исполнения бизнес-процессов и системы мотивации инсталляций и технической поддержки; Выполнение анализа качества проведения инсталляционных работ/устранения повреждений. Выявление системных проблем, разработка корректирующих мероприятий. Требования: Высшее образование; Общее понимание построения сетевой инфраструктуры Компании, принципов технологий xPON, xDSL, FTTx, IPTV, VoIP; Общее владение ключевыми Бизнес-процессами общества (процесс инсталляций услуг, техническая поддержка абонентов 1, 2, 3 уровней, учет/движение абонентского оборудования, работа с оттоком абонентской базы и т.д.); Опыт ведения деловой переписки. Грамотная речь, коммуникативные навыки; Опыт работы в отрасли телекоммуникаций от 2-ух лет. Условия: Конкурентный уровень заработной платы; Развитая система премирования; Все социальные гарантии согласно ТК РФ; Непрерывный профессиональный рост (программа наставничества, внешнее обучение, внутрикорпоративные тренинги). Возможность карьерного роста в успешной и профессиональной команде."," Высшее образование; Общее понимание построения сетевой инфраструктуры Компании, принципов технологий xPON, xDSL, FTTx, IPTV, VoIP; Общее владение ключевыми Бизнес-процессами общества (процесс инсталляций услуг, техническая поддержка абонентов 1, 2, 3 уровней, учет/движение абонентского оборудования, работа с оттоком абонентской базы и т.д.); Опыт ведения деловой переписки. Грамотная речь, коммуникативные навыки; Опыт работы в отрасли телекоммуникаций от 2-ух лет. "," Контроль исполнения бизнес-процессов и системы мотивации инсталляций и технической поддержки; Ведение отчетности и составление презентаций по исполнению бизнес-процессов и системы мотивации инсталляций и технической поддержки; Оказание методической и консультационной помощи структурным подразделениям, в том числе с подрядными организациями, по вопросам исполнения бизнес-процессов и системы мотивации инсталляций и технической поддержки; Выполнение анализа качества проведения инсталляционных работ/устранения повреждений. Выявление системных проблем, разработка корректирующих мероприятий. "," Конкурентный уровень заработной платы; Развитая система премирования; Все социальные гарантии согласно ТК РФ; Непрерывный профессиональный рост (программа наставничества, внешнее обучение, внутрикорпоративные тренинги). Возможность карьерного роста в успешной и профессиональной команде.",Деловая переписка|Обучение и развитие|MS Visio|Организация презентаций|Тайм-менеджмент,4
