,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills,days
727,727,разработчик,Челябинск,12995.0,25000.0,Компьютерная Компания Микос,2019-10-16T12:31:27+0300,Нет опыта,Полный день,Стажировка,"Вы готовы обучаться и совершенствовать полученные знания? В нашей компании Вы найдете работу по &quot;душе&quot; и станете профессионалом ! Давайте познакомимся: компания Микос основана в 1992 году . Мы первыми в Челябинской области начали заниматься продажей и сопровождением программ “1С ”. Мы ежемесячно обслуживаем более 1000 клиентов. “Микос” организованная команда, сотрудники в дружеских отношениях друг с другом и клиентами. У нас работает более 50 сотрудников. Наша цель: используя программы 1С, сделать жизнь бухгалтера и руководителя более легкой, а работу компаний более эффективной. У наших программистов очень много заказов, поэтому мы расширяем наш отдел программирования, через обучение в нашей школе программистов. На эту должность мы приглашаем сотрудника, который хочет работать на сдельной системе оплаты труда, будет регулярно повышать свою квалификаци ю по 1С, в том числе и за счет своего личного времени. Также рассматриваем студентов очного и заочного отделения. Конкурс проводится до 30.10.19 Требования к кандидату: иметь профильное образование или опыт работы в профильных сферах (программирование) с удовольствием общаться с другими людьми нацелен на длительную работу в нашей компании. На каких условиях мы будем взаимодействовать во время обучения: в течении 3 месяцев наша компания будет обучать Вас на программиста 1С. Перед началом обучения с Вами будет заключен договор о работе в нашей компании в течение двух лет . 4 часа в день Вы будете проходить теоретическое и практическое обучение, а 4 часа в день выполнять практические задания. Какие это будут задания? сначала Вы будете приглашать потенциальных клиентов на семинары по 1С (т.е. тренировать свои навыки общения с клиентами); после того, как сдадите внутренний экзамен по 1С, Вы будете: обновлять программы 1С, помогать на телефонной и технической линии консультации, делать небольшие доработки программ 1С. В течении трех месяцев Вам будет выплачиваться стипендия (начисленная сумма 12995 рублей). В течении трех месяцев, Вы сдадите экзамены и на основании результатов экзаменов получите должность программиста 1С или консультанта 1С. На каких условиях мы будем взаимодействовать после завершения обучения: еженедельная оплата труда (сдельная оплата) официальное трудоустройство и зарплата график 5/2 разъездной характер работ ненормированный рабочий день Вот отзыв одного из наших сотрудников: «Очень доброжелательный и отзывчивый коллектив, в котором приятно работать, изучать постоянно что-то новое. Если возникают где-то вопросы, всегда ответят. Работаю с 16 июля 2019 г.» (Петровых Алексей, проходил практику в компании, на данный момент работает стажером - программистом)",Без требований,Без обязанностей,Без условий,Консультирование|Работа в команде|Сопровождение клиентов|1С программирование|Работа с клиентами|Обучение,5
513,513,разработчик,Челябинск,18500.0,18500.0,Филиал МАУ МФЦ города Челябинска,2019-10-18T11:14:23+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: -конфигурация, настройка и администрирование ПК на базе Windows, настройка периферийных устройств, оргтехники; - техническая поддержка пользователей; - администрирование средств защиты информации и средств криптографической защиты информации совместно с ведущим специалистом по защите информации; - помощь ведущему специалисту по защите информации в ведении документации. Требования: - среднее или высшее профессиональное образование (информационные технологии, информационная безопасность) - знание принципов, основ построения и обслуживания ЛВС; - знание и нормативно-методических документов в области защиты информации; - знание программных средств, используемых в целях обеспечения защиты информации (КриптоПро, Secret Net/Secret Net Studio, VipNet, антивирус Касперского); - знание порядка оформления технической документации по защите информации; Желательно: - опыт работы от 1 года; - практический опыт работы с СЗИ и СКЗИ; - опыт ведения/разработки нормативно-методической документации по защите информации. Условия: официальное трудоустройство по ТК РФ полный соц.пакет работа в центре города дружный молодой коллектив возможность карьерного роста"," - среднее или высшее профессиональное образование (информационные технологии, информационная безопасность) - знание принципов, основ построения и обслуживания ЛВС; - знание и нормативно-методических документов в области защиты информации; - знание программных средств, используемых в целях обеспечения защиты информации (КриптоПро, Secret Net/Secret Net Studio, VipNet, антивирус Касперского); - знание порядка оформления технической документации по защите информации; Желательно: - опыт работы от 1 года; - практический опыт работы с СЗИ и СКЗИ; - опыт ведения/разработки нормативно-методической документации по защите информации. "," -конфигурация, настройка и администрирование ПК на базе Windows, настройка периферийных устройств, оргтехники; - техническая поддержка пользователей; - администрирование средств защиты информации и средств криптографической защиты информации совместно с ведущим специалистом по защите информации; - помощь ведущему специалисту по защите информации в ведении документации. ", официальное трудоустройство по ТК РФ полный соц.пакет работа в центре города дружный молодой коллектив возможность карьерного роста,Без ключевых навыков,3
1046,1046,разработчик,Самара,19717.0,108000.0,Газпром межрегионгаз Самара,2019-10-11T16:31:16+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: Сопровождение нетиповой конфигурации 1С Предприятие; Взаимодействие с разработчиками конфигурации 1С Предприятие для исправления выявленных при работе ошибок релизов. Консультирование и поддержка пользователей по вопросам, возникающим при работе платформой 1С, MS Office. Техническая поддержка пользователей Требования: Высшее техническое образование (информационные технологии); Базовые знания программирования и конфигурирования в среде 1С Предприятие 8.3; Знание основ бухгалтерского учета, знание др. предметных областей (торговля, производство и т.д.); Коммуникабельность, обучаемость Условия: 5-ти дневная рабочая неделя, 8:00 — 17:00; •испытательный срок 3 месяца; •оформление в соответствии с ТК РФ; •заработная плата: оклад 19717 руб. и ежемесячная премия 55% от оклада при условии выполнения финансово-хозяйственных показателей"," Высшее техническое образование (информационные технологии); Базовые знания программирования и конфигурирования в среде 1С Предприятие 8.3; Знание основ бухгалтерского учета, знание др. предметных областей (торговля, производство и т.д.); Коммуникабельность, обучаемость "," Сопровождение нетиповой конфигурации 1С Предприятие; Взаимодействие с разработчиками конфигурации 1С Предприятие для исправления выявленных при работе ошибок релизов. Консультирование и поддержка пользователей по вопросам, возникающим при работе платформой 1С, MS Office. Техническая поддержка пользователей "," 5-ти дневная рабочая неделя, 8:00 — 17:00; •испытательный срок 3 месяца; •оформление в соответствии с ТК РФ; •заработная плата: оклад 19717 руб. и ежемесячная премия 55% от оклада при условии выполнения финансово-хозяйственных показателей",1С: Предприятие 8|1С программирование,10
581,581,разработчик,Челябинск,25000.0,60000.0,Метеор-ит,2019-10-20T14:03:55+0300,Нет опыта,Полный день,Полная занятость,"Привет! Наша компания занимается разработкой мобильных приложения для бизнеса на заказ, а также разработкой и продвижением своих собственных мобильных приложений. МетеорИТ – это команда дизайнеров и разработчиков, вместе мы стремимся постоянно улучшать наши компетенции в разработке приложений, находим интересные и перспективные проекты, создаем полезные приложения для компаний Челябинска и России, а также развиваем своё собственное мобильное приложение для больных сахарным диабетом DiaMeter, которое является одним из самых популярных приложений по контролю диабета в России Мы ищем себе в команду как iOS разработчиков, так и Android разработчиков, которые смогли бы взять на себя задачи по разработке новых и поддержке и модернизации уже существующих мобильных приложений Присутствует возможность как удаленной проектной работы со встречами в скайпе 2-3 раза в неделю для обсуждения задач, так и постоянной работы в офисе Если у вас есть желание расти и развиться в этой области, то присылайте нам на почту своё резюме с указанием опыта работы в сфере iOS-разработки ​ Обязанности: Доработка и поддержка существующих мобильных приложений для iOS/Android Тестирование Требования: Знание основных принципов ООП Опыт iOS разработки на Swift/Kotlin не менее полугода Технический английский Желательно: Опыт использования CocoaPods/Gradle Опыт работы с Realm и CoreData/MySQL Опыт реализации взаимодействия с сервером Опыт проектирования архитектуры приложения Примеры своих работ Условия работы: Есть два варианта работы: Проектная – фиксированная сумма за выполненную работу, постоянное присутствие в офисе не требуется Постоянная – ежемесячная оплата, необходимо присутствие в офисе Оплата договорная в зависимости от проекта/вашего уровня компетенций При подаче резюме отправьте сопроводительное письмо, где будет описаны: ваш опыт разработки; интересные вам сферы мобильной разработки; чему бы вы хотели научиться; ваш любимый динозавр; ссылки на примеры ваших работ (при наличии);",Без требований, Доработка и поддержка существующих мобильных приложений для iOS/Android Тестирование ,Без условий,Xcode|Objective-C|Swift|realm|Mac Os|iOS|Разработка ПО|Разработка мобильных приложений|MVC|Android|Kotlin|Java|Git,1
1018,1018,разработчик,Самара,25000.0,40000.0,777,2019-10-20T13:58:58+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности : подключение и настройка оборудования Поддержка и консультирование пользователей 1С. Работа с данными (поиск и исправление ошибок, обработка данных, участие в переносах и проверке данных). Создание пользовательских инструкций для разрабатываемых и поддерживаемых ИС Создание отчетов и обработок для оперативного получения/изменения информации в БД. Локализация, исправление ошибок в штатном функционале. Поддержка интеграционных механизмов со смежными системами. Требования: Практический опыт по самостоятельному поиску решения проблем пользователей при каждодневном использовании ими систем 1С. Умение читать чужой код Навык разработки приложений на платформе 1С не мене уровня написания логики обработок данных и формирования запросов для получения данных. Знание платформы 1С и опыт разработки под клиент-серверную архитектуру и управляемые формы Опыт работы и разработки на базе конфигурации 1С: Бухгалтерия Предприятия 3.0,1С Розница Работа по интеграции с другими учетными системами на платформе 1С. Условия: официальное трудоустройство; своевременная выплата заработной платы"," Практический опыт по самостоятельному поиску решения проблем пользователей при каждодневном использовании ими систем 1С. Умение читать чужой код Навык разработки приложений на платформе 1С не мене уровня написания логики обработок данных и формирования запросов для получения данных. Знание платформы 1С и опыт разработки под клиент-серверную архитектуру и управляемые формы Опыт работы и разработки на базе конфигурации 1С: Бухгалтерия Предприятия 3.0,1С Розница Работа по интеграции с другими учетными системами на платформе 1С. ",Без обязанностей, официальное трудоустройство; своевременная выплата заработной платы,1С: Комплексная автоматизация|1С: Торговля|Настройка сетевых подключений|Торговля|1С: Розница|1С программирование,1
1226,1226,разработчик,Самара,30000.0,55000.0,БАСС,2019-10-21T08:17:27+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Компания 13 лет разрабатывает web-сайты и приводит на них покупателей. Мы делаем не просто сайты, а билетные системы, интеграционные сервисы, различные стартапы. Отдельное направление деятельности - оказание электронных услуг населению в области медицины. Мы создали такие системы, как Электронная регистратура, Электронная очередь, Онлайн регистратура и др. В связи с расширением штата, компания ведет набор трудолюбивых, талантливых, желающих достигать целей разработчиков. Если ты готов делать мир лучше, в тебе кипит генератор необычных, нестандартных идей, то тебе к нам. Обязанности: Участие в проектировании и разработке web-проектов различной степени сложности. Развитие существующих проектов компании, создание новых модулей, интеграция со сторонними сервисами. Требования: Опыт разработки Web-приложений не менее 1 года ; ЗнаниеPHP, MySQL, JavaScript, HTML, CSS Знание ООП и понимание в его применении. Приветствуются навыки: Ajax, WebSocket, REST, SOAP; проектирование БД, знание SQL; опыт работы с какой-либо СУБД (MSSQL, Oracle, PostgreSQL) Способность генерировать. Условия: Заработная плата на руки, по результатам собеседования - от 30 000 до 55 000 рублей. График работы 5/2. Испытательный срок 3 месяца. Официальное оформление, отпуск, больничный, согласно Трудового Кодекса РФ. Оформление полиса ДМС (добровольное медицинское страхование), корпоративные мероприятия с выездами на природу за счёт работодателя. Команда профессионалов, готовых поддержать твои инициативы. Возможность работы с новыми технологиями. Гарантированный рост заработной платы при условии повышения профессионального уровня. Обучение. Если тебе хочется большего, всегда есть возможности самореализации. Стильный чистый офис в тихом районе города, с хорошей транспортной развязкой (утром и вечером добираться против пробок). Современная техника, дополнительные мониторы и всё что нужно для продуктивной работы. Изолированное помещение с кондиционером и видом на сквер. Уголок релакса с мягким диваном и шезлонг качалкой, массажное кресло, кофемашина."," Опыт разработки Web-приложений не менее 1 года ; ЗнаниеPHP, MySQL, JavaScript, HTML, CSS Знание ООП и понимание в его применении. Приветствуются навыки: Ajax, WebSocket, REST, SOAP; проектирование БД, знание SQL; опыт работы с какой-либо СУБД (MSSQL, Oracle, PostgreSQL) Способность генерировать. "," Участие в проектировании и разработке web-проектов различной степени сложности. Развитие существующих проектов компании, создание новых модулей, интеграция со сторонними сервисами. "," Заработная плата на руки, по результатам собеседования - от 30 000 до 55 000 рублей. График работы 5/2. Испытательный срок 3 месяца. Официальное оформление, отпуск, больничный, согласно Трудового Кодекса РФ. Оформление полиса ДМС (добровольное медицинское страхование), корпоративные мероприятия с выездами на природу за счёт работодателя. Команда профессионалов, готовых поддержать твои инициативы. Возможность работы с новыми технологиями. Гарантированный рост заработной платы при условии повышения профессионального уровня. Обучение. Если тебе хочется большего, всегда есть возможности самореализации. Стильный чистый офис в тихом районе города, с хорошей транспортной развязкой (утром и вечером добираться против пробок). Современная техника, дополнительные мониторы и всё что нужно для продуктивной работы. Изолированное помещение с кондиционером и видом на сквер. Уголок релакса с мягким диваном и шезлонг качалкой, массажное кресло, кофемашина.",Без ключевых навыков,0
362,362,разработчик,Краснодар,30000.0,50000.0,ПЛАЦКАРТ,2019-10-07T14:29:25+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: разрабатывать с нуля клиентские сайты и внутренние проекты компании; стек: php7, laravel, mongodb. Требования: опыт работы с laravel (или zend, yii, symfony); опыт работы c реляционными БД (mysql, postgres); опыт работы с mongodb будет плюсом; желание работать в команде; опыт работы с git или другими системами контроля версий; базовые знания html; базовые знания javascript; знания unix-like систем на уровне настройки окружения для разработки будет плюсом; верстать не нужно! Условия: хороший коллектив; кофе; вкусняшки."," опыт работы с laravel (или zend, yii, symfony); опыт работы c реляционными БД (mysql, postgres); опыт работы с mongodb будет плюсом; желание работать в команде; опыт работы с git или другими системами контроля версий; базовые знания html; базовые знания javascript; знания unix-like систем на уровне настройки окружения для разработки будет плюсом; верстать не нужно! "," разрабатывать с нуля клиентские сайты и внутренние проекты компании; стек: php7, laravel, mongodb. ", хороший коллектив; кофе; вкусняшки.,laravel|JavaScript|MySQL|PostgreSQL|PHP|HTML,14
849,849,разработчик,Екатеринбург,30000.0,36000.0,ГАЗЭКС,2019-10-18T15:36:02+0300,Нет опыта,Полный день,Полная занятость,"Обязанности: разработка и поддержка и корпоративной информационной системы; документирование, разработка инструкций; поддержка пользователей организации (обучение, инструктирование); разработка отчетов; разработка ПО в составе коллектива разработчиков программного обеспечения. Требования: высшее образование; возможен прием без опыта работы; приветствуются навыки работы с АСУТП и телеметрией; желательно знание TSQL и одного из языков ООП. Условия: трудоустройство согласно ТК РФ; пятидневная рабочая неделя с 9.00. до 18.00, выходные суббота и воскресенье; офис в районе Южного Автовокзала; официальная заработная плата 2 раза в месяц.", высшее образование; возможен прием без опыта работы; приветствуются навыки работы с АСУТП и телеметрией; желательно знание TSQL и одного из языков ООП. ," разработка и поддержка и корпоративной информационной системы; документирование, разработка инструкций; поддержка пользователей организации (обучение, инструктирование); разработка отчетов; разработка ПО в составе коллектива разработчиков программного обеспечения. "," трудоустройство согласно ТК РФ; пятидневная рабочая неделя с 9.00. до 18.00, выходные суббота и воскресенье; офис в районе Южного Автовокзала; официальная заработная плата 2 раза в месяц.",ООП|Грамотная речь|Разработка инструкций|Автоматизация документооборота|MS PowerPoint,3
596,596,разработчик,Челябинск,30000.0,90730.76923076923,Копейский машзавод,2019-10-07T06:22:34+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: Разработка, внедрение и сопровождение программно-технических комплексов АСУ ТП горно-шахтной отрасли. Разработка прикладного ПО и эксплуатационной документации АСУ ТП. Стендовые испытания ПТК на предприятии. Участие в испытаниях ПТК на объектах заказчика. Шефмонтажные, пусконаладочные работы ПТК. Требования: Образование высшее техническое, опыт работы в области промышленной автоматизации. Знание офисных программ, SolidWorks, КОМПАС. Наличие опыта разработки, наладки и запуска ПО систем автоматизации. Опыт работы с ПЛК (Schneider, Wago, Siemens). Знание промышленных шин, протоколов, интерфейсов. Условия: Интересная работа на крупном, современном, развивающемся промышленном предприятии. Стабильная заработная плата. Официальное трудоустройство. Полный соцпакет. Возможность повышения квалификации. Возможность карьерного роста. Пятидневный режим работы."," Образование высшее техническое, опыт работы в области промышленной автоматизации. Знание офисных программ, SolidWorks, КОМПАС. Наличие опыта разработки, наладки и запуска ПО систем автоматизации. Опыт работы с ПЛК (Schneider, Wago, Siemens). Знание промышленных шин, протоколов, интерфейсов. "," Разработка, внедрение и сопровождение программно-технических комплексов АСУ ТП горно-шахтной отрасли. Разработка прикладного ПО и эксплуатационной документации АСУ ТП. Стендовые испытания ПТК на предприятии. Участие в испытаниях ПТК на объектах заказчика. Шефмонтажные, пусконаладочные работы ПТК. "," Интересная работа на крупном, современном, развивающемся промышленном предприятии. Стабильная заработная плата. Официальное трудоустройство. Полный соцпакет. Возможность повышения квалификации. Возможность карьерного роста. Пятидневный режим работы.",SolidWorks|Компас|АСУ ТП|Автоматизация производства,14
699,699,разработчик,Челябинск,30000.0,90730.76923076923,СКБ Турбина,2019-09-27T09:32:51+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Требования: Разработка приложений на языке Pascal в среде Delphi; Разработка приложений с использованием СУБД MS SQL. Условия: Пятидневная рабочая неделя; Официальное трудоустройство согласно ТК РФ; Оборудованное рабочее место; Возможность развития в рамках предприятия (семинары, выставки, ведение проектов); Дотация на питание в корпоративной столовой; Расширенный социальный пакет (действующие жилищные программы предоставляющие дотацию на найм жилья и погашение процентов при ипотеке); Уровень заработной платы зависит от действующей категории и вклада в развитие предприятия.", Разработка приложений на языке Pascal в среде Delphi; Разработка приложений с использованием СУБД MS SQL. ,Без обязанностей," Пятидневная рабочая неделя; Официальное трудоустройство согласно ТК РФ; Оборудованное рабочее место; Возможность развития в рамках предприятия (семинары, выставки, ведение проектов); Дотация на питание в корпоративной столовой; Расширенный социальный пакет (действующие жилищные программы предоставляющие дотацию на найм жилья и погашение процентов при ипотеке); Уровень заработной платы зависит от действующей категории и вклада в развитие предприятия.",Без ключевых навыков,24
