,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills,days,"(12995.0, 43440.0]","(43440.0, 73885.0]","(73885.0, 104330.0]","(104330.0, 134775.0]","(134775.0, 165220.0]","(165220.0, 195665.0]","(195665.0, 226110.0]","(226110.0, 256555.0]","(256555.0, 287000.0]","(18500.0, 61555.556]","(61555.556, 104611.111]","(104611.111, 147666.667]","(147666.667, 190722.222]","(190722.222, 233777.778]","(233777.778, 276833.333]","(276833.333, 319888.889]","(319888.889, 362944.444]","(362944.444, 406000.0]",Екатеринбург,Краснодар,Новосибирск,Самара,Челябинск,Более 6 лет,Нет опыта,От 1 года до 3 лет,От 3 до 6 лет,Вахтовый метод,Гибкий график,Полный день,Сменный график,Удаленная работа,Полная занятость,Проектная работа,Стажировка,Частичная занятость,Без ключевых навыков,C#,Git,TFS,Другое
400,400,.net,Краснодар,40000.0,80000.0,DANYCOM,2019-10-21T14:53:26+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Наши преимущества: Своя техническая книжная библиотека. Используем Linux в production. Используем только .NET Core, кроссплатформенные приложения. Используем последние библиотеки и фреймворки (.NET Core 2/3, C# 8.0, VS2019 + Resharper). Используем современные методологии и подходы SAO, DDD, MicroServices, Design By Contract, SOLID, KISS, DRY. Используем процесс CI/CD с юнит-, интеграционными-, приемочными-тестами. Используем в работе Agile, SCRUM. Работаем в gitlab, процесс по gitflow. Проводим Code Review. Обязанности: Участие в разработка технических дизайнов (модель данных, бизнес-объекты, интерфейс). Разработка модулей системы в соответствии с техническими спецификациями. Устранение ошибок в программном обеспечении. Разработка и выполнение модульных тестов (unit test). Требования: Опыт разработки на платформе .NET не менее 3 лет. Знание ASP.NET MVC/Web API, ASP.NET Core/Web API. Понимание и применение на практике различных шаблонов проектирования. Умение работать с git. Знание работы с БД, SQL. Условия: Работа в федеральной компании. Работа в центральном офисе в центре города. Официальное оформление согласно ТК РФ в штат компании. Полностью официальная заработная плата. Испытательный срок. Возможность развития, интересные задачи. Возможность участия в крупных ИТ-конференциях. Возможности для профессионального и карьерного роста. Корпоративные праздники, тимбилдинги. Подарки детям сотрудников на Новый год."," Опыт разработки на платформе .NET не менее 3 лет. Знание ASP.NET MVC/Web API, ASP.NET Core/Web API. Понимание и применение на практике различных шаблонов проектирования. Умение работать с git. Знание работы с БД, SQL. "," Участие в разработка технических дизайнов (модель данных, бизнес-объекты, интерфейс). Разработка модулей системы в соответствии с техническими спецификациями. Устранение ошибок в программном обеспечении. Разработка и выполнение модульных тестов (unit test). "," Работа в федеральной компании. Работа в центральном офисе в центре города. Официальное оформление согласно ТК РФ в штат компании. Полностью официальная заработная плата. Испытательный срок. Возможность развития, интересные задачи. Возможность участия в крупных ИТ-конференциях. Возможности для профессионального и карьерного роста. Корпоративные праздники, тимбилдинги. Подарки детям сотрудников на Новый год.",Git|TFS|ASP.NET MVC|SQL|Unit Testing,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
1181,1181,.net,Самара,40000.0,160000.0,5EVEN,2019-10-11T11:55:43+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Мы тут в своем Файв ивене ищем начинающего разработчика ASP.NET Core MVC. По результатам успешного собеседования предложим должность подходящую по уровню подготовки и перспективе роста. Клиенты большие, задачи интересные. Если все звезды сойдутся, то будет возможность работать часть времени удаленно. Мы располагаемся в Самаре, в Скале Холл на Московском шоссе. Официально трудоустраиваем, платим рублями вовремя. Из плюшек неограниченный доступ к питьевой воде, интернету, виду из окна, вот это всё. Наверное, ты уже в не себя от мысли о бесконечной воде, но еще, возможно, скоро в офисе появится второй диван и ковер(уже вот-вот). Будем рады пополнению нашей команды! Что мы ожидаем: Знание C#, ASP.NET Core MVC Понимание принципов работы БД и роли ORM Опыт использования Git в команде Понимание принципов веб-разработки и веб-стандартов Возможность показать что уже было тобой наделано ранее Ответственность или суперответственность Что предстоит делать: Разрабатывать бэкенд .NET-приложений голыми руками (возможно не только своими) Покрывать своей код unit-тестами Взаимодействовать с фронт-командой и с клиентом для выбора оптимальных решений И возможно еще разные шутки, которые будут понятны после собеседования Что мы предлагаем: Официальное трудоустройство Возможность работать часть времени удаленно Гибкий график Комфортное рабочее место в районе Золотого яблока",Без требований,Без обязанностей,Без условий,Git|MVC|C#|Unit Testing|ASP.NET,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0
100,100,.net,Новосибирск,40000.0,80000.0,Восток-Сервис-Кузбасс,2019-10-19T07:28:56+0300,Нет опыта,Полный день,Полная занятость,"В Новосибирский филиал ООО &quot;Восток-Сервис-Кузбасс&quot; требуется разработчик .NET/С# для работы с веб-проектами. В связи с расширением штата и объема работы, готовы рассмотреть разработчиков, не имеющих опыт. Требования: первоначальные знания C#, ASP.NET MVC, SQL и большое желание учиться и развиваться как .NET разработчик первоначальные знания и практический опыт работы с JavaScript, AJAX, jQuery желание обучаться и развиваться умение работать в команде Мы предлагаем: официальное трудоустройство и соц. пакет; возможность развития и карьерного роста; внеочередной оплачиваемый отпуск на время сессии (если Вы учитесь); комфортный офис в центре города и дружный коллектив удаленная работа исключена. Резюме отправлять на электронный адрес, в теме письма указывать &quot;Разработчик .NET/С#&quot;.",Без требований,Без обязанностей,Без условий,C#|JavaScript|ASP.NET|MVC|jQuery|SQL,0.06666666666666668,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
215,215,.net,Новосибирск,41400.0,59400.0,"ЖИЛФОНД, агентство недвижимости",2019-09-24T05:18:39+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Агентство недвижимости «Жилфонд» — это одно из крупнейших агентств недвижимости России, созданное в 1997 году. ОБЛАДАТЕЛЬ ПРЕСТИЖНЫХ ПРОФЕССИОНАЛЬНЫХ НАГРАД &quot;Самое надёжное агентство недвижимости&quot; - Ключевая премия 2018 от N1.RU В нашу команду требуется web-программист , который готов участвовать в создании лучших систем поиска услуг и недвижимости. В должностные обязанности программиста входит: разработка проектов на языке программирования С#/Delphi; создание и оптимизация запросов SQL/T-SQL (хранимых процедур, триггеров, функций, представлений); участие в разработке архитектуры данных и структур баз данных; администрирование баз данных; анализ производительности баз данных‚ оптимизация и ускорение обработки запросов; техническая поддержка пользователей. Требования: ответственность; организованность; умение планировать время выполнения задачи; способность доводить исполнение задачи до конца; обучаемость и умения быстро адаптироваться на новом месте; высшее образование. Предлагаем Вам: Официальное трудоустройство с полным соцпакетом и «белой» оплатой труда. Ваш предельный размер заработной платы будет зависеть объема выполненной работы. Огромный спектр разноплановых и интересных задач (у нас вам точно не будет скучно!). Оборудованное рабочее место в центре города недалеко от Метро. Возможность получения уникального опыта и повышения квалификации. Отличный коллектив и грамотное руководство. Совместные корпоративные мероприятия. Гибкий график.",Без требований,Без обязанностей,Без условий,Без ключевых навыков,0.9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
625,625,.net,Челябинск,50000.0,90000.0,ПРОМАТИС,2019-10-21T10:00:44+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Компания ПРОМАТИС увеличивает объем предоставляемых услуг в области автоматизации промышленных предприятий и производств и , в связи с этим, примет в свою команду увлеченного инженера-программиста/ разработчика. Мы предлагаем интересные задачи, сплоченный коллектив, комфортабельные условия, офис в центре города. Дополнительные бонусы по результатам работ. Обязанности : Разработка ПО для автоматизации промышленных предприятий В работе вам потребуется: Уверенные знания С#; NetFramework и SQL; Практический опыт коммерческой разработки; Знание шаблонов проектирования. Помимо этого, несомненным плюсом будут: - Опыт работы c NHibernate, WCF, MS SQL, Oracle. Требования: Высшее образование Опыт работы в качестве разработчика на C# от 1 года. Условия: полный рабочий день; график работы 5/2; оформление согласно ТК РФ; дружный, сплоченный коллектив; адекватное руководство; интересные задачи; уровень зарплаты: индивидуально, в соответствии с уровнем квалификации; отдельная оснащенная кухонная зона;", Высшее образование Опыт работы в качестве разработчика на C# от 1 года. ,Без обязанностей," полный рабочий день; график работы 5/2; оформление согласно ТК РФ; дружный, сплоченный коллектив; адекватное руководство; интересные задачи; уровень зарплаты: индивидуально, в соответствии с уровнем квалификации; отдельная оснащенная кухонная зона;",C#|MS SQL|WCF|.NET Framework,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
220,220,.net,Новосибирск,50000.0,110000.0,Ледас,2019-10-03T11:25:14+0300,От 1 года до 3 лет,Гибкий график,Полная занятость,"Компания ЛЕДАС хорошо известна на международном рынке как ведущий разработчик САПР и инженерного ПО. Мы занимаемся наукоёмким программированием, разрабатываем продвинутые алгоритмы и уникальные приложения. География наших партнёров обширна, как обширна и область наших интересов. Нам нужен Программист на языке C# в команду, разрабатывающую приложение, помогающее выполнять обработку деталей на лазерных станках. В приложении реализуются алгоритмы для самых разных направлений лазерной обработки: лазерная сварка, резка, 3D печать из металлического порошка, гравировка - по обычной фотографии выжигается текстура на металлической поверхности и многое другое. Пользователю достаточно загрузить 3D модель обрабатываемой детали и задать способ обработки, расчёт необходимых действий станка, создание управляющей программы и общение с контроллером станка выполняется автоматически. Мы готовы рассмотреть кандидатов любого уровня: от студентов до самых опытных разработчиков, неизменным и необходимым условием будет хорошая математическая подготовка. GUI, бизнес-логика: C#, WPF, MVVM, WCF. Вычислительные алгоритмы: C#/C++. Взаимодействие с контроллерами станков: индивидуально для каждого типа контроллеров. Требования Высшее техническое образование или обучение на последних курсах Знание C#. Понимание и применение принципов ООП. Хорошее знание и понимание математики: аналитической геометрии, алгоритмов на графах, численных методов, мат. анализа. Плюсом будет Знание следующих вспомогательных и/или используемых в других наших проектах технологий: MS Visual Studio / GCC / CMake Svn / Git / JIRA / Phabricator / Jenkins / TeamCity / Nunit / TestComplete / TestLink C / C++ / Python / JavaScript / TypeScript OpenGL / DirectX / WebGL / three.js Qt Опыт программирования микроконтроллеров / станков с ЧПУ / CNC. Будет не лишним Знание английского языка. Опыт работы с CAD-приложениями. Условия Офис в Академгородке. Официальное трудоустройство согласно ТК РФ, белая зарплата, оплачиваемые больничные и отпуск. Полная (предпочтительно) или частичная занятость, гибкий график, возможность удаленной работы. Частичная компенсация затрат на спорт и изучение английского языка. Бонусы, кофе-чай-конфеты-бутерброды-фрукты. Молодой дружный коллектив, играем в настольный теннис, знаем про Scrum/Agile и всё остальное, каждый пятый сотрудник - кандидат наук.",Без требований,Без обязанностей,Без условий,C#,0.6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
275,275,.net,Краснодар,50000.0,70000.0,Клиника Екатерининская,2019-10-10T05:35:53+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: Разработка web ПО .Net (C#), с применением технологий ASP.NET WebForms, ASP.NET MVC, ASP.NET WebApi Требования: Опыт разработки не менее 2х лет. Умение работать в команде Базовое знание SQL Условия: 5-ти дневная рабочая неделя Оформление согласно ТК РФ", Опыт разработки не менее 2х лет. Умение работать в команде Базовое знание SQL ," Разработка web ПО .Net (C#), с применением технологий ASP.NET WebForms, ASP.NET MVC, ASP.NET WebApi ", 5-ти дневная рабочая неделя Оформление согласно ТК РФ,C#|.NET Framework|MS Visual Studio|SQL|MS SQL|Visual Studio C#|MS SQL Server|ASP.NET,0.36666666666666653,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
423,423,.net,Краснодар,50000.0,115000.0,Russian Robotics,2019-10-16T10:24:44+0300,Нет опыта,Полный день,Полная занятость,"Приглашаем в профессиональную команду разработчиков Russian Robotics . Мы разрабатываем и поддерживаем корпоративные решения для государства и бизнеса. Сейчас, в связи с появлением новых проектов, расширяем штат разработчиков. Наш офис находится в прибрежной зоне р. Кубань, на территории жилого комплекса &quot;Адмирал&quot; (прямой выход в парк 40-летия победы). Что мы предлагаем: Разработка продукта с применением гибких методологий Интересные задачи, требующие творческого подхода Разнообразие предметной области Стабильный доход Оформление согласно ТК РФ Полная занятость с гибким графиком Пн-Пт, 9:00-18:00 (или 8:00-17:00, 10:00-19:00) Просторный офис на набережной Чем предстоит заниматься: Участвовать в разработке и проектировании новых решений Поддерживать, улучшать качество и модернизировать существующие решения Разрабатывать веб-сервисы (REST/SOAP) Интегрировать системы с различными сервисами Проектировать и реализовывать логику в различных предметных областях Работать в отличном коллективе Требования: Обязательное знание языка C# и серверной технологии ASP.NET MVC Знание и практический опыт работы с HTML/JavaScript и любым frontend фреймворком Опыт разработки web-приложений Знание языка SQL и что такое ORM",Без требований,Без обязанностей,Без условий,JavaScript|ASP.NET|C#|MVC|HTML,0.16666666666666666,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
878,878,.net,Екатеринбург,55000.0,65000.0,"Яблоко, торговая сеть",2019-10-18T08:24:41+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Крупная торговая компания г. Екатеринбурга (в составе сеть продуктовых супермаркетов &quot;Яблоко&quot; и оптовая дистрибуция) в связи с расширением, приглашает на постоянную работу программиста. Обязанности: Сопровождение текущего ПО Разработка нового ПО Поддержка пользователей. Требования: Профильное высшее образование. Опыт работы с подобными задачами от 3 лет. Понимание ООП, осознание проблем многопоточного программирования, опыт командной разработки. Понимание чужого кода. Знание MS SQL, C# (Win Forms) Готовность к разработке архитектуры и кодированию сложной бизнес-логики. Умение работать самостоятельно. Условия: Работа в Центральном офисе: ул. Белинского, Сплоченный ИТ-отдел из 10 человек График работы: с 9.30 до 18.00 Заработная плата: 55 000 рублей (на испытательный срок), после 65 000 рублей. Рассматриваются ожидания кандидатов. Стабильность и уверенность в завтрашнем дне Официальное трудоустройство по ТК РФ и соц.пакет Вкусные обеды в корпоративной столовой Комфортный офис Профессиональный рост в рамках компании, интересные и новые задачи."," Профильное высшее образование. Опыт работы с подобными задачами от 3 лет. Понимание ООП, осознание проблем многопоточного программирования, опыт командной разработки. Понимание чужого кода. Знание MS SQL, C# (Win Forms) Готовность к разработке архитектуры и кодированию сложной бизнес-логики. Умение работать самостоятельно. ", Сопровождение текущего ПО Разработка нового ПО Поддержка пользователей. ," Работа в Центральном офисе: ул. Белинского, Сплоченный ИТ-отдел из 10 человек График работы: с 9.30 до 18.00 Заработная плата: 55 000 рублей (на испытательный срок), после 65 000 рублей. Рассматриваются ожидания кандидатов. Стабильность и уверенность в завтрашнем дне Официальное трудоустройство по ТК РФ и соц.пакет Вкусные обеды в корпоративной столовой Комфортный офис Профессиональный рост в рамках компании, интересные и новые задачи.",Без ключевых навыков,0.1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
545,545,.net,Челябинск,60000.0,120000.0,Byndyusoft,2019-10-02T13:56:29+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Welcome to Byndyusoft! Мы за открытое и прозрачное общение без иерархии и формализма Мы развиваем сотрудников и адаптируем новичков в компании, будьте проще Мы работаем на бизнес-результат, делая процесс максимально душевным и комфортным Приходите к нам писать код У нас вы будете разрабатывать IT-продукты на .NET Core в команде с использованием методологии Agile Мы будем рады, если вы: знаете внутреннее устройство .NET Framework создавали Web-приложения и API грамотно применяете шаблоны и принципы проектирования используете модульное тестирование и Refactoring в повседневной работе работали по Scrum или Kanban готовы показать навыки в небольшом тестовом задании Мы готовы вам предложить: официальное трудоустройство согласно ТК РФ большой офис в центре города со всем необходимым свободное время прихода и ухода из офиса возможно работать удалённо офис в Санкт-Петербурге в 2020 году внутрикорпоративные тренинги по технологиям и практикам разработки покупку книг для профессионального и саморазвития посещение профильных конференций за счёт компании корпоративы по вашей инициативе за счет компании подарки на Новый Год вашим детям материальную помощь в сложных жизненных ситуациях и при рождении детей Good luck!",Без требований,Без обязанностей,Без условий,.NET Framework|ASP.NET|Git|C#|MVC|Transact-SQL,0.6333333333333333,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0
