,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills,days,"(12995.0, 43440.0]","(43440.0, 73885.0]","(73885.0, 104330.0]","(104330.0, 134775.0]","(134775.0, 165220.0]","(165220.0, 195665.0]","(195665.0, 226110.0]","(226110.0, 256555.0]","(256555.0, 287000.0]","(18500.0, 61555.556]","(61555.556, 104611.111]","(104611.111, 147666.667]","(147666.667, 190722.222]","(190722.222, 233777.778]","(233777.778, 276833.333]","(276833.333, 319888.889]","(319888.889, 362944.444]","(362944.444, 406000.0]",Екатеринбург,Краснодар,Новосибирск,Самара,Челябинск,Более 6 лет,Нет опыта,От 1 года до 3 лет,От 3 до 6 лет,Вахтовый метод,Гибкий график,Полный день,Сменный график,Удаленная работа,Полная занятость,Проектная работа,Стажировка,Частичная занятость,Без ключевых навыков,Android,Android SDK,Java,Kotlin,ООП,Другое
668,668,android,Челябинск,25000.0,40000.0,СофтПлюс,2019-10-20T00:02:13+0300,Нет опыта,Полный день,Полная занятость,"Требования – Крепкие знания основ Java и Android; – Опыт работы с с Activity и Service; – Работа в офисе в Челябинске: удалёнки на постоянной основе нет, иногда можно поработать из дома. С нами вы освоите – Retrofit; – GSON; – Picasso; – Stetho; – Mockito; – JUnit; – Espresso; – Farebase; – Swift, по желанию; – применять на практике принципы SOLID и MVP. Учиться предстоит, в основном, самостоятельно, при поддержке опытной команды и с возможностью получать консультации у лучших экспертов Челябинска. Задачи службы Разработка мобильных приложений для проектов zaycev.net, zaycev.fm, mp3.ru, mursic.ru на платформах Android и iOS, включая AndroidTV, Wear OS. В будущем - AppleTV, Android Auto, CarPlay. Условия – Офис открыт с 08.00 до 22.00, выберите своё время работы самостоятельно. – С вас - качество работ, с нас - информация и оборудование по запросу. – Оплачиваем образование: курсы и профильные конференции. – Работаем без жестких дедлайнов и KPI. – Есть возможность договориться о зарплате выше чем у обычного Junior, учитывая ваш опыт.",Без требований,Без обязанностей,Без условий,Java|Android,0.03333333333333333,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
543,543,android,Челябинск,35000.0,100000.0,Рэд,2019-09-30T14:04:32+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Мы - команда мобильной разработки &quot;The Red One&quot; . Нашей Компании более 10 лет. Мы начинали с разработки вебсайтов и после появления iOS/Android смартфонов переключились на разработку под эти платформы. Мы делаем приложения на заказ и реализовываем свои собственные проекты. Сейчас мы расширяемся и набираем Android-разработчиков. Если ваш уровень Junior - то ожидаем от вас базового понимания программирования, представления о SOLID, паттернах проектирования и технологиях разработки (контроль версий, управление зависимостями, методологии), основы интерфейса и верстки, готовности быстро обучаться и расти на реальных задачах под руководством старших коллег. Для этого уровня предлагается работа в офисе, т.к. вас будут курировать и обучать Senior разработчики. Если ваш уровень Middle - то хотим услышать от вас про опыт реализации коммерческих проектов и используемые технологии. Если ваш уровень Senior, то мы готовы обсуждать ваши рабочие и финансовые условия индивидуально. Обязанности: Разработка нативных мобильных приложений под Android Требования: Опыт разработки на Java для Android Знание Android SDK, понимание архитектуры Android Владение Android Studio, Gradle Опыт работы с AppCompat или AndroidX; Понимание принципов SOLID Знание работы клиент-серверных приложений (REST, JSON) Большим плюсом будет: Git, RxJava, Retrofit, Architecture Components, Data binding, MVVM, MVP, Clean Architecture, Firebase, Unit Testing, Kotlin, SQL Условия: Комфортное рабочее место в iT-коворкинге Нестрогий график работы Опытная команда"," Опыт разработки на Java для Android Знание Android SDK, понимание архитектуры Android Владение Android Studio, Gradle Опыт работы с AppCompat или AndroidX; Понимание принципов SOLID Знание работы клиент-серверных приложений (REST, JSON) Большим плюсом будет: Git, RxJava, Retrofit, Architecture Components, Data binding, MVVM, MVP, Clean Architecture, Firebase, Unit Testing, Kotlin, SQL ", Разработка нативных мобильных приложений под Android , Комфортное рабочее место в iT-коворкинге Нестрогий график работы Опытная команда,Android SDK|Android|Java|Kotlin|ООП,0.7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0
1247,1247,android,Самара,50000.0,70000.0,NEW TECHNOLOGIES LP,2019-10-17T16:47:07+0300,От 1 года до 3 лет,Полный день,Полная занятость,"ИТ-компания New Technologies обустраивает штаб квартиру в Самаре. Мы разрабатываем сервис знакомств, в котором пользователю будет удобно и приятно искать новых друзей или свою половинку. Мы ищем Android разработчика, способного брать на себя ответственность, принимать взвешенные решения, активно участвовать в проекте. Обязанности: Разработка мобильных приложений под Android на языке Java Написание технической документации Участие в обсуждениях по архитектуре и usability Требования: Опыт разработки мобильных приложений под Android Знание принципов ООП и шаблонов проектирования Знание английского языка Умение внятно выражать свои мысли устно и письменно. Умение адекватно оценивать сроки на реализацию той или иной задачи. Умения принимать самостоятельные решения. Умение разбираться в чужом коде, наличие навыков документирования кода и рефакторинга. Условия: Справедливая зарплата без задержек (два раза в месяц) по результатам собеседования и вашей квалификации. Работа в комфортном офисе с современной техникой и отличным видом на город в минуте ходьбы от транспортной развязки «Поляна им. Фрунзе». Оформление по договору гражданско-правового характера Преимуществом будет: Знание Kotlin. Смежные профессиональные навыки. Релевантный опыт работы в ИТ-компаниях. Высокая коммуникативность."," Опыт разработки мобильных приложений под Android Знание принципов ООП и шаблонов проектирования Знание английского языка Умение внятно выражать свои мысли устно и письменно. Умение адекватно оценивать сроки на реализацию той или иной задачи. Умения принимать самостоятельные решения. Умение разбираться в чужом коде, наличие навыков документирования кода и рефакторинга. ", Разработка мобильных приложений под Android на языке Java Написание технической документации Участие в обсуждениях по архитектуре и usability , Справедливая зарплата без задержек (два раза в месяц) по результатам собеседования и вашей квалификации. Работа в комфортном офисе с современной техникой и отличным видом на город в минуте ходьбы от транспортной развязки «Поляна им. Фрунзе». Оформление по договору гражданско-правового характера Преимуществом будет: Знание Kotlin. Смежные профессиональные навыки. Релевантный опыт работы в ИТ-компаниях. Высокая коммуникативность.,Java|Android|ООП|Android SDK|Английский язык|Design Patterns,0.13333333333333333,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0
616,616,android,Челябинск,53333.33333333334,70000.0,ЦИАН ГРУПП,2019-10-21T10:03:37+0300,От 3 до 6 лет,Удаленная работа,Полная занятость,"ЦИАН – лидирующий на рынке маркетплейс по недвижимости России (по данным LiveInternet за январь 2018 года). Мы помогаем найти жилье более чем 11 миллионам посетителей ежемесячно. ЦИАН пятый год подряд входит в двадцатку самых дорогих компаний Рунета по версии журнала Forbes. Мы каждый день работаем над тем, чтобы наш сервис был полезен, удобен и надежен для любого сегмента наших пользователей. Поэтому мы ищем амбициозных людей, кто сможет предложить свои идеи и захочет воплотить в жизнь уже существующие. Что нужно делать: Разрабатывать новый функционал мобильного приложение под Android и исправлять существующие недостатки Писать качественный, чистый, читаемый код Взаимодействовать с менеджерами, дизайнерами, бекендерами, тестировщиками Участвовать в обсуждении требований и планировании проектов Участвовать в проектировании дизайна, прототипов, спецификаций Участвовать в проектировании REST API Отделять легаси от котлет Что нужно знать: Android SDK, Android Support Libraries, Firebase Паттерны построения мобильного UI/UX, принципы Material Design Паттерны проектирования, ООП, SOLID принципы, понимание функционального реактивного кода Java, Kotlin MVP, Dagger, RxJava, Moxy, Realm Знание архитектуры OS Android и особенностей его версий Владение техническим английским языком на уровне чтения и понимания Знание принципов работы REST API и HTTP Что нужно уметь: Проектировать архитектуру приложений Проводить code review Оценивать сроки реализации задач и выдерживать их Проектировать клиент-серверное взаимодействие Разбираться в чужом коде и проводить его рефакторинг Работа в ЦИАН - это: Удаленная работа, оформление по ТК 5 day off в год Профессиональный рост (ЛПР, оплачиваемое обучение, посещение конференций, корпоративная библиотека) Мы любим веселиться (2 больших корпоратива в год + квартальные вечеринки в офисе)",Без требований,Без обязанностей,Без условий,Java|REST|Android SDK|Android|Kotlin|RxJava,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0
509,509,android,Челябинск,53333.33333333334,70000.0,Napoleon IT,2019-10-08T08:56:45+0300,От 1 года до 3 лет,Удаленная работа,Полная занятость,"Компания Napoleon IT ― разработчик программного обеспечения. Мы предлагаем готовые решения, а также осуществляем разработку по гибкой методологии. Наши решения в области бизнес-аналитики, предиктивной аналитики, компьютерного зрения, высоконагруженных систем и мобильной разработки дают конкурентное преимущество и гарантируют устойчивое развитие бизнеса клиентов. У нас много интересных задач, дружеская атмосфера и отличные условия! Тебе предстоит : Проводить декомпозицию задач; Писать качественный, промышленный код; Проектировать программный дизайн приложений; Взаимодействовать с менеджером проектов, аналитиками, дизайнерами и тестировщиками; Писать unit-тесты. Что мы ждем от тебя : Знание Java и Kotlin; Понимание архитектуры Android, особенностей и сложностей SDK; Понимание жизненного цикла приложения; Понимание принципов работы клиент-серверных приложений (REST, кэширование, очереди запросов); Понимание принципов многопоточности; Опыт работы с JSON, AsyncTask, Google Cloud Messages, Push notification; Опыт работы с базами данных (SQLite); Опыт работы с gradle; Базовые знания систем контроля версий git; Уметь писать поддерживаемый и читабельный код, знать паттерны проектирования. Будет плюсом - наличие реализованных приложений в Google Play. Мы предлагаем: Работу в отличной команде — наши менеджеры, дизайнеры и разработчики по-настоящему влюблены в свое дело; Бесплатные профессиональные курсы, доступные всем сотрудникам офиса; 100% компенсацию приобретения профессиональной литературы; Официальное трудоустройство, гибкий режим рабочего времени. Рассматриваем вариант удаленного сотрудничества в формате full time.",Без требований,Без обязанностей,Без условий,Android|Java|Android SDK,0.43333333333333335,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0
189,189,android,Новосибирск,55000.0,70000.0,ЭМА,2019-10-21T05:36:20+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: участие в проектах в роли разработчика мобильных приложений для Android для электроэнергетики. Требования: Уверенное знание Java, Kotlin, Android SDK, JSON, REST Api Знание и умение применять паттерны проектирования Иметь базовые знания о дизайне пользовательского интерфейса Несомненным плюсом будет знание платформы iOS, для портирования приложений Требуемый опыт работы: Middle Android Developer Приветствуется: опыт работы с системами контроля версий Mercurial, Git; технический английский язык. Условия: официальное трудоустройство по ТК РФ; офис по линии метро; работа над интересными проектами; профессиональный и личностный рост в дружной команде; конкретная категория и заработная плата определяются по результатам собеседования."," Уверенное знание Java, Kotlin, Android SDK, JSON, REST Api Знание и умение применять паттерны проектирования Иметь базовые знания о дизайне пользовательского интерфейса Несомненным плюсом будет знание платформы iOS, для портирования приложений Требуемый опыт работы: Middle Android Developer Приветствуется: опыт работы с системами контроля версий Mercurial, Git; технический английский язык. ", участие в проектах в роли разработчика мобильных приложений для Android для электроэнергетики. , официальное трудоустройство по ТК РФ; офис по линии метро; работа над интересными проектами; профессиональный и личностный рост в дружной команде; конкретная категория и заработная плата определяются по результатам собеседования.,Без ключевых навыков,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
311,311,android,Краснодар,63552.27272727273,93415.5844155844,"EPAM Systems, Inc.",2019-10-18T19:17:26+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Android developer (офис или удаленно) Работа удаленно или в г. Краснодаре. (в случае переезда - предусмотрена программа релокации). Мы производим программное обеспечение – от начала и до конца. С 1993 года EPAM помогает клиентам придумывать, разрабатывать, проектировать и внедрять программные продукты, которые меняют мир. Чтобы понимать, в чем рынок будет нуждаться завтра, мы следим за трендами и внедряем их в свою работу, постоянно учимся и накапливаем опыт. Учиться в ЕРАМ легко: внутри компании есть тренинги и курсы, унифицированы требования к разным позициям и уровням и есть возможность получать новые профессии прямо на рабочем месте. Все наши проекты уникальны, и в зависимости от проекта можем использовать следующий стэк: Kotlin, Gava; Git, модульное тестирования, основы автоматизированного UI тестирования; Фреймворк Dagger 2; RxJava 2; Retrofit 2; Room; придерживаемся Clean Architecture. Общие требования: Опыт разработки клиент-серверных приложений. Понимание работы REST-API Будет плюсом: Знание Unit Test Опыт использования и настройки CI/CD Опыт работы с Sketch &amp; Zeplin Опыт работы с GoogleAnalytics Знание английского языка Мы предлагаем: Работу с новейшими технологиями и участие в проектах из разных областей (Life Science, E-commerce, биоинформатика, медицина, GameDev, Capital Markets и многие-многие другие); Реализация своего потенциала вне проектов: мы организуем митапы и конференции, на которых выступают наши сотрудники, приглашаем тренеров для спикеров, развиваем профессиональные комьюнити; Участие в программах менторинга для технических специалистов и для менеджеров; Возможность постоянного обучения: предоставляем доступ к 6000+ курсов и тренингов, разработали специальные программы для архитекторов решений и деливери-менеджеров; Возможность поработать в разных офисах ЕРАМ в России и за границей (наши офисы есть в 11 российских городах и более чем в 25 странах). Все плюшки и бонусы, присущие современным IT компаниям и даже больше - life event бонусы и программа релокации в другие страны.",Без требований,Без обязанностей,Без условий,Android|Android SDK|Kotlin,0.06666666666666668,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0
372,372,android,Краснодар,63552.27272727273,93415.5844155844,АйТи Мониторинг,2019-10-07T09:04:59+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: Разработка мобильных приложений под ОС Android; Участие в работе продуктовой команды; Следить за новыми технологиями и применять их в существующих и новых проектах. Требования: Знание Android SDK (API 19+), Java; Опыт разработки под Android от 1 года; Опыт использования Git; Понимание и грамотное использование принципов ООП; Умение писать аккуратный читаемый код, а также разбираться в чужом коде; Умение самостоятельно организовать свой труд; Ответственный подход к делу; Будет плюсом: Опыт работы с ButterKnife, Retrofit, Dagger, RxJava; Опыт работы с HTTP, REST, JSON; Есть успешные приложения в Google Play. Условия: Оформление согласно ТК РФ; График работы: 5/2, с 09:00 до 18:00; Заработная плата: обсуждается индивидуально с успешными кандидатами; Участие в интересных проектах; Позитивная атмосфера и дружный молодой коллектив; Лояльный dress-code. В офисе есть мини-кухня, зона отдыха с PlayStation + постоянно пополняющаяся библиотека."," Знание Android SDK (API 19+), Java; Опыт разработки под Android от 1 года; Опыт использования Git; Понимание и грамотное использование принципов ООП; Умение писать аккуратный читаемый код, а также разбираться в чужом коде; Умение самостоятельно организовать свой труд; Ответственный подход к делу; Будет плюсом: Опыт работы с ButterKnife, Retrofit, Dagger, RxJava; Опыт работы с HTTP, REST, JSON; Есть успешные приложения в Google Play. ", Разработка мобильных приложений под ОС Android; Участие в работе продуктовой команды; Следить за новыми технологиями и применять их в существующих и новых проектах. ," Оформление согласно ТК РФ; График работы: 5/2, с 09:00 до 18:00; Заработная плата: обсуждается индивидуально с успешными кандидатами; Участие в интересных проектах; Позитивная атмосфера и дружный молодой коллектив; Лояльный dress-code. В офисе есть мини-кухня, зона отдыха с PlayStation + постоянно пополняющаяся библиотека.",Без ключевых навыков,0.4666666666666667,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
340,340,android,Краснодар,63552.27272727273,93415.5844155844,"СимбирСофт,ООО",2019-10-14T13:47:46+0300,От 1 года до 3 лет,Полный день,Полная занятость,"mobile.SimbirSoft - команда профессионалов мобильной разработки. Мы входим в ТОПы 15 российских и международных рейтингов (Tagline, Рейтинг Рунета, Clutch и многих других). Каждый день работаем над созданием востребованных продуктов, которыми пользуются тысячи людей по всему миру. Для нас важно: знание Java или Kotlin; опыт разработки Android приложений на уровне самостоятельного решения задач; знаком с ООП, Git; готов быстро учиться и развиваться как профессионал. Взамен мы предлагаем: удалённая работа; работу в команде с гуру разработки; участие в создании проектов для российских и зарубежных клиентов; возможность прокачаться в разных направлениях: глубже изучить Android, либо стать full-stack разработчиком; международную сертификацию (Oracle/Google Certified Associate Android Developer); возможность стать тимлидом; современную зону отдыха с чаем/кофе/печеньками/пинг-понгом/хbox/игровыми автоматами и гитарой; работу без привязки к рабочему месту; бесплатный английский в офисе; гибкий график работы, который позволяет выспаться; 100% white - оформление по ТК РФ, белая зарплата, отпускные и больничные.",Без требований,Без обязанностей,Без условий,Java|Android|Git,0.2333333333333333,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
1082,1082,android,Самара,65000.0,110000.0,REDMADROBOT,2019-09-23T14:47:19+0300,От 3 до 6 лет,Гибкий график,Полная занятость,"Redmadrobot создаёт эталонные цифровые продукты: мобильные приложения, рабочие инструменты для сотрудников и веб-сервисы, которые задают правила развития диджитал в России. Нашими продуктами пользуются миллионы людей. Очень возможно, вы – один из них. Мы ищем сильного и увлечённого Android-разработчика . Мы используем самый современный стек технологий и подходы к разработке:Kotlin, Clean Architecture, Dagger 2, Rx 2, Moxy, Android Architecture Components. Что вы будете делать: проводить декомпозицию скоупа задач; взаимодействовать с аналитиками, дизайнерами и тестировщиками; проектировать программный дизайн приложений; писать качественный, промышленный код; писать unit-тесты; нести ответственность; думать. От вас: опыт разработки мобильных приложений под Android больше двух лет; знание Android SDK (API lvl &gt; 14), Android Memory Management, Android application architecture, Gradle; знание TCP/UDP/HTTP, Multithreading &amp; Concurrency (в т.ч. RxJava); опыт разработки клиент-серверных приложений; обладать устойчивыми знаниями принципов и опытом работы в ООП, опытом работы с СУБД (+NoSQL); знание основных паттернов проектирования; знание методик автоматизированного тестирования; опыт распределенной разработки (работа с GitHub/GitLab); базовые понятия о безопасности мобильных приложений (OWASP Mobile Top Ten). Вы в приоритете, если у вас есть: опыт разработки на Kotlin; понимание парадигмы функционального программирования; опыт создания сложного нестандартного UI; опыт работы в Agile, в том числе с инженерными практиками Agile; высшее образование по специальности математика/программирование. От нас хипстерский стек технологий: Kotlin, Clean Architecture, Dagger 2, Rx 2, Moxy, Android Architecture Components; полностью «белая» зарплата, соответствующая вашей квалификации; прозрачная система развития и возможность карьерного роста; возможность повышать квалификацию за счёт компании; постоянно обновляемая корпоративная библиотека; ДМС для каждого сотрудника после полугода работы в компании; командировки на профильные конференции в роли участника или спикера; возможность вступления в сообщество Google Developers Experts; самая адекватная корпоративная культура, которую можно встретить, и забота о ваших профессиональных и человеческих потребностях. Чтобы начать разговор, пришлите своё резюме с рассказом о профессиональных достижениях, которыми вы гордитесь. Плюс несколько слов о том, почему нам стоит работать вместе.",Без требований,Без обязанностей,Без условий,Без ключевых навыков,0.9333333333333332,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
