,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills,days,"(12995.0, 43440.0]","(43440.0, 73885.0]","(73885.0, 104330.0]","(104330.0, 134775.0]","(134775.0, 165220.0]","(165220.0, 195665.0]","(195665.0, 226110.0]","(226110.0, 256555.0]","(256555.0, 287000.0]","(18500.0, 61555.556]","(61555.556, 104611.111]","(104611.111, 147666.667]","(147666.667, 190722.222]","(190722.222, 233777.778]","(233777.778, 276833.333]","(276833.333, 319888.889]","(319888.889, 362944.444]","(362944.444, 406000.0]",Екатеринбург,Краснодар,Новосибирск,Самара,Челябинск,Более 6 лет,Нет опыта,От 1 года до 3 лет,От 3 до 6 лет,Вахтовый метод,Гибкий график,Полный день,Сменный график,Удаленная работа,Полная занятость,Проектная работа,Стажировка,Частичная занятость,Без ключевых навыков,MySQL,HTML,PHP5,JavaScript,1С-Битрикс,Другое
254,254,backend,Краснодар,15000.0,97500.0,Russian Robotics,2019-10-08T14:44:17+0300,Нет опыта,Гибкий график,Полная занятость,"Russian Robotics — это ТОП-1 веб-студия в Краснодаре (по данным CMS Magazine ) Мы разрабатываем и развиваем сайты крупных федеральных компаний. Много работаем с финансовым сектором. И вообще много работаем — с нами ты прокачаешь навыки и станешь сильнее как профессионал. Что предстоит делать: развивать существующие Интернет-проекты и разрабатывать новые, контролировать качество своей работы и отвечать за результат, развиваться как профессионал, осваивать и внедрять современные технологии в своем направлении деятельности Ты нам подходишь, если: Хочешь освоить PHP Имеешь представление о значении оббревиатуры ООП слышал что такое HTML и CSS готов учиться работать с CMS Bitrix хочешь попробовать себя в разработке веб-сайтов у тебя есть вопросы, на которые ты находишь ответы в гугле, но не с кем их обсудить хочешь научиться решать задачи творчески любишь учиться и делаешь это быстро Почему с нами хорошо: оформим все в соответствии с ТК РФ предложим индивидуальный график обсудим программу персонального развития и обучения",Без требований,Без обязанностей,Без условий,HTML|PHP5,0.43333333333333335,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
660,660,backend,Челябинск,15000.0,35000.0,Некстайп,2019-10-07T11:11:04+0300,Нет опыта,Полный день,Полная занятость,"Мы ищем в команду начинающего backend разработчика. Научим его правильно и быстро разрабатывать приложения на PHP с использованием популярных фреймворков, в совершенстве владеть unix-подобными системами и составлять сложные SQL запросы. Все знания будем приправлять системами контроля версий, к примеру git. Если ты давно хотел программировать для веб, и понимаешь, что дорогу осилит идущий, скорее отправляй информацию о себе, нам на почту. Крайне желательно, чтобы кандидат четко отличал Backend от Frontend, хорошо владел HTML5 и умел пользоваться таблицами каскадных стилей. Плюсом будут знания JavaScript. И еще мы терпеть не можем нытиков, использующих глаголы “попробую”, “попытаюсь”, “постараюсь” в повседневной жизни, а всех остальных любим, ценим и дарим плюшки. Обязательное условие - прохождение тестового задания.",Без требований,Без обязанностей,Без условий,Без ключевых навыков,0.4666666666666667,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
1093,1093,backend,Самара,20000.0,80000.0,Студия Варнофф,2019-10-17T14:02:49+0300,От 3 до 6 лет,Полный день,Полная занятость,"Студия Варнофф – интернет-агентство полного цикла – ищет в свою команду PHP программиста на Битрикс с опытом работы. Мы на самарском рынке с 2001 года. За это время мы приобрели большой опыт, постоянно развивались, модернизировали и совершенствовали действующие направления. В числе наших клиентов: - крупные промышленные предприятия; - успешные коммерческие компании; - строительные компании и др. Требуемый опыт работы : 3–6 лет (рассмотрим кандидатов с меньшим опытом, но огромным желанием учиться и работать) Требования: - Опыт работы с PHP (желательно ООП); - JS (знание jQuery); - Знания HTML\CSS; - Сертифицированный разработчик 1C-bitrix. Мы предлагаем: - работу в крупной стабильной компании; - сложные и интересные проекты, которыми можно гордиться; - реальную возможность карьерного роста; - работу в молодом дружном коллективе; - чай-кофе в нашем офисе – в неограниченном количестве. Итоговая зарплата определяется по результатам собеседования в зависимости от вашей квалификации. Условия: - Полный рабочий день, 5/2 - Полная занятость Ключевые навыки: PHP5 CSS3 HTML JavaScript 1С-Битрикс Если вы хотите расти и развиваться вместе с нами – ждем вас на собеседование в нашем офисе!"," - Опыт работы с PHP (желательно ООП); - JS (знание jQuery); - Знания HTML\CSS; - Сертифицированный разработчик 1C-bitrix. Мы предлагаем: - работу в крупной стабильной компании; - сложные и интересные проекты, которыми можно гордиться; - реальную возможность карьерного роста; - работу в молодом дружном коллективе; - чай-кофе в нашем офисе – в неограниченном количестве. Итоговая зарплата определяется по результатам собеседования в зависимости от вашей квалификации. ",Без обязанностей," - Полный рабочий день, 5/2 - Полная занятость Ключевые навыки: PHP5 CSS3 HTML JavaScript 1С-Битрикс Если вы хотите расти и развиваться вместе с нами – ждем вас на собеседование в нашем офисе!",HTML|JavaScript|1С-Битрикс|PHP|CSS,0.13333333333333333,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0
32,32,backend,Новосибирск,20000.0,111250.0,Метеор,2019-10-17T07:22:53+0300,Нет опыта,Полный день,Полная занятость,"Проекты «Метеора» — это высокотехнологичные решения для бизнеса: CRM и ERP системы, сайты со сложным функционалом и мобильные приложения для iOS и Android. На сегодня мы отметились в трех рейтингах лучших разработчиков по версии Tagline и не собираемся на этом останавливаться. Наши клиенты находятся в Москве и Европе. Мы активно растем, проектов становится больше каждый месяц, а вместе с тем растет и потребность в сотрудниках. И мы готовы взращивать начинающих специалистов, в связи с чем снова открываем вакансию стажера-разработчика на PHP. Задачи: Выполнение тестовых проектов для тренировки навыка программирования; Работа над реальными задачами в рамках действующих проектов; Сопровождение и доработка. Мы предлагаем: Оплачиваемую стажировку длительностью 1 месяц; Практическое получение знаний и опыта под присмотром наставника; Постоянное трудоустройство при успешном прохождении стажировки; Участие в интересных проектах; Гибкую систему заработной платы: пересмотр каждые три месяца по результатам работы; Компенсацию затрат на профильное обучение и курсы английского. От будущего коллеги мы ожидаем: Знание основ HTML, PHP+MySQL, ООП; Осознанное желание развиваться в сфере web-разработки; Способность и желание разбираться со сложными задачами, находить решения; Наличие реализованных проектов (в т.ч. учебных и совместных). Метеор — это современная и гибкая компания. У нас нет дресс-кода, натянуто-делового общения и скучных задач. Наши цели — это развитие и создание полезного продукта. Если это и твои цели тоже — присылай отклик, мы точно сработаемся :)",Без требований,Без обязанностей,Без условий,HTML|PHP|MySQL|SQL|Web Application Development|Веб-программирование|Разработка CMS|ООП|Git,0.13333333333333333,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0
6,6,backend,Новосибирск,25000.0,50000.0,Zimalab,2019-10-14T06:33:51+0300,Нет опыта,Полный день,Полная занятость,"Ищем начинающего PHP программиста (с опытом до полугода или без опыта) для разработки проектов на PHP с использованием Symfony framework. Мы разрабатываем веб-приложения на Symfony и Laravel (PHP MVC framework) для клиентов из США, Германии, Великобритании и Австралии. Разнообразные проекты продолжительностью от 2-3 месяцев. Компания молодая и при отличных результатах работы, есть возможность быстрого роста вместе с компанией. Предлагаемые условия: Разработка интересных проектов на одном из самых популярных PHP фреймворков Обучение от опытного PHP Senior Developer Гибкий график работы, 40 часов в неделю Молодая и дружная команда Уютная кухня и самый вкусный кофе Корпоративные мероприятия Требования: Опыт работы до полугода или без опыта Образование среднее специальное, неполное высшее, высшее Обязательные знания: Понимание принципов работы web–приложений Знание основ PHP, HTML, CSS, JavaScript, SQL Знакомство с паттернами проектирования (концепция MVC, наиболее распространённые паттерны) Понимание и практическое применение ООП. Знание особенностей реализации ООП в PHP Знание английского языка на уровне чтения технической документации Желание развиваться в области веб-разработки, нацеленность на результат Аккуратность при написании кода и адекватное восприятие критики Вашим преимуществом будет: Опыт работы с каким-либо фреймворком (Symfony, Zend, Laravel, Yii) Опыт работы на уровне пользователя в среде *nix Опыт работ с .js фреймворками (например, Angular.js) Опыт работ с Wordpress или другими CMS Ждем Ваше резюме!",Без требований,Без обязанностей,Без условий,PHP|HTML|CSS|ООП|MySQL|JavaScript,0.2333333333333333,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0
41,41,backend,Новосибирск,30000.0,70000.0,Ex-In,2019-10-09T15:07:46+0300,От 1 года до 3 лет,Полный день,Полная занятость,"В компанию Bullet требуется веб-разработчик. Охотно рассматриваем кандидатов с небольшим опытом, но большим желанием развиваться в веб-разработке. Bullet — набор сервисов для предпринимателей и маркетологов: конструктор сайтов, CRM-система, конструктор контекстной рекламы и модуль mail-рассылок. Ведем совместную разработку с «Яндекс», «Рамблер», «Сбербанк» и др. Наши клиенты — известные блогеры и крупные компании. Обязанности веб-разработчика: — Разработка нового функционала (новые продукты и модули, новые фичи, новые инструменты). — Рефакторинг существующего кода (мы развиваемся и растем, и нужно находить медленные и некачественные части кода и улучшать их). — Исправление возникающих ошибок (иногда возникают баги и ошибки, которые не смогли предусмотреть на этапе проектирования и конструирования, их нужно отлавливать и исправлять). — Решение внутренних задач (добавление отчетов и выгрузок, визуализация внутренней статистики, работа над внутренней CRM). — Помощь контент-отделу с версткой (иногда контент-отдел не справляется с версткой внутренних страниц и им нужна помощь знающих людей). Минимальные требования: — Внимательность и аккуратность в разработке. — Умение писать комментарии и документацию к своему коду. — Опыт работы с PHP 7 на уровне ООП. — Опыт работы с Yii2 Framework (либо с другим MVC-фреймворком). — Опыт работы с миграциями. — Знание SQL (индексы, сложные запросы). — Верстка и фронт на уровне HTML5, jQuery, AJAX, Bootstrap. — Git, Composer, Unix Bash. Условия: — ​​​Полный рабочий день. — Удаленка (при условии ежедневной отчетности). — Испытательный срок 3 месяца. — Оплачиваемое тестовое задание. — Заработная плата от 30 000 до 60 000 на руки по результатам тестового задания.",Без требований,Без обязанностей, — ​​​Полный рабочий день. — Удаленка (при условии ежедневной отчетности). — Испытательный срок 3 месяца. — Оплачиваемое тестовое задание. — Заработная плата от 30 000 до 60 000 на руки по результатам тестового задания.,CSS|JavaScript|MySQL|PHP|HTML|Yii,0.4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0
171,171,backend,Новосибирск,30000.0,75000.0,Тэглайн,2019-10-18T19:21:56+0300,От 1 года до 3 лет,Гибкий график,Полная занятость,"Ищем уверенного PHP-разработчика. О нас Привет. Пожалуйста, внимательно прочитайте всю вакансию и посмотрите наши проекты перед тем, как откликнуться. В первом сообщении просим написать краткий текст о том, как вы видите свою работу у нас. Наши основные проекты — система отображения рейтингов, анкета для сбора информации, каталог компаний digital-рынка, крупнейшее в России кадровое исследование, масштабные учебные курсы с лидерами рынка, Tagline Awards, Digital-календарь, Летопись, Библиотека,Энциклопедия и другие. Должностные обязанности: — Приглашаем уверенного инженера-разработчика, специалиста по разработке интернет-продуктов (не заказная разработка и не enterprise). Требуются отличные знания backend-стека (php / Yii / MySQL) и умение сверстать и заставить работать страницу при наличии адекватного макета. — Требуется оперативно влиться в процесс разработки наших текущих проектов, а также приступить к созданию новых; впитывать в себя компетенции коллег-девелоперов и менеджеров, и впоследствии забрать себе некоторые направления и проекты. Чем нужно будет заниматься: — Проектирование и разработка интернет-сервисов — Проектирование и разработка внутренних движков компании — Работа с подрядчиками: создание гайдов, написание ТЗ, контроль, прием работы, интеграция кода в инфраструктуру компании, деплой, тестирование — Ведение хорошей документации по собственным проектам и направлениям — Рефакторинг уже сверстанных страниц и административных интерфейсов — Поиск и разработка backend-решений — Оптимизация технологического стека и политик разработки. В перспективе — разработка продвинутых приложений, административных интерфейсов с применением современных технологий. Мы — компания, которая за 9 лет сформировала российский рынок заказной веб-разработки и digital-маркетинга с помощью своих информационных и сервисных продуктов. Чем мы лучше стартапа? — Результаты вашего труда будут доступны публично уже через несколько недель работы. — Мы точно не закроемся завтра, через месяц и через год из-за кризиса или нехватки инвестиций (мы их не брали и пока не собираемся), вы можете видеть многолетнюю историю проектов и учиться проектировать на много лет вперед. — У нас неизбежен быстрый профессиональный, личностный и карьерный рост. — Вы знаете, чего от ваших проектов ждут пользователи и все гипотезы апробируете на реальной аудитории. — Большой спектр задач и разнообразие проектов, в разработке которых можно принимать участие, позволяет попробовать разные направления и выбрать те, что приносят больше профита/удовольствия. — Мы ведем проекты, рассчитанные на ключевых специалистов лиц рынка веб-разработки и digital-маркетинга, а также крупнейших заказчиков этих услуг — проекты долгие, достаточно сложные и предполагают быстрое развитие скиллов по поддержке кода и развитию архитектуры. Чем мы лучше крупного предприятия? — Результаты вашего труда будут доступны публично уже через несколько недель работы. — Вы будете регулярно видеть реакцию пользователей наших сервисов на результаты своей работы, что очень мотивирует к быстрому и эффективному росту, а не разрабатывать 2 года маленькую процедуру в огромной системе, назначения которой вы даже не понимаете. — У вас будет регулярный доступ к учредителям и ключевым менеджерам компании, чей опыт вы сможете использовать в профессиональной деятельности и за ее пределами, в отличие от необъятного и неразговорчивого «Океана» из Соляриса в корпорациях Предлагаемые условия: Официально: — Работа в уютном офисе в центре Новосибирска — 8-часовой рабочий день, начало работы с 9–12 часов — Обучение и развитие внутри компании и за ее пределами — Вы будете окружены командой профессионалов, которым небезразлично ваше отношение к жизни, работе и профессии — Большой спектр задач и разнообразие проектов, в разработке которых можно принимать участие, позволяет попробовать разные направления и выбрать те, что приносят больше профита/удовольствия Неофициально: — Результаты вашего труда будут доступны публично уже через несколько недель работы — Вы будете регулярно видеть реакцию пользователей наших сервисов (это первые лица рынка веб-разработки и digital-маркетинга, а также крупнейшие заказчики этих услуг) на результаты своей работы, что очень мотивирует к быстрому и эффективному росту Требования: — Вы занимались разработкой интернет-проектов (официальное трудоустройство на прежних местах нас не интересует, но очень важно, чтобы до и во время работы у нас вы относились предельно цивилизованно к порядку в делах и отношениях), — До этого несколько лет вы учились веб-технологиям и программированию в вузе или самостоятельно, но очень упорно и системно. — Опыт работы с MVC-фреймворками — Yii или похожими (ASP.NET, CakePHP, CodeIgniter и различными CMS (1С-Битрикс, UMI, Drupal, Joomla!). — Знание JavaScript/Ajax/Json/jQuery — Вы готовы отдать работе 100% своего рабочего времени, энергии и изобретательности. — Вы умеете концентрироваться на одной задаче, но в состояний переключаться при необходимости. — С вами приятно иметь дело, вы готовы тратить свое время и силы на понятные и публичные проекты, которые гарантированно будут жить еще много лет, в том числе, благодаря вам. — Огромное внимание к деталям. — Стремление к качеству при умении укладываться в сроки. — Готовность нести ответственность за разработанный продукт; понимание того, что ближайшие не менее 3–7 лет с ним будут работать редакторы и менеджеры, в его развитии будут принимать участие программисты и дизайнеры, а аудитория должна ежедневно получать удовольствие от его использования. — Абсолютная бесконфликтность, спокойствие, рассудительность, умение находить компромиссы. — Понимание того, что код считается написанным только когда он соответствует ТЗ, внедрен, протестирован во всех основных сценариях, сдан заказчику и заказчик считает, что этот код задачу решает. — Готовность быстро расставаться со стереотипами. — Желание и умение учиться всегда и везде. — Сочетание усидчивости и инициативности. — Умение разбираться в чужом коде; понимание того, что с вашим кодом будут работать коллеги — Умение быстро задавать вопросы коллегам лично или на форумах, а также искать, адаптировать и внедрять готовые и надежные решения, а не писать собственные плохие и ненадежные. — Обязательны знания php, HTML5, CSS3, MySQL; — Уверенное владение чистым JS и фрейворками (jQuery) — Хорошее понимание работы AJAX, XML и JSON верстки — Умение разбираться в чужом коде — Умение быстро задавать вопросы коллегам лично или на форумах, а также искать, адаптировать и внедрять готовые и надежные решения, а не писать собственные Будет плюсом: — Владение и навыки работы с Git, Bitbucket, GitHub Flow, PhpStorm, Asana и другим инвентарем для организации работы — Использование в работе CSS-препроцессоров (SASS, LESS) — Методология БЭМ, как минимум на уровне именования классов — Знание последних тенденций в средствах и методологиях верстки — Отличная коллекция анимаций, эффектов, картинок и иконок в арсенале — Кроссбраузерная верстка (все экраны, все ОС, все устройства, девайсы) — Опыт работы с RESTful-приложениями — Написание Unit-тестов на Yii и Yii2 — Адаптивная, отзывчивая и резиновая верстка — Bootstrap/Booster — Опыт интеграции с Facebook, Twitter и Google Maps — Adobe Illustrator, и InDesign — Уверенное владение Adobe Photoshop в рамках задач по верстке — Чтение, как минимум, ста бизнес-линчей и «Ководства» Артемия Лебедева, «Мифического человеко-месяца» и «Психбольницы в руках пациентов» — Интерес к веб-технологиям и последним тенденциям в средствах и методологиях разработки, владение некоторыми из них. — Умение выполнять базовые функции продукт-менеджера: сбор требований, проектирование, согласование приоритетов, управления трудозатратами и сроками, разработка документации (да мы, считаем это правильным, как и все, кто делает удобные веб-сервисы) — Умение читать и задавать вопросы по-английски и грамотно писать по-русски. Примечания: — Мы готовы побеседовать с вами и без резюме, если у вас есть сложность с его подготовкой. — Наличие портфолио при рассмотрении вашей кандидатуры нас сильно порадует. — Мы готовы работать как с опытными, так и с начинающими, но перспективными и способными к быстрому росту, специалистами. Первым готовы сразу же отдать сложные федеральные веб-проекты, вторым — возможность стажировки и обучения с параллельным вливанием в рабочий процесс. Офис — Вокзальная магистраль, м. Площадь Ленина. 8-часовой рабочий день, начало работы с 9–12 часов (по согласованию с вами).",Без требований,Без обязанностей,Без условий,Без ключевых навыков,0.06666666666666668,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
530,530,backend,Челябинск,30000.0,50000.0,Кадры Роста,2019-10-21T06:45:02+0300,От 3 до 6 лет,Полный день,Полная занятость,"Мы активно-развивающаяся торгово-строительная компания (mottex), которая ищет в свою небольшую, но дружную команду Backend разработчика для поддержки существующих проектов компании и разработки новых. Требования: Опыт работы от 2 лет на релевантной позиции Знание JS (node) Знание PHP7, понимание принципов ООП Опыт работы с СУБД MYSQL (MariaDB) Знание систем контроля версий (Git) Опыт работы с фреймворками будет плюсом (Laravel, Yii2, Symfony4) Условия: График 5\2 c 8:30 до 18:00 Возможности роста Обучение и интересные проекты Корпоративные мероприятия Официальное трудоустройство Рабочее место с хорошим железом Оставляйте свои отклики даже если сомневаетесь - мы рассматриваем все резюме"," Опыт работы от 2 лет на релевантной позиции Знание JS (node) Знание PHP7, понимание принципов ООП Опыт работы с СУБД MYSQL (MariaDB) Знание систем контроля версий (Git) Опыт работы с фреймворками будет плюсом (Laravel, Yii2, Symfony4) ",Без обязанностей, График 5\2 c 8:30 до 18:00 Возможности роста Обучение и интересные проекты Корпоративные мероприятия Официальное трудоустройство Рабочее место с хорошим железом Оставляйте свои отклики даже если сомневаетесь - мы рассматриваем все резюме,MySQL|Git|ООП|Yii|1С-Битрикс,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
560,560,backend,Челябинск,30000.0,50000.0,Кадры Роста,2019-10-21T06:45:03+0300,От 3 до 6 лет,Полный день,Полная занятость,"Мы активно-развивающаяся торгово-строительная компания (mottex.ru), которая ищет в свою небольшую, но дружную команду FullStack разработчика для поддержки существующих проектов компании и разработки новых. Требования: знание 1c-Битрикс (опыт с высоконагруженными проектами) JavaScript \ AJAX \ JSON \ JQuery PHP 5\7 (создание шаблонов страниц bitrix под верстку) SQL \ MySQL верстка CSS \ Webpack \ NodeJS \ Gulp \ pug \ stylus Мы ищем соискателей с активной жизненной позицией, любовью к программированию и вэбу и, хотя бы небольшим бэкграундом в разработке ПО. Условия работы: рабочее место с хорошим железом полный рабочий день небольшой, но очень дружный коллектив корпоративные мероприятия соц-пакет, больничный, отпуск официальная заработная плата работа по адресу г.Челябинск, Троицкий тракт. Оставляйте свои отклики даже если сомневаетесь - мы рассматриваем все резюме",Без требований,Без обязанностей,Без условий,jQuery|JavaScript|MySQL|1С-Битрикс|CSS,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0
442,442,backend,Краснодар,30000.0,40000.0,Промстрой,2019-09-25T13:16:54+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: Доработка и поддержка существующих сайтов компании на 1С-Битрикс.; Знание и опыт работы с Bitrix Framework; Кастомизация типовых компонентов и модулей, разработка собственных компонентов; Написание нового функционала согласно текущих планов разработки; Рефакторинг существующего кода / оптимизация работы; Верстка макетов; Разработка мобильного приложения; Требования: Опыт Backend разработки от 1 года; Знания PHP 5/7, ООП; MySQL - умение составлять и оптимизировать запросы; Владение JavaScript( + JQuery), HTML, CSS; Знание принципов адаптивной и кроссбраузерной верстки; Опыт frontend разработки; Знание и опыт работы с Bitrix Framework, D7, опыт создания собственных модулей и компонентов; Умение решать нестандартные задачи; Умение разбираться в чужом коде; Коммуникабельность; Условия: Оформление в соответствии с ТК РФ; График работы обсуждается."," Опыт Backend разработки от 1 года; Знания PHP 5/7, ООП; MySQL - умение составлять и оптимизировать запросы; Владение JavaScript( + JQuery), HTML, CSS; Знание принципов адаптивной и кроссбраузерной верстки; Опыт frontend разработки; Знание и опыт работы с Bitrix Framework, D7, опыт создания собственных модулей и компонентов; Умение решать нестандартные задачи; Умение разбираться в чужом коде; Коммуникабельность; "," Доработка и поддержка существующих сайтов компании на 1С-Битрикс.; Знание и опыт работы с Bitrix Framework; Кастомизация типовых компонентов и модулей, разработка собственных компонентов; Написание нового функционала согласно текущих планов разработки; Рефакторинг существующего кода / оптимизация работы; Верстка макетов; Разработка мобильного приложения; ", Оформление в соответствии с ТК РФ; График работы обсуждается.,JavaScript|1С-Битрикс|MySQL|CSS,0.8666666666666667,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0
