,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills,days,"(12995.0, 43440.0]","(43440.0, 73885.0]","(73885.0, 104330.0]","(104330.0, 134775.0]","(134775.0, 165220.0]","(165220.0, 195665.0]","(195665.0, 226110.0]","(226110.0, 256555.0]","(256555.0, 287000.0]","(18500.0, 61555.556]","(61555.556, 104611.111]","(104611.111, 147666.667]","(147666.667, 190722.222]","(190722.222, 233777.778]","(233777.778, 276833.333]","(276833.333, 319888.889]","(319888.889, 362944.444]","(362944.444, 406000.0]",Екатеринбург,Краснодар,Новосибирск,Самара,Челябинск,Более 6 лет,Нет опыта,От 1 года до 3 лет,От 3 до 6 лет,Вахтовый метод,Гибкий график,Полный день,Сменный график,Удаленная работа,Полная занятость,Проектная работа,Стажировка,Частичная занятость,Без ключевых навыков,Oracle Pl/SQL,SQL,PostgreSQL,Разработка ПО,Работа с базами данных,pgSQL,Другое
165,165,database engineer,Новосибирск,40000.0,100000.0,ЭР-Телеком,2019-10-16T08:25:49+0300,От 1 года до 3 лет,Полный день,Полная занятость,"АО ЭР-Телеком Холдинг - ведущий независимый федеральный оператор телеком-услуг в России. Мы динамично развиваемся с 2001 года, предоставляем телекоммуникационные решения: широкополосный доступ в интернет, цифровое ТВ, телефонная связь, VPN, видеонаблюдение, Wi-Fi, IoT. «ЭР-Телеком» работает в 566 населённых пунктах на базе собственных телекоммуникационных сетей, построенных с нуля по технологии «оптика до дома» и радиодоступа. По количеству обслуживаемых клиентов мы занимаем 2-е место среди интернет провайдеров и 3-е - среди операторов платного ТВ. По результатам Speedtest компании Ookla мы признаны самым скоростным провайдером домашнего интернета в России в 2017 и 2018 году. Мы ищем профессионала для совершенствования продуктов компании и автоматизации внутренних процессов. Чем предстоит заниматься: Разработка ПО для автоматизации бизнес-процессов компании; Анализ ошибок в использовании системы‚ предложение решений по их устранению; Проведение корректировки разработанной программы на основе анализа выходных данных; Оптимизация и рефакторинг программного кода. Мы ждем от вас: Отличное знание СУБД Oracle, PL/SQL; Опыт написания сложных SQL-запросов; Логическое мышление, способность разобраться в сложных ситуациях; Желание разобраться в бизнес-процессах компании. Мы предлагаем: Работу в федеральной динамично развивающейся компании; Профессиональное развитие и карьерный рост; Официальное трудоустройство, полный соц.пакет (оплачиваемый отпуск, больничные); Белую зарплату, своевременные выплаты 2 раза в месяц; ДМС для Вас и Вашей семьи на льготных условиях; Удобную парковку, комфортный офис и дружелюбную атмосферу в коллективе профессионалов!",Без требований,Без обязанностей,Без условий,Oracle Pl/SQL|SQL,0.16666666666666666,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
1105,1105,database engineer,Самара,50000.0,100000.0,Русфинанс Банк (Societe Generale Group),2019-10-21T08:49:50+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: Создание конечных частных витрин корпоративного хранилища данных (на PL/SQL) для взаимодействия с другими IT-сервисами банка 3-я линия поддержки по разработанному функционалу Требования: Высшее техническое образование; Опыт работы с большими СУБД (Хранилища данных) от двух лет; Умение писать высокопроизводительный код и «тюнить» запросы на PL/SQL (Oracle) от двух лет; Желателен опыт работы с ETL инструментами; Исполнительность, ответственность, инициативность, клиенториентированность Условия: Оклад + полугодовые премии; Оформление согласно ТК РФ; Соц. пакет, ДМС; График 5/2; Бесплатное корпоративное обучение; Дружный коллектив; Возможность карьерного и профессионального роста."," Высшее техническое образование; Опыт работы с большими СУБД (Хранилища данных) от двух лет; Умение писать высокопроизводительный код и «тюнить» запросы на PL/SQL (Oracle) от двух лет; Желателен опыт работы с ETL инструментами; Исполнительность, ответственность, инициативность, клиенториентированность ", Создание конечных частных витрин корпоративного хранилища данных (на PL/SQL) для взаимодействия с другими IT-сервисами банка 3-я линия поддержки по разработанному функционалу ," Оклад + полугодовые премии; Оформление согласно ТК РФ; Соц. пакет, ДМС; График 5/2; Бесплатное корпоративное обучение; Дружный коллектив; Возможность карьерного и профессионального роста.",Без ключевых навыков,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1127,1127,database engineer,Самара,50000.0,100000.0,Старт-МС,2019-10-19T13:34:17+0300,Нет опыта,Полный день,Полная занятость,"ООО &quot;Старт-МС&quot; - российская развивающаяся IT-компания. Наш основной программный продукт - информационная система &quot;Старт КС&quot;, предназначенная для автоматизации расчетов за жилищно-коммунальные услуги. В настоящий момент компания реализует несколько перспективных проектов по внедрению и разработке своего программного продукта и объявляет об открытии вакансии инженера-программиста PostgreSQL Обязанности: Разработка и поддержка программных продуктов в составе проектных команд, Оптимизация кода. Участие в проектировании архитектуры системы. Возможно участие в проектах внедрения на стороне заказчика и командировки. Требования: Знание реляционной базы данных PostgreSQL. Профессиональное знание PL/pgSQL. Опыт оптимизации процедур и запросов под БД PostgreSQL 11. Желательно знание FastReport. Желательно опыт миграции с БД Oracle. Желательно знание PL/SQL. Желание и способность изучать новые технологии. Условия: Оклад по итогам собеседования, премии (белая з/п, на карту Сбербанка), оплата достойная. Социальный пакет согласно ТК РФ (больничный лист, отпуск, начисления). Реальный профессиональный и карьерный рост. Современный и просторный офис (ул. Владимирская). Удобные рабочие места, не open-space. Дружный коллектив, доброжелательное отношение к новым сотрудникам. Возможность изменения режима работы. Ланч-зона с кулером, холодильниками, микроволновками. Удобная большая парковка.", Знание реляционной базы данных PostgreSQL. Профессиональное знание PL/pgSQL. Опыт оптимизации процедур и запросов под БД PostgreSQL 11. Желательно знание FastReport. Желательно опыт миграции с БД Oracle. Желательно знание PL/SQL. Желание и способность изучать новые технологии. ," Разработка и поддержка программных продуктов в составе проектных команд, Оптимизация кода. Участие в проектировании архитектуры системы. Возможно участие в проектах внедрения на стороне заказчика и командировки. "," Оклад по итогам собеседования, премии (белая з/п, на карту Сбербанка), оплата достойная. Социальный пакет согласно ТК РФ (больничный лист, отпуск, начисления). Реальный профессиональный и карьерный рост. Современный и просторный офис (ул. Владимирская). Удобные рабочие места, не open-space. Дружный коллектив, доброжелательное отношение к новым сотрудникам. Возможность изменения режима работы. Ланч-зона с кулером, холодильниками, микроволновками. Удобная большая парковка.",PostgreSQL|Разработка ПО|Работа с базами данных|pgSQL,0.06666666666666668,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0
1120,1120,database engineer,Самара,50000.0,100000.0,Ростелеком Информационные Технологии,2019-10-16T10:38:40+0300,От 1 года до 3 лет,Полный день,Полная занятость,"В &quot;Ростелеком Информационные Технологии&quot; открыта вакансия &quot; Программист-разработчик Oracle&quot; на проект АСР &quot;Старт&quot; - это биллинг / тарификация всех услуг связи, обслуживание абонентов, управление телекоммуникационным оборудованием (за исключением сотовой связи), в 4 МРФ РТК - Дальний Восток, Сибирь, Волга, Центр, Северо-Запад - в Карелии и Калининграде.На настоящий момент обслуживаем около 12 млн. абонентов проводной телефонии, 7 млн. абонентов ШПД и 3 млн. абонентов IPTV. Обслуживаем все категории пользователей B2C, B2B, B2G, B2O и т.д. Стек технологий: PL / SQL ; XML;JSON;java. Обязанности: Разработка программного обеспечения в части БД (Oracle 11) Разработка программного обеспечения OracleForms Разработка API с внешними системами Проектирование структур СУБД Проектирование API Проработка технических решений Оценка трудоемкости задач Требования: Высшее образование Опыт работы с реляционными базами данных Oracle от 1,3 и 5-ти лет; Отличное знание Oracle 11g (SQL, PL/SQL); Умение работать с данными в форматах XML и JSON; Опыт разработки для высоконагруженных систем, рефакторинга и оптимизации; Уверенный пользователь Windows Средства моделирования БД Будет плюсом: Умение работать с системами контроля версий Опыт работы с системами баг-трекинга Навыки использования юнит-тестов Условия: Оформление согласно ТК РФ; Белая заработная плата+премии; Испытательный срок-3 месяца; Заработная плата обсуждается индивидуально с каждым кандидатом; Соц.пакет (кафетерий льгот, оплата мобильной связи, бюджет на обучение сотрудников); Бюджет на обучение сотрудников; Данное описание вакансии не является офертой."," Высшее образование Опыт работы с реляционными базами данных Oracle от 1,3 и 5-ти лет; Отличное знание Oracle 11g (SQL, PL/SQL); Умение работать с данными в форматах XML и JSON; Опыт разработки для высоконагруженных систем, рефакторинга и оптимизации; Уверенный пользователь Windows Средства моделирования БД Будет плюсом: Умение работать с системами контроля версий Опыт работы с системами баг-трекинга Навыки использования юнит-тестов ", Разработка программного обеспечения в части БД (Oracle 11) Разработка программного обеспечения OracleForms Разработка API с внешними системами Проектирование структур СУБД Проектирование API Проработка технических решений Оценка трудоемкости задач ," Оформление согласно ТК РФ; Белая заработная плата+премии; Испытательный срок-3 месяца; Заработная плата обсуждается индивидуально с каждым кандидатом; Соц.пакет (кафетерий льгот, оплата мобильной связи, бюджет на обучение сотрудников); Бюджет на обучение сотрудников; Данное описание вакансии не является офертой.",Без ключевых навыков,0.16666666666666666,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1084,1084,database engineer,Самара,50000.0,100000.0,Русфинанс Банк (Societe Generale Group),2019-10-21T08:49:50+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: Анализ бизнес требований(детализация, взаимодействие с заказчиком и т.д.) и разработка технических заданий на разработку конечной отчетности; Оценка достаточности и качества данных в корпоративном хранилище данных; Тестирование витрин корпоративного хранилища данных и конечных отчетов; Участие в разработке аналитических и операционных отчетов; Подготовка необходимых документов в рамках процесса разработки. Требования: Высшее техническое образование; Опыт работы с СУБД Oracle, понимание теории БД; Уверенное знание PL/SQL; Знания в области розничного кредитования; Хорошие аналитические и коммуникационные навыки, умение общаться с людьми, выделять нужную информацию. Навыки формализации бизнес требований; Условия: Оклад + полугодовые премии; Оформление согласно ТК РФ; Соц. пакет, ДМС; График 5/2; Бесплатное корпоративное обучение; Дружный коллектив; Возможность карьерного и профессионального роста."," Высшее техническое образование; Опыт работы с СУБД Oracle, понимание теории БД; Уверенное знание PL/SQL; Знания в области розничного кредитования; Хорошие аналитические и коммуникационные навыки, умение общаться с людьми, выделять нужную информацию. Навыки формализации бизнес требований; "," Анализ бизнес требований(детализация, взаимодействие с заказчиком и т.д.) и разработка технических заданий на разработку конечной отчетности; Оценка достаточности и качества данных в корпоративном хранилище данных; Тестирование витрин корпоративного хранилища данных и конечных отчетов; Участие в разработке аналитических и операционных отчетов; Подготовка необходимых документов в рамках процесса разработки. "," Оклад + полугодовые премии; Оформление согласно ТК РФ; Соц. пакет, ДМС; График 5/2; Бесплатное корпоративное обучение; Дружный коллектив; Возможность карьерного и профессионального роста.",ORACLE|Oracle Pl/SQL,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1214,1214,database engineer,Самара,50000.0,100000.0,"EPAM Systems, Inc.",2019-10-15T12:46:26+0300,От 3 до 6 лет,Полный день,Полная занятость,"Добрый день, будущий коллега! Мы производим программное обеспечение – от начала и до конца. С 1993 года EPAM помогает клиентам придумывать, разрабатывать, проектировать и внедрять программные продукты, которые меняют мир. Чтобы понимать, в чем рынок будет нуждаться завтра, мы следим за трендами и внедряем их в свою работу, постоянно учимся и накапливаем опыт. Учиться в ЕРАМ легко: внутри компании есть тренинги и курсы, унифицированы требования к разным позициям и уровням и есть возможность получать новые профессии прямо на рабочем месте. Самарский офис EPAM активно растёт, и мы приглашаем присоединиться к нашей команде Oracle-разработчиков - изобретательных, инициативных, самостоятельных и стремящихся к развитию. Наши проекты: заказчики - самые крупные и известные компании со всего мира; высоконагруженные, базирующиеся на Oracle Database, системы с сконцентрированной в БД бизнес-логикой; многотерабайтные аналитические хранилища данных и отчетные системы как на базе продуктов Oracle (Oracle Business Intelligence, Oracle Data Integrator), так и c использованием продуктов других ведущих вендоров (Informatica, Tableau, Microstrategy, IBM Cognos, Tibco Spotfire и др.) Задачи: разработка SQL-запросов и хранимой логики; поиск узких мест системы и нахождение изящных вариантов оптимизации; проектирование баз данных (OLTP и OLAP); наполнение хранилищ данных и их анализ; участие в разработке клиентских приложений. Требования (мы ожидаем, что вы работали с): Oracle, SQL, PL/SQL; оптимизация запросов, аналитические функции; транзакции, блокировки; коллекции, объектные типы данных; триггеры, пакеты. Плюсом будет: опыт работы с хранилищами данных и BI-системами; навыки разработки клиентских приложений (Oracle Apex, HTML+CSS, JS, Java, .Net или Delphi); GIT, SVN, VSS; хорошее знание английского языка. Почему стоит идти к нам работать? это отличная возможность поработать в распределенной команде по Agile методологиям; мы работаем в тесном ежедневном взаимодействии с заказчиком; у нас действительно много сложных, интересных и масштабных задач; в дальнейшем можно перейти на любой другой проект компании; мы с удовольствием передаем наш опыт и знания (есть даже специальные Центры Компетенций и огромное подразделение, которое занимается развитием сотрудников); у нас есть все плюшки и бонусы, присущие современным IT компаниям и даже больше - кросс-фит, life event бонусы и программа релокации в другие страны.",Без требований,Без обязанностей,Без условий,Oracle 10G|Oracle 11G|SQL|PL/QSL|Delphi|Oracle 12c|Оптимизация запросов,0.2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
549,549,database engineer,Челябинск,63152.328244274824,99507.04225352114,Группа Компаний Мечел,2019-10-15T15:36:44+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Крупная российская металлоторговая компания ООО &quot;Мечел-Сервис&quot; приглашает на работу Программиста БД Oracle Обязанности: Участие в проектах по разработке систем управленческого и складского учета Участие в проектировании архитектуры распределенного ПО Участие в проектировании БД Требования: Высшее/сред.специальное образование (техническое) Знание теории баз данных, опыт работы с БД Oracle обязателен Опыт проектирования баз данных, информационных систем Опыт работы с Oracle Forms желательно Условия: Уровень заработной платы обсуждается по итогам собеседования; Оформление в штат в соответствии с ТК РФ, полностью официальный доход; Офис: ул.2-я Павелецкая, график работы 5/2. ООО «Мечел-Сервис» – крупнейшая металлоторговая сеть России. В составе компании 56 складских площадок. Подразделения «Мечел-Сервис» расположены в 40 городах России. Компания оказывает комплекс услуг по обработке металлопроката, а также предоставляет услуги по доставке и отгрузке продукции. «Мечел-Сервис» является дочерним сервисно-сбытовым подразделением одной из ведущих российских компаний ОАО «Мечел». «Мечел-Сервис» предлагает своим клиентам широкий ассортимент продукции ведущих российских производителей, входящих в группу «Мечел» (Челябинского металлургического комбината, «Ижсталь», Белорецкого металлургического комбината, завода «Уральская кузница») от проволоки и гвоздей до арматуры, качественного и нержавеющего проката"," Высшее/сред.специальное образование (техническое) Знание теории баз данных, опыт работы с БД Oracle обязателен Опыт проектирования баз данных, информационных систем Опыт работы с Oracle Forms желательно ", Участие в проектах по разработке систем управленческого и складского учета Участие в проектировании архитектуры распределенного ПО Участие в проектировании БД ," Уровень заработной платы обсуждается по итогам собеседования; Оформление в штат в соответствии с ТК РФ, полностью официальный доход; Офис: ул.2-я Павелецкая, график работы 5/2. ООО «Мечел-Сервис» – крупнейшая металлоторговая сеть России. В составе компании 56 складских площадок. Подразделения «Мечел-Сервис» расположены в 40 городах России. Компания оказывает комплекс услуг по обработке металлопроката, а также предоставляет услуги по доставке и отгрузке продукции. «Мечел-Сервис» является дочерним сервисно-сбытовым подразделением одной из ведущих российских компаний ОАО «Мечел». «Мечел-Сервис» предлагает своим клиентам широкий ассортимент продукции ведущих российских производителей, входящих в группу «Мечел» (Челябинского металлургического комбината, «Ижсталь», Белорецкого металлургического комбината, завода «Уральская кузница») от проволоки и гвоздей до арматуры, качественного и нержавеющего проката",Без ключевых навыков,0.2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
793,793,database engineer,Екатеринбург,65298.23008849558,96788.21739130435,ANCOR FinTech,2019-10-14T07:14:04+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Активно ищем Разработчика Oracle PL/ SQL в продуктовую команду одного из крупнейших банков России. Вакансия в городе Екатеринбург (кандидаты НЕ из Екатеринбурга, информация для вас ниже) . Основная задача – разработка аналитических сервисов для корпоративных клиентов по всей стране. Эти сервисы помогают пользователям проводить клиентскую и конкурентную аналитику, получать нужные данные и принимать верные стратегические решения. SQL – основной язык разработки для команды. Чем предстоит заниматься? – разрабатывать и реализовывать программные модули в Oracle PL/SQL; – разрабатывать новые и дорабатывать уже существующие приложения на Oracle Application Express; – тестировать и отлаживать инфосервисы; – проектировать БД и оптимизировать программные модули; – участвовать в создании логики интерфейсов. Чем в данном случае необходимо обладать для успеха? – глубокими знаниями SQL, опытом промышленной разработки PL/ SQL; – умением писать чистый и эффективный код с нуля; – если вы знаете HTML, CSS, JS (включая JQuery), это будет вашим преимуществом в конкурсе, но не является обязательным условием для участия. Вы можете рассчитывать на: – реальный профессиональный и карьерный рост ; – индивидуальный план обучения (учебные курсы, поездки на конференции и т.п); – адекватный фиксированный оклад + бонусы (ежеквартальные и годовые); – расширенный социальный пакет (ДМС, страхование жизни), бесплатный тренажерный зал; – просторный офис в центре города, в котором будет приятно провести значительную часть своего дня (есть комнаты отдыха и всё, что нужно для комфорта); – возможность работать с гибким графиком . !!! Очень важно !!! Если вы не из Екатеринбурга, но нашли для себя предложение интересным, поняли, что вакансия отвечает вашим требованиям и вы готовы к релокации – компания финансово и организационно поддержит успешного кандидата при переезде! Поэтому смело пишите, обсудим детали. Откликайтесь, задавайте свои вопросы, уточняйте! Мы открыты для диалога. Активная почта ниже.",Без требований,Без обязанностей,Без условий,Без ключевых навыков,0.2333333333333333,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
795,795,database engineer,Екатеринбург,65298.23008849558,96788.21739130435,СКБ ЛАБ,2019-10-21T13:43:03+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Мы - СКБ ЛАБ. У нас в работе МНОГО интересных проектов, требующих незамедлительного участия. Мы набираем команду разработчиков с желанием развиваться, которые смогут не просто реализовать идеи, но и сделать это красиво. У нас уже работают талантливые разработчики, архитекторы, проектировщики, тестировщики, использующие новые технологии в реальных проектах, которые мы создаем с нуля. Ниже описаны возможные варианты применения Ваших профессиональных интересов. Требование к кандидатам: Знание и опыт разработки на PL/SQL, SQL, Oracle Желание работать в команде Ответственное отношение к выпускаемому продукту Дополнительным преимуществом будет: Опыт разработки на PL+ Знание ЦФТ-Банк, платформы IBSO Опыт разработки банковского ПО Умение работать с системами контроля версий Знание принципов программирования для платформы 2MCA Что предлагаем: Уровень дохода зависит от ваших навыков и технических знаний; Премии, не только по итогам года; Возможность развить &quot;профессиональную мускулатуру&quot;, работая вместе с профессионалами. Познакомиться с лучшими практиками; Возможность участвовать в развитии, предлагать идеи и технологии; Участие в мероприятиях для профессионального развития. Тренинги, учебные курсы; Удобное рабочее место с современной техникой; Компенсация занятий спортом; Оплата паркинга для автолюбителей, и Е-карта для пешеходов; Отличный офис с великолепным панорамным видом на город, кухней (фрукты, плюшки, чай, кофе прилагаются - как без глюкозы?;)) и зонами релакса; Велопарковка, душ, кикер, аэрохоккей, боксёрская груша и гимнастический станок; Отлаженные процессы. Минимум бюрократии; Лояльный график рабочего дня. Мы ценим: Тех, кто уважает мнение Заказчика Тех, кто не боится ответственности Тех, кто работает на результат Тех, кто не требует микроменеджмента и постоянного менторства Тех, кто сказал, что все будет готово в пятницу, и финишировал в четверг вечером Тех, кто готов делиться своим опытом Красивый код Чувство юмора Мы живем по agile: Скрам, канбан... знакомо? Отлично! Если не знакомо - не страшно, расскажем! Приходите. Ждем Вас в нашем офисе! Обсудим больше подробностей. З.Ы.: При любых вопросах - не стесняйтесь писать.",Без требований,Без обязанностей,Без условий,ORACLE|Oracle Pl/SQL|PL+|IBSO,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
981,981,database engineer,Екатеринбург,65298.23008849558,96788.21739130435,МТС,2019-10-07T17:04:43+0300,От 1 года до 3 лет,Полный день,Полная занятость,"МТС - ведущий телекоммуникационный оператор России и стран СНГ. Компания предоставляет широкий спектр услуг и продуктов более чем 100 миллионам абонентов. Бренд МТС признан самым дорогим российский телекоммуникационных брендом и входит в десятку крупнейших по стоимости мировых телекоммуникационных брендов.В сегодняшнем Digital -мире IT становится конкурентным преимуществом. IT направление в нашей компании стремительно развивается. Мы создаем инновационные решения для клиентов и сотрудников компании. Мы применяем современные framework’и и практики разработки. Мы даем возможности для роста и раскрытия потенциала. Мы делаем МТС Digital компанией. В данный момент у нас открыта вакансия Администратора Oracle. Вы будете выполнять следующие задачи: Поддержка, настройка, разворачивание СУБД тестовых стендов компании. Деперсонализация и настройка при пересоздании тестовых стендов. Автоматизация рутинных процессов. Возможна настройка linux-окружения СУБД, автоматизация на хостах СУБД. Мы ждем от Вас: Уверенное владение Oracle PL/SQL, умение как написать свой сложный запрос, так и разобраться с чужим. Умение писать пользовательские процедуры, джобы шедулера и т.п. Умение настраивать и устанавливать Oracle. Плюсом будет: Умение работать с PostgreSQL, MySQL (Кластер MySQL), InfluxDB. Опыт администрирования в Linux и Windows Со своей стороны мы предлагаем: Развитие в экспертных командах. Стабильная заработная плата + премии. Обучение, развивающие программы и мероприятия. ДМС, корпоративная связь. Скидки и мероприятия от компаний партнеров. Офис в центре Екатеринбурга. График работы: 5/2 с 9 до 18 (± час), сокращенная пятница.",Без требований,Без обязанностей,Без условий,ORACLE|SQL|Oracle Pl/SQL|Linux|Oracle Siebel CRM,0.4666666666666667,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
