,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills,days,"(12995.0, 43440.0]","(43440.0, 73885.0]","(73885.0, 104330.0]","(104330.0, 134775.0]","(134775.0, 165220.0]","(165220.0, 195665.0]","(195665.0, 226110.0]","(226110.0, 256555.0]","(256555.0, 287000.0]","(18500.0, 61555.556]","(61555.556, 104611.111]","(104611.111, 147666.667]","(147666.667, 190722.222]","(190722.222, 233777.778]","(233777.778, 276833.333]","(276833.333, 319888.889]","(319888.889, 362944.444]","(362944.444, 406000.0]",Екатеринбург,Краснодар,Новосибирск,Самара,Челябинск,Более 6 лет,Нет опыта,От 1 года до 3 лет,От 3 до 6 лет,Вахтовый метод,Гибкий график,Полный день,Сменный график,Удаленная работа,Полная занятость,Проектная работа,Стажировка,Частичная занятость,Без ключевых навыков,Linux,Bash,Английский язык,Работа в команде,Администрирование серверов Linux,VoIP,Другое
646,646,devops,Челябинск,35000.0,110000.0,БМИ ТЕЛЕКОМ,2019-10-19T07:18:03+0300,От 1 года до 3 лет,Гибкий график,Полная занятость,"Наша команда много лет работает на российском телеком-рынке и активно осваивает новые отрасли в России и мире. Мы любим открытое ПО и стараемся делать свой вклад в его развитие. Мы следуем современным методикам ведения работы и любим изучать новое. Обязанности: Администрирование серверной инфраструктуры, состоящей из облачных ресурсов, &quot;железных&quot; серверов и телекоммуникационного оборудования Администрирование телекоммуникационного программного обеспечения Администрирование рабочих станций Linux/Windows Активная работа над созданием и внедрением новых телекоммуникационных сервисов (Ansible/Docker/Kubernetes) Автоматизация бизнес-процессов Ведение документации по проектам и инфраструктуре Требования: Уверенные знания ОС Linux Понимание принципов актуальных сетевых технологий и стандартов Опыт работы с VoIP Навыки программирования Bash (или любого языка программирования) Умение работать со стеком DevOps (Ansible/Docker/Kubernetes etc) Английский язык (как минимум, возможность чтения статей и документации) Способность и желание обучаться новому Условия: Работа по ТК РФ в офисе в центре города Возможность удаленной работы Корпоративный ноутбук и иное необходимое оборудование Дружный коллектив, печеньки и совместные мероприятия"," Уверенные знания ОС Linux Понимание принципов актуальных сетевых технологий и стандартов Опыт работы с VoIP Навыки программирования Bash (или любого языка программирования) Умение работать со стеком DevOps (Ansible/Docker/Kubernetes etc) Английский язык (как минимум, возможность чтения статей и документации) Способность и желание обучаться новому "," Администрирование серверной инфраструктуры, состоящей из облачных ресурсов, &quot;железных&quot; серверов и телекоммуникационного оборудования Администрирование телекоммуникационного программного обеспечения Администрирование рабочих станций Linux/Windows Активная работа над созданием и внедрением новых телекоммуникационных сервисов (Ansible/Docker/Kubernetes) Автоматизация бизнес-процессов Ведение документации по проектам и инфраструктуре "," Работа по ТК РФ в офисе в центре города Возможность удаленной работы Корпоративный ноутбук и иное необходимое оборудование Дружный коллектив, печеньки и совместные мероприятия",Linux|Bash|Английский язык|Работа в команде|Администрирование серверов Linux|VoIP,0.06666666666666668,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0
339,339,devops,Краснодар,50000.0,93415.5844155844,Positive Technologies,2019-10-21T10:04:38+0300,От 1 года до 3 лет,Полный день,Полная занятость,"О компании Positive Technologies – разработчик ПО в сфере информационной безопасности международного уровня. О продукте PT MultiScanner — многоуровневая система защиты от вредоносного ПО. Она позволяет выявлять вирусные угрозы, блокировать их распространение в инфраструктуре и обнаруживать скрытое присутствие вредоносных программ, используя оптимальный набор антивирусов, передовую «песочницу» и репутационные списки Positive Technologies. Стек основных технологий: Ubuntu/Debian, Python, Ansible, k8s, Docker, PostgreSQL (stolon), RabbitMQ, ElasticSearch. Чем предстоит заниматься: автоматизацией деплоя для разных окружений, мы используем Terraform и Ansible; разработкой CI/CD pipeline для выпуска продукта; развитием мониторинга инфраструктурных и бизнес метрик на Prometheus; разработкой инсталлятора для коробочной версии продукта; администрированием инфраструктуры: решением возникающих проблем, масштабированием и обеспечением отказоустойчивости, балансировкой нагрузки и резервным копированием; обмен опытом и решениями с инфраструктурными командами соседних проектов с аналогичным стеком технологий; в обозримой перспективе использование облачных площадок для развертывания. Чем НЕ придется заниматься: поддержкой общих ресурсов внутри компании (Gitlab, Jira, Confluence, ...) - для этого есть отдельная команда. Что необходимо кандидату: понимать жизненный цикл разработки ПО и принципы CI/CD; опыт системного администрирования Linux обязателен; разделять подход “infrastructure as a code”; опыт работы с системами configuration management; умение писать на python и, желательно, bash; опыт работы с системами виртуализации; навык работы с docker, умение упаковывать любой софт в контейнер; опыт организации мониторинга инфраструктуры; опыт работы с AWS/Azure/GCE будет плюсом; английский язык не ниже intermediate. Что взамен: Удаленная работа с полноценным графиком; Официальное трудоустройство и белая зарплата; ДМС со стоматологией; Шесть недель оплачиваемого отпуска; Можно самому выбрать, во сколько начинается твой рабочий день.",Без требований,Без обязанностей,Без условий,Без ключевых навыков,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
327,327,devops,Краснодар,50000.0,93415.5844155844,Медиа-тел,2019-10-21T15:26:10+0300,От 1 года до 3 лет,Полный день,Полная занятость,"О компании: Компания «Медиа-Тел» специализируется на консалтинге, а также на разработке, внедрении и сопровождении программных продуктов в области телекоммуникационных услуг мобильной и стационарной связи. Богатая база для приобретения опыта работы в телекоммуникациях. Мы компания-разработчик телекоммуникационных решений, установленных на сети ведущих операторов мобильной и фиксированной связи. Обязанности: Исследование и решение проблем, возникающих в процессе поддержки высоконагруженных, отказоустойчивых телекоммуникационных решений с высокой доступностью. Написание релизов для деплоя ПО. Тестирование выданных решений на макетах. Проведение работ и выдача инструкций по установке обновлений на поддерживаемых платформах. Дежурства &quot;on-call&quot;. Требования: Высшее техническое образование. Знание Linux (RHEL/CentOS). Понимание как работает ОС, основные команды \ настройки. Умение разворачивать VM с linux (VirtualBox, Libvirt и т.д.) для построения тестовых систем. Знание одного из языков Bash или Python. Нужно уметь читать \ писать скрипты. Опыт работы с СУБД: MySQL, PostgreSQL. Знание схем репликации, возможных настроек, умение писать SQL запросы. Знание одной из систем мониторинга: Zabbix, Munin, Prometheus и т.д. Английский язык (чтение документации). Умение и желание изучать новые языки/технологии. Активность, инициативность, ответственность. Будет плюсом: Знания в телекоме SS7, SIP. Опыт использования Ansible. Опыт работы с Docker, Vagrant. Опыт работы с Git, Jira, Redmine, Jenkins. Навыки программирования. Условия: Полный рабочий день. Понедельник-Пятница с 10:00 до 19:00. Компенсационный пакет: Оплачиваемый отпуск 28 календарных дней. Оплачиваемый больничный лист. Оплачиваемая сотовая связь. ДМС. Корпоративное обучение английскому языку."," Высшее техническое образование. Знание Linux (RHEL/CentOS). Понимание как работает ОС, основные команды \ настройки. Умение разворачивать VM с linux (VirtualBox, Libvirt и т.д.) для построения тестовых систем. Знание одного из языков Bash или Python. Нужно уметь читать \ писать скрипты. Опыт работы с СУБД: MySQL, PostgreSQL. Знание схем репликации, возможных настроек, умение писать SQL запросы. Знание одной из систем мониторинга: Zabbix, Munin, Prometheus и т.д. Английский язык (чтение документации). Умение и желание изучать новые языки/технологии. Активность, инициативность, ответственность. Будет плюсом: Знания в телекоме SS7, SIP. Опыт использования Ansible. Опыт работы с Docker, Vagrant. Опыт работы с Git, Jira, Redmine, Jenkins. Навыки программирования. "," Исследование и решение проблем, возникающих в процессе поддержки высоконагруженных, отказоустойчивых телекоммуникационных решений с высокой доступностью. Написание релизов для деплоя ПО. Тестирование выданных решений на макетах. Проведение работ и выдача инструкций по установке обновлений на поддерживаемых платформах. Дежурства &quot;on-call&quot;. ", Полный рабочий день. Понедельник-Пятница с 10:00 до 19:00. Компенсационный пакет: Оплачиваемый отпуск 28 календарных дней. Оплачиваемый больничный лист. Оплачиваемая сотовая связь. ДМС. Корпоративное обучение английскому языку.,Bash|Linux|MySQL|PostgreSQL|Nginx|Python|Ansible|CentOS|DevOps,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
960,960,devops,Екатеринбург,65298.23008849558,96788.21739130435,ARTOX,2019-10-04T16:43:37+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Команда разработки Минского офиса в поисках DevOps engineer (с возможностью релокации из других стран). У нас есть классные бенефиты, ведь мы: постоянно развиваем своих сотрудников и организовываем бесплатные курсы по английскому языку планируем профессиональное и карьерное развитие (“карьерный лифт”) при релокации сотрудника из другой страны первое время оплачиваем ему жилье предоставляем возможность приобретения техники в личное пользование с полной или частичной компенсацией расходов организовываем тимбилдинги и яркие корпоративные праздники обустроили зоны отдыха, где можно сжечь на тренажерах калории или покататься на качелях — в общем, устроить самый настоящий chill out! открыли собственное корпоративное кафе в офисе дарим подарки на Дни Рождения и годовщины работы в компании а еще у нас есть программа лояльности для сотрудников (ты можешь ходить по скидкам в разные заведения наших клиентов). Обязанности: работа в тесном контакте с командой разработки для поддержки и оптимизации разрабатываемых систем и серверов; проектирование и настройка логики работы системы; управление, производительность, настройка баз данных и серверов приложений, настройка на их основе кластеров и HA-систем, периодическое обновление ПО; сохранение и укрепление стабильности и безопасности развития инфраструктуры проектов ,и, главное - решение возникающих при этом всем проблем; оптимизация веб-приложений и баз данных; предоставление отчетов 24/7 о статусе работы продукта. Требования: опыт администрирования Windows/Linux систем; опыт работы с ESXi и AWS; опыт администрирования Web и Application серверов (nginx, apache, etc); опыт администрирования и оптимизации Баз Данных (MySQL, Postgre, etc); использование при этом инструментов для автоматизации провижининга и доставки изменений (опыт работы и настройки Ansible/Chef/Puppet); знание скриптовых языков программирования (bash, perl, python или ruby); знакомство с ITIL методологией. Что предлагаем мы: работу в команде, создающей проекты международного уровня - каждый день вы будете ощущать пользу от своей работы для ваших друзей и знакомых; современный стильный офис (2 мин. от ст. м. «Парк Челюскинцев») с собственным кафе, спорт. зоной и релакс-зоной; тимбилдинги и запоминающиеся корпоративные мероприятия; высокую оплату труда и полный соц. пакет. ARTOX Lab - резидент ПВТ; мы научим передвигаться по офису на скейте и самокате! ДАВАЙТЕ СКОРЕЕ К НАМ!",Без требований," работа в тесном контакте с командой разработки для поддержки и оптимизации разрабатываемых систем и серверов; проектирование и настройка логики работы системы; управление, производительность, настройка баз данных и серверов приложений, настройка на их основе кластеров и HA-систем, периодическое обновление ПО; сохранение и укрепление стабильности и безопасности развития инфраструктуры проектов ,и, главное - решение возникающих при этом всем проблем; оптимизация веб-приложений и баз данных; предоставление отчетов 24/7 о статусе работы продукта. ",Без условий,Oracle Application Server|Настройка серверов Apache|Администрирование серверов Linux|MySQL|Linux|PostgreSQL|ITIL|Bash|Perl|Python,0.5666666666666667,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0
963,963,devops,Екатеринбург,65298.23008849558,96788.21739130435,MOS.RU,2019-10-14T18:44:28+0300,От 3 до 6 лет,Удаленная работа,Полная занятость,"Mos.ru – главный портал Москвы с городскими новостями и афишей, информацией о деятельности Мэра и Правительства и каталогом электронных услуг, которых сегодня уже больше двухста. Портал посещают ежедневно 550 тыс. москвичей, месячная аудитория – 8 млн. пользователей, пиковая нагрузка - более 2.5 тысяч запросов в секунду. Сейчас в команде 3 DevOps-инженера, которые поддерживают текущую инфраструктуру. Мы ищем еще одного, который поможет нам реализовать планы по переносу нашей инфраструктуры на kubernetes. Задачи, которые предстоит решить: поддержка dev/test/prod окружений; создание и настройка циклов CI/CD (Ansible+Jenkins+Kubernetes / Gitlab+Chef+Docker (текущее состояние) -&gt; Ansible+Gitlab+Kubernetes (целевая схема)); развитие системы мониторинга и триггеров по техническим и продуктовым метрикам? систем логирования и прочих инфраструктурных инструментов; создание удобной среды/процессов разработки для инженеров (есть много готовых наработок и работающий прототип); активно интегрироваться в работу QA и DEV. От вас мы ожидаем: опыт работы с Linux (у нас Rhel, CentOs, Ubuntu); опыт работ с WEB- и Application-серверами: Nginx, etc (чем больше, тем лучше); опыт работы с RDBMS (NoSQL будет плюсом): PostgreSQL, MySQL — настройка, репликация, отказоустойчивость; опыт использования компонентов SCM (vagrant, chef, ansible, docker etc.); умение быстро разбираться в существующих решениях и скриптах, находить пути оптимизации и улучшений. Будет плюсом, если вы: работали с почтовыми системами; умеете разворачивать и настраивать системы мониторинга (Zabbix, Prometheus) и логирования (ELK, grаylog); программируете на скриптовых языках: Bash, Python, Ruby, Perl и пр. У нас вы получите: Работу со смыслом. Возможность создавать удобные сервисы, которые улучшают жизнь москвичей. Профессиональную прокачку и поддержку. Руководитель и коллеги с огромным опытом продуктовой разработки, у которых есть, чему поучиться, и которые всегда готовы помочь. Удобную ОС и лицензионный софт, а также быстрые компы и большие мониторы. Обучение и участие в конференциях. Удаленная работа на полную занятость. Удобный график. Гибкое начало дня с 9 до 11. Зарплату на рыночном уровне, на карту и всегда вовремя.",Без требований,Без обязанностей,Без условий,Linux|PostgreSQL|Bash|kubernetes|GitlabCI|Jenkins|Ansible|Docker,0.2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
880,880,devops,Екатеринбург,65298.23008849558,96788.21739130435,Targem Games,2019-09-25T11:15:22+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Компания Targem Games, крупнейший разработчик компьютерных и консольных игр на Урале, приглашает DevOps инженера на постоянную работу в офис в Екатеринбурге. Чем вы будете заниматься: Работать по agile. Администрировать стек девопс-тулинга, начиная с железа: - Совместно с департаментом ИТ участвовать в конфигурации мониторинга инфраструктуры; - Мониторить проблемы и своевременно реагировать; - При необходимости, инициировать замену и\или приобретение оборудования и ПО; - Выполнять апгрейды, миграции на новое железо\софт; - Конфигурировать бекапы и следить за их наличием, периодически тестировать их. Разрабатывать CI/CD пайплайны и программные инструменты в соответствии с требованиями команд разработки и тестирования. Взаимодействовать с инфраструктурной командой для улучшения инструментов и решения проблем. Совместно с командой специалистов департамента ИТ участвовать в решении вопросов использования ИТ-инфраструктуры. Разрабатывать и поддерживать техническую документацию. Администрировать внутриофисное dev-окружение игровых серверов. Администрировать кластер staging/production игровых серверов. Сотрудничать с ops-командой нашего издателя: - Управлять VPN доступами в их сети (участвовать в генерации, тестировании и передаче ключей доступа, выполнять конфигурацию доступов(puppet+git+gerrit), консультировать пользователей по проблемам впн доступов, отзывать ключи); - Консультировать по особенностям работы игровых сервисов; - Оказывать содействие в миграциях серверов между датацентрами; - Реагировать на инциденты, связанные с работой серверной фермы; - Инициировать заказ на развертывание или вайп серверов. У нашего кандидата есть: Технический английский. Понимание принципов работы сетевых протоколов и маршрутизации в IP-сетях. Понимание различий между системами виртуализации/изоляции окружений. Уверенный администратор Linux (отличные навыки с sed/awk/grep и прочим юзерлендом). Обширный опыт администрирования Open Source ПО. Опыт работы с системами управления конфигурациями. Опыт работы с системами виртуализации. Опыт работы с Docker и Dockerfile. Опыт конфигурации систем мониторинга. Уверенное владение bash, python. Опыт администрирования БД. Опыт работы с системами контроля версий. Коммуникабельность, умение работать в команде. Бонусом будет: Положительный опыт работы по agile. Опыт администрирования MacOS. Владение MSbuild, Ant, fabric. Опыт организации сбора логов. Опыт с Ansible. Опыт администрирования postgresql, mongodb. Опыт работы с Teamcity, Jenkins. Опыт работы c Kubernetes. Опыт разработки приложений на любых языках. Работа в компании Targem Games - это: Работа в крупнейшей компании-разработчике компьютерных и консольных игр на Урале. Творческая, демократичная обстановка, комфортные условия труда, регулярные корпоративные мероприятия. Уютный и современный офис недалеко от центра Екатеринбурга. Возможность профессионального роста. Оформление по ТК РФ, полный рабочий день с 10:00 до 19:00. Частичная компенсация питания, собственный тренажерный зал, при желании - частичная компенсация занятий в фитнес клубе Gymnasium.",Без требований,Без обязанностей,Без условий,Без ключевых навыков,0.8666666666666667,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
872,872,devops,Екатеринбург,65298.23008849558,96788.21739130435,МегаФон,2019-10-07T09:19:33+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Федеральный оператор мобильной и фиксированной связи ПАО МегаФон в связи с запуском Фабрики микросервисов приглашает принять участие в конкурсе на вакансию- DevOps engineer. Ваши будущие задачи: Разработка программных решений для платформ Бизнес-сервисов, в том числе на базе OpenSource решений Разработка архитектуры Разработка и поддержка решений для непрерывной доставки и интеграции ПО для платформ Бизнес-сервисов (CI/CD), используя практики и подходы DevOps Разработка новых подходов, развитие и сопровождение систем управления конфигурациями Разработка и поддержка решений для развертывания тестовых зон платформ Бизнес-сервисов Разработка систем для реакции на типовые инциденты, автоматизация часто повторяющихся процессов на платформе Бизнес-сервисов Совместно с командами BSS проводить аналитику платформ Бизнес-сервисов и связанных подсистем, проводить оптимизацию, разрабатывать новые программно-аппаратные комплексы. От кандидата мы ждем: Опыт работы с инструментами управления конфигурацией Ansible, Terraform, Forman, Puppet, Chef – любые. Знание языков, Shell, Python, Ruby, C – два любых Опыт работы с системами контейнеризации Docker-Swarm, Kubernetes, Cattle - любые Знание ОС Linux на уровне администратора системы. Знание виртуализации KVM, VMware, XEN, Hyper-V – любая. Желательно: опыт работы с высоконагруженными платформами – Docker, Kubernetes, Nginx, HAProxy Желательно: знать модель OSI и уметь применять знания на практике Мы используем в работе: CI/CD - GitLab, Jenkins, Terraform, Artifactory, Vault, Rancher OC – RHEL, CentOS, Ubuntu Базы данных – Oracle, PostgreSQL, mySQL, DataStax(Cassandra), Tarantool, ClickHouse Условия: Работа в одной из самых крупных телекоммуникационных компаний России Официальное оформление в штат компании с первого дня работы и полностью «белая» заработная плата Возможность удаленной работы несколько дней в неделю Теплая и дружественная атмосфера в коллективе, помощь в адаптации на новом месте ДМС (включая стоматологию и возможность льготного подключения родственников к программе) Страхование жизни Так как мы заинтересованы в Вашем развитии, мы предлагаем компенсацию по изучению английского языка Компенсация мобильной связи МегаФон Частичная компенсация любого фитнес-абонемента и возможность участия в различных корпоративных спортивных секциях, командах и состязаниях Внутренние конкурсы с достойными призами и зажигательные корпоративные мероприятия Настольный хоккей на территории офиса",Без требований,Без обязанностей," Работа в одной из самых крупных телекоммуникационных компаний России Официальное оформление в штат компании с первого дня работы и полностью «белая» заработная плата Возможность удаленной работы несколько дней в неделю Теплая и дружественная атмосфера в коллективе, помощь в адаптации на новом месте ДМС (включая стоматологию и возможность льготного подключения родственников к программе) Страхование жизни Так как мы заинтересованы в Вашем развитии, мы предлагаем компенсацию по изучению английского языка Компенсация мобильной связи МегаФон Частичная компенсация любого фитнес-абонемента и возможность участия в различных корпоративных спортивных секциях, командах и состязаниях Внутренние конкурсы с достойными призами и зажигательные корпоративные мероприятия Настольный хоккей на территории офиса",ORACLE|Ruby|Nginx|SQL|PostgreSQL|MongoDB|Python,0.4666666666666667,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1036,1036,devops,Самара,75416.09183673469,111159.85714285713,Maxima,2019-10-09T18:20:25+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Мы расширяем команду DevOps и ищем еще одного инженера. Вакансия предусматривает переезд в г. Казань. Чем предстоит заниматься: Сопровождение полного комплекса CI/CD; Разворачивание тестовых сред; Взаимодействие с разработчиками, тестировщиками и сисадминами; Поддержка инфраструктуры на Linux серверах Требования: Опыт настройки билд-сервера (Teamcity или аналоги). Опыт настройки деплой-сервера(Octopus или аналоги). Опыт работы с системами контроля версия (git или аналоги). Опыт написания скриптов. Успешному кандидату мы готовы предложить: Работу в профессиональной команде. Стабильность и достойную заработную плату (уровень дохода обсуждается индивидуально). Гибкий график работы. Официальное оформление, полис ДМС. Комфортный, уютный офис. Корпоративные мероприятия, team-building, волейбол и настольный теннис с коллегами каждую неделю. Для иногородних предоставляется помощь в переезде. Свой спорт зал, кафе, библиотека, курсы английского языка, обучения и множество других бонусов.",Без требований,Без обязанностей,Без условий,Без ключевых навыков,0.4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1142,1142,devops,Самара,75416.09183673469,111159.85714285713,Netcracker Technology Corp.,2019-09-30T10:44:15+0300,От 3 до 6 лет,Полный день,Полная занятость,"NetCracker Technology Corp., a large software development company and one of the world’s most respected TOMS Solutions (Telecommunications Operations and Management Solutions) companies, has an opening for Senior DevOps Engineer for Cloud Solutions/ Старший DevOps инженер облачных решений Responsibilities: Automate deployment and lifecycle of complex microservice-based application deployed in cloud ecosystem (Kubernetes/OpenShift, OpenStack). Strict availability requirements are applied to cloud service and its lifecycle operations (patch installation, switch to redundant instance) Participate in application and infrastructure rollout in customer premises Operations, monitoring and maintenance of production and test environments Troubleshoot installation issues on environment (test, production) Take part in continuous integration/delivery pipeline automation projects Technical Requirements: Excellent experience of Linux Experience in scripting (Perl/Python/Bash) Managing continuous integration servers like Jenkins. Advanced Jenkins experience desired. Understanding of Continuous Integration and Continuous Deployment a must. Understanding of Linux High Availability stack Understanding and experience in Docker infrastructure rollout Experience in any of automation tools (Ansible, Chef, Puppet, Salt) Network design principles (load balancing, firewalls, VLAN) Software load balancing: HAProxy, nginx Work with disturbed file storages/file systems (NFS, SAN) Experience in monitoring applications for availability and performance Experience in supporting cloud applications Strong infrastructure and technology troubleshooting skills required Ability to perform on call responsibilities in response to incidents Optional Requirements: Experience in Linux virtualization PostgreSQL, MongoDB and Elasticsearch installation and administration Experience in Openstack Experience with Cloud Computing services (AWS / Azure / Google Cloud) Knowledge of source control and build automation tools We offer: Opportunities for professional growth and career development Medical insurance for employees Sports activities and corporate events Friendly atmosphere Salary will be discussed individually with the successful candidate",Без требований,Без обязанностей,Без условий,Без ключевых навыков,0.7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1156,1156,devops,Самара,75416.09183673469,111159.85714285713,MOS.RU,2019-10-14T18:44:28+0300,От 3 до 6 лет,Удаленная работа,Полная занятость,"Mos.ru – главный портал Москвы с городскими новостями и афишей, информацией о деятельности Мэра и Правительства и каталогом электронных услуг, которых сегодня уже больше двухста. Портал посещают ежедневно 550 тыс. москвичей, месячная аудитория – 8 млн. пользователей, пиковая нагрузка - более 2.5 тысяч запросов в секунду. Сейчас в команде 3 DevOps-инженера, которые поддерживают текущую инфраструктуру. Мы ищем еще одного, который поможет нам реализовать планы по переносу нашей инфраструктуры на kubernetes. Задачи, которые предстоит решить: поддержка dev/test/prod окружений; создание и настройка циклов CI/CD (Ansible+Jenkins+Kubernetes / Gitlab+Chef+Docker (текущее состояние) -&gt; Ansible+Gitlab+Kubernetes (целевая схема)); развитие системы мониторинга и триггеров по техническим и продуктовым метрикам? систем логирования и прочих инфраструктурных инструментов; создание удобной среды/процессов разработки для инженеров (есть много готовых наработок и работающий прототип); активно интегрироваться в работу QA и DEV. От вас мы ожидаем: опыт работы с Linux (у нас Rhel, CentOs, Ubuntu); опыт работ с WEB- и Application-серверами: Nginx, etc (чем больше, тем лучше); опыт работы с RDBMS (NoSQL будет плюсом): PostgreSQL, MySQL — настройка, репликация, отказоустойчивость; опыт использования компонентов SCM (vagrant, chef, ansible, docker etc.); умение быстро разбираться в существующих решениях и скриптах, находить пути оптимизации и улучшений. Будет плюсом, если вы: работали с почтовыми системами; умеете разворачивать и настраивать системы мониторинга (Zabbix, Prometheus) и логирования (ELK, grаylog); программируете на скриптовых языках: Bash, Python, Ruby, Perl и пр. У нас вы получите: Работу со смыслом. Возможность создавать удобные сервисы, которые улучшают жизнь москвичей. Профессиональную прокачку и поддержку. Руководитель и коллеги с огромным опытом продуктовой разработки, у которых есть, чему поучиться, и которые всегда готовы помочь. Удобную ОС и лицензионный софт, а также быстрые компы и большие мониторы. Обучение и участие в конференциях. Удаленная работа на полную занятость. Удобный график. Гибкое начало дня с 9 до 11. Зарплату на рыночном уровне, на карту и всегда вовремя.",Без требований,Без обязанностей,Без условий,Linux|PostgreSQL|Bash|kubernetes|GitlabCI|Jenkins|Ansible|Docker,0.2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
