,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills,days,"(12995.0, 43440.0]","(43440.0, 73885.0]","(73885.0, 104330.0]","(104330.0, 134775.0]","(134775.0, 165220.0]","(165220.0, 195665.0]","(195665.0, 226110.0]","(226110.0, 256555.0]","(256555.0, 287000.0]","(18500.0, 61555.556]","(61555.556, 104611.111]","(104611.111, 147666.667]","(147666.667, 190722.222]","(190722.222, 233777.778]","(233777.778, 276833.333]","(276833.333, 319888.889]","(319888.889, 362944.444]","(362944.444, 406000.0]",Екатеринбург,Краснодар,Новосибирск,Самара,Челябинск,Более 6 лет,Нет опыта,От 1 года до 3 лет,От 3 до 6 лет,Вахтовый метод,Гибкий график,Полный день,Сменный график,Удаленная работа,Полная занятость,Проектная работа,Стажировка,Частичная занятость,Без ключевых навыков,JavaScript,Git,jQuery,Другое
253,253,frontend,Краснодар,15000.0,85916.66666666669,Russian Robotics,2019-10-14T17:53:21+0300,Нет опыта,Гибкий график,Стажировка,"Мы Russian Robotics, возглавляем рейтинг лучших веб-студий в Краснодаре (по данным CMS Magazine) Мы разрабатываем и развиваем крутые сайты как для небольших компаний, так и для крупных федеральных. Много работаем с финансовым сектором. У нас вы точно найдете проект, который придется вам по душе! С чем работать? У нас есть проекты различного уровня, от классической верстки страниц на HTML+CSS+jQuery и до крупных проектов со взрослой сборкой на webpack с использованием современных фреймворков и серверным рендерингом. Какие задачи? Развивать существующие интернет-проекты и разрабатывать новые, контролировать качество своей работы и отвечать за результат, развиваться как профессионал, осваивать и внедрять современные технологии в своем направлении деятельности. А что с командой? Все front-end и back-end разработчики в штате и находятся в одном помещении, мы постоянно коммуницируем и помогаем друг-другу. Так же у нас своя команда дизайнеров и SEO-специалистов. Как попасть в нашу команду? - Кайфуешь от web-технологий? - Хочешь разрабатывать крутые проекты? - Постоянно развиваешься и готов учиться? - Много вопросов и идей в сфере web разработки, но не с кем поговорить и обсудить их? Если на все большенство вопросов ответ “да”, то ты подходишь нам! Не знаешь технологий и мало опыта? Не страшно, мы обучим тебя совершенно бесплатно! Почему у нас хорошо? оформим все в соответствии с ТК РФ предложим индивидуальный график обсудим программу персонального развития и обучения",Без требований,Без обязанностей,Без условий,jQuery|CSS|HTML|JavaScript,0.2333333333333333,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
786,786,frontend,Екатеринбург,20000.0,30000.0,Softplicity,2019-10-20T00:01:16+0300,От 3 до 6 лет,Удаленная работа,Частичная занятость,"Обязанности: Верстка страниц сайта HTML/CSS/JavaScript на основе готовых psd-макетов; Верстка страниц сайта HTML/CSS/JavaScript на основе макетов из Figma; Поддержка и доработка уже существующих сайтов (добавить страницу, передвинуть меню и т.п.); Установка/перенос сайтов на хостинг; Редактирование чужого кода, замена картинок, текста; Обновление существующих решений‚ исправление ошибок и т.п.; Разработка/ изменение функционала сайта. Требования: Уверенное знание/владение: CSS, HTML, HTML5, PHP, Adobe Photoshop, CSS3, JavaScript, jQuery, Ajax, Adobe Illustrator, Figma, MySQL, PHPUnit. Английский язык - Intermediate (желателен), Pre-Intermediate (обсуждаем) Условия: Удаленная работа с гибким графиком. Ставим задачу и срок исполнения, оплата по результату. Размер оплаты по договоренности. Работа постоянная, из месяца в месяц. На полный день у нас нет заданий, но на частичную ежемесячную занятость всегда найдется. Не настаиваем на дневном графике, если вы ночной работник. Обещаем адекватное отношение, освобождаем от скучных заседаний и утверждений в бесконечных инстанциях. Работаем быстро и креативно. Результат видим сразу (и гордимся)."," Уверенное знание/владение: CSS, HTML, HTML5, PHP, Adobe Photoshop, CSS3, JavaScript, jQuery, Ajax, Adobe Illustrator, Figma, MySQL, PHPUnit. Английский язык - Intermediate (желателен), Pre-Intermediate (обсуждаем) "," Верстка страниц сайта HTML/CSS/JavaScript на основе готовых psd-макетов; Верстка страниц сайта HTML/CSS/JavaScript на основе макетов из Figma; Поддержка и доработка уже существующих сайтов (добавить страницу, передвинуть меню и т.п.); Установка/перенос сайтов на хостинг; Редактирование чужого кода, замена картинок, текста; Обновление существующих решений‚ исправление ошибок и т.п.; Разработка/ изменение функционала сайта. "," Удаленная работа с гибким графиком. Ставим задачу и срок исполнения, оплата по результату. Размер оплаты по договоренности. Работа постоянная, из месяца в месяц. На полный день у нас нет заданий, но на частичную ежемесячную занятость всегда найдется. Не настаиваем на дневном графике, если вы ночной работник. Обещаем адекватное отношение, освобождаем от скучных заседаний и утверждений в бесконечных инстанциях. Работаем быстро и креативно. Результат видим сразу (и гордимся).",JavaScript|HTML|jQuery|Adobe Photoshop|CSS|HTML5|CSS3|PHP|Ajax|Adobe Illustrator|Английский язык|MySQL|PHPUnit,0.03333333333333333,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
359,359,frontend,Краснодар,22750.0,45500.0,Cool.club,2019-10-19T12:36:11+0300,От 1 года до 3 лет,Удаленная работа,Полная занятость,"Предлагаем сотрудничество с полной постоянной занятостью на удаленной основе (на дому) начинающего специалиста с опытом работы от 1го года (Front-end). Предусмотрена бесплатная программа обучения и работа с ментором. Обязанности верстка новых шаблонов блогов на WP (страниц, блоков, элементов) поддержка работающих блогов на WP обучение с ментором Требования к кандидату Hard skills опыт работы от 1 до 3 лет (Front-end) уверенные знания HTML / CSS базовые знания JS / JQuery базовые знания PHP / Wordpress опыт работы с Wordpress (создание шаблонов) умение читать и понимать документацию на английском языке Будет плюсом: знание SCSS / Bootstrap / БЭМ опыт работы с Webpack опыт работы с Git / Jira понимание / опыт работы по Scrum Soft skills внимательность целеустремленность желание учиться и развиваться умение работать в команде time management Условия работы удаленная работа, частично гибкий график полная занятость, 8 часов / 5 дней в неделю выходные: суббота, воскресенье оплачиваемый отпуск участие в топовых нишевых конференциях заработная плата - в зависимости от уровня квалификации стабильная выплата 2 раза в месяц, оплата привязана к USD Просьба присылать резюме и обращаться за тестовым заданием. Опыт работы обязателен!",Без требований,Без обязанностей,Без условий,CMS Wordpress|HTML|CSS|jQuery|PHP|JavaScript,0.06666666666666668,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0
86,86,frontend,Новосибирск,25000.0,118000.0,Zimalab,2019-10-01T06:12:36+0300,Нет опыта,Полный день,Полная занятость,"Ищем начинающего frontend разработчика (с опытом до полугода или без опыта) для создания клиентской части web проектов на JavaScript. Мы разрабатываем веб-приложения для клиентов из США, Европы и Австралии. Разнообразные проекты продолжительностью от 2-3 месяцев. Компания молодая и при отличных результатах работы, есть возможность быстрого роста вместе с компанией. С примерами проектов можно ознакомиться на нашем сайте http://zimalab.com/. Предлагаемые условия: Разработка интересных проектов на популярных JS фрэймворках Гибкий график работы, 40 часов в неделю Молодая и дружная команда Уютная кухня и самый вкусный кофе Корпоративные мероприятия Заработная плата от 25 т.р. Требования: Опыт работы до полугода или без опыта Образование среднее специальное, неполное высшее, высшее Обязательные знания: Понимание принципов работы web–приложений Знание JavaScript, jQuery Знание основ HTML, CSS Знание английского языка на уровне чтения технической документации Желание развиваться в области веб-разработки, нацеленность на результат Аккуратность при написании кода и адекватное восприятие критики Вашим преимуществом будет: Знание Gulp/Grunt/Webpack Опыт работ с js фреймворками (Angular, React, Vue.js) Опыт работы с JS-библиотеками соц.сетей: Facebook, Twitter, Google (Maps, Analytics) Опыт работы с системами контроля версий Git/Mercurial Опыт работы на уровне пользователя в среде *nix Ждем Ваше резюме!",Без требований,Без обязанностей,Без условий,JavaScript|jQuery|HTML5|CSS3|vue.js,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
397,397,frontend,Краснодар,30000.0,85916.66666666669,proTarget,2019-10-07T14:01:36+0300,От 1 года до 3 лет,Удаленная работа,Полная занятость,"Со знанием ReactJS Обязанности: верстка сайтов верстка визуальной части приложений для Битрикс24 Доработка/разработка функционала, дизайна, скриптов и форм на существующих проектах; Редактирование, корректировка, правка различных шаблонов CMS, css-стилей и пр; Требования: практический опыт с ReactJS Условия: удаленная работа четкая постановка и контроль задач", практический опыт с ReactJS ," верстка сайтов верстка визуальной части приложений для Битрикс24 Доработка/разработка функционала, дизайна, скриптов и форм на существующих проектах; Редактирование, корректировка, правка различных шаблонов CMS, css-стилей и пр; ", удаленная работа четкая постановка и контроль задач,ReactJS|HTML|CSS|Ajax|jQuery|MySQL,0.4666666666666667,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
1146,1146,frontend,Самара,30000.0,80000.0,СМАСС,2019-10-09T07:56:09+0300,От 1 года до 3 лет,Полный день,Полная занятость,"SmaSS - это молодая независимая IT компания, которая работает в сфере компьютерного зрения и искусственного интеллекта. В связи с расширением штата мы открываем вакансию frontend разработчика. Если ты ответственный, амбициозный и хочешь работать над интересными проектами, то мы будем рады видеть тебя в нашей дружной команде! Основные задачи: Разработка нового функционала приложений Поддержка существующего кода Работа в команде Участие в обсуждении проектов Требования: Уверенное знание HTML, CSS, JS Webpack Git Будет плюсом: Работа с Vue / React / Angular (у нас Vue) Опыт работы с препроцессорами (SASS, LESS) Понимание принципов UX/UI Typescript Условия: Обучение технологиям Инновационные и амбициозные проекты Конкурентный уровень дохода в соответствии с навыками Занятия по английскому языку Уютный офис недалеко от станции метро Алабинская Заработная плата напрямую зависит от навыков и уровня подготовки. Все подробности на собеседовании."," Уверенное знание HTML, CSS, JS Webpack Git Будет плюсом: Работа с Vue / React / Angular (у нас Vue) Опыт работы с препроцессорами (SASS, LESS) Понимание принципов UX/UI Typescript ",Без обязанностей, Обучение технологиям Инновационные и амбициозные проекты Конкурентный уровень дохода в соответствии с навыками Занятия по английскому языку Уютный офис недалеко от станции метро Алабинская Заработная плата напрямую зависит от навыков и уровня подготовки. Все подробности на собеседовании.,Без ключевых навыков,0.4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
354,354,frontend,Краснодар,35000.0,50000.0,ASTEQ (ИП Бариев Руслан Рафаэльевич),2019-10-16T10:44:07+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: Верстка страниц сайтов по готовым PSD-макетам, Figma Доработка/развитие существующих проектов Адаптация макетов под мобильные устройства Анимация и интерактивные эффекты элементов пользовательского интерфейса Взаимодействие с дизайнером и веб-программистом Требования: НУЖЕН ПРОФЕССИОНАЛ⚠️НАЛИЧИЕ ССЫЛКИ НА ПОРТФОЛИО, В РЕЗЮМЕ ОБЯЗАТЕЛЬНО⚠️ Профессионализм и скорость работы Валидный HTML5/CSS3 Умение работать быстро и качественно Уверенная работа с JavaScript и JQuery Умение верстать макет так, как он придуман и нарисован дизайнером; Знание принципов оптимизации веб-приложений Ответственность и аккуратность НАЛИЧИЕ ПОРТФОЛИО Условия: Работа в молодом творческом коллективе Легкая коммуникация Возможность профессиональной самореализации, интересные проекты Дружную позитивную атмосферу в коллективе Официальное трудоустройство по ТК РФ График работы – 5/2 (сб., вс. - выходные) Карьерный рост и совершенствование в профессии Комфортабельный офис в центре города Уровень заработной платы обсуждается на собеседовании"," НУЖЕН ПРОФЕССИОНАЛ⚠️НАЛИЧИЕ ССЫЛКИ НА ПОРТФОЛИО, В РЕЗЮМЕ ОБЯЗАТЕЛЬНО⚠️ Профессионализм и скорость работы Валидный HTML5/CSS3 Умение работать быстро и качественно Уверенная работа с JavaScript и JQuery Умение верстать макет так, как он придуман и нарисован дизайнером; Знание принципов оптимизации веб-приложений Ответственность и аккуратность НАЛИЧИЕ ПОРТФОЛИО "," Верстка страниц сайтов по готовым PSD-макетам, Figma Доработка/развитие существующих проектов Адаптация макетов под мобильные устройства Анимация и интерактивные эффекты элементов пользовательского интерфейса Взаимодействие с дизайнером и веб-программистом "," Работа в молодом творческом коллективе Легкая коммуникация Возможность профессиональной самореализации, интересные проекты Дружную позитивную атмосферу в коллективе Официальное трудоустройство по ТК РФ График работы – 5/2 (сб., вс. - выходные) Карьерный рост и совершенствование в профессии Комфортабельный офис в центре города Уровень заработной платы обсуждается на собеседовании",CSS|HTML|JavaScript|jQuery|Git|HTML5|Ajax|CSS3,0.16666666666666666,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0
783,783,frontend,Екатеринбург,40000.0,104000.0,Ананас. ИТ Решения,2019-10-21T10:28:48+0300,Нет опыта,Гибкий график,Полная занятость,"Компании Ananas требуется Frontend-разработчик. Ananas - довольно молодая компания, открывшаяся в 2015 году. Мы занимаемся разработкой продуктов для ряда компаний-партнеров в США и России. В свою очередь мы предоставим вам очень удобные условия работы, описанные ниже. Требования: Уверенное знание HTML, CSS и Javascript Плюсом будет: Умение быстро находить и исправлять ошибки (опыт дебага) Умение разбираться в чужом коде Умение писать чистый, красивый, читаемый код Знание CSS пост\препроцессоров Умение упрощать себе жизнь - находить и использовать готовые решения для типовых задач Настрой к командной работе с менеджером проектов, дизайнером, SEOшником Обучаемость и\или умение обучать Обязанности: Верстка макетов Разработка одностраничных веб-приложений Настройка интеграции фронтенда и бекэнда Условия Гибкое начало рабочего дня до 12:00 Официальное трудоустройство согласно ТК РФ Предоставим все необходимое для комфортной и качественной работы Дружный и сплоченный коллектив Возможность поработать в сложных и нестандартных проектах Офис в центре города Плюшки: Работа над нетипичными проектами Профессиональный рост Доступ к различным обучающим материалам Компенсация обедов Возможность стать FullStack разработчиком Льготы от наших партнеров (Барбершоп Бойкат, Мозгобойня)",Без требований,Без обязанностей,Без условий,Без ключевых навыков,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
224,224,frontend,Новосибирск,40000.0,60000.0,ерегистратор.ру,2019-10-09T09:39:31+0300,От 3 до 6 лет,Удаленная работа,Частичная занятость,"О сервисе: eRegistrator.ru 10 лет! Мы развиваем онлайн-сервис по подготовке документов для регистрации бизнеса, внесения изменений в Устав и ЕГРЮЛ, реорганизации и ликвидации компаний. В данном продукте нуждается огромный целевой рынок. В связи с развитием функционала сервиса, требуется Front-end Developer/ WEB разработчик. Необходим специалист, который не только может &quot;натянуть&quot; дизайн на CMS, а который, имеет практические знания в разработке интерфейсов для сложных сервисов на уровне взаимодействия фронта и сервера. Внимание! Для участия в конкурсе необходимо выполнить тестовое задание https://docs.google.com/document/d/1pT4H0FADEmfBkl3w2SDsFVVRXvmq-9x5c3cLYPl058Q/edit?usp=sharing и выслать ссылку на результат. Преимущества вакансии: 1. Удаленная работа. В компании все сотрудники работают удаленно, поэтому ваше текущее место жительства не имеет значения. 2. Гибкий график и гибкая загрузка. Вы сами можете определить свой график и количество времени для работы. Главное не то, когда вы работаете, а то, какой результат вы показываете. 3. Развитие экспертных навыков разработчика интерфейсов и практический опыт под контролем наставника. 4. Мы предлагаем разносторонние задачи, которые не позволяют &quot;заржаветь&quot; мозгу. Скучно точно не будет. 5. Участие в развитии федерального web-проекта действующего с 2009 года. Наш будущий специалист: имеет подтвержденный опыт работы Front-end Developer/ Верстальщик не менее 3 лет.; понимает принципы построения фронтенда и разбирается в HTML, CSS, уверенно применяет Ajax и, при необходимости, jQuery, умеет разобраться в существующей верстке и владеет нативным JavaScript, использует в работе наработки БЭМ; легко общается с back-end разработчиками на уровне составления спецификации; умеет работать с контролем версий Git, использовать графические редакторы; умеет планировать свое рабочее время с целью обеспечения оптимальной скорости работы в проекте; постоянно изучает современные технологии с целью саморазвития и поиска нестандартных решений. Обязанности: изучение поставленной задачи и согласование варианта решения; разработка браузерной части сервиса и обеспечение эффективного взаимодействия с сервером; активное взаимодействие со специалистом по back-end для реализации функционала сервиса; оптимизация существующей верстки и рефакторинг; ежедневное протоколирование результатов - задача/трудозатраты. Условия: Удаленная работа. В компании все сотрудники работают удаленно, поэтому ваше текущее место жительства не имеет значения. Гибкий график 3-4 часа ежедневно в рабочие дни. Главное не то, когда вы работаете, а то, какой результат вы показываете. Наставничество. Поддержка специалистов и консультации по всем вопросам работы сервиса и текущей архитектуры на стадии обучения и в дальнейшем. Стабильный доход, своевременные выплаты по понедельникам за предыдущую неделю в соответствии с утвержденными трудозатратами. Стоимость часа работы обсуждается индивидуально по результатам собеседования и выполненного тестового задания. Наша цель - предоставить лучший в отрасли функционал для предпринимателей и профессиональных участников рынка. Вы нам нужны, чтобы реализовать данную цель!",Без требований,Без обязанностей," Удаленная работа. В компании все сотрудники работают удаленно, поэтому ваше текущее место жительства не имеет значения. Гибкий график 3-4 часа ежедневно в рабочие дни. Главное не то, когда вы работаете, а то, какой результат вы показываете. Наставничество. Поддержка специалистов и консультации по всем вопросам работы сервиса и текущей архитектуры на стадии обучения и в дальнейшем. Стабильный доход, своевременные выплаты по понедельникам за предыдущую неделю в соответствии с утвержденными трудозатратами. Стоимость часа работы обсуждается индивидуально по результатам собеседования и выполненного тестового задания. Наша цель - предоставить лучший в отрасли функционал для предпринимателей и профессиональных участников рынка. Вы нам нужны, чтобы реализовать данную цель!",CSS3|HTML5|jQuery|json|Git|Кроссбраузерная верстка|JavaScript|Ajax,0.4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0
642,642,frontend,Челябинск,40000.0,80000.0,Максимал,2019-10-11T09:11:35+0300,От 1 года до 3 лет,Гибкий график,Полная занятость,"В команду нового (не legacy) образовательного проекта ищется Web-разработчик. Очень интересный проект, позволяющий объединить учителей и учеников через интернет, используя самые современные Web технологии, отличный шанс получить опыт разработки большого и высоконагруженного проекта. В проекте используется следующий стек технологий: Reactjs, WebRTC, Websocket, Canvas. От вас необходимо: Стаж работы 1-3 года Опыт разработки WEB приложений Опыт работы с системами контроля версий Знание и умение качественно верстать HTML CSS Знание Javascript и React JS/Vue JS Аккуратность, внимательность, вовлеченность, ответственность, трудолюбие Условия работы: Официальное оформление в компании; Плавающее начало рабочего дня; Бесплатные обеды в офисе, неограниченные чай/кофе/газировка.",Без требований,Без обязанностей,Без условий,CSS|Git|ReactJS|JavaScript|HTML5|VueJS,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
