,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills,days,"(12995.0, 43440.0]","(43440.0, 73885.0]","(73885.0, 104330.0]","(104330.0, 134775.0]","(134775.0, 165220.0]","(165220.0, 195665.0]","(195665.0, 226110.0]","(226110.0, 256555.0]","(256555.0, 287000.0]","(18500.0, 61555.556]","(61555.556, 104611.111]","(104611.111, 147666.667]","(147666.667, 190722.222]","(190722.222, 233777.778]","(233777.778, 276833.333]","(276833.333, 319888.889]","(319888.889, 362944.444]","(362944.444, 406000.0]",Екатеринбург,Краснодар,Новосибирск,Самара,Челябинск,Более 6 лет,Нет опыта,От 1 года до 3 лет,От 3 до 6 лет,Вахтовый метод,Гибкий график,Полный день,Сменный график,Удаленная работа,Полная занятость,Проектная работа,Стажировка,Частичная занятость,Без ключевых навыков,аналитические способности,Исполнительность,Грамотность,внимательность,Другое
1043,1043,аналитик,Самара,24100.0,24100.0,Средневолжская газовая компания (СВГК),2019-10-18T07:33:10+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: Участие в обследовании бизнес-процессов компании Участие в разработке регламентирующих документов по бизнес-процессам Оформление проектов регламентирующих документов по бизнес-процессам в соответствии с действующими шаблонами Проверка и согласование регламентирующих документов по бизнес-процессам Организация процедуры согласования проектов регламентирующих документов с заинтересованными руководителями, оформление приказов о введении в действие регламентирующих документов Организация обучения персонала по вопросам, связанным с участием в бизнес-процессах Участие в подготовке и контроле выполнения планов мероприятий по разработке и внедрению регламентов бизнес-процессов Оказание методической и иной помощи подразделениям компании при разработке регламентирующих документов Внутренний аудит бизнес-процессов Требования: Знание методов обследования и формализованного описания бизнес-процессов Опыт написания регламентирующих документов Опыт оформления организационно-распорядительных документов Опыт общения с заказчиками/пользователями Условия: Работа в крупной стабильной компании; Официальное трудоустройство согласно ТК РФ; Официальная заработная плата; График 5/2 с 08.00 до 17.00., обед с 12.00 до 13.00. Доставка на работу и с работы транспортом предприятия, по установленным маршрутам ДМС. Приглашение на собеседование ТОЛЬКО после ознакомления с резюме.", Знание методов обследования и формализованного описания бизнес-процессов Опыт написания регламентирующих документов Опыт оформления организационно-распорядительных документов Опыт общения с заказчиками/пользователями ," Участие в обследовании бизнес-процессов компании Участие в разработке регламентирующих документов по бизнес-процессам Оформление проектов регламентирующих документов по бизнес-процессам в соответствии с действующими шаблонами Проверка и согласование регламентирующих документов по бизнес-процессам Организация процедуры согласования проектов регламентирующих документов с заинтересованными руководителями, оформление приказов о введении в действие регламентирующих документов Организация обучения персонала по вопросам, связанным с участием в бизнес-процессах Участие в подготовке и контроле выполнения планов мероприятий по разработке и внедрению регламентов бизнес-процессов Оказание методической и иной помощи подразделениям компании при разработке регламентирующих документов Внутренний аудит бизнес-процессов "," Работа в крупной стабильной компании; Официальное трудоустройство согласно ТК РФ; Официальная заработная плата; График 5/2 с 08.00 до 17.00., обед с 12.00 до 13.00. Доставка на работу и с работы транспортом предприятия, по установленным маршрутам ДМС. Приглашение на собеседование ТОЛЬКО после ознакомления с резюме.",аналитические способности|Исполнительность|Грамотность|внимательность,0.1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0
147,147,аналитик,Новосибирск,35000.0,70000.0,Форвард,2019-10-21T06:01:03+0300,Нет опыта,Полный день,Полная занятость,"Обязанности: Сбор и формирование первичных требований к специализированному оборудованию; Поиск наиболее верных решений, сбор и анализ необходимой информации для реализации, поставленных задач; Разработка технической документации на производимое оборудование и ПО; Актуализация документации: отслеживать изменения, версии, связи и приоритеты; Своевременное взаимодействие с участниками разработки. Требования: Понимание или желание разбираться в принципах работы автомобилей и спец.техники; Знание ПДД; Умение структурировать информацию; Умение самостоятельно анализировать исходный материал и находить нужную информацию в открытых источниках; Умение писать грамотные и понятные тексты на русском техническом языке. Будет преимуществом: Опыт работы аналитиком / техническим писателем в сфере разработки программного обеспечения; Опыт тестирования симуляторных программных продуктов; Техническое образование; Желание разбираться и погружаться в автомобильную тематику и специализированную технику. Мы предлагаем: Молодой, профессиональный, дружный коллектив; Комфортный офис в центре города, 5 минут от метро «Гагаринская»; Трудоустройство согласно ТК РФ; Официальную зарплату; Возможность профессионального и карьерного роста; Разные «вкусняшки» для всегда позитивного настроения; Абонементы в тренажерный зал, бассейн и т.д. за счет компании; Уровень заработной платы определяется по результатам собеседования.",Без требований," Сбор и формирование первичных требований к специализированному оборудованию; Поиск наиболее верных решений, сбор и анализ необходимой информации для реализации, поставленных задач; Разработка технической документации на производимое оборудование и ПО; Актуализация документации: отслеживать изменения, версии, связи и приоритеты; Своевременное взаимодействие с участниками разработки. ",Без условий,Без ключевых навыков,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
49,49,аналитик,Новосибирск,40000.0,70000.0,Броневик,2019-09-30T10:23:51+0300,От 1 года до 3 лет,Полный день,Полная занятость,"В команде Bronevik.com развивается и растет состав команды разработки. Мы открываем филиал в Новосибирске и находимся в поиске команды для реализации различных задач. Если Вы не являетесь данным специалистом, но можете кого-то порекомендовать, мы будем благодарны! О нас Bronevik.com - это революционная система онлайн-бронирования отелей в России и СНГ, созданная в 2008 году. Мы работаем над созданием собственного качественного продукта для онлайн-бронирования отелей по всей России и странам СНГ, с которыми работаем напрямую. Взаимодействуем с крупнейшими компаниями в сфере предоставления отельных услуг. Какими задачами нужно будет заниматься? Анализ и описание бизнес-процессов клиентов, выявление потребностей. Разработка технических заданий. Участие в разработке API. Сопровождение и поддержка клиентов в системе, обучение и консультирование сотрудников клиента по работе в системе. Создание пользовательских инструкций . От аналитика мы ждем: Аналитический склад ума, системное мышление. Опыт работы системным аналитиком, бизнес-аналитиком или менеджером проектов от 1 года. Опыт проектирования бизнес процессов и разработки технических заданий. От нас: Гибкий график работы: утро начинается с 9 до 11. Официальное трудоустройство. Множество интересных задач. Весёлый и дружный коллектив. Возможность карьерного роста. Уровень заработной платы зависит от опыта и обсуждается на собеседовании.",Без требований,Без обязанностей,Без условий,Деловое общение|Бизнес-анализ|Работа в команде|Аналитический склад ума,0.7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
954,954,аналитик,Екатеринбург,40000.0,70000.0,ДартИТ,2019-09-26T09:04:05+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Нам требуется системный аналитик на проект разработки CRM-системы для корпоративных клиентов – абонентов оператора фиксированной и мобильной связи. Мы используем как основу для разработки платформу собственного производства, построенную с применением свободного программного обеспечения Apache Camel, Activiti. Что нужно будет делать: проанализировать требования к информационной системе, понять и оценить задачу, предложить решения и варианты реализации, согласовать с командой и заказчиком выбранное решение; спроектировать объектную модель данных, подготовить спецификацию API для интеграционного взаимодействия со смежными системами; создать типы данных, пользовательские интерфейсы, настроить бизнес-процессы на платформе с помощью конструктора; написать постановку для разработчиков ПО, если задача требует их привлечения; провести тестирование разработанной функциональности; сдать работающую функциональность заказчику, задокументировать реализованное. Мы ждем от кандидатов: высшее техническое образование (прикладная математика, информационные технологии или др.); умение работать с требованиями, их выявлением и документированием; понимание принципов и жизненного цикла разработки корпоративных информационных систем, знание основ реляционных баз данных; умение работать с заказчиком и умение работать в команде; опыт участия в проектах разработки и внедрения ПО, желание развиваться в направлении системного анализа, участвовать в крупных проектах интеграции и разработки; приветствуются навыки программирования на JavaScript, Groovy; приветствуются навыки работы с BPM-системами, знания методологии BPM. Мы предлагаем: заработная плата, соответствующая квалификации; участие в масштабном проекте автоматизации в области телекоммуникаций, погружение в новые технологии, получение новых знаний и опыта; гибкий график работы; официальное трудоустройство, &quot;белая&quot; заработная плата, социальный пакет; офис в центре города.",Без требований,Без обязанностей,Без условий,Без ключевых навыков,0.8333333333333334,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1216,1216,аналитик,Самара,40033.333333333336,57050.0,Интерфакс,2019-10-17T13:57:41+0300,От 3 до 6 лет,Полный день,Полная занятость,"Международная информационная Группа «Интерфакс» создает профессиональные IT- системы , которые помогают компаниям работать на финансовом и товарном рынках, принимать инвестиционные решения, управлять рисками, организовывать внешние коммуникации. В связи с расширением, в нашу дружную команду профессионалов приглашаем Аналитика Что Мы готовы Вам предложить: Развитие Ваших профессиональных качеств и навыков; Интересную работу в дружном коллективе, где каждый готов поделиться своим опытом; Официальное оформление в штат компании, конкурентоспособный уровень дохода; Место работы в комфортабельно бизнес-центре по графику 5/2 (можно скорректировать время работы при необходимости). Задачи, которыми предстоит заниматься: Работа с требованиями: выявление, сбор, анализ, согласование, управление, тестирование. Работа с заинтересованными лицами: интервьюирование, консультирование, обучение. Разработка технических заданий, функциональных спецификаций, постановок на реализацию и т.п. Разработка и поддержка пользовательской и технической документации, продуктовых баз знаний. Моделирование и оптимизация бизнес-процессов, алгоритмов. Контроль соответствия артефактов разработки (макеты пользовательского интерфейса, реализованная функциональность) исходным требованиям. Поддержка пресейлов: проведение демонстраций продукта, подготовка технических заданий для конкурсов. Аналитическая поддержка команды разработки. Обучение и поддержка пользователей. Что Мы ожидаем увидеть в успешном кандидате: Высшее техническое образование. Опыт работы в сфере ИТ в роли аналитика — не менее 5 лет. Если Вы работаете старшим разработчиком или ведущим тестировщиком и желаете переквалифицироваться — эта вакансия также для Вас. Опыт продуктовой разработки web-решений. Опыт самостоятельной работы с клиентами. Отличные коммуникативные навыки: умение слушать и слышать, умение задавать правильные вопросы и получать нужные ответы, умение убеждать. Отличный письменный русский язык‚ умение кратко и понятно излагать мысли. Навыки работы с большим объемом информации. Владение стилистикой документирования, навыки разработки сложных проектных документов. Желание работать в команде и делать наших клиентов счастливее.",Без требований,Без обязанностей,Без условий,Без ключевых навыков,0.13333333333333333,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1231,1231,аналитик,Самара,40033.333333333336,57050.0,ИНСТИТУТ ИННОВАЦИОННОГО РАЗВИТИЯ,2019-10-17T08:40:44+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Задачи: Сбор, анализ и документирование требований к программному обеспечению Участие в составление сметы проекта Участие в проектировании решений, генерация идей, поиск референсов Составление эскизов экранных форм Написание функциональных спецификаций и технических заданий Участие в разработке решений: контроль за изменениями требований, консультации разработчиков по корректной реализации требований, помощь в тестировании Ведение проектной документации Проведение исследований в области информационных технологий (и не только) Кандидата с каким опытом и навыками ищем: Системное мышление, широкий кругозор Опыт работы в IT-компании Опыт разработки и внедрения информационных продуктов, использование методик проектирования и разработки информационных систем Общие знания в области менеджмента, управления проектами, основ экономики Желательно знание английского языка на уровне &quot;могу читать техническую литературу&quot; Наши условия: Оформление в соответствии с Трудовым кодексом РФ График работы 5/2, гибкое начало рабочего дня Участие в инновационных проектах в сфере &quot;IT-медицина&quot; и не только Офис в центре города (5 минут до &quot;Белого дома&quot;) Гибкая методология разработки продуктов Возможность профессионального и карьерного роста Интересные задачи",Без требований,Без обязанностей,Без условий,Разработка технических заданий|Проектная документация|Аналитика|Техническая документация|Сбор и анализ информации|Customer Needs Analysis|Разработка инструкций|MS Visio|Информационные технологии|Бизнес-анализ|Ведение переговоров,0.13333333333333333,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1054,1054,аналитик,Самара,40033.333333333336,57050.0,МТС,2019-10-15T09:51:44+0300,Нет опыта,Гибкий график,Стажировка,"Привет! Мы ищем начинающего аналитика данных для работы над единым порталом самообслуживания группы компаний. Будет здорово, если ты: Студент или выпускник 2017, 2018, 2019 годов выпуска. Умеешь анализировать сведения в Excel (сводные таблицы). Можешь превратить данные в графики и иллюстрации. Имеешь навык работы с большим объемом информации. Чем ты будешь заниматься: Изучать возможности текущего портального решения. Анализировать и сверять данные, полученные с портала. Выверять ключевые слова и превращать их в запросы. Участвовать в автоматизации работы Help Desk. Что мы тебе предлагаем: Оформление с заключением трудового договора на 3-4 месяца. Гибкий график работы от 20 до 40 часов в неделю — на выбор. Ежемесячную стипендию в зависимости от количества часов. Офис на Московском Шоссе . Обучение работе с БД.",Без требований,Без обязанностей,Без условий,Организация стажировок|Анализ данных,0.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
91,91,аналитик,Новосибирск,45000.0,70000.0,Электронный город (ООО Новотелеком),2019-09-30T06:39:27+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: Общение с заказчиком, написание и согласование требований; Общение с разработчиками по ТЗ; Тестирование и приёмка отчета; Написание инструкций, обучение пользователей; Ведение документации по отчетности. Аналитика отчетности - системные требования для разработки Требования: Опыт работы с БД Знание SQL Умение выделять главное из любого объема устной или письменной информации Умение слушать и слышать собеседника Опыт написания технических требований для разработчиков Условия: График работы: 5/2, с 09-00 до 18-00; Место работы: ул. Семьи Шамшиных; Заработная плата будет зависеть от умений и знаний кандидата Мы предлагаем дружный коллектив, профессиональный и личностный рост; официальное трудоустройство А также бонусы для сотрудников: бесплатный интернет и КТВ дома, возможность заниматься спортом (футбол, баскетбол, йога, бассейн) и много другое.", Опыт работы с БД Знание SQL Умение выделять главное из любого объема устной или письменной информации Умение слушать и слышать собеседника Опыт написания технических требований для разработчиков ," Общение с заказчиком, написание и согласование требований; Общение с разработчиками по ТЗ; Тестирование и приёмка отчета; Написание инструкций, обучение пользователей; Ведение документации по отчетности. Аналитика отчетности - системные требования для разработки "," График работы: 5/2, с 09-00 до 18-00; Место работы: ул. Семьи Шамшиных; Заработная плата будет зависеть от умений и знаний кандидата Мы предлагаем дружный коллектив, профессиональный и личностный рост; официальное трудоустройство А также бонусы для сотрудников: бесплатный интернет и КТВ дома, возможность заниматься спортом (футбол, баскетбол, йога, бассейн) и много другое.",Без ключевых навыков,0.7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
58,58,аналитик,Новосибирск,45000.0,70000.0,ФБ Консалт,2019-10-21T13:39:04+0300,От 1 года до 3 лет,Полный день,Полная занятость,Обязанности: Работа в крупных проектах внедрения CRM системы в качестве системного/бизнес аналитика Подготовка/формирование технических заданий (ТЗ) на различные программные модули CRM системы. Согласование ТЗ с заказчиками Требования: Аналитический склад ума Опыт составления ТЗ для бизнес приложений Умение работать в команде Коммуникабельность Условия: Работа в дружной команде профессионалов в крупных и очень интересных проектах, Аналитический склад ума Опыт составления ТЗ для бизнес приложений Умение работать в команде Коммуникабельность , Работа в крупных проектах внедрения CRM системы в качестве системного/бизнес аналитика Подготовка/формирование технических заданий (ТЗ) на различные программные модули CRM системы. Согласование ТЗ с заказчиками , Работа в дружной команде профессионалов в крупных и очень интересных проектах,Бизнес-анализ|Системный анализ,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
40,40,аналитик,Новосибирск,45000.0,70000.0,Смарт консалтинг,2019-10-17T13:28:26+0300,От 1 года до 3 лет,Полный день,Полная занятость,"О Компании Мы помогаем сделать жизнь в нашей стране лучше и удобнее для ее граждан! Наш приоритетный вектор - социально-значимые проекты. Наши информационные системы внедрены во многих регионах России от Карелии до Чукотки. Ежедневно государство оказывает услуги порядка 40 миллионам россиян с помощью систем, которые мы разработали. Наши продукты выстраивают работу множества различных государственных ведомств в единый слаженный механизм, чтобы граждане могли быстро и легко получить государственные услуги. О нашем продукте Портальные решения Digit - это фронт-офис регионального электронного правительства. Digit ПГУ - региональный аналог портала госуслуг, Digit Гражданин - площадка, с помощью которой любой гражданин может проявить свою активную позицию и повлиять на жизнь в своем городе и области. Пользователями порталов являются сотни тысяч граждан, каждый из нас. Примеры реализованных внедрений: https://gosuslugi92.ru/ https://portal.barnaul.org/ https://яиркутянин.рф https://dem.nso.ru О команде Digit Наша команда создает, внедряет и развивает информационные системы на платформе Digit, а также участвует в развитии самой платформы. Наши специалисты имеют широкой набор компетенций и успешно совмещают роли аналитиков и разработчиков. Благодаря возможностям нашей платформы мы создаем полноценные информационные системы за несколько часов. Какие задачи будут стоять перед тобой: анализ нормативного-правовых документов и технической документации, относящихся к предметной области продукта; проработка и детализация требований, постановка задач по разработке нового (доработке существующего) функционала продукта; участие во всех этапах жизненного цикла продукта (анализ, разработка, внедрение, сопровождение) Для того, чтобы ты мог работать с нами, мы ожидаем: высшее образование (выпускники ИТ-специальностей, факультетов прикладной информатики); высокий уровень компьютерной грамотности, понимание принципов работы веб-технологий; знание UML, нотаций и средств моделирования бизнес-процессов; понимание, что такое REST и знание HTTP методов; знание SQL на уровне написания запросов; гибкие методологии; понимание функционирования информационных систем. Если ты никогда не сталкивался с чем-то из списка выше, но хотел бы этому научиться, просто напиши об этом в сопроводительном письме к своему резюме и расскажи о том, что ты умеешь. У нас работают, потому что: Мы ценим доверие своих коллег, поэтому предлагаем официальную белую заработную плату и трудоустройство с первого рабочего дня. Нам важно здоровье наших коллег, поэтому у нас есть ДМС и корпоративные скидки на фитнес. Мы помогаем друг другу во всех начинаниях и идеях, а наших новых сотрудников у нас поддерживают наставники. Нам важно наше развитие, поэтому мы даем возможность пробовать себя в новых задачах, если у тебя к ним есть интерес (даже за рамками твоей должности!). Мы меняемся и развиваемся, для этого организуем корпоративные тренинги, конференции и прочие мероприятия как для полезного, так и для приятного времяпровождения. Для комфортной работы у нас есть офисы в центре Новосибирска и Академгородке (резиденты Технопарка). Жми &quot;Откликнуться!&quot; и давай знакомиться!",Без требований,Без обязанностей,Без условий,Без ключевых навыков,0.13333333333333333,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
