,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills,days,"(12995.0, 43440.0]","(43440.0, 73885.0]","(73885.0, 104330.0]","(104330.0, 134775.0]","(134775.0, 165220.0]","(165220.0, 195665.0]","(195665.0, 226110.0]","(226110.0, 256555.0]","(256555.0, 287000.0]","(18500.0, 61555.556]","(61555.556, 104611.111]","(104611.111, 147666.667]","(147666.667, 190722.222]","(190722.222, 233777.778]","(233777.778, 276833.333]","(276833.333, 319888.889]","(319888.889, 362944.444]","(362944.444, 406000.0]",Екатеринбург,Краснодар,Новосибирск,Самара,Челябинск,Более 6 лет,Нет опыта,От 1 года до 3 лет,От 3 до 6 лет,Вахтовый метод,Гибкий график,Полный день,Сменный график,Удаленная работа,Полная занятость,Проектная работа,Стажировка,Частичная занятость,Без ключевых навыков,внутренний аудит сайта,Работа с доменами,Наполнение контентом,HTML,MySQL,CSS,PHP,Git,Ajax,Другое
1006,1006,веб разработчик,Самара,15000.0,60000.0,АНВ,2019-10-10T16:58:30+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Мы ценим профессионалов и способствуем росту, потому что у нас — в супердемократичных условиях — как нигде раскрываются таланты. В AKTICOM не бывает монотонного и рутинного труда, мы амбициозны и любим только интересную и захватывающую работу. А теперь в нашу креативную и немного сумасшедшую команду нужен новый специалист - Web-разработчик, который настроен решать повседневные задачи в компании и расти в сильного специалиста. Вы столкнетесь с полным циклом создания наших проектов и отработаете свои навыки до совершенства под четким руководством профессионалов. Если вы новичок, ничего не умеете, но желаете неплохо развиться в этом направлении до html-верстальщика или web-программиста - сообщите о себе! У нас в команде есть все условия для развития. Что нужно будет делать: Нарезка макета дизайна из psd или Figma HTML-верстка макета дизайна Установка сверстанного шаблона на CMS Частичное наполнение сайта информацией заказчика Техническое обслуживание сайтов заказчиков компании (выполнение простых задач) - это старт для менее опытных специалистов Если вы более развитый специалист со знанием языков программирования, то и применение вашим навыкам будет разумеется соответствующее. Очень приветствуются знания Git, Python, Node, NPM, Webpack, Postgres, Vue, SCSS, Laravel, Bitrix, PHP, JS Условия: график работы: пн-пт 9:00 - 18:00 в уютном офисе в центре города оклад: 15 000 - 60 000 р в зависимости от вашего опыта также не забываем про обучение, официальное ТК и оплачиваемые отпуска Кратко об АКТИКОМ: ТОП 10 среди всех основных тематических рейтингов по созданию сайтов в Самаре 30 высококлассных специалистов в штате 10 лет с момента основания Ждем ваших откликов, рассмотрим каждого. Обязательно напишите почему бы вы хотели развиваться в данной отрасли! Вакансию предполагаем закрыть в течение 2-х недель. Стол, кресло и мощный компьютер уже ждут своего обладателя!",Без требований,Без обязанностей," график работы: пн-пт 9:00 - 18:00 в уютном офисе в центре города оклад: 15 000 - 60 000 р в зависимости от вашего опыта также не забываем про обучение, официальное ТК и оплачиваемые отпуска Кратко об АКТИКОМ: ТОП 10 среди всех основных тематических рейтингов по созданию сайтов в Самаре 30 высококлассных специалистов в штате 10 лет с момента основания Ждем ваших откликов, рассмотрим каждого. Обязательно напишите почему бы вы хотели развиваться в данной отрасли! Вакансию предполагаем закрыть в течение 2-х недель. Стол, кресло и мощный компьютер уже ждут своего обладателя!",внутренний аудит сайта|Работа с доменами|Наполнение контентом|HTML|MySQL|CSS|PHP|Git|Ajax|JavaScript|Figma,0.36666666666666653,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0
800,800,веб разработчик,Екатеринбург,15000.0,55000.0,"BPA Group, Маркетинговое Агентство",2019-10-18T19:35:20+0300,Нет опыта,Полный день,Полная занятость,"Мы занимаемся SEO-оптимизацией сайтов. В помощники руководителю отдела ищем веб-мастера, которому нравится улучшать сайты, и который хотел бы научиться продвигать сайты по конкурентным запросам в ТОП-3. Чтобы добиться такого высокого топа, мы проводим много экспериментов и находим закономерности конкретно для этой тематики и нужного запроса. Работа помощника будет заключаться в выполнении заданий руководителя: в области внутренней оптимизации, ссылочной, поведенческой, серых схем. Специалист на этой должности получает уникальную возможность узнать настоящие факторы ранжирования и ощутить власть над поисковыми алгоритмами. Да ещё и получая за это деньги. Работать нужно будет много, перебирая гипотезы и варианты, которые будет генерировать руководитель. Работа удалённая, но график полу-свободный. Обсуждается на собеседовании. Будет НЕОПЛАЧИВАЕМОЕ тестовое задание на знание и понимание основных вебмастерских навыков, а также скорость работы. Обязанности: внутренняя оптимизация сайтов; взаимодействие с копирайтерами (заказ и приёмка текстов); ссылочная оптимизация (анализ конкурентов, поиск и размещение ссылок, создание пбн-сетей); поведенческая оптимизация; визуальная вёрстка текстов; работа с хостингом, SSL. Требования: знание html; знание css; понимание основных принципов ранжирования поисковых систем (метатеги, тексты, ссылочное, поведенческие); знание основных админок цмс. Условия: удалённая работа; обучение SEO-продвижению на реальных проектах."," знание html; знание css; понимание основных принципов ранжирования поисковых систем (метатеги, тексты, ссылочное, поведенческие); знание основных админок цмс. "," внутренняя оптимизация сайтов; взаимодействие с копирайтерами (заказ и приёмка текстов); ссылочная оптимизация (анализ конкурентов, поиск и размещение ссылок, создание пбн-сетей); поведенческая оптимизация; визуальная вёрстка текстов; работа с хостингом, SSL. ", удалённая работа; обучение SEO-продвижению на реальных проектах.,SEO|Поисковая оптимизация сайтов|CSS|HTML|Adobe Photoshop|CMS Wordpress|Продвижение сайтов|SEO оптимизация|Поисковые системы|1С-Битрикс,0.06666666666666668,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
575,575,веб разработчик,Челябинск,20000.0,77500.0,Tian Group,2019-09-24T07:09:42+0300,От 1 года до 3 лет,Гибкий график,Полная занятость,"Обязанности: Доработки веб-сайтов на системах: 1C-Битрикс, NetCat, собственный фреймворк. Взаимодействие с отделом разработки, отделом рекламы и отделом продаж. Требования: Знания PHP, CSS, JavaScript, mySQL. Начальный опыт веб-разработок. Ответственность и исполнительность. Условия: Постоянная и стабильная работа в офисе в Челябинске. Официальное оформление, рабочее место, оборудовано в соответствии с трудовым кодексом. Уникальный опыт работы в профессиональной команде. Возможность постоянного повышения собственной квалификации, уровня знаний. Режим работы: возможен гибкий график."," Знания PHP, CSS, JavaScript, mySQL. Начальный опыт веб-разработок. Ответственность и исполнительность. "," Доработки веб-сайтов на системах: 1C-Битрикс, NetCat, собственный фреймворк. Взаимодействие с отделом разработки, отделом рекламы и отделом продаж. "," Постоянная и стабильная работа в офисе в Челябинске. Официальное оформление, рабочее место, оборудовано в соответствии с трудовым кодексом. Уникальный опыт работы в профессиональной команде. Возможность постоянного повышения собственной квалификации, уровня знаний. Режим работы: возможен гибкий график.",PHP|CSS|MySQL|1С-Битрикс|HTML,0.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0
1037,1037,веб разработчик,Самара,20000.0,40000.0,Первый Бит,2019-10-10T08:31:49+0300,Нет опыта,Полный день,Полная занятость,"Первый БИТ - один из лидеров в рейтинге разработчиков 1С-Битрикс. Мы входим в ТОП-30 рейтинга веб-интеграторов на Тэглайн и имеем статусы &quot;Золотой сертифицированный партнер&quot; и &quot;Крупнейший Федеральный Партнер 1С-Битрикс&quot;. Присоединяйтесь! Если Вам действительно интересно направление WEB и Вы реально готовы вкладываться в собственное развитие, добро пожаловать: https://b24.1bitintegration.ru/register_extra/ Зарегистрируйтесь на портале. В течение суток после регистрации Вам будут определены тестовые задачи и открыт доступ к базе знаний. При возникновении сложностей/вопросов, Вы всегда можете обратиться к кураторам на портале. После выполнения задач мы пригласим Вас познакомиться лично. Выполнение задач покажет нам Вашу готовность работать, уровень знаний и навыков на настоящий момент. Нашему новому сотруднику мы предложим: Работу в международной ИТ-Компании, являющейся лидером рынка автоматизации; Качественное профессиональное развитие под руководством опытного наставника; Крутые проекты, интересные и ответственные задачи; Полностью &quot;белая&quot; заработная плата без потолка, абсолютно прозрачная система мотивации. Основной функционал: Сопровождение существующих информационных систем; Проектирование доработок и написание программного кода по техническим заданиям; Внедрение Битрикс24: от базового функционала до создания сложных кастомизированных решений; Коммуникация с пользователями, консультация по возможностям и фишкам; Составление технической документации для клиентов – технические задания, инструкции, регламенты, пояснительные записки; Доработка модулей и компонентов для 1С-Битрикс; Поддержка и развитие внутренних проектов компании. Зарегистрируйся и проверь себя!",Без требований,Без обязанностей,Без условий,1С-Битрикс|Битрикс24|Bitrix24|PHP|CRM,0.36666666666666653,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
430,430,веб разработчик,Краснодар,20000.0,30000.0,Скайденс групп,2019-10-18T00:33:28+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Требования: опыт создания дизайна сайтов, прототипирования. понимание всех процессов создания сайтов. знание HTML на начальном уровне. знание особенностей разработки дизайна для полиграфии на начальном уровне владение линейкой Adobe. Обязанности: создание дизайна сайтов, прототипирование. оформление групп в соцсетях. создание макетов визиток и листовок. Условия: полный рабочий день, работа в офисе, оформление по ТК, возможность согласования графика. зарплата по собеседованию. испытательный срок 3 месяца."," опыт создания дизайна сайтов, прототипирования. понимание всех процессов создания сайтов. знание HTML на начальном уровне. знание особенностей разработки дизайна для полиграфии на начальном уровне владение линейкой Adobe. Обязанности: создание дизайна сайтов, прототипирование. оформление групп в соцсетях. создание макетов визиток и листовок. ",Без обязанностей," полный рабочий день, работа в офисе, оформление по ТК, возможность согласования графика. зарплата по собеседованию. испытательный срок 3 месяца.",Без ключевых навыков,0.1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,24,веб разработчик,Новосибирск,25000.0,30000.0,KONTUR - digital-агентство,2019-10-16T11:06:49+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности : Верстка сайтов по макетам (в том числе адаптивных); Работа с чужим кодом; Требования : Отличные знания HTML5, CSS3 Базовые знания JavaScript, jQuery Знание фреймворков типа Bootstrap Знание стилевых препроцессоров LESS Умение разбираться в чужом коде, исправлять ошибки и не добавлять при этом новые Не обязательно, но будет плюсом: Опыт работы с 1С-Битрикс Опыт работы с Yii Framework, или другими аналогичными фреймворками Опыт работы с популярными CMS (WordPress, ModX и другие) Опыт работы с системами контроля версий GIT Опыт работы с PHP, Ajax, Json Условия : 5-ти дневная рабочая неделя, 8-ми часовой рабочий день Рабочий день с 9:00 до 18:00 Официальное трудоустройство Молодой, дружный и позитивный коллектив Работа в офисе в центре города (м. Площадь Ленина)",Без требований,Без обязанностей,Без условий,HTML|CSS|JavaScript|jQuery|Less|Bootstrap,0.16666666666666666,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
993,993,веб разработчик,Екатеринбург,25000.0,55000.0,КУТУЗОВ,2019-10-20T10:05:24+0300,Нет опыта,Полный день,Полная занятость,"В компанию &quot;КУТУЗОВ&quot; (разработка, продвижение сайтов в интернете) требуется помощник веб-разработчика. Обязанности: - Различные доработки кода (работа с .html, .css, .php файлами); - Вёрстка макетов с последующей натяжкой на панель управления сайта по PSD-макету (чистая вёрстка без программирования); - Правка и наполнение контента на сайте. Требования: - Принимаем ,в том числе,студентов последнего курса, также рассмотрим опытных специалистов; - Умение работать с файлами через ftp-клиенты, либо через файл-менеджеры панели управления хостингом (напр., ISPManager); - Уверенные знания html и css. Вы должны суметь сверстать простенькую html страницу по предоставленному PSD-макету; - Понимание основ JavaScript/jQuery; - Представление о том, как работают сайты: работа с DNS-записями, управление доменами, размещение сайтов на хостингах и пр. аспекты. Дополнительно: - Желание развиваться в IT-сфере и совершенствовать свои навыки (в том числе за счёт самообразования) для последующего повышения в должности; - Знание основ английского языка, т.к. большая часть документации приходится на иностранные источники. Условия: - Работа в стабильно растущей компании; - Офис в центре города; - Дружный молодой коллектив; - Официальное трудоустройство согласно ТК РФ; - График работы Пн-Пт с 9:00 до 18:00; - Стабильная з/п: Не полный рабочий день: 12 500 Полный рабочий день: от 25 000, оплата может быть увеличена в зависимости от ваше квалификации. P.S. Желательно в резюме указывать ссылку на ваши проекты."," - Принимаем ,в том числе,студентов последнего курса, также рассмотрим опытных специалистов; - Умение работать с файлами через ftp-клиенты, либо через файл-менеджеры панели управления хостингом (напр., ISPManager); - Уверенные знания html и css. Вы должны суметь сверстать простенькую html страницу по предоставленному PSD-макету; - Понимание основ JavaScript/jQuery; - Представление о том, как работают сайты: работа с DNS-записями, управление доменами, размещение сайтов на хостингах и пр. аспекты. Дополнительно: - Желание развиваться в IT-сфере и совершенствовать свои навыки (в том числе за счёт самообразования) для последующего повышения в должности; - Знание основ английского языка, т.к. большая часть документации приходится на иностранные источники. "," - Различные доработки кода (работа с .html, .css, .php файлами); - Вёрстка макетов с последующей натяжкой на панель управления сайта по PSD-макету (чистая вёрстка без программирования); - Правка и наполнение контента на сайте. "," - Работа в стабильно растущей компании; - Офис в центре города; - Дружный молодой коллектив; - Официальное трудоустройство согласно ТК РФ; - График работы Пн-Пт с 9:00 до 18:00; - Стабильная з/п: Не полный рабочий день: 12 500 Полный рабочий день: от 25 000, оплата может быть увеличена в зависимости от ваше квалификации. P.S. Желательно в резюме указывать ссылку на ваши проекты.",HTML|CSS|CSS3|HTML5|Adobe Photoshop,0.03333333333333333,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
257,257,веб разработчик,Краснодар,30000.0,71875.0,Labsales,2019-10-04T17:43:56+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Ищем в команду крутого дизайнера, нынешний крутой дизайнер уходит в декрет. Специалист нужен только в офис, удалёнка не рассматривается. Обязанности: Анализ сайтов и юзабилити; Разработка и реализация креативных концепции; Разработка дизайна сайтов. Требования: Обязательно наличие портфолио (желательно в удобном для просмотра виде); Опыт работы от 1 года, работа в digital-агентстве будет большим плюсом; Профессиональное владение графическими программами Figma, Photoshop, Illustrator, приветствуется Sketch, CorelDraw; Понимание основных принципов разработки в веб-дизайне: сетка. адаптив, svg и т.д.; Умение работать в рамках жестких сроков; Внимание к деталям, аккуратность, ответственность за свою работу. Условия: Дружный, молодой коллектив и адекватное руководство; Гибкое начало рабочего дня (начинаем до 10:30); Конкурентная заработная плата, которая будет расти в зависимости от ваших компетенции; Испытательный срок 1 месяц; Офис на Фестивальном микрорайоне; Взаимодействие с клиентом ведется не дергая дизайнера. Вам передаются небольшие, четко сформулированные задачи. Обязательно в сопроводительном письме укажите ожидания по заработной плате, это сильно сократит время его рассмотрения и увеличит наши и Ваши шансы не потерять время в пустую. Спасибо за понимание!"," Обязательно наличие портфолио (желательно в удобном для просмотра виде); Опыт работы от 1 года, работа в digital-агентстве будет большим плюсом; Профессиональное владение графическими программами Figma, Photoshop, Illustrator, приветствуется Sketch, CorelDraw; Понимание основных принципов разработки в веб-дизайне: сетка. адаптив, svg и т.д.; Умение работать в рамках жестких сроков; Внимание к деталям, аккуратность, ответственность за свою работу. ", Анализ сайтов и юзабилити; Разработка и реализация креативных концепции; Разработка дизайна сайтов. ," Дружный, молодой коллектив и адекватное руководство; Гибкое начало рабочего дня (начинаем до 10:30); Конкурентная заработная плата, которая будет расти в зависимости от ваших компетенции; Испытательный срок 1 месяц; Офис на Фестивальном микрорайоне; Взаимодействие с клиентом ведется не дергая дизайнера. Вам передаются небольшие, четко сформулированные задачи. Обязательно в сопроводительном письме укажите ожидания по заработной плате, это сильно сократит время его рассмотрения и увеличит наши и Ваши шансы не потерять время в пустую. Спасибо за понимание!",Без ключевых навыков,0.5666666666666667,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
627,627,веб разработчик,Челябинск,30000.0,60000.0,Анида,2019-09-28T10:07:03+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Маркетинговое агентство &quot;Колос&quot; ищет в команду Junior и Middle Web-разработчика из Челябинска для плодотворного и продолжительного взаимовыгодного сотрудничества! Со сдельной заработной платой труда, удаленно или в офисе. Все коммуникации ведутся в команде 3-5 человек через CRM, мессенджеры и видео-чаты. Необходимые знания языков: html, css, php, js Умение разбираться в чужом коде Опыт работы с БД Знание каких-либо CMS из списка: Wordpress, Opencart, ModX, 1С-Bitrix (особенно важно пункт, сразу пишите в сопроводительном письме, с какими CMS работали, какой опыт) Настройка шаблонов и модулей, а также их редактирование Умение верстать адаптивные кроссбраузерные макеты дизайна Приветствуется опыт разработки мобильных приложений (для мидлов) Условия: сдельная заработная плата: 2 раза в месяц отличные перспективы роста большое кол-во работ У нас дружный молодой коллектив, который быстро развивается и ищет трудолюбивого 1-2 программиста для работы над текущими и новыми проектами. П.С. на старте для определения уровня специалиста выдаются 2 тестовых оплачиваемых задания",Без требований,Без обязанностей," сдельная заработная плата: 2 раза в месяц отличные перспективы роста большое кол-во работ У нас дружный молодой коллектив, который быстро развивается и ищет трудолюбивого 1-2 программиста для работы над текущими и новыми проектами. П.С. на старте для определения уровня специалиста выдаются 2 тестовых оплачиваемых задания",CSS|JavaScript|MySQL|PHP|Bootstrap|HTML|jQuery|CMS Wordpress|SQL|HTML5|CSS3|PHP5|MS SQL|Java|Ajax,0.7666666666666667,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0
720,720,веб разработчик,Челябинск,30000.0,80000.0,Weblab74,2019-10-03T14:54:45+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Ищем в команду умного и сообразительного программиста для разработки интересных проектов (и крупных!) Обязанности: Разработка сайтов с нуля на CMS системе Битрикс (корпоративный сайт, интернет-магазин и т.д) и WordPress (минимально); Вносить правки по текущим проектам/производить оценку новых правок; Оказывать техническую поддержку по существующим проектам. (своевременные ответы и консультации, внесение мелких правок). Требования: Знание CMS 1С-Битрикс и принципов работы с ней; Хорошее знание PHP; Понимание HTML, CSS, JS, JQuery; Иметь представление о работе Unix, веб-сервера Apache, nGinx, mySQL; Опыт веб-разработки Уметь работать в команде, быстро и продуктивно; Уметь самостоятельно находить решение задач, с которыми ранее не приходилось сталкиваться. ПРИВЕТСТВУЕТСЯ: опыт работы с PHP фреймворками Yii2, Symfony и др; Условия: 5-дневная рабочая неделя плавающий обед в любое удобное рабочее время своевременная зарплата (выплаты 3 раза в месяц) официальное трудоустройство."," Знание CMS 1С-Битрикс и принципов работы с ней; Хорошее знание PHP; Понимание HTML, CSS, JS, JQuery; Иметь представление о работе Unix, веб-сервера Apache, nGinx, mySQL; Опыт веб-разработки Уметь работать в команде, быстро и продуктивно; Уметь самостоятельно находить решение задач, с которыми ранее не приходилось сталкиваться. ПРИВЕТСТВУЕТСЯ: опыт работы с PHP фреймворками Yii2, Symfony и др; "," Разработка сайтов с нуля на CMS системе Битрикс (корпоративный сайт, интернет-магазин и т.д) и WordPress (минимально); Вносить правки по текущим проектам/производить оценку новых правок; Оказывать техническую поддержку по существующим проектам. (своевременные ответы и консультации, внесение мелких правок). ", 5-дневная рабочая неделя плавающий обед в любое удобное рабочее время своевременная зарплата (выплаты 3 раза в месяц) официальное трудоустройство.,Git|1С-Битрикс|HTML5|JavaScript|MySQL|Bootstrap|CMS Wordpress|SQL,0.6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
