,Unnamed: 0,name,area,min_salary,max_salary,employer,published_at,experience,schedule,employment,description,requirements,duties,conditions,key_skills,days,"(12995.0, 43440.0]","(43440.0, 73885.0]","(73885.0, 104330.0]","(104330.0, 134775.0]","(134775.0, 165220.0]","(165220.0, 195665.0]","(195665.0, 226110.0]","(226110.0, 256555.0]","(256555.0, 287000.0]","(18500.0, 61555.556]","(61555.556, 104611.111]","(104611.111, 147666.667]","(147666.667, 190722.222]","(190722.222, 233777.778]","(233777.778, 276833.333]","(276833.333, 319888.889]","(319888.889, 362944.444]","(362944.444, 406000.0]",Екатеринбург,Краснодар,Новосибирск,Самара,Челябинск,Более 6 лет,Нет опыта,От 1 года до 3 лет,От 3 до 6 лет,Вахтовый метод,Гибкий график,Полный день,Сменный график,Удаленная работа,Полная занятость,Проектная работа,Стажировка,Частичная занятость,Без ключевых навыков,1С-Битрикс,Другое
855,855,остальное,Екатеринбург,20000.0,55000.0,"Принтград, ГК",2019-10-21T11:01:10+0300,Нет опыта,Полный день,Полная занятость,"Обязанности: Протяжка СКС на торговом объекте; ПНР торгового оборудования (кассы, терминалы сбора данных, мобильные принтеры и т.д.); Монтаж и настройка видеонаблюдения; Проведение ППР; Требования: Опыт монтажа ЛВС; Опыт настройки торгового оборудования и видеонаблюдения будет преимуществом; Желание обучаться и развиваться; Умение работать в команде; Мобильность; Условия: работа разъездного характера график работы 5/2, желание развивать технические компетенции, работа в команде. только белая заработная плата, официальное трудоустройство по ТК РФ, оклад 20 000 руб, сдельная часть без ограничения сверху по уровню дохода. Варианты: выполнять больше простых работ или брать сложные виды работ или комбинация простых и сложных работ. Для примера, сдельная часть за август: от 20 000 руб. до 50 000 руб, работа рядом с домом, стремление развиваться и обучаться в успешной Компании. Присоединяйтесь к нашей команде, отправляйте резюме прямо сейчас!", Опыт монтажа ЛВС; Опыт настройки торгового оборудования и видеонаблюдения будет преимуществом; Желание обучаться и развиваться; Умение работать в команде; Мобильность; ," Протяжка СКС на торговом объекте; ПНР торгового оборудования (кассы, терминалы сбора данных, мобильные принтеры и т.д.); Монтаж и настройка видеонаблюдения; Проведение ППР; "," работа разъездного характера график работы 5/2, желание развивать технические компетенции, работа в команде. только белая заработная плата, официальное трудоустройство по ТК РФ, оклад 20 000 руб, сдельная часть без ограничения сверху по уровню дохода. Варианты: выполнять больше простых работ или брать сложные виды работ или комбинация простых и сложных работ. Для примера, сдельная часть за август: от 20 000 руб. до 50 000 руб, работа рядом с домом, стремление развиваться и обучаться в успешной Компании. Присоединяйтесь к нашей команде, отправляйте резюме прямо сейчас!",Без ключевых навыков,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
899,899,остальное,Екатеринбург,20000.0,55000.0,"Принтград, ГК",2019-09-23T12:39:35+0300,Нет опыта,Полный день,Полная занятость,"Обязанности: Протяжка СКС на торговом объекте; ПНР торгового оборудования (кассы, терминалы сбора данных, мобильные принтеры и т.д.); Монтаж и настройка видеонаблюдения; Проведение ППР; Требования: Опыт монтажа ЛВС; Опыт настройки торгового оборудования и видеонаблюдения будет преимуществом; Желание обучаться и развиваться; Умение работать в команде; Мобильность; Условия: работа разъездного характера, график работы 5/2, желание развивать технические компетенции, работа в команде. только белая заработная плата, официальное трудоустройство по ТК РФ, оклад 20 000 руб, сдельная часть без ограничения сверху по уровню дохода. Варианты: выполнять больше простых работ или брать сложные виды работ или комбинация простых и сложных работ. Для примера, сдельная часть за март: от 20 000 руб. до 55 000 руб, работа рядом с домом, стремление развиваться и обучаться в успешной Компании. Присоединяйтесь к нашей команде, отправляйте резюме прямо сейчас!", Опыт монтажа ЛВС; Опыт настройки торгового оборудования и видеонаблюдения будет преимуществом; Желание обучаться и развиваться; Умение работать в команде; Мобильность; ," Протяжка СКС на торговом объекте; ПНР торгового оборудования (кассы, терминалы сбора данных, мобильные принтеры и т.д.); Монтаж и настройка видеонаблюдения; Проведение ППР; "," работа разъездного характера, график работы 5/2, желание развивать технические компетенции, работа в команде. только белая заработная плата, официальное трудоустройство по ТК РФ, оклад 20 000 руб, сдельная часть без ограничения сверху по уровню дохода. Варианты: выполнять больше простых работ или брать сложные виды работ или комбинация простых и сложных работ. Для примера, сдельная часть за март: от 20 000 руб. до 55 000 руб, работа рядом с домом, стремление развиваться и обучаться в успешной Компании. Присоединяйтесь к нашей команде, отправляйте резюме прямо сейчас!",Без ключевых навыков,0.9333333333333332,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
252,252,остальное,Краснодар,25000.0,83400.0,Яркевич Вадим Сергеевич,2019-10-08T13:26:50+0300,Нет опыта,Полный день,Полная занятость,"В команду ищем ответственного специалиста по заливке рекламных кампаний по четкому ТЗ. Все рекламные материалы готовы, ничего придумывать не нужно. Если у вас мало опыта, дадим инструкции. От вас главное ответственность к работе и внимательность. На первое время работа удаленно, в дальнейшем в офисе или можем рассмотреть удаленную работу на постоянной основе. На время обучения и испытательного срока з/п 16000 руб. Поднятие з/п в дальнейшем будет зависеть от выполнения поставленных задач от 25000 рублей и выше. Есть возможность карьерного роста до старшего специалиста и руководителя отдела. Обязанности: Создание рекламных кампаний в Facebook по готовому шаблону Ведение отчетности Требования: Хорошее знание компьютера Наличие быстрого интернета Ответственность Внимательность ​​",Без требований, Создание рекламных кампаний в Facebook по готовому шаблону Ведение отчетности ,Без условий,Пользователь ПК|Умение работать в команде|Ведение отчетности|Google Chrome|MS Excel,0.43333333333333335,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
503,503,остальное,Челябинск,25000.0,70000.0,Xpage,2019-10-17T17:57:20+0300,От 1 года до 3 лет,Полный день,Полная занятость,"В связи с активным развитием компании агентство интернет-решений Xpage ищет специалиста по внедрению CRM (Bitrix24) Даже если вы уже работаете – приходите. Уверены, вам понравится наше предложение. Вам предстоит заниматься: работа с входящими заявками на внедрение CRM и корпоративных порталов; первоначальная настройка продукта Битрикс 24; настройка бизнес-процессов; внедрение продуктов и работа с командой разработчиков; развитие направления и изучение новых продуктов; Требования к кандидату: высшее образование или незаконченное высшее в сфере ИТ, прикладной информатики, информационных системах в экономике; аналитический склад ума; высокие навыки коммуникации; знание базовых принципов программирования; знание рынка и опыт работы в CRM. Мы предлагаем: существующую клиентскую базу и базу тёплых лидов; регулярное обучение и развитие (компания оплачивает курсы повышения квалификации, обучение в академии Bitrix); официальное трудоустройство и зарплату без задержек; новый офис в сердце Челябинска ( Gagarin Residence); возможность роста и развития; премию, которая зависит только от твоей работы; участие в корпоративных семинарах и мероприятиях; самые вкусные печеньки. Xpage — это, прежде всего, команда высококлассных профессионалов и молодых амбициозных энтузиастов. Это команда жизнерадостных, творческих и любознательных людей, для которых интернет — это жизнь. Мы стремимся создавать для своих сотрудников только самые комфортные условия работы и отдыха. Стабильная заработная плата, возможность дополнительного заработка, крутой офис в сердце челябинской веб-индустрии — IT-парке, кофе и печеньки — лишь некоторые приятные стороны работы в агентстве. Наши сотрудники имеют уникальную возможность повышать свою квалификацию и развивать полезные профессиональные навыки. Мы даем своим сотрудникам свободу идей, творчества и самовыражения. Xpage — это большая семья, которая всегда рада пополнениям.",Без требований,Без обязанностей,Без условий,CRM|Ведение переговоров|Заключение договоров|1С: Предприятие 8|Работа в команде|1С-Битрикс,0.13333333333333333,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
1056,1056,остальное,Самара,25000.0,119800.0,Интелтех,2019-10-03T20:30:42+0300,Нет опыта,Гибкий график,Полная занятость,"Обязанности: Представление и отстаивание интересов компании в работе/при выборе с подрядчиками/подрядчиков; Оптимизация рабочих процессов/сокращение издержек; Проявление инициативы в вопросах развития интернет-проекта. Требования: Владение кросс-браузерной версткой; Владение адаптивной версткой; Уверенное знание HTML/CSS, PHP, MySQL, API &quot;1С-Битрикс&quot; SEO Контекстная реклама Как преимущество: Наличие сертификата разработчика Bitrix Framework Опыт работы с Bitrix, написание своих компонентов для &quot;1С-Битрикс&quot; Условия: Полная занятость/Гибкий график/Удаленная занятость Не много юмора в описании: Ищем фанатика! молодая, но мужественная организация ищет своего героя! Гарантируем дружественный коллектив, строгого и жесткого, но не жестокого руководителя, а еще у нас есть печеньки! Если у тебя нет опыта работы, но ты понимаешь те слова что написаны в требованиях и сможешь перевести с русского на битрикс, ты-ТОТ КТО НАМ НУЖЕН! Лояльное отношение к опозданиям и халявный интернет гарантируем))) компания мааааленькая, зарплата аналогичная, помоги им обеим вырасти, защити их от лишних потерь. Они станут настолько большими, насколько хватит твоей фантазии и сил, но только вместе, а мы тебя поддержим!"," Владение кросс-браузерной версткой; Владение адаптивной версткой; Уверенное знание HTML/CSS, PHP, MySQL, API &quot;1С-Битрикс&quot; SEO Контекстная реклама Как преимущество: Наличие сертификата разработчика Bitrix Framework Опыт работы с Bitrix, написание своих компонентов для &quot;1С-Битрикс&quot; ", Представление и отстаивание интересов компании в работе/при выборе с подрядчиками/подрядчиков; Оптимизация рабочих процессов/сокращение издержек; Проявление инициативы в вопросах развития интернет-проекта. ," Полная занятость/Гибкий график/Удаленная занятость Не много юмора в описании: Ищем фанатика! молодая, но мужественная организация ищет своего героя! Гарантируем дружественный коллектив, строгого и жесткого, но не жестокого руководителя, а еще у нас есть печеньки! Если у тебя нет опыта работы, но ты понимаешь те слова что написаны в требованиях и сможешь перевести с русского на битрикс, ты-ТОТ КТО НАМ НУЖЕН! Лояльное отношение к опозданиям и халявный интернет гарантируем))) компания мааааленькая, зарплата аналогичная, помоги им обеим вырасти, защити их от лишних потерь. Они станут настолько большими, насколько хватит твоей фантазии и сил, но только вместе, а мы тебя поддержим!",1С-Битрикс|MySQL|HTML|CSS|PHP5,0.5666666666666667,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
850,850,остальное,Екатеринбург,25000.0,30000.0,ЭнергосбыТ Плюс,2019-10-21T08:02:56+0300,Нет опыта,Полный день,Полная занятость,"Свердловский филиал АО «ЭнергосбыТ Плюс» является крупнейшей энергоснабжающей организацией, филиалом АО «ЭнергосбыТ Плюс» – объединенной энергосбытовой компанией Группы «Т Плюс», и имеет статус Гарантирующего поставщика электроэнергии на территории Свердловской области. Деятельность Свердловского филиала АО «ЭнергосбыТ Плюс» направлена на обеспечение качественного и бесперебойного тепло - и электроснабжения потребителей на территории Свердловской области. Сегодня Свердловский филиал АО «ЭнергосбыТ Плюс» обслуживает: более 1 миллиона физических лиц; более 49 тысяч предприятий; 194,8 тыс. км2 общая площадь обслуживаемой территории. В муниципальных образованиях Свердловской области для наших Клиентов работают более 50 офисов продаж. Общая численность Свердловского филиала более 1 500 человек. Приглашаем в нашу команду Начинающего программиста-экономиста Готовы рассматривать специалистов без опыта работы. Если Вам хочется, чтобы Ваша работа совмещала задачи экономического характера и базового программирования/тестирования ПО, Вы готовы и любите узнавать новое, быстро усваиваете информацию, и Вам интересно развиваться в крупной стабильной компании, тогда мы ждем Вас! Мы предлагаем: Официальное трудоустройство в соответствии с Трудовым Кодексом РФ, Достойный уровень заработной платы (оклад+ премия, полностью официальная), Дополнительное медицинское страхование, включая стоматологию, Дружный и профессиональный коллектив, с которым интересно развиваться, Обучение и помощь в период адаптации (наставничество, внутреннее корпоративное обучение), Интересные задачи и динамичный функционал, График работы: пятидневная рабочая неделя с 8:00 – 17:00 (пятница до 16:00). Место работы – Центр. Ждем Ваших резюме!",Без требований,Без обязанностей,Без условий,Без ключевых навыков,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
367,367,остальное,Краснодар,25000.0,83400.0,Автоматизация Бизнеса,2019-10-13T20:49:19+0300,Нет опыта,Полный день,Стажировка,"Автоматизация бизнеса - успешно растет и развивается в сфере IT. Коротко об Автоматизации бизнеса: - Компании всего три года, а мы уже вышли на Федеральный уровень! - В компании успешно работает более 150 человек! - Наши кадры - наша сила! Мы заинтересованы в развитии своих сотрудников, все руководители наших отделов и филиалов выросли внутри компании. Эта работа подойдет тебе, если: - Ты считаешь, что помогать людям - это нормально. - Умеешь грамотно и доступно излагать свои мысли. - Хочешь начать карьеру в сфере IT и стать востребованным специалистом. Тебе предстоит: - Научиться помогать нашим клиентам в решении их проблем, даже тогда, когда кажется, что это уже невозможно; - Изучить огромный объем информации и научиться пользоваться этой информацией для эффективной работы. - Пройти развитие до программиста, консультанта или аналитика. Наши ожидания от тебя: - Приобретенная, а лучше врожденная способность помогать людям. - Грамотная речь. - Способность запоминать много информации за короткий промежуток времени. - Образование не ниже среднего, желание постоянно развиваться в этой сфере. Что мы можем предложить: - Работа в новом офисе. - Адекватных руководителей. - Интересные задачи. - ЗП от 25000 руб - ЗП на испытательном 10000 руб. - График работы на выбор - 5/2 или 2/2. - Корпоративное обучение.",Без требований,Без обязанностей,Без условий,Обучение и развитие|Грамотность|Аналитическое мышление|Планирование карьеры|Пользователь ПК,0.2333333333333333,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
810,810,остальное,Екатеринбург,30000.0,30000.0,Автобан,2019-10-18T15:50:23+0300,Нет опыта,Полный день,Полная занятость,"Сеть дилерских автоцентров ГК «Автобан», приглашает на работу Специалиста отдела IT. Требования: - Высшее образование - Аналитический склад ума, умение работать в режиме многозадачности, быстро усваивать материал - Рассмотрим без опыта работа Обязанности: Администрирование БД Консультирование пользователей Диспетчеризация заявок Разбор стандартных/нестандартных ситуаций Условия работы: Мы стараемся создать условия для развития наших сотрудников: + Официальное трудоустройство (соц.пакет, &quot;белая&quot; заработная плата) + Уровень оплаты труда: 30 000 (подробности на собеседовании с руководителем) + График работы: 5/2, с 9-00 до 18-00 + Дружный коллектив + Возможность карьерного роста + Кафе на территории салона + Комфортное рабочее место + Место работы: ул. Металлургов (ВИЗ)",Без требований,Без обязанностей,Без условий,Без ключевых навыков,0.1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
266,266,остальное,Краснодар,30000.0,83400.0,Сафари-парк,2019-10-21T10:21:01+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Обязанности: Монтаж ,настройка, пуско-наладка IP систем видеонаблюдения на всей территории зоопарка, прокладка СКС\ЛВС. Сборка и настройка видеосерверов, Настройка рабочих станций на различных ОС, Установка и конфигурирование нового аппаратного и программного обеспечения, слежение за уже установленным Подключение и настройка коммутационного оборудования, беспроводных сетей, Wi-Fi точек доступа, Интеграция в инфраструктуру парка элементов систем &quot;Умный дом&quot;, Пользование и настройка офисной оргтехникой (принтер, сканер, копир, плоттер, факс) Требования: Знание железа ПК (сборка, замена комплектующих, апргрейд), цифровой техники, мобильных ОС Android, IOS Опыт работы с системами видеонаблюдения основанными на ПК(Trassir, Линия и т.д.) будет преимуществом. Условия: Заработная плата обсуждается на собеседовании График С 9:30"," Знание железа ПК (сборка, замена комплектующих, апргрейд), цифровой техники, мобильных ОС Android, IOS Опыт работы с системами видеонаблюдения основанными на ПК(Trassir, Линия и т.д.) будет преимуществом. "," Монтаж ,настройка, пуско-наладка IP систем видеонаблюдения на всей территории зоопарка, прокладка СКС\ЛВС. Сборка и настройка видеосерверов, Настройка рабочих станций на различных ОС, Установка и конфигурирование нового аппаратного и программного обеспечения, слежение за уже установленным Подключение и настройка коммутационного оборудования, беспроводных сетей, Wi-Fi точек доступа, Интеграция в инфраструктуру парка элементов систем &quot;Умный дом&quot;, Пользование и настройка офисной оргтехникой (принтер, сканер, копир, плоттер, факс) ", Заработная плата обсуждается на собеседовании График С 9:30,Без ключевых навыков,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
232,232,остальное,Новосибирск,30000.0,55000.0,Глубоков Дмитрий Николаевич,2019-10-08T12:45:37+0300,От 1 года до 3 лет,Полный день,Полная занятость,"Компания « SpaceLevel » — это агентство интернет-маркетинга, предлагающее целый спектр услуг по разработке и продвижению сайтов, автоматизации бизнес-процессов. Наш офис расположен в центре Новосибирска, 7 минут ходьбы от пл.Ленина, 5 мин. от Оперного театра. Мы стремимся к проектной, не конвейерной работе, в рамках которой вы сможете заниматься полноценной оптимизацией и продвижением сайта. Для Вашей работы и профессионального роста у нас созданы благоприятные и комфортные условия: Официальное трудоустройство по ТК РФ, оплачиваемый отпуск Молодой и дружный коллектив, адекватное руководство возможность предлагать и внедрять улучшения, быть услышанным и понятым отсутствует жесткая иерархия, налажены дружеские отношения внутри отдела и за его пределами. гарантируем работу в команде профессионалов и интересные задачи. На испытательный период (от 1 до 3 мес.) фиксированный оклад от 30 до 40 т.р. в зависимости от вашего уровня знаний и навыков. С 4 месяца - ЗП на руки от 35 до 55 т.р. (зависит от вашего опыта, а также объема работ, соблюдения сроков и качества). Восьмичасовой рабочий день, пятидневная рабочая неделя. Начало рабочего дня по вашему выбору, в промежутке с 9 до 11 часов. Оборудованная обеденная зона с микроволновкой, чаем и печенюшками стабильность :) Мы давно на рынке, у нас не бывает задержек зарплат и внезапных смен курса В нашей компании SEO - это всегда хорошее системное развитие: разные тематики, география и разный уровень сложности проектов. Чем вы будете заниматься: продвижение клиентских проектов в поисковых системах, полная личная ответственность за данный участок работ (вы решаете сами как и что делать, когда и зачем); оставление стратегии продвижения новых проектов, корректировки стратегий текущих проектов аудиты и рекомендации; подготовка ТЗ на доработки сайтов; подготовка ТЗ на написание текстов; контроль выполнения задач копирайтерами, программистами, дизайнерами и контент-менеджерами; анализ конкурентов и поисковой выдачи; Сбор семантического ядра для оптимизации всех продвигаемых страниц сайтов работа с системами аналитики - Яндекс Метрика / Google Analytics; построение ссылочного профиля; работа по юзабилити и увеличению конверсии сайта (потребуется навык проектирования посадочных страниц и составления ТЗ, но без “перегиба” в сторону дизайна и разработки); планировать свою работу на месяц, неделю, день во внутренней системе. Вы нам подходите, если: работали от 2-х лет в качестве SEO-специалиста; продвигали интернет-магазины на несколько регионов, а также сайты услуг; знаете современные методы продвижения (поведенческие факторы, юзабилити сайта, работа с контентом, ссылочное продвижение); знаете как пользоваться SEO-софтом: у вас есть опыт проектирования сайтов или посадочных страниц; вам комфортно длительно работать над монотонными задачами, требующими внимательности, кропотливости, настойчивости и усидчивости; вы можете собирать, структурировать и анализировать большие объёмы информации, как текстовой, так и числовой; вам нравится погружаться в клиентский бизнес и разбираться что и как устроено в нём; вы умеете планировать своё время и соблюдать сроки; вы хотите развиваться профессионально: самостоятельно планировать работу по проектам, изучать и применять новые инструменты, отвечать за результат и в перспективе стать руководителем; вы можете показать нам несколько проектов и рассказать как было вначале, что делали вы и зачем, какие результаты получены; Знание систем аналитики Яндекс.Метрика и Google Analytics Умение составлять технические задания для копирайтеров на основании проведенного анализа текстов и контента конкурентов Знание минимум на базовом уровне PHP, HTML и CSS Высокий уровень внимательности, ответственности и самодисциплины, грамотность письменной речи Перспективы развития: Рост до должности SEO Team Lead через 1 год (ЗП от 60 т.р.). Если все понравилось, отправляйте отклики или присылайте резюме на почту.",Без требований,Без обязанностей,Без условий,Составление семантического ядра|SEO оптимизация|Внешняя оптимизация сайта|Внутренняя оптимизация сайта,0.43333333333333335,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
